ParlaMint-BE_2015-06-30-54-commissie-ic202x.u1	Mrs Claerhout is not here.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u57	Mr. Chairman, Minister, this issue partially overlaps with the discussion we have just had. On 11 September 2014, the Court of Justice of the European Union rendered a judgment unfavourable to Belgium. Indeed, Belgium's taking into account the rental value of property abroad is contrary to the principle of the free movement of capital. The problem is that Belgium taxes rents on a flat-rate basis on the basis of cadastral income. Since 1975, however, cadastral income has not been equalized, particularly because of the intervention of the then Prime Minister, Mr Tindemans. In doing so, the tax base has become obsolete. This situation has many consequences. First of all, there is an inequality of taxation between real estate situated on Belgian territory. Secondly, there is a disparity in the taxation of rents between Belgium and the other Member States of the Union. According to the press, the European Commission has decided to prosecute Belgium because it considers that property taxation in our country introduces discrimination and an advantage not in accordance with European law, to the benefit of investment in real estate in Belgium. At the same time, you asked your administration to do a study to estimate the cost of a cadastral equalization. Mr Minister, do you confirm that the European Commission has decided to prosecute Belgium following the judgment of the European Court of Justice? What does the government intend to do to respond to these potential prosecutions? Do you already have the results of the feasibility study that you entrusted to your administration regarding a new cadastral equalization? Finally, is the actual taxation of rent an option to respond to the criticisms of the European Commission?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u58	Mr President, Mrs Jadin, you are asking whether there is double taxation with a rental tax and a property discount. I would like to remind you that real estate revenues fall under federal jurisdiction while real estate prepayment is a regional tax. In answer to your second question, the government certainly does not aim to curb economic activity and will be careful not to discourage the creation of new jobs. Mr Dispa, to answer your question, I take the liberty of referring you to my answer to your question No 4479. I also confirm that the European Commission has referred the matter to the Court of Justice. The feasibility study that I have already mentioned in my answer to your above-mentioned question will be carefully analysed before any position is taken. I repeat once again that there is nothing in the government agreement.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u59	Minister, thank you for your answers and for the correction. We will consider the proposals that will be tabled.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u60	Minister, you are consistent from one answer to another. You're always as careful as you are. There's one question you haven't answered. It's a theoretical question. It was not about a possible intention of the government: it was about whether the actual taxation of rents would be an assumption that would respond to the criticisms of the European Commission. Is that a possible answer? I imagine that the feasibility study to which you refer will bring a panel of possibilities and that this will be part of it. You will then see what follow-up you will reserve to these possible suggestions.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u61	Since Mr Mathot was absent, his question No 4470 was deleted.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u62	Mr President, Mr Minister, the situation in Greece is changing from hour to hour and I will review my question, which was dated 4 May and which I had not had the opportunity to ask you. The Eurogroup, where you sit, plays an increasingly important or even crucial role in the management of this issue. Everyone is talking about the financial cost of the Greek dossier, which is obviously not negligible, but it cannot call into question the values of solidarity implied by European projects and the euro. No one seems to take into account the social, psychological and historical cost of exiting Greece from the euro area. For weeks, with the apotheosis we have experienced this weekend, we have seen a real denial of democracy vis-à-vis Greece. Austerity continues its course in defiance of the facts and the attitude of the European Union is unsustainable not only for the Greeks but for the European Union as a whole. For our group, if the reforms requested of Greece in exchange for a rescheduling of the debt involved administrative reforms, we can obviously be demanding, as in the fight against corruption. But reducing pensions, the salaries of state agents, increasing VAT are situations that the Greeks cannot accept after five years of suffering, and neither do we. Behind the brutality with which this Member State is treated, it is the very essence of the European project that is aimed at when it is a democratically elected government that defends for its people decent pensions, jobs, hope for its youth and health care for all. Minister, what position did you defend in the Eurogroup this Saturday? Where are we today? Several proposals are on the table. We're getting a little lost. There is a proposal on which Greece must vote by referendum. Another proposal followed. What requests are currently being made to Greece? How do you explain that none of the monetary revenues imposed on the euro area have generated the expected growth and prosperity? Beyond the Greek case, what is your position to provide structural solutions to improve European solidarity and to provide a structural solution to sovereign debts? What do you think about the announced increase in the weight of the Eurogroup in the European Semester and in the day-to-day management of the Member States? Is Ecofin not replacing Heads of State and Government, and above all parliaments, and more fundamentally our democratic values of policy choice in order to achieve European objectives?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u63	Mr President, Minister, this dossier is currently evolving every hour, so my question is already somewhat dated, although I have put it constantly up to date by asking about the state of affairs. Last weekend, we learned that during the crucial night of negotiations, all negotiators were surprised by a tweet that insinuated that Prime Minister Tsipras was no longer waiting for the outcome of the negotiations, but simply announced a referendum immediately to see whether the people accepted the proposals of the IMF, the ECB and the European Commission. You might find such a referendum democratic, but personally, I think it is rather a concealment of responsibility or the discharge of responsibility for the failure of consultation on the people, which I find irresponsible. True leaders do not lead and hide behind the people. Unfortunately, we see the opposite in this dossier. Minister, I would have liked to know exactly what happened during that crucial night of negotiation. What proposals has the Greek Government made? Were some of these proposals acceptable or largely unacceptable? Did the Greek government stick to some kind of waiver until the last time? You know that I would find that irresponsible, because EUR 107 billion has already been forgiven to Greece. I assume that further forgiveness is impossible, but that a redeployment and spread over time can of course be done, because then there are always pistes to be found. In fact, a recast has already taken place to a large extent, but I think we should avoid that oil stain spreading to other countries which will then queue up to ask for a waiver. What's the next move? Within a few hours, there will be a deadline on which EUR 1.6 billion will have to be repaid to the IMF. What if that refund doesn't happen? That's a default, I suppose. How will that evolve?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u64	Mr.Minister, I am glad to hear you live since on Thursday we had to ask Mr. Jambon who represented you and who is, it is not an insult to say so, less aware of the file than you are. We had an early debate this morning with the Prime Minister in debriefing of the European Summit. He told us that things were not much discussed at the European summit but were entrusted to the Eurogroup and also to the IMF, with the democratic questions that could arise. We are all concerned about the outcome of the relationship between Greece, the IMF and the euro area. In plenary, on behalf of our group, I felt that an exit from Greece from the euro area does not seem to us to be an option because everyone would lose both the Greek people and the other economies concerned, including ours. We must be able to respect the democratic sovereignty of the Greek Government, at least as regards the means to be used to improve the internal budgetary situation in Greece. We learn that the IMF would refuse some avenues for improving Greece's internal fiscal situation, including an increase in corporate taxation. Thirdly: in our view, the logic of austerity has shown its limits and if Greece is in this situation today, it is certainly because of historical mistakes, but also because of an too harsh austerity cure that risks killing the patient. Fourthly, it is necessary to give Greece time to be able to recover. What is the situation today? Every hour brings new information but you are probably one of the ones who is most aware of what is happening, hence our interest to hear from you. What is the latest information on this difficult negotiation? What is the role of the IMF in this negotiation? I distinguish between the democratically appointed members of the Eurogroup and the IMF which is not. Do you confirm that the IMF has refused any leads put on the table by the Greek government for new budgetary revenue? What is Belgium's position on this issue? I hear colleagues, including Mr Dedecker, commenting quite hard on the issue. What is the government's view? What is Belgium's preferred scenario for an exit from the crisis? What are the next steps in this case?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u65	Ladies and gentlemen, this also gives us the opportunity to get an up-to-date state of affairs from the Minister. It's crucial days and hours. We have had an exchange of views in Parliament on several occasions, but perhaps the Minister could give a more detailed account of the current state of affairs. Parliament is certainly entitled to information on this matter.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u66	Mr President, I will try to answer the questions asked by first giving you an overview of what has happened over the last three days. On Friday, there was still some optimism that an agreement under the programme expiring at midnight was still possible between the Greek government and the three institutions (the European Central Bank, the IMF and the Commission). The latter received from the Eurogroup a negotiating mandate, not a decision-making mandate, with the Greeks or the Greek government. All of a sudden, to the surprise of all the parties present, the Greek negotiators left the table. Half an hour or an hour later, Prime Minister Tsipras announced the holding of a referendum. This was very surprising for all the parties involved in these negotiations or discussions within the Eurogroup or at the level of Heads of Government. There had been no previous reference to such an initiative. Even today, the purpose of the referendum is not clear at all. Many points were on the table between the institutions and the Greek government. There were no conclusions, there were a lot of discussions. In this case, it was agreed that the three institutions would submit a proposal to the Eurogroup, which was then studied and discussed within the Eurogroup with the institutions and the Greek government represented by its Finance Minister. This leads to a conclusion and most likely to changes in the proposals of the three institutions. This process could not take place because on Friday night the Greek negotiators suddenly left the negotiating table. That has, of course, created a less pleasant atmosphere with regard to the further development of things. During the discussion on Saturday, of course, the possible outcome of the referendum was discussed. Apart from the question of what exactly is being presented to the Greek people, there was mainly discussion about what would happen if the Greek people voted yes or no. Once again, I do not comment on the content of the question put. If the Greek people respond to the proposals of the three institutions and the Eurogroup, we heard that the Greek Government would indeed implement the proposals. It caused some consternation and silence. It seems rather strange to us that a government should ask citizens, on the one hand, to vote no but, on the other hand, to implement the proposals if they vote yes. That does not seem credible to me, to say the least. The question of what would happen if the Greek people voted no was actually not answered. I did not see it myself, but I heard yesterday that Mr Tsipras is promising his resignation in unclear terms. In this context, it seems to me a slightly more logical attitude. At least it's unclear. The IMF will lose EUR 1.6 billion. It seems that Greece will not be able to repay and thus de facto will be in a default state. Officially, the IMF talks about it in Arrears. That is a question of terminology. The reality is that at that time there will be a default situation which will have all kinds of legal and possibly political consequences. However, it is above all an important new feature for the European Central Bank. It treats countries with or without defaults in a different way. I will not comment on what that means for the ECB. I strictly respect the independence of the ECB. This institution has proved itself to be able to carry out its task very well during the period of its existence. I have every confidence that she will now. I'm not commenting on what she should or shouldn't do. I am convinced that everything will work out correctly, with due consideration for Greece and the Greek people. Let me make it clear again what else I have done in plenary: there are many misunderstandings about the implementation of the programme. A programme has indeed been agreed with Greece. Just look at the results. Where are we today? The economy has now shrunk for almost a third, the unemployment rate is between 25% and 30%, youth unemployment is 60%. Who doesn't get quiet about that? The point is, however, that further analysis shows that today's programme, which is so disputed, has been implemented at most in a very partial way. A few savings have indeed been made. There's no denying that. Sometimes this has been done in a fairly bold way. However, the whole programme agreed between Greece and the Eurogroup and the European entities in general included far more than budgetary savings. It included rather detailed plans for economic reform, including of the labour market but certainly not only the labour market, also of product markets and of the whole system of tax collection, which is medieval, with all due respect for the Greek state and population. The reform of the pension system has also had little or no impact in recent years. Today, saying that the programme for Greece has failed is, in fact, to a large extent not justified for the simple reason that the programme, as presented and agreed, has been partially implemented at most. What were the main reasons for Prime Minister Michel's attitude in the discussions at the level of the Heads of State or Government and my attitude at the level of the Eurogroup? This can actually be summarized around two themes. Of course there must be solidarity with the Greek people. That is a first point of departure. I make the bill: more than 300 billion have already gone to Greece. There's already been forgiveness. Greece, despite its very high public debt, in terms of interest burden as a percentage of GDP, has an interest burden that is lower than that of countries such as Italy and Portugal. It cannot therefore be said that there has been no substantial, great solidarity and that there is still a great willingness, with a loud voice, to confirm this solidarity. The second dimension of the government's attitude is that we should absolutely not do anything that would jeopardise the future of monetary union. That is also an important point. Of course, the Greek Government has its electoral and democratic legitimacy. No one's questioning that. Of course, the Greek Government has every right to hold a referendum. However, there is also a responsibility for both the Greek Government and the 18 other countries of the euro area to ensure that monetary union, which has been in difficulty for a few years now, does not become even more difficult due to decisions affecting a number of fundamentals of monetary union, and hence of the European Union. That has to do with discipline and credibility. In the short term, it also has to do with the following. If we were to respond to the demand for debt cancellations, it would be obvious that we would immediately be faced with similar questions from other countries, which today are also heavily indebted and which in the past, as far as the implementation of the programme is concerned, have always dealt with the programme in a much more complete and robust way than in the case of Greece. Finally, I would like to make it clear once again that there is no one who wants a Grexit. There is no one who wants to evict Greece from the eurozone. If that unfortunate fact were to occur, it could only be the result of decisions and attitudes of the Greek Government. To some extent we can try to respond to this, but ultimately the Greek Government is an autonomous government with its own legitimacy in Greece itself. But again, nobody wants a Grexit. If it ever comes to that, given the attitude adopted by the eighteen other countries, this is due to the attitude of the Greek Government.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u67	Minister, thank you for that clarification. I hear you speak of solidarity with the Greek people. If I welcome this, it would be high time to add the words. It is now that we need to show that Europe can also be a social Europe. I asked you about the different measures that were on the table, because several versions circulated. As you say yourself, we no longer know what the referendum will be about, which is regrettable. Indeed, there was a breakup, but we can wonder what led to that breakup. It is the proposals that are on the table that are difficult to accept for the Greek government, but ultimately also for the Greek people. Nevertheless, the Greeks must make an effort. You cited the example of the tax administration. In terms of improving administrations and public services, there is certainly a lot to be done, in terms of fighting corruption too, but when we ask a people who have been in arrears for so many years to make efforts in terms of pensions, wages, VAT, it is unacceptable and a government could not endorse such conditions. Since we do not have the latest details on the table, it is difficult to say. I call for the necessary solidarity and the fact that it would be high time for the Heads of State to take matters into their own hands, because we have the impression that it is within Eurogroup or IMF technicians that decisions are made, which is also a denial of democracy for me. We will be attentive to the events that will take place in the next few hours and before Sunday. I also asked the Prime Minister a question, which was withdrawn earlier so that he could be asked in plenary on Thursday, where the debate will certainly still take place. I hope that by then there will be progress.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u68	Thank you, Minister, for the comprehensive answer. If the Greek people answer yes to the referendum, one may first ask whether the IMF's proposals will still be valid. This is not clear from the communication on this subject. As you say, it would be very unbelievable if a government that explicitly rejects these proposals would still implement them if the people said yes. That would be awesome. Indeed, it is striking that they have run away and systematically communicate about the proposals of the IMF, the ECB and the European Commission, without actually making constructive counter-proposals in which there is no debt discharge. It would be expected that the Syriza leadership party, the sister party of a number of parties in this Parliament, would come up with proposals for a genre of national taxes, for example by taxing the wealthy shipowners. I have seen very little of that, it is a pity that no constructive proposals have been made. I support your plea that it is not a question of a lack of solidarity. On the contrary, there has always been solidarity with the Greek people. I spoke of a previous debt discharge of 107 billion: it is the seventh time in history that Greece is getting a debt discharge. If we look at this in the longer term, there has always been solidarity. She's still here today, too. Looking at the offer made by Commission President Jean-Claude Juncker, there is still some EUR 35 billion to be invested in the economy and development of Greece. The condition is that the country reform, that it tackles the rigid administration and corruption. These are substantive reforms that go further and are different from gross savings. We must continue to convey that message. Solidarity is still there. What happens there is something no one wants. Let it also be a lesson for us, especially for those who criticize the substance of the reforms. We can all decide that if one does not control one's debts, one falls into the hands of the creditors and is subject to their demands. In that case, any sovereignty must be forgotten. That is why my group supports this government's approach to reducing deficits and debt: that is the only way to preserve our sovereignty.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u69	Minister, thank you. A lot of things hit me in this case. First of all, these are the different interpretations of people sitting at the same table. You give us an explanation from the point of view of the members of the Eurogroup, while we hear from the representatives of the Greek Government a feeling of humiliation, a lack of respect for them, a disproportionate role of the IMF in the imposition of the way of returning to a certain form of budgetary balance. This raises the question of respect for democratic sovereignty. Our State would not accept it if it were to do so. In any case, it is important to avoid the waste of exiting Greece from the euro area, default, inability to repay, with budgetary or, at least, financial consequences for our country. I would therefore like to know whether, within the Eurogroup, anyone has taken the lead in finding a solution that is acceptable to everyone. This morning, I was surprised to learn that this issue had been discussed very little at the meeting of the Heads of State and Government and that it had been entrusted only to the Ministers of Finance. It is time to find a solution acceptable to everyone and which, I repeat, respects the sovereignty of the Greek people in the way of returning to balance. He himself must live up to his commitments, I do not disagree, as long as they are tenable. We are well aware of the limitations of austerity, especially in terms of poverty. It will probably take time and a renegotiated agenda with the Greek people. I hope that the latest proposals will lead to a consensus favouring an early exit from the crisis. The worst would be that no one would feel responsible for what is happening or that some would throw oil on the fire. You yourself have made quite harsh statements. I still intend to call into question the Greek people and the present government, which is solely responsible for the decisions taken since January, since it was not in place before. I am not going to import discussions that belong to Greek policy, but I find that we need to be measured and respectful. It's one of the conditions for getting out of it. Indeed, when a people feels humiliated, they hide. This is probably what is happening in Greece at the moment.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u70	We will certainly come back to that. President Zoé Konstanto-poulou did not come to Brussels on Monday because of the circumstances, but she wrote in a letter that she would like to come in the next few weeks. Allow me to add another personal note. I regret, however, that from Belgium, for example, Di Rupo's PS expresses its solidarity with Prime Minister Tsipras and actually agrees to a no-no-no with regard to the European institutions. This is surprising for a former Prime Minister and also for a party that has always approved the six-pack in the past and has always shown solidarity with the decision-making process at European level. Ecolo also supports Prime Minister Tsipras for a piece. I appreciate your nuanced attitude today, Mr Gilkinet, but I want to make it clear that a majority of this House supports the Prime Minister and the Minister of Finance in the events of recent weeks and months. This is in line with Belgium's views on currency union. There has always been sufficient flexibility in the negotiations. Mr Di Rupo is almost the only socialist in Europe to do so. Seventeen Ecofin members agree, including Minister Dijsselbloem of the Socialist Party in the Netherlands, French President Hollande and German Deputy Chancellor Sigmar Gabriel of the SPD. They are fully behind the line of the Ecofin Council and its representatives. Mrs Konstantopoulou did not come to Brussels this week. I regret that the voice of the opposition in Europe resounds as the voice of Belgium. It is polemical what I say, and it goes beyond my role as President, but in these circumstances it may be said that the majority in this House supports the government. It is very surprising to read in the press that the former Prime Minister of Belgium supports Prime Minister Tsipras in total rejecting European politics. I must say that I absolutely do not understand that in terms of opposition. Anyway, I've opened up the polemic. I'm not supposed to do that as chairman. I'm trying to push the limits a little bit. Mr. Crusnière, you probably feel addressed?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u71	Mr President, I have little parliamentary experience, although in another life I have seen quite a lot of debate, and I must admit that I am really surprised at your attitude. It is not common for a president, in a question-and-answer session, to take positions like the one you have just taken. I really think that you are getting out of your role as president and that this kind of attitude is not very respectable. I will not reply here to the various criticisms you have made, because this dossier will certainly come back, no later than Thursday, in plenary session. I continue to say that our group is calling for a negotiated solution and certainly not for an imposed solution, as is the case at present. The democratic choices of that country must be respected. When we talk about solidarity, we need actions, not words. We will therefore have the opportunity to return to the subject next Thursday. Once again, I think you're out of your role as committee chair.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u72	Mr President, I was also very anxious earlier to interrupt previous speakers. It is not correct for the chairman to exercise the right to speak, while the other committee members are not allowed to do so. If it bothers you, you may also have to ask a question on a particular subject, but I do not think your approach is correct with regard to the other members of the committee. I'm not going into the content. We also have a nuanced idea about this. If you want it, it's allowed, while we don't like it when we want it. I regret that you have done so. You may criticize the opposition, but do so during a contradictory debate and not in a debate in which only the President may speak and the rest must remain silent.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u73	Mr. President, you often provoke us. You're a little atypical president, Mr. Van Rompuy. I appreciate your freedom of speech, but that is indeed a limit. I am not defending Mr. Di Rupo here. In any case, we have the merit of seeking coherence. The Greens are part of the coalition in Greece with Alexis Tsipras. It's a small party with a government representative. His intention is to try to rebuild a country that was in bad shape at the time of the election and to get out of this crisis situation by questioning the austerity solutions that were brought to Greece and elsewhere in Europe and that, overall, we are contesting. I have proposed that you meet the President of the Greek Parliament. We understand why she didn't come on Monday. I regret this because I believe that a dialogue with people who are politically active in Greece will allow for a better understanding of each other's views. As I said in my speech, humiliation is not a solution. Today, however, it is widely felt by the Greek people and leaders, rightly or wrongly. I would really like to invite our colleagues to avoid plucky judgments. As Europeans, we have a collective responsibility to find a solution to the crisis. That is why I call on the Minister of Finance and the Prime Minister to moderate their remarks. We can be tough in negotiations without humiliating. I repeat: the austerity which is now being applied throughout Europe and particularly towards the most fragile countries leads them to a particularly difficult situation which is a democratic threat to the European edifice today. We are very concerned and we hope that people will take their responsibilities at European level to facilitate an exit from the crisis that will allow everyone to get out of it with their heads high.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u74	Mr President, Mr Gilkinet, until the last moment efforts have been made to reach a solution. I just received a message announcing a telephonic conference at 4:30 p.m. Mr President, I apologize for this, but I will have to be away at 4:20 p.m. I believe that this proves that until the last moment attempts are being made to prevent the suffering. However, as I said on Sunday in the journal, it takes two to tango. The opposing party must be prepared to negotiate.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u75	Thank you, Minister. I think it is important that we were able to exchange views during these crucial hours.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u76	Debates of the European Parliament Mrs Wilmès' 4502 will be converted into a written question. Debates of the European Parliament 4540 by Mrs Lahaye-Battheu will be discussed later.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u77	Mr President, Mr Minister, on 19 May, in a hearing before the Walloon Parliament's Economy Committee, Mrs EI-Khoury, an analyst and legal inspector with the Financial Information Processing Unit (CTIF) said the following about the financing companies of the federated entities: "Public companies which depend, by or large, on federated entities, when confronted with suspicion, that they think that the funds examined appear to come from suspicious activities, they are not in a position at present to report this to the Financial Information Processing Unit. Only professions and entities that are listed in the 1993 Act may do so. Therefore, she will be helpless in the face of these suspicions, but it is only on the assumption that she will be given investigative power. It is only a marginal discretion that is intended to check whether all the entries are included in the loan. At that time, my remark is not worth it." (Summary report from the Walloon Parliament). Minister, do you confirm that the funding agencies of the federated entities cannot transmit information to CTIF? Do you consider this to be a problem in the fight against money laundering? If so, do you intend to remedy this situation?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u78	Mr de Lamotte, as the law currently stands, only officials of the administrative services of the State are required to transmit information to the CTIF when, in the performance of their duties, they find facts which they know or suspect to be related to money laundering or the financing of terrorism. The funding bodies of federated entities cannot therefore transmit information that would enable CTIF to exercise its full analytical powers. While the fact that the funding agencies of the federated entities cannot report to the CTIF facts or transactions likely to be linked to money laundering or terrorist financing may appear to reduce the effectiveness of combating these phenomena, this assertion must certainly be nuanced. The same facts or operations may be found by other institutions which are subject to the anti-money laundering preventive mechanism and may therefore bring them to the attention of the CTIF. The law of 11 January 1993 should be revised as part of the transposition of the fourth European anti-money laundering directive. The issue of the submission to the preventive mechanism of bodies dependent on federated entities could be addressed at that time.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u79	Minister, thank you for your answer. Our wish is to be able to address this issue in the revision as you have announced, so that it can be part of your plans.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u80	Question No 4584 by Mr Benoît Friart is transformed into a written question.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u81	Mr President, Mrs Wouters had to leave the committee meeting earlier to go to another meeting. She was telling me that she might have a question with this one that she would have liked to ask. I'll wait for her to come back.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u82	You can go on. The meeting is almost over.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u83	You'd rather I ask the question. I guess she's not mad at me for asking the question about your request, Mr. President. Minister, the government wants to raise the VAT exemption to EUR 25 000 from 1 January next. In January 2013, the European Council authorised Belgium to exempt taxable persons whose annual turnover does not exceed EUR 25 000 from VAT. In April 2014, the ceiling for the VAT exemption was raised from €5,580 to €15,000. Minister, do you intend to raise the ceiling for the VAT exemption to 25 000 euros as of 1 January 2016? What has led the government to change its views on this issue? How can we justify an increase in the franchise? Did you evaluate the increase in the deductible to EUR 15 000 in the fight against tax fraud? What is the budgetary impact of an increase to EUR 25 000?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u84	Mr President, Mr Dispa, as announced in the Government Agreement and after evaluation, the Council of Ministers has in fact approved a preliminary draft law amending the Value Added Tax Code, raising the threshold for duty-free treatment from EUR 15 000 to EUR 25 000. This amendment will enter into force on 1 January 2016 provided that Belgium obtains authorisation from the Council on the basis of Article 395 of the VAT Directive. Given the limited number of obligations to which taxable persons benefiting from this particular scheme are bound, this measure will have an additional stimulating effect on the development of small businesses and will be an incentive to start an activity as an independent. However, certain activities remain excluded from this scheme in order to avoid possible fraud and ensure fair competition. These include taxable persons who regularly perform real estate work and those who are active in the Horeca sector, who are required to use the cash register system. The budgetary impact of this threshold increase is estimated on an annual basis at EUR 44 million against the Treasury. However, this is the estimate of the net loss of VAT revenues. Potential returns to the rest of the economy are not included.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u85	Minister, thank you for this very comprehensive information. I assume that once the draft is finally approved by the Council of Ministers, we will have an opportunity to discuss it again. This will allow us to establish the right measure between the advantages you expect and the disadvantages, in particular in terms of budgetary impact or the fight against tax fraud.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u86	Mr President, Minister, this issue has been important since the banking crisis we have experienced. On 27 May, the European Parliament's Economy Committee voted against the proposal for a reform of the banking model proposed by the Commission to isolate the most risky activities. Following this vote, the European Commission's proposal may never materialise. Minister, what is the government's position on the Commission's text and on the follow-up to this negative vote? In the event of a definitive rejection of the current text, will you support a new proposal from the European Commission on this matter? On the substance, do you think that the problem of the banks too big to fail is completely solved?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u87	Mr President, Mr Dispa, we do not interpret the European Parliament's negative vote as a signal of definitive failure of the European Commission's proposal. We see significant progress in the negotiations on the proposal in the Council. Compromise seems to have been found on many aspects of the original proposal, which was originally controversial. These compromises have resulted in major changes to the draft regulation compared to the original text published by the European Commission. The Belgian Government maintains its support for structural reforms and notes that such measures have already been incorporated into the 2014 Banking Act, notably in Articles 117 to 133 of the said Act, as well as in the Royal Decree approving the Regulation of the National Bank of Belgium on own account trading activity. In the event of a failure of the proposal for structural reform at European level, the Belgian measures will continue to apply. At the same time, the Government considers it desirable that a European regulation on this matter be adopted provided that objectives similar to Belgian measures are pursued. They have indeed served as a model in the negotiations in the Council. Several elements of the Belgian trading regime have been incorporated into the amendments to the European Commission's proposal. The issue of too big to fail is finally resolved. Structural banking reforms are driven by the idea that allowing banks to combine commercial banking and trading activities could help increase their risks and complexity, making the orderly resolution of a failing bank more difficult. This objective is even more important with regard to banks of systemic importance. We believe that structural reforms are an integral part of the reforms introduced since the crisis to strengthen the solvency of banks and to improve the ability to solve, if necessary, a failing bank. Therefore, I believe that we have made a great deal of progress in the treatment of too big to fail syndrome, but we must certainly remain very vigilant.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u88	Mr Minister, I fully agree with your conclusion and I note positively the glimmers of hope that you have shown with regard to the follow-up given by the Commission and by the Council to the negative vote. I understand that discussions are still under way and that agreement could very well be reached on the measures to be adopted. This must be done and I encourage you to maintain our country's ability to promote compromises on this issue. Indeed, an agreement at European level would be desirable in all respects, especially if it were based on measures taken at Belgian level.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u89	Mr President, Minister, on 29 May the Court of Auditors published an audit report on transactions involving tax offences. This report was carried out on the basis of recommendation 37 of the Parliamentary Committee of Inquiry on major tax fraud cases, which aimed to "record the actions of the administration in terms of friendly settlements in a register transmitted to the Court of Auditors which will report annually to the House, respecting the privacy and anonymity of the taxpayers". The Court of Auditors' report mentions the existence of an instruction of 29 September 2014 and states: "However, the instruction remains vague as regards the treatment of the substance and the conditions under which the tax administration might agree to the proposal." In order to ensure uniform treatment, the Court of Auditors recommends in particular "to register the agreements for the transaction which took place between 16 May 2011 and 29 September 2014 and to draw up a report on the follow-up to them." Minister, have you read the final version of the Court of Auditors' report? Do you intend to adapt the instruction of 29 September 2014 to respond to the observations and remarks of the Court? Do you intend to follow the recommendations contained in this audit report? Will you create a register with all transactions, as provided for in Recommendation 37 of the Parliamentary Committee of Inquiry and the report of the Court of Auditors?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u90	Mr President, Mr Dispa, the Court of Auditors itself writes in its report that prior to the publication of the joint statement of 29 September 2014, "no registration or reporting was organised. It was therefore impossible during the preliminary study to obtain a correct list of agreements already given in respect of tax transactions." The Court of Auditors, however, rightly adds that "the new instruction therefore seems to regulate in a formal way the treatment, registration and uniform reporting for the future." The investigation therefore takes into account the recommendations contained in the Court of Auditors' report in this respect. As mentioned by the Court of Auditors, the SPF has previously pointed out that a report on transactions concluded before the date of publication of the above-mentioned instruction "cannot generate exhaustive and reliable statistics because it could only be based on the memory of the agents concerned." I confirm this point of view, but I note that a report will be completed for any transaction file initiated prior to the effective date of the investigation and completed after September 29, 2014. So far, the reporting figures are as follows. Tax transactions: 44 of which 4 are in the process of being concluded. As far as refusal decisions are concerned, the figures of the reporting established by the above-mentioned circular investigation show that they are particularly rare. Three quarters were identified and were motivated either by the fact that the number of existing tax offences was higher than the number included in the transaction proposal, or by the fact that the proposal did not result in the full refund of the tax owing. In view of the fact that refusal decisions remain isolated, the establishment of a list of possible grounds for refusal has so far not been considered appropriate. However, the above-mentioned instruction could be adapted to this effect.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u91	Minister, thank you for your answer.
