ParlaMint-BE_2015-01-21-54-commissie-ic061x.u1	Mr President, last time I surprised a lot of fellow Members by asking questions about music.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u45	Mr Crusnière, following the lessons learned from the study carried out by Deloitte at the initiative of Mr Carl Devlies, the General Tax Administration has set itself the objective of optimising its tax control policy by investing in effective risk management, the purpose of which is to achieve more targeted tax control. In order to ensure uniform processing in the field of controls, the option was taken to organise as much as possible centrally and on the basis of a risk profile the selection of the files to be checked. Geographical location is not in itself a criterion in the risk profile. The aim of this centralised selection is to ensure that taxpayers with the same risk are subject to the same checks, that controls are subject to the same approach and that infringements found are subject to the same sanction. All categories of taxpayers, whether employees, self-employed or undertakings, are covered by the actions thus organised, which may concern a particular sector, activity or theme. It shall ensure that a majority of the operational services of the different regions of the country are covered by the control measures. However, the distribution of the dossiers to be checked in these different regions may depend on the very nature of the subject which the control action aims to cover. This distribution is also linked to the control capacity of local services, which depends directly on the number of controllers assigned to them. In this respect, in January 2015, the distribution of the staff of the General Tax Administration is as follows: - 45% of staff are dependent on a regional directorate with its headquarters in Flanders; - 29% of staff are dependent on a regional directorate based in Wallonia; - 26% of staff depend on a regional directorate with its headquarters in Brussels or on central services also based in Brussels. In the workforce it has put in competition to carry out the operationalisation of the restructuring of its administrations, the tax authorities provided for the following distribution of jobs: 53% of jobs in Flanders, 27% of jobs in Wallonia and 20% of jobs in Brussels. The above shows a deficit of 550 jobs in Flanders. The tax, aware of this situation, places the bulk of its efforts in future recruitment on Dutch-speaking jobs. For example, the 2015 tax staff plan provides for 314 recruitments, of which 308 are planned for Dutch speakers. Similarly, the 2014 staff plan provides for 281 recruitments, of which 238 are planned for Dutch speakers.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u46	Mr President, I am not going to say that the answer reassures me. I am not asking that the geographical criterion be a selection criterion, it is not at all objective. On the other hand, Minister, you are quoting a series of figures. There are 45% agents in Flanders and this is not at all related to the number of checks. You're talking about recruitment, but it's only about part of the staff leaving FPS Finance. I do not believe that this will change much since we know that the means are in decline both for recruitment and for operating costs. The numbers of future recruits that you quote are barely able to cover departures, so that's not what will solve things.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u47	Questions Nos 1366 and 1367 by Mr Alain Mathot are postponed.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u48	Mr President, Minister, during the examination of the 2015 budget and the programme law, we took note of the famous fact sheets of the tax administration for the Court of Auditors. In the statement on the measure on liquidation reserves, the administration quantifies the substitution effect of the liquidation contributions in relation to the movable prepayment. The administration refers to an updated net loss of EUR 47.5 million. This loss is the difference between what shareholders would pay today and what they would pay through the new system. In any event, this is a general reduction in the tax on capital income. The Council of State does not say anything else in its opinion on the programme law, since it states that it is a measure which "seems to be aimed not at facilitating the financing of SMEs but at reducing the withholding tax on dividends". While the government presented this measure as an important aid to SMEs, the Conseil d'État itself says that it is aid to shareholders. Moreover, a certain specialized literature, the Fiscologue, confirms in its analyses the substitution effect. Minister, will a separate budget item from the personal expense, dividend, be used for the liquidation reserve contribution? If so, how were the amounts budgeted for the contribution up to 2018 reflected in the budget projections of the Movable Discount? If not, how was the substitution effect taken into account?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u49	Mr President, Mr Laaouej, first of all, it should be pointed out that there is no separate budget item in respect of the provision of personal savings taking over the proceeds from the taxation of liquidation reserves. The track and means budget reflects only one overall item in relation to the income received at the level of the household allowance. In most cases, the budget displays tax revenues collected by type of tax, for obvious reasons of budgetary readability. As regards SMEs, as defined in Article 15 of the Company Code, it is established from the 2016 tax year that profits after tax are collected at an advance rate of 10% in so far as they are paid into a special liquidation reserve. If the profit so reserved is distributed in the form of dividends after five years, a 5% household discount supplement will apply. If these reserves are distributed as dividends within five years, a 15% household allowance supplement will apply. The separate rate of personal tax payable on such dividends shall be fixed at the same level. At the time of payment of the profit withheld on the dissolution of the company, no personal income tax is payable. The establishment and extension of the liquidation reserve may only be applied during taxation years in which the company is considered to be small within the meaning of Article 15 of the Corporate Code.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u50	Mr President, Minister, I do not think you have answered the question which is of a more budgetary nature. I therefore wonder whether this question should not be put to the Minister for the Budget. So it's possible that I'm speaking to him. Indeed, the idea is to know to what amount the loss for the Consolidated Revenue Fund would amount by what is not collected in the ordinary household allowance but in the form of a separate contribution. The difference in rates results in a budgetary loss that the tax administration has tried to quantify. I will therefore continue the discussion with the Minister of Budget. Mr. Minister of Finance, thank you for your answer.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u51	Mr Minister, the Development Cooperation Act of 19 March 2013 explicitly excludes in its Article 36 that so-called "vulture" funds take over funds intended for cooperation. As I recall, "vulture funds" are those funds that buy back debts, on which a number of developing countries depend. They redeem them with a discount and hope to be able to be fully repaid with interest from the debtor States. Some well-known cases are dealt with in the United States or English courts. The Belgian courts have sometimes even been brought before them. Before this law, these "vulture funds" could ask the Belgian State to pay them development aid rather than to pay it to the debtor States. This is really a huge problem that handicaps many countries like Argentina. I had the opportunity to meet with the Ambassador of Argentina, who explained to me the situation in his country. He also quoted me as a rather exceptional figure. So they negotiate all their debts with all their creditors: 93% of their creditors accept a sequencing and 7% refuse. Who are these 7%? Vultures. The Argentinians have quite interesting arguments, arguing that if they collide at some point, it will be harmful for the entire global economic and financial system and for Belgian savers who, through investment funds, can hold Treasury bills or Argentine bonds. Therefore, fighting against "vulture funds" is not only sensible for the countries concerned but for all countries. One of the major advances in this text is that it applies to all government policies that may have an impact on developing countries. Therefore, Mr Minister, in the name of policy coherence for development, now legally binding, what steps have you taken or intend to take, so that your department's decisions fully respect this coherence, particularly with regard to the debate on "vulture funds"? What initiatives can be taken to try to limit the harmful effect of these "vulture funds"? More broadly, how do you look at this problem? What initiatives could you take more concretely with regard to the Argentine debt?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u52	Mr Laaouej, the FPS Finances encouraged the enactment of the law of 6 April 2008 which aims to prevent the seizure or division of public funds for international cooperation by so-called "vulture funds". My department supported Belgium's accession to the legal support facility created in June 2009 by the African Development Bank, of which Belgium was the first OECD country to become a member. This facility aims to provide assistance in legal proceedings initiated by these "vulture funds", through legal aid and technical assistance to countries affected by the "vulture funds". The FPS Finances also supports the principle of Naming and Shaming, which consists of publicly denouncing the practices of "vulture funds". In general, my department is involved in any initiative that will enable the countries affected by the "vulture funds" to regain their credibility, in order to normalize their relations with the international financial community. The FPS Finance also seeks to prevent bona fide creditors from being deprived of some of the legal opportunities to obtain repayment of their justified claims. With regard to the particular case of Argentina, because this is an exemplary case, my department is part of the decisions taken within the framework of the Paris Club. In May last year, we took an important decision on Argentina: Argentina's support without IMF support. The agreement also provides for the promulgation of payment deadlines, which greatly helps Argentina to clean up a financial situation which nevertheless remains rather difficult.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u53	Thank you, Minister. This shows, in any case, that this subject is not foreign to you and that you attach a certain interest to it. Mr President, Mr Minister, I have tabled a bill to try to put in place a legal system which ensures, of course, that creditors are preserved in good faith, but which would also, on the one hand, prevent these "vulture funds" from asking for more than what they are entitled to, on the basis of a whole series of criteria; and, on the other hand, allow a Belgian judge seized of such an approach to be able to refuse to return to the game of these "vulture funds" which, through their lawyers, multiply proceedings in all countries where it is possible to seek money. Belgium may at some point be able to be creditor vis-à-vis certain countries. Not only the developing countries, but already developed countries that find themselves in a somewhat difficult financial situation. This can happen to everyone, just see what is happening in Europe. And with a criterion that is somewhat similar to the criterion of injury found in the Civil Code. You know that in the Civil Code, when there is a disproportionate price on the occasion of the sale of a building, the person who bought the building can see the judge and say: I bought a building but at a price that is completely disproportionate and therefore I ask you to review or cancel the sales contract. I draw a little from this logic, taking as a criterion the disproportion between the face value of the debt and the redemption value of the debt by the "vulture fund" - plus a whole series of other criteria - one could allow a Belgian judge who would be seized to consider that the demand for the "vulture fund" is not acceptable and therefore must be rejected. But I would point out that this must be done with a certain pragmatism by avoiding penalizing creditors in good faith. I must also convey to you, Mr President, that the Ambassador of Argentina whom I met at a working meeting - because I wanted to go into the matter - is quite willing to come and explain the problem from the point of view of a typical case: Argentina. If you wish, on the occasion of the consideration of my bill, a hearing with the ambassador and his teams could be very useful. I'm completely open. I don't want to make it a political issue. I find this to be a matter of general interest. The proposal is open for signature, for amendment. If the firm wants a working meeting, I'm open. It is a matter of general interest that would show that in Belgium, we can be forerunners on certain subjects. The call is made. Maybe we'll have a chance to talk about it again.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u54	Mr President, we have received from the Court of Auditors an excellent report on the tax of non-resident natural persons, a report containing ideas for more effective taxation. In this report, the Court of Auditors makes a series of recommendations on the treatment and verification of the declarations of this category of taxpayers. Beyond these recommendations, the Court of Auditors makes a more fundamental remark: "The Court of Auditors is of the opinion that the concrete recommendations will have only a limited impact if the tax system of non-residents is not thoroughly reformed." The tax system for foreign executives is one of the points to be reviewed by the Court of Auditors. It was introduced in 1983. The rules of the scheme are contained in an administrative circular. So there is no legal basis to date. The finding is not new since in 2003 the Court of Auditors had already noted this point. Are you in favour of reforming the tax system for non-residents? Will you take steps to provide a legal basis for the tax system of foreign executives? In terms of taxation, do you think Belgium is more attractive to foreign executives than to neighbouring countries and direct competitors?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u55	Mr Minister, this is a story that already dates from a circular dated 29 September 1960 which wished to introduce a tax favor regime for foreign workers. The original idea provided for an additional flat-rate deduction for business expenses of 30% of taxable income and for the granting of the status of Belgian non-resident to the worker concerned. After the Court of Cassation had given its opinion, it was found that that additional flat-rate deduction was unlawful in addition to a standard flat-rate deduction. Consequently, the circular of 8 August 1983 saw the Iicht. The Court of Auditors has made many comments. The 2003 and 2014 reports also consider that this circular has no legal basis and that it is negative about the lack of controls on the application of the expat regime and on taxpayers subject to the tax of non-residents in general. A stricter control does not prevent the regime from providing time limits for foreign executives. The Court of Auditors has apparently seen cases where a recognised executive has been resident in Belgium for more than 20 years. The Finance spokesperson stated that it can be said that 55% of recognised executives lose their status after 10 years. The Court recommends limiting recognition as a foreign executive in time and improving the exchange of information with abroad. Mr Minister, I have the following specific questions. To what extent do you intend to comply with the recommendations of the Court of Auditors? Which recommendations are and which are not? Your fellow Secretary of State, Mr Sleurs, has also included in her policy paper an action point to control persons subject to the tax of non-residents. To what extent will you follow that up? Finally, do you intend to limit the regime for foreign executives, as proposed by the Court of Auditors, in time? If so, what direction do you intend to take and what period do you intend to take? Would you like to align the duration of the tax posting with social legislation, because in the context of a posting, the coordination directive of social security systems provides for a period of two years in order to improve the exchange of information between the Crossroads Bank of Social Security and abroad?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u56	Mr Dispa, Mrs Wouters, thank you for your questions, I will try to regroup a little. Indeed, as Mrs Wouters has correctly pointed out, Belgium has long had a system for attracting high profiles, which require special knowledge and responsibility. The system was introduced at the time to attract foreign investment, despite the high wage costs in Belgium. Although this government has already taken measures and will follow further measures to reduce labour costs, these wage costs remain a serious problem in this context. As far as foreign executives are concerned, if Belgium is compared with neighbouring countries, it cannot be said that Belgium provides a more advantageous regime for foreign executives. The Court of Auditors has noted both in its 2003 report and in the most recent report that the system as it stands today does not really have a legal basis. I am not in favour of abolishing the system as a whole, just as much as I was able to find out about it as my predecessors have been since 1992. However, I am convinced that foreign investors will benefit from a sound and sound regime. I will therefore instruct my administration to examine the substance of the Court's recommendations and to make a quantitative assessment of the size of this aid as precise as possible. As soon as the results of that study are known, it will be examined whether initiatives are being imposed, in particular as regards the particular attack system for some foreign executives. As far as control is concerned, all the above does not alter the fact that persons subject to the tax on non-residents, including foreign executives, must of course be controlled and effectively controlled. Since 2012, the General Administration of Taxation has focused its policy on tax control through risk management more on targeted tax controls. The option has been taken to organise the selection of the files to be checked largely in a centralised manner based on the risk profile. I would stress that, since the introduction of this system, no specific control action has been organised centrally with regard to foreign executives. However, the General Administration of Taxation foresees that this could be included in the 2016 control programme. I therefore fully support what Mr Sleurs included in her policy paper on the control of and on non-residents.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u57	Minister, for my part, I do not fully support Minister Sleurs in her policy statement, but it is not very serious. I hear your cautious response to the advisability of providing the mechanism with a legal basis, as well as the prospects for reform. You prefer to wait for the administration report, which I understand very well. It would be interesting for the committee to be able to obtain this report or the reading you are making in order to be able, when the time comes, to define the most sensible direction.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u58	Thank you, Minister, for your reply. I agree with Mr Dispa: it would be interesting to continue the discussion as soon as those figures are known. I fully support you when you say that wage costs are one of the major problems that we will have to tackle, because they create all kinds of systems. I also think that Belgium is no more advantageous than our neighbouring countries. We must ensure that, within the European context, we, as Belgians, do not get rid of the market in order to attract workers. I therefore hope that further questions will be raised in the future.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u59	Mr President, Minister, the collection of penalty fines is the subject of regular discussion, undoubtedly not only in this committee but also in the Committee on Justice. According to the latest report from the Court of Auditors that we have read about it, only 27% of police sentences would be recovered. It is even worse with the correctional penalties, of which only 14% would be recovered. That's too bad. We put all this effort into enforcement, we put in police and magistrates, we put in resources for that, but if we end up with penalties, they will not be carried out: then, of course, there is little point. According to the Court of Auditors' report, the contract with Unisys for the development of STIMER, an IT system designed to centralise the management and recovery of all revenue from the FPS Finance, was to cease on 2 January 2013. If we read the Court of Auditors' report, Minister, it was for logical reasons. It is effectively said that STIMER has uniformly automated the registration and sending of payment requests. By means of a structured communication, they shall also send a transfer form to the recipient, but the essential elements of the application are missing, namely the follow-up of payment periods, which is quite logical, the sending of a reminder letter for payment and enforcement via simplified attachment or forced recovery through the bailiff. That was no longer possible once they called upon STIMER. What was meant made implicitly impossible by the chosen computer system. Understand who can, but it would have been. This contract would have been terminated. EUR 20 million would have been spent on this. Apparently, there would have been a procedure or recovery for some of the amounts already paid. However, a response from your predecessor in 2014 showed that STIMER would still have been in operation. Now I don't understand, Minister. The consortium Genesis Centran would have worked on stabilising the application and a new specifications, called First, would thus have been entrusted and implemented in order to develop new functionalities. Hence my questions to the Minister. How's STIMER now? Is it alive or is it effectively written off? What about the command to Genesis Centran to stabilize the application? Has that been done effectively and has that work been completed? Were new functionalities already implemented on the basis of that guide? In other words, does one go beyond sending an ordinary payment request? What about the amounts paid? Has a piece been repaid or is there compensation? What is the further planning related to STIMER? What are your insights into this? Thank you for your answer.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u60	Ms Van Cauter, when the contract with Unisys was terminated in 2013, it was decided to replace the project STIMER with the project First. First is in the second phase of so-called evolutionary maintenance. This means that technical and functional improvements are being made. The consortium Genesis Centran completed the first phase of that evolutionary maintenance on 15 August 2014. The registered problems were solved and the modules in production were adapted to the current ICT standards. In addition, a number of barriers were unblocked in the system pending a more definitive solution. The new handbook will be published in the course of 2015 so that the contract can be awarded when completing the second phase of the evolutionary maintenance, namely in December 2015. On 11 February 2014, the court took note of the agreement between the Belgian State and Unisys, in which there are no mutual payments due. The second phase of evolutionary maintenance runs until the end of 2015 and is still focused on improving the applications. A new handbook will be published in the course of 2015 on the development of new functionalities to support recovery and recovery. The implementation of that contract will take about two years.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u61	Mr President, Minister, I understand that in order to collect fines electronically, first STIMER and then First will be used. I also understand that the agreement with the firm that has developed STIMER has been terminated in love, that both parties have put water in the wine and come to an agreement. Secondly, you reply that we are now working on a first and a second phase, which identifies the obstacles and, if necessary, removes them. Minister, I do not know much about that, of course. Maybe I don't understand. That may be up to me, because I'm not very specialised in ICT. Does that mean, however, that in addition to sending an invitation to pay, there is now a possibility of following up, remembering, simply confiscating and ordering the bailiff? Can things follow each other evolutionaryly in the very short term? Is that correct, or can you not explain it in detail? Do I understand correctly that there will be a new set of specifications in which, taking into account all the shortcomings or obstacles, as you put it so nicely, it will be even better defined how the collection of fines will be carried out in practice? Perhaps you could explain that to me.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u62	Mr President, Mrs Van Cauter, I would like to explain this briefly. My answer to your last question is yes. For the answer to your first question, I would like to ask you exactly where we stand. After all, you are rightly becoming quite specific on all kinds of points. However, I would suggest that I look into this and I inform you about it as soon as I get the information.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u63	Mr President, Minister, the discussion just now brings me seamlessly to this question. First is an automatic and unified application for the electronic collection of fines. Through the media, we hear that a pilot project is under way in Ghent, in which the FPS Finance is sending letters of formal notice on its own initiative, threatening to proceed with forced execution through the intervention of a bailiff. Is that separate from First? Wanpayers get two months to pay. If no payment is made, bailiffs are ordered to collect. The results would be very positive, as it is reported that additional EUR 290 000 had been collected in Ghent. Or is this more generally about collecting taxes, regardless of fines? Are taxes collected in a different way than fines? I would like to have some explanation about this. At different times, things will be evaluated. A pilot project would also be launched shortly in Wallonia. Can you discuss the current situation of the project in Ghent? Can you distinguish it from First? Why doesn't all this happen in the same way? What is the situation in Wallonia? Has a pilot project already started there? Do you have any idea of a time limit for the generalization of the procedure?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u64	Mr President, Mrs Van Cauter, as far as relations with First are concerned, I would ask you for some time to have that examined. I will certainly reply to that later. You had four specific questions. First, as regards the pilot project in Ghent, between the end of September 2014 and mid-January 2015, 12 704 unpaid fines were processed. Since some persons have to pay different fines, this amounts to 10 175 debtors of one or more fines. Of the 15.6 million euros to be recovered, 862 000 euros were received, i.e. 5.5 %. This percentage is lower than the percentage of 10% I mentioned earlier because the second set of files was sent to the bailiff only very recently, so the procedure was not completely completed. Once that's done, that percentage will normally increase. The balance that is still open represents different types of files. There are files in which there is still a possibility of recovery from the convicted person or from third parties and there are files for which the possibility of recovery is minimal because the debtor is detained, residing abroad, has been removed without known address or is involved in insolvency proceedings. As regards your second and third questions on Wallonia, the launch of the pilot project in Liège was launched on 5 December 2014. That will run until the end of the second quarter of 2015. In your fourth question, you asked about the prospects. Once the new working methods have been further developed and if there are no significant problems with the Debiteursbeheer programme, the project will gradually be implemented throughout the country during the third quarter of 2015.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u65	Minister, you understand that I have questions about the relationship between these pilot projects and First. There is a public invitation to tender. The aim is to create a general set of specifications and to re-establish public procurement. In addition, there is another pilot project. I don't understand any of this. Fines are imposed by way of a verdict. With First, the sentence would automatically end up in a computer system after which a formal notice will be sent. In addition, there is another pilot project which actually sends letters of formal notice in a different way. That's really confusing for me.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u66	I will try to put an end to this confusion as soon as possible.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u67	Debates of the European Parliament Mr Vanvelthoven's 1534 was postponed.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u68	Mr President, Minister, the follow-up audit of the Court of Auditors shows that the procedures for simplified attachment and tax compensation for the collection of penalty fines by the FPS Finance leave to be desired. However, so says the Court of Auditors, both ways of recovering penalty fines are very cheap and simple. The recovery of penalty fines through compensation was, according to the Court of Auditors, not sufficiently used. This is due both to insufficient quality and incomplete information on claims and to the absence of initiatives from the recipient offices. So some do not! With regard to the non-systematic use of the tax compensation and the simplified attachment, which is actually even easier, since it concerns the sending of a registered letter to the employer who will then have to take over the remuneration. In particular, there is insufficient use of tax compensation and no use of the simplified herd. Minister, what steps have been taken in the meantime to implement and simplify these procedures of tax compensation? Can you tell me what progress has been made in automating the tax compensation? I'm not talking about STIMER. I'm talking about First. What measures have been taken to encourage the simplified attachment? Is the procedure of the simplified attachment now being used in the receiving offices? Are any initiatives planned in the future to encourage the use of both methods?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u69	As far as your first two questions are concerned, all extracts from courts or tribunals which order the payment of a penalty penalty and court fees are included in the database of................................................................................................................................................................................................................................................. Hence they automatically enter the fiscal balance sheet, which gives an overview of a citizen's assets and debts. As a result, the offices that make a refund, such as personal tax or VAT, can take this situation into account. Where before August 2014, the offices had to contact each other via e-mails or forms, everything now happens automatically. The office that will make the refund shall pay the amount into the office's account where a penalty is still open, indicating the structured notice. This payment will then automatically continue to be booked. In this sense, the procedure is automated. It is considered whether it is feasible and advisable to exclude manual interventions and thus to process the whole procedure in a computer program. Over the last three years, the results of compensation for direct taxes on non-fiscal debts, mainly penalty fines, have been as follows: EUR 15.7 million for 2012, EUR 25.1 million for 2013 and EUR 37.3 million for 2014. This is therefore a large doubling over three years, in particular an increase of 138 %. Moreover, in 2014, EUR 1.4 million in VAT refunds was offset by non-fiscal debts. As far as your third and fourth questions are concerned, no specific measures have yet been taken in view of the problems with First, and in the past with STIMER, and the simplified procedure has not yet been used by the bank. As far as your fifth question is concerned, priority will be given to stabilising and further improving First, using the Debiter Management programme for the recovery of penalty fines and, if the pilot projects are successful, their roll-out. I make it clear that integration has indeed taken place, but I promise that I will give a clearer answer to this during one of the forthcoming sessions.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u70	Mr Minister, automatic compensation is undoubtedly a major step forward. I'd say hold on to this, keep doubling the percentage. However, I have not heard whether any compensation is being paid in all the offices. You don't have to answer that immediately. That was exactly the problem the Court of Auditors detected: some offices do it proactively, but others simply don't. The simplified herd was made possible by the legislator a number of years ago. This means that there is a possibility of a wage seizure without intervention by a bailiff. One should simply check with the RSZ whether the RSVZ where someone is employed writes down the employer, and then there can be a deduction on the salary, of course with the necessary respect for the non-taxable minimum. It can be so simple, with so little cost! However, I hear that there are pilot projects involving the use of bailiffs. I really have nothing against bailiffs, but this is how extra execution costs are incurred. These must not only be advanced, but ultimately also paid by the debtor, on top of the debt. They are often people in difficult situations. It can be so simple! I therefore hope that this will be done as a matter of urgency. If you do automate everything, you can take it with you. That seems obvious to me.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u71	We will meet again next Tuesday, at 10 a.m. 00 for the priority legislative proposals and at 14 a.m. 00 for the hearing with Mrs Tai and Mr Batselier of the ruling committee.
