ParlaMint-FR_2018-08-01-E1044.u1	The next item is the question to the Government.
ParlaMint-FR_2018-08-01-E1044.u149	Mrs Dominique David, on behalf of the Group of the European People's Party, is on the move.
ParlaMint-FR_2018-08-01-E1044.u150	Mr. Secretary of State to the Prime Minister, in charge of digital affairs, the "digital pass" is launched. The President of the Republic announced this at your side on 19 July during his visit to the Dordogne. This is excellent news for at least a quarter of our fellow citizens: those affected by "illectronism", an inability to become as disabled as illiteracy. In concrete terms, the digital pass is a voucher given to the counters of the main public services, of certain associations and, perhaps tomorrow, of shops and banks. It provides access to digital mediation services provided by labeled structures: digital public spaces, public service houses, third-party locations, fab labs or shared workspaces. Experienced in Gironde, in my department, by the Bordeaux association Media-Cité, which had the idea, this digital pass will be gradually deployed throughout the territory. It is therefore a simple scheme, which will reassure the 13 million French who are anxious to see the dematerialization of administrative procedures arrive at a pace which promises to be sustained during this quinquennium. More than that, the digital pass is the first brick in the big project that you launched, Secretary of State, so that digital is a chance for all. Can you tell us about the first feedback on the digital pass experiment and how it will unfold? What will be the role of public service houses in this scheme? How will it be financed? Will this topic of national interest be the subject of a new line in the 2019 Finance Bill? How can private actors who also dematerialize their services contribute to the financing of the scheme? (Applause from the LaREM Group)
ParlaMint-FR_2018-08-01-E1044.u151	The Secretary of State for Digital Affairs has the floor.
ParlaMint-FR_2018-08-01-E1044.u152	[[Applause on the benches of the LaREM group]] Madam Member, you are right: Internet, digital is not just for the bourgeois. If the fight against illiteracy has been the fight of a century, and a battle still unfinished, the fight against "illectronism" will be that of our generation.
ParlaMint-FR_2018-08-01-E1044.u153	If you dematerialize everything, it's gonna be hard for people!
ParlaMint-FR_2018-08-01-E1044.u154	Can we still accept that one in five Frenchmen, or 13 million people, should be treated less well than others? On average, those who do not know how to use digital technology go to the doctor once more a year, as it is more complicated to get an appointment and good information when you don't have the Internet. Do we accept that these people need 20% more time to find a job, because 75% of offers require basic digital skills? Access to public services can also be mentioned, because it is true that we will go far and very quickly in digitisation – but we will also think of those who do not know how to use it and we will remain committed to them. Will we still accept that these people pay more than others? They are, in fact, often the poorest and, because they cannot compare prices, they pay at a high price. In Dordogne, on 19 July, the President of the Republic said again: we will continue to digitize, but we will also and above all continue to humanize. The digital pass is indeed a way to put people back into the digital world. In concrete terms, it is a title that allows ten to twenty hours of training and accompaniment in a structure close to home, in rural and urban areas, in working-class neighbourhoods. This was made possible by twelve months of work with the Association des régions de France, the départements de France and community associations. We have agreed on this and to finance it together. The Bank of the Territories will contribute to the financing of the structuring of all local organizations and associations. [[Applause on the benches of the LaREM group]] 2018 was the year of the strategy, 2019 will be the year of the deployment and 2020 the year of the transition to scale.
ParlaMint-FR_2018-08-01-E1044.u155	The next speaker is Mr Pierre-Yves Bournazel, for the IDU Group, Action and Independents.
ParlaMint-FR_2018-08-01-E1044.u156	[[Exclaims on the benches of the LR group]] Minister of Transport, on July 20, you introduced the first steps in the mobility policy bill. Nevertheless, the planned Bike Plan was postponed to September. As you know, the wait is great. While three-quarters of home-to-work travel is less than 5 km and the modal share of cycling in France is less than 3%, compared to 26% in the Netherlands and 19% in Denmark, our country is lagging far behind – and I will not dwell on the unfortunate singularity of Paris, where Vélib's fiasco penalizes hundreds of thousands of users.
ParlaMint-FR_2018-08-01-E1044.u157	Bournazel's in the country!
ParlaMint-FR_2018-08-01-E1044.u158	The Assises de la mobilité, at the end of 2017, was a great success and strongly mobilized the players in favour of cycling. A number of concrete and useful proposals emerged: the creation of an ambitious national bicycle fund to help communities develop bicycle infrastructure, the introduction of young people to a cycling culture through "know-how" and the introduction of incentives, such as the mandatory bicycle kilometric allowance or the redesign of an effective aid scheme for the purchase of electric bicycles. These are necessary steps to move forward in the development of this sustainable mode of transport. The success of this plan also requires addressing a question of methodology and governance: how can it be effectively monitored and coordinated across the board? [[Applause on the benches of the UDI-Agir group]] Minister, the goal is to triple the share of the bike by 2024: how do you plan to achieve this goal? Can you tell us if these useful measures will be integrated into the future Bike Plan?
ParlaMint-FR_2018-08-01-E1044.u159	The Minister responsible for transport has the floor.
ParlaMint-FR_2018-08-01-E1044.u160	Mr. Member, you are asking me about the Government's ambition for active mobility, and especially for cycling. Indeed, the development of active mobility and cycling addresses several major issues: reducing greenhouse gases, combating pollution and improving air quality, and improving the health of our citizens. It also helps to provide everyone with access to mobility, with low-cost solutions. Today, the share of cycling in our travel is only 3%, compared to an average of 8% in Europe and 10% in the 1970s. There are, therefore, significant margins for progress. That's why Nicolas Hulot and I will present an ambitious Bike Plan at the start of the year, which will help achieve the goal of increasing the share of cycling in our travels by three times in five years. To this end, together with several of my colleagues, we will propose the development of safe cycling arrangements, the introduction of road safety measures, the improvement of mechanisms to combat theft of bicycles and incentives for the use of bicycles and, more generally, the development of a bicycle culture from school onwards.
ParlaMint-FR_2018-08-01-E1044.u161	Good!
ParlaMint-FR_2018-08-01-E1044.u162	[[Applause on the benches of the LaREM group]] I know that this plan is very much expected by our fellow citizens, as well as by associations and elected representatives. I therefore confirm that it will be part of the mobility guidance law, which will give priority to the Government in terms of cleaner daily transport.
ParlaMint-FR_2018-08-01-E1044.u163	The next speaker is Mr Pierre Cabaré, for the La République group on the move.
ParlaMint-FR_2018-08-01-E1044.u164	[[Exclaims on a few benches in the LR group]] Madam Minister for Higher Education, Research and Innovation, I am elected from a territory where the French space sector employs 50% of its employees, or 25% of European space employment. As co-chair of the Aeronautical and Space Studies Group, I had the honour of attending the last shot of Ariane 5, in Kourou, at your side and in the presence of Mr Sébastien Lecornu, Secretary of State to the Minister of State, Minister of Ecological and Solidarity Transition, the Co-Chair of the Study Group, Mr Jean-Luc Lagleize, and the Emeritus Pilot Member of the Assembly, Mr Jean-Baptiste Djebbari. This launch is an example of good cooperation between European countries. French Guiana is an exceptional step forward, recognized by the world, and I would like to highlight the work done by the Centre national d'études spatiales – CNES – which ensures a central role in cooperation between industrial actors. Our scientific community is at a global level of excellence and we must maintain this success, as well as the resources allocated to its funding. This leadership in the production of satellites and launchers requires us to pursue an ambitious and common vision for our space policy. I would therefore like to ask you, Madam Minister, about the continuity of the French commitments in the European space programmes, and I would even like to propose to you and to the ministers concerned here today that, as ten years ago, we should take the initiative of a sixth Space Council with our European partners and thus propose new initiatives on the contribution of space technologies to the fight against climate change, to employment and to the security of Europe. [[Applause on the benches of the LaREM group]] I will conclude by stressing our desire to remain ambitious for our competitiveness and our research, and conclude with one sentence: Europe's main wealth is union.
ParlaMint-FR_2018-08-01-E1044.u165	The Minister for Higher Education, Research and Innovation has the floor.
ParlaMint-FR_2018-08-01-E1044.u166	Mr President, thank you for once again giving me the opportunity to welcome the success of this ninety-ninth launch of Ariane 5. Our know-how in the field of space is indeed very important at French and European level, and it is also important to make this known, because we know relatively little about the importance of space in a very large number of areas. The year 2018 will be marked by seven additional launches planned from Kourou, including BepiColombo, which will explore Mercury, or that of the first strategic military satellite of the optical space component – CSO 1. It is also the year when the Mascot robot will reach Ryugu, which will allow us to have the first images in October, and where, as early as November, InSight will allow us to continue the exploration of the planet Mars. 2018 is also the year where we successfully tested Ariane 6 and Vega C's new P120C thruster. Yes, space is both national and European ambition and pride. This is why, starting on 25 October, the Council of Ministers for Space at European level, organised by the European Space Agency and intended to prefigure 2019, will be held in Madrid, which will allow us to meet and draw up a roadmap for new challenges for space at national and European level. [[Applause on the benches of the LaREM group]] The 193 programme will, of course, be consolidated in the finance law, because space is a lot of research and funding needs, but also a lot of promises for the future.
ParlaMint-FR_2018-08-01-E1044.u167	We have completed the questions to the Government.
ParlaMint-FR_2018-08-01-E1044.u168	The meeting was suspended.
ParlaMint-FR_2018-08-01-E1044.u169	[[The sitting was suspended at 16.10 and resumed at 16.25 with Mr Hugues Renson in the chair.]]
ParlaMint-FR_2018-08-01-E1044.u170	The meeting was resumed.
ParlaMint-FR_2018-08-01-E1044.u171	The next item is the final reading of the bill on the freedom to choose one's professional future (No. 1221).
ParlaMint-FR_2018-08-01-E1044.u172	Excellent!
ParlaMint-FR_2018-08-01-E1044.u173	The Minister for Labour has the floor.
ParlaMint-FR_2018-08-01-E1044.u174	Mr President, Madam President of the Committee on Social Affairs, ladies and gentlemen, rapporteurs, ladies and gentlemen, "of all the acts, the most complete is that of building," wrote Paul Valéry. But it is an even more complete act, it seems to me: to act decisively to give everyone – young, wage-earner, job-seeker, company – the means to build, that is to say to project themselves calmly into the future. It is precisely in this abym that we have collectively participated in the last few months in drafting a law designed to enable everyone, especially the most vulnerable, to build freely their professional future, and not to undergo it in a world in profound change. We worked together to do this, first by making and sharing the diagnosis and conducting consultations with all stakeholders, and then by encouraging the social partners to negotiate. I also welcome their commitment to an ambitious new social agenda at the beginning of the year: unemployment insurance, occupational health, platform workers, inclusion of the most vulnerable. During all these months of working together, we were inhabited by the visceral will to put an end to resignation from determinisms and discrimination, which inexorably makes the bed of insecurity and unemployment. That is how we have drafted this bill for social empowerment through work and training. Act II of the presidential commitment to the renovation of our social model, this text supplements Act I, the law for the strengthening of social dialogue, which you voted on a year ago to the day.
ParlaMint-FR_2018-08-01-E1044.u175	Yes, that's right!
ParlaMint-FR_2018-08-01-E1044.u176	[[Mr. Sylvain Maillard applauds]] Renovating the social model starts with – but cannot be limited to – strengthening growth by giving companies more agility. That is why the final vote in Act II is to consolidate growth in a sustainable manner by providing solutions tailored to the skills needs of companies. This means making growth rich in jobs and inclusive. It is therefore a strong statement that no one is unemployable. For yes, this is precisely what we are doing by massively developing everyone's access to the major asset of the 21st century – skills – notably by unlocking the Malthusian system of learning and the opaque and unfair system of vocational training. For yes, that is what we are doing by laying the foundations for more universal and fairer unemployment compensation. This is what we do by promoting the inclusion of persons with disabilities in employment. That is what we are doing by resolutely imposing equal pay for women and men and by combating harassment and gender-based and sexual violence at work. We thus open the field of possibilities, so that everyone can be fully involved and realize himself in his professional career by being more confident in his potential and in his ability to value him, and guaranteed to benefit from effective collective protections against precariousness and unemployment. "Day! Get involved in projects! Develop them! Transmit your know-how! Let it shine for the benefit of our economy, our youth, our society, our territories, our country! This is the clear message of encouragement and deep confidence that you will send to our fellow citizens by definitively adopting this text, which I thank all of you for having fully contributed to enriching and improving through the parliamentary debate. It is in particular thanks to you, the chairman of the Committee on Social Affairs, dear Brigitte Bourguignon, that this substantive parliamentary work was able to begin well before the formal discussion of the bill. This has happened in a generally calmed climate, and I thank you, as well as the presidents and the service of the meeting. I would like to pay tribute to the work and the remarkable commitment of the rapporteurs – Catherine Fabre, Aurélien Taché and Nathalie Elimas – and that of the draftsmen, Sylvie Charière and Graziella Melchior. I would also like to stress the involvement of the rapporteur of the delegation to the overseas countries and territories – Ericka Bareigts, Justine Benin and Josette Manin – not to mention the proposals of the delegation to women's rights, whose rapporteur, Pierre Cabaré, has taken over, as well as the work carried out by Thierry Michels, rapporteur of the Committee on European Affairs. Your intense work and their varied prisms bear witness to the multidimensional nature of the challenges we face on the ground. It is precisely to carry out these systemic transformations that the Government, in continuity with the links with the actors on the ground, will devote itself in the coming months, as these reforms involve a task of implementation commensurate with the quality of the draft law. I will, of course, report to you on this in the context of your assessment and monitoring missions. Some actors, as you know, have already made commitments to this bill, and others are preparing for it. I would therefore like to pay tribute to them: the Permanent Assembly of Chambers of Crafts and Crafts undertakes to train an additional 60000 apprentices; The National Council of Industry aims to increase the number of apprentices by 40%; the French Federation of Buildings has just undertaken to train and recruit 15,000 builders; The networks of the best of learning, the companions of duty, the rural family homes have all committed themselves; Finally, the adapted enterprises, thanks to a modernised model and the unprecedented support of the State, will create an additional 40,000 jobs for people with disabilities by 2022. These jobs, these projects, these futures are what must mobilize us all, each at its own level, to make them possible. The mobilization of the Government, as you know, is complete. It is also the purpose of my proposal to work with ultramarine parliamentarians in September to adapt the provisions of this bill to the different local contexts. [[Applause on the benches of the LaREM and MODEM groups]] In the global battle of skills that is now under way, I know that we share the will to win over our fellow citizens, our businesses and our territories, especially those who are most in difficulty. Thanks to this far-reaching reform, at the heart of the renewal of our social model, we will finally have all the assets to win this battle and finally realize the republican promise of social emancipation that our fellow citizens expect.
ParlaMint-FR_2018-08-01-E1044.u177	Mrs Fabre, rapporteur of the Committee on Social Affairs, has the floor.
ParlaMint-FR_2018-08-01-E1044.u178	Mr. Chair, Madam Minister, Madam Chair of the Commission, ladies and gentlemen, at the time of the final vote, it seems to me necessary to recall the findings, the philosophy and the principles that guided us throughout our consideration of this bill for the freedom to choose our professional future. We have inherited a system of vocational training, unemployment insurance and career models from a world that is no longer ours. Since professional paths are now made of bifurcations and breaks, one can no longer reason on the basis of each other's statutes or provide for silo rights. We also inherit an ambitious system in terms of protection and social mobility, but which we can only see today in terms of real rights. So, is it normal, in 2018, that workers and employees are twice as well trained as executives? Is it normal that we are still unable, so much so, to include people with disabilities in the ordinary environment, that is to say 12 million of us? Is it normal for our education system to participate in an unworthy social reproduction, by relegating in the impasse all those who do not have the codes or the appetite to blend into the mould of higher university studies, even though the professional path offers magnificent opportunities? Is it finally normal, in 2018, after a century of fighting for gender equality, that women still be subjected to gender-based violence within companies, and paid 9% less than men, just because they belong to the second sex? No, ladies and gentlemen, all this is not normal, and it would be revolting to resign, and irresponsible not to do it.
ParlaMint-FR_2018-08-01-E1044.u179	Bravo!
ParlaMint-FR_2018-08-01-E1044.u180	In the face of this unbearable observation, to which it seems to me that we are all sensitive here, we have a responsibility to provide answers, to invent new solutions, more adapted to the world of today. That is the meaning of your fight, minister, and I thank you for putting so much conviction and energy into it. Together with my fellow rapporteurs, whose work and commitment I would like to pay tribute to – Aurélien Taché for Title II and Nathalie Elimas for Title III – we have continuously sought to be the guarantors of this line and ambition. The version of the bill on which we are voting is the result of our second reading. Indeed, the Senate did not wish to reconsider it, which reflects the persistence of a deep disagreement between the two chambers. The text therefore respects the great balances formed by our Assembly at first reading and which it restored at second reading. In the end, our work resulted in two months of debate, 3,762 amendments discussed, of which 526 were adopted at first reading, and 852 amendments tabled, of which 297 were accepted at new reading. It is the fruit of a commitment of everyone. That is why, ladies and gentlemen, I thank you all for your contribution. Two guidelines were used to review the text. The first was to get out of the logics of statutes, which no longer correspond to the realities of current professional trajectories, and are often sources of obstacles and injustices in the realization of a professional project. This has led us to attach even more directly the right to training to individuals rather than to jobs, to open up the right to unemployment to the self-employed and resignations carrying out a retraining project, but also to facilitate the bridges between the civil service and the private sector, guaranteeing more flexibility and diversity at work. The second was to move from a logic of means to a logic of result. Thus, equal pay for women and men should no longer be a principle, but a reality. Similarly, funding for apprenticeship training centres – CFA – will depend in particular on their propensity to meet both the expectations and needs of young people and businesses. More broadly, the obligation to achieve results in terms of access to the law requires strengthening the rights of the most vulnerable, with more resources and support for the least qualified, disabled or part-time workers. The bonus-malus also derives from this logic and is intended to limit the use of precarious contracts. [[Applause on the benches of the LaREM and MODEM groups]] This evening, the last day of our first year of Parliament, our ambition to give a new breath to the professional world is realized with this vote. The renewal of individual and collective labour relations, through the ordinances on the strengthening of social dialogue, which we voted a year ago to the day, succeeds the long-awaited security of professional paths. Of course, we are aware that we are still in the middle of the ford, and the time for the deployment of the new tools, their appropriation, and their evaluation will be just as important as the legislative time. Ladies and gentlemen, let us remain mobilized throughout the mandate to succeed in this modernization of the professional world.
ParlaMint-FR_2018-08-01-E1044.u181	I have received from Mr Jean-Luc Mélenchon and from members of the La France group a motion to reject in advance pursuant to Rule 91(5) of the Rules of Procedure. Mr Adrien Quatennens has the floor for a period of not more than 15 minutes.
ParlaMint-FR_2018-08-01-E1044.u182	Mr President, Madam Minister, the chairman of the committee, the rapporteur, ladies and gentlemen, a few hours from the parliamentary break, we could have chosen to send this final reading, but we do not give up the idea of convincing you to put an end to this narrow vision that you have of employment policy in our country, and to make proposals again, according to the adage that repetition should fix the concept. After all, don't do it yourself with your endless formulas: "free up, protect", "free up the energies", "betting on trust", I pass it and not the least. Madam Minister, ladies and gentlemen, this motion to reject is also an opportunity to recall: one year has sufficed to demonstrate the ineffectiveness of your policy. The small minority of those who had the most has even more, and all the others pay the bill. As a result, the purchasing power of the largest number is in dull and productive investment is declining, such as consumption. Your growth forecasts will therefore not be reached, and unemployment increases – without even taking into account the abuse of short contracts or the fact that a period of training is enough to make you disappear from unemployment statistics. You say, and we understand, that it takes time for us to appreciate the effects of your policy. It is strange, however, that the richest, who you spent your first year giving gifts to, didn't need to wait for them to appreciate these effects – the pensioners either, by the way! On the other hand, to the opposition and to the majority of the French, you say: "Wait a minute..." But I tell you very quietly, and there is no need to wait more to understand it: your policy cannot achieve the virtuous effects it claims to have. Who can reasonably think that it is by making the labour market more flexible, by increasingly discouraging employment and by strengthening the control over the unemployed that we are going to revive the activity and sustainable employment in our country? Who can reasonably think that it is by giving gifts to the richest, without ever asking for any consideration, that we are going to reinvigorate the investment in the country?
ParlaMint-FR_2018-08-01-E1044.u183	Not us!
ParlaMint-FR_2018-08-01-E1044.u184	Like me, you know the numbers: 67% of profits are spent on dividends, only a small 25% on investment, and a tiny 5% on raising wages. But behind every consumer looking for cheaper products, for lack of purchasing power, there is a potential producer forced and forced, too, to produce cheaper. And to produce cheaper, it often means to produce under degraded social and environmental conditions. In short, if you had to sum up your policy, I would say that it completes what Nicolas Sarkozy and François Hollande have begun, but have not been able to finish. You are the small continuators of the policies of your predecessors. Their ineffectiveness and results are known. There is no objective reason for you to do better than them with policies that go in the same direction. Therefore, we think and say that you are wasting crazy time in the country. Yesterday, in the debate we were able to compel him to submit two motions of censure, the Prime Minister allowed himself to go by speaking of "institutional oxymore" about the joint work carried out on an ad hoc basis by the formed oppositions. It is quite bold, when we know that he is the leader of a "government oxymore" that goes from the Socialist Party to the Republicans. A journalist recently asked me about how I would describe the majority group of the Republic in the National Assembly. I replied, in a very measured way, that I saw in this group three blocks, or more precisely three different profiles: there are the few faithful of the first hour, who sincerely believed in Emmanuel Macron's political vision, if so much so that he had one;...
ParlaMint-FR_2018-08-01-E1044.u185	Names!
ParlaMint-FR_2018-08-01-E1044.u186	... there are the recycled old politics, which were sitting in every corner and corner of this Chamber – the Socialist Party, MODEM, the Republicans or elsewhere –...
ParlaMint-FR_2018-08-01-E1044.u187	There aren't many of us!
ParlaMint-FR_2018-08-01-E1044.u188	...who saw the wind turn and hung up on the wagon in time;...
ParlaMint-FR_2018-08-01-E1044.u189	The motion of censure was yesterday!
ParlaMint-FR_2018-08-01-E1044.u190	What does it have to do with the bill?
ParlaMint-FR_2018-08-01-E1044.u191	Ladies and gentlemen, only Mr Quatennens has the floor!
ParlaMint-FR_2018-08-01-E1044.u192	[[Exclaims on the banks of the LaREM Group]] [[Same movements]] ... and then there are all the others, who are not political activists, who are not seasoned with the relations of political force, but who have recognized in Emmanuel Macron's verbiage the same terms they used in their professional milieu. Often belonging to the higher socio-professional categories, overrepresented in this Chamber, they act and speak in the National Assembly as they would in the course of their work. [[New exclamations on the banks of the LaREM Group]] [[Same movements]] They depoliticize everything and deplete the debate. They are the ones who contribute to transforming the National Assembly into a form of giant board of directors. It is to them that this bill says "for the freedom to choose your professional future", which is in addition to a series of texts whose content is far from matching the title – always very exciting. That is how we have seen a bill to facilitate dismissals as never before called "a bill to strengthen social dialogue". [[Exclaims on the banks of the LaREM Group]] In the end, this is perhaps macroism: com', and just com'!
ParlaMint-FR_2018-08-01-E1044.u193	It's true we don't do a com' at La France insoumise!
ParlaMint-FR_2018-08-01-E1044.u194	It's barely incredible!
ParlaMint-FR_2018-08-01-E1044.u195	How's your TV working?
ParlaMint-FR_2018-08-01-E1044.u196	Another, designed to introduce selection at the university by adapting the number of students to the number of places available on the benches of the faculties, is "relating to the orientation and success of the students". It could be a long list. I have already had the opportunity to say so in this forum, there can be no freedom to choose one's professional future without a revival of activity, and therefore of employment. But your bill is doing worse than missing out on the goals it claims to pursue: it is making further setbacks in the area of employee law. By turning the personal training account credited to hours into a credit account in euros, you do nothing but give visibility to the profit-making bodies, which will be able to anticipate more easily the amount of money that has to be done on what is now called the "training market". You claim that this way, the employee will see more clearly. But what he will see above all is the reduction of his right to training! You want to credit this account to an amount of 500 euros, but given the average price of one hour of training, it would take much more to guarantee employees a right to equivalent training: we have repeated it to you. On the pretext of improving the visibility of the right to training for employees, you leave them to themselves; Above all, you take responsibility for the companies, which are responsible for the obligation to train. If we still needed proof of what I'm saying, it would be the possibility, under the same bill, of training being taken outside of working time. You raise the age limit to use apprenticeship, you give more power to branches and businesses to the detriment of the regions, and you deregulate the labour law for apprentices. This bill therefore aggravates the logic of "employees - Kleenex". What's more, these disposable employees will have to train on their free time, by their own means, in order to stick to the skills – as you say – required by companies at a given moment: you really have no long-term vision. You have rejected our amendments simply to include in vocational training a component of ecological training, allowing employees to develop knowledge on the subject and to make them aware of the role of the company and of the human collective which constitutes it on the environmental issue. Today, August 1st, is the "day of exceedance" for the year 2018: humanity enters into ecological debt towards the planet. This day comes more and more early each year: it shows the absolutely irrational nature of our way of producing, consuming and exchanging. In this context, it is towards ecological planning and the bifurcation of our economy that we should all turn to.
ParlaMint-FR_2018-08-01-E1044.u197	Ah, planning!
ParlaMint-FR_2018-08-01-E1044.u198	Yes, planning! Moreover, dear colleague, what is benchmarking in a company, if not planning?
ParlaMint-FR_2018-08-01-E1044.u199	It's not exactly the same!
ParlaMint-FR_2018-08-01-E1044.u200	Everyone's planning, except the government!
ParlaMint-FR_2018-08-01-E1044.u201	Yes!
ParlaMint-FR_2018-08-01-E1044.u202	You want to resurrect Gosplan!
ParlaMint-FR_2018-08-01-E1044.u203	Your campaign promise to compensate the resignations and the independents has become very conditional. Generally speaking, when it comes to reducing employees' rights you are always very consistent, but when it comes to improving them, you are always very hesitant! Your desire to strengthen the control of the unemployed is a total absurdity. I repeat here once again that according to Pôle Emploi 86% of the registered unemployed are in active search of employment and that two thirds of the remaining 14% are not compensated. So what is the meaning of such control? It is to the revival of activity that you should work if you wish, like us, to fight effectively against mass unemployment. It is the fraud of employers' contributions that you should tackle if you wish, like us, to recover room for manoeuvre in budgetary matters. Nor is this text up to date on the work of persons with disabilities. It also encourages seconded work, as well as the passage of the public to the private sector and vice versa, with all the drifts we know. Yesterday again, I met some bike delivery people, those you consider self-employed: they praised our commitment to this text. They wear a uniform, depend only on one principal, the platform; They aspire to their status as employees, and you refuse to do so. Their condition is modern slavery;...
ParlaMint-FR_2018-08-01-E1044.u204	That's all!
ParlaMint-FR_2018-08-01-E1044.u205	[[Claims on several banks of the LaREM Group]] ...it was the 19th century, before the emergence of labour law.
ParlaMint-FR_2018-08-01-E1044.u206	It's sure that when you're not used to working...
ParlaMint-FR_2018-08-01-E1044.u207	We have worked hard throughout the review of this text, we have made many proposals to put your text back on the path it claims to aim for, but you have not wanted it. We proposed directing training towards ecological planning, which would stimulate the activity: you did not want it. We have proposed to limit the wage gap and to increase the SMIC to revive the purchasing power and thus fill in the order books: you did not want it. We have proposed to share working time, which appears to be a necessity in the context of the shortage of employment we know: you have not wanted it. We have proposed to introduce flexible quotas to combat the abuse of short-term contracts in companies and to ensure that indefinite contracts become the rule – knowing that out of ten contracts signed, eight are fixed-term contracts – you did not want them either. It is our responsibility, at every stage, to propose a different horizon than the impasse in which you are leading the country.
ParlaMint-FR_2018-08-01-E1044.u208	With an increase in public spending of 175 billion euros, it's easy...
ParlaMint-FR_2018-08-01-E1044.u209	[[Exclaims on many banks of the LaREM Group]] In a few hours, the summer parliamentary break will begin. Now is the time for us to take stock of the first year of this Parliament. We go on holiday with a heavy heart, because of all the dykes you blew up in a year.
ParlaMint-FR_2018-08-01-E1044.u210	That's the truth!
ParlaMint-FR_2018-08-01-E1044.u211	[["Ah! » on the benches of the LaREM group and on several benches of the MODEM group]] But we are convinced of one thing: this year alone will have been enough for the French to expose you. Your first laws showed them how unfair and ineffective your policy is. With the Macron-Benalla case,...
ParlaMint-FR_2018-08-01-E1044.u212	It's been a long time!
ParlaMint-FR_2018-08-01-E1044.u213	Benalla: the magic word!
ParlaMint-FR_2018-08-01-E1044.u214	...they know how detestable the exercise of power in this presidential monarchy is. But thanks to our activity as parliamentarians, they also know that they are not confronted with the alternative "Macron, or chaos": other paths open to them, such as the one proposed by La France Insoumise. For a first year, it's pretty good!
ParlaMint-FR_2018-08-01-E1044.u215	Indeed!
ParlaMint-FR_2018-08-01-E1044.u216	[[Applause on the benches of the FI and GDR groups]] The future will allow us to continue our demonstrations, and bring the end of your disappointment closer.
ParlaMint-FR_2018-08-01-E1044.u217	In explanation of vote, the floor is for Mrs Patricia Gallerneau, for the Group of the Democratic and Related Movement.
ParlaMint-FR_2018-08-01-E1044.u218	Mr President, Madam Minister, ladies and gentlemen, ladies and gentlemen, two months ago, we began the examination of this bill in the Committee on Social Affairs. Subsequently, in successive readings, we studied several thousand amendments and debated in a rather calm climate of the many issues it addresses. From the reshaping of the vocational training and learning ecosystem to the necessary transformations of the unemployment insurance system, to concrete measures for the inclusion of persons with disabilities, to the necessary advances to ensure equality between women and men, nothing has been avoided. This bill marks the culmination of last summer's work on reshaping the world of work and employment. In our view, it is essential that it be adopted so that all its provisions can be implemented as quickly as possible. On all the points I have mentioned, the expectations of our citizens are great: we must therefore work, propose and legislate. We have done so, but there is still a lot of work to be done. This bill is already a significant step towards a labour society for all. It is indeed a question of giving our fellow citizens more freedom, more room for manoeuvre in the construction, consolidation and evolution of their career paths. [[Applause on the benches of the MODEM and LaREM groups]] Our group has invested both in promoting the general philosophy of this text and in making the changes that we felt were useful. The version we are about to vote on today seems to us to be balanced and adapted to the ambition of your government and our majority. From this perspective, it goes without saying that the MODEM Group will strongly oppose this motion of rejection.
ParlaMint-FR_2018-08-01-E1044.u219	Mr Alain David, for the New Left Group, has the floor.
ParlaMint-FR_2018-08-01-E1044.u220	Madam Minister, the method you have used – with 170 government amendments, the ongoing consultations, the missions launched during the review of the text, the presidential amendment, the use of orders – shows the unpreparedness of this text. The New Left Group will therefore vote on this motion to reject it beforehand.
ParlaMint-FR_2018-08-01-E1044.u221	Mr Pierre Dharréville, for the Group of the Democratic and Republican Left, has the floor.
ParlaMint-FR_2018-08-01-E1044.u222	We need to meet several challenges: firstly, that of a better response to the needs of workers, secondly, that of the planet and of the human person, and finally that of the security of professional paths, which are increasingly discontinuous. Nor should we forget the challenge of well-being at work. We had the opportunity to move forward on this point, with this bill on vocational training. But you acted, as Mr. David said, with great haste. When, during the preparation of this text, did you listen to employees and their representative organisations? When did you listen to the training organizations and their agents? When did you listen to the apprentices? When did you listen to public service officials, ONISEP – the National Information Office on Teachings and Professions –, AFPA – the National Agency for Adult Vocational Training – and professional high schools? When did you listen to those who are unemployed?
ParlaMint-FR_2018-08-01-E1044.u223	We listened to them throughout the process!
ParlaMint-FR_2018-08-01-E1044.u224	In any case, they will not be included in the measures contained in this text. This reform aims to liberalise, deregulate, deregulate, sell, privatize: you explicitly assume it. It's a condensation, a concentrate of your approach. For both vocational and apprenticeship training, you entrust the levers to the market: you yourself said that it was a matter of removing the pilot from this public policy. In addition, you reduce the rights.
ParlaMint-FR_2018-08-01-E1044.u225	Don't take the pilot off: change it!
ParlaMint-FR_2018-08-01-E1044.u226	[[Applause on the benches of the GDR and FI groups]] By doing all this, you are undermining public power. You choose the market against democracy. The state as you want is a sieve, a flat pass. We will therefore vote on this motion to reject it beforehand. Our recourse to the Constitutional Council against this text is already in the envelope: there is indeed much to say about its constitutionality.
ParlaMint-FR_2018-08-01-E1044.u227	Mr Sylvain Maillard, on behalf of the Group of the European People's Party, is speaking.
