ParlaMint-FR_2018-01-16-O1111.u1	The next item is the question to the Government.
ParlaMint-FR_2018-01-16-O1111.u126	[[Applause on all benches]] Before giving her the floor, I am pleased to welcome Mrs. Michèle Victory, Member of Parliament for the second riding of the Ardèche, who replaced Mr. Olivier Dussopt, who was appointed a member of the Government and whose term of office ended on 24 December. You have the floor, Madam Member, on your first topical question.
ParlaMint-FR_2018-01-16-O1111.u127	Thank you, Mr. President. My question is for the Minister of National Education. Minister, you have announced that reform of the school system is one of your priorities. Today, she attends about 700000 students, or one third of all high school students. It values the intelligence of hand and gesture, and allows for professional integration, but unfortunately it still suffers from an image deficit. Before joining these benches, I taught for twenty-five years at the hotel school in Tain-l'Hermitage, and I was able to measure every day the motivation of all these young people and the excellence of the training provided to them. You wanted the reform of the school system to be part of the reform of apprenticeship. This decision raises two questions. First of all, what place for general teachings in this new career path, especially for cultural practices and teachings, which are terribly absent from most training courses? These practices now exist only through the involvement of educational teams around out-of-school projects, which does not give the necessary levers to combat inequalities. The school does not only train future employees, it must also train future citizens of the world, free and successful. It is necessary to preserve a foundation of general culture so that young people in vocational training can evolve throughout their lives. Vocational lycées practice such a mix of teachings: this reform must not be to their detriment. Then, what kind of pilot for this new professional route? In parallel with the rapprochement between vocational colleges and apprenticeship training centres, the Government wishes to entrust the vocational branches with the management of apprenticeships. But the risk that our young people will then become a simple variable of adjustment to the difficult problems of employment does not seem to us to be insignificant. [[Applause on the benches of the NG group and on several benches of the GDR group]] Minister, if we support your desire to promote vocational training for young people, we do not want your reform to weaken the public sector. What answers can you give us on this point?
ParlaMint-FR_2018-01-16-O1111.u128	The Minister for National Education has the floor.
ParlaMint-FR_2018-01-16-O1111.u129	Madam Member, thank you for your question, which allows me to focus on a subject that I have always defined as my second priority. My first priority is primary school, namely our ability to consolidate basic knowledge among all students in France, the second is vocational education because, as you have said very well from your experience, there is behind vocational lycées a major issue of future for our country. In order to achieve the modernization that we all call for, the Government has decided to go beyond a division that has unfortunately proved to be very sterile in the past: that between apprenticeship and vocational school education. To this end, I entrusted a mission to two personalities, including one MP, Céline Calvez, and one great chef, Régis Marcon.
ParlaMint-FR_2018-01-16-O1111.u130	Excellent chef!
ParlaMint-FR_2018-01-16-O1111.u131	[[Applause on the benches of the REM and MODEM groups]] At this very moment, both sides are working together, and of course all the national representatives can contribute to this, so as to arrive at a definition of the vocational education of the future. Their work is linked with the cooperation led by my colleague Muriel Pénicaud on learning. We want much more bridges, much more openings to the future for all students who will be involved in learning as well as in vocational education, some possibly by both. We want students to have a more open future, thanks, among other things, to renewed themes, such as the digital transition and the ecological transition, providing new jobs, but also entrepreneurship, crafts, all those areas in which there is employment and a future, and towards which vocational education must lead the way in terms of themes, but also in terms of teaching as you have said very well. This requires both manual skills but also know-how and know-how. The Government is very optimistic about the possibility of achieving this within the framework of a national consensus because it is in our country's interest.
ParlaMint-FR_2018-01-16-O1111.u132	The next speaker is Mr Pierre-Yves Bournazel, for the IDU Group, Action and Independents.
ParlaMint-FR_2018-01-16-O1111.u133	Mr President, my question is for the Minister responsible for transport. The Grand Paris Express is the major public transport project of the 21st century. Automatic, travelling 24 hours a day, 100% accessible, it must profoundly transform the mobility of Parisians, Francilians and the mobility of millions of tourists. It is a project of general strategic interest that will strengthen our international attractiveness and improve the daily lives of millions of people. The extension of line 14 to the north, which must deburden the particularly saturated line 13, has already taken a long time: the stake is important because it must, for example, serve the new court of great instance of Paris and, in an expanding territory, at the town hall of Saint-Ouen, the new seat of the Île-de-France region. Questions and concerns go back to the risk of delays on sections of lines 16, 17 and 18. In the face of the competition between "city-worlds", the realization of this super-metro is decisive for the attractiveness of our scientific center in Saclay, for the fulfilment of the commitments we made to host the Olympic and Paralympic Games of 2024, to raise the standard of reception of our tourist ambition. The timely realization of this super-metro is also crucial to unlocking certain territories, to de-naturalize the Parisian network and to structure the metropolitan area of tomorrow. Mobility is indeed the key step in the development of Greater Paris, as it is the continuation of metropolitan development. It also constitutes a concrete realization of metropolitan logic, which may sometimes seem abstract. Finally, it constitutes an instrument of coherence and cohesion between the territories. [[Applause on the benches of the UAI group. – Claude Goasguen also applauds]] Madam Minister, knowing your commitment and competence on this issue, my question is simple: can you give us assurances that the Grand Paris Express will be fully implemented within the time limits set?
ParlaMint-FR_2018-01-16-O1111.u134	The Secretary of State to the Minister of State, Minister for Ecological and Solidarity Transition, has the floor.
ParlaMint-FR_2018-01-16-O1111.u135	Member, first of all, I would like to apologize to Élisabeth Borne, Minister responsible for Transport, who is currently debating the future of SNCF in the Senate. The Grand Paris Express benefits from dedicated funding thanks to several taxes levied in Île-de-France: they allowed the Société du Grand Paris to take over all the project's expenses directly until 2016. Since 2017, these financings allow him to amortize the loans she has subscribed to pay for her expenses. The entire project is now covered by a declaration of public utility. The Société du Grand Paris has therefore carried out the studies of the various sections and has conducted the procedures for declaring public utility. The works started in mid-2016, and the first tunneler will take action in the coming weeks in Champigny-sur-Marne to start the construction of the southern 15th line. It is true that very important additional costs have been identified. You know that underground work is difficult and that the construction sector is under stress, especially because of the current peak of activity in Île-de-France. Given the technical challenges of the project, the attention that our Government is paying to the balance of public finances, and our determination to respect the goal of achieving the entire network by 2030, the Government has entrusted a mission to the Prefect of Île-de-France to study the phase of implementation. [[Applause on the benches of the UAI group]] I am aware, Mr President, of your involvement in these matters in general and in this particular project. Please be aware that the Government will communicate its decisions in the coming days.
ParlaMint-FR_2018-01-16-O1111.u136	Before calling the last question, I would like to inform you that at the end of the answer, I will make an announcement concerning the election of two members of the Bureau.
ParlaMint-FR_2018-01-16-O1111.u137	Mrs Anne Brugnera has the floor for the La République Group on the move.
ParlaMint-FR_2018-01-16-O1111.u138	Mr President, ladies and gentlemen, I wish you all a happy 2018! Minister of National Education, my question is about "Parcoursup", the new national platform for admission into the first year of higher education. Our assembly worked in December to put an end to the scandal of drawing lots at the entrance to the superior but, above all, to end the massive failure in the bachelor's degree, especially for the most socially disadvantaged students. We have produced a balanced law, in which contributions from all political groups have been integrated. The members of the La République en marche have been particularly involved in this work by going back and forth between the field, the Government and the conception of the law – the most pragmatic and effective possible – that we voted on 19 December.
ParlaMint-FR_2018-01-16-O1111.u139	Wonderful!
ParlaMint-FR_2018-01-16-O1111.u140	This law improves the information, guidance and admission of bachelors to the higher level, as well as their support in the first year of the bachelor's degree. The Minister for Higher Education, Research and Innovation is today on the ground in Bordeaux to work with local actors on the arrangements that will be put in place at the start of the school year. In particular with regard to the orientation of the bachelors, their wishes and their admission to the superior, by this law we have ensured the end of the drawing by lot. We have introduced better information for high school students on the fields corresponding to their aspirations and federated the actors of higher education and high school in their orientation actions. Since yesterday, the new Trackup platform has been online. I see him in Lyon, in my constituency, as my colleagues in theirs: high school students, like their families, have hope for this change and are strongly seeking information and support in their report to this new tool. [[Applause on several benches in the REM group]] Minister, how will the registration process organised in Parcoursup and accompanied by high school teachers materialize for our young people?
ParlaMint-FR_2018-01-16-O1111.u141	The Minister for National Education has the floor.
ParlaMint-FR_2018-01-16-O1111.u142	Madam Member, thank you for your question, which allows me to clarify what is going on with Parcoursup. This platform has been open since yesterday and registrations will start from next week. As I said to Mr Corbière, I am speaking on behalf of Mrs Frédérique Vidal, who, as you pointed out, is currently on the ground in Bordeaux, as well as in my own name, since we have been following together this dossier which concerns the final pupils and the institutions of higher education. It is important to highlight several things. First of all, the process has been humanized: I insist on this, because this process has become more human upstream and downstream. Upstream, because two main teachers will help the students; downstream, because academics will get even more involved in what is required of students. Then there is humanization because we accompany the families: from 22 January to 13 March, a week of orientation will be organised in all the high schools. All high school students, apprentices and students wishing to reorient themselves will be able to make ten wishes on the platform. High school students will be able to consult the characteristics of each of the training courses they are interested in, i.e. their content, expectations, the number of places available and the integration rates. This will allow them to complete their file until March 31. With ten wishes, this phase leaves the freedom of choice and will give everyone the opportunity to make their choices. The teachers will fill, for each of the wishes, what we call the future card which will, again, help to clarify the choices. These future cards will be exchanged on the occasion of the second quarter class council. [[Applause on several benches in the REM group]] As you can see, high schools, universities and all higher education institutions are mobilized, as are their staff, whom I thank and welcome, thanks to the work done in fact by the national representative and by the Minister for Higher Education.
ParlaMint-FR_2018-01-16-O1111.u143	We have completed the questions to the Government.
ParlaMint-FR_2018-01-16-O1111.u144	I have been informed by Messrs. Sacha Houlié and Thierry Solère that they were dedicating themselves from their respective functions as Vice-President and Quaestor of the National Assembly as of today. The next item is the election of a Vice-President and a Quaestor of the National Assembly. For the election of the Vice-President, I have two nominations: that of Yves Jégo and that of Mathilde Panot. As the number of candidates exceeds the number of seats to be filled, a vote should be taken. I would remind you that the vote is secret. Handwritten bulletins are valid; However, printed bulletins are available in nearby rooms. These ballots must be enveloped before they are placed in the ballot box. The other ballot will then be held for the election of the Quaestor. [[The voting was open at 16:15.]] I open the ballot, which is announced in the National Assembly. The vote will be closed at 17:15.
ParlaMint-FR_2018-01-16-O1111.u145	The meeting was suspended.
ParlaMint-FR_2018-01-16-O1111.u146	[[The sitting was suspended at 16:15 and resumed at 16:40 with Mr Sylvain Waserman in the chair.]]
ParlaMint-FR_2018-01-16-O1111.u147	The meeting was resumed.
ParlaMint-FR_2018-01-16-O1111.u148	The Conference of Presidents, meeting this morning, proposed to include in the agenda from Tuesday 30 January to the evening the proposal for a law on the implementation of the transfer of "water" and "sanitation" competences to communities of communes. There's no opposition? ... It was so decided.
ParlaMint-FR_2018-01-16-O1111.u149	The next item is the questions on spatial planning and the revitalization of city centres and town centres: public services, community services, trade. I would remind you that the Conference of Presidents has set a maximum of two minutes for each question and each answer, without the right to reply. We begin with questions from the Group of the Democratic and Related Movement. Mr Vincent Bru has the floor.
ParlaMint-FR_2018-01-16-O1111.u150	Mr President, the Minister for Territorial Cohesion, ladies and gentlemen, who is sensitive to spatial planning issues, the Department of the Pyrénées-Atlantiques has launched the FENICS project – a new economic channel for innovation in construction and social development – which has been the result of a dialogue between rural municipalities and all communities for many years. It starts from a simple observation: the devitalisation of rural town centres. So how can we reinvest the heart of our villages? Experts, elected officials, traders, artisans, associations and residents were asked to contribute to the reflection. This project is based on both technical innovation and social innovation. Technically, renovating the abandoned buildings of our rural villages at a lower cost is now possible. For example, the heat accumulated in the summer in the attic can be reused to produce hot water. On the other hand, the FENICS project proposes new ways of organizing living together in rural areas. It is thus possible to facilitate the accession of young people to the property, by means of collective forms of reception, or to accompany isolated elderly people who wish to move closer to the city centres. The government has recognized the value of this project as part of the national "Innovation Catalyst Territories" program. However, of the 180 files submitted, only 11 were selected and funded, and only FENICS is a rural area. That doesn't seem enough. The State must invest more in all rural areas and throughout the national territory. [[Applause on the benches of the MODEM group]] Mr Minister, how do you intend to allow all the rural departments of France to benefit from the support of the State in order to reflect in practice your desire to revitalize the city centres?
ParlaMint-FR_2018-01-16-O1111.u151	The Minister for Territorial Cohesion has the floor.
ParlaMint-FR_2018-01-16-O1111.u152	Ladies and gentlemen, how can we revitalize the city centres? This is a question that many parliamentarians, local elected officials and citizens have been asking for years. You're talking about innovation: the last report I had the honour of presenting to the Senate was about technological innovations in local communities. The FENICS project is indeed one of the winners of the experiment designed to support catalytic territories of innovation, led by the Office of the General Commissioner for Equality of Territories – CGET – in the framework of the State-Region Plan contracts 2015-2020. The National Fund for Spatial Planning and Development (FNADT) provides financial support of €10 million for a dozen innovative projects, as well as support for the assembly of projects and the deployment of tested solutions. Various initiatives exist in France, and the State has introduced other mechanisms, including the Metropolitan Pacts of Innovation, signed with the French metropolises, and today, as part of the investment programme for the future, the "territories of innovation – great ambition" – TIGA. On January 4, 2018, the Prime Minister announced the list of the twenty-four pre-selected TIGAs. There are metropolises, medium towns, mountain areas. The winners will receive support and financial support of up to 400,000 euros, which is not sufficiently known – and we all, Government and parliamentarians, must make these opportunities widely known. This support will fund engineering studies and refine projects for a call for projects to be launched in mid-2018, which will be widely open to all projects carried by the territories, whether or not they have participated in the call for expressions of interest. Beyond subsidization, there is also a need to facilitate the deployment of innovation across the country. This concern is at the root of the establishment of the "Lab innovation and territories" platform which will allow to share and value innovative projects in the priority areas of city policy as well as, of course, in rural areas.
ParlaMint-FR_2018-01-16-O1111.u153	Mr Jean-Paul Mattei has the floor.
ParlaMint-FR_2018-01-16-O1111.u154	Minister, ladies and gentlemen, according to a study by PROCOS – Federation for Urban Planning and Specialized Business Development – confirmed by a report from the General Inspectorate of Finance – IGF – the commercial vacancy rate in 2015 was 9.5% of the commercial space fleet. This phenomenon worsened between 2001 and 2015 for medium-sized cities: the number of medium-sized cities in a very unfavourable situation rose from 23 to 100. This situation must be put in perspective with the disappearance of services to the population, the deterioration of the building and accessibility, and the development of a peri-urban commercial offer. These developments, which are correlated with the phenomenon of urbanization, result in an outward shift of the middle classes and a concentration of the poverty rate in the city centre. Under the previous legislature, several government initiatives have sought to address this problem, including the foundations for the revitalization of the city centres of February 2017 or the experiment on the revitalization of medium-sized cities, launched in three regions, including Occitanie, in order to improve synergies between the schemes. Could you tell us the results of these experiments? The Senate's progress report on the revitalization of city centres called on the Government to launch a genuine public policy aimed at revitalizing the city centres, including urban, commercial, land and financial components. What follow-up do you intend to give him? Finally, during the consideration of the finance bill, I proposed an amendment to create an ad hoc arrangement allowing common and EPCI to exempt commercial premises and businesses where the vacancy rate is more than 10% from land tax and territorial economic contribution. Would you be in favour of such a device?
ParlaMint-FR_2018-01-16-O1111.u155	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u156	Until June, I presided over a middle town agglomeration. Any elected from an average city has been confronted for some time with the subject that you are referring to. The Government decided to make the fight against urban degradation a priority, as the President of the Republic invited us to do at the first National Conference of the Territories on 17 July. Revitalisation will be carried out in all areas. They are in line with the various public reports, the General Inspectorate of Finance, the General Council for the Environment and Sustainable Development, the INSEE or the Senate, in this area. We can therefore rely on a shared approach. The experiments relating to urban revitalizations through heritage, which you refer to and which follow on from the report of former Senator Yves Dauge, fall under the same heading. The steps are taken with the 17 participating communes. I am also receiving Mr Dauge tomorrow to take stock of these experiments. With regard to trade, it is planned, in cooperation with Parliament, to encourage the establishment of new activities in the city centres by reducing the procedures for authorization of commercial exploitation; the reorientation of public tools, such as the Intervention Fund for Services, Crafts and Commerce – FISAC – towards support for engineering and business strategies; the development of the use of city centre managers; And finally, a finer analysis of the commercial vacancy, which has become a real scourge in several medium-sized cities. The tax dimension must also be taken into account: an IGF mission on trade taxation and possible distortions of competition is under way. However, as it stands, the Government is not in favour of further tax exemptions. A balance sheet of the free zones must be drawn up. We will have an opportunity to come back to Parliament.
ParlaMint-FR_2018-01-16-O1111.u157	Mrs. Patricia Gallerneau has the floor.
ParlaMint-FR_2018-01-16-O1111.u158	Minister, while the Government has just announced a historic agreement with the four main telecommunications operators to put an end to the white areas in the country, it is important not to limit government action to telephony alone. Indeed, Internet access is today a revealing of the digital divide in France. This divide worsens the inequalities and desertification of our countryside, our towns and our small town centres, which are among the most fragile territories of our Republic. Companies, artisans, traders, or liberal professionals like doctors leave our campaigns, especially as they can no longer carry out their business properly without access to the Internet. Our rural citizens are thus doubly victims of the digital divide: they not only see the activities disappear, but they themselves cannot access the Internet, which is nevertheless the source of many company creations, jobs or access to training platforms. It should be recalled that more than half of people who do not have access to the Internet in France earn less than 900 euros per month. Therefore, the deployment of fibre optics in our rural areas must be a priority. Access to it is free of charge or almost in urban areas, but is very expensive in rural areas. However, the finding of this digital divide is not a novelty. In 1994, in the United States, an Al Gore report presented the catastrophic consequences of the disparity in digital coverage for rural areas. Emmanuel Macron has also made the fight against the digital divide a priority, announcing in particular at the Tallinn Digital Summit that public authorities would intervene where private operators do not do so due to lack of economic profitability. Minister, can you tell us what action plan and means the Government intends to implement to ensure equal access to digital technology?
ParlaMint-FR_2018-01-16-O1111.u159	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u160	Madam Member, you have seen this with the announcements of recent days, and the Government is making every effort to increase access to digital and mobile telephony for our citizens. Ambitious targets have been set by the President of the Republic. The recent announcements show that our negotiations with Secretary of State Julien Denormandie are having an impact: the agreement that has just been signed is extremely important for mobile telephony. With regard to fixed land, we expect to accelerate deployment to medium-density areas, in which only 2.7 million lines have been installed out of the 12.7 million planned for 2020. Operators have accepted binding commitments, which profoundly changes the situation. We also ensure the protection of the public initiative networks in which we operated, as well as the local communities with which we worked. Finally, we will set up a mobile cover window. In six months, we have made intense efforts to achieve significant progress on the ground. We are truly implementing this government priority. In the coming months, you will be able to see considerable results. Strong, sometimes difficult, negotiations were conducted with the operators. The Government entrusts the Autorité de régulation des communications électroniques et des postes – ARCEP – with the task of carrying out a real follow-up of progress on the ground in order to dispel the blur that we have all experienced for years on grey and white areas.
ParlaMint-FR_2018-01-16-O1111.u161	Mr Bruno Joncour has the floor.
ParlaMint-FR_2018-01-16-O1111.u162	After decades of passivity by the public authorities in the face of the gradual deterioration of the situation in the city centres, it is now a matter of confronting this situation with ambition, realism and pragmatism in order to accompany the local authorities concerned in the revitalization necessary for their survival. The approach of opposing territories between them depending on whether they are metropolitan, urban, rural or coastal contributed to the situation we are concerned about today. The answer must be global. A mechanism should be considered, such as what has been inspired, at other times and in other areas, Marshall plans, free zones, priority neighbourhoods or other similar arrangements. Strong, sometimes courageous, and at least effective measures are needed. With regard to commercial and tertiary activities, the urgent need is to establish a moratorium on new constructions and extensions on the outskirts of cities, in order to stop the massive and wild establishment of commercial square metres and offices. In the area of housing and urban requalification, it is urgent to launch an ANRU-type plan – the National Agency for Urban Renovation – allowing the rehabilitation of vacant housing and shops as part of overall urban renewal projects. As far as public services, public facilities and community services are concerned, the emergency requires state support to facilitate their establishment in the city centre and their restructuring. With regard to animation and security, there is a need for an accompanying component in order to boost and secure the city centres, both of which are essential to a new dynamic of attractiveness. Is the Government prepared to take this into account, with the necessary initiatives, decisions and means?
ParlaMint-FR_2018-01-16-O1111.u163	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u164	The Government is finalizing the "City-City Action" plan that addresses your concerns as well as those of many local elected officials and citizens. For businesses and tertiary activities, the Caisse des dépôts et consignations – CDC – is expected to devote €200 million to the creation of land dedicated to businesses and activities, €700 million in equity to support economic development projects in these territories and €50 million in equity to support innovative approaches. With regard to housing and urban requalification, a number of cities that will be included in the plan already benefit from the New National Urban Renewal Programme – NPNRU. As part of the doubling of the NPNRU, the ANRU will be able to improve the financing of urban programmes in the cities concerned. Under the agreement with Action Logement, €1.5 billion is planned to finance acquisition-improvement operations and promote the return of employees to centres in medium-sized cities. The National Housing Agency – ANAH – will provide EUR 1 billion in aid for renovation and renovation to housing standards. As for the implementation of public services and facilities, we want to offer quality services and provide access to new services. To do this, we will rely on priority access to fibre in the heart of the city, priority focus on the implementation of public services in the heart of cities, and the call for projects Innovation Territories – a great ambition, of which I stress the importance. Under the Third Future Investment Programme, it is open to medium-sized cities to encourage innovative approaches. Finally, we intend to support the development of new spaces for digital and collaborative practices. Funding is also provided for engineering, which small and medium-sized cities need: EUR 200 million from ANAH to finance project management and EUR 50 million from the CDC to support engineering and expertise.
ParlaMint-FR_2018-01-16-O1111.u165	Mr Jean-Pierre Cubertafon has the floor.
ParlaMint-FR_2018-01-16-O1111.u166	Mr President, Mr Minister, ladies and gentlemen, since December 22, 2017, a commune in my constituency, Tocane-Saint-Apre, has been in a dramatic situation: it has lost its two general practitioners at once. The saddest part of this story is that it's not just an anecdote. It is a reflection of the medical desertification that affects all our rural and peri-rural territories. Minister, as I say to you, the situation is alarming, and it will get worse because of the many retirements in the coming years. For our communes, this situation leads to a cascade of consequences, which are not limited to health: to lose your doctor is to lose a service and the ability to attract residents; Losing your doctor means weakening the vitality of your town; To lose your doctor is to give the impression to the inhabitants of our rural communes that they are second-class citizens. At the end of 2017, you announced a plan to combat medical desertification with a doubling of the number of health homes by 2022. Faced with the challenge of desertification, health homes are one of the solutions: they attract and retain doctors. While they are an interesting tool, many projects do not meet their objectives: in some areas, empty medical homes are found, with communities simply developing a real estate project. Rather, success depends on co-construction with professionals and the emergence of a true medical project. [[Applause on the benches of the MODEM group]] Minister, I would like to draw your attention to the accompaniment of these complex projects: there is no assessment tool for different models of health care homes to date, nor is there a "good practice guide" for communities. I would therefore like to know what the Government is considering in this regard. In particular, I would like to know whether an evaluation could serve as a basis for the development of increased community support.
ParlaMint-FR_2018-01-16-O1111.u167	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u168	Mr Cubertafon, many of us have made the observation you have just made in our territories. More and more people are hearing about desertification. Sometimes the feeling is stronger than the evil, but the phenomenon really exists: at least 5 million inhabitants, or more than 8% of the French population, face a situation of low accessibility to health professionals. The distortions are considerable: while some territories lack doctors, especially specialists, others are characterized by overdensity, a reality which we must also take into account. You mentioned the creation of health homes. It is generally a success, but I myself have seen in my territory that there are also failures, a mismatch between the often heavy investments made by communities and the number of doctors who settle. We know that there is also a problem of numerus clausus, but a change in policy in this area would only have an effect in about ten years. A number of measures are therefore essential. The Minister of Solidarity and Health recently spoke on this subject and presented a first plan. We will discuss this again with her this week at a working meeting at the Department of Territorial Cohesion. The record, as we know, and the Government's willingness to take this issue into account is clear. There is a need to provide access to health throughout the country.
ParlaMint-FR_2018-01-16-O1111.u169	We turn to the questions of the IDU, Action and Independent Group. Mr Stéphane Demilly has the floor.
ParlaMint-FR_2018-01-16-O1111.u170	Minister, thanks to the Law on Crafts, Commerce and Very Small Enterprises of 18 June 2014, fifty-four municipalities with less than 10,000 inhabitants are receiving exceptional funds to revitalize their city centre. This is particularly the case in my constituency of the pretty town of Ham. While these provisions are in the right direction, it has become essential to go much further. Many local elected officials are struggling to maintain a quality commercial fabric in their communes. Having the honour of being elected from a constituency and a rural department, I work with them on a daily basis. They run government service offices at partner community offices in search of mechanisms to assist them in their actions. But how can we compete with urban free zones, which offer tax exemptions to businesses? How can we compete even when doctors decide to settle there, thus emptying our city centres from a local health offer? It is therefore essential, in my view, to offer powerful and effective tools, not half-measures or gutters, to the centres of our rural towns. Finally, it is necessary to authorise the creation of free zones of the city centre for these small communes. Our merchants and artisans, as well as our doctors, would benefit from a real breath of oxygen allowing the creation or maintenance of their activity. Why couldn't Ham, a commune of nearly 5000 inhabitants, also benefit from this opportunity, offered to a big city like Toulon? This could take the form of an experiment, and I propose that you retain the beautiful department of the Somme to lead it. Minister, when you were in other positions, you rightly stated the policies of "moving the territory" of successive governments. For 2018, you have launched a plan for the centres of medium-sized cities, stating: "We need medium-sized cities. We cannot imagine that the future of this country would only be played out in twenty-two metropolises. »
ParlaMint-FR_2018-01-16-O1111.u171	He's right!
ParlaMint-FR_2018-01-16-O1111.u172	Well, minister, expand this plan and, to start the new year well, offer a powerful tool for revitalizing the city centres to our small communes!
ParlaMint-FR_2018-01-16-O1111.u173	All right!
ParlaMint-FR_2018-01-16-O1111.u174	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u175	You have excellent references, Mr. Demilly! I thank you for recalling my remarks before the High Assembly. I haven't changed my mind, so little, in fact, that the "City-City Action" plan largely responds to your concerns. I would point out that no population threshold has been set for this plan, which should enable medium- and small-sized cities to revitalise themselves. The situation is not the same everywhere: fortunately, there are small and medium-sized cities that go very well, while a number are, for various reasons, in difficulty, especially when they are far from the metropolises, with problems of accessibility and economic life, especially for downtown shops and housing. The "City-City Action" plan, which we are finalizing, must address, at the very least, a large part of these concerns, with significant financial resources, which I mentioned in part earlier, devoted to housing, trade and digital technology, in order to enable these communities to move forward and regain their dynamism. This is important for them, but also for the surrounding rural areas, because there is a clear synergy between the poles that these cities form and the space that surrounds them, especially when they are far from the metropolises. Of course, you would like your territory to be selected for experimentation. I can tell you that I receive dozens and dozens of justified letters from parliamentarians asking for an experiment in their territory! The ideal would of course be to be able to respond to as many of you as possible, and that is what we will try to do.
ParlaMint-FR_2018-01-16-O1111.u176	Mr Christophe Naegelen has the floor.
ParlaMint-FR_2018-01-16-O1111.u177	Minister, as you know, fewer public services are less popular, and fewer people are less public services. We are turning in circles, and it is necessary to put an end to this negative spiral. Post offices, ATMs, schools, health services are all endangered services in our countryside and in our mountains. In the area of education, the Government's current policy is to split classes in the city, to reach a total of 12 pupils per class, while in rural areas, such as Plombières, Vosges, or the Moselle and Moselle valleys, there is a desire to close classes of 15 pupils on the pretext that a staff of less than 20 pupils is too small. Where is the logic? At a time when a National Conference of Territories is being established, this dual language is difficult to understand.
ParlaMint-FR_2018-01-16-O1111.u178	That's right! But the right was doing the same...
ParlaMint-FR_2018-01-16-O1111.u179	What are the Government's intentions to promote the development of community services in rural areas? The State is partly responsible for rural desertification. It is its duty to maintain public services and to encourage enterprises with public participation to remain established in rural areas, in order to preserve the cohesion of the territories. The end of white areas and broadband for all are very positive ads,...
ParlaMint-FR_2018-01-16-O1111.u180	It's a joke!
ParlaMint-FR_2018-01-16-O1111.u181	... but what other concrete measures does the Government intend to take to break the spiral of rural desertification and to encourage private and public bodies to settle in rural areas that need to be revitalized? What does the state intend to do to give young people the chance to stay at home and to businesses to invest and create jobs, in other words simply to give people who want to live in the many rural territories that make up France?
ParlaMint-FR_2018-01-16-O1111.u182	All right!
ParlaMint-FR_2018-01-16-O1111.u183	The Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u184	I represent one of the most rural territories in France and, certainly, the most landlocked of all. The situation we are experiencing today does not date back to the last seven months.
ParlaMint-FR_2018-01-16-O1111.u185	I didn't say that!
ParlaMint-FR_2018-01-16-O1111.u186	It is the result of a global vision, according to which the metropolitan fact has been developed. I do not dispute that we need strong metropolises in our country, even though, personally, while I was sitting in the Senate, I objected to their multiplication – I remind you that we have recently gone from fifteen to twenty-two, for reasons that were not related to spatial planning, I can return to that.
ParlaMint-FR_2018-01-16-O1111.u187	Metropoles catch everything!
ParlaMint-FR_2018-01-16-O1111.u188	This has not facilitated the fight against desertification, improved accessibility or encouraged the demographic development of rural areas. With regard to the efforts made by the Minister of National Education, the division of classes is primarily aimed at the most fragile priority areas, but I assure you that it is not a question of abandoning rural areas. In fact, we realized this during the last school year: there was much less debate on the school map in our departments than in previous years – knowing that we had all had difficult moments in this regard in our rural areas! As Minister for Territorial Cohesion, I have two priority objectives: fragile neighbourhoods and rural areas in difficulty, including medium-sized cities. That is the whole purpose of the measures that we are in the process of finalising and which I have presented in part by answering questions from your colleagues, Mr Naegelen, but of course I am very willing to receive you.
ParlaMint-FR_2018-01-16-O1111.u189	We turn to the questions of the New Left Group. Mr Jean-Louis Bricout has the floor.
ParlaMint-FR_2018-01-16-O1111.u190	Mr Minister, let us first note that there are several types of rural life, I think you know that. For my part, I am elected from a territory composed essentially of small towns, of about 5000 inhabitants, with a deeper rurality around. The territories and their intercommunalities are organised around these small towns, particularly in terms of access to public services – health, school – or private – shops – which confirms their leading role. The previous government had taken the stakes for these territories well into account, through several mechanisms: first, the call for expressions of interest for cities that did not benefit from the mechanisms of the city's policy, then the FISAC, in terms of dynamism and the commercial atmosphere; Then, the rural contracts, which took over by addressing these issues in a more integrated way. Today, through your budgetary choices, I feel a sense of timidity with regard to the future of these small towns: it is necessary to abound these arrangements, but the appropriations are not clearly on the table. Yet, these small towns are breaking our territories. National mobilization is needed to address these issues. I take the example of the shops in these small towns: the difficulties are cumulative. First, there is a general lack of purchasing power. There is then a commercial flight to large distribution, difficult to contain, which requires the installation of franchised shops on the outskirts of these small towns in order to improve supply. This necessity also creates another difficulty for elected officials: to find the right balance so as not to impoverish the small trade of heart of town. The size of commercial surfaces is also a problem, especially at the time of transmission. Finally, e-commerce is growing, despite still fragile digital coverage. Minister, what is your assessment of the various devices I mentioned at the moment? More generally, what are your intentions to support these territories? Will your "Action coeur de ville" plan really take into account these very small cities or will you refer us to the underfunded rural contracts?
ParlaMint-FR_2018-01-16-O1111.u191	The Minister has the floor.
