ParlaMint-NO_2011-12-02.ana.ud1812e24	The representative Lise Christoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2011-12-02.ana.ud1812e355	It's going to be line change.
ParlaMint-NO_2011-12-02.ana.ud1812e358	Why in the world will the representative Chaudhry not support us in having more classes at KRUS when we see the need we have for specialists in prison care?
ParlaMint-NO_2011-12-02.ana.ud1812e363	As I was in my post, we are very concerned that we are going to have robust criminal care. Then there will be room for far more than we have today. I fully agree that the coating is too large. I agree that unskilled people represent a greater proportion than I would have liked, but there is an overall budget that we defend. We'll be strengthened back on many later occasions. We aim to further strengthen criminal justice.
ParlaMint-NO_2011-12-02.ana.ud1812e371	The representative has a profitable focus on assault violence and the situation of women. On 4 March last year, the Stortinget debated a proposal from the Right for a faster and more legal DNA analysis. The representative Chaudhry took it as a «honor's title» to conduct an ideological fight against non-public analytical laboratories. Yesterday, we heard the Council of State stress that DNA analysis in priority issues is to be treated within 24 hours. In today's edition of Drammen's Official Journal, which I have here, it says about a reported rape in Drammen on 19 November, and the police have still not received a response to the DNA analysis. They're waiting for answers today, maybe next week, as they say. Two weeks have passed. Is the representative of Chaudhry equally proud of his dogmatic struggle against non-public DNA laboratories?
ParlaMint-NO_2011-12-02.ana.ud1812e382	There are a couple of three things here: first, I ask the representative and the whole Right Group to get in touch with the police as well as to read the newspapers. I'm still in contact with the police. Last time – 14 days ago – I met with the office of morality in Oslo. It may occur in the case of DNA tests, but the police are satisfied with the way the DNA tests are done. They are also satisfied with the time aspect. I have not heard a single complaint from the Oslo Police Department, nor from the Bergen Police Department or from other police districts. I'm standing here waiting for a police officer to call me and say, "I can't get the DNA test done in the right time." The second is that we have no dogmatic relationship to this, but we have a strong loyalty to the criminal case chain and that it should be under official control.
ParlaMint-NO_2011-12-02.ana.ud1812e389	The representative, Chaudhry, pointed to many important points in his fine speech, among others. the consequences of alcohol use. We agree with many of the points. That is why I have to say that this reception, among other things. I am disappointed that alcohol advertising — and the possibility of it coming on TV — has been given by the government. I had hoped that SV would put it hard on hard and ensure that this was not the case. Then we also know that there have been many years – it is probably four years – since former Minister of Justice Storberget was clear that we had to get a previous tip. Still, nothing has happened — while the representative Chaudhry is so clear about the serious consequences of alcohol abuse. We know that moving something, for example. alcohol advertising, can move on more. Much of the reason why we are able to maintain a restrictive alcohol policy is that we are able to have it across a wide range, and that is important for Norway. What does Chaudhry think should be done in the future to prevent it from continuing in that direction?
ParlaMint-NO_2011-12-02.ana.ud1812e398	Thank you for the article. At the very end, the representative became a little unclear, so the question is a little unclear, but let me still answer it. SV disagrees and has indicated its opposition to the sending of alcohol advertising on Norwegian television. However, it is the case that the country is part of the EEA Agreement, and then, ultimately, we have to do what we are required to do. SV still disagrees with the EEA Agreement, we believe it should be re-evaluated, and I invite the Christian People's Party to do so. What we can do under the current circumstances is at least to have a restrictive alcohol policy in the country, and it has all the possibilities for both the Storting and local democracy. I am grateful that there is an SV here, both in the Stortinget and in the local policy.
ParlaMint-NO_2011-12-02.ana.ud1812e409	The cord shift is over.
ParlaMint-NO_2011-12-02.ana.ud1812e412	When we change word usage and manipulation, it may be a result of a change in society and in reality, but a shift in word usage can also provide the basis for a new sense of reality. In this article, I'm going to start with the name we just had in the department we're in the Justice Committee. The Ministry of Justice and Police went to the Ministry of Justice and Defence. The background is, as we all know, on July 22nd and the events that day, the time before and the time after. There was a new reality for all of us, but it also points towards a different direction of our policy. So far, there's been a lot of police. The police are strong, they stand up for their demands, and they have won legitimately, of course, because they are important, and one needs them throughout the country. We've worked out a lot more, and we've given more money. We know that the police case is not easy either, but we have shown a clear commitment, and that is an important commitment. But now we may be even more aware that many other actors, in interaction with the police, are decisive for a good preparedness. I think we're going to raise the gap – even more so – in the future. There was an impressive effort by many this summer during these terrorist attacks. Individuals — at risk of life and health — were at risk, the police made a great effort, health professionals, etc. - not least voluntary organisations at a time. We have seen more clearly that adding to emergency seats, in rescue facilities and volunteers cannot do the job alone. I mean, we can't introduce crisis measures in an acute crisis, which we've had now, that can change our society. We experienced getting good words from the top leaders of the state about an open and inclusive society after what happened. It is good, in my opinion, that the 22nd of July Commission is going to do a long-term job of going through what has happened, and not least pointing forward towards action. If we were to explore introducing different types of measures and making changes to the promises now, I think we could have lost something important – fundamental values – in our society. We can never guarantee ourselves against a nature that releases the cancers, or individuals/groups that go amok. We do not know where the next terrorist attack can happen – it may be on an oil installation, it may be against institutions in cities other than Oslo. That is precisely why we need to see the importance of the diverse and broad-based preparedness with different actors. I am therefore pleased that in the setting we propose 5 million. kr extra to voluntary organisations in rescue operations. It may seem that the Home Guard is threatened by being weakened. It's not our committee that has the Homeland Protection, but I think it's the most relevant yet, and I'll mention it briefly. Home security is the bond of defence to the inhabitants and to different parts of our country. Home security must be able to secure important infrastructure throughout the country, in both war and peace, and in various crises. So home security is an important part of the overall preparedness, and I hope we're all on it so that it's still going to be. The police are, as I said before, a strong and competent establishment, which is present in much of our country. After the summer's terrorist acts, there was a lot of talk about central preparedness and police in Oslo. It is quite right that we now in next year's budget also strengthen central units and the police in this city in order to get away from the situation that arose, and the enormous work that followed it. But then there's also the tragic thing that happened on the island, an example that other districts can become frames, and we never know when and where the next time can happen. I'm also busy not to maximize crisis — it's not going to happen every day, and hopefully it won't happen again quickly. But we know that things can happen again and probably will happen again. The centre party is busy maintaining the local police force. The reform of results, which the government is currently working on, and which the Storting will start to deal with next year, is an important work. But we're going to have the most possible money for the money we give to the police. It means to me that we have to look at the structure at the same time. There are differences of opinion as to how the police should be composed, whether we should have a large number of officers' offices and many police districts, etc., and we in the Central Party do not disagree that there may be any change. But a proper review is needed to see what to do and what to do and what to do. The ICT bet is very important, and there we are of course forced to bring more money. One thing is now the investments that are being made, but it's also about how we choose to use ICT in the future. I think that we can think a little bit about what we usually do, that centralization doesn't necessarily mean moving to cities and larger places, but that one can centralize the way of normal practice just by transferring tasks to small offices, because ICT allows one to cooperate across offices and district boundaries. In this way, a local police force can be strengthened, the work environment can be increased in some places, easy recruitment, etc. The Justice field is a major policy area. This debate just reflects that. I would like to say a few words about a theme other than my main theme, readiness, which I also thought is important to mention. We've strengthened the land change courts in next year's budget, which I think is very important to prevent the emerging problems we see in recruiting land change judges. Earth change is too many a little bit unknown part of what we're doing in the state. Land change courts clarify the ownership of agriculture in local communities – in cities, too, not just in the countryside. For the red-green government, which is busy getting rid of good and large transport projects and getting more small-scale deployments going, the land change courts are unlikely to be important to get it done as quickly as possible. And then I'll also say that I'm happy for the $5 million. kr added to the voluntary rescue service. As I was inside, there's probably a signal that we're seeing wider – perhaps wider than before – on standby. We've always been aware that there's a lot of connection here, but it's been extra visible now, and it's good that we follow it up. Finally, I would like to ask myself about the reputation that the Ministry of Justice has received after what has happened. I don't think any of us can grasp the reach of what one has experienced, but what we all understand is that it has been a terrible hard time with both sorrow and fear. But at the same time, there's a lot of work that makes it possible for us to do what we're going to do. I think it's right for the whole committee to thank, as a lot of people have done. Then I'll finish where I started, that words sometimes result from change, and that words other times have been the cause of change. The words we used after the terrorist attacks have helped many of us to understand how important it is to stick together on basic values. I hope we still do that. We were at least the first time concerned that a political debate should not only be about conflicts, but also about combining the important values. Just as justice policy is open to a political field where it is both necessary and possible in my view.
ParlaMint-NO_2011-12-02.ana.ud1812e448	It's being opened for line change.
ParlaMint-NO_2011-12-02.ana.ud1812e451	We know there is a great need for resources in the police. For example, we would like to see it done. cutting VAT on police vehicles so that they do not have to pay VAT in line with other recovery rates having equivalent arrangements. Why does the representative Mrs Klinge not want to support this?
ParlaMint-NO_2011-12-02.ana.ud1812e456	There are still discussions about what kind of arrangements we have around VAT and different taxation, leases, etc. In the police too, as elsewhere, e.g. City ship tunnel – it is a derailment in one way – where VAT is also an important issue. I mean that in total, whatever area we're talking about, it's they collect the permissions that's the most important thing. If, as it may seem, we cut some floors instead of increasing, the VAT regime will not help to change. For our part, we're more concerned with increasing the collection of licenses, so that it's actually possible to buy police vehicles, than by digging ourselves into VAT systems and such types of details, as one might call it. I understand that the representative is busy with it, and there may be a clear signal from the police about it, but it's the total promises that, after all, are most important.
ParlaMint-NO_2011-12-02.ana.ud1812e463	The representative, Klinge, asked questions in the lines to the Right André Oktay Dahl about the police coverage in the districts – a strange question, because in our opinion, the representative should hold up the mirror and ask the question to himself. I'll do it for her. The police coverage's going down. On questions from the Right, the Ministry of Justice confirms that in 21 out of 27 districts the police coverage goes down. What it is primarily affecting is the police representation in the districts. Länsmann’s offices have to cut jobs and keep jobs on the watch. So I want to kind of hold up the mirror of the representative Klinge, so that she can answer the question, how can the Central Party support a policy that weakens the police's presence and security-creating work in the districts?
ParlaMint-NO_2011-12-02.ana.ud1812e470	The representative now addresses a very important topic, and the question is a good and good follow-up to what I asked his co-representative. The background to my question is that the Right is just the centralization party – one of the strongest – and what I am stunning at and don't understand is every Right wants to do with the bet they're talking about, because they're talking so little about structure. I get suspicious when the word structure is so rarely mentioned in a field, when it is so much called in other fields. And when the number of police officers per citizen is going to increase to two per 1,000, I'm busy, as I was in my question, where the Right will increase. The centre party is on the verge of it, we're going to have an increase in the whole country, and we've been involved in increasing the number of students and increasing the bet on the police, and the population has risen. What we have to do now is to continue our efforts, so that we can strengthen the police in the future.
ParlaMint-NO_2011-12-02.ana.ud1812e476	To follow up the previous line: the solution is to give more money, so that one can actually hire the newly educated students. One would like to keep more people working, but more resources are needed for the police, so that one can hire more people. I should really start by thanking the representative's posts. It was a very good post, I was about to say, I could keep it myself, or I wish I kept it myself. It was a very good center policy, and the Center Party stands for a good tradition there. But I'm worried about how the police and the police districts are starting to restructure in the districts. The representative Klinge was very clear that centralization was not necessarily a good thing. Of course, changes sometimes have to be made, but often the consequences of the less visible police in the districts become. For example, in the Agder police district, as I know very well, the proposal is to reduce from 27 to 11 county offices – a clear weakening – and we have seen it in Trøndelag etc. What is the Central Party's grip to avoid such centralization, as it is put up to many places?
ParlaMint-NO_2011-12-02.ana.ud1812e483	I thank you for that question, it's an incredibly important theme. When it comes to the last one, the restructuring that is taking place, and the proposals that are now coming under the reform of results, it actually provokes me. Now, we're going to get popular treatment a performance reform that will lead the police's work forward, and the fact that, in the meantime, police officers are doing as hard a job as they are, I think I'm a problem, quite simply. So there's something I think it's good to be allowed to give a signal from this pulpit, too, that those processes have to be stopped pending a popular treatment. I also understand that State Secretary Terje Moland Pedersen said during PF's national meeting when he was interviewed by the NRK. So short to the police students: there is no uncertainty, or at least disagreement about talking about how many are added and not. It is clear that those who have not passed the exam are not allowed to work, and so are those who refuse to do so in parts of the country other than where they first wanted to. Then it's more compound than it might seem.
ParlaMint-NO_2011-12-02.ana.ud1812e490	So the line change is over.
ParlaMint-NO_2011-12-02.ana.ud1812e493	On 22 July, the nation and democracy were attacked. 77 people, many of them young people who had great dreams and visions of how they could participate and change Norway and the world, were abruptly torn away. That's why I want to start by commending all the people involved in the important work that happened that day and in the future – all the agencies, volunteers and other actors that have been involved in the work. We as a nation and as a magnification are going through demanding rounds, evaluations, it's the Commission, it's the committee that's going to work, that's going to evaluate, that's going to come up with its answers and recommendations. It requires a trick from us as politicians in the process. The goal of the Christian People's Party is that this work should give us a safer society and a stronger preparedness, and that it can happen jointly and constructively between all parties. Safety in everyday life is a fundamental prerequisite for good quality of life. A robust police force also plays a fundamental role here. The Christian People's Party is therefore pleased that the government has continued a high level of admission to the School of Police. That's good. On the other hand, the focus on police operating budgets is not in any way on the challenges in the sector. Paradoxically, today’s budgets are likely to lead many of the trained police students to unemployment. I don't think that's a good idea. The police are weakened. There are centralisations in the offices of locals, and there are fewer police per capita than there have been in the past. As I was in a line to the representative of Bohemia, I am pleased with honesty, and I think that the government must also be clearer about what is actually the goal ahead – and one thing is the goal, but also what is the actual picture of the situation. Because when there is such a clear decline, and there is no increase in 2012, I am concerned about whether a person is capable of achieving the goal. The Christian People's Party is clear that we're going to be part of the promise and reach the goal of two per 1,000 inhabitants, but I don't think one with that race will end up there. In addition, one also knows that the police have an IT platform that is about to collapse and needs to be replaced. There's a billion-class cost for which there's not enough money. The result is a deterioration in the police districts, which must cover expenditure on the operational budget. That is why the Christian People's Party believes that the police budget must be strengthened, not least in order to bring life to everyday crime. We've put in 260 million. kr collected for the police. It is not acceptable that the police have to make priorities that go into people's sense of justice, such as: Repeated referrals to cases involving a known perpetrator, deprioritising profit crime, which will make Norway an even more sought after place for criminal gangs from abroad, and failure to clean up drug sales in some areas of the larger cities. Prioritisation lists of the types of issues to be addressed are also a failure statement by the police. Furthermore, we want to strengthen police prevention. We want a police force that is visible in the streets and the surrounding environment, which prioritises prevention work and early action for young people in the risk zone. Unfortunately, in recent years there have been fewer officials in visible order. This is contrary to Stortinget's intentions of police reform, of a closer and more visible police force. This development must be reversed. Police must have financial room to increase staffing and strengthen prevention. Unfortunately, we do not find this room in the government budget for next year. The Christian People's Party has been happy that the government has strengthened the courts somewhat in recent years. That's absolutely necessary. There have been many lean years before the courts, there has been an increase in the number of cases and job stops in the sector. The fact that it is then proposed to the courts in 2012 is very surprising. That is why the Christian People's Party proposes further strengthening in its alternative budget. We can't allow the courts to become a clog in the criminal justice chain. Finally, I would like to point out that a credible security policy requires Norwegian politicians to stop talking around the cave, and that we dare to attack the causes of violence, unrest and fear. Between 60 and 80 pst. of all violence caused by alcohol. 1.5 million Nordics are plagued by the alcohol abuse of others. Nearly 50,000 women are physically injured by an intoxicated person every year. At the same time, the number of tipping points is increasing, and alcohol consumption is increasing sharply. Both the research community and the police criticise the articulation policy. The SIRUS comprehensive report from 18 Norwegian cities shows that one hour reduction in the turnout time on average leads to 17 pst. fewer cases of violence. The Christian People's Party has for a long time proposed to reduce the turnout time from 5 p.m. 3 a.m. to 3 p.m. 2nd@item: inlistbox The previous Minister of Justice was clear about what he wanted, and I am keen to hear if there will be a prioritized case for the current Minister of Justice as well.
ParlaMint-NO_2011-12-02.ana.ud1812e512	It's going to be line change.
ParlaMint-NO_2011-12-02.ana.ud1812e515	I agree with the representative, Ropstad, that it must now be said to be proven that previous tipping-off also means less violence and speculation. And then we'll see where this ends up on the government side, but I'll give the representative support for it. I would also like to say that I have registered with interest that the Christian People's Party's alternative budget operates with a web portal for information and guidance on rape victims. I think it's so much interesting that I want to give the representative the opportunity to say a little bit more about how to imagine such a portal – so maybe there's something we can have a dialogue about.
ParlaMint-NO_2011-12-02.ana.ud1812e522	Thanks for a good line, and thanks also for the clear support that the research material is in place, for the Christian People's Party has believed that the research is present, both internationally and nationally, and that therefore it should have been taken into account. So I hope that actually leads to you doing something about it. As far as the web portal is concerned, it's a very exciting proposal. Now I'm not going to take credit for everything, because it was the rape committee that suggested it, and it should have actually been followed up already. But what has been our goal with such a web portal is to provide more information and guidance for victims of rape, so that they can know where to turn in the event of rape, what requirements they have for follow-up, what legal certainty they must have, etc. For one of the points, it has to be that if you have been raped, or are unsure of what to do in the future, such information can easily be found, and such a web portal as the Rape Committee recommended can be a good solution.
ParlaMint-NO_2011-12-02.ana.ud1812e529	It may sometimes appear that the various parties are striving to charm the Christian People's Party in relation to future government formations, and it is well because the Christian People's Party thinks very well for all of us, in different ways. But what I'm worried about is that the Christian People's Party I know as a good and reliable and warm-hearted party comes out on another lead if they're to cooperate with the Progress Party. What I then want to ask concretely is what I also asked the representative Sandberg from the Progress Party about, and that is how, if necessary, more horrific and bad conditions in prisons for foreign prisoners should be consistent with the international commitments Norway has in order to be non-discriminatory in terms of ethnic background. How can the Christian People’s Party possibly address such a policy, which they may have to deal with if there is government formation? The same is true of the question of timing.
ParlaMint-NO_2011-12-02.ana.ud1812e536	I thank you for a good question. In spite of a lot of flirting from many parties, I can for sure just state that the Center Party will always have a high star with us, regardless of which freers will stand around! So to the concrete question: the party is in a thorough process, which is exciting, and which involves everything from members to communities and states, and I'm very excited about what the result of that process will be. But what the Klinge representative can be safe on, based on the examples she's referring to, is that the Christian People's Party is going to be clear that it's politics and what we can get through, that's going to be at the center. I know a lot about the consequences of sitting in government and having to stand in for everything the government is doing well. We don't have such an eagerness to sit in government that we're going to sell all the politics. The most important thing for us is to get a political impact, and if we don't get it, we won't do well for that policy, and thus go into opposition.
ParlaMint-NO_2011-12-02.ana.ud1812e547	The red-greens took over after the Christian People's Party in 2005. We can proudly say that we have cleaned up after the Christian People's Party in the last six years. We've increased the police budget considerably, and the student figures, which were then 350 every year, and which is actually still a problem for us, we've increased to 720. So the Christian People's Party keeps saying that they want to strengthen the police. Then my question is: when the Christian People's Party actually had the opportunity, they put in government for four years and managed to perform only that, that there were 350 police students every year, how am I supposed to trust that the Christian People's Party will maintain the strong commitment that the Red-Green Government has now delivered over the past six years?
ParlaMint-NO_2011-12-02.ana.ud1812e554	We've already argued a lot about numbers, and I can put many question marks on the premises and reasoning that the representative Chaudhry uses. But I'm not going to do that. I just want to say that when we were in government, we strengthened the budgets considerably. It's always the way that the next government will spend a lot more money. So the question is, what does one get for the money, and what are the results? The results I see, and as the police reports themselves show, are that there is less visible police and less police coverage now. That's why not necessarily boasting that you've spent more money is the best proof that it's gotten better. But the representative, Mr Chaudhry, can be certain – we have shown that through our alternatives budgets in recent years – that we will prioritise more resources for the police. He can also be sure that we want a clearer priority for everyday crime. Then we believe that through more visible police we will also get a much better prevention work. This also applies to what we had up in the previous round, with e.g. clear district profile of the police.
ParlaMint-NO_2011-12-02.ana.ud1812e564	The cord shift is over.
ParlaMint-NO_2011-12-02.ana.ud1812e567	Terrorist attacks on 22 July have updated the fundamental task of judicial policy: to ensure the security of citizens within the principles of the rule of law. The budget we are debating today is also marked on 22 July. The government assured us after the attacks that hatred and terror will meet with more democracy, more openness, but never naivety. I interpret this in such a way that we should retain, and further develop, a state of law that respects both freedom and security, while at the same time being able to guarantee the security of the individual. One of the most fundamental tasks for any rule of law is to protect its own citizens. To achieve this objective, it may be tempting to resort to increased security measures when citizens are under attack or when the level of threat increases. But the state must also have other principles, for whatever threats we face, the state must not go along with – and contribute to undermining – respect for human rights, individual freedoms and the principles of any modern state of law. This balance sheet is already extremely difficult, but it has now become even more difficult than ever to find this balance sheet, considering July 22. But it is also difficult because of the general threat posed by domestic politics, by its own citizens, and also the threats addressed to Norway by foreigners, and by the rest of the world. Both the insecurity of being subjected to crime and the impotence of being monitored undermines the well-being of people. This is important to keep in mind when designing justice policy. We do not only gain freedoms by depriving citizens of the right to privacy through massive monitoring and through-regulation. The Government proposes a strong increase in the budget lines for social security and preparedness. The government will receive its full support from the Left. In addition, we believe that there is a need to step up training and exercises on extreme situations in Norway. Here we are. We have to do something about this. The left has therefore opted for an increase of 10 million in the allocation to the Directorate for Social Security and Preparedness. kr. The left has also increased the allocation of the Police Reserve in its alternative budget, not because we believe that the Police Reserve should be used as a compensation for the lack of police, but because it is a resource that either needs to be used, and thus strengthened, or lowered. We want to strengthen it. The left is pleased that the government is increasing the appropriations for the police, but we believe there is a need for further reinforcement. In its alternative budget, the Left has focused on increasing the presence of visible police in Oslo streets, among others. to combat rape. There's something strange about it: we know that the visible police in the streets work, but we choose to give it priority. After the debate here yesterday on rape, it is also strange that we do not dare to be more offensive. We in the Left have chosen to set up our own rape unit in Kripos, as the Rape Committee recommended, and as we have not yet seen that the Ministry of Justice has taken up properly. The left has cut some posts in the Ministry of Justice's area, and I would like to make a few comments on one – the Data Storage Directive. Left cutter 13.3 million. for the introduction of the EU Data Storage Directive. The left, as you know, was opposed to this directive being introduced in Norway, and we therefore do not want to give additional funds to implement it. As we are not in the committee, I finally mention that the Left will support the proposals No. 1 and 3 from the Progress Party and the Right.
ParlaMint-NO_2011-12-02.ana.ud1812e586	It's going to be line change.
ParlaMint-NO_2011-12-02.ana.ud1812e589	In connection with the 22nd July statements in Stortinget on 10 November, the leader of the Left said: ‘I expect a clear admission that we as a nation failed. The most important thing a country can do is to protect its inhabitants, and we couldn't do that." However, in the alternative budget of the Left, we see little to strengthen the tools of the police and prosecution authorities to detect and solve serious crime, by removing the appropriations for the Data Storage Directive and the DNA register. How does this relate?
ParlaMint-NO_2011-12-02.ana.ud1812e601	I fully agree with the leader of the Left, Trine Skei Grande, that it was the systems that failed on 22 July. Step Skei Grande has not been concerned that individuals should be scapegoats. It's the systems that failed, and the systems we can do better. I am not familiar with the question that the representative here asks, that we do not agree to build up the systems. On the contrary, there's something left to do all the time. With regard to the Data Storage Directive, I hardly think the representative here once is of the opinion that if we store enough data, we will be able to prevent any crime that Norway is facing. The Data Storage Directive takes away individual freedoms. I do not think there is any reason why we should grant money to store data on the citizens who are then to the degrees of intervention of the individual. I am of those who believe that my private correspondence should remain private, as long as I am not suspected of anything criminal.
ParlaMint-NO_2011-12-02.ana.ud1812e608	The representative Abid Q. Raja and his party have clearly been concerned with combating violence against women – particularly rape. This applies to both those who are committed within the home’s four walls — or among friends — and those who are committed outside. It's affordable, but there's something that's not hanging in the hop here. The size agreement is that a DNA register is a good tool, for example for: to be able to combat rape — not least rape. Then I'm going to give the representative Abid Q. Raja the opportunity once to explain how on the one hand they can be concerned with fighting rapes, and on the other hand cut 30 million. kr in the DNA registration bet.
ParlaMint-NO_2011-12-02.ana.ud1812e615	The left supports the DNA reform and of course agrees that DNA is an effective tool for the resolution of crimes. However, we believe that the register has gone beyond what is necessary, and we are concerned that citizens are still being registered and monitored. We therefore want a somewhat more limited register than the majority want, and have consequently cut something in the appropriations for DNA analyses. So I would like to thank the representative Chaudhry for giving some credit to the Left in combating violence against women. I want to send it back to the representative Chaudhry, who has also been a lead figure to put the search light on this. When it comes to combating rape, it's about a lot more than DNA records. It's about attitudes towards women, it's about the assignment of boys in Norway, it's about new citizens coming, who are going to get involved in what we in Norway know. Here we can do a lot more. This is where the government has done a little bit. I have sent an invitation to the former Minister of Justice and also did it here yesterday to the current Minister of Justice, and I look forward to cooperating on that point.
ParlaMint-NO_2011-12-02.ana.ud1812e624	I have to say I am somewhat surprised that the Left does not want to grant the necessary funds to run attempts on electronic adjournment. There is, of course, an alternative criminal reaction that provides an opportunity not least to continue to be able to work and have their home. So I have to ask the Left's representative here, why is it better to put people in prison? I also want to add: is this better privacy, if that's what the Left has in mind? Then I want to add that if I was doomed, I know what I would choose. I would therefore also like to ask the Left's representative here what he would choose – sail if the question is certainly theoretical.
ParlaMint-NO_2011-12-02.ana.ud1812e629	I assume that the representative who asks the question has a safe and safe home in which he can live, and therefore would rather zone there, if he would come in the situation that he was convicted of anything. That's not the reality of very many others. The left is pleased that the government is trying different measures to reduce the pay queue, but we believe that home sonarism with electronic control is breaking with important principal aspects of the criminal system. The possibility of home reconciliation creates, first of all, as I say, a kind of class justice. It is important not to forget that some in Norway do not actually have a home suitable for home zoning, and many others have a much better home than others. Secondly, home soning with an electronic link will cause the relatives of the sentence to become involved in the punishment in an unlucky way. I would like to stress that electronic link will never replace obliging human relations, which are absolutely essential for successful rehabilitation.
ParlaMint-NO_2011-12-02.ana.ud1812e640	So the line change is over.
ParlaMint-NO_2011-12-02.ana.ud1812e643	The government has long invested in security and preparedness. For example, next year we will be adding. up to one of the largest investments ever in social security: the development of a new nationwide digital emergency network. This investment, plus a reinforced commitment to police and prosecution authorities, provides a good basis for further strengthening security and preparedness. I would also like to thank you for the concern expressed by this House to the staff of the Ministry of Justice. The terrorist attacks on Ut Island and the government quarter of July 22 are still open to many. So far, we don't have a full overview of the entire sequence of events. For the government, it has been important that our response to the attacks is to rehabilitate and strengthen democracy, while strengthening security and preparedness. Security must be the foundation of democracy. The task of the Oslo Police District Emergency Team is to protect the community from serious crime. The response rate shall be strengthened next year. We also want to strengthen the police helicopter service, so that the Oslo police can hire a helicopter, set up three new crews, together with six new year's work and strengthen preparedness. In addition, military preparedness has been restored in the Defense Helicopter Quadron on Rygge. The Bell helicopters that could support the police with transportation on request. In addition, the government has started work on facilitating the use of the Sea King rescue helicopters by police personnel in time-critical situations. It is important for the response time that we ensure that some of our most operational response forces get better facilities. Therefore, the government is now giving priority to planning the establishment of a new police emergency centre in Oslo, with a view to bringing together the police helicopter service, the emergency team and the dog service in Oslo police district. We will also increase the allocation of the Police Security Service. The increase shall be directed towards investments in an advanced open network search engine, in addition to increased capacity and several years' reconnaissance and lifeguard services. From 2005 to 2012, the PST budget has been increased by a nominal increase of more than 80 pst. The government has given PST better equipment and methods, such as space listening, communication control and base station search. All of this has been to help us have a security service that can carry out our social mission, namely to protect the community from terror and serious crime. An external review of the resource situation in the PST will be carried out, giving us the best possible basis for future consideration of budget proposals for the service. The Ministry of Justice is now working on the scheme, and the government will come back to this as soon as possible. Since the government joined, we have taken responsibility for launching large, necessary investments in security and preparedness, such as the development of new emergency networks and the acquisition of new rescue helicopters. Emergency networks are being deployed in the police districts around Oslo. In the summer we received a unanimous decision to build it up throughout the country. In the budget, we are now proposing to increase the allocation to Emergency Networks by 1.5 billion. kr. This means that the further establishment of this crucial infrastructure is well under way. Emergency networks will strengthen the capacity of society to combat organised crime and to deal with major accidents, natural disasters and possible terrorist threats. The Government also proposes to increase the allocation of the rescue helicopter standby to ensure further progress in the project in the acquisition of new rescue helicopters and to keep current Sea King helicopters operational until new helicopters are in place. The acquisition of new rescue helicopters is a significant investment in social security and preparedness in Norway. If the Storting follows the government’s recommendation, we will significantly improve the capacity of the rescue helicopter service to handle societal tasks such as search, rescue, air ambulances and other important tasks. Good infrastructure is important for safety. Well so important is sufficient and competent personnel. The biggest challenge that this government inherited from the Bondevik II government in the justice sector was probably the lack of people in the police and civil servants' seats. That is why we have implemented a required strengthening of the police by providing larger budgets, more students and more staff. We've doubled the recording at the Police College and in the last two years we've recorded the record 720 students. That level is continuing in 2012, while we are proposing to increase the allocation to the Police College. In every budget in the last few years, we have put in extra means of pay, which makes it possible to hire new graduates from the Police College. Next year, we will facilitate the creation of more than 300 new year's works in the police department, of which 202 will be for those who leave the Police College next summer. In Oslo, the newly created investigation unit is continued after 22 July with 55 years' work, while 40 years' work is to help ensure that other police tasks do not get damaged during the investigation. In 2012, we're expected to spend about 30 billion dollars. in total for the justice sector. About 13 billion. kr shall be used by police and prosecution authorities. In the future, we need to focus on the correct use of resources. I am concerned about the quality of the services provided, and that we need to get the most police force out of every single penny. For this reason, the government has announced a broad-based performance reform in the police during this large-scale period. I am pleased with the articles today that have also highlighted the need for this focus on quality of service. One aspect of this work will be to look at police work methodology and the capacity of the agency to use new technologies. In the budget, we propose to ensure the necessary progress in renewing the ICT systems in the police. The Ministry of Justice and Police will change the name of the Ministry of Justice and Defence from the New Year. The Ministry will be provided with new resources and organisational changes are also relevant. The aim of such changes in structures and working methods must be to ensure the whole focus on improvement work, better performance and quality at all stages. We have to follow the developments in the threat picture and adapt the policy and the way we work, after that. We need to ensure that the overall resources for preparedness and crisis management are used in the best possible way for society. That is why the government has announced a closer cooperation between police and defence. Among other things, the defence will go through the aid instructions and see if the procedures for the defence assistance to the police can be further simplified. The role of defence in the overall preparedness will be an important topic both in the forthcoming long-term plan of defence and in the subsequent communication to the United Kingdom from the Ministry of Justice on social security. The government is committed to seeing the whole of the criminal case chain. When the police have received several annual works and resolve several cases, we are dependent on having courts with good enough procedural capacity and sufficient accumulators and staff in the criminal justice system. Our courts are among Europe's most effective, and so we want it to continue. That is why we propose to increase the allocation of legal certainty by the courts in the context of the implementation of the Data Storage Directive, strengthen the operation of the Supreme Court and increase the remuneration of the Land Change Judges. We have a criminal code based on settlement with meaningful content. Next year, we will continue to invest in alternative housing and keep the pressure on work on housing transfers. The whole criminal chain also includes care for the victims. The government will strengthen victim management, both in order to reduce the length of proceedings for applications pending, and because more people will apply for compensation for victims after 22 July. In conclusion, I would like to mention that the government has arranged for non-governmental organisations to be central contributors and complements to public rescue services. Therefore, they have received a double grant, an insurance scheme, a better reimbursement scheme and priority shall be given to participating in rescue operations if this does not go beyond quality. I think it is gratifying that the majority of the financial committee proposes to strengthen the funding of NGOs in the rescue services by 5 million. in addition to the Government's proposals.
