ParlaMint-NO_2017-01-18.ana.ud525e28	The representative, Jenny Klinge, will put forward a proposal for a representative.
ParlaMint-NO_2017-01-18.ana.ud525e420	When a reader consults newspapers and hears the Council of State, there is no doubt that wolf policy is a difficult matter in Norway. We want a different policy from the government, where we take out more wolves, and therefore we were the proponents of a settlement that we believe should be fulfilled. But one of the things that also worries me is that when spring comes and there are no more wolves taken out, there will also be a lot more puppies born. We who follow animal life closely know that when new puppies are born, the juvenile puppies are hunted, and these young people will seek their own territory. It's often those who are on the strip, who have the greatest potential for damage, it's those who take the most sheep or pure and will be a big challenge. There's also some of the reasons for the Christian People's Party because we're behind the deal. We shall take responsibility for the Scandinavian wolf tribe, but at the same time the wolf population shall be taxed as a second game once the stock target has been reached. My question to the Council of State is: Is he afraid of that effect, and does he believe that enough wolves will be shot to avoid that effect next year?
ParlaMint-NO_2017-01-18.ana.ud525e430	There is no doubt that the damage potential of the wolf in general is not greatest in the wolf sole for grazing animals, but in the periphery and in the outside area, where animals are taken by stripping wolves. There, Helgesen has warned us that we need to introduce more new measures and make new assessments of how effective we can hunt, radiolabelling that means that we know where the animals are when they are searching for grazing areas, clearer steps to simplify decision-making processes and assess whether we can set the threshold for harvesting even lower in order to prevent loss of grazing animals. I think it's important that we do well, completely independent of this licensing case. Because it's actually about making sure that the animals that pose the greatest threat to grazing, for Norwegian farmers, for Norwegian agriculture, are taken out before they claim to do harm, because we see that the potential actually arises. This means that the administration will have clear expectations about the upcoming grazing season.
ParlaMint-NO_2017-01-18.ana.ud525e435	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e440	The party of progress likes to be on the team with most people. In this way, I can be pleased with the fact that an opinion poll in Hamar Arbeiderblad yesterday showed that most people, almost certainly 76 pst., in Hedmark are positive to the wolf in Norwegian nature. So here the government is in line with the people. What I want to ask is whether one has been involved in the various assessments made by the Ministry of Agriculture and the Law Department. Here the Minister of Agriculture says that one disagrees on the potential for damage. Then my question is, "Is this the inconsistency fact, or is that the kiss?" Is it true that the Ministry of Agriculture believes that there is a greater potential for harm to grazing animals than the Law Department has foreseen? Or is it such that the Ministry of Agriculture believes that the term ‘damage potential’ can be passed on, for example. hunting interest? Because yesterday the climate minister said clearly that one cannot count into that overstatement.
ParlaMint-NO_2017-01-18.ana.ud525e447	To begin with, our assessment is that the risk of damage to the wolf's wolf's revir in the wolf's son and the distribution that normally occurs once a year if it has been coaled, suggests that the damage potential is greater than that to which the law department has assessed it, except for the wolf'sona – mainly outside the wolf's son. But we also have to stick to the assessment that the Law Department has made, and I do. At the same time, there are many who are adherents of the wolf also in Hedmark, but we have to bear in mind that what is broken in this – and it has to be careful to substantiate – is that it is based on the fact that we are able to manage the stock of the Stortinget. That's what's our challenge now. What's government's challenge now is that it's going to be challenging if we actually do it, but people can feel confident that the government is doing what they can to manage the goal, which also promotes the legitimacy of the predatory policy that the Storting has chosen to pursue, including in these areas.
ParlaMint-NO_2017-01-18.ana.ud525e452	Let's move on to the next main question.
ParlaMint-NO_2017-01-18.ana.ud525e457	My question goes to the Minister of Finance. In a few months' time, the State Council shall submit the 2017 Perspective Communication. The technological shift, the fall in oil prices, population changes, and climate and environmental challenges mean that we have to consider new ways to ensure that Norway is at least as well a welfare society in 20–30 years. In the last year, the government has organised four open seminars on issues such as future welfare societies, challenges arising from ageing, immigration and integration, and how the Norwegian economy can meet a lower oil price. This is good! On the other hand, the government has not organised a corresponding seminar on what will affect the Norwegian economy as much as possible in the coming years: the impact on the economy of climate and environmental challenges and international agreements Norway has committed itself to when it applies to reducing greenhouse gas emissions. In the context of the management of the Perspectives Communication four years ago, all parties – apart from the Progress Party – underlined that the climate challenges, together with an increasing loss of biological deficiency, represent a serious challenge to our life base. I have recorded that there is still a running seminar in the party to the Council of State and in the Storing Group that a research and knowledge or belief should be taken into account in climate policy. So the question to the Minister of Finance is: What challenges does she face for the Norwegian economy as a result of the climate challenges, and after three years in government, has the Minister of Finance got a different perspective in this area than her party had four years ago, and as part of the party still has?
ParlaMint-NO_2017-01-18.ana.ud525e470	There are probably several parties that sometimes have seminars in their own ranks. It may not be entirely unknown to the representative of Mr Breivik either. However, it is absolutely right that the government also works with a comprehensive chapter on climate. It is true that we have not had our own seminar on this, but I have had a meeting with the Climate Council – a separate recording meeting related to the climate chapter and the design of it in the context of the development of the perspective communication. So I can assure Mr Breivik that the government is taking this very seriously. My ambition is to provide a perspective message on behalf of the government. It points to the challenges facing the Norwegian economy as a result of the transition we are now in the middle of. The fact that the oil price shock has reinforced a trend in the oil-related industry that we have long known to be coming gives this greater attention in the perspective notification. It's about the loss of the big return that we've been waiting to get from the oil sector, not being able to replace it by other individual industries. This means that we need to facilitate the creation of new jobs across the private sector. That is the prerequisite for maintaining a good welfare society in the long run. We agree that we should. I am pleased that during these years we have found good solutions between the four parties, which are now helping to get us through the difficult times in particular in the South and West. There are points of light coming, but the challenges of conversion are great. This is about getting productivity growth up. It's about running the public sector more efficiently than we've done so far. It's about targeting our welfare systems against those who need it.
ParlaMint-NO_2017-01-18.ana.ud525e479	Thanks for the answer. It is not surprising that the Minister of Finance refers to the oil sector with a certain pressure, because she had a debate on the press in the class struggle earlier in the week entitled 'Hey oil!'. Today I am recording that the Minister of Oil and Energy is out with a play where he will quickly open up for extraction outside the Lofoten, the West and Senja. In view of less than the two-degree target, it is reasonable that the petroleum industry must have at least the possible CO 2 pressure and be perceived as the purest in the world in order to be able to claim itself on a market that will necessarily require less oil and gas than today. The question is therefore: does the Council of State see that allowing oil activity in an area that not only represents invaluable renewable values but is also a classic world wide nature conservation icon can actually be in the disfavor of an industry in which future sleeps that a person is perceived as being resilient and engrossed in natural values, and that this is also a perspective that must be addressed in the perspective message?
ParlaMint-NO_2017-01-18.ana.ud525e491	The government is going to devote a lot of space also to what we think development will be for the oil industry in the future. Let me be quite clear that we are going to enjoy oil activity in Norway for many years to come. So the light hasn't turned off. But the speed of the industry is going to be less than we've been used to, and the 'input' that it gives to the Norwegian economy is going to be less than what we expect. However, the industry’s contribution to both high incomes, employment and related industry and industry is beyond doubt. And I think that is necessary given the energy demand that the world is going to have in the foreseeable future. Then Norwegian gas is a good contribution, to mention something. This does not mean that we should not continue to work on the development of green technologies and the commitment to renewables, which we are doing well in the cooperation between the four parties.
ParlaMint-NO_2017-01-18.ana.ud525e496	There will be follow-up questions – first Iselin Nybø.
ParlaMint-NO_2017-01-18.ana.ud525e501	My follow-up question goes to the Minister of Labour and Social Affairs. No matter how much we believe or not believe that the Norwegian oil and gas industry will lead in 20 to 30 years, there is no doubt that the decline we have seen in the oil crisis has led to a lasting change in employment and jobs, not least in the West. This applies to those directly employed in oil, but also to those indirectly affected, by a fall in demand and an insecurity of jobs. From a long-term perspective, it is important that all those who have become unemployed and who have soon left the job for two years come to work as soon as possible. Consequences can quickly become permanent exclusion and increased public costs. I believe that we must have a non-prejudiced review of the instruments available. Rules that result in the loss of performance if additional education is needed are one such area for which the Council of State is responsible. So the question is: will the Council of State – in the context of the perspective communication – address a full review of the instruments in order to get the unemployed back to work quickly?
ParlaMint-NO_2017-01-18.ana.ud525e509	In the past, with the support of Stortinget, I have implemented several changes in the day-to-day pay legislation, for example, precisely in order to be able to help more of those who lose their jobs can get the necessary training and additional training in order to get on with them. We made seven changes to the day-to-day pay legislation last year, which was based on both the possibility for the beneficiaries to take part in education, the possibility for the beneficiaries to take Norwegian training and the possibility of combining day-to-day pay with the establishment of their own business. We now see that there are several – twice as many this year as last year – who are going on a daily allowance and establishing a business. I'm open to make further changes if it turns out to be necessary. It's obvious that when we're talking about transition, we're talking about the seventh and last time about the transformation of people -- people need other skills to meet new needs and opportunities out in business and the new working life that we're now seeing. So I'm open to it. Although I don't have any concrete suggestions right now, it's going to come more.
ParlaMint-NO_2017-01-18.ana.ud525e514	Truls Wickholm – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e519	The perspective message will give us a clue as to what will be the major challenges in the future, and give us some advice on how we can do the best to equip ourselves to meet them. We have seen that Norway has been well equipped to withstand major unforeseen events such as the financial crisis and oil price falls. Among other things, an important factor is: have been a highly educated population who have been resilient. Another very important factor is the high level of organisation with large nationwide associations on both the employer and employee sides. The ability of the parties to cooperate, to moderate and to discipline, inter alia: through the frontal model, Norway has achieved better than many other countries that have met the same challenges as us. Nevertheless, this government has done little to strengthen the degree of organisation of Norwegian work. Among other things, the deduction from the union quota has been effectively cut. Does Jensen agree that the degree of organisation and well-organised work will be crucial in the future as well? And in that case, how does the Council of State think that this can best be given a central place in the perspective message?
ParlaMint-NO_2017-01-18.ana.ud525e526	I am very pleased that there are great expectations in Stortinget for the perspective announcement. It will arrive on 31 March, and I hope that the representative, Mr Wickholm and others, will celebrate the corresponding interest when it arrives. Here we're going to present many challenging features for the Norwegian economy in the future, and we're going to point out what the government is looking at to realize the challenges we're facing. It means, of course, that, in addition to the climate, which I was asked about initially, it will be a mention of welfare societies, of developments in public administration, inequality – many of the issues that dominate the public debate. So I think that the representative of Wickholm would be happy to see the perspective message coming.
ParlaMint-NO_2017-01-18.ana.ud525e531	Snorre Serigstad Valen – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e536	The Minister of Finance's answer to the representative, Wickholm, bears the mark of someone who may not be very personally involved in the question, namely a safe working life with a high level of organisation. We could say the same thing about climate. There is no finance minister known to put a lot of emphasis on when she heads her party, the Progress Party. Therefore, my question is whether there is any reason to trust that the Minister of Finance will give priority to a field where there is any doubt as to whether she really believes at all. Does the Minister of Finance believe in severe man-made climate change? And if for the first time in the Storting is ready to answer a completely unequivocal yes to that, will she use the force to defeat the rebels in her own party who do not share this conviction?
ParlaMint-NO_2017-01-18.ana.ud525e541	I think the Minister of Finance will use his time to explain what this government is doing in the climate field. There's nothing to be ashamed of. We have delivered more in collaboration with the Christian People's Party and the Left than the SV did in the eight years they were in government. I believe that we have every reason to be proud of the efforts we make. We use many different instruments to help reduce greenhouse gas emissions. Much of what we've done in the transport sector, we're now starting to work. We're getting a much faster renewal of the car park, which is one of the most central areas we can actually do something about to quickly bring down the greenhouse gas emissions. It's in stark contrast to what the previous government did, which went out and recommended people to buy diesel cars. So a few years later, the same parties, right in Oslo City Council, are going in to punish the same drivers who believed in the promises of the previous government. So I think SV might be going a little cautiously in the doors, all the time we're going to change the one-time charge, so we're going to get the greenhouse gas emissions down.
ParlaMint-NO_2017-01-18.ana.ud525e546	Let's move on to the next main question.
ParlaMint-NO_2017-01-18.ana.ud525e551	My question goes to the Minister of Labour and Social Affairs. Differences in power and wealth are increasing in Norway, and government policy strengthens it. The economic elite receives gifts from the Right Party Government. At the same time, we have 92 000 poor children in Norway. Poor dependants and chroniclers get petty cuts like greetings from the government. Many of those who serve at least in the labour market have now experienced a series of years without real wages growth, and young and low-paid losers in a housing market characterized by speculation and wanting to grow prices. The central statistical agency recently provided figures showing that prices rose by 3.6 pst. in 2016. At the same time, the old age pension rose by less than this. According to the Pensioners Association, the purchasing power of the old-age pension was reduced by 1.9 pst. in 2016. For a pension of NOK 250000, this is NOK 4 750. According to Nav's calculations, the entire 84 pst lost. by pensioners purchasing power in 2016. The big group that lost the most was the 300,000 single pensioners who have something more than the minimum pension. This government has given more to married and cohabiting pensioners, but when we look at the distribution effect of the policy, we see that in sum they have given the most to people who have had it financially, while lonely and pensioners who have low social security pensions come out badly. Thousands lose their purchasing power and get less of a living with this government's policy, while at the same time putting a record in billionaires, and the government gives them large sums of money at the top. Why has the government not done anything to prevent the elderly with low pensions from losing purchasing power?
ParlaMint-NO_2017-01-18.ana.ud525e564	There was a lot here. Firstly, inequalities have increased over many years. They have increased since 2009, and much of the cause of inequalities is high immigration into Norway. That is why the measures we are taking against inequality must also be based on them. It's about education and qualification, it's about jobs, and it's about good welfare services for those who need it. Nor is it the case that the main effort of this government is tax-free for the rich. The main actions of this government are knowledge, education and infrastructure. With regard to the purchasing power of pensioners, a cross-political majority in the Stortinget, minus SV and the Progress Party, decided that pensions should be regulated on the basis of actual wage growth minus 0,75 pst. When you look at this way of regulating, you see that the pensioners have come out much better with that way of calculating, than with the alternative ways of calculating. But we now have some years when wage trends are poor for the workers, and then they are reflected in the development of pensions. At the same time, it is important to bear in mind that, in parallel, this government has taken up more money for pensioners, both by improving pensions for married and cohabiting persons, by raising pensions for single and married minimum pensioners, and also by tax relief for pensioners. As the representative is certainly aware, and as we have also shown in a big message we presented to the Stortinget, the income trends of pensioners have been very positive in the last ten years. Much of this is, of course, due to the pension reform, that you should be able to take out a pension while still working, but there are also several other reasons. I'm glad, because many of the pensioners have had a bad economy, but now we see that they've had a significantly better economy in recent years.
ParlaMint-NO_2017-01-18.ana.ud525e577	Since the government has decided that the social security settlement should not now be presented as a matter of its own in the spring, but dealt with in the context of the state budget, I have a follow-up question to the Minister of Finance. It is true that many of the elderly have had a good income development, but my question was, after all, about those with low social security pensions that are now less viable. The government has done nothing to prevent it. For example, a floor could be introduced to prevent a negative trend in purchasing power. The Progress Party has chosen not to do so. In fact, the Christian People's Party received something extra to the minimum pensioners in the context of the year's budget. That's good, but the government is going in to keep underregulation, which means that many of the older people who have the worst economy get less living off. There must be a special-class lifting break after many years with Siv Jensen as the spokesperson for the case of the elderly in Norway. Why in the world does the Minister of Finance stand for a policy that makes many older people with low pensions poorer on her guard?
ParlaMint-NO_2017-01-18.ana.ud525e585	The most important promise I made on behalf of the Advance Party before the 2013 elections, which we have brought into the government platform and delivered on, is to do something about the curtailment of the pension for married and cohabiting pensioners. We have delivered that, and that promise alone has a price tag of 2.7 billion. kr. 650 000 pensioners have been strengthened because we have delivered on this promise. That really means about $4,000 per pensioner. I believe that there is reason to be quite satisfied with that. In addition, in cooperation with the Christian People's Party and the Left, we have increased the minimum pension for single age pensioners by NOK 4000. It's actually a handshake to those pensioners who have the least. So I believe that this government has nothing to be ashamed of, all the time we are ruling on the basis of a pension settlement made before this government joined. It is quite right that the Minister of Labour said – SV and the Progress Party disagreed with it, but both the SV and the Progress Party have dealt with a settlement in the governments in which they have been sitting.
ParlaMint-NO_2017-01-18.ana.ud525e590	It opens for follow-up questions - first Snorre Serigstad Valen.
ParlaMint-NO_2017-01-18.ana.ud525e595	This is good double communication. One boasts of giving a gift package to the pensioners, while at the same time ensuring that eight out of ten pensioners are reduced in purchasing power. But we also have other examples of this double communication from the Progress Party. On the weekend, for example, the Minister of Finance of Dagbladet stated his own lucrative golden pension: "It is totally unmusical that politicians at Stortinget should sit and give themselves such good conditions." The finance minister said she was ashamed of her own pension, and she should be – I fully agree. But every time SV has put forward proposals on this matter, Siv Jensen and the Progress Party have voted against tightening up the lucrative pension schemes, both in 2000 and 2011. This has been done by Siv Jensen and the Progress Party on each round – defending their own golden pension. What thoughts does the Minister of Finance think they are doing, all the pensioners who have lost money at the Progress Party in government, while the Minister of Finance himself has protected his golden pension at every crossroad in the Stortinget?
ParlaMint-NO_2017-01-18.ana.ud525e604	I am very pleased with the results that this government delivers, also to the pensioners. So it's quite right, as the Minister of Labour also said, we've had a wage trend in the last couple of years that makes purchasing power development weaker for everyone. This has resulted from the severe economic development in Norway. Both employees and pensioners have experienced the effect of this. Therefore, it has been even more important for me to deliver at the point in the platform that is about the curtailment of the pension for married and cohabiting pensioners. As I said – that means that every one of the 650,000 pensioners who enjoy it has increased their pension by NOK 4000. In addition, there has been a similar increase for single-age pensioners. So all in all, we've strengthened the terms of the pensioners quite a lot. At the top of it comes reductions in taxes, which have also been added to pensioners.
ParlaMint-NO_2017-01-18.ana.ud525e611	Lise Christoffersen – to follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e616	I have tried to give the finance minister the opportunity to ask questions about retirement before, but not clearly, because she has sent another government council to Stortinget. So I'm going to take the opportunity now. We have figures from the government itself that show that both the tax relief of pensioners and the increase in pensions have benefited primarily those pensioners who have the highest income. Thus, despite protests from both an overall opposition and the pensioners' own organisations, social security is no longer to be settled for Stortinget. So my question is: how many pension settlements with negative real development only for pensioners does the Council of State consider it reasonable to have before the government comes to the Stortinget with measures to maintain the prerequisites of the pension reform that pensioners should also participate in the overall prosperity development in Norway — and that applies to all pensioners, not just the average pensioner?
ParlaMint-NO_2017-01-18.ana.ud525e625	So it is not the Minister of Finance who sends other government councils to the Stortinge to answer questions. It's the state councils that have the constitutional responsibility, that meet in Stortingen to answer questions. Now the Minister of Labour, who has the constitutional responsibility for this, is present, but I find that the Labour Party still chooses to ask me the question. I would like to answer that, and I will answer it the same way as I have answered the two previous questions, namely that we have nothing to be ashamed of. We have delivered on what we have promised that we will do to the pensioners. Then I understand that it is challenging both for the country's pensioners and also for many employees that purchasing power has been the way it has been in the last few years, as a result of us having a slightly more demanding time for the Norwegian economy. Now it's shining. What will be the result of the next wage settlement is not possible for me to advance, but it has been necessary for the social partners to contribute to moderate wage settlement in order to ensure increased competitiveness for Norwegian business.
ParlaMint-NO_2017-01-18.ana.ud525e632	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e637	Then I'm going to ask my question to whoever has the constitutional responsibility, that's the Minister of Labour and Social Affairs. In the first exchange of words, there was a debate between the councillor Hauglie and the representative Lysbakken on what is the main campaign of the government, where the Lightbakken thought it was tax-free, while Hauglie thought it was school and education. I can give them the phase: the main thrust of this government is exactly what the Lighthouse is so worried about, easy retirement. The cost of old-age retirement alone increases by 12 billion. kr in year. It's more than the entire cultural budget. And that's another 1.6 billion. kr to married and cohabiting pensioners and minimum pensioners at the top of it. What I want to ask a question about is what's a real concern for a lot of pensioners, that's all those on public service pensions. On Friday, Dagbladet told us that 700,000 pensioners are at risk of losing money to work because one has still not received a public service pension reform. This goes against all that this Storting has agreed on in principle, and that this government stands for. When will the government resolve the conflict about a public service pension?
ParlaMint-NO_2017-01-18.ana.ud525e646	There is no doubt that part remains until the pension reform is fully realised. Public occupational pension is what remains. Here we have a good dialogue and good processes with the organisations. We have jointly prepared a report. It was completed at the end of 2015, and we used the previous harvest to investigate and go deeper into some of the issues that had not been addressed well enough in that report. Then there has been – and there is no secret – a discussion with organisations about how to land this process. They've wanted to land this in an out-of-date vote on a payroll settlement. We've thought it was unwise. That's what happened in 2009, and we saw how it went. We've wanted to land the process in a different way. But we still have processes with the organizations, and we aim to get this more on the rails again. There is still some work to be done, but much of the investigation work has now been completed.
ParlaMint-NO_2017-01-18.ana.ud525e655	Let's move on to the next main question.
ParlaMint-NO_2017-01-18.ana.ud525e661	My question goes to councillor Hauglie. The Minister of Labour's predecessors in the State Council chair liked to talk about being forward-looking in the fight against social dumping. He should not just sit passive and adopt plans. It was probably a little subtle attempt at criticism of the Stoltenberg government's three powerful action plans against social dumping. We now see that there was a rhetoric. We are still waiting for the forward-looking policy, even a little over a year within Hauglie's government career, although I note that the word 'forward-looking' is still clearly indebted as a universal point of expression when policy is otherwise lacking. On the contrary, this summer we received two reports from National Auditor Per-Kristian Foss, which were very critical of the government's work to prevent social dumping and the crime of working life. ‘Low and low deterrent efforts’ are the words summarising the Riksrevision’s findings. The reports have been examined by the Control Committee, which unanimously joined the criticism. There is a long way between those who are impressed by the government's efforts in this area. Even the leader of the programme committee of the Right, Torbjørn Røe Isaksen, recently told the media that the government has not done enough to fight social dumping. And then the question to the Minister of Labour is, Is she in agreement with this rarely perceptive self-search from her party trap and from the government's colleague that the government has not done enough to fight social dumping?
ParlaMint-NO_2017-01-18.ana.ud525e672	I'm going to like to see the government that can lean back and say that you've done enough. Whoever's doing it, I don't think I know the complexity of this. This government takes the crime of working life very seriously. We have a strategy against the crime of working life that has now worked for two years. We're running it now and we're revising it. It will be discussed with the parties at a summit in February, and we are in the process of revising that strategy. It is important to bear in mind that, following the criticism of the Riksrevision, more measures are in place. We now have five anti-employment crime centres in the five largest cities in the country, where state agencies work together to combat the crime of working life. The budgetary agreement provides for two new centres to be established during this year. A national analysis and intelligence centre has recently been established to strengthen cooperation between the police, the tax administration, the customs office, Nav, etc., so there are several measures that have been taken in the strategy, which are now being implemented and rolled out, and we see that it also has good results around the country where this is in place. So I want to say to the most extent that this government is forward-looking in this work, but there is no doubt that it is demanding, not least because crime is becoming more and more complicated, it is becoming more and more creative, and therefore the work must also be based on it. Even now, I have taken the initiative of the authorities in Romania, Poland and Lithuania to strengthen cooperation with these countries, and it is also well received there, so we are going to continue that work, and we see, as I said, also good results from it.
ParlaMint-NO_2017-01-18.ana.ud525e679	Thanks for the answer. It is obvious that the Riksrevision is not satisfied with a government that is forward and happy with it. For me, it is obvious that the government is not just showing a weak and little deterrent effort to prevent social dumping and the crime of working life; I think there is good reason to claim that a policy is being pursued that is largely underpinned by the negative developments that we are now seeing unfold in parts of the world of work. The government has not only voted against a number of proposals for action against social dumping, but also actively proposed and adopted policies that weaken serious employment, for example. temporary additions, the removal of collective redress rights, the cutting of the trade union deduction and the weakening of the rights to control measures. If the Right now claims that they will increase their efforts against social dumping, is it not really just fire-extinguishing to remedy the negative effects of their own government policy?
ParlaMint-NO_2017-01-18.ana.ud525e688	No, on the contrary. In the case of temporary employment, it is right that we have made it easier to hire temporarily, but at the same time we have tightened up the length of temporary employment. We have also introduced quarantine provisions for companies using this. Temporary employment also proves to be an important springboard for getting into the labour market. Half of the temporary staff come to work after one year. 60 pst. of those temporarily employed are in employment after 21 months, 30 pst. of temporary staff come from unemployment and from studies. This means that temporary employment is an important entry point for many of those who are now outside, and I think it is good. However, we are concerned that we should have a serious and well-organised working life, and that is why we have 22 measures in the strategy against the crime of working life, which we have concluded with the parties and the agencies to combat the unprofessional working conditions in the labour market.
ParlaMint-NO_2017-01-18.ana.ud525e695	It opens up for follow-up questions – first Lise Christoffersen.
ParlaMint-NO_2017-01-18.ana.ud525e700	Not all social dumping is illegal. Aviation is one of the industries most exposed to social dumping, and that was an important point in our third action plan against social dumping. It has now been removed by the sitting government. There was partial protection — not large, but nevertheless — in the foreign regulation, and four months before the last election, the Right Labour Policy spokesman, Torbjørn Røe Isaksen, saw no reason for Norway to go ahead and open up further undermining Norwegian wage and employment conditions by amending the foreign regulations at this point. Three years later the government did it anyway, despite promises of the opposite. What new elements had emerged in this matter during this period that got Right in Government to break its promise to Norwegian pilots and cabin crews?
ParlaMint-NO_2017-01-18.ana.ud525e705	The challenge was that we were given a clear recommendation and were clearly informed that the regulation was contrary to the Schengen Regulation, and we had to change it. But then LO has sued the state. It is now in the legal system. The decision will come in January, so we will see how the courts handle this. But the reason we changed the regulation was that we got a clear message that the current rule was in violation of the law.
ParlaMint-NO_2017-01-18.ana.ud525e710	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e715	Unlawful social dumping is closely linked to public tariff agreements. Generalised collective agreements include wages and salaries, but also compensation for travel, subsistence and lodging. So if the address of the place of residence is necessary far from the place of work, one has to pay travel, accommodation and lodging according to the rules of the collective agreement. My question is short, and I will take it slowly: does the Council of State agree that if travel, diet and lodging are not paid under Norwegian tariff agreements, is this contrary to the content of a public tariff agreement and thus an example of social dumping?
ParlaMint-NO_2017-01-18.ana.ud525e722	Now the representative asks me about the so-called yard case, which has been in the Norwegian legal system for many years, where there was a conflict about whether travel, diet and lodging could be part of the collective agreement or not – a major and long-term conflict between NHO and LO. The passed Supreme Court. The Supreme Court supported the LO. The N.O. went on to ESA with the case. ESA has now opened a formal case against Norway, where ESA believes that expenditure increases cannot become part of the minimum wage concept, as the Supreme Court has suggested. We now have good processes with the parties. Both the employee side and the employer side are aware of the challenge. I feel that they are willing to come up with a solution. It is the parties that are responsible for the formation of wages and salaries in Norway. It is their agreement that is now under discussion, and it is they who must jointly arrive at a solution within the framework of which Norway is obliged to do so.
ParlaMint-NO_2017-01-18.ana.ud525e729	The oral question procedure is now over.
ParlaMint-NO_2017-01-18.ana.ud525e743	There will be a number of changes in the questionnaire, and the President will refer to the electronic question list in this context. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative of Mr Liv Signe Navarsete to the Minister for Foreign Affairs, will be answered by the Minister for Health and Welfare on behalf of the Minister for Foreign Affairs, who has left. Questions 3 and 4 from the representatives of Ivar Odnes and Marit Arnstad respectively to the Minister for Climate and Environment are postponed to the next Question Time when the Council of State has left. Question 5, from the representative Jan Bøhler to the Minister for Children and Gender Equality, will be answered by the Minister for Culture who directs him. The question is moved and answered before question 10, to be answered by the same State Council. Question 6, from the representative Freddy de Ruiter to the Minister of Health and Welfare, will be answered by the Minister of Labour and Social Affairs who will direct him. Question 7, from the representative Ketil Kjeseth to the Minister for Health and Welfare, will be raised by the representative Dag Helge Frøisland. Question 9, from the representative Kjersti Toppe to the Minister of Knowledge, will be answered by the Minister of Health and Care on behalf of the Minister of Knowledge, who has been away.
ParlaMint-NO_2017-01-18.ana.ud525e767	‘In the process of managing the ‘Right-way – Road Reforms’, New Veier AS was commissioned to deploy 534 km of new national road within a framework of approximately 130 billion kroner. In the media and on more public terms, the company says they will have a turnover of $148 billion. What is the background for this change, and how is the Council of State up to and including the Storing if the statements in the Storing Message are changed?’
ParlaMint-NO_2017-01-18.ana.ud525e772	Part of the explanation for different figures is simply whether or not they are restated. When the Stortinget made its decisions, it was in 2015-kroner. When New Roads now talk about costs, it is often in 2016 or 2017 bills, and then it is natural that the amounts vary. The other side of the case is that when the Storting made its decision, one based itself on the cost estimate made in 2015. In order to get the most accurate portfolio price when one transferred it to Nye Wegener at the last New Year, a new cost estimate was made for Vegvesen. There were also some projects that became a little bit more expensive, and some projects that became a little bit cheaper. In sum: With 2016-kronors instead of 2015-kroner, and with new cost estimates, we get that difference. In that there is no drama. Under any government, a set of cost estimates while a project is being developed varies slightly from time to time. When this is finally adopted, the final cost estimate will be obtained, and the Stortinget will also be involved in those decisions. But the important thing for me here is that the purpose of New Roads is to challenge the way we build, the way we plan, just to bring down costs. New roads themselves have said that they look forward to being able to use more prefabricated elements instead of emptying things. They will be more and more close to municipal politicians in order to find good solutions early, rather than making plans that will then be the subject of many rematches. So far – on one project that has been awarded a contract – one has seen that the cost of the contract was about half a billion dollars lower than that of the contract with the Ministry of Transport. That's also the purpose, of being able to build better and cheaper. That's why I have very low shoulders, for the time being, on the cost framework that lies, in relation to the overall framework that New Veier has. I also record that Nye Veier believes that they will be able to realise the portfolio faster than the 20 years initially used. It suggests that they look at a potential for savings that will more than offset the changed ‘Excel-ark estimates’ that are now in place. As opposition politicians for eight years, I remember how everyone was concerned about a cost increase in the transport sector. After the 2013 election result, the representative Rommetveit was interviewed by the evening post and admitted that the previous government had not done much with this, and that this was probably one of the areas in which they had failed the most. I'm glad we're doing a lot of grips. Although we don't necessarily find two lines in all the answers right away, we've done a lot more to bring down the costs of these three years than what I experienced as opposition policies in the previous eight.
ParlaMint-NO_2017-01-18.ana.ud525e785	Now I'm just going to be in opposition for four years, but still. I think it's the Evening Post interview. What happened then was that we got a good deal done, especially in connection with the national transport plan that was developed. So many of the measures were added there. The message says that the project E18/E39 should go from Kristiansand to Ålgård. The project has now been described as “Kristiansand-Sandnes” on the Nye Veger website. There are 14 kilometers between Sandnes and Ålgård today, and the message does not mention Sandnes in one word. The message states that the government adds ‘any changes to the company’s portfolio for the first time in relation to the national transport plan from 2022’. I can't see that the government has provided anything for Stortinget, which has expanded the portfolio to New Roads. And the government itself says that the occasion for that is in four years. What does the Council of State say?
