ParlaMint-NO_2013-11-27.ana.ud280e26	The representative, Gunvor Eldegard, who has been licensed, has once again taken the seat.
ParlaMint-NO_2013-11-27.ana.ud280e444	We in the Christian People's Party are also concerned with the study support, both raising the total level and extending the study support to 11 months. We think it's a big challenge in itself that so many students have to work a lot besides to afford to study. But for some students, this challenge is even greater than for others – it concerns students with disabilities, it concerns students with child care – so in our programme we have said that we want to provide student support for 12 months to these student groups. So my question is whether the Council of State shares our view that these students have some special economic challenges, and whether we can expect to see a council that will work offensively to improve their situation.
ParlaMint-NO_2013-11-27.ana.ud280e451	Thank you for the question. The funding scheme for students with children is now improved in this budget. I know that the Christian People's Party has been pleased with that, and it's also very pleased with the government – it's a good policy. Once again, I just have to remind you that we have entered into a budgetary settlement on the Storting with the Christian People's Party and the Left. That's the budgetary agreement we're now dealing with as a majority on the Stortinget. In the case of possible return to e.g. Students who have disabilities, or students who are otherwise in a special situation, I am absolutely open to it. But what happens in the annual budgets must be done in the annual budgets. I think that is also about respect for the Storting, that you do it the usual way – you put out a budget, and then there are negotiations with the parties, which are the Christian People's Party and the Left. And then there is also an additional element that the Minister of Finance will depend on me if I had promised otherwise.
ParlaMint-NO_2013-11-27.ana.ud280e462	Anne Tingelstad Wøien – for follow-up questions.
ParlaMint-NO_2013-11-27.ana.ud280e465	Now we've heard that it's been unexplained by the red-green government that we didn't introduce 11 months of study support earlier, and it's late, but there's a majority in the Storting for this, we've heard. I would like to refer to the representative, Giske, who said it was being increased the last time in 2001. We have had a Bondevik II government in the meantime that did not even adjust prices – it only came under the red-green government. It's a shame we didn't do anything before – I can admit – we could have done it before, but there's no reason to be against it. I wonder why a government that is concerned with knowledge and rapid implementation says no to 11 months of study support, no matter how late it might be?
ParlaMint-NO_2013-11-27.ana.ud280e472	The previous large increase in study support was effective from the 2003–2004 study year. Then I understand that the students are disappointed, but what I don't understand is that the opposition parties are so high and dark. Here we are talking about three parties that in 2005 all had in their programmes that they would carry out 11 months of study support. Then it was negotiated away in the negotiations, even though all three parties agreed. And then eight years went by when you couldn't do it. One thing is that you didn't put in place the promise that everyone had made before 2005, it went eight years when the students each year dropped backwards compared to Norwegian employees, and then you get in addition with a budget before going off, where the amount of the students in 2014 over the price increase was zero dollars – zero dollars was the greeting from the previous government to the students in 2014. This government has a different policy – we have increased study support in 2014 by more than in any other year when the red-greens crashed.
ParlaMint-NO_2013-11-27.ana.ud280e477	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2013-11-27.ana.ud280e480	Neither the Minister of Knowledge nor this representative is particularly tall and dark – we are both dark. In this case, I see no reason why the Minister of Knowledge should be tall and dark. In the years they were in government, from the study support. Then it becomes too stupid that the Christian People's Party and the Left, when only a few hours ago they voted against the increase of the scholarship to 11 months, today make themselves tall and dark as speakers for better student support. There's a strange custom here. It has been conducted a series of studies – in 2010, 2011 and ended in December 2012 studies on living conditions for students. What does the minister think he does not know, as these investigations have not revealed, and which he intends to find out?
ParlaMint-NO_2013-11-27.ana.ud280e487	The President would like to point out that it is not Parliament's curfew to refer to playoffs in this Chamber as stupid.
ParlaMint-NO_2013-11-27.ana.ud280e490	It is a fact — and this can be checked by anyone — that the previous large increase in study support came in the 2003–2004 study year. It's indisputable. Then the price adjustment came in 2006, if I don't remember faults, and that's fine in itself, but that means that every year under the red-green students got a price adjustment, but slowly compared to the employees. I agree with the SSB, I understand that the students want better student funding, so we have improved the study funding in 2014 more than any other year under the red-green. The question is: When the previous government received these SSB figures in 2010, 2011 and 2012, why didn't that government increase the study aid slightly – zero dollars each year – in addition to a price adjustment?
ParlaMint-NO_2013-11-27.ana.ud280e495	Let's move on to the next main question.
ParlaMint-NO_2013-11-27.ana.ud280e499	My question goes to the Minister of Health. Last week it was found that 200 patients have waited nearly a year for a neck operation at the Rikshospitalet, and the hospital itself says that this is irresponsible treatment. When the NRK examined the matter before the weekend, it turned out that the waiting time for surgery after a neck spat is much shorter in public hospitals other than that in Oslo. Nevertheless, the Minister of Health had a message at Dagsrevyen on Thursday which was, he is going to make a privatisation reform – a so-called free treatment choice – once in the future. There was not one word about unused public capacity, not one measure to make patients aware of that possibility. In the context of the budget, the Stortinget decided to spend 45 million. NOK to purchase MR studies. There was a consensus about this room last night. But we separated on one point, that is, the designation that the Minister of Health and the majority wanted for private radiological activities. I also raised this issue with the Minister of Health in the debate yesterday. When SV asked the Minister of Finance about the budgetary procedure, we were told that the government had not examined whether there was any available capacity to perform similar tasks in the public sector, which might also be able to use this money. Of course, this type of allocation should be granted with a single lead: the most effective use for patients’ joy — not with an ideological approach to strengthening the commercial sector in any case. We need a pragmatic approach to the best possible treatment for the money. It is important to combat hypersensitivity and allergic reactions. Could the Minister for Health be developing public allergy?
ParlaMint-NO_2013-11-27.ana.ud280e512	I can assure the representative that neither the Council of State nor the government has done so. The state budget now adopted represents the largest budgeted growth in public hospitals ever adopted in the United Kingdom. This means that public hospitals will have a better opportunity to care for what public hospitals, and only public hospitals, are to care for, namely all emergency treatment in Norway, which is over 70pst. of the treatment of patients in the specialist healthcare system. In addition, they should be better equipped to carry out two other important tasks for which public hospitals have a primary responsibility, namely research and education, which are also important tasks. But then this government believes that it is completely unnecessary to leave the free capacity of private people available when people are in line and waiting for treatment that they have the right to. Therefore, we plan to introduce free treatment options, which means that patients entitled to treatment can also use this capacity in private. With regard to the issue of MR, a large proportion of MR studies for patients are already conducted in private. Privates have free capacity. It's a long wait for the public. As I replied to the representative yesterday, patients have reported how this is happening, namely that one is referred to the private X-ray institute because there is a long waiting time in the public sector. In private you are also told that you have to wait a long time, unless you are willing to pay yourself. Then one can come in within a few days. We believe that this leads to social inequality. That is why we are now giving priority to buying free capacity from private people quickly, so that patients do not have to wait unnecessarily.
ParlaMint-NO_2013-11-27.ana.ud280e525	No one believes that the available capacity should be available. We are all opposed to using available capacity. That is why it is so strange that the Minister of Health has not examined the possible availability of MR available in the public health sector, in order to allocate funds to health businesses so that they can use them as efficiently as possible. In the budget that the majority adopted yesterday, there are zero dollars more to public hospitals than it was in the red-green budget. It's just more money for private. The strange thing is that it looks as if the Minister of Health is based on an assumption that there is no available capacity in the public sector and not on his own studies. I think that is critical. We are at risk that the future free treatment option will become a sleeping cushion, which means that the Minister of Health does not do a sufficiently good job of looking at available public capacity. Does the Minister of Health have measures in relation to, for example: strengthening the free choice of hospitals and information on them, which may improve the information available to patients on the available capacity of the public health system today?
ParlaMint-NO_2013-11-27.ana.ud280e534	In 2002, the average waiting time in the specialist healthcare service was 90 days. After four years of civil government, one of which had taken greater advantage of private use, the average waiting time was 70 days. In 2010, the average waiting time was 78 days. We believe that a main reason why the waiting time increased immediately after the red-greens took over the responsibility was that they ordered the public health service first to use its own free capacity, and then, if necessary, to buy from private people. This meant that the flexibility of patients was reduced. It became less possible to choose to use the available capacity. That's what we're now turning around. We get a new policy that hopefully leads to a reduction in waiting time – we get down unnecessary waiting.
ParlaMint-NO_2013-11-27.ana.ud280e541	It opens up three follow-up questions – first Johnny Ingebrichtsen.
ParlaMint-NO_2013-11-27.ana.ud280e544	Anyone who follows health policy at present sees that what has been clear promises in the past has now become vague formulations and very long-term objectives. Free treatment is one of these issues that is now just muttering about, more than it's talked about. What is the timetable for introducing free treatment options, and because of the postponement now coming, that the Minister of Health has realised that the public cannot afford to lose all the nurses, health professionals and doctors who will go to the commercial clinics if there is a free choice of treatment?
ParlaMint-NO_2013-11-27.ana.ud280e551	I must be sorry if my previous post and post before it was perceived as mumbling. It may be due to dialectical differences. But I said very clearly that this government should introduce free treatment choices. We will use the free capacity of the private sector. We'll start with that already in the next state budget. Then I am a little uncertain about what the representative means when he says we have gone from our timetable for introducing free treatment choices. On the contrary – we are in the process of making the changes needed to implement this scheme: to prepare both the legal and the financial changes that are needed. But we can't wait for it. That is why we have already spent more money in the State budget for 2014 to achieve some of the same effect – using the available capacity that is available to private individuals.
ParlaMint-NO_2013-11-27.ana.ud280e558	Torgeir Mikalsen – for follow-up questions.
ParlaMint-NO_2013-11-27.ana.ud280e561	First to the story of the Minister of Health. In terms of private use under the previous government, it increased sharply. We have always had a pragmatic relationship with this – not an ideological one. But we first and foremost rusted up the public hospitals, which meant that 1.6 million more investigations and treatments were carried out during our reign. That is why we are asking Minister of Health Bent Höie questions now when they have made their supplementary budget that was adopted last night. I wonder what has happened around the government's table when they were going to make a budget. Here they've taken the chance to spend 4 billion. kr more oil money. They've found room to cut taxes and taxes by $8,000 million. However, Minister of Health Bent Höie has not been able to obtain a single additional crown for increased treatment capacity in public hospitals, where the large scale of treatment takes place. How does this relate?
ParlaMint-NO_2013-11-27.ana.ud280e570	Yesterday, the Stortinget adopted a budget that represents a 2.7-billion-billion-dollar increase in specialist health services. kr in relation to the level in 2013. It represents the largest budgeted growth in specialist health services ever. We are increasing more than what the red-greens did in the treatment of specialist healthcare, especially those patients who have been at the bottom of the table for too long now – people with drug problems, people with mental disorders, those who are chronically ill, who need rehabilitation. What was the big warning from the Workers' Party before the elections was that it was not possible to implement reductions in taxes and taxes without having to cut welfare. Well, now we have the fasit. This government is able to implement our promises to cut taxes and taxes that hinder growth and at the same time strengthen well-being.
ParlaMint-NO_2013-11-27.ana.ud280e577	Kjersti Top – for follow-up questions.
ParlaMint-NO_2013-11-27.ana.ud280e581	In medicine, there's something called tentative diagnosis, i.e. work diagnosis until the opposite is proven. I agree with the representative Lysbakken that the government probably enjoys public allergy. Forty-five million. kr is allocated to private MR, although two-thirds are already privately owned and only one-third in the public sector. Undertakings will be refused to increase public capacity next year. In Hordaland we have two hospitals that have MR machine, Stord and Voss. So the Minister of Health will refuse to increase his capacity. My question is, how is it to be a minister of health who then actively opposes a strengthening of the public health system?
ParlaMint-NO_2013-11-27.ana.ud280e590	There is no basis for this question. We do not in any way refuse the public hospitals to use the potential available capacity they have at MR – on the contrary, we have budgeted with a record increase in public hospitals, specifically targeting both outpatient studies, treatment and radiology. So there's a significant growth in this area in public hospitals as well. In addition, we want to use the considerable spare capacity that is available in private, because a lot of patients today experience that they need to have an MR study before they get into a specialist to get further studies. The waiting time that they must then have is perceived as completely unreasonable, especially given that they are told to pay them from their own pocket, they can enter within a short time. I thought the Center Party, like us, was concerned with balancing the social differences in health.
ParlaMint-NO_2013-11-27.ana.ud280e597	I give the word to the councillor Torbjørn Røe Isaksen for a correction before we go to the last main question.
ParlaMint-NO_2013-11-27.ana.ud280e600	I was injured to say a wrong year before, and it was in the discussion about the increase in student support in connection with the Quality Reform. It was under the Bondevik II government, but it was in 2002–2003, not in 2003–2004, as I said.
ParlaMint-NO_2013-11-27.ana.ud280e605	Let's go to the last main question.
ParlaMint-NO_2013-11-27.ana.ud280e608	The question is for the Minister of Health. The representative Lysbakken mentioned at the NRK a few days ago the matter of very long waiting time at the neurosurgery department at Oslo University Hospital, and according to the NRK, over 200 patients have been waiting for more than one year. Many have paid for expensive operations in the private market instead of waiting. Unfortunately, this is not a whole new issue. A number of measures were therefore taken under former State Councillor Jonas Gahr Støre, among others. a separate review of the OUS by external professionals from Scandinavia, better planning for operations in the evening, a review of the operational programmes to ensure the progress and reduction of the number of cancelled operations and a better operating room distribution – and a new emergency building is now at Ullevål. It is obvious that those who are closest to solving these problems are Oslo University Hospital and the management there. However, it is essential that the State Council, which is the top level of responsibility, provides framework conditions and solutions. Very familiar are the same neurosurgeons who work both at Oslo University Hospital in the daytime and at private clinics in the evening. So we have a situation where patients who have to wait a long time because there is not enough capacity in a department that obviously does not work well enough can get operations done in the evening for payment. It's a completely absurd situation. The answer, when Bent Höie as Minister of Health is confronted with this, is among other things. free choice of treatment, i.e. increased use of employees in a public hospital in a department that is obviously not functioning, to an even greater extent in the evening. Why does Bent Höie not agree with the Workers' Party that a proper arrangement is needed here to increase the treatment capacity of the public hospital where these doctors are actually employed?
ParlaMint-NO_2013-11-27.ana.ud280e617	I fully agree that the offer at Oslo University Hospital must be improved. That's why we've budgeted for a record increase in hospitals' budgets. That's also why I have assured myself that much of the work is done at Oslo University Hospital when, among other things. improve the capacity of the neurosurgical department, be closely monitored. This has been a recurring matter for a long time, so I am not particularly impressed by the implementation power of the previous government in this area. When the representative mentions that these surgeons work at home in the evening, I expect that there was no problem that arose after the election. In fact, there is a situation that is well known in the Norwegian health system. I mean, it's not a clue that people who want to work more have the opportunity to do it, as long as it's done under neat conditions. But I think it is a problem that many patients cannot afford to use this capacity, and that they need to take more and more private health insurance or pay from their own pocket. That's why we need to both strengthen the public health system, get better organisation there, and strengthen patients' rights, so that patients can use free treatment choices regardless of the thickness of the wallet, which they have depended on under the red-green government.
ParlaMint-NO_2013-11-27.ana.ud280e624	I agree that it is completely unreasonable for patients who have injuries, who need help quickly, to have to pay out of their own pocket because it obviously does not work well enough and is large enough capacity at that department or hospital that is set to do just this. But that's what's happening here now. Now Bent Höie is the Minister of Health, and so we have another situation with a department that obviously doesn't work, where doctors who are employed in public hospitals, where the chief in charge of this hospital and these doctors are the Minister of Health, have long waiting lists, but at the same time operate private practice in the evening, where the patients who can afford can come and get surgery for payment. Why does the Minister of Health not think that more should be done to ensure that the so-called available capacity should be put into use in public hospitals, so that everyone can participate, instead of adding up to further private use?
ParlaMint-NO_2013-11-27.ana.ud280e631	As I said, the situation at the OUS neurosurgical department has been known for several years, and I am not impressed by the implementation of the previous government in terms of the measures that could have been taken to improve capacity. Then I fully agree with the previous Minister of Health's ambition to increase the opening hours of public hospitals. It's going to be repeated as a mission for next year. But I really disagree if the Workers' Party now, unlike what they've been thinking for eight years, will forbid doctors who work in public hospitals to work privately next door. I think that would mean a rather dramatic reduction in the overall treatment capacity. But I fully agree that as far as possible we should strive for these to be given the opportunity to take advantage of their working time in the public hospitals, and I will follow that up.
ParlaMint-NO_2013-11-27.ana.ud280e638	There will be three follow-up questions – first Trond Giske.
ParlaMint-NO_2013-11-27.ana.ud280e641	First, let me say that I am glad that the Minister of Education corrected himself from an undisputed fact that it was introduced in 2003–04, that it was forced through the opposition, against the right vote, in 2002–2003. Then to the Minister of Health. During the previous government, the number of treatments and consultations increased by 1.6 million. We have an ambition on the part of the Workers' Party to increase this by another 1 million in the current ageing period. After our calculations, it'll cost about 12 billion. kr if we're going to get everything in health care, and that's what's important: how patients are being followed up. That requires resources. My questions are very simple: Will the Right stand by the promise they made in the election campaign to increase the health budget by 12 billion. kr during this period? And will they, as Torgeir Micaelsen asked, spend the money on the public free health service that applies to everyone, or will they continue to earmark the money for private actors?
ParlaMint-NO_2013-11-27.ana.ud280e651	We are going to increase the treatment capacity of public hospitals in the years to come — just as the budget adopted by the majority of people yesterday represents the largest budgeted growth in public hospitals ever. I think that's important. Not least, we are going to establish a national health and hospital plan that gives us a better opportunity in Stortinget, when we discuss the budgets, to have a comprehensive overview of both patient treatment needs and, in the case of buildings and equipment, which have other challenges related to capacity, for which I have not heard that the Workers' Party has been so concerned. Now we're adding up to a budget for 2014 which is closer to the goal of 12 billion. kr, except as provided by the outgoing government.
ParlaMint-NO_2013-11-27.ana.ud280e658	Kjersti Top – for follow-up questions.
ParlaMint-NO_2013-11-27.ana.ud280e661	Good rental is the basis for effective hospital operations and good patient care. I am made aware that Oslo University Hospital has five levels of leadership under the Managing Director. In the past, it was found that only 18 out of 59 somatic wards at Oslo University Hospital had a leader who was present in the environment daily. A superior has written to me and describes the situation as follows: ‘Between the individual health worker and the renting team, there are ten teams of Glava who make all communication with people who have real power in the system very difficult. It's also a big problem that all the leaders of the system are recruited from the idea that one has to show loyalty up in the system." Does the Council of State see the problem of missing local government at Oslo University Hospital, and when will the Council of State secure urban rental at all departments of Oslo University Hospital?
ParlaMint-NO_2013-11-27.ana.ud280e671	The President may have thought the question was a little bit on the side of the main question, but Councillor Höie would like to answer.
ParlaMint-NO_2013-11-27.ana.ud280e674	I'm very happy to be able to answer this question, because this is a question that I, like the representative Toppe, have had and have a strong commitment to. That's why these were the first questions I raised after I had become Minister of Health: How does Oslo University Hospital work to ensure that there is local management, that everyone working at Oslo University Hospital knows who its closest manager is and can get in touch with him quickly? That's where the management of Oslo University Hospital admits they haven't come far enough. That is why they have also assured me that they are now strengthening and intensifying their efforts to achieve that objective. It's one of the themes I've had at the repeated meetings I've had with Health South-East and Oslo University Hospital. It must be that when a worker in a knowledge organisation such as a hospital is, a person must know who is his nearest manager and be able to contact him quickly. But then it will necessarily mean that there will be many leaders at Oslo University Hospital, and that there may be several levels of leadership, so I don't think there was a whole connection in the problem that the representative raised.
ParlaMint-NO_2013-11-27.ana.ud280e679	Heikki Eidsvoll Holmås – to the last follow-up question.
ParlaMint-NO_2013-11-27.ana.ud280e682	The main theme of this round of questions has been the challenges and problems of Oslo University Hospital, and one of the things we could read in the newspaper yesterday, in the evening post, is that there are large class divisions, not only in the health care system in general, but also in view of the call-out capacity and the call-out offer to the locals here in Oslo. Here in Oslo you have a target achievement of 12 minutes response time. In the center gets over 90 pst. met, and 60-90 pst. this is achieved on the west edge, while on the east edge of Oslo and north and south of the city it is less than 60 pst. which is achieved during the response time requirement. I think this is unacceptable. This is unacceptable because everyone has to get equal offers. It's about minutes. It's about seconds. My question to the Minister of Health is: What will the Minister of Health do to provide better and equivalent response time for all the citizens of Oslo?
ParlaMint-NO_2013-11-27.ana.ud280e687	The president may also think this question is a little bit on the side of the main question, but leaves it to Höie to answer.
ParlaMint-NO_2013-11-27.ana.ud280e690	Oslo University Hospital has set itself a goal of an internal response time that they are working to achieve. That's good. There one sees that there are challenges, but I'm a little uncertain if the representative believes that there should be a right to a certain response time across the country, because it will be impossible to achieve. I think it makes sense as the approach is today, that the different health regions and health businesses set themselves targets for a response time that they are working to achieve. If we introduce a national response time standard, which I also realized was against the previous government, it would not be able to deliver enough results, because Norway is a long-term country.
ParlaMint-NO_2013-11-27.ana.ud280e695	So the oral question procedure is over.
ParlaMint-NO_2013-11-27.ana.ud280e707	There are some changes to the configured question list. In this context, the President refers to the list distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Svein Roald Hansen to the Minister at the Office of the Prime Minister for the Coordination of EEA Affairs and Relations with the EU, will be taken up by the representative Marianne Aasen. Question 9, from the representative of Martin Henriksen to the Minister of Knowledge, lapses, as the questioner has a history of disease.
ParlaMint-NO_2013-11-27.ana.ud280e722	I allow myself to ask the following questions to the European Minister: ‘The European investigation showed that there is a major lack of knowledge of the EEA Agreement, of the possibilities and rights granted to undertakings and residents by the Agreement. Next year, 20 years have passed since the agreement entered into force. Will the government take the initiative to use this small anniversary to create a knowledge-based commitment to the EEA Agreement, both in Norwegian society and in our countries of cooperation, where it is also important to ensure that Norway is a fully-fledged partner in the internal market?’
ParlaMint-NO_2013-11-27.ana.ud280e736	I am pleased with the question, which points to an important challenge. It is important to keep the knowledge of the EEA up to date, because it is important to keep the EEA up to date. It is Norway that more than anyone else is dependent on this. The EEA is crucial for Norwegian business, jobs and well-being. National interests are weakened if the EEA principles are weakened. Norwegian business loses if it is regulated differently from EU business. We're assessing how to mark the 20th anniversary of the EEA. We assess knowledge measures towards businesses and other environments. But there is no need to sit and wait for the anniversary. Knowledge comes first through hard work. More active policy efforts with EU and EEA processes will create more public discussion and thus also greater interest in and knowledge of the importance of the EU to Norwegian society. Firstly, we want to have a more active discussion of Norwegian positions on important issues in Europe: Europe's place in a world where power – political and economic – is shifting, Europe's relations with its neighbourhood regions, climate and energy issues, the competitiveness challenge, population development and migration, to mention something. Secondly, we want to have consultations with key social actors in Norway on key EU processes at an earlier stage. Thirdly, we will have more open and previous dialogue with the Stortinget on the development of Norwegian positions on current EEA issues, including: through more active interaction with the EEA Committee. Fourthly, we will have increased efforts towards EU institutions and countries both to influence earlier in processes and to seek the necessary adaptations to EU regulations and directives. If we have our discussions here at home on important EEA issues while our neighbouring countries also have their own, and before voting in Brussels, it will help to increase both the attention and commitment to the EEA issues in Norway, and thus the knowledge. In addition, it will increase the knowledge among our European partners that we are a fully-fledged partner in the internal market, and that knowledge is important to increase. My ambition is to develop a team game in Europe policy, so that we can use the expertise that exists in large parts of Norwegian society, not least to increase knowledge of what opportunities, rights and challenges the EEA Agreement provides.
ParlaMint-NO_2013-11-27.ana.ud280e759	I thank you for your answer. Many look at Europe’s policy and the EEA Agreement and very many of the other agreements Norway has which are linked to Europe’s cooperation, such as purely foreign policy. Of course it is, but it is also far more domestic policy than many believe and perceive. The agreements with the EU cover almost all areas of society, it concerns all departments, it concerns all committees in the Stortinget, and if we are to safeguard our interests related to all of this, it is very important that we have knowledge and understanding, and I am pleased that we agree on that. One question I would like to ask is: In what area does the Council of State think that the need is perhaps greatest in view of the whole of this great field in which Norway and Europe are so closely intertwined?
ParlaMint-NO_2013-11-27.ana.ud280e766	Since EU and EEA cooperation affects almost all sectors of society in Norway, it is not so easy to say in which area the need for knowledge is greatest. But what we have to do is naturally to define areas where we have the most interests, and where we have the most interests, we probably have the most knowledge. The government has signaled that the area of climate and energy will be very important for Norway, and there it is important to mobilise the different environments in the Norwegian society that have knowledge. It is important to contribute to increasing knowledge of the wider Norwegian society about the importance of the EU in the field of climate and energy, not least because energy is such an important field for Norway.
ParlaMint-NO_2013-11-27.ana.ud280e771	Once again I thank you for the answer. The European investigation states: ‘There are not many other areas of Norwegian democracy in modern times where so many have known so little about as much as in European policy.’ One points to two factors that explain it. One is Norway's special form of association with very weak democratic participation. The second is the underlying disagreement about EU membership, which seems demobilizing about any question and open debate about all of these issues, which could be seen in greater detail in the public sphere. I wonder what the European Minister is thinking about this issue, and what he wants to do about this particular issue. Even now that I have written on Facebook that I am going to address this question, the answers on what people themselves thought about the EU case and membership are coming right away. It puts a lid on the debate. How are we going to be able to get rid of that lure, push it away, so that we can get an open debate?
ParlaMint-NO_2013-11-27.ana.ud280e783	I think it is important to look at the European debate not as a membership debate. It's too important a topic. It is in many ways a paradox that the organisation that affects Norway the most lacks formal means of influence, but it demands us all the more to exploit the informal possibilities of influence. It is important to develop teamwork and try to raise the debate on the important issues completely independently of the traditional "yes" and "no" lines of membership issues. The EU affects us in all areas of society. We must have a European debate in all areas of society, and there must be a debate that is not about membership but about promoting Norwegian interests.
ParlaMint-NO_2013-11-27.ana.ud280e792	I allow myself to ask the Minister for Transport the following questions: ‘Corridor 3, Oslo – Kristiansand – Stavanger is the route with the highest market potential for the development of a forward-looking and modern rail solution according to the high-speed investigation. The range will be confused if there are no significant improvements to the route offer. The NSB has assessed the income potential of the route change as large. Can the Council of State promise that during 2014 a 2-hour offer will be introduced on the route according to the region for a longer period of time requested?’
ParlaMint-NO_2013-11-27.ana.ud280e801	Thank you for taking up a good question. High frequency — or at least good frequency and predictable frequency — is important to make people travel collectively. I also look at the railways as part of the collective solutions. Two hours of frequency on the southern runway would have been a reality today if not the red-green government had said no to the timetable that the NSB itself wanted. So it was a political revolution that didn't make it happen. It is possible to make changes to it, of course, and a new government is working on that matter, but it will not be possible to get it into the schedule for 2014. The train has already passed in terms of timeframes. But we are working on that matter in relation to 2015. Then we look at how we think passenger development is going if we get increased frequency, as the representative wants, and for which I have great sympathy, and what that will mean for travelers with night eyes today. Therefore, it is important to consider how a person can improve the use of the material provided by the NSB on the Bergensbanen e.g., and what that will mean for travellers on the Sørlandsbanen. A little bit of what makes you want to look at this, too, is that night and night have a different type of material to that of day trips. This means that if you are going to have a night train on a journey with relatively few travelers, you have a relatively poor disposal of the material. It also makes the whole organization more complicated. So the government is working on this. We're in good contact with the NSB. The purpose is to increase the frequency to Kristiansand on the South Railway, which stops there, precisely because we think it makes more people choose to travel there, both because the trains go more often, and because there is a more predictable timetable, which makes it interesting to take that trip.
ParlaMint-NO_2013-11-27.ana.ud280e814	I thank you for your answer. I perceive the answer so that in addition to the fact that there is an assessment going on, the Council of State is also positive in getting this done. When we take this up, it's because there's been a very strong regional demand from the states from West Agder to Buskerud. Stiff routes are about the long-haul, but it's also about commuter traffic. It's just about being able to use the railway as an important collective vehicle in the region. The commuter associations call for offers, and the NSB says they can get it if they get the order from the department. In order to quote from the Sundvolden Declaration, as the Council of State knows well, it is precisely underlined that the railway “must be a competitive alternative” and that there is a need to do something about its availability. I hope that the Council of State can do something about this, and then my question is: If you can't do it in 2014, can one then expect this to be in place in 2015?
ParlaMint-NO_2013-11-27.ana.ud280e823	This is a round that goes every year. It is also the case that the railway routes are laid out once a year. The reason why it may be complicated to change them once they have been laid down is that they are also connected to train connections abroad. If a change is made on the Norwegian routes, there will be international consequences. That's what complicates it. Therefore, it is desirable not to make small changes all the way. But in this context, there is a deadline by 1 June of each year. The Southern states have previously submitted their wish, and I guess it will also happen this time. It is my ambition that one should get a higher frequency to Kristiansand. In this way, it is my ambition to work for what the representative wants. Then we have to look at this in relation to material disposal and what is available. There we get reports from the NSB system during January, as far as I'm aware, and then we'll be able to go further and become more committed to it. But the ambition I share, and I'll do my best to get it fulfilled. So this was a political decision by the previous government that would not have it like that. We want to have it like that.
ParlaMint-NO_2013-11-27.ana.ud280e830	I thank you for your answer. Then I see that here's a process, and that we have reason to have great expectations. If the Council of State has to choose between a sleeping car and a two-hour frequency, what kind of priorities will the Council of State take into account?
ParlaMint-NO_2013-11-27.ana.ud280e837	What we generally use in transport policy is that one should look at what benefits most people, that is, what benefits most both in commuter traffic and for business and freight transport. It'll be in a whole we see it. If the night train cover, i.e. in the sleeping area, on the track from Stavanger to Oslo is very low, but you can get significant growth in the number of travelers in the daytime with the Sørlandsbanen, it will be very heavy for you to choose to prioritize the day service. I think the numbers will show that too. So even though I'm rogalending, I think we'll see where we get the most benefit for the whole South-West, and then actually day commuters are much more important than the few who travel by night.
ParlaMint-NO_2013-11-27.ana.ud280e846	I allow myself to ask the following questions to the Minister for Climate and Environment: ‘In the course of the year’s hunt for bear, the killing of 18 bears was authorised. At the end of the license hunt, the result was that 2 of the 18 bears were killed. In the fight against wild game, point (c) of the resolution. 2.2.4 states: ‘In cases where licensing fails to provide satisfactory clearance, the environmental management shall, as far as possible, ensure that the remaining allowances are withdrawn.’;» Does the Council agree that the licence hunt has not produced satisfactory results, and what will she do to follow up the robberies settlement at this point?’
ParlaMint-NO_2013-11-27.ana.ud280e855	It is true, as the representative says, that this year's license agreement resulted in two bears being killed in the fall. In addition, during the summer, two individuals were shot at injury. As a result, there are a total of four bears in Norway this year. It is an objective that licensing should be the main instrument in the stock management of the bear. Consequently, training and empowerment measures aimed at increasing the achievement of the objectives of licensing are central to the follow-up to the robberies agreement. As the representative says, as far as possible, the environmental management shall ensure that the remaining quota is withdrawn where the surrender of a licence does not give a satisfactory settlement, as indicated in the robberies agreement. This shall be done within the framework of the Berne Convention, the Nature Diversity Act and the details of the operation of the Stortingeet in paragraph 2.2.18 of the paper game agreement that exceptional withdrawals from the bear after the end of the licensing period may be permitted in individual cases where there is a likelihood of concrete damage to domestic animals or domestic animals. At the end of the licensing period, the Directorate-General for the Environment shall, after discussion with the predators, make an area-specific assessment and prioritisation for exceptional withdrawals from the bear. This is also in line with the Robbery Agreement, where it appears that the Directorate has the power to take decisions on how and how to initiate exceptional withdrawals. When assessing whether exceptional withdrawals are to be made, it shall, inter alia: emphasis is placed on the extent of damage and the number of bears that have fallen in the current year, the preventive measures taken and the consideration of the stock target. In some priority pastures, the extent of the damage caused by bears has been higher this year compared to the last few years. I am therefore aware of the need to assess exceptional withdrawals of bears in some priority pastures after the end of the licensing period. In this respect, I record that the Environment Directorate said on 13 November that they would consider opening exceptional bear harvesting in priority pastures for spring. Finally, I will refer to the knowledge that shows that male bears can go far in a short time. This does not necessarily mean that the number of bears on which a licence was granted in August is equal to the number of bears actually in priority pastures now. Both weather and tracking conditions and fresh bear registrations in priority grazing areas will therefore have a significant impact on the extent of exceptional withdrawals.
