ParlaMint-HR_2018-04-25-0.u78151	The next will be an independent representative of the respected Hrvoje Zekanovic. Here you go.
ParlaMint-HR_2018-04-25-0.u80579	Thank you very much. The next replica is the respected representative of Tomislav Zhagar.
ParlaMint-HR_2018-04-25-0.u80580	Thank you, Vice President of the Croatian Parliament. Dear Minister Mr. Butkovic and his associates, so I will express my dissatisfaction with the fact that you have brought us into this situation as a representative in the Croatian Parliament. We are today discussing an emergency procedure in this law, which concerns almost all citizens of the Republic of Croatia. From those who use transportation services to those who give them. Of course, not getting into the fact that there are good provisions and bad ones in this law. But why did that happen? This problem has been going on for a very long time, it's being talked about, and the taxi drivers have been protesting, so why have you waited so long? The public debate was held, I see correctly, there are a lot of remarks, however, whether this could have been done despite the studies you've been doing, whether this could have been done long before, to avoid this situation, that now before the tourist season itself we are talking about it under emergency procedure and whether people will have time to prepare for the season itself, given what the law requires them to do, and that is to issue both permits and licences and all they need to have to do this job.
ParlaMint-HR_2018-04-25-0.u80581	Thank you for the response of the esteemed Minister Butkovic.
ParlaMint-HR_2018-04-25-0.u80582	Your Honor, it always could have been before. I agree with you, but we have worked very hard on this law and there has been a wide public debate and working groups etc. And we didn't just process this bill and car taxi ride. There were other things, which you also commended to be good at law. The emergency procedure is because we are approaching the tourist season, the riot is on the ground, and we believe that by passing this law, and with the aim of paying the citizens cheaper and making the taxi more accessible, we will do exactly the opposite of what you said. We want this law to make taxis, repeat, cheaper and more accessible to citizens. This law did not go in order to go against the citizens. So the intensity, the legislator here, the government and the ministry was exactly the opposite. As far as procedures are concerned, existing car taxi carriers will be extended for five years. So they won't have to go beyond procedure, like the others who will be new.
ParlaMint-HR_2018-04-25-0.u80583	Thank you. I need to correct you, the intensity, the promoter, this is a legislative body. The next replica is the esteemed representative of Nikola Grumoja.
ParlaMint-HR_2018-04-25-0.u80584	Dear Vice President, you spoke of liberalisation, none of us here, of course, are against it, or we all advocate liberalisation, of course, under the same conditions for everyone on the market, that should be so, on every regulated market. Also, what some colleagues have already mentioned during their discussions, with an emphasis on the safety of our citizens, I think it is for all of us, and I hope it is in your interest. What I would ask as a question of liberalisation and that, I may agree that it is not good, that mayors and mayors determine how many cab drivers there will be in a particular area, but we have certain objections, for example. from Dubrovnik from the mayor of your party that it will create chaos on Dubrovnik streets. So has the ministry thought about it and how does this problem deal with this liberalisation?
ParlaMint-HR_2018-04-25-0.u80585	The answer of the respected Minister Butkovic.
ParlaMint-HR_2018-04-25-0.u80586	Your Honor, the liberalisation of the car taxi market is going in two directions. The first is that the auto taxi carrier will be able to carry out transport in the area and those local units of self-government which sees its economic interest etc. If we go into liberalisation we couldn't limit and say certain cities would be able to limit the number of permits, knew or go into liberalisation or not. If we want to go into liberalisation, and we want to, I repeat for a reason but that everyone has the same rules, like you said, there are no exceptions then we said that cities and municipalities will no longer be able to determine the number of permits in their area, and that's the goal. The crowds, there's no need to be afraid of the crowd, there's gonna be crowds and there's gonna be crowds. This can also be solved by mayors through traffic solutions and through a whole series of proposals within their own city, or their local units or municipalities that lead to these crowds being reduced. We can't say we won't go into liberalisation, we won't make a more affordable and cheaper taxi because there's gonna be a crowd in one city. We need to do everything we can to make sure they don't.
ParlaMint-HR_2018-04-25-0.u80587	The next replica is the esteemed representative of Branko Hrg.
ParlaMint-HR_2018-04-25-0.u80588	Thank you very much, Mr. Vice President. Dear Minister. The county liner transport and public transport in local self-government spoke about the availability and preservation of life in rural areas. Did we predict here that units of local self-government will probably need to subsidise that public transport to carriers because they can't find an economic calculation when the county or local self-government makes a network where the line should go, so the public carrier definitely can't find an economic calculation. Is there an opportunity for local self-government to subsidize such transport and thus solve this part of the availability and preservation of life, the improvement of life in rural areas?
ParlaMint-HR_2018-04-25-0.u80589	The answer of the respected Minister Butkovic.
ParlaMint-HR_2018-04-25-0.u80590	Very briefly, Your Honor. Countys determine, and no one defends the county or the cities and municipalities to subsidize such transport, so absolutely this law opens that possibility and solves the problem, precisely with this law.
ParlaMint-HR_2018-04-25-0.u80591	The next replica is the esteemed representative of Ivin Kirin.
ParlaMint-HR_2018-04-25-0.u80592	Dear Vice President of the Parliament, the honourable ministers with their associates. Representatives of the associated taxi carrier at HGK radio taxi, eco taxi, Dubrovnik Taxi Association, Radio taxi Split at the Ministry of the Sea, transport, infrastructure have submitted about five thousand remarks, proposals on the draft of the Transport Act. The biggest dispute over the position and opinion is that it is favourable to a foreign company or Uber company. Were their comments founded or were they liberalising a market that is perceived as a pity to their interests and citizens' interests? Thank you.
ParlaMint-HR_2018-04-25-0.u80593	The answer of the respected Minister Butkovic.
ParlaMint-HR_2018-04-25-0.u80594	Your Honor. I repeat once again, so this law introduces the same rules for everyone. No one's comfortable, no one's privileged over the other. Here the only one who is privileged and who should have benefits from this law are our citizens who should pay and have to pay cheaper car taxis. Here's my answer.
ParlaMint-HR_2018-04-25-0.u80595	Thank you. The next replica is the esteemed representative of Mira Bulj.
ParlaMint-HR_2018-04-25-0.u80596	Thank you very much. The Honorable Ministers. Like counterpart Hrg, however, you said here that local self-government units here with a liberal market have no more influence. I'll tell you one example, you've got a number of villages, settlements of a high-end, cetin area where I come from where no transportation is organised, you say you're going to subsidize the unit of local self-government, but these local self-governments don't have enough resources, or have an interest in those non-performable lines because simply private people don't want to drive there. So you here have to predict this demographic possibility of survival of these people having an organized transport, that's first. And the second is very important safety and how you will be the safety of passengers and the other crowds, is in Split all will be at the port and Split Airport. Who's gonna be at the hospital, and how are you gonna organize that one? So you should at least have some kind of impact on these hospitals, schools and Taksi facilities there. Thank you.
ParlaMint-HR_2018-04-25-0.u80597	The answer of the respected Minister Butkovic.
ParlaMint-HR_2018-04-25-0.u80598	Thank you very much. Mr. Representative, as far as this first part of your issue of micro transport is concerned, this is precisely the law that gives us the opportunity to give local self-government the opportunity to introduce this kind of transport in rural areas. We can't by this law and we can't regulate the financing of such a transport, it's not within the scope of this law. I agree that local self-government doesn't have enough, they all don't have enough resources to finance it even though, I'm just going to brief the tax redistribution of 1.1. have many cities and municipalities in such areas got some funding. Okay, I agree and I accept. As for the second part, I repeat, we are going to liberalise the market on equal terms for everyone. Our goal is a cheaper and more accessible taxi to our citizens. As for the crowd, let's not be afraid of the crowd. This law will not produce that everyone in Croatia will today be engaged in a taxi ride and that these people will not be as many and as many as I count.
ParlaMint-HR_2018-04-25-0.u80599	Thank you very much. Does the committee's rapporteurs want to take a word for it? No, I don't. I am opening the debate and the first one, on behalf of the Club of Representatives of the Independent Lists, will be spoken by the respected representative Tomislav Žagar.
ParlaMint-HR_2018-04-25-0.u80600	Thank you, Vice President of the Croatian Parliament. Honorable ministers, respected secretary of state and representatives of the ministry. My colleagues and colleagues. So it's about one law that is extremely important for, we can say for all citizens of the Republic of Croatia, it's important for those citizens who live in rural areas, and so am I, one of them, and also for those citizens who live in cities, as well as in tourist centres. From the point of view of rural spaces or what needs to be covered by this law, I will say it later, we have a lot of praise about the very amendment or the proposal of this law, however, from the point of view of the regulation or liberalisation of services transport services to the Republic of Croatia, and we have had a number of laws so far, such as the law on the liberalisation of the rail market. We have constant remarks because we don't think there's enough time or space left to talk about these topics any more studiolikely. We also resent the ministry that, after all this time, this law comes by emergency procedure to the Croatian Parliament. In fact, the economic definition conditioned two key, key directions for the development of an individual economy. It is that the landlord offers the service he is educated for, which has knowledge, experience, some means, a tradition that he can offer on the market. And then he on that market has to be competitive to succeed, that's one segment. The second segment is if there is not a very market for services it offers, then it must monitor the market and develop those services that the market requires. It's a different form. However, today, with the development of the digital market, with the development of so-called "the digital market". The sharing economies have come up with new forms that bring us back a little bit, let's put it this vividly, at a time when people used to exchange a good trade. So once the treasure was worth the exchange of goods, the treasure is still called in many areas today, animals are called treasure because it was the way of exchange. Later people developed mechanisms to delay the trade, so money came up and everything that came out of the money, so not only did they delay the value of the trade, but they could also increase it with certain mechanisms, and then we see how it ends when things like that don't control the Agrokor case. But let's get back to the law itself. This is where it really appeared, people who saw the transport service, the supply of transport, those who needed it, could improve with technological achievements. So there are certain applications in which one who has a means of transport can offer to one who needs the means, that means. And it started to work, people got a cheaper service, but what happened? The business was outside the legal framework, so the law did not foresee in this direction itself, and I understood the criminal application filed against the minister by the cab driver's association, I think it was a criminal application, because it did nothing because certain companies were operating under the law. What the ministry needs is, in fact, to make efforts, but not just the Ministry of Transport, but the Government of the Republic of Croatia through the competent ministries, to use this technological development for our own benefit. So the Ministry of Economy must also be involved because if new actors appear, if new ways of offering services to the Republic of Croatia, which this law now regulates, then the existing ones must, as we say, enable traditional service providers to develop them to use it as their advantage. We welcome certainly that units of local self-government cannot limit the amount, the number of carriers that will actually get permits for the simple reason why the public is very sensitive and we have heard here in replicas that there is reasonable doubt that certain local self-government leaders are eligible for certain legal entities and therefore it is good that the number of carriers is not limited because in this way we will be able to achieve a favourable competition. As for the newspaper that introduces this law, which is a microtransport, he should be particularly welcomed. There are areas rural where there is no interest in any form, linear mode of transport and, in that sense, local self-government units now have the possibility, whether they finance it, whether they finance it in another way, but to solve the problem of the inhabitants in rural areas and, of course, they should be commended for the possibility of public line transport subsidisation of public line transport, the same for those areas that are not economically interesting to those who seek concessions or other way of contracting public transport services. What we cannot possibly avoid, and there have been talks and when we adopt the Law on the liberalisation of railway services, we see here and the law provides for an integrated form of transport, there will be really powerful players in the transport market, here is the deutschebundesman, it is not a secret, they have everything from train to bicycle, they can offer anything as a transport service and we will not be able to prevent further liberalisation, or it is fate for us as members or EU Member States. But what we can do is certainly through the competent Ministry of Transport, bringing such a framework legally, encourage other ministries to help all of our legal and physical entities who will try to survive in this market, so to speak. Here's why, just one remark, and it's about the very process of gaining professional training, so this little bit of it all seems a little bit funny when you're avoiding the word course and it's called an accelerated education. Imagine, now, that if in the Law on Education and Education, Article 69 provides for compulsory transportation, insurance of local units, in fact the founder of the transport of primary school students to schools if it was written in that article 69. The Law on Education and Education that the Minister will regulate the appearance, age and other technical conditions of the vehicle to drive the students. That was kind of weird and funny. We have to ministers, we have the Law on Education and Education in primary and secondary schools, we have the Law on Professional, Pardoned Act on Agency and Professional, and on adult education. And you are now again in the regulation of this law editing the way in which this education and test centres are implemented as if we cannot solve it with an existing school system. What exactly is this about? On the one hand, we try to make it easier for their entrepreneurs, to say their expenses, to cut down on the administration, but we are introducing it again. Because the point of the whole story is again that someone has to charge for it and it will be charged by the users. You probably also said to the Ministers of Dimming that now the cheapest license is 300%, it can't be 300%, it's clear but the ministry has to make it possible and that's the whole... Governments to allow entrepreneurs to survive as easily as possible on the market. [[The speaker doesn't understand.]] What people wanted to show on the market daily is one of the problems with licenses. There are 7 types of passenger transport in internal road transport and only 3 types of licences. And that creates confusion with the carrier but also with the inspector on the ground because they don't actually know what license they'd be asking the carrier for. What is important is to mention when we talk about this bill and the question of when it will come to life because we are primarily a tourist country, our large part of GDP is based on tourism revenues. And in this sense, we should really think about integrated transport as one of the forms of transport that can be brought to life during tourism because what we witness every year in our tourism sector is very busy and Croatia could be able to, if this law had already predicted that it would be one of the tasks of this law for the development of the economy Croatia could use it, and let's say by advertising annual vacation without car. Then this legislative proposal would make sense, then it wouldn't be that concern that my colleague Bulj mentioned in his question when he said how much it would be, or how busy it would be, how busy it would be in Dubrovnik, how much a transport permit would actually be there. And then people rightly wonder if they'll be able to survive both the end and the survival of those carriers and the roads themselves. It is clear that where there are more tourists there will also be a greater interest in obtaining permits and where it is less will not. In my case, let's say this problem won't be with licenses, probably no one's going to ask for a taxi license, but where there's an interest there's going to be that. So what is important as a message to the ministry that more participates and more cooperates with other forward ministries, to observe strategies as part of, all strategies actually develop the economy, so development of tourism, here development and transport as a whole, and that there are no derogations there, because then we will reduce the risks that are now emerging and the fear that our taxi drivers are experiencing that this law will actually have to close their trades because exactly the tendency has to be to allow through the Ministry of Economy and through this ministry these craftsmen to operate as easily as possible and to make it easier to survive on the market but of course that market reduces the price and that our citizens have a cheaper price. In the end, the job you took isn't easy, the job is done. I think there's a lot of good solutions, but again, I'm sorry to have had no more time for us to get involved. We only, we MPs can include in this phase, it's a phase when we need to get involved and it would be good if then there were two readings that we could, our suggestion is that you could still respect it. This is how we will have to go with the amendments, and based on this and the debate that is being held here, and based on the amendments that we are going to make and your response to these amendments, we will also take our position. Thank you very much.
ParlaMint-HR_2018-04-25-0.u80601	Thank you very much. The next club of MPs is that of GLAS and HSU in the name of which the respected representative Anka Mrak-Taritash will speak.
ParlaMint-HR_2018-04-25-0.u80602	Thank you, well-respected Vice President of the Croatian Parliament, distinguished ministers, State Secretary, Associates. We have before us the Law on road transport and we have first and second reading. For the beginning of this debate, I would somehow lead in the usual way as others, so I would say that this is a really good way to make sure that the resolution minister is in this assembly. We have a chance to see really a series of laws when the Secretary of Resort doesn't have one. With his arrival, the minister shows two facts. One fact that he cares about what the MPs will say, what he will hear in the debate, and another fact that it is an extremely important law behind which he stands and is ready to answer all the questions that will be asked. I understand, and I have to say that we rarely and really need to be fair, we rarely get laws in the procedure that first and second reading is, usually the laws in the first, and then behind that in the second reading, and sometimes we say they could be. The same is true of a law that had been in public debate for a long time, the law that was discussed and the main issue of the media debate was about taxi transport. This law regulates, I'd say roughly three subjects. One topic is to regulate transport of the market, another topic is how to access the market in road transport of freight and passengers. The third topic is to actually edit all of this or maybe simplify it, so I say that the first topic is to liberalise the market, the second topic and the microtransport and the third topic is integrated transport. Likewise, when any law relating to road transport is discussed it is good to know the next fact and I will repeat it every time and there is something we have to do. In 2011, a strategy was adopted on how to reduce road transport, i.e. road transport by 2020, where the obligation prescribed by the EU directives to be killed in road transport, i.e. all modes of transport are reduced to 50%. This was for the Republic of Croatia that in 2020 there should be 213 killed in road transport. And it all went smoothly from 2016 to 2016. In 2017 something happened, so in 2016, 307 people were killed in road traffic, and it was less and less on a regular basis every year. In 2017 it was 331 and data for the first quarter of 2018 exactly as it was in 2017. When you're discussing road traffic at all, then the reason for that is, of course, the first and the primary man, then what we're driving by and what we're driving by, so let's simplify it. So vehicles that are in road traffic and infrastructure quality. I think that the situation of the indicators is already such that through further analysis, through follow-up, the ministry needs to see a little what happened here, what happened and that in time we react, and in the context of this is extremely important and that provision that will be related to the age of the vehicle, or to the age of traffic that will be used in taxi transport. The first topic is market liberalisation. So someone who's in a party called the Civil Liberal Alliance is absolutely clear to you what to stand for. It will be advocated for market liberalisation, will also be advocated for clearly defined conditions, will be advocated for the possibility that everyone participates and that our citizens can do certain jobs, but that conditions are clearly prescribed and that these conditions do not differ. The worst thing that can happen to you if you have one part unregulated on the market, as we have at this point and that you have different types of unfair competition. So we are absolutely in favour of being the same conditions for all, that the elements are clearly defined. It's no wonder it's caused so much public attention. Something we've had a chance to see in the last year or even in two years when we intensified the UBER transport and actually whether the UBER problem was solved on the road. It's what's worst that can happen, that people are physically solving the problem, that they're attacking each other, that cars are pounding, that uber drivers are being followed, so it's not good for the street or the road to solve that problem. This problem must be addressed by legislative frameworks. And now we come to the point of whether in this law everything is best defined and best written and who it pleases or doesn't suit. There will be several amendments in that sense where we will seek some improvement. Likewise, every law should be considered as follows, no law passed in this House should be considered but in the beginning that it is carved into stone so that any change in the law is a new stone again, a new engraving. So I'm always up for an option to let in a certain change, a certain law, and then life itself will see what's possibly good or not good. Today we are, in fact, what we see is next. If you ever win in certain municipalities or cities of concession, there you should have of course acquaintances, the best knowledge is having with the mayor. That the number of these approvals is regulated by a certain number, that it even wants to define a certain amount, when people started using taxi transport more? Because in this way, let us be honest and facilitate public transport when this price has become available and there is no need to look, only we always look at the big city, we watch Zagreb, then of course we watch Dubrovnik which is in the tourist season, regardless of the additional possibility of taxi transport will be an absolute collapse and we must be aware of it because everyone with their pet wants to come to the very center of town. Some cities solve this in another way, I have not yet had a chance to see it in Croatia, and these are large free parking lots at the entrance to the city where you leave your car and have a continuous public transport that drives you to the city center, in the price of that transport and these tickets to go and return to you and parking in that parking lot. It's one of the models that works in other cities, so it would be good if the cities recognized it a little bit. However, the theme we are returning to is market liberalisation. It should be really clearly defined, clearly prescribed in time to adapt, acquired rights are, of course, always acquired rights and should be taken into account. There is a story in the town of Zagreb, and of course I will take an example of that city I live in, which is that taxi drivers, for example, can't get to Dolco, can't get to the part of Jurisic, can't come to Jelačić Place because it's like a ban on coming and taxi drivers for reasons not to be too many and not too much traffic. Then when you have our fellow citizens who are in years and who live in that part, and you know that the old population lives with that head, without wanting to offend anyone, go to the hospital, go home from the hospital, the cab driver can't get him where he is or the lady or the gentlemen are going with Dolca and call a cab to take them home, it's impossible in certain parts, and there's no one, and I've asked the mayor for an answer, there's no excessive answer. So liberalization, defining clear criteria and clear conditions, it is no wonder to me that all taxi drivers have been involved because of the unknown there is always one particular fear, but it is always important to have this participation and conversation with both associations and individuals for the simple reason that you can always resolve some recommendations there. The second topic is micro transport. Let's be honest and say the following. When you move away from Zagreb which has 800,000 inhabitants or when you move from Osijek which is in the continental part or along the sea is more interesting during the summer, so these are cities that repeatedly exceed the number of inhabitants, there is a problem everywhere else. The problem is for the simple reason, that there are absolutely no carriers in this world, which in any way would be profitable, that with one big bus they leave 3 or 4 people. And here, this proposal should be commended for trying to find a solution. Of course, it always takes a few participants to make a deal, but this way you open up certain possibilities, you open up certain possibilities, and that's what I'm talking about in a few spins, from this pay phone and in this assembly, and that's sustainable development. What is sustainable development? Sustainable development is that you, a child who lives, now not to mention, any place, say in Slavonia, that no one finds himself offended, allow the same, approximately, you can never allow the same, but about the same conditions of life, as there is a child in large cities. Something they have the same are your cell phones. When you see a cell phone no matter where it lives, the kids have the same cell phones. But unlike a child, who can easily get to his school and regardless of using public transportation, they have children who can't do it. Which, to get to school takes 2 to 3 hours, to get back from that school equally. I believe that one solution and recognition of the problem is micro transport. Here again we come up with a topic that would be good to think about, which is that however county, they talk to their municipalities and cities and that in some kind of joint cooperation, which may not be formal consent, but I kind of advocate for form, it is always the safest, to come up with the right solution, because where the problem is, of course, the mayors of the municipalities, i.e., the mayors of cities and there should be one joint co-operation. And third subject, integrated transport. My dear colleagues and colleagues, the whole of Europe and all the cities in Europe that want and deal with their development and that traffic read as economic development, like all other types of development have something called integrated transport. We have it as a dead letter on paper. There is even a company in the City of Zagreb, i.e. a company that was founded to deal with integrated transport. And when you do a little traffic in the City of Zagreb and you ask what they're doing and you ask people who do it there, so there's no confusion there, there's employees who did it, and there's a little problem here. So they have a problem that's not the law, so they have a problem, which has no strategy, the problem is always in your head and in your decision. No law, no strategy, no action plans could have been realized. We know that the City of Zagreb is a place of attraction, that the City of Zagreb has certain jobs, that in the City of Zagreb it is from large, therefore, our citizens who live in Velika Gorica, and then who live in St. Ivan Zelina, not to list some of our esteemed parliamentary representative and president of HSS, as well as citizens of Samobor and integrated transport is something that is minimal, which can simply be solved. You pay for the transport, and those carriers that participate, according to how much they are shared from that transport and agreed in advance. So, if you want to be able to, it's just a question of whether or not you want to be in the end line, yet you want to harass our citizens and show that it's something terribly important, so they, once upon a time I went from Velika Gorica to Zagreb, the fact is that these opportunities are always, where you somehow try to show the absurdity of the system, is of course in some pre-election campaigns. And then I'm thinking actually that they're lying to me, that they're joking, but you're taking the brother-in-law on the bus, but in one part, I've forgotten now, not to say wrong, there's one place where you have to whistle that same card again, or put it, because in a different way, it's being calculated. If someone came to you from a town in Europe, you'd think it was a hidden camera. Those hidden cameras aren't, it's a real situation. Integrated transport is one way to make life easier for our citizens, to do what we have to do all the time, not all have to come and live and pay dearly for housing in cities, so that they can do so in the nearby or further surroundings of cities. That we have to enable them not only to be safe and fast, but not to really lead them into all this madness and all the payments that regardless of whether the citizens are paying him directly or paying him his employer is something that is insane and something that is not necessary. In that sense, we appreciate that it is good, that it is also this provision in this law. The fact is that any law, which brings any newspaper to us and challenges public attention and upsets the public, there will also be several amendments that I appreciate will allow for simpler implementation, then, a clearer statement of this law and of acceptance, that is, the rejection of these amendments, will depend on our vote. Thank you very much.
ParlaMint-HR_2018-04-25-0.u80603	Thank you very much. I have a need to say something, colleague Mrak Taritash mentioned the urgency of the proceedings, and some colleagues had previously spoken in the replicas of the minister the urgency of the procedure, I draw attention to the fact that it is a law of the category P.Z.E., therefore, by definition it is urgent, it is not something special, and it is not something different from other P.Z.E. The law. Here, now, on behalf of the SDP Representatives Club, we will speak to the esteemed representative, Hajdas Doncic.
ParlaMint-HR_2018-04-25-0.u80604	Good afternoon, dear Vice President of the Parliament, Mr. Minister with an associate, colleague and colleague. The Road Transport Act itself, I can argue, is good, therefore, that it has covered all segments of road transport and that it has taken into account, I will say something, which is everyday, so that is digitisation and that is, in fact, the technologies that we all serve. I'm not going to limit myself to the most mentioned form of transport because there are a lot of those in Europe, so this is just about apps. But what I'm supposed to be at, but I'm not saying within the framework of this law, but working together and with the Ministry of Finance finds some solutions because it's not quite possible for you to get 25% of the commissions of applications that have been reported in Amsterdam in the Netherlands because it's not fair for people who drive to say so and who have a fundamental working relationship with that basis. The liberalisation of competition, the price of taxi service falls, which we also support, and perhaps in cooperation with the Ministry of Finance, see if the persons involved in the taxi transport of any app, does not matter whether they need to be seen especially through the regulation you mentioned, whether there is a possibility that they may be reduced by a part of the excise duty or any other duty to restore their actual general fleet. We're going to have a few amendments, and now I'm actually going to make them, so maybe if you have time to change some of your own things about liberalisation rather than the other part of the law. Therefore, the first remark is Article 4(6), meaning the definition of the rental of a vehicle with a driver. In my opinion, and in the club's view, you're stricter because you've put that kind of transportation down to only the highest-class vehicle like a limousine. In practice, users do not use these most expensive luxury vehicles but also medium-class vehicles, so we will propose an amendment that would enable this and make this type of transport more accessible to users or citizens. So a little bit would still lower the vehicle category, not just for Mercedes and BMW to be very plastic. Also in the same article under point 36. so I am speaking Article 4 is defined as the specific transport of pupils. In our opinion, it is not good that special line-carrying of pupils can only be established in case there is no relevant classic line transport. We will also propose an amendment that would allow the establishment of specific line transportation of students from and to school in case there is an appropriate public line transport. A unit of local or regional i.e. regionally, and this is the county’s view that special line transport of students should be organised in its area. In this way, our opinion is to ensure greater safety of children, as well as better timing of driving to school with instruction. So that's where we should go towards the children's interests, not exactly the bus drivers and their profitability. I'm sure that's what's most important to me. Furthermore, Article 51(1) therefore defines the way in which passengers are transported by road and tourist train, freight vehicle or other road vehicles, we believe that a municipality or city should decide, not a county, because of the forms of transport that... are carried out in the area of a city or municipality, so it is logical that such transport is approved by local self-government units, not regional self-government. County. And in the end, what's really most speculative to me, which is the question of the station and the obligation for the transporters to be used by the station if they're built. So, in our view, because of the flexibility of transport in shorter relations or on local character lines, we do not necessarily think that it is necessary to force carriers to the bus station because it prolongs driving time, and one of the characters of shorter lines is to be faster and less demanding times for passengers. Of course, it's also an environmental aspect because the bus is less driven. So we suggest that it be an appropriate 40km limit, in today's law it's 50km,... 40km. And more or less that's it. We generally have some remarks... which I said if you adopt one part of the remark and the club will vote positively. Thank you very much.
ParlaMint-HR_2018-04-25-0.u80605	Thank you. The next club of MPs who called for the debate is the HSS Representatives' Club, on their behalf, will speak MP Davor Vlaovic. Here you go.
ParlaMint-HR_2018-04-25-0.u80606	Thank you, Vice President. My colleagues and colleagues, distinguished ministers with associates. Here on behalf of the HSS Club we can say that this law that is really comprehensive is important for the operation of traffic in the Republic of Croatia, but above all that has been taken care of and should be taken care of by passengers' safety. We know that this law and laws of this kind and laws are regulated and that economic activity is regulated in transport, but it also has an important impact on the safety of passengers, transport primarily children, students, students and on this side we will have certain objections. Of course, we all find it strange that the main reason for this law to be passed in an emergency procedure is that the minister announced that it should be brought before the tourist season, so in the opinion of the HSS Club, it is not important that the law be passed before and as soon as possible, rather than that it should be as comprehensive and comprehensive as possible, to be enforceable on the ground and to be just for everyone. We see that in the debate over this law there has been a lot of controversy and that the profession has also made a lot of criticism in the public debate. There have been more than 6,000 comments in the public debate and the main remarks that have already been made here, but here I will repeat it on behalf of the club that this part of the amendments granting permits that taxiists could be violated by the new law and that, above all, we need to protect domestic entrepreneurs and craftsmen, that the business of certain companies that are not registered in the Republic and do not pay taxes in the Republic of Croatia, but on the other hand, of course, we are in the interest that the citizen also has cheaper transportation from point A to point B. And therefore the announced cost of services in taxi transport is going in the direction that citizens have a cheaper service. However, in order to avoid this decision and to lead to the position that most of the crafts are being turned off after a year because we will have a situation that in the tourist season you will have increased pressure on the municipalities and cities in Dalmatia and Istria where additional licenses for taxi transport will be sought and there will be a terrible competition, and in a certain way threaten the danger of riots on the ground, since domestic taxi drivers will certainly be against it. It takes the right of the local self-government unit to define in its area how many taxis there are, in this way here and we are going to counter the decision on decentralisation and descent to units of local self-government to regulate this area by our decisions, and on the other hand, we are putting those who are now working in Dalmatia on those 3 or 4 months, how long the tourist season, an increased number of transportation and higher income and practically cover that part of the winter months when they do not have that job. There will now be terrible pressure in the summer months from other areas on these cities and municipalities to grant permits. We will have, though cheaper probably then, and the transportation of these people, but will we have the same quality service? Because only a local man can give the right information about the city, about the cultural offer, about the gastro offer, while the man who will come to Split for 3 months will certainly not be able to provide such a service, and in a certain way we will be worse on the tourist market than we were, since the domestic taxi drivers had also passed exams and gave all those instructions that the passenger in that transport had the opportunity to get. So in this work we certainly do not support the law and that there is still a need to sit with interested people and primarily protect domestic craftsmen and entrepreneurs and thus regulate this part of the transport. When it comes to the transport of county lines, the transport of primary and secondary school students, of course we support the introduction of micro transport as a public transport because of the less populated places. We already had an announcement this year in Osijek County 32 lines will not be driven because the carrier who has the pass is not interested, there are no passengers, and on the other hand we have an obligation to ensure our high school students have the opportunity to reach their school. So one part of it can certainly be solved with these micro-transports. We in the boat-posavia County have already done so for a municipality, we have this good experience, but there has already been an observation that the county still needs to agree and needs with local self-government units, so with municipalities and cities it can't even be decided by the county itself. Of course, we expect that a final decision will be made whether we finance high school transport, our students throughout the year and in the future because it will depend a lot on whether a child will be able to go to high school and one disproportionate that we have so far in ticket prices, that the student cards, because that salary ministry was 1200 kn, and for the same route the working card is a monthly 400 kuna. We must also make the same order and allow children to have a ride to school and that the price of the transport ticket is justifiably high or low, i.e. to be economically sustainable for the carrier and, on the other hand, to be acceptable to the student and the family, or his parents. Of course, we should definitely go towards those countries that have gone a step forward in the organisation of transport, through integrated transport, through the organization to get us into cities, so now we have an example in Zagreb, do not come to the centre of the city cars to do so, as Mrs. Anka Mrak-Taritash said, organizes with large free parking lots at the entrance to the city, and then cheap public transport to the city centre. It is also necessary to consider better stimulating the purchase of cars with less CO2 emissions and, of course, electric cars and that Croatia can do more to ensure better quality transport for citizens, cheaper cars that are less polluting, and, on the other hand, to ensure clean air and citizens here in Zagreb and citizens in Slavonska Brod, and there is certain that we need to make another step more in cross-border traffic, our border crossings are on weekends, especially when holidays are suppressed and here in the light of Schengen, and I expect that through one co-operation and agreement with neighbouring countries, we will have to ensure that these passengers have even more congestion and bumps, and in Slavonski Brod and in the Old Town and there are certain that through one co-operation and agreement with neighbouring countries we must ensure better traffic flow, and on the other hand we ensure that they will be able to stay at these crossing points, as easy as necessary and the need to be able to stay here, while they are safe, while they are safe. And that's where we're looking for more quality regulation, and this way, given that there's been a lot of objections and that we're supporting these requirements of taxi drivers, we're not going to support this bill. Thank you.
