ParlaMint-ES_2015-06-17-CD150617.u1	The meeting was resumed.
ParlaMint-ES_2015-06-17-CD150617.u88	Thank you, Minister. - OF THE DEVELOPED DONA ANA MARIA ORAMAS GONZALEZ-MORO, OF THE JOINT PARLIAMENTARY GROUP, WHO FORMULATES THE MINISTER OF FOOD: DO THE GOVERNMENT THAT SPAIN AND CANARIA HAVE FULL MEANS TO FRONT MARITIME ACCIDENTS AFTER EXPERIENCE WITH THE FISHERO OLEG NAYDENOV? [[File number 180/001344]]
ParlaMint-ES_2015-06-17-CD150617.u89	Questions to the Minister for Development. He asked, first, Mrs Ana Oramas, Member of the Joint Group.
ParlaMint-ES_2015-06-17-CD150617.u90	Thank you, Mr. President. Minister, two months ago the Russian fisherman Oleg Naydenov sank 15 miles from Gran Canaria, 2,700 meters deep and with 1,500 tons of fuel. Last Wednesday came the Norwegian ship that will extract that fuel; a process that will last five months and that will have a cost of approximately 30 million euros. Today we do not come to look for culprits or to make negative balances because there has been serious action with the means and experience we had; we come above all to draw conclusions and to see what measures can be put in place for future incidences. It is a very serious matter for the State and for the autonomous community. We wonder what would have happened if, instead of a 1,500-ton fisherman, he had been an oil tanker of which they normally pass through the Canary Islands with 50,000 or 100,000 tons of fuel. We also wonder what would have happened if it had sunk to the north of Gran Canaria instead of to the south, if it had been at another time of the year, with another kind of current. On the basis of all that we thought that a great catastrophe could be generated. Sometimes you can't avoid things, but you can improve prevention, as you and I have talked about. Therefore, I ask you: Has the possibility of ports of refuge in the Canary Islands been analysed? Have we also looked at the possibility of improving the extinguishing services of the Canary ports not only because of the issue of oil tankers but also because of the number of cruises that are in the ports of the Canary Islands whose fire-extinguishing services are not prepared? Are the protocols going to be updated? Are we going to make a volunteer training plan? Finally, is the monitoring programme of the European Maritime Safety Agency expected to be permanently active in the Canary Islands? Thank you, Mr. President.
ParlaMint-ES_2015-06-17-CD150617.u91	Thank you very much, Mrs Oramas. Madam Minister.
ParlaMint-ES_2015-06-17-CD150617.u92	Thank you very much, Mr President. Thank you very much, Mrs Oramas. I thank him for his words because, indeed, maritime safety and the fight against marine pollution are priorities in the management of the Government of Spain. As you know, there are 2,500 people dedicated to maritime security in Spain, whom I would like to thank from here for the work they are doing and congratulate them on it; work that, as you know, has made possible the attention of 43,000 people and to which we have allocated resources of almost 700 million euros. We are therefore allocating the most appropriate means to combat and prevent marine pollution, as well as to save human lives. Your Honor, I would like to remind you that it was this Government that approved the National Response System, which is so important to provide a rapid and adequate response. Ladies and gentlemen, I would like to remind you that it was this Government that approved the national response system, so important to make it quick and appropriate; it was this Government that approved the National Maritime Plan, and it was this Government that is putting all the material and human means in place so that a misfortune such as that of Oleg Naydenov could be controlled and that the environmental impact was as little as possible. As you very well said they put all available means, and forty-eight hours after the sinking was already hired the robot to locate and inspect the piece. The cracks are being covered and also as you have said we are working for the extraction of fuel, because this will end what has undoubtedly been a maritime accident that could have had very serious consequences. Your Honor, we must also thank the firefighters for their work, for the work of all the professionals in the port of Las Palmas. I also have to tell you about places of refuge that the 2009 directive of the European Community says that governments have to have plans, and that is why this government has the Prisma system that acts to say at every moment what is the best decision. The minister announced to the non-governmental organizations as you know that a working group will be set up with Ports of the State and with all the port authorities. We're doing a job, Your Honor, which I think is very important to prevent...
ParlaMint-ES_2015-06-17-CD150617.u93	Thank you, Minister. Mrs. Oramas.
ParlaMint-ES_2015-06-17-CD150617.u94	Thank you, Mr. President. I would like the minister to appear as soon as possible so that, in time, we can analyse all the subjects. I would like to point out to you that, after any incident, we have to take stock, see what can be improved, and in this regard, both the shelter plans and the protocols, as well as the training of volunteers, and the monitoring plan are necessary for the Canary Islands. We need more environmental security, we need security for the Canary Islands, especially because it is a passage zone for large oil tankers; we have large ships, like the Queen Mary, and we do not have the necessary extinguishing services in the Canary ports. Thank you, Mr. President.
ParlaMint-ES_2015-06-17-CD150617.u95	Thank you, Mrs. Oramas. - OF JORDI JANÉ'S DEPARTMENT I GUASCH, OF THE CATALAN PARLIAMENTARY GROUP, WHO FORMULATES THE MINISTER OF FOOD: WHAT PREPARATIONS DO THE GOVERNMENT HAVE TO COMPLETE WITH THE PROMISES MADE FROM THE MINISTER OF FOOD TO ESTABLISH THE THIRD RAIL, PERMITTING THE CONNECTION IN THE EUROPEAN YEAR AND HIGH VELOCITY IN THE CITIES OF TARRAGONA, KINGDOM AND ALL THE LINE BETWEEN VILA-SECA [[CONVERGENCE OF THE UNION]] AND CASTELLBISBAL? [[File number 180/001348]]
ParlaMint-ES_2015-06-17-CD150617.u96	Question also to the Minister for Development, Mr Jordi Jané, from the Catalan Parliamentary Group [[Convergence and Union]]
ParlaMint-ES_2015-06-17-CD150617.u97	Thank you, Mr. President. Minister of Fomento, the second largest metropolitan area of Catalonia is around the cities of Tarragona and Reus. Those cities don't get high speed. Two years ago you received in your office the mayor of Reus and committed that, through the third rail between Vila-seca and Reus, it would reach the high speed to the city of Reus, and that through the third rail that was to be implemented already between Vila-seca and Castellbisbal, it would also reach the high speed to the urban station of Tarragona. These promises are not concrete, Minister, with realities. A connection must be made in the Penedès area between that third rail and the high-speed line that reaches Sants, because there are many companies - chemical companies, companies that generate jobs, companies that seek competitiveness - that have already done works inside to install the European width, but not the third rail and cannot connect those goods in European width to go out to Europe, and make that Mediterranean corridor a reality. That is why I ask you, Minister, for concrete results. We do not want excuses; we want concrete timetables for the execution of the works: when that third rail will actually arrive.
ParlaMint-ES_2015-06-17-CD150617.u98	Thank you very much, Mr. Jané. Madam Minister.
ParlaMint-ES_2015-06-17-CD150617.u99	Thank you very much, Mr President. Ladies and gentlemen, Mr Jané, we are working from the outset to make the Mediterranean Corridor a reality, and we have done so by devoting EUR 4.8 billion to the Mediterranean Corridor section in this legislature. Your Honor, we have moved from advertising to engineering work and to working on the road across all sections of the Mediterranean Corridor.
ParlaMint-ES_2015-06-17-CD150617.u100	Thank you very much, Minister. Mr. Jané.
ParlaMint-ES_2015-06-17-CD150617.u101	Minister, a lot of publicity, but calendar... What's the calendar? When exactly will the third rail arrive on that crucial stretch that would go from Reus, passing through Vila-seca, and continuing through Tarragona and all that freight corridor to Castellbisbal, and then urban, connecting it with the high-speed line that reaches Sants, through a connection in the Penedès area? There is concern in a very large part of society that calls on the Minister of Development to do so. Note that the Chamber of Commerce of Tarragona, that the whole chemical cluster of Tarragona, that the whole port of Tarragona are waiting for that third rail in order to be able to really connect with the European width; if someone wants the Iberian width can also have it, because the third rail allows both widths. That concretion, minister, does not come, and therefore...
ParlaMint-ES_2015-06-17-CD150617.u102	Thank you, Mr. Congressman. [[Applauds]] Madam Minister.
ParlaMint-ES_2015-06-17-CD150617.u103	Thank you very much, Mr President; thank you very much, Mr Jané. Look, Your Honor, by the end of 2011 it had not been started no longer the hiring of the sections, but there was no project of any of the sections of the Mediterranean Corridor, and the Mediterranean Corridor - and you agree with me - is the essential axis of the transport of goods of this country. In this legislature, Your Honor, we have dedicated 8.9 billion to the Autonomous Community of Catalonia, of which more than 2,900 have gone to the railway, and that is to give a definitive solution. But, Your Honor, I can teach you - I have it here - that the freight companies - and I name you: Continental Rail, Comsa Rail, Ferrovial Railway, Traction Rail or Logistics - have all said that throughout 2015 they will not pass a single ton by UIC wide tracks. It's good that every citizen knows. I will tell you, in the short time I have left, how is the actual situation of the works in the corridor: Castellbisbal-Vila-seca 76 million euros, which are being implemented taking into account the needs and demands of all operators. Regarding the next stage, Tarragona-Vandellos, we are already finishing the infrastructure: 188 million euros in this year, concluding already the works of platform, those of the viaduct, the station of Cambrils, as well as the works of electrification and the station of Hospitalet. We're going to cut time in thirty-five minutes. Between Vandellós and Castellón we are also implementing the standard width on both tracks, and between Castellón and Valencia the work is very advanced so that there can be high speed to Castellón before the end of the year. In relation to the Vila-seca and Reus knot we are finalizing the drafting of the project to then bid the work, and we have in writing the informative study of the environment of L'Arboç. That is why, Your Honor, this government's commitment to the corridor...
ParlaMint-ES_2015-06-17-CD150617.u104	Thank you, Minister. [[Applauds]] - OF THE DEPARTMENT OF MARIA ANGELINA COSTA PALACIOS, OF THE SOCIALIST PARLIAMENTARY GROUP, WHICH FORMS THE LORD MINISTER OF EDUCATION, CULTURE AND SPORT: WHAT INTERESTS DOES THE APPROVAL OF THE NEW CREATION, RECOGNITION, AUTHORIZATION AND ACCEPTATION OF UNIVERSITIES AND UNIVERSITY CENTRES RESPONSIBLE? [[File number 180/001353]]
ParlaMint-ES_2015-06-17-CD150617.u105	Questions to the Minister for Education, Culture and Sport. First of all, I would like to ask Mrs Angelina Costa of the Socialist Group.
ParlaMint-ES_2015-06-17-CD150617.u106	Thank you very much, Mr President. Mr Minister, I think it will be my dubious honour to ask you one of the last questions addressed to you as Minister of Education in this Chamber. If so, I wish you in your new destiny to do better than at this ministerial stage; it will not be difficult for you, Minister. [[Laughs.-Applause.]] That is why I ask you what interests the approval of the new decree corresponds to.
ParlaMint-ES_2015-06-17-CD150617.u107	Thank you very much, honourable Member. Minister.
ParlaMint-ES_2015-06-17-CD150617.u108	Thank you very much, Mr President. Thank you, Mrs. Costa, for your good wishes. I imagine that the decree to which he refers is that which regulates the recognition, accreditation, etc., of centres, and the interests - literally responding to what the statement of his question raises - are exactly the same as in all the normative action of the Government: firstly, as it is natural, the defense of general interests, and secondly, in this specific case, the promotion of a more efficient, more flexible, more internationalized university, and that it provides a better service to all.
ParlaMint-ES_2015-06-17-CD150617.u109	Thank you very much, Minister. Madam Member of the Commission.
ParlaMint-ES_2015-06-17-CD150617.u110	The truth, Minister, is that I expected your answer, very much in line with it: generalities, some other sophism, and Úbeda hills, although with a clear and well-defined objective, which is to dismantle and demolish the public university. Thus they have proceeded with the decrees on scholarships, rising fees, Erasmus, low replacement rate, especially severe for the PDI, the notorious 3+2, and always the mother of all the battles flying over: insufficient funding for our public universities; of course, as you believe them unsustainable, for what you are going to worry about giving them better. [[Rumors]] And now this decree, a decree that our group expected, a decree that we were demanding - we thought necessary - but that has caused above all a blatant proliferation of private universities; some of them have been created without control and you know it, and some of them have a questionable academic level and a non-existent... [[Rumors]]
ParlaMint-ES_2015-06-17-CD150617.u111	Excuse me, Congresswoman. Please, those who are not going to answer the questions, leave the Chamber. Go on.
ParlaMint-ES_2015-06-17-CD150617.u112	Thank you very much, Mr President. ... a questionable academic level and almost a non-existent research activity. This decree not only does not meet expectations, but it is far from the essential regulation and control that we demanded. It is like many other decrees that follow Horacio's maxim: the mountains will be opened and a ridiculous mouse will be born. This decree is a ridiculous mouse. He presents it to us at the bottom, he presents it to us as a flexibility. You have not yet published it in the BOE, do it or remove it. May they choose the way to withdraw it, may they not give them time, and above all they debate, check with others, and consent. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u113	Thank you very much, Mrs. Costa. Minister.
ParlaMint-ES_2015-06-17-CD150617.u114	Thank you very much, Mr President. Mrs Costa, I know that your field of expertise is not exactly that of administrative law. Once a decree is adopted by the Council of Ministers, apart from the date of publication, obviously it cannot be withdrawn. Look, the decree responds to a world-recognized need. Until now the establishment, authorization and recognition of centres was regulated by Royal Decree 557/1991, which corresponds to a time when university studies were first and second cycles, and the titles were regulated by the catalogue. Today we are fully integrated into the European Higher Education Area and logically all systems applying to this issue need to be updated. You have an obsession - for me incomprehensible - with private universities, and anyone who heard them would think that we are talking about a country where there is a balanced situation between public and private universities. Private universities - which, by the way, Mrs Costa, have grown more or been created more under socialist governments than under PP governments - today account for 12% of students in the entire university system in terms of degree, and less than 30% in master's degree. And with regard to the guarantee of systems, this royal decree maintains not only the guarantees that existed before, but also an update on the new management of university studies, both in terms of infrastructure and the special requirements for health sciences, the number of doctors at each level, etc.; it is ultimately a guarantor and promoter of flexibility, specialization and internationalization. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u115	Thank you, Minister. - OF THE DEPARTMENT OF DON DON PABLO MARTÍN PERÉ, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE LORD MINISTER OF EDUCATION, CULTURE AND SPORT: DOES THE DIFFERENT SECTORS OF THE WORLD OF CULTURE CONSIDERED WITH HIS MANAGEMENT IN THE FRONT OF THE MINISTRY? [[File number 180/001354]]
ParlaMint-ES_2015-06-17-CD150617.u116	Question also addressed to the Minister for Education, Culture and Sport. It is formulated by Mr Pablo Martín Peré of the Socialist Group.
ParlaMint-ES_2015-06-17-CD150617.u117	Thank you, Mr. President. Minister, do you consider that the different sectors of the cultural world are satisfied with your management at the head of the ministry?
ParlaMint-ES_2015-06-17-CD150617.u118	Thank you, Mr. Congressman. Minister.
ParlaMint-ES_2015-06-17-CD150617.u119	Thank you very much, Mr President. Thank you, Mr. Martín Peré. I have much less talent for the generalization of what you show in your questions, and what I imagine you will show in the second part of your speech, and therefore I sincerely tell you that I do not know the level of satisfaction of what you call the sectors, obviously outside of some public statements of some. On the other hand, I can say without risk that there is a series of encouraging data on the development of the cultural and creative industries in this last exercise that allow for some optimism, being fully aware of the great difficulties that the budgetary and economic situation have posed for this sector.
ParlaMint-ES_2015-06-17-CD150617.u120	Thank you, Minister. Mr. Martín Peré.
ParlaMint-ES_2015-06-17-CD150617.u121	Minister, it now seems that we are facing the final credits of this work with which you have given us throughout this parliamentary term, and the truth is that I am faced with a problem when cataloguing it, because in some respects we could do so as a tragedy, because the damage you have done to this subject, culture, which is nothing more than that which faces the sensitivity and creativity of our societies, is enormous. But in other respects I think that we could label it as a comedy, a comedy of plots, to be exact, because the way in which you have faced the different confrontations with the world of cinema and the world of theater is so childish and ridiculous that, if it were not for the gravity of the facts, it would even have grace. You started your walk through the scenes saying there was going to be a model change. He told us that we were going to move from a policy of subsidies to a policy of sponsorship. Finally, there have been no subsidies or sponsorship. So the only change that has been made is that there is no model, and that is that you, Mr Wert, have not been able to protect culture and have not been able to protect it for the citizens. But he has not been able to protect it from his Government either, because on the one hand he has been unable to safeguard it against the rigours of the crisis, but above all, much worse than the crisis: Mr Montoro. However, it is funny that the end of your work is going to be characterized by a happy ending, of those who like spectators so much, because the most paradoxical thing is that the best thing you can do for the world of culture, the best thing that will happen to culture since your appointment will be your march in the coming days. Therefore, Mr Wert, all I have left is to say goodbye, to wish you, of course, luck in your next destiny, but as long as it stays away from culture, education and public interests in general, because that will mean that we will all be much better off in this area and in that sense. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u122	Thank you very much, Mr Martín Peré. Minister.
ParlaMint-ES_2015-06-17-CD150617.u123	Thank you very much, Mr Martín Peré. I consider my own person to be far less important than the issues you have raised, and I prefer to refer to those data to which I referred earlier. If we talk about performing arts, over the past year there has been a 12% growth in the number of theatre companies, 3% in the number of dance companies, 4% in stage spaces and 5% in concert halls. The Platea program has mobilized more than 1,200 functions in halls and 77 in the street, more than 225,000 spectators. Spanish cinema, Mr Martín Peré - I imagine you don't like the data - has had the best year of its history in 2014. We have also changed, with the full consensus of the sector, the whole system of film aid, and we have just done so in a recent royal decree-law that was validated in this House a couple of weeks ago. We have fought piracy more efficiently than any previous Government. We've been working against almost 400 websites. We have achieved the closure of 31 and the disposal of anti-intellectual property material in more than 300 of them. The world of music last year recorded an increase of 21.2% in sales, with an even greater increase in the legal purchase of music in digital support, and also the edition and book have had increases. I understand that this data, which is data that can be consulted on the website itself...
ParlaMint-ES_2015-06-17-CD150617.u124	Thank you, Minister. - OF THE DEPARTMENT OF SILVIA OÑATE MOYA, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE LORD MINISTER OF EDUCATION, CULTURE AND SPORT: WHY DON'T THE GOVERNMENT PROMOTE THE COMPLIANCE OF THE PRINCIPLE OF REAL AND EFFECTIVE EQUALITY BETWEEN WOMEN AND MEN IN THE FIELD OF SPORT? [[File number 180/001355]]
ParlaMint-ES_2015-06-17-CD150617.u125	Question to the Minister for Education, Culture and Sport by Mrs Silvia Oñate of the Socialist Group.
ParlaMint-ES_2015-06-17-CD150617.u126	Thank you, Mr. President. I would like to welcome Dona Gala León, who is with us today in the guest gallery, and to ask this question on her behalf and on behalf of so many pioneering women in the history of sport who have had to face, and still face, deep gaps of inequality. That's why the question is why. Why does the Government not promote compliance with the principle of equality between women and men in the field of sport? Thank you. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u127	Thank you, honourable Member. Minister.
ParlaMint-ES_2015-06-17-CD150617.u128	Thank you very much, Mr President. Thank you, Mrs Oñate, and I also greet Mrs León, who has shown some resistance to meeting, despite the invitations she has received for this... [[Several Members: Oh!- Rumors.-Protests by Mr Pezzi Cereto]]
ParlaMint-ES_2015-06-17-CD150617.u129	Quiet, please! Mr. Pezzi, silence.
ParlaMint-ES_2015-06-17-CD150617.u130	Thank you, Mr. President. Mrs Oñate, I put at your disposal - you will be sent this morning - a precise timetable for all the actions that have taken place in this case. I am surprised to say that this government does not promote equality between men and women in sport, when under this government the presence of women in the governing bodies of the Spanish sports federations has increased by 59%, when this government has created a Sub-Directorate-General for Women and Sport that previously did not exist, when this government has launched the Women's Universe programme, which has also been described as an event of exceptional interest, when under this government, Mrs Oñate, the best successes of Spanish women's sport in all history are taking place. [[Protests]] So select the topics with a little more opportunity, and I take the opportunity to wish you luck to the Spanish Women's Football Selection, which tonight faces Korea and can move on to eighths of the final. [[Greetings.-Protests by Mrs Costa Palacios]]
ParlaMint-ES_2015-06-17-CD150617.u131	Thank you very much, Minister. Mrs. Costa, you're not asking. [[A Member of Parliament: For now!]] Mrs. Oñate.
ParlaMint-ES_2015-06-17-CD150617.u132	Minister, despite your surprise, I will tell you that being a woman has in itself been a background career to which some still strive to put obstacles, and this is what you are doing with Gala León, the only woman in the history of the sport selector of a Spanish team of high competition. Not only are they not institutionally supporting it, but they are showing a frontal rejection. No one has received it, Minister, neither you nor the Secretary of State nor the Higher Sports Council, which also denied you the seat for your representation; moreover, after ten months, they are trying to put obstacles and sow doubts about the legality and suitability of the appointment of Gala León. You show that the presence of women in leadership positions does not like them, because you have also failed to achieve balanced representation in bodies such as the Sports Administrative Court and the National Anti-Doping Commission. They do not respect parity, Minister, and their responsibility is to comply with the Equality Act, although they do not care too much. Minister, you will be going to Paris shortly, and behind you will also be the Lomce, your Education Act, which we will withdraw as soon as we can. Segregation will come out of the classroom and will return Education for Citizenship, and with it the promotion of values of equality. You leave us a four-year black and white scenario, like this photo, Minister. [[shows a photograph]] Does that ring a bell? Have you ever seen her? It's the 1967 Boston Marathon. Its organizers, in a clear macho reaction, try to prevent a woman from competing in the race for the first time. Saving distances, Minister, is what you leave us: a pitiful black and white scenario in the field of equality and sport, but, you know what? No doubt, despite you and despite your government, women athletes will reach the finish line and the top. Thank you very much. [[Several Members: Very well!- Prolonged applause]]
ParlaMint-ES_2015-06-17-CD150617.u133	Thank you very much, honourable Member. Minister.
ParlaMint-ES_2015-06-17-CD150617.u134	Thank you very much, Mr President. I ignored my responsibilities in organizing the Boston Marathon, but here I keep taking surprises. [[Rumors.-Protests]] The previous Government devoted less than a quarter of what the Government had devoted to the Women and Sport programme. Under the previous Government, women's participation in high-level sports competitions was much lower than under this Government. Under the previous Government, aid has not been approved, as has been done under this Government, which allows high-competition athletes to attend periods of maternity, breastfeeding, etc., without interrupting their sports careers. Under the previous government, as I have told you before, the representation of women in the governing bodies of national sports federations was almost 60% lower than the current one. Only from the point of view of ignorance or bad faith can this Government be accused of not having worked for the promotion of equality in sport. Thank you very much, Mr President. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u135	Thank you very much, Minister. - OF THE DEVELOPED MARIA VIRTUDES MONTESERÍN RODRIGUEZ, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE LORD MINISTER OF INDUSTRY, ENERGY AND TOURISM: DOES THE GOVERNMENT THINK THAT THE ANNUAL SUB-SCHEDULE FOR INTERRUMPILITY IS THE BEST FORMULA TO KEEP EMPLOYMENT IN GREAT ENERGY CONSUMER COMPANIES? [[File number 180/001356]]
ParlaMint-ES_2015-06-17-CD150617.u136	Question to the Minister for Industry, Energy and Tourism. The proposal is made by Mrs Mariví Monteserín of the Socialist Parliamentary Group.
ParlaMint-ES_2015-06-17-CD150617.u137	Thank you, President. Mr Minister, last December the electro-intensive industries, the workers and the regions where they are based suffer the consequences of their short-term policies which produce real social stress, as a result of uncertainty, insecurity and the lack of medium-term solutions, which are essential to avoid silent or explicit closures or relocations of these companies. That is why we have repeatedly asked Members of Galicia and Asturias, trade union organisations, business organisations in the sector and mayors for a solution to this very serious problem caused by the annual auction. Faced with this, your ministry and electrical network are still clinging to and entangled in error, so that they announced a new auction again for a year, and on this occasion supposedly ahead of the next few weeks, it seems that for stress to occur in summer rather than in winter. Well, this announcement has generated more insecurity in the sector. That is why, Minister, we want to know, better said, we demand you; yes, we demand you, Mr Soria, to make it clear to us all in this session if there will be auctions in the coming weeks, if time is kept for a year, how many lots include and how many megawatts, and what will be the endowment of the premium. This is a fundamental issue. In my region it affects three major industries. In some of them the electricity cost can multiply the labour cost by seven. It is impossible to compete on the world and European market with this ballast. You are a minister of industry, not just tourism, but in more than three years you have never come to know our reality. Think that solving this problem means that industry is gaining weight and helping to create jobs, and thus to bring the crisis back on track. Failure to solve it means the opposite: more crisis and more unemployment. All this depends on his will, unfortunately so far for us. Thank you very much, Minister. [[A lady Member: Very well!-Applause]]
ParlaMint-ES_2015-06-17-CD150617.u138	Thank you very much, Mrs. Monteserín. Minister.
ParlaMint-ES_2015-06-17-CD150617.u139	Your Honor, you pose energy policy and interruptibility as a tool for employment management. If you'll allow me, I'll correct it. It's a tool, but electrical demand management. In order to manage employment, you have to do other things. An economic policy that is fundamentally geared to correcting macroeconomic imbalances must be pursued. First, a policy of fiscal consolidation, and then a package of structural reforms, including reform of the energy sector. What does that mean? Where there is a gap between the revenues and costs of the electricity system, where there is a deficit in the electricity system, it must be eliminated and overrun. That is one of the things that has been done throughout this legislature. Energy reform is, for example, that where in a persistent way electricity prices are rising, they stabilize, then fall. That is also happening during this legislature. Energy sector reform is, for example, where tolls were continually growing to finance the regulated activities of the system cease to rise and freeze as is the case today. It is also energy policy, for example, the fact that there is an 85 % bonus in the electricity tax exclusively for the companies to which you referred, which are the electro-intensive companies. This applies from the point of view of employment management, whether for small or medium-sized enterprises or large enterprises, whether electrointensive or not. Now for the electro-intensive, there is also this electricity management tool, which in Spain until last year was set administratively. Do you know why he switched to the auction system? At the request of the sector itself, because one of the companies in Italy - which also operates here in Spain - as a result of the existing system, a fine of EUR 300 million was imposed, since the previous system, which started in 2008, was considered a system of State aid by the European Union. An auction system was established - it is an auction system that effectively manages the system operator - under the supervision of the National Market and Competition Commission, and which is very good at establishing a competitive mechanism to which all companies that are electro-intensive can present themselves. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u140	Thank you, Minister. - OF THE DEPARTMENT OF LAURA CARMEN SEARA SUBJECT, OF THE SOCIALIST PARLIAMENTARY GROUP, WHICH FORMS THE LORD MINISTER OF HEALTH, SOCIAL SERVICES AND EQUALITY: WHY DID THE GOVERNMENT NOT COMPLETE THE MANDATES OF THIS CAMERA ON THE IMPLEMENTATION OF SPANISH LEGISLATION TO THE PROVISIONS OF THE INTERNATIONAL CONVENTION ON THE RIGHTS OF PERSONS WITH DISABILITY? [[File number 180/001357]]
ParlaMint-ES_2015-06-17-CD150617.u141	Questions to the Minister for Health, Social Services and Equality. First of all, I would like to ask Mrs Laura Seara of the Socialist Group.
ParlaMint-ES_2015-06-17-CD150617.u142	Minister, on 1 August 2011, under the government of President Zapatero, the Act on Adaptation to the International Convention on the Rights of Persons with Disabilities was adopted. It urged the Government to adopt, within one year, a rule that would comply with the exercise of the legal capacity of persons with disabilities. Until today, Minister. On October 23, 2013, Congress approved a NLP, also urging the Government to prepare a report with these legislative proposals within six months, including those that also affected electoral law. So far, too. Therefore, we ask you: Why have you not fulfilled these mandates, Minister?
ParlaMint-ES_2015-06-17-CD150617.u143	Thank you, Mrs. Sara. Minister.
ParlaMint-ES_2015-06-17-CD150617.u144	Thank you, Mr. President. Mrs Seara, you know that since the ratification of the International Convention on the Rights of Persons with Disabilities Spain has carried out intensive, progressive work, continuing to adapt to the mandate of the convention, work that began in its legislature, in the last of the Socialist Party, and that this Government has also continued; therefore, work has continued on this. Most important from the legislative point of view was the consolidation of the three main disability laws: the Lismi, the Liundau and the Equal Opportunities, Non-Discrimination and Universal Accessibility Offences and Sanctions Act. As you know, they have been integrated into a new rule that has been being demanded for a long time by organizations representing disability and their families. Therefore, important aspects that were reflected in the laws, such as education or accessibility, that had been developed by specific subsequent laws and that both in their terminology and approach were far from the principles contained in the United Nations Convention, have been able to be adapted. The approach is that persons with disabilities have rights. All this work has made Spain an international benchmark in the field of disability and in our process of adapting to the United Nations Convention, which, as you point out, is not complete. You are concerned - and I too am concerned - about the adaptations of our system of guardianship, guardianship and the right to vote for persons with disabilities. In this regard, a working group was set up with the Ministries of the Interior and Justice, which is working on the provision for the adaptation of these rules.
ParlaMint-ES_2015-06-17-CD150617.u145	Thank you very much, Minister. Mrs. Seara.
ParlaMint-ES_2015-06-17-CD150617.u146	Yes, Minister, 80,000 people, Mr Alonso, 80,000 men and women with intellectual and psychosocial disabilities who cannot vote because you have not done your job. People with Down syndrome, people with autism, deprived of their ability to exercise a right, Mr Alonso, sacred of citizenship. We are failing to comply with international standards and also our own legislation. In fact - you will know - the United Nations has shown great concern, as the deprivation of the right to vote in Spain seems to be the rule and not the exception. Meanwhile, you remain obsessed with your electoral reforms. They are stifling with changes to govern the most voted list; that is, only if it is theirs, as we have just seen in Andalusia. They are able to modify autonomous statutes so that their accounts can be drawn up, and not so. That is true, when it comes to promoting reform for the benefit of 80,000 people, they become muted. It is more profitable, isn't it, Mr Alonso?, to support the notaries, a collective, as we know, extremely vulnerable, than the more than 2.5 million people with disabilities in our country. He's probably going to be the man of the day today, and as I'm sure he'll talk to Mr. Rajoy, give him and his Twitter account a message from us. Tell him that postponing this reform a day, a month and a year is petty and sectarian and not the pacts reached in the municipalities of our country. You know why? Because the more you govern the more you do harm to those who deserve it the less, Mr. Alonso. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u147	Thank you, honourable Member. Minister.
ParlaMint-ES_2015-06-17-CD150617.u148	It didn't have to go very well in Orense, but that's not a responsibility attributable to me. In Spain there are no 2.5 million people with disabilities, Mrs Seara, there are almost 4 million, and we think of all of them, all of whom have that limitation. A policy has been made not only active but highly recognized of support to the whole sector, in fact Spain was worthy in 2013 of the Roosevelt Prize awarded by the United Nations, which is like the Nobel Prize in Disability. Others recognize it outside and, therefore, I think it is also good that we speak well about our country here. And if we talk about voting, about the will that emanates from the ballot box, it is also good that the majority decision of the citizens is ever respected, not as you do that to cover up your defeats you are able to agree with anyone. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u149	Thank you, Minister. - THE DEPARTMENT OF HOPE WAS ORTEGA, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE LORD MINISTER OF HEALTH, SOCIAL SERVICES AND EQUALITY: HOW IS THE GOVERNMENT PROVIDED TO INCORPORATE ATTENTION TO PERSONS IN MODERN DEPENDENCE SITUATION? [[File number 180/001358]]
ParlaMint-ES_2015-06-17-CD150617.u150	Question to the Minister for Health, Social Services and Equality by Mrs Esperança Esteve of the Socialist Group.
ParlaMint-ES_2015-06-17-CD150617.u151	Thank you, President. Minister, how does the government plan to incorporate care into the system for people in a situation of moderate dependence?
ParlaMint-ES_2015-06-17-CD150617.u152	Thank you, Mrs. Esteve. Minister.
