ParlaMint-IS_2017-05-24-71.u1	The president considers it possible for a meeting to last longer than the Council of Congress.
ParlaMint-IS_2017-05-24-71.u107	Madam President. It was a nice, fun speech for you. Senator. We obviously do not agree on everything, but we can agree on some things. On the other hand, there is a slight rise in the motion of the left movement in a budget, and I suppose it is in the name of the left green or left - green members, where total tax returns are proposed, a total of tax returns are increased here during the financial period by 334 billion. I'd like to know what the basics are. They don't show up. It's just a number, between 50 and 70 billion each year. Come on, come on, what's with the taxes? Are these any new taxes, or are income taxes being raised on an individual or a value extra tax in travel? What is that?
ParlaMint-IS_2017-05-24-71.u108	The president refused to mention four down. Since members of Congress have requested an answer, they will be reduced to one minute each time.
ParlaMint-IS_2017-05-24-71.u109	Madam President. Yeah, that's a good question. We left greens believe that the current government, the last government, has leaked out of the economy, carefully estimated, yes, out of the economy, I would now say, by taking out the taxes that were before and weakening the income populations. [[Out of the economy?]] This has already happened, and it can be totally calculated to 50 to 60 billion in the last term. Now people continue on this journey. We're talking about continuing on a step - apart tax system, talking about money taxes, resource bills, fiscal taxes, carbon bills, some legal fees for travel, whether it's due or what, generally improving tax returns, it's said that there are over 80 billion. [[The president calls.]] Dietary taxes can be mentioned. These are all taxes that are not unusual about sharing with people and businesses in the country according to their means and circumstances.
ParlaMint-IS_2017-05-24-71.u110	Madam President. I thank you very much for that answer, which may not have been as rich as I was hoping for. By 2022, the rate of tax returns to 200 billion. Then we'll go for it. A senator adding about 75 billion in 2022. I'd like to know where they're coming from. It's a little competition, of course, I realize that, between the government stand. Although the United States does not go so far, some 236 billion are proclaimed. You're 100 billion above, and I congratulate you very much on that. But where is the senator going... is he here proclaiming large increases in individual income taxes? What is it? Any kind of taxes, money taxes, should be brought back here, etc.? [[The president calls.]] Because it matters when we talk about the financial program what you're thinking, right?
ParlaMint-IS_2017-05-24-71.u111	Madam President. That was a very informative answer. So, is the Independence Party and his escorts preaching tax increases?
ParlaMint-IS_2017-05-24-71.u112	No, it's a financial plan.
ParlaMint-IS_2017-05-24-71.u113	Is there a total tax increase in a financial program of up to 200 billion? Is that what they're doing with this government? If taxes increase by 200 billion by the end of this financial program, where do they come from?
ParlaMint-IS_2017-05-24-71.u114	You have to read it.
ParlaMint-IS_2017-05-24-71.u115	I'd find it interesting to know and to hear from it. paritaprevir Óli, Björn Kárason says he's reporting tax increases on the population by 200 billion.
ParlaMint-IS_2017-05-24-71.u116	You can see it divided.
ParlaMint-IS_2017-05-24-71.u117	That's what it said. A senator here. It's just that it's no more complicated than that. But we're talking about getting back the taxes that this government and the last one has released, which was really needed to build up the wood. Well, why, if you think you have enough income, then this financial plan is just handless bags and unfashionable and doesn't make any progress in this community? [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u118	A respectable president. Thank you. Her senator's speech. And while it is not often done to commend members of the other classes of this council hall, which I find unfortunate, I would like to allow myself to do so here: she is a very zealous man for national interests and employment. That caught my attention when she went through work at night. The job committee, where she sits, said something in a way that perhaps could have extended the task of achieving some harmony with the government's opposition to change or treatment. I was disappointed when I saw many minorities begin to appear and many minorities. I believe the trade committees would have had a fatal cause, if I allow myself to use that word, in order to reach a mutual conclusion through this review of the Committee. In view of this experience, I'd like to ask the senator to go over it with me, perhaps in view of where she might see this touch surface of a common conclusion.
ParlaMint-IS_2017-05-24-71.u119	Madam President. Of course, it would have been very good if we could have reached a wide range of agreements to make any comments about the area that we had discussed on the job committee, to examine them, and to take into account the legal committee's proposal for change. But there was only a limited interest in it, or no one, I thought, of the greater part of it to do such a thing. [[For example, consider: Is that fair?]] Hence, the very nature of what they feel should be their subject, in view of the criticism given and reasoned, in the reviews and in the visitors'discussion of these matters. That's just the way it is. There's only a long distance between these classes. [[The president calls.]] This matter is being approached in a very different way. But I think there's supposed to be some consistent effect on these matters. [[Up front.]] I felt that he did not want to be there for the discussion.
ParlaMint-IS_2017-05-24-71.u120	A respectable president. Thanks for the answer. I'd like to add a little bit to my second request and later answer to what. A senator's criticism of the failure to perform diagnostic work and staging because of the changes produced by the financial programme. I'd like to ask you what. A member of Parliament: This is now a proposed class, which assumes 334 you. Millions of dollars extra taxes, 1 million per person, 4 million per person in each home: What analysis has been made of the impact of these changes?
ParlaMint-IS_2017-05-24-71.u121	Madam President. These suggestions are based on describing our will, our left green, when we reach power, which will hopefully be very soon. There we want to make money to build a good welfare community. Then we all need to do our part. Some of us are well - known, such as step - by - step tax systems, which have been studied in many places, and this has been shown to include the greatest balance of income. A wealth tax is widely known throughout the world, and we know it here. Yeah, well, also carbon bills. I think most people would agree that it's normal, considering the climate change we're facing. Money tax has been present here and abroad. [[The president calls.]] All these are good acquaintances who would keep us building a welfare community. [[Up front.]] People often think that they can build a quality community on foam. But this financial program shows that income needs to be made.
ParlaMint-IS_2017-05-24-71.u122	V.E.G. President. I'd like to start by saying thank you. A senator for a very good speech. I agree with her on the importance of initiative in the infrastructure of the weaker settlements of the country because it is not the same theme as we see in numbers here, including ... southwesthornofthe country. I would also like to agree with her comments about the importance of international tourism, outside the South and capital areas, having room to build up their services and jobs. I ask if she agrees with me in that there is a policy of structure to allow this space and thus contribute to and support the work structure that takes place around the article in the various scattered areas of the country. I'd like to ask her how she feels about our candidates' ideas for the coming charges and the relative stay-over fees.
ParlaMint-IS_2017-05-24-71.u123	Madam President. I'm on the verge that if we are to build up, we need transportation in the country. There's a lot of opportunities. This is a great advantage for those parts of the country that may have been falling behind, getting these into their hands, being able to build up for travel, and making them full - time. It's happening right now. That's why cutting them down is very bad. I'm very happy that the advance party has reached us with left greens on our arrivals, and I agree heartily that there must be a connection between the host's fee and the price of lodging. It is not normal that the five - star hotels and campsites in Hunsa County are from about a year and a quarter, a hundred dollars a year, every night. That's not normal. You've got to connect this price.
ParlaMint-IS_2017-05-24-71.u124	V.E.G. President. Thank you. A senator for the answer. I'd like to step in on the welfare issues and ask you why. A senator would know if she had studied that part. Now we see that the total amount of donations made for health care is greatly increasing. When you looked at and were surprised to see one cornea, one of the clinics in the capital area could be built that left a clear picture of how to strengthen your health care. I'm asking why. A member of the Parliament whether it is my concern that there is a serious problem with the budget on how to improve national health care centres and whether it is not important for clear lines to come up with, especially since we have been implementing a new reference system where the health care needs of the health system are increasing. I ask if she will not agree that it is very important that we look to health care at national health care rather than just here in the capital area.
ParlaMint-IS_2017-05-24-71.u125	Madam President. Yes, I think it's very important. In the capital area, I received a personal business report from medical facilities, but there has been economic hardship to health care in the country. It needs to be built up, and so do these hospitals, which are wide and wide around the country. Because I know the best of what I can do, as in the Fourth Hospital in Isafjordur, many machines are getting too old. In a financial program, we are talking about buying, maintenance, business, and new investments, and there's only 338 billion there. K. an absolute increase in 2018 to hospital services. Of course, this is far from what has been spoken about here by the executives, for it itself says that the health - care professional knows where the shoe goes and speaks.
ParlaMint-IS_2017-05-24-71.u126	Madam President. Like my colleagues, I thank you for a nice and pleasant talk earlier. I'd like to move on a little bit. I was sitting by the computer during the discussion and asking questions earlier. The change from the 1st smaller section of the budget board, presented, was considered to increase taxes and costs of 334 billion. He generates a new topic range of 295 billion. There is a significant increase in real value, but we were highly criticized for our annual increase in government spending by 8.5% in actuality between years. It's stated irresponsible, I was only in an excel document right now: the state government next year has figures of 46.5.7% every year in this range for the next few years. So this is a huge amount. If we add this to the smaller tax increases, I think we're talking about a range of 11.5 and 12.5 percent between years of age, what's being said. [[The president calls.]] Does the Senator consider the Icelandic economy and society to tolerate such financial increases?
ParlaMint-IS_2017-05-24-71.u127	Madam President. These are excellent questions from my cousin, the Njáll of Trausti Friðbertsson. But I think it doesn't matter where we take our income. Today, the majority of the land's assets are at about 10 to20% of large companies or individuals. The common resources of the nation and the profit of the nation are not properly divided. It is possible to balance within the country, increase the equation, absorb the tax system from those companies and persons who are able to contribute more to the community, and balance it with a step - by - step tax system. We are not talking about an increase in taxes on ordinary employees or middle - income workers. [[The president calls.]] I believe the economy and the community will tolerate these tax increases we're talking about.
ParlaMint-IS_2017-05-24-71.u128	A respectable president. I appreciate the answer. I think there might be in many ways a very interesting discussion, taking it a little further, when you figure out these numbers just by putting in an excel document and counting for ten minutes, what kind of money we're talking about in percent. If we are talking about economic catastrians in Iceland, historically, we intend to improve between the individual years of the year 2018/2019, a total of 11.7% between the ages, then 12% and 12.2% between the years. There are numbers that I think would be very interesting to put into all models and such factors. We'll develop this discussion on Friday and then take the idea further. I agree, however, when the senator introduces national diagnostics, reviews with construction status, and so forth. We've talked about this on a financial committee, coming to that job, and they want to go much further in those analyses. It would be interesting to discuss the tax returns. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u129	Madam President. We as a nation can't always be placed in an excel document. It's just that way. The tax returns are very variable in this country. Severe inequities and indiscretions are present. I spoke to a man I met at the Coffee Car, a sailor from the passions this morning. He said he had 270 pieces. K. in a month by paying for a lifetime of pension. Of that 270 you. A k., which is a combined pension fund and pensions, would be taken 70 far away. K. I'll tax you. Is that normal? To be taxing people who don't make more money than this? When people don't take normal taxes, resource taxes, high-pay taxes, higher fishing costs, etc.? Is that normal? It's just a lot of roughness. The funds will continue to be swept to such high percentages of people in the land as property, while the rest are to bear all the burdens and to run this community. [[The president calls.]] It's just not acceptable.
ParlaMint-IS_2017-05-24-71.u130	Madam President. At the beginning of my speech, I want to say thank you for the highest. Ministers for being here with us, showing respect and consideration for the House of Congress, and making the decision to sit with us while discussing financial programs. This is no ordinary day in life. Minister, told me the lie; for today, the paradise is a one year's birthday and is still alive, though it may be said of health.
ParlaMint-IS_2017-05-24-71.u131	Don't ever go any faster.
ParlaMint-IS_2017-05-24-71.u132	I guess she's at best depending on the events, as they often say. Happy birthday.
ParlaMint-IS_2017-05-24-71.u133	Thank you.
ParlaMint-IS_2017-05-24-71.u134	A respectable president. I will discuss in my speech the minorities of the Joint Committee on Health Committee issues. The work of the Committee is complex and important, touching all the people from the cradle to the grave, i.e. Health and pension insurance, social services, children's affairs, activities of the elderly and of the disabled, housing, employment markets and health care. A financial programme on the Committee was generally discussed with the work ethic and procedure involved in the matter of convergence. For the first time in a new legal environment, work was rather cautious, searching, and unremarkable in many respects. They were all in the same boat. In the course of time, it is important that the fixed committees be able to discuss a much more detailed budget with longer notices and that the analysis and treatment of the programme should be decided. Then there is an insufficient basis for the development of financial programmes to be clear, and there is a much higher basis, especially for the format of numbers. It is a simple, unsolved job if the above does not have access to the estimated cost of individual action, as far as possible. The need for a standard procedure on how to estimate the cost of action in this important policy plan is needed. The need for increased transparency, such as the public financial law, and the publishing of budget costs is broken down by segregation. Then it shows amazing relief, I don't take deeper in the year, that the production of financial programs is not disintegrated on the other hand, the cost of business costs, and the cost of individual investments in a specific language field. But that was the first time that many have had a reputation for doing so. In short, I'm going to explain the UN's position on the main issues involved in welfare matters. Our agent on the budget board, huh? paritaprevir In his speech, Oddný G. Harðardóttir, has made a detailed explanation of various factors that are related to the different categories of languages and the changes that we make as a whole, all well - worked and put forth with a great deal of responsibility. The red thread is improved in the interests of public employees and has increased equations, justice, and fairness in society. Regarding hospital services, the financial program shows that contributions to it grow somewhat, or about 16 billion between the period and the year 2022, or about 20%. Of these, the contribution to the construction of the new Brotherly Hospital, 8.7 billion, and additional contributions to other aspects of 7.3 billion, which is a 9% real increase over time. If this becomes the conclusion of the programme, it will be clear that in the next year, all health - care institutions of the country are faced with a problem, and immediately this year's work is on the horizon. This is true of the International Hospital and the Akureyri Hospital, as is true of other health institutions around the country. This increase is much less than the minimum supplementary need, e.g. The hospital has estimated that the hospital needs to be run, including the hospital. Due to population development, shortlists, minimum maintenance, and equipment purchases, as well as other urgent tasks. Only the land hospital alone will probably need 5 billion bucks. in addition to getting to a reasonably quiet sea, or in a sea of at least For a while. The financial agenda is not clear whether funds are set up for the foundation of the Akureyri Hospital or for the period in which they will fall. Clearly, major improvements and construction projects are being carried out in more public places around the country, e.g. and on Selephoss, and on Aclinai, and in Stykkisolmi. It is not in any way possible to see whether any money is set aside for these projects in an existing financial programme and more likely not to be. There will be disagreements and problems in the activities of these institutions. Health care in the country is a service that serves as a medical service outside the hospital. Health care in many parts of the country has been unsatisfactory in recent years, and it has been since the financial breakdown when the number of doctors disappeared from foreign work and others who were finishing their studies drew home. This can be dramatic, for they are young families that are easily rooted if they are overindulged, children go to school, and grow and thrive in a group of friends. This is the new reality today, and it shows us that if we are to return to the country's young Icelandic doctors who are going to study abroad, we must do well in building health care. During all this period, national health centres have been overcrowded and the most urgent projects have been solved by construction services and human resources. Over the period, large increases in pay paid by physicians, including contractors, have not been improved as part of the government's pay system. The government's Accounting, the Ministry of Health, the Ministry of finance, has agreed to the work programme for recruiting doctors outside the state's pay system. When asked whether to improve the pay raise to the contractors, there will be few answers, and in fact, people look away and say, "Sorry, man, I'm sorry. That is the physical answer. The existing financial strategy does not assume the effort that is needed, as you can see. If there is a goal for health care to be the first site of health care in the health system, it is necessary to review the network of stations, especially in the country. In addition, health care issues are a special challenge in view of the new payment system that brings further work to the health - care providers on an increasing scale. This requires increased resources, both in the situation and in the order of professional people. A new health - care system was started on May 1 last. The annual cost is estimated to be about 1.5 billion. The change means that you have a temperature of less than 70. K. a total of over a year's pay program for public patient services for health care, hospitals, specialist physicians, imaging, research and training. The change is largely funded by the provision of costs from those who need much health care to those who need less service. This means that for the very best possible service required, the costs of expert physicians and for research and imaging will rise considerably before roofing. We agreed to the law, the health minister promised that the roof for the general patient would be reduced to about 50. K. and financed by 2017, but as we have seen, there will be no change to the plan. The body feels that the public pay sector is already too high in the medical service, that the current operation is overreached, covered, and the risk of an increase in large numbers of users will lead to an even higher level of money - rich groups denying health care. The body suggests that health care will be free, and it spoke in the concierge of the election that the payer of patients would be reduced in resources. The Consistency proposal for its first phase is now scheduled for a welfare committee and is, in effect, on the way that health care will be free, the medical services outside the medical facility will not go up to 35 of you. K. each year, the funds companies of the elderly and the disability of dentists will be reduced. Hospital transport is part of a basic health care facility. No more a contract about the move in the country. Contracts with Iceland's Red Cross on business and the operation of a medical vehicle on behalf of the Ministry failed two years ago. Despite the advances of the red cross, which are owned and operated on by the automobiles and their equipment, the problem has not been resolved again. The Ministry has not given out whether the agreement will be made with the same parties, whether the Ministry will accept the ministry or the service will be offered to the private person. I wonder if there's fish under a rock. The contract is underestimated because of the increased cost of the ministry, which includes the field ministry. in ever better equipped automobiles, which in many cases are high - tech clinics on four wheels. No information on this material can be found in the financial program. It's not a big deal. For nearly 60 years, Iceland's Red Cross has been very successful and successful in working with them. It is a business service that is not performed for profit, but the Red Cross is of great value, including the Red Cross. for emotional reasons. Nurse and rehabilitation services are a major part of the tasks under this group of paintings. According to financial programmes, five new nursing homes are planned for the year 2022, but the schedule is not different for the number of spaces to be used. On page 18. 68 this fine publication speaks of a 261 compartment, later spoken of 292 spaces in the same publication. There's about 31 spaces at a cost that runs at more than 300 million. K. A year's basis. This increase is not at all sufficient to solve a major problem in the capital area. In the article, you can read that this space is down to 212. They do not have enough space to solve the problem in the capital area and likely study only half of the estimated need to be 2020. In addition, increasing the daily cycle is expected to be by 150 between the period and the year 2022. It is then assumed to improve the instruments and meet the security and construction requirements in many elderly institutions and to expect that during the period, there will be a reimbursement in 115 compartments. The lawsuit has an estimated total of about 5 billion dollars. which is nowhere near the actual expenses that come from these projects. The services of the nursing homes begin in stages until 2022. Their operation is costing the current price of less than 3 billion a year when all of them will be in business. With this in mind, however, it is gently estimated that the cost of operating will be over 10 billion dollars in the period. One hundred new day space, as well as the use of 150 each day, is likely to cost about 1 billion. Refining is an uncertain amount of money, but it is likely to run to 400,600 million. K. The conclusion, then, is that if plans are to become reality, they need substantial financial support. It is also noted that nursing homes are already subsidies, and many are in business problems despite a recent service contract with Iceland's Medical Insurance. It is estimated that the nurses'daily expenses are too low to achieve a stable operation. A respectable president. Drug and medical products are products that Iceland consumes with great anger and more than any country in Europe in repeated surveys. No particular reason for this observation has been investigated. The goal of the government is to increase the number of new drugs produced, but the weight of the body is not clear. However, the costs for the induction of new drugs and the high drug consumption in Iceland in general have been improved, and financial programmes do not seem to predict the inevitable trend that appears to be imminent, i.e. increased expectations for the production of new drugs that are constantly increasing, evolution, and aging of the nation. In this regard, it is similar. New technology creates increased expectations. likewise, the MPA induction will require increased management measures, which can make the right helpers crucial to the quality of life in individuals with physical disability. There is no way to meet the expectations of efforts in the past few years, and in financial planning to the next year, there is no obvious improvement. This group is the subject of disability and the affairs of disabled people. Long-term changes in the rights of micro-lifers in the social security system in line with the changes made in the rights of nursing patients feel that the Union is a priority, and that was the campaign for the current elections for the last election. Unrecognised disclosure of these powers is not given until first of all in 2019 C.E. Meanwhile, micro-energy pensioners enjoy complex, non-transparent social security rights with a dollar in return to the worst. At that time, the Union stresses that prior to the recording of the performance assessments as foretold, the administrative part will carefully study the experience of other countries and the impact on the quality of the reevaluation such as. correspondent in Britain It doesn't matter how much that food is called which explains the position of people whose work ability is for some reason not 100% if the state or employment life as a whole has no obligations when it comes to recruiting part - time or with flexible hours. Some people need e.g. in animals, and still others, some days may have 100% functional capacity but for the rest of the time only with 20% ability. Some will never be able to crash their fields in a job market. They also need to be taken into account. The situation of those living in a country where employment life is less varied than in the capital area is also to be taken into account. If we are serious about taking action that can help to reduce the number of people with energy prices, we should focus primarily on the increased social equation, making sure that everyone can live in financial security and live with dignity. The United States is entitled to raise the income market for 25 - year - old pensioners from 25 of them. K. every month to 100 you. K. In the number of steps between 2018 and 22022, there is a change that only benefits those professional pensioners who have more than 25 incomes. K. a month, but it's a small smaller bit. There are about 14% of old - age pensioners who usually earn jobs and only one - third who earn money over this limit. Thus, the operation will not benefit the most lucrative pensioners. A bill to legalize disabled persons is now discussed on a welfare committee. The laws can include a great act of justice for this group if they are to be performed. A prominent aspect of this is NPA service or personal assistance. It is assumed that at the end of the period, in 2022, the subjects of the 172 service contracts will be implemented, but there is evidence that they are at the beginning of too few. Also there are signs that costors are very ill, i.e. the implementation of the contracts is of more value than expected in the plan. There is an uninterrupted conflict between the state's state and community on the cost of the State, and this may make a difference in the plan. When it comes to making contracts, service workers are also concerned about such matters, but there is a promise that they will be destroyed by a law that does not yet exist. A respectable president. Time flies as a shot. In terms of the topic of welfare committees in general, the Court's assessment of members of the United Nations is that it suggests a resolution of a financial programme for the years 2018/2022 would neither lay the basis for economic stability nor prepare the welfare benefits needed to promote social stability, balance, and better health services that the country has described tens of thousands together to be complete government priorities. That declaration, the demand for the public in Iceland, is not reflected in this financial program. Hv. paritaprevir The left green Steigur J. Sigfusson moved in the yesterday district a nuclear summary of the proposed proposal that Congress smell and end by saying that this was a hando-new document and that it should be flushed down the toilet immediately. Therefore, I agree with this rather than with the fact that our organization is an environmental class, we choose even more green ways and suggest that the financial program in the present form be placed in the paper-maker and that we accept a new program on the recycled paper, which will be considered primarily for those who are still involved; children's families, microdotalists, and the elderly. [[The president calls.]] [[The president calls.]] [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u135	Madam President. Thank you. In many respects, a member of the body of elders had a fine speech. I agree with very many of the things he was saying, especially when it comes to matters of disability. I think we have a job to do there, and we know the shame. On the other hand, I'm going to ask him to explain to me a little bit the adjustment proposed by the United States council representative, and I assume that all of the Group members of the United States are behind it. These are new taxes or tax increases over a total of 236 billion over a period of financial planning. I'm not going to discuss it specifically. Yet, it is a tiny disintegration. I notice it's about that. 54 billion on something called taxation on product and service, a change, should take effect from 2019 C.E. [[The president calls.]] What's that tax? What is this 13.5 billion tax every year? There are also 98 billion possessions. What cartels do people look to? [[The president calls.]] You must have it severed at least.
ParlaMint-IS_2017-05-24-71.u136	A respectable president. Thank you. paritaprevir Óli Björn Kárason for the inquiry. That's right, we in the United States have put in the broken program he's been studying. It's a pleasure and good thing to do. We put in a variety of transfers on income and income supplies. We watch to collect income from common resources. We make more money because of special taxes, high income taxes. There are other steps we can take to get into steps, which may be a rather long matter to talk about right now, but I think it will make sense in the chart we have sent from us.
ParlaMint-IS_2017-05-24-71.u137	Madam President. This is not clear in this overview, unfortunately, why. Senator. I'm just going to repeat the question: What taxes are being put on when it comes to product and service, 13.5 billion each year since 2019◯22022? There must be some tax you have in mind. I just want to know about it. I also want to know what 19 billion people are talking about in the first three years and then 20 and 21 billion in the second two years of growing property? That's got to be a lie. The Group of Group members must have made this clear, so we can see how practical these suggestions are. I'm just here to discuss that there's a chance of increasing property income. Although I don't see it, it's good to know where it should come from and how it should come from. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u138	A respectable president. I suppose that's what it is. A senator was here for a talk. paritaprevir It was her daughter, Oddný new Harðardóttir, where she listed it. I mean, I've got to be honest with you, but it's been working in a responsible way. Our U.S. Senate expert is Oddný Harðardóttir, and this is a full agreement within our council, we have a plan there.
ParlaMint-IS_2017-05-24-71.u139	Madam President. I want to thank you. A senator for a good speech. I'm interested in discussing only my priorities because changes and how we feed them and all that. That's right, there's a little extra funding to be added when there's no more money left to make adjustments. The priorities of this too can be discussed fully because, for example, it is a matter of priorities. reports in a financial program that the main cause of disability in Iceland is job - related diseases. These include motor and musculoskeletal disorders, as well as stress-induced psychiatric disorders. People are about to fall off the job market because of disability, but at the same time, we have a financial program that puts very little money into preemptive work. They don't look at it. The labour market is just supposed to take care of all of this. There is no way we can prevent disability from occurring. [[The president calls.]] We may be able to reduce stress by shortening the hours we spend working. [[The president calls.]] I just want to hear what you're doing. A candidate feels that his priorities can be changed, whether this cannot be changed by a change in priorities and a change in ideologies. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u140	Thank you. paritaprevir Halldóra Mogensen for the inquiry. Of course, we miss it in the budget, it's rather poor with new ideas, new paths. The assessment of performance has been subject to death without significant design. It is, in fact, very controversial as it can be easily distorted. We are concerned that this is not sufficiently prepared. Of course, things have developed in a job market, so the workweek is getting shorter. She has done so in our neighboring countries. I assume the same way will be developed in Iceland. Prevention in general, both health and social systems, is therefore of little concern to us. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u141	Madam President. Yes, we pay very little attention to prevention. An increase of 4% is expected to be known as the People's Health and Health Administration. Less than one third of that amount goes to human health, prevention and monitoring. It's just really weird, considering the situation we face ahead of us. Hv. A senator speaks of the performance assessment, which is probably one way the government is going to expand energy, i.e. getting people more into the job market. At the same time, however, the unemployment period is being cut short. I think it's so weird. What are we making out there? Is it not likely that people will just end up with their societies? It's always some kind of capitalization move. It's always being pushed from us from one field to an excel-tail to another, right now from the state to the countryside. I'm a little worried about it, and I'd like to hear about it. A senator feels that way.
ParlaMint-IS_2017-05-24-71.u142	A respectable president. You will agree that prevention is effective and important. Governments by government, health ministers by health minister have put this first, and the government's terms of the past governments have been stated that prevention, prevention, and these factors should be of value. But they're running the runt. Humans don't have patience. Of course, doing a predestination job is far more effective than anything else. That is true in many areas. Let's take the psychological service, the mental treatment of behavior, which they agree is an overexhaustible way. It takes more time, but it produces much better results for longer periods of time. [[The president calls.]] We need to be much more aware in this regard. Of course, financial initiatives in the workforce are expected, that's a good point. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u143	Madam President. Thank you. A member of the council for his speech, where he was especially involved in the legal affairs of the welfare committee. There are some questions I would like to ask him about that subject. First of all, hospital service. Hv. A senator took note only in his case that it would not be predictable that the need, the urgent need, of the land hospital would be met by any other hospital in the country. He named the hospital in Akureyri. I want to pray. A senator to explain to us whether he considers the suggestion made by his party here to be a minimal contribution to the need in the situation. On the other hand, I'd like to ask. A senator who made a program for patients' income. What a surprise it must be to know that there is no promise of the amount of payment left! I'd like to ask you what. A member of the Parliament will see how much money is needed to meet what was promised? [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u144	A respectable president. Thank you for asking why. paritaprevir Katrín, Jakobsdóttir's daughter. Of course, the Landstainal hospital had a difficult time before the collapse of the economy. It was just for crowning the problem in the collapse. This is absolutely a minimal need for the hospital for a while. Of course, however, a requirement for the hospital must be made as well, making the most of the changes and arrangements. I think there's going to be a place, too. It's a minimum amount, but there's no money missing into the whole system, not just the Land Hospital. This has to do with each other, if health care makes it all together. [[The president calls.]] I don't have the numbers about how much this would all have to be, but we're going to make 35 of you. K. Which we believe is a direction. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u145	Madam President. Thank you. A senator's answers. Hv. A senator points out that there is much that can be done to manipulate the health - care system. I completely agree with that for a long time. That's why I've suggested a change in plans for the last income plan to be adopted as a sugar tax. It was rebuffed despite scientific recommendation that it was important to use the tax system to reduce long - term health costs. This was completely incomprehensible at the time, especially in the light of Iceland's sugar intake. But I'm glad to hear that I feel that more senators are moving to this car. I'm very pleased with that. So I'd like to say, of course, that long term adjustments can be made, but we are in dire need now. So I'd like to ask you why. A senator how he feels about the suggestion of a greater part of the legal committee that a special political government over the Land Hospital must be considered. Because I know that it looks like more of the money committees don't want to recognize the need that obviously exists in a Land Hospital and plan to solve the problem that exists there by putting a political cover to the hospital. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u146	A respectable president. Over the past few decades, or as a result, the government's policy has been to reduce the number of government governments and make channels between government officials in public systems, institutions, efficient institutions, and more responsible rulers in their work. Government policy has been to reduce the number of governments, rather than increase the number of them. As for the Land Hospital and the Government there, the National Hospital is a natural individual institution in the country, large and great, and much energy goes on to communicate with the Ministry and the information presented in this regard, it has been thought mainly as a professional government, as far as I understand it, to support the director. [[The president calls.]] But government policies have been reduced, not increasing, in number. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u147	V.E.G. President. I'd like to start by saying thank you. A senator for the speech. I agree with him about the importance of our efforts to promote health care for the country and the importance of reaching out to people on health care around the country. We need to work at that. I'd like to ask the question in this context. A senator likes suggestions. In an effort to get health care professionals to work at clinics in a country where there is a shortage of workers, the panels of the Parliament to use the student loan system as an incentive. Then you could, for example. Gets a discount on student loans if you took yourself into an institution at some point.
ParlaMint-IS_2017-05-24-71.u148	A respectable president. Thank you. paritaprevir Arnardóttir Arnard's daughter for the inquiry. Of course, it is a well - known arrangement from other countries to provide support in this regard. I'd like to take a good look at this, but Iceland is a different country than, for example. Norway. We need to evaluate where we are going to draw the line, which area to take out as peripheral areas. But I am convinced that this can affect and encourage especially young people in the country, which is what we want. I think that once people are settled in the country, most people will be comfortable there, and the chances are that they'll stick to more than that.
ParlaMint-IS_2017-05-24-71.u149	V.E.G. President. I'd like to start by saying thank you. A good answer from a senator. I wholeheartedly agree that, then, the first step is to identify the areas and find out where people are lacking and which territory needs such measures. Also discussed. A senator on the importance of new medication, and the need for us to stay, for example. not back from the rest of the North on the induction of new drugs. So I'd like to ask you why. Senator: He's under the authority of this man. A member of the welfare committee that calls for increased cooperation with medicines, thus getting access to larger markets and new and better medicines, to reduce the risk of losing out because of approved drugs that would improve the quality of those to whom they need them? [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u150	A respectable president. It has now been a decade and a half since men began to shop for a common drug in all the states of the North. We haven't gone far, but it's going up as far as it's concerned. The minister and the Ministry have informed us about the welfare committee meetings. It's a damp way. Some agencies have saved up to 70% of the price of these joint purchases. There's a lot of money in a small country where there's a lot of pressure on the new drugs. We live here. I hope we can do this by paying for the street of new drugs.
