ParlaMint-NL_2019-11-28-tweedekamer-8.u1	We will continue with the discussion of the budget for external trade and development cooperation.
ParlaMint-NL_2019-11-28-tweedekamer-8.u102	I understand your reasoning, but we have looked very closely at strengthening the structures there, so helping to set up some kind of state forest or something like that. I don't think it's gonna do us any good anywhere in the world if countries put 1 million twigs in the ground that end up dying. That's not gonna make any sense. So it is precisely to help these countries to reforest in a good way, but when it comes to the source of funding, I would like to look at that.
ParlaMint-NL_2019-11-28-tweedekamer-8.u103	Then we go straight to the Amendment No. 16 by Mr Bouali. In it comes the coverage from the correct budget article, Article 2. That amendment also refers to deforestation. The desire to support local farmers on the contrary in terms of sustainability and the doubling of our commitment to deforestation are further reflected in the letter. This is Judgement Room. The budget article is also correct. Perhaps Mrs Diks and Mr Bouali could go together.
ParlaMint-NL_2019-11-28-tweedekamer-8.u104	It's Judgment Room, Mr. Bouali. Do you have a problem with that?
ParlaMint-NL_2019-11-28-tweedekamer-8.u105	No, I have a question. I have no problem with it at all, Madam President. In fact, I'm very happy about that. I had asked the Minister if she could see if this...
ParlaMint-NL_2019-11-28-tweedekamer-8.u106	Just a little louder, because it's not easy to understand.
ParlaMint-NL_2019-11-28-tweedekamer-8.u107	I had asked the Minister to consider whether this could be done in a structural manner and whether there were opportunities for doing so in the long term.
ParlaMint-NL_2019-11-28-tweedekamer-8.u108	It is an amendment to the budget for 2020. We are therefore talking about this budget, but we are structuralally working on plans to combat deforestation and make it more sustainable.
ParlaMint-NL_2019-11-28-tweedekamer-8.u109	Mrs van den Hul, on this amendment?
ParlaMint-NL_2019-11-28-tweedekamer-8.u110	No, Mrs Diks reminded me that we have not yet heard an opinion on my amendment to item No. 13. Maybe we missed that.
ParlaMint-NL_2019-11-28-tweedekamer-8.u111	That has been replaced by the amendment to item No. 23.
ParlaMint-NL_2019-11-28-tweedekamer-8.u112	Yeah, that's right. Then there is the amendment to item No. 18, on the increase of 5 million for the imvo-diplomacy. I would advise against that amendment. There is no question of increasing capacity. We have the guidelines. The next year will also start to assess the effectiveness of working on the posts. After that, by the end of 2020, we can see if there's anything going on. This amendment is anticipating the matter. I understand the intention of the amendment, but I advise against it. The amendment in part No. 19 of Mr Amhaouch and Mr Weverling I leave to judge Chamber. I'm gonna go along with the thought line of the extra impulse. It is very important that ROMs are able to participate very actively here, but I would like to point out that we cannot exclude other partners, because of course we are going to look at the most effective form of cooperation. So if I may interpret your amendment in such a way that the partners can join, that is very nice, especially when we look at the cooperation between national and regional public partners in Trade & Innovate NL to support SMEs. I shall now turn to the Amendment No 1, tabled by the Committee on the Environment, Public Health and Consumer Protection, on behalf of the Committee on the Environment, Public Health and Consumer Protection, on the proposal from the Commission to the Council (Doc. 20 by Mr Stoffer, on the
ParlaMint-NL_2019-11-28-tweedekamer-8.u113	Let me say a word about our amendment to item No. 19. This is our approach because the ROMs have national coverage. Of course it's okay if we can join forces there, but we shouldn't turn it around, because then we get a whole distribution and then we have nothing.
ParlaMint-NL_2019-11-28-tweedekamer-8.u114	I confirm that the core is definitely leading. Then there is the amendment to item No. 20 by Mr Stoffer, on the release of 5 million within the SDG 5 fund for the financing of good mother and child care and information on alternatives to abortion. For technical reasons, I must advise against this amendment, Mr Stoffer. You may have expected us to be very far apart, but it is precisely about good information about sexual rights and about health rights. Good information also points to the alternatives. It is not a clear path to abortion, far from it. I therefore think that sometimes the image does not fully reflect what is actually happening. Since we are going to get the tender, I cannot accept this amendment. Within the tender, we look at everything that can benefit the mother, and possibly the child, the unborn child. Then there is the amendment to item No. 21 by Mr Alkaya, on additional funding for Education Cannot Wait. We're already making a contribution. At the moment it is not foreseen that we add extra money. I'm on the steering committee, too. The Netherlands is closely involved in Education Cannot Wait, so convinced of the importance. Then there is the amendment to item No. 22...
ParlaMint-NL_2019-11-28-tweedekamer-8.u115	I understand that the opinion of the amendment on item No. Twenty-one is dissuaded?
ParlaMint-NL_2019-11-28-tweedekamer-8.u116	Dissuade, yes. Excuse me. Then there is the amendment to item No. 22 by Mrs Ouwehand, on fulfilling the minimum commitment of the Netherlands in the area of climate finance for the year 2020 and on adding 130 million coverage from the budget surplus. I think I have already made it clear that we are doing a lot. In 2018, we achieved more than 1.076 billion. By 2020, it mobilised 1.12 billion public and private. The coverage for this amendment is also lacking. Coverage from the budget surplus is not an option. I advise against this motion. Then the motion to part No. 23 by Mrs Van den Hul.
ParlaMint-NL_2019-11-28-tweedekamer-8.u117	Very briefly, Mrs Ouwehand.
ParlaMint-NL_2019-11-28-tweedekamer-8.u118	The Minister says we do so much already. But does she at least acknowledge that the General Court has established that we are simply not achieving what we promised for climate finance and that the cabinet itself is abandoning the budgetary rules? The Court could therefore assess whether it wishes to remove this cover. The cabinet must feel that it is fulfilling its own commitments on climate finance. Right?
ParlaMint-NL_2019-11-28-tweedekamer-8.u119	We are, of course, committed to meeting our own commitments. Furthermore, I still advise against this motion in the context of everything we have discussed before. Then I shall continue with the amendment to item No. ...
ParlaMint-NL_2019-11-28-tweedekamer-8.u120	23.
ParlaMint-NL_2019-11-28-tweedekamer-8.u121	23 by Mrs Van den Hul. The proposed text is at the expense of other priorities within the same article, such as access to justice and other important things. I understand very well; it actually comes back to the motion on humanitarian aid. If there is money and space at some point, this is always actively looked at, because it also looks at reception in the region, which is also a migration interest. But at the moment I have to discourage this amendment, including in the context of coverage, Article 4.3. Then I have an amendment by Mrs Ouwehand, on item No. 24, over $1 million for Movement on the Ground. That's a hell of a organization. As I said in the debate with Mr Voordewind, we share the concerns about the harrowing situation of next winter. Although, by definition, we do not spend money within the European Union from development cooperation, I have said that, exceptionally, I release non-ODA money as a rather symbolic amount. This is also in line with my colleague Mr Broekers-Knol's decision to send 30,000 blankets to the Greek islands. But we don't spend money on organizations. So I am not doing so now by means of an amendment. I have made a commitment and I will inform the Chamber about the amount and the organisation that best fits in with it. So I did not recommend this amendment. Then there is the amendment to item No. 25, by Mr Weverling, on 4 million for cross-border innovation. I leave this amendment to the Court's judgement. I have something to add to that. If Mr Weverling is referring to cooperation in the field of research and development, I have to tell him that this really is all about my colleague from the Economic Affairs Committee. Of course, we want to look at strategies that focus on a combination of trade and aid, but I also think that was Mr Weverling's approach. Judge Room, then. Then the last and not the least. That is the amendment to item No. 31, by Mr Voordewind and Mrs Kuik. I think that amendment is very sympathetic. We always close the queues when it comes to combating child prostitution. We already do, and we're gonna keep doing it. I am opposed to the designation of specific funds within a policy article, but I can promise that child prostitution will remain a priority. It will probably not come from Article 3, but money will be found for this important work. That's a tough commitment. I hope that will allow me to leave this motion to the House.
ParlaMint-NL_2019-11-28-tweedekamer-8.u122	That was the amendment on item No. 31?
ParlaMint-NL_2019-11-28-tweedekamer-8.u123	Let's see, yeah. That was him. The amendment in part No. 31 gets judgment Chamber.
ParlaMint-NL_2019-11-28-tweedekamer-8.u124	Okay, then that's clear. Mrs van den Hul, I will give you the floor if one of your questions has not really been answered.
ParlaMint-NL_2019-11-28-tweedekamer-8.u125	The Minister's last appreciation has caused me some confusion. I share the Minister's concern about the coverage of the amendment. I fully share the interest of the proposers, but it was not quite clear to me what the minister just said about the coverage from SRGR. Is it going to implement the amendment, but is it guaranteed that it will not take the cover out of the item proposed in this amendment?
ParlaMint-NL_2019-11-28-tweedekamer-8.u126	Yes.
ParlaMint-NL_2019-11-28-tweedekamer-8.u127	Okay.
ParlaMint-NL_2019-11-28-tweedekamer-8.u128	Also because the framework has not yet been published. So we can't, and we don't sort for organizations. I want to secure the theme.
ParlaMint-NL_2019-11-28-tweedekamer-8.u129	Thank you. It was Judgment Room, Mr. Voordewind.
ParlaMint-NL_2019-11-28-tweedekamer-8.u130	It's an amendment. Well, I guess I'll just have to make it clear what it's paid for. Well, then we'll have to discuss it. I see the Minister is receiving a ticket now.
ParlaMint-NL_2019-11-28-tweedekamer-8.u131	The Minister probably has the answer.
ParlaMint-NL_2019-11-28-tweedekamer-8.u132	I'm lucky to be helped by some angels behind it.
ParlaMint-NL_2019-11-28-tweedekamer-8.u133	I would like to tell the Minister that it is of course nice to have a continuation of programmes, that we do not destroy existing programmes and then start very new things.
ParlaMint-NL_2019-11-28-tweedekamer-8.u134	That is certainly not the intention, but you will also understand the following. We just discussed the new framework. It's still to be published. There's plenty of space there, too. In any case, I believe that a number of organisations can also find their place under SRGR on the basis of quality, continuation and results. I have been corrected: it can be found within Article 3. But I do not want it within the framework that has yet to be published. That has also been an answer to questions from other colleagues. But because this is a unique niche, which has results and is carried Chamberwide, it is important to ensure that. That's the stakes, and I commit to that.
ParlaMint-NL_2019-11-28-tweedekamer-8.u135	Thank you. This brings us to the end of the debate on the budget for external trade and development cooperation.
ParlaMint-NL_2019-11-28-tweedekamer-8.u136	I would like to thank the Minister very much for her presence and answers. I thank the Members of Parliament. We will vote on the motions tabled next Tuesday.
