ParlaMint-NL_2019-02-13-tweedekamer-8.u1	The next item is the debate on dealing with the consequences of the continuing drought.
ParlaMint-NL_2019-02-13-tweedekamer-8.u58	I'm thinking, when's he gonna come up with the real problem? Were there any problems with the supply of drinking water last summer? Were there any supply problems? Have farmers, farmers, been affected? Has it affected inland waterway transport? Were there advice given not to water your garden? Surely you cannot deny that there have been problems last summer due to the drought, whether it is due to the climate or not? You have to address these problems and come up with solutions to them.
ParlaMint-NL_2019-02-13-tweedekamer-8.u59	My colleague from the VVD is just a little early, because my next cup is right: problems surrounding the drought. I indicated in the first part that it is bizarre that they link it to climate change, so there is no such thing at all. That we have had problems with drought and that we must do something about it, certainly! We agree on that. I will come back to that in the future.
ParlaMint-NL_2019-02-13-tweedekamer-8.u60	I'll listen to you with a lot of attention.
ParlaMint-NL_2019-02-13-tweedekamer-8.u61	Listening very well to the PVV seems very sensible, even in other debates. Maybe the VVD will learn something from that.
ParlaMint-NL_2019-02-13-tweedekamer-8.u62	You will continue your speech.
ParlaMint-NL_2019-02-13-tweedekamer-8.u63	Impact definitely has the drought. Our agriculture, our livestock farmers, our industry and our inland waterways all notice the consequences in their daily work and in their wallets. The PVV stands firmly behind these entrepreneurs and takes these problems seriously. It is therefore important that the Drought Policy Table, which is now set up, should come up with recommendations that can be implemented in practice. The PVV would like to be able to take measures for the next dry summer that address the unforeseen problems of 2018, such as the fact that more groundwater was extracted than was foreseen. These measures can make it possible to combat the salinisation of the IJsselmeer or the Amsterdam-Rhine Canal more effectively in the future, to ensure, in the run-up to the summer months, the storage of extra fresh water, to better identify risk areas for dry periods and to ensure a good supply of fresh water to these areas. The PVV calls for the upcoming process to focus on these factors and to use the knowledge and expertise of the parties involved. We will keep our finger on the pulse in the coming period when it comes to the elaboration of the recommendation of the Drought Policy Table. The PVV would also like the Ministry to respond to the appeal of the Association for Energy, Environment and Water to provide the sector with more clarity about the displacement series. Companies using fresh water need to know where they are on the priority list of their use. Finally, Mr President. Fortunately, in the dry summer of 2018, the drinking water supply was not in danger. The salinisation of water in the west has been countered by the supply of fresh water from the Amsterdam-Rhine Canal. Also there are no dikes succumbed to the drought. I would therefore like to end with a great compliment to Rijkswaterstaat, the water boards, our water companies and the entire water management that has fought this for each other. They will continue to be able to count on the support of the PVV to ensure that our country is able to fight the negative effects of drought even more effectively. Thank you.
ParlaMint-NL_2019-02-13-tweedekamer-8.u64	Then I would like to give the floor to Mr Stoffer of the SGP.
ParlaMint-NL_2019-02-13-tweedekamer-8.u65	Mr. Chairman. It was indeed a year of extremes: a very wet beginning and a very dry summer. Now I'm from an environment where you can't complain about the weather. With us is the saying: Whoever grumbles on the weather, grumbles on the Lord. We do not, but it is important to prepare ourselves for periods when it is wet and for periods when it is dry. I want to make three points tonight. That is, firstly, agriculture. When I got here, I traded agriculture for I&W. I thought I'd never have to talk about it, but it's gonna happen tonight. I would like to talk about the crisis talks and also about the Drought Policy Table, which Mr Van Aalst also spoke about a moment ago. Maybe that's because we ate together tonight. It wasn't the policy table, but it was a good table. Mr. Chairman. Agriculture. I think it is quite clear that many farmers and dairy farmers have been deeply affected by the drought. The extreme drought also makes it very difficult to meet all kinds of rules and conditions as a farmer, for example for the cultivation of catch crops. If that is the case again in the coming years, we would at least like to call for sufficient flexibility for farmers and also for them to be able to clarify quickly any changes to the rules. It's very good to just clarify that. Then there is another point which came to our attention and which I am sure the Minister knows but is painful. In Flanders, the drought was declared an agricultural disaster for which farmers can be compensated. We heard examples of farmers on the Belgian side of the border who received a few tonnes of compensation, while farmers in the Netherlands received zero euros. We believe that this is an undesirable situation and an uneven playing field. I wonder how the Minister looks at that. As far as we are concerned, we need to tackle and improve the broad weather insurance that Mr Geurts has just spoken about. We must also work towards broadening the risk instruments. We are in favour of investing in practical research. Farmers obviously have a lot of experience in how to handle wetness, but they need to gain more experience in how to handle drought and how to retain water in the ground during that period. Mr. Chairman. The crisis talks went very well. All the compliments that have just been given for the discussions and for how it has been done, we would also like to express our appreciation to the State of the Netherlands, the water authorities and all the others who have been involved in this. It is very nice that the drinking water companies have also joined in, but we understand that this was not really a standard situation and that it happened because the situation practically asked for it. Our question is whether a standard protocol will be established in future if these situations occur again, whereby drinking water companies will be directly invited. Then there's the problem. Of course, the main water system was very much looked at, but the real problem actually started on the high sandy soils. There it started much earlier than in the rest of the Netherlands. My question is that next time, when it starts there, perhaps we should try to scale up something national instead of something regional. I'd like to hear the Minister's opinion on that. Finally, the Drought Policy Table, which has just been mentioned. We are very pleased that the Minister has set up that policy table. We hope, for example, that there will also be a review of the plans for salinisation and that we will see whether the displacement series has worked properly, particularly as regards the position of agriculture in that area, which is now very much behind. Is that desirable in all cases, even in the future? I would also like to mention shipping. He's been in my heart my whole life. Shipping has had a lot to do with the drought. My question is whether it is possible to look with primacy at obstacles to locks and at the hard layer in the Waal near Nijmegen in order to prevent shipping from continuing to run into this kind of bump in the future. Thank you very much.
ParlaMint-NL_2019-02-13-tweedekamer-8.u66	Thank you. That brings us to the end of the first term of office. The directors have indicated that they need about ten minutes to prepare themselves.
ParlaMint-NL_2019-02-13-tweedekamer-8.u67	I would ask Members to take their place again and I am happy to give the floor to the Minister. Go ahead.
ParlaMint-NL_2019-02-13-tweedekamer-8.u68	Thank you, Mr. Chairman. It has indeed been some time since we felt that we were in the middle of the drought. It has also been a very special period. I think many of us shared the surprise that we could experience such an extremely long period of drought. When I arrived as a minister and had water in my wallet, I was mainly working on what we have a lot of experience with in the Netherlands: water safety. I was working on the water level descents, which I tried to reach by the rivers when there was a high supply from the rivers. And of course we also have a lot of experience with water that is no longer completely clean: we have discussed medicine residues in the water and all kinds of problems around too dirty water. Too much and too dirty, we were already on top of that. But now we're dealing with too little. And not a little bit. It was a really long period, which meant that we had to start the crisis talks. And each time we ended up in a scaling-up, which we hadn't thought possible in advance. Many of you have already mentioned it: fortunately we have very skilled people in the Netherlands in the water sector, from our own ministry to Rijkswaterstaat, to all over the waterboards, the drinking water companies and the provinces. There are people who know things everywhere. This has also ensured that this has not been a crisis experience for the average Dutchman, despite the fact that we had for a long time a crisis organisation in the legs that was really needed. Before that, I would like to congratulate all those people who have worked so hard on this. I visited them once this summer with a large number of muffins to put a heart under their belt, when they were meeting again. Those people have done really, really good work. We have also noted that a lot of measures proved to be working well. These measures had been devised in recent years, but they were never needed before. For example, the small-scale water supply to the West of the Netherlands. This afternoon I went back to Friesland to make nice appointments at the IJsselmeer. Last year, of course, we could have made the agreement on the broad agenda for flexible level management on the IJsselmeer. Those people who were already working on this with a vision have taken it well. The smart water management of joint water managers has also paid off. Those are lessons that we have left over to the previous dry period. The last extremely dry summer was in 1976. Some of you have already mentioned that. But what were the special situations we ran into? Mrs. Van Brenk asked about that, too. Weren't there any unexpected things? There were indeed, because it took so long and was so extreme. I could never have imagined in advance what we should have done this summer with regard to salinisation in the IJsselmeer. Of course, all kinds of innovative things have been done. Apart from that we often spout, salt bubbles have been flushed and a bubble screen has been placed. But the ultimate thing we had to put in was the tankers. We had to charter them, because at Andijk the intake point for drinking water came dangerously close to a chloride content and salt content that we would not find pleasant. We never got into that extreme situation, but we were close that we should have landed fresh water by ship in order to secure it in the same way. We were able to take measures in time, but we had to take those measures.
ParlaMint-NL_2019-02-13-tweedekamer-8.u69	Would that have been foreseeable, could it have been taken action earlier, or could we have seen it coming sooner when it has come again? It was really ad hoc. I think it's better if we see it coming. How could that be?
ParlaMint-NL_2019-02-13-tweedekamer-8.u70	That is one of the points we are going to look at at the Dryness Policy Table: where did the critical points arise? For example, you can also see these with regard to groundwater, on which you have also made a number of comments. We are going to try to address each other at that table what you can do about getting the salt of the IJsselmeer before. We have been able to control it now; we have not had to appeal to dune water resources in North Holland. But these are things that you would like to look at in depth, especially with experts, to see how we can do even better in the future. We've seen salinization in several places. On the one hand, the water supply was getting less and less, with all the consequences. On the other hand, the problem increased by reducing the back pressure of the fresh water against the salty sea water, which threatened to bring the salty water with zoouttons much more inland. Those are new situations. We need to look closely at how we want to deal with this in the future. Some of you have asked questions about the displacement series: should you not give further clarity on certain points? For example, I can mention a lot of subjects that we say should be properly examined at the Drought Policy Table with all the experts. Along with the evaluation we make of the entire process, I will send it to your Chamber. We will, of course, address the recommendations and the measures that emerge from the Dryness Policy Table so that we can discuss this with each other. It is indeed also an important part of the Spatial Adaptation Delta Plan, on which a large number of Members of Parliament have made comments. There is a legislative change in the process. I am not looking in the direction of Mr Geurts, who makes it possible for the spatial adaptation resources to be made available when we have later amended the Water Act. We have also made funds available for the first two years to get pilot projects off the ground and to spread the knowledge needed more. Then we hope to have the legislative change in place, so that several projects can be financed from it. This was a general introduction, in which I have already touched a few points. I should now like to look at the specific questions in order of the speaker. I shall begin with the first speaker, Mr De Groot. He specifically mentioned that we should explicitly look at the integral river management. That's one of the lessons we learned this summer. At the High Water Protection Programme. The name says it already... we were very focused on the maximum water level you want. One of the things that will have to be addressed in integrated river management is a minimum that you want to keep, to prevent salinity, but certainly also to keep the rivers navigable, I say to all the MPs who love inland navigation. That is another way of looking, not only at too much water, high water, but also at low water, the navigability and everything that comes with it. It is not just about navigability, by the way. Some of you have also asked questions about what it does with the quality of the water. Well, we also saw this summer, for example, that it is about the entire river basin. If you get a smaller amount of water from Germany, dioxane, a substance that is in the water by the German industry, is present in higher concentrations than is normally the case. We've monitored that well and it hasn't gotten into the danger zone, but it's a matter you need to keep an eye on. Mrs Van Brenk asked whether we should not look at the discharges, because they are flow dependent. That is also a subject that we, of course, are studying very well with all the experts at that Policy Table Dryness to see if there is anything needed and in what cases it could be improved. So lessons from Space for the River take us very well, but we also see if that same nature is also suffering from drought. However, Mr Schouten will of course say more about nature. Mr De Groot has also asked specific questions about the waterboards. I have just included them in my compliments for all the extra work that has been done this summer. I also notice that the waterboards are already working seriously on preparing and preventing 'what if'. No one has that guarantee and no one knows whether or not we're going to have another dry summer. I very much agree with the speaker, Mr Futselaar, who said: whether it is dry or wet, in both cases you must be prepared for it. That's definitely what we're gonna do. You can see that the waterboards... Mr Geurts gave examples of this: a balloon in a diver or a plan in a ditch. Everyone is encouraged to retain as much water as possible, especially in those areas where groundwater is far from up to scratch. So the waterboards are doing a very good job on that. The waterboards also have an important role to play in the climate adaptation. Mr De Groot rightly pointed that out. The stress tests carried out by municipalities will, of course, also have to be coordinated with the water boards. Mr Schouten will deal with the peat meadow areas in due course, because this is more linked to agricultural use. By the way, let's not forget that this is also linked to nature, but it belongs to the same colleague! But we also have to remember that the problem of soil decline is of course also taking place in urban areas, where you have problems with pile rot, saggings and so on. Soil decline is happening throughout the Netherlands. You may also all have been watching the programme Heel Holland Bakt. Well "Hel Holland Zakt" is also a one-liner that can sit between everyone's ears, because we see that in all possible places. So we have to look at this very widely, not just at the agricultural sector, because we will have to work on it in the urban area as well. Back to Mr De Groot's questions on the waterboards. You have also, Mr De Groot, asked questions about the composition of the boards of the water boards. Specifically, you were talking about the secure seats. I would actually like to come back to that in the run-up to the elections of the waterboards in 2023. Now they will be very soon, namely on 20 March. The pleas of your colleagues in the Chamber to vote above all, I agree, because it is really about something. It's not just about those dry feet, it's about a lot more. It's also about water pollution. And again, the role that water boards play in climate adaptation is also a very important one. Waste water treatment is another important point, which everyone has to find out about. So if we prepare ourselves well for these next elections, I can also take advantage of the opinion of the Water Advisory Committee on this matter. That committee makes an evaluation of the waterboard system and that is also part of the system of the seats that have been secured. Then there's the own-initiative paper. In it, Mr De Groot asks the question, together with Mrs Bromet, which is not entirely surprising, given your joint activities, why the waterboards do not decide to set up higher polls. Do I want to talk to them about that? The province is, of course, primarily responsible for spatial planning and job allocation, including the distinction between housing, agriculture and nature. Next, it is the task of the waterboard to facilitate the socially desired functions as best as possible with level decisions. Waterboards do so by all means available to them. They must do so at socially acceptable costs and in conflicting interests they must look for an optimum. There are, of course, political choices to be made. This has once again been said how important democracy is in these waterboards and how important it is to vote for them. You're asking me to talk about that. Of course I am prepared to discuss this; it is part of the ongoing discussions we have in the Water Steering Group. We are constantly in consultation with all the partners involved and, moreover, with research institutes which look very strongly at this. Then we are talking about Deltares, then we are talking about agricultural university Wageningen; all the parties who know about it think with us.
ParlaMint-NL_2019-02-13-tweedekamer-8.u71	Have you answered all of Mr De Groot's questions?
ParlaMint-NL_2019-02-13-tweedekamer-8.u72	I think so.
ParlaMint-NL_2019-02-13-tweedekamer-8.u73	Then Mrs Bromet has a question.
ParlaMint-NL_2019-02-13-tweedekamer-8.u74	This affects a subject that I have touched on in my contribution, namely the absence of the Empire when it comes to the problem of soil decline. I hear the Minister say again that it is up to the provinces and the waterboards. But if we look for example at the concept of climate change agreement, in which there is a great challenge for the peat meadow area, it seems to me that there is also a directional role for the government. What is the Minister's idea about that?
ParlaMint-NL_2019-02-13-tweedekamer-8.u75	That we agree with that. There was also a motion by Mr Geurts in which we were asked to appoint a coordinating director for soil decline. That is what we, as a cabinet, are going to do. Interdepartmental consultations are also taking place at the moment. This is not just between the two of us; the Ministry of EZK is also part of it, as is the Minister of BZK, which is involved from the point of view of housing and the problems surrounding foundations. So we are discussing it and we will report to the Chamber before the summer recess how we get there.
ParlaMint-NL_2019-02-13-tweedekamer-8.u76	Thank you to the Minister for replying. I fully agree with the fantastic crisis management. I'll get back to you on that. My question concerns the following. You say we're going to take the lessons from Space for the River. That's very good. It is more than just navigability; you rightly emphasized it. But you also refer the question of nature to your colleague of LNV. But the nice thing about your job is that it can help nature, also to keep the ships going. This was already shown in Space for the River. So you also have a very important share of nature in your portfolio. So I'd like another reaction to that. My second question concerns the peat meadow areas. Actually, I have the same question there. Nature does not belong to others; you are at the head of the waterboard system. There has been a policy that has considerable disadvantages. You say you can take it with you in the conversations that are already going on. But that level fixation is definitely a theme.
ParlaMint-NL_2019-02-13-tweedekamer-8.u77	I certainly did not want to pass on the question to my colleague, because the word 'nature' used in it. That is absolutely not the case. If you are talking about integrated river management, then of course there is also the natural interest in it. Then there are also tourism and recreation. Then there's agriculture in that too. I just wanted to name it. When it comes to the level-driven drainage, that is more the expertise of Mr Schouten, so we are still maintaining that distribution. Well, at least the field of expertise. Then let's put it this way carefully. Then I have questions from Mr Geurts. A very broad question that was later asked by more Members of Parliament in a different form is what is really going to happen with preparations for the coming summer. Rijkswaterstaat, the water boards, all parties are already busy working on it. A first meeting has also been planned to re-establish the crisis structure if necessary. The measures from 2018 that have worked well are all being taken up again, but there is also, of course, explicit work on scenarios. You have asked a specific question about the NHI, the hydrological instruments we have. I can reassure you on that, too. Based on the measurement data and model calculations with the NHI and the knowledge of the experts, we now have a good picture of the rural situation of groundwater, which we did not actually have at the beginning of this crisis. That wasn't so easy to bring out everywhere. That was one of the first things we found out during the crisis. In particular, the groundwater levels in the east in the high sandy soils are still very low. That's been shared before. They're just not the way we'd like to see them again. Despite the fact that it has been raining quite a bit lately, perhaps to the sorrow of some, the expectation is that it will not all be restored by 1 April. This is, of course, mainly dependent on the amount of precipitation that is to come in the near future. Some people say, "Oh, it's snowed so much in the Alps. Isn't that the solution?" No, that's not the solution, because that's the water that gets us into the rivers and we're so focused on getting it out nice and fast. Despite all the good projects around Space for the River, I think we will also have to think all over our country about space for the canal, space for the ditch and mention it all. We're not just here with those rivers. Will the Netherlands cooperate with neighbouring countries? That was also a question from Mr Geurts and a number of others. I also believe of Mrs Van Brenk. That's definitely important. We had a government dialogue with North Rhine-Westphalia. There I have with colleague Hendrik Wüst... From his office in Düsseldorf you look at the Rhine. There the low water level was still visible at that time. Of course, we have discussions on this, not only in that river basin of the Rhine, but also wider. There too, of course, they have struggled with the same problem. There were even videos on YouTube that people on certain parts of the Rhine could just walk across the street, which of course wasn't meant to happen. They've had major problems supplying the gas stations. We have also seen this in a number of places in the east of the Netherlands. The water is the main source of this. You have seen that inland waterways could carry less and less cargo. At some point that became urgent, because you only have a limited number of inland waterway vessels. You can't say "oh, we'll just do that by road," because we don't have that many tankers either. That is another example in which we have seen not only in the Netherlands, but also in other countries that you are running against the border. I know that many of you are deeply concerned about inland waterway transport. I think we can learn another lesson from this. We still have a huge construction assignment to do in the Netherlands. It takes a lot of bulk transport, just from sand, gravel and all kinds of building materials. Fortunately, 80% of bulk transport in the Netherlands is about water. I say 'happy' because if we can't do that anymore and we have to do all that bulk transport by road, we have a huge problem with each other. So in addition to the ambitions that we almost or perhaps entirely share Chamberwide in order to bring as much transport as possible from the road to the water and to the rail, we really must continue to facilitate it for that reason. Sufficient navigability and a sufficiently high water level are also extremely important for this. I therefore very much agree with your Chamber's call for this to be done together with neighbouring countries. Then the level drainage. Mr Geurts says that this is at least an important tool. I think that Mr Schouten will say a little more about this, but we also think it is important that further knowledge be gained. It is, of course, an important instrument. Does the Minister share the idea that groundwater levels will be even lower next year? That could be, if we don't happen to have a very wet summer. Of course we start now in the East of the Netherlands and in certain parts of Brabant and Limburg probably immediately with a delay. So if we had another dry summer, we'd be lagging behind if we didn't change our policies. Of course, we are going to try the water boards already doing so to hold more water so as not to cause the shortage to continue. No one can look into that glass ball, so it's just the wisest thing to do and to use everything we can to try to hold on to that water as much as possible. Mr Dijkstra has actually asked a few questions along these lines.
ParlaMint-NL_2019-02-13-tweedekamer-8.u78	There is another interruption by Mr Geurts.
ParlaMint-NL_2019-02-13-tweedekamer-8.u79	Thank you, Mr. Chairman. I had also asked, perhaps somewhat overflowingly, when the assessments that the waterboards are doing will become available over the 2018 drought period. The specific question is whether the Minister thinks that we can discuss this with her in May or June in the forthcoming AO Water Conference.
ParlaMint-NL_2019-02-13-tweedekamer-8.u80	I dare promise Mr Geurts that.
ParlaMint-NL_2019-02-13-tweedekamer-8.u81	Thank you. The AO Water is on June 20th, I hear.
ParlaMint-NL_2019-02-13-tweedekamer-8.u82	I think we can do that. To be honest, I just want to have them much sooner, because then we are way too far in the season. So I really think we should have them a lot sooner. So for that AO Water, guaranteed. Other than... We're just gonna do it. Mr Dijkstra and others asked what kind of action there are and what kind of action to think that will come from the Drought Policy Table. There's a lot of appointments in there that we're really gonna tighten up. Those are agreements that are not new in themselves, but where you see what you can do to help the net a bit further. The displacement sequence has worked well, but we may be able to make an even clearer demarcation. For example, with the industry: are you in category 4 or 3 with process water and what exactly is process water? We will also continue to develop these more stringent definitions. The decision on the national water distribution lies with Rijkwaterstaat, at regional level with the water boards. That is another answer to a question from Mr Dijkstra. There's been good cooperation. I think that everything went well there, but the crisis structure is also being evaluated. We will come back to that too, because we will also have that assessed externally, also in a communicative sense, in order to see if things might be better in a future period. To mention one example: the calls made to people to use water for economical purposes. I don't know if we can be entirely satisfied with the results. At first it seemed that people were using less water, but if we were going to correct for the number of Dutch people on holiday, then I think we should have another look at whether we might have to bring that up even more intrusively in the future. We're all gonna take a serious look at each other and see if we can do better. Are waterboards equipped to deal with that? I think so. It's not just the waterboards; we'll have to do it again, just like last summer. If there is enough expertise somewhere in a country to do it right, it is in the Netherlands.
ParlaMint-NL_2019-02-13-tweedekamer-8.u83	I agree with the Minister on that last point. I would like to respond to that request for people to use less water: do not wash your car, do not spray your garden anymore, so that the available water can benefit the people who need it very much, for example the farmers. Now I know that waterboards were going to maintain that, too. It had huge fines on it, I read, if you were going to water your garden during the day, when that wasn't supposed to happen. What does the Minister think about that? Did that work too? Can you reflect on those fines? Have they actually been distributed? Is there any maintenance? I believe it was €1,500. That's pretty scary, but if they're not handed out, then it's nothing. How are we in that as a government?
ParlaMint-NL_2019-02-13-tweedekamer-8.u84	That was not about the private households, because they generally spray their gardens with drinking water. We didn't recommend doing that, but it didn't include the fines. It is much more about the general awareness and things that you can sometimes distribute, such as the shower gauges. I don't know which one of you has had long-term adolescents in the house. Then you might as well say something like, "Do you have to do that for that long?" Maybe we'll just have to do things like that more often. My kids are out the door by now, so I'm not gonna get any trouble with this at home. As far as the measures are concerned, I have already indicated that we are still in the process of flushing the IJsselmeer. We need to see if we can do that even better in other ways. We are closing cracks at sluices and shelters in the Afsluitdijk. There's much better monitoring. We also ask the waterboards to release as little salt as possible. Beams are placed in thrusters. It's too much to mention. Mrs Van Brenk came up with a completely different subject: the state of play on the Blue Deal. You were right to say that you were proud of that. What do we notice in concrete terms this year? On World Water Day 2018 it has indeed been signed. On 7 November, the Ministry of Foreign Affairs was able to issue the grant decision to the Union of Water Councils on behalf of my Ministry. A large number of projects are being carried out with water boards in the Netherlands and abroad. 40 river basins are working on this. You mentioned that, too. The water boards are currently working on concrete project proposals. 11 proposals have already been submitted on 1 February. The second batch will follow on 1 March. I notice there's a great enthusiasm for it under the waterboards. There is a lot of ambition with a focus on climate change and result-oriented work. In March, after that second round, we will take a decision on the proposals. The intention is to formally start implementation on World Water Day in March. We will inform you more about this. The flow-dependent discharge permits are one of the points included in the Drought Policy Table for research. Then the accounting function at the water boards. I have perhaps not yet seen this today, and I have sent an answer to Mr Dijkstra's questions about the financial position of the Water Authority Riversland. In this I indicated that most water boards have a chamber of account function or a similar body that advises the general administration. I think it is up to the democratic representatives in the waterboards to take the necessary measures in those waterboards where this may not yet be properly regulated. Whether it's specifically a accounting room or another function, it has to be secured in a certain way. Mrs Van Brenk specifically asked about the position of drinking water companies during the drought. She's right. We had them at the table last summer, just for very practical reasons, because drinking water is a very important basic condition. We'll take that into account in the evaluation. We gave that as a point of interest. Honestly, I can't imagine saying that we don't do that anymore. It worked well. We're gonna take that off the record for the whole evaluation. Mrs Van Brenk asked if the stress tests were going according to plan. I can't look all the way in from all the congregations, but when they meet me, they all say they're working on it very hard. So I have good hope that it really is. With Princess Day, we will report on the state of play in the Delta Programme. In any case, I notice that it is really between the ears, not only water pollution but also the subject of heat stress, which has rightly been mentioned. There is also attention to that. Exactly what damage has been caused is what the Drought Policy Table is going to map, both for agriculture, nature, drinking water, water managers, industry, energy supply and urban areas as well as for recreation. We're trying to get a good overview of that. A distinction is made between the direct effects of the drought due, for example, to loss of production or damage and the indirect economic consequences. We will also inform the Chamber about this if we send the overall picture with the outcome of the Drought Policy Table. Then I come to Mr Futselaar.
ParlaMint-NL_2019-02-13-tweedekamer-8.u85	First of all, an interruption by Mrs Van Brenn.
ParlaMint-NL_2019-02-13-tweedekamer-8.u86	Let me get this straight. At the policy table everyone sits at the table: the water boards, Rijkswaterstaat, the Ministry, the drinking water sector. About everyone who's involved is sitting there at the table. We get that whole evaluation well before the AO Water and then we see everything that comes out of it. Is that right?
ParlaMint-NL_2019-02-13-tweedekamer-8.u87	Sure. I can add that we are being validated by scientific experts that what is being discussed at that Policy Table Drought is also soundly academically substantiated and that it is true. Mr Futselaar asked questions about the future of drinking water supply. He asked whether drinking water companies should not identify strategic groundwater resources. This is also the subject of study, unfortunately it is no different. We're working on that. It is also an action point from the Structural Vision Underground. That's where it's been. The goal is, of course, to be future-robust, to be prepared, also for increasing water demand through economic growth and possibly climate change. The identification of strategic groundwater resources is a consideration that will be addressed. Do we have the drinking water infrastructure in order? That was another question you asked. In general, that is the case, but there are, of course, a number of points of interest. I call you the intake point at Andijk in the IJsselmeer. That is where we really need to see if we will have to take further action. I have a nice screen in my room where besides the traffic jams, images of the influx into rivers and the salt content are constantly passing. Then I still saw one small red dot, which was only once in a while in the green in the last few weeks. That's still the intake point at Andijk, which we're worried about. So that is not only monitored by me, but above all by the experts. How much longer could we have lasted with the drought? Probably for a long time, because we just have very large stocks, but of course that varies from region to region. It also depends on drinking water consumption. That was, of course, extremely high because of the heat. You're vaporizing more, too, so that's not so crazy in itself. Normally we use 120 liters per person per day. That's an impressive number when you hear it like that. In the summer it was sometimes up to 160 liters. So there really is a lot more water consumed.
ParlaMint-NL_2019-02-13-tweedekamer-8.u88	I asked a question about that, too. I asked how the Minister intends to reduce drinking water consumption. I was also a little triggered by a remark that made them just a little bit passive about watering private gardens. Actually, of course, you're not supposed to do that with drinking water. I've got a pump in the ditch myself. I would say: wear that out too, because if we use drinking water to water the plants, we will go through it very quickly.
ParlaMint-NL_2019-02-13-tweedekamer-8.u89	Well, not everyone lives by a ditch, so that's another problem. And you don't want people to just pump up groundwater. But I think that the broad awareness is a justified point. Use rainwater. People can do a lot of things, of course. This is also something that we can do a great deal about throughout the climate adaptation agenda and the stress test. Get more green in the cities. Get those tiles out of your garden and make sure the water can pass. Put the rainton down. Make that green roof. People can do a lot of things. I think it is just as much fun to focus more attention on that in the years to come. How well prepared are we for even longer dry periods? Of course, we have been working on this for some time now with the Delta programme Freshwater. And again, the Policy Table Dryness is going to take advantage of the new insights. Will this become the new normal, Mr Futselaar asks. If I knew, I'd report it to you, but we just don't know. The precipitation deficit is uncertain. The KNMI also works with scenarios with significant bandwidths. We do see that the glaciers are getting smaller and that our rivers are becoming more and more rainrivers, so they also have a more erratic course. That alone means that we need to get better prepared for it. That brings me to Mr Van Aalst. He has a slightly different view of whether human influence and climate change are at the root of it, but I am very pleased that you are saying: we should just be prepared when there is such a dry summer, and if we have a very wet summer, by the way, because then we should be able to dispose of it. So that's what we share. I think that together we can also get into the conversation if we have the results of the Policy Table Dryness. You also mentioned the displacement sequence. At Vewin there are also some uncertainties about this. That, too, is a point of attention in this policy table, and I can reassure you on that. I'm with Mr. Stoffer. As you come to later speakers, things have often already been addressed by others. Mr Stoffer also asked about the involvement of drinking water companies. That's what's being taken with you. I very much agree with Mr Stoffer that the problem has, of course, often started on the high sandy soils. That is also where we have the biggest problems. The question of what it has done for nature will be raised by the honourable Member. That is, of course, also worrying. Whether the scaling-up can be different and better we must also include in the evaluation. Last time, we did it in a way. That was a little digging. For example, the DG RWS called me with "we think this is the time to," just to get it to the national... But it is very good that we are also looking with strange eyes at whether we have done something at the right time or whether we could have done it differently or better. I have already dealt with the functioning of the displacement sequence. Mr Stoffer puts his finger on the sore spot when it comes to cables and pipes that may be in the way. You're talking about the hard layer at Nijmegen. Those are also points where a lot of engineers still have to provide hard and soft solutions. As a RWS man, you know what I mean. Different technical variants are possible. Furthermore, we ask the Deltares and of this world to think with us and find a solution. Because we have to find them together. And that also has an important role in the Integrated River Management Programme. Then I'm through, Mr. Chairman.
ParlaMint-NL_2019-02-13-tweedekamer-8.u90	Thank you. Then I would like to give the floor to the other executive, the Minister for Agriculture, Nature and Food Quality.
