ParlaMint-NO_2020-05-13.ana.ud324e28	The representative of Mr Åsunn Lyngedal will present a proposal for a representative.
ParlaMint-NO_2020-05-13.ana.ud324e445	The difference between the KonKraft proposal in 2003 and today is that the KonKraft proposal was a proposal for a permanent tax conversion. What is now being proposed is a deferred tax to cover the next two years. In many of these places we want to bet green, they have made plans for it both in terms of aquaculture and in terms of sea wind. But there are projects that lie a few years ahead. For Kværner Verdal there are no more assignments from the next summer. The renewal efforts do not come until 2023, and it is not possible to turn the switch off one year to think that you will turn it on the following year or two years later. Then professionals and knowledge are gone, so you have to cover the period between them. The question is: why would the government, with a proposal that also the clubs in these yards are opposed, make the green conversion more difficult for Norwegian shipyards than it needs to be?
ParlaMint-NO_2020-05-13.ana.ud324e450	We have proposed these temporary changes because we have planned to bridge all the new solutions and therefore contribute more liquidity. Then we'll have to discuss whether we've met completely, but the government wants these questions discussed in the Stortinget. I would like to address one of the issues raised by the representative, namely that this is a temporary solution – yes, what the government has proposed is a temporary solution. Some of what is proposed by the industry has such a long time horizon that a temporary solution becomes difficult, for the triggering of some of the projects that they want us to now provide incentives, is actually an employment for the supplier industry – perhaps only in 2025 and 2026. It's a bit of a challenge, because some of what they're attacking, maybe for some of the biggest jobs, has a much longer time perspective. So there's a lot of things to discuss in this, whether this is a change that's actually about a permanent change in the system. If it takes too long, it would appear that we have put the tax system in a crisis, it is difficult to come back to another tax system afterwards.
ParlaMint-NO_2020-05-13.ana.ud324e458	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e463	The question put by the representative, Battle Violence Vedum, made it tempting to say that we hope not to encourage the authorities of other countries to buy only their country's fish, we depend on them to buy Norwegian – is just as wise as Battle Violence Vedum believes the Norwegians should be. When we talk about fish, the coronary crisis leads to some consequences in many parts. Much of that is not something the government can do, but the government must be aware of it and take action. Karl Hansen is an exporter and fish organizer on the quay in Tromsø, an incredibly innovative type that has created many values for Norwegian restaurants and Norwegian exports. He now feels that the export route out of his projects has been lost. The post office no longer has the task of transporting goods out of the country, and therefore neither to pick up goods. There are now many coastal areas where fish produced clearly for the market – there is a market in which – do not have transport links. I ask the Prime Minister to pay attention to that relationship and to seek to contribute to the meeting of the ends, so that this value creation and the jobs are taken care of.
ParlaMint-NO_2020-05-13.ana.ud324e470	We have been very concerned that the flow of goods will work even if we have border control and other things. There may be market failures in some areas, so there are not enough solutions. The Minister for Fisheries and Food has almost weekly video meetings with the industry, just to identify bottlenecks and other. If there's a bottleneck, of course we'll see how we can solve that kind of question. We're trying to keep track of the industries that can now have problems because of this situation, to ensure that as much as possible is affected. I'm just taking this with me, and then I'm sure the Minister for Fisheries will follow up.
ParlaMint-NO_2020-05-13.ana.ud324e475	Let's move on to the next main question.
ParlaMint-NO_2020-05-13.ana.ud324e480	Economic crises tend to lead to an explosion of social inequality. That's why it's going to be a main task for us all to rebuild the Norwegian economy in a way that keeps the inequality of power and wealth down. Then the Prime Minister has sometimes been known as Jern-Erna – in the media at least. It's been about refugee policy, it's also about the way she as prime minister has met people, people on redundancy pay, poor carers, chroniclers who have gained increased self-esteem and others who have been hit by the unsocial cuts of this government. But the Prime Minister also has a soft side, and Myke-Erna is the prime minister who meets the richest and most powerful in our society with large tax havens and zero demands. In this connection, I would like to ask some questions about the oil tax package. For the government's proposal on the tax package for oil companies, this is another example. It lacks concrete initiatives that can give industry new jobs and secure jobs, but it is likely to lead to increased dividends for shareholders. There is a real risk that money released will be entitled to dividends. The major international companies operating on the Norwegian base do not plan to drop dividends despite the crisis. This concerns Equinor, Shell, Lundin, Aker BP – all companies in which it has been notified that the parent company will pay to its shareholders. Then my question is, how can we be sure that the risk taken by the State by postponing the tax does not primarily contribute to the financing of the profits of the oil companies to international investors?
ParlaMint-NO_2020-05-13.ana.ud324e491	I understand that SV is trying to revive my reputation from my municipal minister days 15-20 years ago. I think it was the last time people called me Jern-Erna. I am proud that we made sure to clear up the relationship between groundless asylum seekers and what were real asylum seekers at that time. I think the things I did at the time, as was then perceived as radical and different, today are perceived as completely common sense and natural things, for example. to launch a 48-hour reverse operation to get people who had no basis for applying, out of the country again. I understand that this is the new stamping mechanism from SV today. With regard to the issue of dividends, Equinor – when paying dividends – pays most of the proceeds to the Norwegian population through money to the country. We have such a large state ownership that the dividends in this sector do not essentially go to the rich, if we do not define the Norwegian people and the state as ‘richeries’. We have created a system where we believe this will stimulate more activity, to ensure more people work. Then we're going to work on the discussion here at Stortinget about how we get it. If we trample the rules on dividends for these companies, we can risk getting the opposite, that there are fewer projects being adopted, that there are fewer projects coming in, because the funding of it overall becomes more difficult. It is important to remember that there are some investors on the large international stock exchanges, i.e. pension funds, who, because they do not want to make extensive use of in and out – such as investments in shares and changes in the portfolio – invest only in companies that guarantee road profits. It'll be a pretty big drying out of that kind of funding sources if we make a lot of profit-related adjustments. I just think it'll work against its purpose in this situation, because I think it'll be harder to get to the projects if you have these constraints.
ParlaMint-NO_2020-05-13.ana.ud324e500	It was not my intention to label it – I perceived it at the time as a characteristic with which the Right was a little satisfied. But in any case, I will not open the debate on refugee policy in the early 2000s. On the other hand, I would like a clear answer as to why the government is not willing to make clearer demands in connection with its oil tax package. Why can one not demand that if one is to benefit from these tax advantages, dividends should not be paid in that period? If not, this is an example of an industry being able to access government money without making demands to ensure that we get a fair distribution and a targeted use of that money. We believe that the right way to support the industry now is targeted support for concrete projects, accelerating the green shift and ensuring that we get the money directly targeted at jobs. Does the Prime Minister intend to make any specific demands on green projects, on the cessation of dividends?
ParlaMint-NO_2020-05-13.ana.ud324e505	We return to the incentives associated with the green change in the package that comes in May/June. It was announced at the same time that we presented the changes to the tax proposals, where there will be measures to contribute to several of the future steps that are important for the shipbuilding industry in Norway, and which are important for the entire maritime sector — many of the measures that can help us get more activity there. We feel that what we have been promoting is a proposal that will contribute to more liquidity, which helps to increase the opportunities to launch projects, and that liquidity depletion is not a tax relief. Over time, provided you make profitable investments, this will be repaid and actually give little more in tax revenue. I think the proposals that SV is addressing would help to weaken the whole instinct. Remember, in almost all the projects we have, there is a consortium of several companies that are in there to contribute to it, and that means that a partner can say: this is a regime that we don't want to share in financing. That's when the yard industry's jobs are going to suffer.
ParlaMint-NO_2020-05-13.ana.ud324e512	There will be follow-up questions – first the Audun Light Bin.
ParlaMint-NO_2020-05-13.ana.ud324e517	More liquidity, yes, but the big question is whether the government has control of what that liquidity is used for. That's my point, because no one is interested that it will end up as more money for dividends for the shareholders of the oil companies. But let me move on, because I think there's a pattern here. If you look at the crisis packages the Stortinget has granted, there has been a lot of agreement, but there has been a systematic disagreement about the willingness to make demands on those who are initially among the richest and most powerful in this country. There's a sharp contrast to how the government meets people in low crisis. People who have become ill, people who need help from the state to get the ends to meet, meet with demands. Right is a lot that's very busy stressing that you have to make demands, but take the big owners, for example.: The government has not wanted to make demands on the big house owners to put down rents in connection with the crisis packages – why not?
ParlaMint-NO_2020-05-13.ana.ud324e522	I would like to stress that the difference is probably not about who you want to demand, but about understanding how investments work, and what helps us secure jobs in the future. The Swedish policy would contribute to fewer investments, fewer jobs and fewer willingness to invest. Those who take the largest pressure now in terms of falls in values are actually many of the private owners around. They have to take dividends from one company in some companies to deposit money into another company, in order to contribute equity. Putting very strong restrictions on moving capital in this way could therefore help to prevent getting money and input into those companies that need to develop further, and which are perhaps the most fragile within a responsibility or area of ownership of one person. There's an understanding of the business that I think is very different in SV and Right.
ParlaMint-NO_2020-05-13.ana.ud324e528	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e533	I think many in the business world that is the hardest hit by the crisis have an understanding of business that is far closer to mine, when, for example, they are. would argue that it would be reasonable for the large property companies to contribute more to bringing the rent down for outsourced shops. Or, to take what the Prime Minister himself came up with, dividends: the opposition was ready to be on proposals that made it possible to take out dividends in some circumstances, of the kind that the Prime Minister mentioned, but the right-hand side would have no restrictions at all, for it is obviously so unnatural for the right-hand side to make demands on them at the top of society. In its crisis package, Denmark had both a requirement to stop dividends if it received government money and a requirement that state crisis money could not go to companies with links to tax havens. Does the Prime Minister think that the Danes are responsible for an irresponsible and poor industrial policy, or that there is a greater chance of such links in Danish business than in Norwegian?
ParlaMint-NO_2020-05-13.ana.ud324e540	Time will show who gets the best out of the measures that have been put in place and how this has worked. So let's figure that out. We've said that we're going to have a big research project on these questions gradually. Then we'll see who gets the best out of Norway and Denmark. Has there been barriers or anything else for others? It's hard to say it in advance – we'll see it in retrospect. At least I am not playing with Norwegian jobs and the opportunity to do so. That's the main reason. I agree with the representative Lysbakken that the property companies should have put the rent down. So we didn't give 100 pst. the recovery of fixed costs under the cash arrangements. It was supposed to be an incentive to negotiate with their homeowners to bring down the rental also that way, at least temporarily. Many of them will be interested in doing something of this, because if companies go concubine, they will have bigger problems getting rent in the future. So it's an incentive to get it into the arrangement we've made.
ParlaMint-NO_2020-05-13.ana.ud324e547	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e552	That's the challenge: when it comes to forces in our society that have a lot of money and a lot of power, it's trust that should apply. I perceive that the Prime Minister, in the same way that she wants large owners of homes to contribute to the work, believes and will certainly encourage that no dividends be made. She's just not willing to make demands. You can imagine that you should start meeting those who are dependent on social security, in the same way, so don't make demands, but just trust them. It would be a new line from the government. But as far as they're concerned at the top of the Norwegian community, this boundless trust is allowed to apply. It remains to be seen whether dividends are being collected, and whether government money goes to companies with links to tax havens, but I could imagine knowing whether the Prime Minister's resistance to such demands is because she doesn't think it's a problem, or because she thinks it's wrong to make demands, for example. enterprises with links to tax havens.
ParlaMint-NO_2020-05-13.ana.ud324e557	Let me take the example that was mentioned on the previous question, namely the question of the rental scheme. If we were to make it a condition for a single company to receive support from the cash support scheme, that their lessor had agreed to reduce the rent, the lessor would not have been hit. It's the company and the jobs we'd been trying to save, which would have been hit if they had a landlord who said it wasn't possible. There are many landlords who have put down the rent somewhere, and who know that it's a necessary part. But such detailed management of business can have many other consequences. We are now concerned that everyone should contribute; we all need to make sure that Norway gets through, but we should not create rules that can contribute to the loss of jobs because we want to pursue symbolism policies.
ParlaMint-NO_2020-05-13.ana.ud324e562	Let's move on to the next main question.
ParlaMint-NO_2020-05-13.ana.ud324e567	During the Korona crisis, the Nordics have held together to protect the most vulnerable. We've turned our heads around, and it's costing hundreds of billion dollars. But we've done it because it's needed, because when we humans know what's most important, we're basically so rigged that we want to contribute – even when it takes big changes in our everyday lives. In the last few weeks, the Prime Minister and the government have shown their power of action, taken management and focused on what is most important. A new survey by Opinion looks at the will of the Nordics for their own change and expectations of the politicians in the Korona crisis, and compares it with the same will for change and expectations of politicians to deal with another major threat to life, health and well-being, namely the climate crisis. The result is striking: One in three Nordics believes that politicians must be as active in the face of the climate crisis as they have been in the Korona crisis – despite the fact that we have recently had the most interventional measures in peacetime. And not least: both this survey and several previous studies have shown very clearly that the majority of Nordics want politicians to help them make climate-friendly choices. Together, this gives the Prime Minister great room to take leadership, including in the face of climate change, which we know threatens the future of our children. Is the Prime Minister ready to show the same action in dealing with the climate crisis as she has shown in dealing with the coronary crisis?
ParlaMint-NO_2020-05-13.ana.ud324e576	I'm prepared to take strong action to help bring down emissions in Norway and get on the right track globally. Norway and the Norwegian authorities are constantly working. But that does not mean that we necessarily agree with the Green Party in all the measures or how we do it. It's important to underline. However, Norway is now gradually moving to jobs that are much more linked to a green shift. We're going to have another kind of energy development in Norway, we're going to electrify considerably more in the future. One of the reasons we wanted changes in the tax environment for the oil industry is that we want to realize many of the power-from-country projects and electrification projects that are necessary to reduce point emissions in Norway. There is, of course, a different strategy from that normally applied by the Green Party, but there are several ways to achieve the same objective. We are now working on a hydrogen strategy to look at industrial development, but also on the development of other energy carriers for transport in the future – important solutions that are likely to both provide jobs in Norway and contribute to lower CO 2 emissions in the future. We're working on circular economy, there's going to be a separate circular economy action plan where we're also looking at how we can use all the materials, recycle a lot more and use the values that are going away today, and there's actually an example in Norway. In the last 20 to 30 years, by-products that were previously disposed of and landfilled sites have gained an incredible amount of value and products. But it's also an area where we have to work with more technology, and there's going to be big changes.
ParlaMint-NO_2020-05-13.ana.ud324e588	I think this answer is quite remarkable, because I asked for an answer on the power of action and the willingness to commit. It should be unproblematic for a prime minister today to undertake to show the same power of action in the face of the climate crisis that she has shown in the context of the coronary crisis. The climate management that the Prime Minister does not have is about to emerge in the EU. In December the President of the European Commission, Ursula von der Leyen, declared: «I'm confident that the old growth model that is based on fossil-fuels and pollination is out of date [[...]] In winter, the EU Vice-President stated that Norwegian gas has to go away in any case when the EU is going to become carbon neutral. The EU buys most of our gas. Is the Prime Minister concerned that tax benefits and crisis packages for the oil industry can lead to unprofitable investments and heavy losses for Norwegian taxpayers?
ParlaMint-NO_2020-05-13.ana.ud324e602	I see no contrast between what this government is doing and what the EU has put in its green deal – or the work and direction we have. If the power of action is to declare action, not to show what you're doing, it's to me a little impotent to be a politician. It's actionable to do things in the future, it's the most important thing, and so we have a plan to do this. We are now working even more to get back to reporting on the follow-up to the Climate Action Programme, so that we can achieve our CO 2 cut targets in Norway by 2030. But it does require some other measures. We need to maintain jobs at the same time, we need to develop new jobs, we need to move on gradually. And then I believe that even though gas may not be the long-term solution in a European perspective, it is still that no renewable system can cope without any stabilisers, and gas is a better stabiliser in Europe than for example. coal power.
ParlaMint-NO_2020-05-13.ana.ud324e611	Une Bastholm – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e616	The reason why I brought the EU forward here is that it is our main gas market, and some of the projects we are now at risk of stimulating with tax advantages for oil, are projects that will arrive in time, and it will take a few years before that extraction starts to happen. At that time, the EU has come even further in its plan to cut its emissions. That is something I would at least have expected the Prime Minister to take over and clearly show that she is obsessive, because here we are at risk of huge investment losses, huge losses for the Norwegian community and unsafe jobs. In addition, I would say that committing to action in the face of the climate crisis, really just means being willing to say just as clearly where what we've done in the last few weeks, that is, that we see what's most important. So we're willing, yes, in our time, not to give tax breaks to fossil cars, we're willing not to build the highways that someone wants, because that's not what our time needs the most. It will increase emissions in the short term and it will increase emissions in the long term – until all cars are electric cars. So is the Prime Minister ready to do what is needed to cut emissions by 2030 to the goals that she has promised?
ParlaMint-NO_2020-05-13.ana.ud324e623	We are ready to do the measures that will cut CO 2 emissions in relation to our targets. But it's not certain that it's MDG's policy that's going to do it. For example, I believe motorways, in a perspective where there are zero-emission cars running on them, are fine. It binds together labour market regions, it provides for the strengthening of the competitiveness of a scattered country, it can provide more effective solutions for zero-emission transport than, for example, it does. large-scale railway development is going to do over time, because it is more flexible and closer to people. Then our starting point is not to take away what binds Norway together, but to ensure good transport in the future, make sure that the means of transport we have are zero-emission cars and zero-emission solutions. That's why hydrogen bet is important, because commercial traffic, the transportation of goods, is hardly going to be able to cope with only electrification. Then they might have to deal with solutions where we have other fuels in the future.
ParlaMint-NO_2020-05-13.ana.ud324e633	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e638	It is important to recover the supplier industry, the yard industry and the oil and gas industry we have. Speaking of gas: the Prime Minister mentioned hydrogen and circular economy. One good reason why we're going to continue with gas is that it can pave the way to hydrogen, and that we can get blue hydrogen. But a prerequisite for success is that we succeed in capturing and storing CO 2. Here, gas can open up a large new potential. My question is simple: Will there be measures in phase 3 that can shorten down that path, until we get a breakthrough for hydrogen and a breakthrough for CCUS, capture, storage and use of CO 2? The point is that this doesn't come of itself. The market is not going to deliver it alone. It needs quite powerful political instruments. Will it be part of the package in phase 3?
ParlaMint-NO_2020-05-13.ana.ud324e651	Hydrogen is a theme that comes up in phase three on the planet we're now. We are working on this hydrogen-related strategy, with individual measures and actions coming to Stortinget. Then we're not done with all the treatments, but that's one of the themes. Of course, ammonia is another theme that can come, but it doesn't give completely zero emissions in production in the same way. In terms of capture and storage, I understand the urgency. I understand that, but we have to spend the time we need to ensure the quality of these projects well enough for us to make an investment decision. There are billions to be spent in the next few years to realize capture and storage. Then we have to have a decision-making basis, show the cost bit and not get at the stage where we were, that we suddenly have to put something away because it cracks because you have a rush project. We have to learn from Mongstad. There was never a CCS capture plant in Mongstad, because you might have had the wrong starting point when you started the project.
ParlaMint-NO_2020-05-13.ana.ud324e658	Let's move on to the next main question.
ParlaMint-NO_2020-05-13.ana.ud324e663	In yesterday's budget, we saw not only the lack of a powerful programme to get people to work and to ensure the well-being, what we need in an unusual situation, we also saw traces of the government's usual unsocial policies. Firstly, the government's cut in the support scheme for goggles will save 160 million. kr this year, much more than estimated, second, that when the amount of child benefit is not adjusted up to the appropriate level, the government saves 209 million. kr there. And because the basic amount is falling backwards, the appropriations for old-age pensioners are falling by a total of 3 940 million. kr. So at the very other end of the scale than petty savings on children and the elderly, the scheme comes for businesses, where 50 billion is allocated. kr. Red is for crisis packages that ensure jobs, but they must be accurate. A unanimous increase determined that we expected paid support ‘not to contribute to dividends in addition to ordinary wages and taxes, and that it is important that lessors do not avail themselves of the support of lessees not to contribute through reduced rents’. Then there have been several examples of the opposite in retrospect of the decision. We know that we adopted the system in record time, because it was urgent to get started. Both the Storting and the Government assumed that adjustments should be considered after the initial payment. So Friday opens a second round of applications. Has the government considered adjustments to the scheme to ensure that the Storting's assumptions about both dividends and rentals are met in the future?
ParlaMint-NO_2020-05-13.ana.ud324e674	The adjustments and areas we have seen in several of these compensation schemes have been to meet people or enterprises that are not organised in the same way, in the form of a limited liability company, to ensure that they do not fall outside compensation schemes. That's the main piece of change we've made on this question.
ParlaMint-NO_2020-05-13.ana.ud324e679	There was no answer to the question whether the government has considered making changes to ensure that the Storting's assumptions about dividends and rents are taken into account and fulfilled in the future. We read in DN that now comes the demands for full rent. Works have said that so far there are very few signals that the owners of the house actually contribute. It's a mixture of the landlords pushing the problem in front of them to see what the tenants get in compensation, and they don't see any point in giving relief. Thus, there are unanimous comments from the Storting that it is assumed that less rents are to be provided by the lessors during the period of shutdown or a significant decrease in the turnover of the lessees. Still, we see that they don't contribute that way. Then the question is, how can the government see that this is happening, without trying to correct it by tightening up the requirements of the scheme?
ParlaMint-NO_2020-05-13.ana.ud324e686	The answer to that is that tightening up the requirements of the scheme does not affect the lessors, it affects the companies that rent. If we're going to say that they don't get the money to cover their fixed costs if the landlords haven't reduced the rental price, it actually means that we're going to bankrupt people. Businesses are going to die. That's what we're doing in this system. There is no instrument against lessors related to this cash support scheme. I assume that we all have the same intention. We have strongly appealed to lessees, but they also have loans and instalments and things to pay. They have empty premises somewhere, and they have challenges in financing projects. The values have fallen. One of the things that has fallen most in the construction sector now is industrial buildings and projects related to it. It is not unnatural at a time when you might want to see several empty office and shop rooms in the future.
ParlaMint-NO_2020-05-13.ana.ud324e694	Bears Moxnes – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e699	We see that half of the money has gone to property companies so far. That might not have been the whole intention of the arrangement. Then we see that a researcher on economic inequality from the United States, Chuck Collins, warns against crises accelerating economic differences, and recommends special taxes on unreasonable profits on a crisis, what he calls a pandemic profit. Especially if someone is left with an unwarranted state-funded profit, it must be in everyone's interest to rectify it. In the government's range of commissions, there is also an expert committee to assess the economic countermeasures against the coronary apathy. We could have used some kind of technical calculation committee that looked at the corporate support system and also looked at the accumulation of wealth due to the crisis, and whether the taxes have unintended consequences, which could prevent the community from taking the losses, while the private people get unfair benefits. Will this be within the remit of the committee, or is there a need for a separate job to look at these aspects of the economic impact of the crisis?
ParlaMint-NO_2020-05-13.ana.ud324e706	The sample now delivering to the third stage has looked at the way the measures have worked, and what kind of action will be most effective against the challenges we see in the more short term in the Norwegian economy. The long-term sample set up on Friday, to look at instruments up to 2025, has a relatively open mandate. They are not specified to look at different distribution effects, but they have a relatively open mandate to look at what is going on to ensure jobs and what economic development is going to be like. I can't say if they're going to take the question of whether someone has been left with extra revenues associated with this. Of course, there are some companies that go better than others in this situation. The daily food industry is doing better, but they also have expenditures related to infectious diseases, and people have been working there. Because people have done more, the food industry has gone better than part of the others, but to call it a pandemic profit, I would say is wrong. They have been on and working and have contributed to the country's success at this time.
ParlaMint-NO_2020-05-13.ana.ud324e713	Let's move on to the next main question.
ParlaMint-NO_2020-05-13.ana.ud324e718	Very many businesses are now fading as a result of the crisis, but most, due to their crisis packages, also receive good help in keeping workplaces and wheels in motion. But those who don't have income as a purpose, those who are not taxable, for example. organisations, foundations, voluntary organisations and non-profit actors that provide important services to the public but which at the same time have not suffered any loss of income as a result of cancelled events or lack of housing — examples of such activities are all of our recruitment companies, important organisations such as the Cancer Association, 4H, the spearheads, ANSA, all of our national colleges, and indeed at all teams and associations across Norway and in addition our used shops — they fall outside all crisis packages. The government therefore asked to come back with a solution for these, but we were disappointed yesterday that they were still standing without a solution. When we know, at the same time, that large tax-free chains that pay dividends in Germany, or bag shops in Akersgata that sell luxury goods, receive tens of millions of state support through the crisis, it is absurd that the government is not able to follow up the Great Britain's marshalling grounds to also let our used shops, the Cancer Association, 4H, the recruitment companies, yes, all the volunteers who are standing around to do something for others, get to participate in the crisis packages. Why has the government not followed up the decision of the Great Government to also provide these with emergency aid?
ParlaMint-NO_2020-05-13.ana.ud324e725	One of the things that I think is good about the crisis packages we've created is that we haven't had moral condemnation of what kind of activity you're doing, whether you're in that segment or segment, which was under in Anette Trettebergstien's comment now, with a contempt for someone working in a store, for needing security, for having sold them and the goods. I actually think it's a bad idea to do that. I don't think we should have the moral index finger on who gets – jobs are jobs, jobs are jobs. So we're very busy trying to find a solution just for second-hand shops, reinsurance companies and others. What's difficult about these arrangements is that because they're not a corporation, because they don't follow all the same rules, it's been hard to do this. We don't get everything in place, we work around the clock in the departments, but we have it on the list, and we get back to it.
ParlaMint-NO_2020-05-13.ana.ud324e732	There is no moral condemnation in saving any jobs. My point is that it seems that this government is busy saving some jobs in front of others. Therefore, the Storting also said that those I mentioned as examples, the government had to come back with a solution for in the revised national budget. It hasn't come. We have to get out of this crisis without increasing differences in our society. If we are to be able to stand together through the crisis, people must see that the authorities are engaged in treating jobs equally. People don’t see and understand that the government allows large groups to get emergency help at the same time as they take out dividends, or that large luxury shops get what they need, while small players – such as our used shops, the Cancer Association, 4H and the management companies – don’t have room for government. Why does the Prime Minister not want to present a solution to the small, ideal actors?
ParlaMint-NO_2020-05-13.ana.ud324e737	The Cancer Association is not a small, non-profit player. It's a great, ideal actor, and they're doing a great job. We're dedicated to taking care of all of these. So we haven't been able to find a solution in the revised national budget for these, but we're still working on the question and the matter. That's because the simplified methods we've been using have been calculated for the large width of e.g. a limited liability company, which reports under a given system. The fact that you have different directions from other organisations means that you have to be much more detailed to cover up all of them. So we've been working a lot on a lot of solutions, but we're not in the port of these solutions.
ParlaMint-NO_2020-05-13.ana.ud324e742	The decision of the Grand Duchy’s request explained clearly to the government how to make a solution for these businesses. Another request decision the government has not followed up well, was the decision of the Storting that the government had to come back with a crisis package for the media, which now bleeds due to the crisis. Journalists are permitted and dismissed, while the media have never had more to do than now — and they are more important than ever over the course of the crisis. The solution that was presented yesterday will only cover about 20 pst. Of the million losses now in the media, two thirds of the country's journalists are working in media houses that will not be affected by the crisis. Does the Prime Minister think that there is a good solution with a crisis package that is not going to save journalism at all?
ParlaMint-NO_2020-05-13.ana.ud324e749	That's exactly what this crisis package is aimed at -- saving journalism, saving coverage, saving the media. There are a number of media companies that are not engaged in ordinary journalism, news communication or anything else, which may fall outside this. It is important to say that the media houses have suffered a fall in income. There's a little bit different between the different industries, but they get a coverage, and many of them have had less decline in their income than what we set as criteria in the cash support scheme and for many other companies. I can see that you want to give more money to them, but this time we give a significant sum that is in the order of magnitude a doubling of what will be the media support normally. It's a solid contribution to them, but we can't cover up for all industries, for example. for all advertising revenue lost around. The state cannot accept all of that, just as the state did not undertake to cover the advertising revenue at any time when there were crises under the red-green government.
ParlaMint-NO_2020-05-13.ana.ud324e754	The oral question procedure is now over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2020-05-13.ana.ud324e768	There are no changes to the configured question list.
ParlaMint-NO_2020-05-13.ana.ud324e776	I would like to ask the Minister of Justice and Defence the following questions: ‘Especially in Oslo, there have been recent alarming incidents in juvenile delinquency, and overall there has been a worrying increase in juvenile delinquency in recent years. The government has promised for a long time that it is working on several measures that can counteract this: 1. New action plan against childhood and juvenile delinquency. 2nd@item: inlistbox Prohibition of machete. 3rd@item: inlistbox New provisions to ban residence. 4th@item: inlistbox Prohibition of participation in, and recruitment to, criminal gangs. When does the Council of State plan that these measures will be clarified by the Government and submitted to the Stortinget?’»
ParlaMint-NO_2020-05-13.ana.ud324e785	Let me first thank the representative for a very important question. Although child and youth crime is low in Norway and most are not registered for crimes, it is worrying that we see a small group of young people committing repeated crimes. The Government is committed to preventing and combating child and youth crime. It turns out that those who commit repeated or serious crime often have complex challenges, live in families with severe living conditions and often need more than one. Although a lot of good work is done, we see a lack of interaction and cooperation between services and municipalities. We also see that more can be done, so that families and young people get the follow-up they want. Crime needs to be resolved in cooperation across several sectors. Therefore, the action plan against childhood and juvenile delinquency should be cross-sectoral. The government intends to present it towards the end of the year, as we announced in January of this year. A proposal for a ban on machete and an alternative proposal for a ban on long knives were sent to a hearing on 21 February this year. Because there are a number of challenges to a ban, the hearing bodies were asked for input into possible solutions. We now got those recordings in March, and we're now following up on how this can be solved. There are several ways we can impose a residence or a visit ban on children and young people. Children under 15 years of age may be prohibited from staying at a specific place whose stay on site increases the risk of the child committing a criminal offence. Visiting bans may also be imposed on both young and adults. This may also include the prohibition of staying at a specific location. The Ministry assesses in a number of areas how the provisions on bans and bans can provide more effective protection. If the juvenile criminals are foreign nationals, the rules on expulsion and expulsion may apply. I gave as late as January this year an instruction on the increased use of expulsions and expulsions on the basis of disturbances in the order of foreigners without a residence permit. In line with the Granavolden platform, the government is working with several regulatory changes that will affect the work against criminal groups. The criminal investigation by the Council of Ministers now came in March and shows that it is possible to impose a criminal order involving participation in and recruitment to criminal gangs and organisations. I am now assessing how that investigation can be followed up. I think I'll say it that way: a lot is done, but a lot still has to be done. This is a social problem that we have to jointly contribute to solving.
ParlaMint-NO_2020-05-13.ana.ud324e802	I thank the Council of State for an informative response – and a concrete response on several points. I'd like to follow up a couple of points. One applies to the prohibition of machete. It is a fear-provoking weapon that is the most widely used in these juvenile delinquency groups, among other things. Herjer in Oslo. The Granavolden platform does not say that the ban should be assessed; it says that the ban should be imposed. In practice, it is for the government to add one word in the first paragraph of Section 9 of the Arms Regulation, where there is an enumeration of knives that are totally prohibited in Norway: add to machete there. It is a little difficult for me to understand that when you said that in January 2019, and this is an acute problem, you spend so long adding one word. In the case of a restraining order, I would like to say that the law house that exists today is subject to a restraining order, and the police use it as a diversion: a restraining order. But it's been problematic multiple times in the justice system, and the police are spending a lot of resources and a long time, so we need a better regulation.
ParlaMint-NO_2020-05-13.ana.ud324e813	My approach to the word ‘machete’ is like the representative’s – I also had the impression that this had to be easy to design. The hearing has shown that it is not entirely simple. There is a prohibition on the use of a knife, there is a prohibition on the keeping of a knife in public places, and it is also such that certain knives are prohibited under the Arms Regulation because the knife itself is without a «negligible purpose» as it is called. Unfortunately, it does not apply to the machete. It turns out that the term is not quite accurate, not quite uniquely related to knives, machetes, used both by cooks and by people who are hunting. This has made it a little bit difficult, because we need legal texts that are completely unambiguous. But we are now working to follow this up, and I hope I can make a proposal on this for the Stortinget. The same applies to the more effective use of residence bans and expulsion rules.
