ParlaMint-BE_2016-07-06-54-commissie-ic468x.u1	Questions Nos 12619 and 12627 by Mr Pivin are transformed into written questions.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u28	Mr Minister, Mr Top and myself both come from the judicial district of Kortrijk. You understand that we were interpelled by our chiefs of police, who, following a meeting with inter alia investigators, have alerted us about problems in the inspection of files by inmates. Both the security corps and the police are responsible for the supervision and supervision of inmates who wish to access their files. That implies a transport from a prison to the courthouse in Kortrijk. That's usually the old courthouse, but we won't be discussing these problems right now. A practical arrangement to waste as little capacity as possible was adapted, because the prisoners themselves did not have enough time to look into their files. The procedure in Kortrijk, which itself does not have a prison, was then changed unilaterally in the case of Bruges or Ypres. This leads to an increase in the use of police capacity for a number of tasks which are not part of the core tasks of the police. Police forces are already on their gums, threatening basic police care for citizens. I do not need to explain to you that the capacity is experiencing some difficulties due, among other things, to the threat of terrorism level 3, the commitment to the long-term prison strike and the additional security deployment at major events. This calls for urgent adjustment of a number of procedures. In our digitized world, there are plenty of alternatives. If companies are able to hold Skype meetings via secure channels, provide digital access to documents and provide computers and accessories at a lower cost than in the past, modernisation in this area must also be feasible for the Justice Department. Minister, do you have any knowledge of the problems in the judicial district of Kortrijk and possibly in other judicial districts of our country? Will you consult with the various actors in order to find a solution? Are you considering using modern technology to enable secure electronic access from a prison location?
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u29	Mr Top, Mr Degroote, I am indeed recently aware of the problems of transferring prisoners to court so that they can look at their files in the province of West Flanders. Until last year, files from the court in Kortrijk and Veurne were transferred to prison by local police after 16:00, which required a lot of additional capacity from the area concerned. At the request of the local police a consultation was planned with the parties concerned, where it was decided to examine the file in the courtroom before the council chamber session. If there are several detainees in one file, it would be treated as the last, thus safeguarding the rights of access to the file. All these measures have the advantage of reducing the capacity of the local police. So far, we have only known of one case where the time for the inspection of the file might have been too short. If it is re-opted to keep the file inspection in prisons after 16:00, capacity must be released. I have issued general directives in this area, which allow the local level to take the most appropriate measures. In addition, I should note that the practice of file inspection in the court, coupled with the transports that should be carried out in any case, is organized in this way almost everywhere in Flanders. In the province of Limburg, for example, a protocol was recently concluded between the local police, the prosecutor's office, the prisons and the security corps. Over a period of two months 116 man-hours were saved, while the right of access to the files was guaranteed. In the future, however, the security corps will be integrated into the federal police force at a new Security Directorate, which will, among other things, take over all the tasks of the police of courts and courts, including the tasks relating to file inspection. Four working groups are currently working on the concrete development of this new corps. The intervention corps does not have the legal mandate to take up that task. I am an absolute supporter of a digital solution in that context. Today we are working on a chain of technological solutions that allow prisoners to stop moving and access their files from prison by electronic means. The Consult Online project has already been made available in several places, in particular Arlen, Berkendael, Marche and Sint-Gillis, after a successful test period. We are now working on the further roll-out. I have been able to observe this method myself in a number of prisons and it really means a great deal of progress. Consult Online assumes that all documents of the file are electronically available and therefore depends on the implementation of the JustScan project. This means that all paper documents are scanned, which currently leads to an increase in the workload in the short term, primarily for the staff in charge of that task. For this reason, solutions are being worked out to ensure that the various documents are supplied as electronically as possible, so that they can easily be added to the file in the Consult-Online application, which has the great advantage that neither files nor prisoners need to be moved.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u30	Thank you for your reply, Minister. I am, of course, pleased that the digital solution is being looked forward to. In the long term, digitalisation will indeed reduce the workload. In the short term, you refer to a test project, which entails an additional workload, as the documents sent digitally must first be scanned. We must therefore try to achieve full digitalisation as soon as possible, so that Commissioners from different zones no longer have to send us complaints. I refer to your reply yesterday at the joint meeting of the Committees on Home Affairs and Justice on the framework plan on integrated security. It was also about cooperation between the various departments and about cooperation between Justice, police and administrative authorities. You have said that we need to work in an integrated way, for example on a digital level. We must all work on this together. In the zoning chiefs' letter it is pointed out that if the workload in the police zones remains so high due to the method used in the Kortrijk district, it will be forced to reclaim part of the man-hours on the detective capacity. If one reduces the police capacity, it becomes a vicious circle. This will also reduce the workload of the public prosecutors, because there will simply be less influx of police and police work, which is likely to leave the perpetrators at large. It is therefore not a sustainable solution, unless we aim for a very fast, sustainable solution that will reduce police capacity in the different police areas.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u31	Thank you, Minister, for your reply. You replied at the beginning that you had issued directives. Are these recent directives or not?
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u32	It is a general letter; I will give you the specific date in writing.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u33	I'd like to know. In addition, I note that you have two interim solutions, namely a protocol with police forces and the security corps and a new corps to be set up. We will submit these solutions to our zoning chiefs. I understand that these are temporary solutions. At the same time, I will learn from your answer that you are working on digitisation, which must be the final solution.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u34	Minister, by a royal decree of 6 June 2016, you decided to temporarily transfer the seat of the justice of peace from the canton of Kraainem – Rhode-Saint-Genèse of Kraainem to Rhode-Saint-Genèse. This decision is part of your Justice Plan, which provides for "considering the possibility of regrouping cantons located in urban areas, which are adjacent and/or already housed in the same building", while stating that "this analysis will reveal whether they can be merged each time into a single justice of peace, in which different magistrates and justices of the peace will work in different chambers." This decision, however, challenged me in that, four days earlier, you signify by post to the mayor of Kraainem that the headquarters of Kraainem was included in a third phase of your Justice plan, which consists of a reconfiguration of the cantons on the basis of better geographical distribution and workload. This transfer will complicate the lives of the Kraainem and Wezembeek-Oppem litigants, communes that are absolutely not bordering Rhode-Saint-Genesis, without any valid reason justifying such a transfer. On the contrary, I would like to remind you that the municipality of Kraainem makes available to the justice system a building in very good condition and covers the costs of hosting the service. The reopening of the seat is therefore legitimately requested by the two linguistic communities represented at the municipal college, as attested by a unanimous decision of the municipal council of 26 April 2016, considering that its closure constitutes a violation of the principle of equality of Belgians with regard to access to justice, contained in articles 10 and 11 of our Constitution. I would like to make sure that this motion has been communicated to you in the communal council, otherwise I will send it to you. Minister, on what specific criteria did you base your decision to transfer the seat? Have you accurately established the canton's workload by disaggregating it by seat? What are your guarantees of the temporary nature of this transfer? It is very important for us to know that. What practical solution would you propose to the people who live in Wezembeek-Oppem and Kraainem, who must urgently go before their justice of the peace and who are unable to go to Rhode-Saint-Genesis, which is 25 kilometres away, the communications being very bad? What are your guarantees of maintaining language facilities in these two seats?
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u35	Mrs Caprasse, my plan for justices of peace includes, as you know, three phases. What you are referring to in your question concerns phase 2, i.e. the reorganization of the urban cantons. However, the peace justice of Kraainem is not affected by this reorganization. Kraainem is part of a double canton, a justice of peace consisting of two seats. The centralisation of the double cantons was carried out during phase 1 of the plan, with the exception of a few cases, among which the Kraainem-Rhode-Saint-Genèse file, whose examination was postponed to phase 3 which will carry out a possible redistribution of the cantons. However, the Royal Decree which has been adopted and the current situation are completely independent of all reform plans. Indeed, the SPF Employment, Labour and Social Concertation closed the building in Kraainem. The latter, which is owned by the commune, is in poor condition and this inspection service considered that the staff could no longer work there. You're talking about a building in very good condition. I am not in a position to comment on your comments and you will understand that I must stick to the report prepared by the SPF Employment, Labour and Social Concertation. In any event, therefore, temporary relocation should be planned, regardless of the decision to be taken in phase 3. It goes without saying that language legislation must always remain guaranteed, but that cannot be a problem, since everything remains within the same justice of peace, but is now housed in another seat.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u36	In the meantime, Minister, we have done work on the premises where justice of the peace is located. It's important that you know it and we've taken it into account. If the decision you made is temporary, it can already be reviewed. I know many cases of people who need their justice of the peace and who are now completely distraught because of the distance between them and Rhode-Saint-Genesis. I would also like to ask if you have received the motion that was passed into communal council. It is important that you see the message from both municipalities. I will ask the mayor to rewrite you to request an inspection of the premises, to prove that the justice of peace can be restored to its premises. We responded to all the difficulties that had been identified. I hope that we will have a positive answer from you and that these problems will be endorsed for both municipalities.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u37	Mr President, Minister, as of last week there has been a ministerial letter in force according to which persons sentenced to less than three years' imprisonment can be released more quickly for the time being. According to the circular, there is reason to deviate temporarily from the dates originally planned to qualify for provisional release. You would like to leave this measure until the end of December. As a reason, you refer to the current prison climate and living and working conditions in prisons, which need to be improved. I took the coalition agreement and this letter is not entirely in line with that, I think. After all, I read there that strengthening the credibility of the sentence is a priority. For this reason, it is also included in the coalition agreement that circular No. 1816 regarding the execution of short sentences from four months, will be reviewed, and not immediately with the intention of releasing people earlier. Minister, what is the right objective of this? What do you want to achieve with this? Is it to prepare the arrival of the prisoners from Tilburg? Or, and then it is in line with the adopted legislation, is it to release foreigners earlier, so that they can serve their sentence elsewhere? Is it realistic, on the basis of this letter, to be able to accommodate all prisoners currently in prison in Tilburg, whose lease ends at the end of this year? How many inmates are eligible for an early provisional release from prison as a result of this letter? Are there profiles of inmates who are not eligible for this early provisional release? Why do you limit the duration of the letter to December? Is there any reason for this specific timing? Maybe I didn't understand or see something, but how does this fit into the coalition agreement?
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u38	Mr President, Mrs De Wit, allow me to outline the context of the execution of custodial sentences up to and including three years and the related automatic provisional release. In Belgium for a long time, eighteen years, since the abolition of the Lejeune Act of 1888, there has been no formal law on the execution of custodial sentences, the total of which does not exceed three years. The scheme is carried out by means of ministerial conversion letters. On 15 July 2015, I codified the then existing various and unclear regulations in a single letter, without affecting the time conditions or other important principles. In the introductory part of the letter, I made it clear that the letter is in force pending a new legislative initiative which I will take on the implementation of all custodial sentences, which I will comply with the provisions of the coalition agreement. For the reasons set out below, I have indeed issued an instruction with temporary effect until 31 December 2016 to allow the time conditions for the provisional release to take effect earlier. Therefore, the instruction only temporarily amends the Ministerial circular of 15 July 2015 on the time conditions. I come to your first question. With this measure, I aim to resolve the problems facing the prisons recently and to offer decent detention. The latter is also a provision of the government agreement, which, in the penitentiary context, talks about paying attention to human dignity. The recent problems are the strikes in prisons, which lasted almost two months and prevented prisoners from even guaranteeing basic rights, the loss of capacity in Vorst with a reduction in capacity from 405 to 180 places from the end of October, i.e. 225 less, and in Merksplas a temporary loss of 263 places, of which 112 will soon be available again. I come to your second question. It is true that, with the closure of the Tilburg prison at the end of this year, the 500 prisoners residing there must also be housed in prisons on Belgian territory. The pressure on the prison population will therefore increase. Today, it is difficult to estimate exactly how many prisoners will be reduced by temporary measures on a daily basis in prisons. According to our prognosis, this year we are talking about 150 people.The prisoners concerned still have to go to prison for part of their custodial sentence, albeit with less than one or more months. I come to your fourth question. Off-the-shelf exemptions on a fixed date are excluded: those convicted of sexual crimes against minors and those convicted of terrorist activities. For them, the penitentiary administration examines whether an exemption is appropriate and, in a positive case, what conditions are attached to it. Convicts who have been made available to the criminal court shall also be excluded. I come to your fifth question. As the penitentiary crisis is a temporary one, so is the measure. To your sixth question, whether the letter fits in with the coalition agreement, I have already replied in the introduction. I would like to make it clear that the measure will temporarily lead to a greater outflow from prisons of sentenced persons with a total sentence of up to three years. It will therefore be almost exclusively those convicted who have no right of residence in Belgium and therefore have to be removed from their territory. Other convicts, mostly Belgians, must exercise the reduced part of their sentence outside prison under electronic supervision. For this reason, my cabinet informed the Secretary of State for Asylum and Migration and his cabinet in the framework of the Working Party on Coordination Return in two meetings, so that both the penitentiary administration and the Department on Foreign Affairs are prepared for the new and temporary measures. Since the beginning of the legislature, I have been working closely with Mr Francken on expulsions and repatriations of convicted persons, which leads to very good results.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u39	Minister, we can see from the figures that the cooperation between you and Mr Francken has indeed already brought many people out of prison to serve their sentence in the home country. If the measure fits in, I think it is quite a different story. However, if it were not, it would be difficult for me to do so with a view to the execution of the sentence. I think that we should be clear about that. There must be credible punishment. I found it very difficult to see people being released from prison all of a sudden. Moreover, I do not think it is so obvious for the Registrys and the prisons to have to revisit all these end dates. I am glad that this is a temporary measure. On the one hand, I understand that the situation in prisons has been difficult and is still difficult, and on the other hand, there is still such a thing as punishment and punishment. We must not, of course, reduce the penalties because we cannot offer the necessary infrastructure; that does not seem to me to be the right signal. I do welcome the context you have outlined.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u40	(At the request of the Minister, in the report of the Committee on Justice of 29 June 2016 (C459), page 9, left column, sixth paragraph, first sentence, the words "s' should be read as "s'.
