ParlaMint-BE_2017-02-14-54-commissie-ic590x.u1	Question No 15425 by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u38	Mr President, Minister, everything has already been said to identify the problem of the narrow parity clause. The three Belgian federations horeca sent you and your colleague Mr Peeters a letter asking for an end to the narrow parity. You have said in the meantime that you want to move forward on this issue, even if you propose a bill if the online reservation centres do not change their way of doing things. Minister, have any contacts been made? If so, what has been the content of it and what has emerged from it? What is the position of the online reservation centres? We know that France has already legislated on this matter. In Belgium, is a bill on the agenda? What time did you set to try to solve the problem? It can really be problematic for hotels not to be able to determine their rates. They are blocked and cannot reduce their prices if they consider it necessary. It would be important to be able to legislate on this matter before the next summer break. This could be a positive sign towards the Belgian horeca sector.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u39	Mr President, the Horeca federations of the country's three regions have recently sent a letter to you and to your colleague Mr Peeters in charge of the Economy and Employment, asking for intervention by the public authorities in the face of this narrow parity clause. These federations consider that this clause prevents competition which is likely to benefit the consumer and that it is all the more detrimental to the activities since traders also pay a large fee to these booking centres. When we know how important hotel reservations are on the Internet and, in particular, via certain commercial platforms, we can understand that some entrepreneurs feel that they are being taken hostage by this clause promoted and supported by web actors. As my colleagues have mentioned, it seems that the representatives of Horeca are advocating a law that would abrogate the possibility of using this clause, as is already the case in other neighbouring countries such as France, Germany and Italy. Minister, can you confirm receipt of this letter and indicate your position on this file? According to the information at your disposal to date, what is the importance of using this so-called "close parity" clause in the Horeca sector? Have you had the opportunity to receive these representatives in order to discuss them orally and to discuss together the difficulties mentioned in this letter which has been mentioned? What solutions can be considered in synergy with your colleague in charge of the Economy and Employment to relieve these entrepreneurs and strengthen a better and more consumer-friendly market logic?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u40	Minister, may I ask you to make a good summary of your response to these four questions?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u41	Mr President, his weaknesses must be recognised: it is true that I am not the best interlocutor in terms of summary! First of all, I would like to thank you for your questions referring to my press release on the dominant position of online reservation centres. Indeed, I have been in contact with the four most representative organisations in the hotel sector, namely the Fédération Horeca Wallonie, Horeca Brussels, Horeca Flanders and Brussels Hotel Association. Representatives of booking.com were also received on my cabinet. I consider the current situation to be abnormal. I would point out, as you have done very well, that the use of narrow tariff parity clauses prohibits the hotelier from offering lower prices on his own website than on the website of an online agency. So the merchant finds himself in a state of embarrassment. In view of the close relationship between Booking.com and the hotel sector, I wanted to receive a unanimous opinion from the latter, so as to ensure that this request came from all the interlocutors. You know that this is a sector with a wide variety of structures and organisation. I confirm receipt of this unanimous letter. Similarly, I confirm that these practices of narrow tariff parity are prohibited in Germany, Italy and France. The latter two countries have even enshrined the prohibition in question through a law. After analysing this dossier, I felt that it was necessary first of all to adapt our legal framework. Secondly, given the status of the case, I do not think that the Belgian Competition Authority's formal investigation is the most appropriate means of resolving this issue, since I find that it is by law that other countries have solved this problem. On the other hand, a law is drafted only if it is necessary. If Booking.com had spontaneously removed this type of provision, then it was not necessary to decide a law. Voluntaryly, we gave the organization time to react. Perhaps as a result of our parliamentary work, we will observe a reaction, but at this stage this restrictive provision for our hoteliers has not been removed. I have proposed to my colleague in charge of the Economy, co-pilot in this matter, to use and prepare a law, in order to solve this problem in Belgium and to build a legal framework as suitable as that laid down in Germany, Italy and France.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u42	Minister, I can only thank you for your answer and note that you do realise that there is a need to solve this problem. We will give you our full support.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u43	Mr Janssens, that was a brief reply, for which I would like to thank you.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u44	Mr President, Minister, thank you for your answer. If Booking.com does not react, it is important that we move forward and legislate. We will therefore, of course, be attentive, but a priori benevolent, to the proposals that you will put on the table. Indeed, we must react as quickly as possible. We therefore look forward to the texts you will be presenting to us with your colleague, Mr Peeters.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u45	Mr President, Minister, thank you for your very comprehensive answer. I hear you're giving Booking.com the opportunity to react. But other platforms may also offer online bookings and use this narrow rate parity clause. In doing so, in my view, it is not only necessary to specifically target Booking.com. Indeed, in the future, other booking sites could work in this way. I therefore propose that we opt directly for a legal framework in order to protect the Horeca sector and the hotel sector. Many initiatives are being taken to ensure that tourism resumes in our country. We must be able to support our independents in the hotel sector without delay. I therefore call for the creation of a legal framework in this area, as Italy and France are already benefiting from it. I have taken note of the fact that it is Mr Peeters who will be responsible for this dynamic. I guess you're both on the same wavelength. In any case, we will have an opportunity to have an exchange of views on this matter with your colleague.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u46	Mr President, Minister, thank you for your answer. I would like to return for a moment to Mrs Winckel's speech. As I understand it, the minister used the time. He "leaved" the chance. You are now working, Minister, on this bill in collaboration with Minister Peeters. We can only congratulate you on that. Indeed, you cannot be blamed for wanting to leave an opportunity to these platforms. I would like to draw attention here to the fact that it is not necessary to stigmatize one more than the others, as many of them resort to this type of practice. In any event, for my part, I believe that the legal framework is the right tool from the moment when there was no spontaneous reaction in the head of these platforms. A law will help relieve the various entrepreneurs active in the horeca sector, but also strengthen a better market logic that will ultimately be favourable to all consumers. We will therefore be following closely the development of this issue.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u47	Minister, I have already questioned you in the past about the reform of the Order of Architects. The report of 16 December on the discussion of your policy paper examined progress in the reform of the Architects' Order. You were asked when the bill would be submitted. You replied that the reform of the Order of Architects due to various state reforms, the federal structure and the transfer of powers to the Region would not go smoothly. However, you did expect the dossier to be completed in February 2017. I prepared this question in mid-January. Meanwhile, the deadline is near, hence my questions, Minister. Has the reform been completed in the meantime, or where do you stand with it? If you have not finished the reform, can you give us a timing? In that case, when do you expect to be able to submit the bill?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u48	Mrs De Coninck, in the context of the discussion of my policy paper, I did indeed propose the completion of the reform of the Architects' Order in mid-February. Meanwhile, a unanimous agreement was reached with the sector on reform and a reform text. It is the subject of inter-kabinnet working groups. Of course, a draft can only be submitted to Parliament when an agreement is reached at government level. Since, in my humble opinion, the draft lays down an optimal structure and, given that it enjoys the unanimous agreement of the sector, I hope to reach an agreement soon and to come to Parliament as soon as possible.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u49	Thank you, Minister, for your reply. I am pleased that you report that there is a unanimous agreement with the sector. That's good. The sector was calling for this reform. As you know, we have also tabled a legislative proposal ourselves, and we have also launched initiatives together with the sector. It is very good that you, as Minister, have drawn this work towards you. I understand that it is now at the level of the Inter-Kabinette Working Group and that it will then come to Parliament. We will, of course, continue to follow up this dossier. Thank you.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u50	Mr President, Minister, on 23 January the European Agriculture Council met in Brussels and this has not gone unnoticed. Delegations from EMB, FUGEA and Via Campesina are displeased with the stock of milk powder that would be withdrawn from intervention and put back on the market. They fear that the milk price, which is now at a reasonable level, will be hit. They have therefore argued for a permanent crisis instrument. They call for a mandatory system of flexible production regulation. Among other things, the Boerenbond has already indicated that it is not in favour of this. In their view, the cost of compulsory reduced milk production ultimately lies with the dairy farmer and it also affects our international competitiveness. A number of other agricultural associations also advocate temporary and voluntary production restrictions. They want the milk powder to be placed on the market in intervention only very gradually so that it does not disturb the attracting market. That way, the milkman's position doesn't go back to square one. In our view, it would be a bad idea for our economy and ultimately for our farmers if there were a compulsory system of production restrictions. We want to focus on voluntary production restrictions, but with proper compensation for the loss of income suffered. Moreover, more and more voices are being voiced at European level to give real importance to insurance as a price or income stabilising mechanism. In this way, the market can regulate itself instead of being centrally regulated. I come to my questions, Minister. What was discussed at the last Agriculture Council? Voluntary production restrictions on milk have been maintained for several months. What will happen to this measure in the future? It was your own words that it would be a catastrophe if large quantities of milk powder were now marketed. How are you going to ensure that this does not happen, that it gradually enters the market and that it does not affect the price of milk too much? What do your European fellow Members think of the proposal from the protesting delegations? Once again, my question is, to what extent are the European minds ripening to work towards this insurance system?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u51	Mr Minister, following the European Agriculture Council on 27 June, I asked you about the avenues explored for an end to the milk crisis. At the time, the situation was much more boring than it is now, since last August the real price of milk did not exceed 25.86 cents per litre, a drop of more than 35% since the Russian embargo was introduced two years ago. Nevertheless, in this somewhat, if not very dark, two promising signals were observed, namely that production tended to stabilize and that the prices of certain dairy products (butter, skimmed milk powder, etc.) were stable.), had increased sharply. Since the introduction of the Russian embargo, the European Commissioner has presented three support plans for the dairy sector: financial aid of EUR 500 million, the possibility for cooperatives to agree on production volumes and for Member States to assist their producers in the amount of EUR 15 000 and a new plan of EUR 500 million, including an envelope of EUR 150 million for a voluntary reduction in production. At an informal Agriculture Council in Slovakia, Belgium called for greater market regulation by the European Union, a strengthening of the European Price Observatory and greater transparency of the chain. In this respect, the Belgian Competition Authority carried out a study on the basis of reports from the Belgian Price Observatory or complaints from operators. Mr Minister, following the European Agriculture Council which took place at the end of January, can you give me a quick assessment of the situation? Can you tell me where the task force on agricultural markets is? Do you have the results of the study carried out by the Belgian Competition Authority? If so, can you communicate them to us? If not, can we know when this study will be available?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u52	Mr President, ladies and gentlemen, Commissioner Phil Hogan said at the European Agriculture Council on 23 January 2017 that he did not understand the manifestation for two reasons. Firstly, because the milk price has increased on average by 25% since August and, secondly, because the Commission does not put its milk powder stocks on sale, but also refuses offers submitted to it. Only 40 tonnes of the 345 000 tonnes of stored milk powder have so far been put on the market again. I would stress the fact that European stocks account for nearly 4 billion litres of milk. The current situation remains therefore extremely vulnerable. The Commission has said that it is closely following the evolution of the market. What was Belgium's view? Of course, I am very closely and regularly the evolution of all markets, especially the various markets linked to milk production. In our country, the average price of milk paid by members of the Belgian Confederation of Dairy Industry (CBL) was 37 cents per litre in December 2016. Prices in July averaged 22.5 cents. We therefore see a very large increase of almost 60 per cent in just five months. As regards Belgian production, it was growing in 2016 compared to 2015. In 2015, Belgium produced 3.56 billion litres and in 2016, 3.68 billion litres, an increase of 3.2%. At the European Council of Agriculture Ministers on 23 January, I stressed that it was still too early to assess the impact of the measures in the September 2016 plan. Indeed, cash aid can be paid until 30 September 2017 and we do not yet have information on the actual production reduction linked to the production reduction plan. However, it is known that this production reduction plan has been a success at European and Belgian level. I now come to our demands. I call for the substantial European stocks of milk powder to be largely distributed among the most disadvantaged within our European borders. I regret that the Maltese Presidency and the Commission remain too vague about the implementation of the recommendations of the Agricultural Markets Task Force. I believe that the stabilisation instruments can contribute to a certain stabilisation of revenue, but such instruments need to be considered and consulted with all sectors. As far as the CAP post-2020 is concerned, Commissioner Hogan has stated that the following is on the agenda for 2017: a public consultation, a conference to present its results, and finally a communication at the end of this year that will outline the broad lines of the future CAP. As I mentioned earlier, simplification, sustainability, management of market volatility and employment in the sector are important elements for the future of the common agricultural policy. Be assured that I remain extremely careful, in consultation with the Regions, to create the framework for strengthening the economic situation and prospects of our dairy producers, in particular. Mrs Cassart, with regard to your third sub-question on the Belgian Competition Authority's investigation, an investigation is under way into a possible agreement on fruit prices. The Belgian Competition Authority interviewed certain fruit growers and/or distributors in September 2016. This body works in a completely independent manner and can carry out investigations on its own initiative on the basis of reports published by the Belgian Price Observatory, for example, or on the basis of complaints from operators or at my request what has not happened at this stage.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u53	Thank you, Minister, for your reply. I know your commitment to agriculture. It's not about that for me. However, I do not get an answer to a number of questions. I also do not understand why the Commissioner does not understand the action. He does not have to answer their question, but I do understand the concerns of the sector. We do not want to go into this question of introducing this compulsory system of production. I understand, however, that the recovery of the milk market gives farmers, the milk farmers, the chance to build up a little reserve again. That remains very vulnerable. The fear of the milk powder returning to the market is good. We all know the outcome of this. I will never get an answer to my question as to what the European fellow Members of these delegations think. One day I would like to get an answer to my question as to what Europe thinks about an insurance system. I think we really need to think about that. This insurance system can prevent us from having to look for financial resources in the future, in every crisis in agriculture. Then we can intervene immediately to keep those farmers on board. I urge you to take this system with you to the European Commission and to defend it hard there. I think there is some future music in that for our farmers. That is much better than having to look for resources and find out à la minute crisis measures every time.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u54	Minister, thank you for your full answers. Ms. Gantois spoke of an insurance opportunity. I think the issue can be debated. But we realize that Belgium has always been the first to ask for and propose solutions. It is clear that this sector requires some stability. If there is still much work to be done, we have some tools that you are implementing, Minister.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u55	As regards the return of stocks, the Commission considers that, given that it has placed the bar very high in price terms and that only 40 tonnes have actually been marketed, its proposal is unlikely to destabilise the market. It is in this sense that I said that Phil Hogan did not understand at all the reasons for the demonstration. In addition, concerning price insurance, it is an interesting system, which has been the subject of academic research and research. There is a very important question here: how is the financing mechanism for these insurances organised? Will considerable resources be sought in the common agricultural policy to finance this system? There is a lot of research in this respect and this will be the subject of a debate in our discussion on the future of the common agricultural policy.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u56	Minister, I also know that it is not so obvious, of course, but if we do not examine it and look at the possibilities, for example in other countries where it does work, we will never know. However, I am pleased that it is being taken into account in the debate, and I thank you for that.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u57	Minister, I am glad to have heard your clarifications. It is clear that an insurance pole can represent a boon and stabilize the situation. However, we must realize that all sectors of agriculture are concerned. At the moment, this is dairy production, but this case may also affect cereal cultivation, cattle farming, etc. You say that much of the CAP could be destined for this insurance pole, but I would urge you to be cautious as the implementation of this policy is still waiting.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u58	Debates of the European Parliament Question No 16102 16581, both by Mrs Smaers, will be converted into written questions.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u59	Mr Minister, on 3 February, you presented a first barometer of SMEs and self-employed people, in collaboration with the SPF Économie, an interesting initiative which enables us to objectively measure the major trends concerning this fundamental part of our economy, whether at Belgian level or at the level of our Regions. The barometer contains some very interesting elements. I have listed a few of them here and I would like to have your opinion on some of the figures. Firstly, there were 863,165 SMEs in Belgium at the end of 2015, representing 99.3% of Belgian enterprises and 77 SMEs per 1,000 inhabitants. This is an important figure, even if our neighbouring countries have an even larger ratio. It's already significant. Second, at the end of 2015, 79.65% of these SMEs - a constantly growing figure - were single-member companies without employees. Third, the self-employed population is ageing. This is logical, given that this is the trend of the general population, but this figure is worrying because the share of older self-employed people has grown by 27.5 per cent over the last six years, compared with only 13.3 per cent for those under 35. This is reminiscent of the major societal but also economic stake of the transmission of enterprises since all these independents, these entrepreneurs will have to give up their business and that they are often, as we know, not prepared to do so. The fourth point that caught my attention was the fact that almost 24 per cent of the self-employed are complementary, which is a very high proportion compared to our neighbouring countries. Somewhere, therefore, the figures for the total number of SMEs are somewhat inflated. Finally, about one in three independents is an independent; this figure is growing slightly, even though there is still a good margin of progress. You know that this subject of female entrepreneurship is dear to ecologists. We have already had the opportunity to discuss it here together. Steps have been taken by yourself and by the government. I hope that we can continue to support this trend together, that rebalancing, I would say, to have as many independents and entrepreneurs as entrepreneurs in the future. These findings lead me to ask you the following two questions. Minister, what are the reasons for the large proportion of single-person businesses? We have already discussed the new measures you have introduced recently, such as the "zero lifetime contribution" measure so that SMEs and self-employed people can make a first commitment. It is known that this is often the problem of hiring a first employee. However, this proportion of single-person enterprises is still very high. Are there no other factors than the cost of labour? It would be difficult to lower the cost of work more than with zero contributions. Is there anything else? I'm pretty sure there's something else. Do you have any numbers? How do you feel about this? Is it a question of training, lack of support, lack of information? I think it's an important subject. The second thing that emerges from these figures is that corporate transmission is again proving to be a major issue, in relation to the evolution of the age pyramid. It is a cross-cutting subject, which concerns several levels of jurisdiction, including the Regions and the Federal State. Do you intend to take an initiative at the federal level? Mr President, perhaps we could consider holding hearings on the subject, which is fundamental at the economic level. In any case, we wish to make progress on this subject. We have also just tabled a motion for a resolution on this subject. If my memory is good, it was taken into account in plenary two weeks ago. We wish to make progress on this subject, in consultation with the Regions. The federal government must also get involved, for example by using the tax lever that is important in this area. I wanted to have your feeling, your analysis on these two points.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u60	Mr Vanden Burre, if the minister allows, I will already answer as far as I am concerned. On Tuesday, 21 February, the first item on the Committee's agenda will be the organization of work. It is at that time that requests for hearings or specific requests should be made. We did the exercise a few days ago. There have already been many requests, in connection with bills or other matters. In any case, nothing prevents us from making a proposal. It will be discussed by the committee next Tuesday.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u61	Mr President, honourable Member, I am open and at your disposal to listen to or participate in the work you would decide to do in this regard. Mr President, I am very pleased with the publication of this first scoreboard for SMEs and self-employed people because it is full of teaching. In order to try to help the sector as much as possible, it is necessary to measure its situation and expectations as well as elements of economic development, for example. This tool will be regular and will be used to measure the impact of a number of decisions taken in favour of SMEs and self-employed people. There are many things to be removed from this document and you have illustrated some of them, including the fact that the percentage of companies with no employees is very large and that between 2013 and 2015, this percentage increased from 79.04 per cent to 79.65 per cent. This situation must be compared to the basic one, which is the growth in the number of self-employed in Belgium. Between 2007 and 2015, the number of self-employed increased by 18%. A series of measures concerning the social status of the self-employed, taken by the minister who preceded me or myself, help to strengthen the decision of the candidates entrepreneurs to move on. I believe that these findings are further strengthened in 2016, according to a number of figures that have just been communicated to me. You're asking the question from the first-time employers. When asked, they mentioned three main elements concerning the obstacles to hiring: the cost of employers' costs, administrative complications and the difficulty of having the expected workforce in certain sectors and/or regions. We have therefore worked with you to remove the main social contributions for the first commitment and decrease for subsequent commitments for thirteen quarters. It is well known that the problem of administrative burdens and their complications must also be addressed. Together with my colleague the Secretary of State for Administrative Simplification, I am finalising the implementation of a series of concrete measures to facilitate the lives of self-employed and SMEs, so as to also work on this second element. There is a third element: the question of mentality, state of mind and the global environment. I come to the lack of training for young people. You are right, this element, in this case the fact that employers are not finding the skills or talents expected in their activities, is also important. You know that we are here within the scope of regional or Community competences, and we must work hard on these elements at this level. The transmission of enterprises is another important topic. Indeed, it is known that the number of companies to be handed over over over over the next ten years is considerable; some even go so far as to mention the number of 300,000 companies to be put back in the next decade. It seems to me, therefore, that we need to work even harder on this issue. As you know, this is a regional competence, and the Regions have put in place certain things in this respect: regional platforms, accompanying structures, etc. But I'm available. You are making this suggestion through your resolution recently tabled in Parliament. I am available to discuss a cooperation agreement between the federal government and the federated entities, as this is a major element. Let us first preserve what exists, while at the same time making efforts to create what will exist in the future, in a complementary way. The self-employed, as a complement, deserve a great deal of thought. I would like to draw your attention to the fact that this is also a front door for the main activity. A report I recently received from the Conseil Supérieur des Indépendants et des SMEs indicates that 8% of the complementary self-employed become self-employed primarily after one year, and just over 18.4 or 18.5 % became self-employed primarily after five years. It's an interesting element. This status is one of the front doors. I will give you this report on the self-employed as a complement, because it is a mine of analysis. I will also make proposals on self-employed people as a complement, because the number is large and growing, as you have pointed out. They really deserve to think about their status, and how to create the optimal framework for their situation.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u62	Mr President, I thank the minister for his answers. I will not make an inventory of it, but it is important to be able to go to the bottom of things in order to be able to analyse the various causal factors. Depending on the organization of the commission's work, we will see. We know there are many scheduled hearings. I see you eyebrow, Mr. President. We'll do as we said; we've given a lot of energy. My Ecolo colleagues are very pleased with this, but less so. This is another debate. The subjects on the table are of at least equal importance. Transmission seems to be an important topic. We'll see how to organize. I take note and am rather pleased to hear that the Minister is open to these discussions and to see that we will be able to build together solutions that will create employment within the structures of the FTEs and the self-employed, stimulate quality jobs as well as sustainable jobs, and both respond to the obvious aging of our entrepreneurial population. We will come back very soon and thank you.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u63	Mr President, Minister, my question is indeed about the black box, the smart cash register or the white box. There are several words to designate the same object. Minister, the horeca sector seems to be quite unanimous on the issue of black boxing. He felt that measures should be taken to combat unfair competition and black-out work. Nevertheless, it is also unanimous in denouncing the white box, established after numerous legal twists. Since its establishment, it seems that several restaurants have had to close for a few days, remove services or even abolish their activity. However, the closure for a few hours, a few days or the cessation of any activity results in a slowdown in the development of these enterprises and a decrease in their visibility. Today, the sector is clearly strangled and strongly denounces the government's immobility. Their concerns need to be heard and, above all, they need to be addressed. At the sector level, a few answers are put on the table, such as a drop in VAT. What is your position on this? Another avenue proposed by the Belgian Restaurants Association (BRA) is to increase the tax deductibility of restaurant fees for self-employed and private individuals. What is your position on this matter? What is your reaction to the sector, which denounces the outdated side of the technology used in the black box? In early February, it was learned, among other things, that 12,000 smart cash registers had to be replaced. What about this? Currently, restaurants use black box and others do not. In doing so, the sector denounces a form of social dumping in Horeca? What are the returns you receive from the land on this subject? What is the status of the various remedies on the obligation to install this white box?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u64	Mrs Winckel, with regard to black box, the development of legal and technical criteria is the responsibility of the Minister of Finance. I will not hide from you the perplexity of the failure of nearly 12,000 caisses and the resulting difficulties. I am keen to listen to the horeca sector, particularly in this regard. Allow me to invite you to ask my colleague, so that he can comment on the communication issued by the FPS Finances the day after this finding of defect. The appeal is still under consideration. Because of the separation of powers, I can only wait for the decision to be taken. You then know that we have taken a number of measures in favour of this sector, such as the exemption from overtime charges - a provision which I believe should be extended - and certain exemptions from payment of the professional discount, the creation of the flexi-jobs system. In addition, the horeca sector derives a direct benefit from the change in student status. For my part, I remain very attentive to the development of employment in this field. I am obviously in favour of examining additional provisions as soon as budgetary constraints permit. We'll have to see what shape they'll take. I am naturally committed to maintaining a link with employment. I have read the contribution of the association BRA (Belgian Restaurants Association) on tax deductibility. As soon as we have obtained clarification on the use and operation of the cash registers, these measures will have to be examined in the light of the budgetary possibilities.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u65	Minister, I have heard your answer quite short. I understand that this matter falls within the purview of the Minister of Finance, with whom I will intervene. I know that you, as Minister for the Middle Classes, Independents and SMEs, are very attentive to these issues. That is why I believe that we should not be too late. Action is being taken with respect to business days and hours, but there is a sense that the sector is really weakened. It should be heard and arrangements made. The Horeca itself develops proposals. Although you are passing the hot potato on to the Minister of Finance, it is important that you and your colleague reflect immediately on measures to support the sector. This is all the more urgent as certain provisions prove to be dramatic for some professionals.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u66	Mrs Winckel, you keep the floor to ask your question about the growing use of the results-related non-recurring benefit (ANR). (No 16661)
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u67	Mr President, I propose that you turn it into a written question.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u68	Mrs Winckel, I shall immediately transmit to you the text of my reply. This is a very interesting question. You have rightly pointed out the significant volumes involved.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u69	In fact, I find that this is a positive measure, which can stimulate the positive spirit that prevails within a company and which can stimulate workers. I therefore turn this question into a written question.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u70	Of which act.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u71	Minister, here is an example of successful conversion. Two former workers from Caterpillar recently launched the very first collaborative platform for self-employed: Tafsquare. This project brings together more than 7,500 entrepreneurs, representing 150 different trades. This tool promotes collaborative reflexes between small independents and could be extended to other sectors, including agriculture. As Minister for Self-Employed and SMEs, how do you view the initiative? Do you intend to support her? If so, how? Knowing the current difficulties of the agricultural world, will you develop this same tool and launch a collaborative platform dedicated specifically to farmers? Could other sectors be interested in this type of platform?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u72	Madam Member, the initiative to which you refer is an additional example of the effective use of new technology to foster networking, and an example of successful conversion. The aim of the Tafsquare platform is to bring independents into contact exclusively in order to meet, in particular, the needs of subcontractors. I am sensitive to these initiatives that promote local, local economic development. I strongly support the development of the SME tax shelter, which aims to strengthen the financing opportunities of start-ups under four years of age, starting with individuals. In addition, I want to develop short circuits, localisation, quality Belgian products, handicrafts. These initiatives contribute to this kind of dynamism. I have initiated the development of the register of artisans where the consumer can find, in a few clicks, the craftsman of his region or a region further away. This project may experience positive spin-offs in other sectors. At the agricultural level, specific collaborative platforms already exist. For example, the MiiMOSA project aims to promote participatory financing for agriculture and food. I am quite prepared to give further thought to the role of the federal state as facilitator, for example, at the request of the various sectors. I will not fail to address this issue with the representatives of Agrofor.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u73	Minister, thank you for your answers. It is an intelligent use of new technologies and it can bring a lot to the self-employed, including the collaborative platform. The MiiMOSA platform, which deals with crowdfunding, has some success at regional level. I believe that a pooling that meets the various demands of the agricultural sector could be stimulating and supportive for a sector of activity that is well known for its problems. I will come back to you if you plan that the federal government will play a facilitating role in this issue.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u74	Here's something that's very close to my heart. Minister, according to the NIS, only 6% of entrepreneurs know that it is possible to share some of the workers they need for only a few hours a week. This mechanism is permitted through employer groups. As of 29 August 2016, nine employer groups appeared to be active in Belgium. This number is relatively small, especially since a number of barriers had been removed in order to encourage this system. From now on, a group of employers can be an ASBL, the worker must no longer be unemployed and part-time workers are allowed. According to the NIS, the biggest problem is the general lack of knowledge of the process. I am convinced that better communication around the tool would allow wider dissemination. Minister, to date, are there more employer groups? Are the conditions well known to the social secretariats type UCM, Group S, etc.- Is that what you're saying? What measures are you going to take to improve communication around employer groups? Are further measures to further ease the mechanism expected by 2019? I think it's really a great device that allows a real win-win between the conditions of the employee and the objectives of the manager.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u75	Madam Member, I would like to join you very broadly. I am very sensitive - I have already had the opportunity to express it in the Parliamentary Assembly - to the attractiveness of the scheme for groups of employers. The value of the formula is to have many advantages: the development of employment through the mutualisation of activities, the securing of the contract or employment of the employee, the increased flexibility, in some cases, which is necessary for the employer, the control of costs, the profitability of the partners, the modulation of the needs according to the economic interests of the members of the group and then a form of securing the development of the activity. Consequently, the reform of the scheme in the SME plan has been incorporated into the law on feasible work and is currently referred to the Council of State, but it will soon be discussed again in the plenary session of Parliament. These are really considerable advances that can be found in this law, since I had observed that the barriers removed in the previous legislature were unfortunately insufficient. The new advances are significant. In particular, I proposed them following the study of what is happening in France with regard to groups of employers. Two of my collaborators went to France, visited various structures and studied the legal system. In particular, there has been contact with chambers of commerce on the subject and with other actors. The following changes are on the agenda. The period of authorisation will now be unlimited for groups of employers with fewer than 50 workers. Previously, the duration was fixed by the Minister of Employment. Consultation with the National Labour Council will no longer be compulsory for groups of monosectoral employers. As a result, processing times will be shortened. The old procedure lasted a hundred days while the new procedure, for a group of monosectoral employers, will take up to 40 days. Having to wait a hundred days to file a project in order to hire staff always upsets me. Forty days is a maximum, I insist! Working conditions will be determined by the Joint Reference Committee. For groups of monosectural employers, it's simple! There's only one. For multi-sectoral employer groups, the Minister of Employment will determine the joint committee to which the group concerned will belong on the basis of a set of objective criteria laid down by law. The possible intervention of an external organiser is limited to groups of employers with more than 50 workers. 2017 will be used to strengthen information, dissemination, communication with SMEs and intermediaries, social secretariats etc. I intend to take initiatives to make the scheme known because, you are right, in Belgium there are only nine groups of employers, whereas in France there are five thousand groups of employers employing a total of almost 40,000 workers. My aim is not to replace employment in enterprises or employment in enterprise projects with groups of employers, but in any case it is an interesting form of organisation. I hope that, thanks to the new system and the communication that we will make of it and the relays, in the future we will have a deposit of real additional quality jobs developed at home. That is in any case my objective in this reform.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u76	Minister, thank you for your answer. I am pleased to note that we share the same view on the relevance of employer groups. In particular, they can provide support to SMEs and small self-employed persons. The interest of workers is to be assured of finding quality jobs. It meets these two objectives and is therefore a good win-win on both sides. I will take the time to analyze your information on the measures included in the Workable Bill. While it is appropriate to reduce procedural time, it may be regrettable to miss out on consultation with the NTC. It would probably have been interesting to keep it while reducing the period from one hundred to forty days. I will allow myself to come back to the matter later.
