ParlaMint-NO_2012-10-11.ana.ud366e63	The representative Ivar Kristiansen, who has been licensed, has once again taken his seat.
ParlaMint-NO_2012-10-11.ana.ud366e544	In 2002, the then State Council, Victor Norman, imposed a ban on award credits for domestic air traffic. The ban was made permanent in 2007, through the bonus regulation, by then Minister of Renewal and Administration Heidi Grande Røys, on the grounds that the prices had fallen by 30 pst. the first years following the introduction of the prohibition. Among the airlines, SAS has been against the ban all along, while Norwegian has been a supporter of it. Norwegian has taken market shares from SAS since the prohibition of award credits was established. Competition supervision is therefore now in place to remove the ban on three major routes. For the Progress Party, free competition in aviation is important and right. For the last decade, we have witnessed a raging development in Norwegian aviation. Competition has increased, and prices have fallen sharply in favour of business, private travellers and districts. But it is important in this debate not to lock itself in concrete terms to the relationship between SAS and Norwegian. For the Progress Party, it is important to get more players into Norwegian aviation, so that we can push prices further in favour of Norwegian business and leisure. Therefore, it is also important to facilitate the entry of several actors into the market. Many airports, not least in the districts, can enjoy lower prices and increased offers for travellers. There is clearly a great deal of disagreement between stakeholders and the political environment as to whether the bonus programme will weaken competition in the aviation market or whether it will only expand and improve the offer of travellers. But now Norway is the only country where there is a ban on domestic bonus programmes. In Sweden and other countries, SAS has the same programme for domestic travellers, but in Norway it is not actually allowed. The competitive element of the bonus programme lies in the additional service and flexibility offered by airlines. The lifting of the ban may well lead to more business travellers choosing to travel with SAS, irrespective of the price itself, but there is reason to believe that leisure travellers will nevertheless be more concerned with the price than the services provided in an advantage programme. The government has no principle of the bonus programme when it opens up the lifting of the ban on three routes. The question is how the Council of State considers this to affect competition with nearby airports. When the government does not have a clear, principled approach to the issue, it may also be time to draw up an independent investigation into the competitive situation and conditions of competition in Norwegian aviation, for the benefit of the market, operators, business and private travellers.
ParlaMint-NO_2012-10-11.ana.ud366e565	I will begin by thanking the interpellant, my good colleague Arve Kambe, for an extremely well-trained interpellant. The debate also looks – interestingly enough – to be quite broad scepticism about bonus schemes, for reasons that have been explained more widely by other participants in the debate. I just want to remind you of the attempt to lock customers in by building thresholds that limit the freedom of choice for consumers. You can probably tempt the individual in a travel situation, but such thresholds and lock-in lead to weakened competition and thus more expensive travel for all of us. And then we all become losers, no matter where we live, and what's our travel pattern. I would also like to draw attention to the fact that the Competition Authority – by all means – launches an intermediate variant that will in itself help to shift the distortion of competition from one area to another. It is with interest that I can also sum up at this stage in the debate and say that the so-called 'intermediate' option does not have much support in the Chamber either. I also hope that the Council of State will note that. So we really stand between two points of view, either a bonus on all routes, or no bonus, and thus a reinforced competition for all to the delight of the travellers. However, I could have liked a clearer direction from the Council of State, in which direction she would go further in order to ensure fair competition between the airlines as far as possible. It seems that the Council of State has not decided, has no meaning, has no principle attitude to it. Therefore, from this point on, I would like to encourage the Council of State to ‘come out’ and provide a clearer guideline. Sometimes it is the way in the world that more investigative capacity should not be used, not more taxpayers' money, to investigate something that is fundamentally a bad idea.
ParlaMint-NO_2012-10-11.ana.ud366e574	First to the head of the nutrition committee, Terje Aasland, whom I also experience has helped clear up the debate in such a way that I understand that even for the Workers' Party it is either everything or nothing. It's a necessary clarification that it's also good to get out of the Storting's pulpit. But that comparison between customs increase and bonus bans has some relevance – here I would say that customs increase affects consumers, while bonus bans are to the benefit of consumers. So I didn't quite understand that – I think maybe the leader didn't quite understand it either. Otherwise, I also think Geir-Ketil Hansen, who speaks on behalf of SV, had a good competitive orientation in his post. More of that from SV had been nice. But I think the representative Bergsvåg, from the Central Party, also contributes. This means that the key is now at the Workers' Party. We heard the articles of the Progress Party here, those that have been skeptical in the past, to say it carefully, to ban bonuses, open up because it actually worked. So we're left with the Arbeiderpartiet that's going to decide whether it's going to be a bonus ban or not. If today's system is maintained, the Central Party and the Government's SV will not be critical. Nor does it seem that any of the opposition parties will be critical. Maybe the only ones are dissatisfied, SAS. It's a heavy argument for SAS, but we don't necessarily have one company in mind when Stortinget decides framework conditions. The Right too, which is in favour of free competition and a free market, knows that if the market is not regulated, it will develop into monopolies. That's why you have competition supervision, that's why you're guarding competition: you want to make sure there's competition. Ironically, a ban contributes to lower prices and better competition. It's been doing that for ten years. That's one of my points, too, to clarify that if it ain't broken, don't fix it, as they say America, whether you're a Republican or a Democrat. I think that's actually a pretty good approach for Norway. I feel that the debate has cleared up alternatives in the case of airports. That argument is so good and objective that the Council of State sees it. Thus, the discussion in the future may be whether all routes should be awarded a bonus point, or whether no one should receive a bonus point. The debate that has been here today suggests that there are most good arguments for no one to get it because it has worked.
ParlaMint-NO_2012-10-11.ana.ud366e587	It is interesting to be here today, to have gone to the Stortinget, to listen to the input of big business representatives into a matter that the government has to deal with – and then be accused of not having a principle attitude and not wanting to present it when you are in the storeroom. It's not as good to know exactly how to satisfy the Storting compared to having the opportunity to influence the government's policy. I am pleased with the recordings we have received, I am pleased with the debate we have had, but to me from the pulpit of the Stortinge to announce what I think about the matter, a matter that is so exchange-sensitive, I hope the representatives respect that I will not do so. Then, in this debate, you have made a lot of good input that I'm going to take with you. I just want to stay with a few of the things that have been said, because I am concerned that we will have competition in the aviation market in Norway. I think that's absolutely crucial. This has contributed to lower prices in Norway, as in most other European countries. It is quite right that the Competition Authority has said that a lifting of the bonus ban could affect the performance of Norwegian in the order of 2.2 pst. We have to take that into account in the further work of deciding. But then I have to let myself say that the debate here sounds like only SAS has a bonus program. That's not right. Norwegian has it too – where you get between 2 pst. and 10 pst. of the travel value as award credits. If you use a credit card with the Norwegian logo attached to Bank Norwegian, you can get up to 20 pst. Then it would have been interesting to join the debate, but I understand that you haven't wanted to say anything about it. Are we also going to ban the programme that Norwegian now has? It is also a bonus programme, although it does not have the thresholds and may not have the same obvious lock-in effect as the EuroBonus programme for SAS. There are now also opportunities to purchase at thresholds – not just to earn money and the benefits associated with buying travel. The case shows that there are several different aspects to consider. I can assure the representative that the government will do the further work on this matter. We're not going to need any more investigations until we decide. We have enough reason to decide, but I think it was right, as I said, to bring in the recordings that the Stortinge gave here, before we go to government treatment.
ParlaMint-NO_2012-10-11.ana.ud366e600	Several have not asked for the floor on case No. 4th@item: inlistbox
ParlaMint-NO_2012-10-11.ana.ud366e614	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 5 minutes for each group and 5 minutes for the Council of State. The President will also propose that there be a change of lines of up to four lines with replies after contributions by the member of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-10-11.ana.ud366e623	Family immigrants and migrant workers are the two largest groups of immigrants to Norway. Last year almost 13 000 family immigration permits were granted, and the number is increasing. The case today concerns family reunification when the parties have lived together before the person who lives here came to Norway or when the applicant is the child of the reference person. It's about things that mean a lot to them. The right to family life is therefore protected by international conventions. At the same time, there is a cross-political agreement that the right to family reunification cannot be unlimited. We need legislation to ensure that the referee can support the mover to Norway. The maintenance requirement is currently NOK 242 440 – from 1 May 2012 corresponding to 88 pst. of salary step 19. With a new foreign law in 2010, the maintenance requirements were tightened. Only the income of the reference person counts and the requirement also applies when applying for family reunification is a Norwegian citizen or a non-resident with a permanent residence permit. There were several reasons for that. Among other things, Stortinget would ensure the ability to provide self-sufficiency, and there was an expressed desire to find rules that could counteract coercion. No one has so far argued that this was wrong, nor has the Committee considered it necessary to organise a hearing in the case. However, now that we are discussing possible legislative changes or adjustments, this is because we have seen that the new rules have also had unintended effects. It's hard to make rules that cover all possible cases. We humans are as known different. This is also why the Department has asked the UDI to report unintended effects. The draft representative refers to a look-up in the evening post in January this year, and there have been several cases in which some of us have asked questions as to whether this was the intention. This may apply to students, time taken from the income requirement is actually fulfilled until the application is completed, families who have lived abroad, reference persons with temporary leave from permanent employment, or that we are not EEA citizens in their own country – to mention anything. We also see large differences in the grant rate according to the nationality of the applicant. It is e.g. far higher for applicants from Thailand, the Philippines and Russia than from some other countries. Applications from e.g. Somalia, Morocco and Turkey are rejected much more frequently on grounds of pro forma. Some of these issues relate to family start-up — which is not a topic today — but also in the case of family reunification, there may be grounds for looking at both attitudes and gender differences in the way the legislation turns out. The question we are discussing today is really what is the best way to correct such unintended effects. The proposers want more discretion for the foreign authorities when deciding whether the maintenance requirement of Section 58 of the Foreign Affairs Act is met. The Committee does not agree and unanimously proposes that the proposal of the Left should be annexed to the Protocol, but with slightly different reasons. Instead, the Committee refers to the two letters of the Council of State to the Storting on this matter, which state that a work has already been undertaken to find policy solutions in the form of instructions or regulatory changes based on the unintended effects reported by the UDI. In particular, there will be a focus on whether current rules are unduly limiting the right of children to family reunification with their parents and whether there are systematic differences in cases where men and women are reference persons respectively. Some instructions have already been given. A regulatory change has recently been sent to the hearing. I expect the Council of State to take a closer look at this in its statement, including on the question of future income requirements and the question of including redundancy payments in the income base for family reunification. This is a different approach from that adopted by the proposers. The question is whether we should leave to the administration to draw up new boundaries or whether this should be governed politically. Thus, a nearly unanimous committee believes that this is a matter of policy. In addition, I would just like to draw attention to the fact that today a proposal from the Progress Party has been presented to go the opposite way, to implement further regulatory tightening. As the rapporteur, I think it might be a little special that this proposal comes now, and was not included as part of the committee's work and in the committee's position. But it is fully legal, and I expect the Progress Party itself to take up and justify its proposal.
ParlaMint-NO_2012-10-11.ana.ud366e640	I would like to thank the President-in-Office for a good review and a good description of the state of things. As the case rapporteur pointed out, family immigrants are one of the largest immigrant groups we now have in Norway, and it is increasing. There are some challenges related to family reunions. As has also been said in the case, we have some unintended effects that make the legislation feel unfair. It is incredibly difficult to establish a regulatory framework to take account of the fact that there is no such thing as injustice. Such legislation will be comprehensive and very rigid and can nevertheless be seen as unfair by some. In any case, when we have legislation like this that we have today, it is relatively strict – although, in the opinion of the Progress Party, there are some shortcomings. I think that if you make relief or give room for even more understanding, it can have even more unintended effects than today. I don't think that's a big advantage. Everyone has the right to fall in love, and everyone has the right to a family life – it should just be missing. However, it is not a right that family life should possibly be in Norway. It is fully possible when people fall in love — even if one partner is Norwegian — to settle in the country with the other partner. There is a possibility that exists and can be used. It was also mentioned that there is a difference between men and women. Yes, there is a difference between men and women – fortunately. There are some challenges to this, including: pro forma. This turns out to be a bigger challenge when there are women picking up partners than when there are men. In the case of men picking up partners, forced marriage is a major challenge that we should definitely take seriously. Otherwise, I believe there should be no difference between men and women in relation to belonging to the country, or in relation to, for example. maintenance requirements. Whether you are a man or a woman, when a partner gets to Norway, it is appropriate to require that the partner who is in Norway be able to entertain its new partner. It won't make any difference if you're a man or a woman. I know that it has previously been mentioned that the level of pay is lower for women than for men. This may be true, but living in Norway costs as much regardless of whether the partner lives in Norway is male or female. The Progress Party has now made some proposals, and the rapporteur was amazed that they have not come before in dealing with the matter. Yes, I was a little surprised myself too, but as family immigration has had as much focus as it has recently, we thought it was right to promote the proposal now and take it into account. Otherwise, the Progress Party has drawn up a separate document 8 on this subject, but it will come later. A little about the reasons for these proposals: With regard to the maintenance requirement, we believe that it should be adjusted in order to be in line with the wage developments in Norway and the current level of income. With regard to the proposal for a 24-year-old age limit, it is mainly set to be involved in and prevent forcible marriages. As far as the link is concerned, it is considered important that those who get partners to Norway have a link with Norway, and can refer to a link with Norway – the majority of the connection should be with Norway. We believe that the proposals are in place – we believe it is important to intensify a little. We're afraid that a relief in demands and the exercise of more discretion will be involved in creating more unintended effects than those we have today, and there is no merit in doing so.
ParlaMint-NO_2012-10-11.ana.ud366e657	Is it the case that the representative should make proposals?
ParlaMint-NO_2012-10-11.ana.ud366e660	That's right, President!
ParlaMint-NO_2012-10-11.ana.ud366e665	Then the representative Morten Ørsal Johansen mentioned the proposal he referred to.
ParlaMint-NO_2012-10-11.ana.ud366e668	I would like to dwell for a moment with the representative Ørsal Johansen's reason that, after the committee has concluded its proceedings and promoted its suspension, two very fundamental questions are raised – quite rightly at the brink, or on the outside again, of what the Left's issue is – about a 24 year limit on family reunification and the prohibition of marriage between siblings. It would have been an advantage if such proposals had been examined in the Committee, so that other parties could also relate to them in the comments. I also record that the reason is that so much has to have happened in the field of immigration between the committee's release and the debate here today. I can't quite see that it matches the reality. Otherwise, we can see that at least the committee reading and the comments show that there is no strong political desire to change the principles behind the legislation. At the same time, I must say that I understand the concerns of the Left. They want a greater degree of discretion, because you see that some decisions seem rigid in cases that you might not have so far advanced in consciousness when you make the law. The issue of the Left is once again whether a slightly greater judgement should be introduced in assessing whether the maintenance requirement of Section 58 of the Foreign Affairs Act is met. Now, this is not the way the Left implicitly says, that the Storting has not been aware that you wanted a tightening when you changed the Foreign Affairs Act. It was the intention of the changes that you would have a raised income requirement to ensure that those who are staying in our country are actually cared for by the so-called reference person. There was also a concern that you want to fight against coercion. Having said that, I can only say on behalf of the Right that we are responsive to assess unintended effects. We also await this experience report that the UDI has been asked to prepare. We have to make sure, however, that we as legislators do not give too much discretion. If there are isolated cases that you have not considered, you should write a regulation of them into the law to the extent that it is practically possible. I'm in favour of a margin of discretion, but it can't be so large that the administration gets so big that we introduce arbitrariness to the group it's dealing with. In terms of ability to support others, I will strike a blow at income limits. Income is essentially the most objective sign of dependability, so it is not unnatural to have income limits when assessing the ability of the reference person to support others. It is also reasonable to choose an automatic adjustment, which means that the threshold does not change unintentionally as prices and wages change. With these words, we will support the position of the Committee – the majority vote – and recommend the proposal of the Left attached to the Minutes.
ParlaMint-NO_2012-10-11.ana.ud366e683	Thank you to Trine Skei Grande for an important and well-founded proposal for a representative, thank you to the rapporteur for not least a very thorough presentation of the possible unintended effects of the legislation and practices we now have, and thank you to the Council of State, which says that we are in a process on this matter. We are now in a consultation period. If the aim was generally to reduce immigration and family immigration to Norway, the intensification was successful in its time. The rapporteur-in-Office has gone so far. If the intention was to prevent students, people with a slight temporary relationship with the labour market, or poor people living together as a family – either reunited or newly established – it was also a successful contraction. It is then said that, among other things. Women are hit extra hard. In general, I think we all want to stand up for the right to make partnerships, to live together, either as two or as a family with children. It is a value that we generally set high in our society, and as political parties in other debates are almost fighting a little to highlight as an important – let's say – fundamental element of our society. But it is this value that this intensification in its time challenged, both in terms of reuniting, establishing and in practice living together. So it's interesting that the Progress Party, which probably all other parties, emphasizes that this is very important to take care of. But the Progress Party says it's going to take care of abroad and not within our borders – people get to move out if they want to live together that way! That's an interesting principle attitude. Yeah, well, we were supposed to prevent coercion. But do we really know that it has prevented forcible marriage? I think we're missing a little bit more detailed information about what has been the consequence of the intensification that happened in its time, not just the unintended effects, but whether the intensification was really a contribution to achieving what was the main reason. As it appears to me to date, this appears to be a code of the type ‘to shoot sparrows with cannons’. It is so much unintentionally negative to achieve by what might have been the main reason in its time, namely to prevent or reduce the number of forced marriages. I guess more and more that it has to be solved in ways other than what we've done here, but for the time being, this is what a large majority has chosen. Proposals for all changes that give more room for discretion, wisdom, respect for the desire of the individual to reunite – and I take with me establishment, sail if it is not formally included in the case and the discussion here today – have been commended. At the same time, I think Michael Tetzschner has some good reflections on how far you should go, or – from us – say that you should change your senses. If we take it too far, it's basically a little bit problematic. Then there's more of a regulatory adjustment we might need to be looking for. But now let's take the hearings and the hearings and then take the debate after it's over. This doesn't just have to do with showing respect for the wishes of the individual. Not least I think it's a good idea for our community, for our society, that as many as possible of those living within Norway's borders are given the opportunity to live out what's sailed for us – let's say – ethnic Northmen, just to have the opportunity to live in a partnership, live with others, live as a whole family. So finally a little bit about this with the exercise of judgment and what you should take into account. If this is an important argument, which many have already argued, that – let's say – this unit should be economically seagoing, it should not be an economic burden on society, then it is a little difficult to understand that one should not take into account the person who comes to us, to our society, that his/her income or income potential should not count in such a context.
ParlaMint-NO_2012-10-11.ana.ud366e702	The proposers ask the government to amend the foreign regulation so that judgement is more open when deciding whether the maintenance requirement is met. It is suggested that in 2008, the amendment of the law, where the maintenance requirement was reinforced, was justified solely by the argument to prevent forced marriage. This is not true. It is clear from the preparatory work of the Foreign Affairs Act that one of the aims of strengthening the income requirement was to ensure that the person receiving a residence permit as a family member can actually be depended on by the reference person. In the opinion of the Centre Party, this is an important principle. Among other things, introduced a rule that previous income should also be required and that the maintenance requirement should apply mainly when the reference person is a Norwegian national. Then I agree with the proposers that the changes have had some unintended consequences for some groups, for example. for students taking a period of leave after completion of studies and for trainees who have too low income to meet the requirement of previous income but who, when they return, have higher education and meet the requirement for future income in a rich month. It is also unreasonable that applicants who have previously had a residence permit in Norway and who work for a longer period abroad should not be included in their own income, but only the income of the reference person if they wish to move back. In the context of the 2010 letter of award, the UDI was asked to report any unintended effects of new foreign law, paying particular attention to the effects of tightening up the maintenance requirement. Following the evaluation of this report, the Ministry came on 5 July this year with an instruction on exemptions. This applies, inter alia, to: the following: there are exceptions in cases where the applicant has lived in an established family life with the reference person over time, where they are Norwegian nationals, and in cases where the applicant has previously had a residence permit, the expected income of the applicant shall be taken into account. There are exceptions in cases where the reference person has had a traineeship abroad or where the reference person has extended a study stay abroad that has given at least 60 study credits. These are clearly cases where the legislative change had an unintended effect — including for example: for students who have granted themselves a year off abroad but who, at the time of application, have a permanent position which clearly meets the requirement for future income. In addition, a number of recent amendments were sent to the hearing. It is proposed that the requirement for previous income should not be demonstrated by an Equation Certificate, but that confirmation by the Equation Authorities of the reported income of the employer should be sufficient. This is a documentation that UDI very much accepts today as well. In cases where the level of income is clearly sufficient, it is illogical for one to wait nearly one year for an Equation Certificate to be issued by the tax authorities. It is proposed that in cases where the reference person has been granted permanent social security benefits, it is not necessary to provide evidence of previous social security benefits. It is also natural, as future income in such cases will be totally predictable. It is also proposed to raise the maintenance requirement for family start-up to NOK 261 700, i.e. 95 pst. of salary step 19. This is, in my view, a natural increase in the rate of wage growth in general and a minimum level if the possibility of living is to be real. The Ministry also considers that, in certain cases, it should be possible to include redundancy benefits in the same way as social security benefits. Personally, I think it would be natural. After all, the transition from redundancy pay to work, to re-schooling, or to a graduated or fully disabled job is either back to work, in all cases a foreseeable future income. The above-mentioned changes were implemented and notified, I believe, are sufficient to clean up the known unintended effects of the contractions. But of course we need to pay attention to that in the future. The proposals of the Progress Party contain at least two questions of principle which require much more thorough treatment than is possible when it comes to the table here today. That is why I cannot support it today.
ParlaMint-NO_2012-10-11.ana.ud366e719	We need a foreign administration based on three main pillars: justice, legal certainty and humanity. We guarantee justice, it guarantees the legitimacy of the administration. Those who are not supposed to be in Norway should not be. But those who have the right or need to be in Norway, we have a duty to provide. Legal certainty ensures that everyone receives the follow-up to them, the information that they should have and the rights that they have. Humanity shall ensure that the people behind the figures, applications and statistics are viewed and respected. In recent years, we have repeatedly seen cases where the legislation has been overruled, but where discretion has not been exercised by government teams. This has led to situations where families live divided, and children grow up without one of their parents. It must not be a general objective to close borders and make it unduly difficult to enter the country. We also need the ability to take into account the right to family life. UDI does as the government says, and follows the code to the point and the dot. But behind these points and these dots are people. Several report that we have a code where it is not possible to show discretion. The former director of the Foreign Affairs Directorate, Ida Børresen, has stated that the rules are unfair, and she thought it was time to change the rule, so that the discretionary room got bigger. The same can be said today, despite the Minister of Justice's attempt to give the impression that now there is more room for discretion. On 5 July this year, the Minister of Justice tried what I would call a humanization of the legislation. But the little thing she gave was eaten by what she took, for the government has announced an increase in the maintenance requirement by approx. NOK 20 000, thus approaching the Advance Party, which will increase it further. In increasing the maintenance requirement, the government makes it even more difficult for families to get together — even more difficult for spouses to spend their lives together, even more difficult for the children of these families to live with both mother and father. The Christian People's Party believes that the maintenance requirement should still correspond to what previously constituted pay step 8, namely NOK 232 400. Moreover, any increases in the maintenance requirement must not go beyond the growth in wages and salaries. At the same time, it is time to give the foreign authorities greater opportunity to use judgement when the legislation is unfair. The UDI shall be able to see the people behind the figures, the fates behind the statistics and the possibilities behind the applications. They must get the room for action to support those who need it, and of course also the strength to reject where there is no basis for staying. There has been talk about what the reason for the maintenance requirement has been. Several have pointed to the fact that this was introduced to counter forced marriages. This was the reason why this scheme was introduced. I think Aksel Hagen has a very interesting approach when he asks the question: Has the maintenance requirement had the effect that we thought was the basis for when we introduced this scheme? That's a question that I think we should take with us. I also hope the Minister of Justice noticed that question, because there is a system that might be time to get an evaluation of, to see if the system has managed to counteract forced marriage, as it was supposed to do. The left will come forward with a proposal that has been distributed in the Chamber. I expect the Left's representative to promote this proposal himself, but I would just like to say on behalf of the Christian People's Party that we support the proposal.
ParlaMint-NO_2012-10-11.ana.ud366e746	I would like to first correct the Advance Party a little. It's not a human right to fall in love. Personally, I have to say that it was quite a long time ago – I remember – I was really in love. I'm not going to demand that the state help me in that area. What's a human right is living together as a family. It's a clear human right. You are allowed to live with those who are your family. That's what this is about. Everyone agrees on the framework here. The left has also agreed to have an age limit, but also to have a maintenance requirement. It is quite right, as Mr. Bekkevold says, that the maintenance requirement was argued for in this room alone and with forced marriage as a background. In a more international society, there are good reasons to have a maintenance requirement. If you're going to be able to establish a family, I think you must also have a certain financial foundation for that family. I believe that these are good arguments for otherwise too. There is no one here who speaks against the entertainment requirement, nor the Left. The restrictions in several of the measures were taken, including with the votes of the Left, to prevent forced marriage. But it was not done to prevent Norwegian ladies from falling in love with carpenters from New Zealand. It's actually UDI that has taken this up. It's not often that the UDI mentions that they want changed and better rules in such fields, as they have done here. I'm not looking for what Tetzschner describes as a great discretionary playroom, but I think it must be possible to have a code where you have the objective of the regulation in mind. I've had an interpellation here earlier where I told you about 50-year-old ladies from Klebu who fall in love with an adult, separated from 50 from Egypt, but who are stopped by the rules of coercion. The rules on coercion affect their ability to live together as a married couple. Then I believe that you have lost the aim dramatically of sight, because the risk of that marriage being a coercion is dramatic. We're in a society that's still developing to become more international. The progress party can take it quite calmly, there are increasing numbers of people who are normal, those who may vote in favour of the Progress Party, who come under this legislation and are being hit. There are no more 16-year-old girls getting married to a Pakistani cousin. We travel around – we travel in holiday context, we travel in job context, we travel in study context. What happens on these trips is that the North also falls in love and wants to establish a family. That is why we need a regulation that is predictable and has a clear framework that people know how to deal with it in order to live together as a family. Then we get all of these weird angles that we've seen in the media lately. Then we see couples who have to go to Denmark, which in Norway as well has been produced as the great nightmare country for family reunification. Denmark is now the safe haven for many Norwegian couples who will be able to live together as a married couple, but who choose to live in Copenhagen and commute to work in Oslo, because it is only in Copenhagen that they can live together as a married couple. I think we need to have a code that at least has some safety valves, where you can see that it wasn't these pairs we were looking to stop. If you have a high million income, e.g. As an oil engineer, you decide to take a year off and travel in Latin America. In Latin America you'll find the world's most beautiful woman, you mean seaman, to whom you marry during your free year. Then you come to Norway, and then you might think she'll get in. No, it doesn't help that you have million income. It doesn't help you having all the things you thought you were going to have to live together as a family, because you've actually had a year off. So you haven't had income exactly the year you fell in love with, so you don't get family reunion with your wife, which is from, for example, Peru. That's how we see a lot of strange things, where you have a safety valve in the law or with a law that focuses on the goal, you would have avoided all of these cases that clearly don't mean we're going to hit. A lot of people feel that they are going to be terribly sorry about being Norwegian, when they experience meeting the bureaucracy that way. I don't want people to be. With this I would like to raise the Left's proposal, which is distributed in the Chamber.
ParlaMint-NO_2012-10-11.ana.ud366e769	The representative of Trine Skei Grande has taken up the proposal to which she referred.
ParlaMint-NO_2012-10-11.ana.ud366e772	An important purpose of the maintenance requirement in family immigration issues is to ensure that people who bring their family to Norway are actually self-sufficient. On this basis, the restrictions imposed by the government in January 2010 were important and correct. At the same time, I am concerned that the legislation should not have unintended effects or appear unnecessarily stringent. The Ministry of Justice and Defence has therefore commissioned the Directorate of Foreign Affairs to report on the unintended effects of new foreign law. This includes a specific request for the directorate to report on the unintended effects of the restrictions imposed by the family immigration maintenance requirement. In view of, inter alia: In July this year, the directorate of Foreign Affairs gave instructions to the UDI on exemptions from the maintenance requirement. The instruction provides for an extended use of the provision allowing for exemptions from the maintenance requirement following a discretionary assessment. However, non-discrimination, predictability and effective treatment strongly argue that the requirement for guaranteed maintenance is mainly regular, not discretionary. I believe, however, that there was reason to allow for more exceptions, as the legislation seems to have worked unnecessarily rigidly in some contexts. The instruction provides for a greater degree of exemption for established families with children. The instructions include, inter alia: exemption from the maintenance requirement may be granted when the applicant has lived in a long and established family life with a Norwegian citizen and the parties have a common Norwegian child. Similarly, couples with a common Norwegian child born in Norway may benefit from a derogation if the applicant was legally resident when the child was born. The instructions also provide for exemptions from the previous income requirement when the applicant has previously had a residence permit in Norway as the spouse of the reference person, cohabitants or children, and the family wishes to return to Norway after a foreign stay. Furthermore, the instructions provide for exemptions from the requirement for previous income when it is evident that the reference person has had the necessary income capacity. This may, for example, be that he has had good income over several years but has taken a free year. Similar exemptions may also include: are made for persons who have resided abroad in the course of an extension of a study stay, such as: The representative, Skei Grande, was inside. The level of the maintenance requirement is also important. As the committee points out in the setting, changes in the main pay table were made in ours, so that the table now starts at stage 19. The Ministry of Justice and Defence therefore made changes in the way the maintenance requirement is regulated in the summer but without changing the level of the maintenance requirement. The Ministry has recently sent a proposal to cancel the maintenance requirement with approximately NOK 20 000, and then on issues relating to the establishment of a new family life. Figures from the Directorate for Foreign Affairs show that the proportion of rejection decisions in family immigration cases is higher when the reference person is a woman than when the reference person is a man. This I have been busy going deeper into. On this basis, the Ministry has asked for input from the hearing bodies in the same letter of consultation on the basis of specific measures to prevent the different functioning of the maintenance requirement for women and men and on the appropriate measures to be taken. The Ministry will later also assess whether, in certain cases, redundancy benefits should be taken into account when assessing whether the income requirement has been met. It is the Foreign Directorate and the Foreign Affairs Department that have to make the discretionary assessment in individual cases, and there will always be issues in which individuals disagree that no exemption from the maintenance requirement is made. However, I believe that the changes we have now made and will make will ensure appropriate legislation that balances the interests of non-discrimination, predictability and efficiency on the one hand, and the need to avoid unduly rigid decisions on the other, in an even better way if possible than today. However, the government will follow this legislation carefully, as I also hear representatives from the SV and the Christian People's Party point out, and we must ensure a good and appropriate regulation also in the continuation.
ParlaMint-NO_2012-10-11.ana.ud366e791	It's going to be line change.
ParlaMint-NO_2012-10-11.ana.ud366e794	I want to review what I was about in my post – what Aksel Hagen was also concerned about – namely the effect of the maintenance requirement. Does it have the effect of counteracting coercive marriages, or is it such that the maintenance requirement has completely different effects? My question is: Will the Minister of Justice initiate an evaluation of the maintenance requirement to see if it has the effect of countering forced marriage?
ParlaMint-NO_2012-10-11.ana.ud366e799	Major changes were made to the rules in 2010. The maintenance requirement has several purposes. The question of preventing coercion is one of them, but also the ability to sustain. The need to ensure an integrated system is important in this way. Nevertheless, legislation and, not least, legislative changes need to be followed closely, not least in this area. There is also some background that we have asked the Foreign Affairs Directorate to follow up and report, and that we are also now making changes. We will continue to follow. If we're also good at doing broader reviews later on, I won't rule out.
ParlaMint-NO_2012-10-11.ana.ud366e804	Governments have said several times that she is open to change, and she has said that UDI has to report. It's not just UDI that reports, we also have media that have reported many strange angles. But it seems like the state council is just making new rules for each case where you see that the rule turns out strange. You'll always get new cases like this. For example, the state council has now opened up some changes in students, but those changes will not help the engineer who took a year off to go to Latin America, as I used as an example. You'll always get new stories like that, because we live so different lives. Does the Council of State think that she can keep up with all those changes and always be able to create a new rule to include each new group and each thought situation, or would it be a little easier if you had any notions of discretion within the law?
ParlaMint-NO_2012-10-11.ana.ud366e813	This is a regulation where I don't think we can have any illusions that as long as we set limits, we will avoid having discussions on individual matters. Nevertheless, not least from the case-rapporteur, but also from others, it is explained why it is very important to ensure good political treatment in this area as well. I remember, as Minister of Justice on a previous occasion, that this was one of the areas in which the Stortinget had also gone thoroughly into the handling of the regulation. That's why I see that we need administrative judgement, but the discretionary room is served by delimitation, so that we ensure that there are political judgements and decisions on the basis of which to deal as fairly as possible with the individual issues that are being dealt with in the Directorate of Foreign Affairs and the UN.
