ParlaMint-BE_2019-01-17-54-plenair-ip266x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u28	Prime Minister, Madam Minister, we learned in the Flemish press that a communal councillor N-VA de Malines was arrested and placed under arrest as part of a judicial investigation into possible malfeasance in humanitarian visa decisions between 2015 and 2018. This investigation is carried out by the judicial police and deals with serious facts, such as trafficking in human beings, criminal organization, passive corruption, extortion of funds. This municipal councillor would have received large sums of money to allow residents of conflict zones to travel to Belgium with a humanitarian visa of the type "rescue operation" in exchange for money-free passes under the visa procedure decided by the office of the Secretary of State for Asylum and Migration. This is a serious matter for several reasons. First, there is the exploitation of the distress of people fleeing countries at war. Secondly, this case involves a public agent, a representative of the people. Finally, this case could call into question the responsibility, negligence, nonchalance of a ministerial cabinet in charge of the case, perhaps simply for not having taken the measure of information known for some time and not relayed. Minister, what is the status of the situation? Has the government formed a civil party? How many humanitarian visas were issued between 2015 and 2018? What is the nature of the lists that served as the basis for issuing these visas? How were private intermediaries selected? What will be your position on the issue of visas? Will you put an end to this practice? Have you announced that you only want to work with reliable intermediaries? Can you be a little more explicit about what you mean by "reliable intermediaries" and the limitation of your recourse to the Office of the High Commissioner?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u29	Mr President, Prime Minister, Minister, ladies and gentlemen, I have not been as angry as Tuesday evening. I heard on the news that humanitarian visas were being cheated. I was angry because it is scandalous that some people are enriching themselves on the hood of people who are in one of the most vulnerable moments of their lives. I was angry too because this could have been avoided. How many times have I asked in this hemisphere and in committee, during debates and during questions, to make the system of humanitarian visas more transparent and objective? I have repeatedly insisted on this, but they would not listen. They preferred freedom, happiness and self-determination on the basis of a number of intermediaries. This has now led to abuses that the public prosecutor will investigate to the bone. However, that is not enough. We ourselves must also look at where it has gone wrong, how it has come about and what we can do to avoid it. Where did it go wrong, colleagues? The fact that a Secretary of State or a Minister has the freedom to decide on humanitarian visas is not a problem in itself. It's about an exceptional favor. It is a way of responding to exceptional situations, so that people who are very difficult and vulnerable can be brought to safety. However, this freedom does not mean that everything is non-binding. The fact that decisions are taken alone does not mean that no rule of good administration should be followed. On the contrary, this should encourage greater caution, more transparency, more care and more control. By not showing this care, the former Secretary of State paved the way for arbitrary and even political clientelism. That is his political responsibility. I also note that the DVZ used to use a certain way of working, screening whether someone was in a vulnerable situation, and on that basis the Secretary of State was advised. Now the DVZ says very explicitly in the media: we have not been involved in any way except the security check. It was the cabinet that drew up the lists. After that, it was passed on. No more advice was asked from the DVZ, no more screening of the people, nothing. Why did people suddenly change course? Why didn't the DVZ get to speak on that anymore? Did they have more confidence in a number of intermediaries than in their own administration? What's the reason for that? Prime Minister, I trust that you will investigate this and that you will start an administrative inquiry to find out how it went, why it went wrong and what measures can be taken to make the system transparent and objective. That is what we have been arguing for years. Prime Minister, you have always found an ally in us for a strict but just migration policy. These two go hand in hand, but justice is very far to be desired in this. We are counting on you to restore that balance.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u30	Mr President, Prime Minister, Minister, ladies and gentlemen, humanitarian visas are one of the legal ways to prevent trafficking in human beings. These traffics were often denounced by your predecessor and he was right. It seems, however, that trafficking is not what we thought. Indeed, we have all learned with dismay that we could obtain a humanitarian visa for Belgium by paying expensive, very expensive, an intermediary from Mr Theo Francken's office. Now arrested and charged, Mr. Kucam is a communal councillor N-VA, close to the former Secretary of State and other former ministers of this party. Madam Minister, you will agree with me that it is unacceptable that humanitarian visas intended to literally protect the lives of people should be granted on the basis of the thickness of the portfolio or the proximity to a particular politician or party, in this case the N-VA. A party that constantly learns from others in terms of objectivity and firmness of the measures to be taken with regard to asylum and reception. Today, the former Secretary of State is playing the spooked virgins about the facts. However, in all cases and in view of the long-standing corridor noises, given the elements that have been brought here by each of my colleagues, the puzzle takes shape. It seems that Mr. Franken should have appealed and brought the matter before the court. Minister, the facts are serious and ask for clarification. Here are my questions. What is your reaction and that of the government? Have you conducted an internal investigation and what are the first conclusions? Do you already have any evidence to confirm the suspicions revealed by the press? Did you ask your predecessor, Mr. Franken, for an explanation? Finally, what about the legal proceedings?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u31	Mr President, I would like to make three points. Firstly, a discretionary power is not an arbitrary power. The discretionary power therefore does not mean that there is no need to be held accountable. However, this has not happened in the situation we are discussing today. Accountability, also vis-à-vis the Chamber, was refused. The names of the intermediaries are not known, nor is it known how the humanitarian corridors work. Secondly, a discretionary power must be exercised with care, i.e. in consultation with the administration to whom advice is sought. That has not been done, if necessary. There have been no contacts between the intermediaries and the Foreign Office and no interviews have taken place. Thirdly, the Secretary of State can choose the intermediaries himself. That means he has full responsibility for his choice. The intermediaries must meet criteria: they must be impartial and independent. Now, Mr Francken, a party politician of yours cannot possibly be impartial. It cannot therefore meet the criteria which an intermediary must fulfil. So that is not a policy, but chaos and malpractice. Why? Because the Secretary of State is working on his personal promotion. Theo touring, Theo sending, Theo tweeting and Theo sending books, but how humanitarian visas are awarded to his cabinet, Theo doesn't know, even though it is one of the spearheads of his policy. The defence is, as usual, a calimero attitude claiming that the trust was abused. In reality, it's just a chaotic decision-making process. What happens now? There's plenty of framing. "One has abused my trust." Oh, my God! That's how I know the party: a dwarf in politics and a giant in communication. For example, words were used as "Marrakesh government," while it is actually about the "Francken Pact," because his cabinet was involved for two years, but didn't really know what was going on. The other parties are so good. Colleagues of the opposition, you're being very good. However, you could also frame, for example by talking about the "Kucamkabinet" and using the hashtag "kucamkabinet." But you don't. To be honest, I am increasingly under the impression that the N-VA, with its departure from the government, has taken the flight ahead. Prime Minister, how could this happen within Michel I? In Pano it was said very clearly that it stopped from the Michel II government; then it could not or has become more difficult. Have other ministers not asked questions about this? Or were they, as I read in the newspaper today, half barked off? How could it actually happen within your government that a discretionary power, which is a delicate power, was exercised in such a sloppy manner without questioning it?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u32	Mr President, ladies and gentlemen, we learned from the press a few days ago the revelations about the extremely serious and shocking facts that were denounced. I must say from the outset that I share the very strong words and the expression of indignation and anger. If these facts are proven, they are serious and shocking. They are serious and shocking because they exploit the most fragile, the weakest. They are serious and shocking because they also undermine confidence in the rule of law, in democratic institutions based on trust in those who assume responsibility. I would like, as others have said, to consider that the principle of a humanitarian visa as a legal method of migration should not, in my view, be called into question. Humanitarian visa is a technique that can be used, and it is, for example, in the case of resettlement, when we work with agencies that are directly dependent on the United Nations. When we learned of this information in the small ministerial committee, action was immediately taken. That is a first important message and signal. We have faith in our justice system. And, of course, we will work fully with the judicial authorities to find out the truth. We have also taken the decision of principle to give a lawyer the mandate to appoint such a party. Indeed, the State, the government, our country may also be a victim of these very serious acts if they were to be proved in the course of the judicial proceedings. Then I come to a third important point. Indeed, we immediately asked the Minister to launch an administrative inquiry. We hope to obtain as soon as possible more information and clarity on the various individual situations and on the scope of the facts, of course with full respect for the separation of powers, which is also important. I also believe that it is up to Parliament to assess how it will consider the continuation of its work on such a subject – it is not my role. I took note of the fact that the first committees had been convened with requests for hearings. It goes without saying that the minority government in day-to-day affairs will cooperate perfectly with Parliament to make available the information we have on this subject. As you can see, we responded immediately to the information we received. We will remain very committed to ensuring that such facts, if proven, cannot be repeated. It is the question of the rule of law, democracy and dignity that is at stake. A few weeks ago, we had lively and heated discussions on the Migration Pact. One of the major challenges was the determined struggle against those who exploit human misery. At the United Nations rostrum in September, I put in the same bag the populists and extremists, who surf on migration to try to win votes, and the smugglers to reap money. I persist and sign. We will be very firm on this.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u33	Mr President, ladies and gentlemen, the testimonies in the Panoreportage were also a surprise to me. It's shocking to have people in distress pay for help. I therefore hope that the court will settle the matter to the bone and, should the facts be proved, that the guilty will be punished. The damage is already considerable, first and foremost for people who have been involved, people who have had to pay money and have therefore received humanitarian visas. They are now in an uncertain situation and are concerned about their fate. The fact that they paid for this is no reason to withdraw their residence papers. They are primarily the victims of the people who have asked for money. Punishment wouldn't be the right method. It also means that their possible asylum applications will be dealt with in the same way as any other application, including with the necessary investigations. I repeat this in French because it is a very important point for the victims. All this is first of all gravis for those people who, in some cases, have had to pay very large sums and who are now worried about their fate. I'm not going to take away their residence papers because they paid for them. For me, these people are also victims and I do not intend to punish people who are victims of crimes committed by others. This means that their possible application for asylum will be treated in the same way as other applications. Humanitarian visas are normally issued through the diplomatic post, but the decision is the responsibility of the Office of Foreigners. Mrs De Coninck, vulnerability is indeed the criterion. Vulnerability is a decisive element in getting that visa. The damage that has now been done to the image of humanitarian visas is considerable. It is even so bad that the humanitarian visa system is being called into question by some people, for example by Mr Maingain. Should a system be abolished because abuses have taken place? I'm not serious. I continue to defend the instrument of humanitarian visas. Those visas certainly have their use, because they saved many people who were in great need. We must also remember that many people in the past have been helped by these humanitarian visas. Let me give you the example of the action in Aleppo. People had to be saved there, and that operation went well, with consular support from the Foreign Office. All decisions were taken in accordance with the procedure. After that, however, it apparently went wrong. At a later stage there may have been abuses of the system. When looking at the reportage we cannot get rid of the impression that there is a certain perfume the clientélism. As a result, the quality requirements have not been followed. This is what we can't accept, that people could come here safely, not because they were vulnerable, but because they could afford it. I didn't know about intermediaries, because in the three years I was responsible for matters, I didn't work with them. I closed the door for that, too. Apparently they knew, because I heard in the report twice that it couldn't be done, because there was another government. So it was already known on the ground and I did not know that they would have tried it. As in the past, resettlement will be possible through reliable organisations, primarily the UN Refugee Agency, as well as through reliable NGOs making proposals, provided we have sufficient guarantees that their process is correct and transparent and that good screening is done by our services in the lists. Individual applications are still possible; I have already authorised them in two dossiers, but that remains the highest exception. An in-depth investigation has also been requested from the DVZ. We want to know how many such visas have been requested and granted, by whom and in what way, and whether that has been done with an instruction, with an email or orally. Meanwhile, it is known that there were several intermediaries. We also want to know which intermediaries have submitted which applications to the DVZ. All I have left is preliminary figures. It's a big investigation, since a lot of applications have been made. With the greatest care, I can say that, according to the first findings for 2018, some 600 people have received instructions from the Cabinet in this context. In about two hundred files Melikan's name pops up. Those are provisional figures. All of this is being investigated in greater detail. I hear and read all kinds of proposals to review the system. Should we maintain criteria? Should we do the screening in a different way? I don't think so. The method was good in the past. She can continue to prove her worth. I'm open to debate. However, I would point out the risk of criteria, as Patrick Dewael said earlier, in order to be able to intervene legally and humanitarianly. I look forward to the suggestions that will be made in the House. However, I would like to point out from the outset that we must not make the mistake of removing this very valuable humanitarian instrument or of making it de facto impossible to implement. That would be a mistake. I therefore call for humanitarian visas to continue to be used, but in a cautious and economical way and only for vulnerable people.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u34	Madam Secretary, thank you for your reply. It is clear that humanitarian visas must remain the exception and that the principles of vulnerability must also be control and transparency. I am pleased that you do not use the opaque and arbitrary method of intermediaries. You have said before that you will call on the UN Refugee Agency. Please be aware that this does not rule out the risk of corruption at all. If you want to rely on the agency's expertise, do so. If you'd like to ask the agency for an opinion, do so. As far as the risk of corruption and abuse is concerned, so are those NGOs, which are often themselves smugglers. The essence is that the government itself must set priorities, decide for itself who, from where, which extremely vulnerable people will give them humanitarian visas. That decision and control must be with the government, because it is this country itself and not a UN agency that must decide and control who enters the country.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u35	Prime Minister, Minister, thank you for your answers. This party, therefore, has placed migration and the fight against irregular migration at the heart of its political agenda, now in the midst of the greatest scandal in terms of trafficking in human beings in recent years. He shamefully exploited human misery – yes, Mr De Roover! – through your municipal councillor in Malines. But not only: he had permanent contacts with your Secretary of State. You forgot to recall, Prime Minister, that he had officially called on this communal councillor, who had received official letters of mission to visit these asylum-seekers in Lebanon. And so this party is engaged in such trafficking! Mr President, I think we have received a tiny part of the answers to our questions today. That is why I demand that all the clarity be made and that a parliamentary committee of inquiry be set up. According to the initial information, at least two hundred people were the target of this individual. Between one and two million euros have thus been diverted from the pockets of these poor people. According to the letter I quoted from you earlier, they were asked to pay between 3,000 and 14,000 euros per person in order to be able to come to Belgium. I recall that we went to find people who, as the main quality, had the means to afford this visa and that thousands of other people – including in the Syriac community – who were crying for one, never received it because, although in extreme distress, they did not have the financial capacity to afford this trip. These people were ignored by the cabinet of former Secretary of State Theo Francken. I find this very scandalous and demand that all the light be shed in this matter.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u36	Prime Minister, Madam Minister, it was therefore necessary for the N-VA to leave the government and for Mr. Franken to be gone so that I could not only agree with your comments on asylum and migration, but also applaud them. Like you, I share the feeling that traffickers, smugglers, abusers of human despair, are to be put in the same bag as populists and all those who convey these stinking far-right ideas. Today, we did not get all the answers. Be sure that the Socialist Group will do everything in its power to obtain them! Today, my thoughts go to Mawda's parents, to this Syrian family in Aleppo, which has earned us some debate in this assembly, and to all the others who, in addition to being victims of the war, may also have been victims of a two-speed humanitarian visa system.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u37	Prime Minister, Minister, it is because the humanitarian visa procedure is indispensable that it must be supervised. It is because we may learn in the next few weeks to the extent that the scandal extends, including in the governmental spheres of the previous Secretary of State, that it is necessary to prevent this scandal and its possible repetition. That is why I think it is necessary to review by law how this type of humanitarian visa application can be handled. Similarly to the fact that an application for asylum does not fall within the discretion of a minister, the granting of a humanitarian visa should not fall within the discretion of a minister even if there are possible statutory controls ex post facto. An independent body, similar to the Office of the Commissioner-General for Refugees and Stateless Persons, should be responsible for examining how humanitarian visa applications are to be processed. Whenever in some jurisdictions the discretion of a minister or administrative authority was so cowardly that there was no real-time opportunity to verify how that authority was exercised, there were abuses. Each time, the solution was to consider that an independent judicial authority should be given the power to deal with such applications. That is what I am proposing, because that is how we will prevent the recurrence of such scandals.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u38	Mr President, ladies and gentlemen,'strong but just'. How cynical this N-VA slogan sounds today. There is nothing fair about this kind of visa fraud. On the contrary, this is purely clientelism. Only people who sat in Kucam's closed circle and could pay his bill got a humanitarian visa. We cannot even say with certainty that this does not mean that the most vulnerable have fallen out of the boat. Now what? We appreciate the outstretched hand of the Prime Minister and Mrs De Block, and we will get to work. It is not yet on the agenda of next week's Home Affairs Commission, but I propose that hearings be placed on that agenda in consultation with the chairman of the committee. For our group, the first person to explain to this House is Theo Francken himself, on a subject on which he has been silent all these years. He needs to clarify what went wrong in this whole case. We must also come up with new proposals, Madam Minister. We will certainly do what we have been saying since 2015, namely to put forward new proposals to clear and improve this system of humanitarian visas. We are talking about more parliamentary control, criteria and working with official bodies. I am going to look for a basis for support so that we can make good use of the few months left in this House to set up a better system.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u39	Mr President, ladies and gentlemen, Mr Maingain, we will not convince each other here, but there is a fundamental difference between asylum and a humanitarian visa. One is a right, the other is a favor. We can do that favor to the most vulnerable. That is a fundamental difference. I am pleased, Madam Secretary, that you have shown a great deal of empathy with the victims. However, what we cannot accept, Prime Minister, is that the victims of these traffickings are now being punished a second time, without being able to promise them today that they can extort rights from anything. We are not going to punish them again, but at some point they too will have to be subject to all procedural rules. I also think it is important to say, Prime Minister, Madam Minister, that this is a very selective system. We must not throw the child away with the bath water today. They were friends of fellow party members who provided lists on the basis of randomness. Whether it was paid for or not paid for, the research will have to prove, but the system used is a perfide system. In this way, we were creating an additional migratory channel, which is not the intention of the humanitarian visa system, as demonstrated by the ever-increasing numbers in the annual report.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u40	Mr President, first of all I would like to endorse Mr De Vriendt's question to include Mr Francken in the hearing. After all, the N-VA says nothing today and does not make any comments, so that is really necessary. Madam Minister, you can also, of course, call on legislation for victims of smugglers. It sets out a number of procedures for dealing with these dossiers. I am pleased, Prime Minister, that you are fully aware that this souk policy is seriously undermining the credibility of your asylum and migration policy over the last few years. This is particularly painful because it makes it even more difficult for the most vulnerable people, while the migration debate is already so difficult in our society. After all, people really don't understand it anymore and they look at it like it's a mafia practice. Finally, Prime Minister, I can imagine that you did not understand why you were unable to reach an agreement, despite the fact that you did your utmost to achieve this. Well, this incident is the great explanation for the Government's fall over the Marrakesh Agreement.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u41	Prime Minister, Minister, I thank you both for your clarifications, which are at least necessary at this stage. Minister, I understand that you intend to implement all the measures to ensure that this extremely sensitive, certainly human, subject matter is managed properly. Prime Minister, all means must indeed be made available. This includes judicial investigation and perhaps also a special committee, depending on the hearings we have decided to conduct in the Committee on the Interior. We must not hide our face: to shed light on this matter is also to ensure that a ministerial cabinet is not involved in this matter. When I say "ensure," I wish I could say "ensure." This case is already sufficiently scandalous.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u42	Mr Prime Minister, I note that you, like me, are angry and outraged and that you want to respond fervently to this exploitation of the most vulnerable. I note that, like me, as well as Mrs De Block, you do not want the system of humanitarian visas to go down, because that is good for exceptional situations, both in individual cases and in the case of humanitarian corridors and resettlement. I also note that, like us, you are asking for a judicial inquiry and an administrative inquiry, so that we in this House can be more clear about who knew what when. Why were some jars kept closed? Why was the DVZ conducted far from a possible advice or screening of the candidates? Why weren't police and prosecutors called in immediately? You, like me, want to focus on greater transparency, which I have been asking for years in this House. That is why, Prime Minister, I am counting on you, and of course on Mrs De Block, for a more human policy rather than an arbitrary one. For a policy that is not organized on the basis of "us knows us" or political clientelism.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u43	Minister, the facts are serious. Mr Franken's political responsibility is great. Today, many questions remain unanswered. For example, why did your government never investigate visa channels through religious communities, while the number of humanitarian visas was rising sharply, while the Myria Center, as early as 2017, had alerted about the opacity and potential deviations of the procedure? Of which act! Now, justice must do its job in a comprehensive, timely and effective manner! Parliament is ready to put its hands on the dough as well. You can count on us. We would also like to learn from it. An asylum policy that stigmatizes some and favours others without objective criteria cannot be a good asylum policy. It's neither fair nor effective.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u44	Mr President, Prime Minister, I would like to begin with a wink at you. When you started with the Michael II government, you thought you were rid of Mr Francken, but you are still dealing with after-sales services. In this case, we will call it "service after a runaway." Ladies and gentlemen, seriously, we must ask ourselves whether what we are doing here makes sense. In the facts, there is no control of the government here. Colleagues from the majority and colleagues from the opposition have asked questions about these humanitarian visas, but they have not received an answer. A minister who doesn't answer can do that here in the Chamber, which is perfectly possible here. But when that happens, there's really no point in what we're doing here. Then there's no point. The Chamber must be the heart of democracy, but this Chamber is not the heart, but the appendix, an organ that exists but is actually completely useless.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u45	Mr. Chair, Minister, I would like to point out that my question was initially addressed to the Prime Minister. Indeed, we had a discussion last week about Proximus' impressive announcement. Yesterday and today, it is not only about the company NLMK in Clabecq, where 50% of jobs are threatened; it is also about job loss at IKEA and the new bankruptcy announcement at New Look. In the space of about ten days, 2,500 jobs are directly at risk. The social impact is potentially enormous: they are as many workers, as many families whose lives are likely to be deeply upset. Mr. Minister of Employment, can you give us an account of the situation at NLKM, IKEA, New Look? Does the Renault law apply in these different cases? With regard to Clabecq, this noon, I intended the CSC to call for an independent financial agency to be at their side to consider alternatives. Your role today as a public authority as Minister of Employment is also to help trade union organisations. In this context, is it not important to send a social conciliator? Finally, it is a new haemorrhage of jobs. I'm not saying it's the result of your policy. It is the product of a transformation of our economy under the pressure of digitalization, but also of globalization. If you have devoted energy to considering the future for companies to move increasingly to digitalisation, if you have often announced "jobs, jobs, jobs", no cross-cutting policy has been put in place by this government to manage the social aspect of this transition. It's not too late! I can therefore only call on you, in collaboration with the social partners, but also on all the levels of power, not to project yourself in thinking about future generations, but to accompany and much better anticipate this transformation of our economy for the workers concerned today and who will be concerned tomorrow and the day after.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u46	Mr President, ladies and gentlemen, Mrs Fonck, unfortunately, this morning during an extraordinary works council, it was announced that 290 jobs were threatened at NLMK in Clabecq. This is a tragedy for the workers, the families and for all of us. My administration has not yet received a file. We have not yet, in any way, been informed of the situation. However, Mrs Fonck, I can tell you that the procedure is always the same. Management is invited to provide explanations. Unions are invited to listen to workers' concerns and efforts are being made to stimulate consultation within the company. This procedure is being implemented in order to avoid redundancies and to encourage management and trade unions to dialogue and find a solution within the company. Unfortunately, there is the NLMK file, but there are also others. We are doing everything we can to avoid redundancies in all the files you mentioned. Through the "jobs deal", we have also proposed measures to stimulate companies to finance training, to stimulate transformation within the company. In this sense, we discussed with trade unions and employers the possibility of considering additional measures. Personally, I hope that the negotiations within the Group of Ten, which is planning meetings today and in the coming days, will lead to a solution, an interprofessional agreement for the years 2019 and 2020.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u47	Minister, thank you. NLMK, Ikea, New Look, that's a lot! My fear is that it's just the tip of the iceberg. This transition of the economy is affecting us very much. But what will happen to us tomorrow and the day after tomorrow may have an impact on us. It is necessary to have the clarity to make this observation. What is at the heart of this transition in the economy is the way in which we ensure a permanent transition between the jobs that disappear and the jobs that are being created. I do not mean that we must act only for our young people who are going out of school, not only when the restructuring announcements are made, that it is too late and that we must only try to put a plaster on a wooden leg. On the contrary, it is a matter of anticipating more upstream, before redundancies and before waves of job reduction. I propose that you work beyond the interprofessional agreement, with the social partners. It seems to me that this work can be done sector by sector, to identify trends in certain sectors, to predict changes and needs in human resources, and to organise the various appropriate trainings, in conjunction with the Regions. If we do otherwise, we'll always be late. Today, the urgent need is to avoid the damage to these companies and workers, but also to do everything possible to ensure that early vocational retraining takes place before restructuring. It is known that these take place overnight; in this case, workers would have a job mobility and a better chance of finding a job much faster.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u48	Madam Minister, it was fantastic this afternoon in the streets of Brussels, where 15 000 students argued for a different climate policy. It was fantastic! 15 000 schoolchildren were present in the streets of Brussels to ask for another climate policy. They came from everywhere, from Ghent, from Antwerp, from Sint-Truiden. From almost everywhere, students were present. And also from Wallonia: Liège, Charleroi. Madam Minister, they were there to make it clear that they want a different climate policy. Minister, I don't understand when you say on Twitter that you feel encouraged. Do you do it on purpose? You're making fun of school children! They protest at 15,000 against your policy and you say you feel encouraged! You shouldn't react that way. (Conversation on the banks) Can we speak here in Parliament? Can things be said here? I had addressed my question to the Prime Minister. He won't even answer. There were 15,000 students. What do all the students in question ask? They are asking for a clear climate plan. They're asking that before 2050... Madam Secretary, I'm talking to you.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u49	Mr Hedebouw, please continue.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u50	Mr President, I will, of course, do so. Do you think it's normal that the climate minister doesn't listen to what's being said?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u51	She'll listen. Go on now.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u52	Mr President, 15 000 students are asking for a climate plan by 2050. There were 15,000 students. They had sticky cats with them. They brought thousands of plaques. Members of the N-VA, one of the cubes mentioned four ministers responsible for climate and zero policy. All the schoolchildren who have spoken are asking us to return to one minister and not to keep four ministers who are not doing anything about climate change. They're asking for one minister. This whole confederalism affair is no longer a matter for young people today. Do you really think, ladies and gentlemen of the N-VA, that the climate problem in Flanders or Wallonia will stop? It's time for one more minister to come. That is what all the arguing students have indicated. Ladies and gentlemen, Mr De Roover, we must stop pointing the finger at the children to point out that it is not right to skip school and not to skip school. Mr De Roover, I myself have started politically, not by skipping school but by quitting. They stop in schools because they want to make it clear that there must be a clear climate policy. They wonder why they would go to school if there are no solutions for their future. That is what the youth wants to make clear to you all. However, you react by pointing out with the lifted index finger that skipping class is not allowed. Mr President, that is not possible, and that can be said.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u53	Mr Hedebouw, ask your question now.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u54	Minister, 15,000 schoolchildren are asking you to change your policy. Will you change your policy to have a binding plan for these 300 multinationals that pollute much more than all the workers combined?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u55	Mr President, honourable Member, first of all, I have, as you raised and noted, a great deal of understanding for the demonstration that these young people are doing today on the streets of Brussels, as they did last week. But at the same time, I agree with my colleague Mrs Joke Schauvliege, who says: "My children decided not to protest and preferred to take their courses, and maybe at another time." I quote my colleague, whom I join. These young people are passing a message, and they have a better interest in passing this message and using the strength of their numbers to do so. But they should be made aware of what we are doing. Contrary to what you say, and you should know, we have a national energy-climate plan that we handed over to Europe at the end of December. We decided, in Katowice, with the climate ministers, to meet according to a work agenda, which is already planned from January, in order to further increase the ambitions contained in this national energy-climate plan, so that Belgium is among the ambitious countries in relation to the Paris Agreement. And so, my colleague Joke Schauvliege says, it would be much more interesting to educate young people at school and tell them exactly what is being done at the level of public institutions. As Minister of Climate, Environment and Sustainable Development, I have for several years taken an initiative to designate climate coaches, who have gone to schools, and to provide students with a website, www.my2050.be, which allows each individual to see what efforts each can make to reduce their consumption and greenhouse gas emissions by 2050. Such initiatives are important. They should be developed and encouraged because we are all on the same boat. As my colleague has pointed out very well, from the moment we are supported in the measures we are taking... You can see that sometimes you are also critical of purchasing power, of fuels that are increasing. We are not going to debate this today, but it may have an interest in encouraging the use of other sources of energy or other forms of displacement. So there is information to be done and action to be taken, as much as we are, adults, students, citizens, businesses and public authorities.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u56	Madam Minister, imagine, 15,000 young people on the streets to say that your policy is wrong! And what are you proposing today as a solution? Climate coaches in schools. You imply that they are the ones who do not understand well, that they need to be educated and provided with information. You say they need to be made aware of what we're doing. So the problem is with young people who don't know what Mrs Marghem does beautiful. Do you realize your contempt? There are 15,000 of them who tell you that your policy is bad. Mrs. Marghem, you must be questioned. Look at that arrogance! What do you think? Do you think climate coaches will solve things?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u57	Shut up! We're not listening to you anymore.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u58	The worst thing is that you advise young people not to strike in schools but to stay there and become aware. You do not understand the ongoing struggle in Belgium as well as in all European countries. There's a movement going up. The latter refuses you to oppose the workers, especially when you increase fuel taxes. That's not what these kids want. They want you to attack the biggest who are responsible, the 300 multinationals who are responsible for 40% of CO2 production. They must be attacked! Minister, I can tell you that the movement is not ready to stop. It's going to expand and you're going to see all the colors again.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u59	End of oral questions.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u60	The PS Group has given me the candidacy of Mr Michel Corthouts to replace Mr Stéphane Crusnière, an effective member of the Parliamentary Assembly of the Organisation for Security and Cooperation in Europe. The PS Group has sent me the candidature of Mr Michel Corthouts to replace Mr Stéphane Crusnière as an effective member of the Parliamentary Assembly of the Organisation for Security and Cooperation in Europe. As there are no other applications, in accordance with Article 157 No. 6, of the Rules of Procedure, do not vote and I declare Mr Michel Corthouts elected as an effective member of the Parliamentary Assembly of the Organisation for Security and Cooperation in Europe. Since there are no other candidates, there is no vote in accordance with Rule 157(6) of the Rules of Procedure and I declare Mr Michel Corthouts elected as an effective member of the Parliamentary Assembly of the Organisation for Security and Cooperation in Europe.
