ParlaMint-FR_2021-12-01-O1080.u1	The next item is the debate on the bill to combat school harassment (No. 4658, 4712).
ParlaMint-FR_2021-12-01-O1080.u57	Mr Maxime Minot has the floor.
ParlaMint-FR_2021-12-01-O1080.u58	We all agree that school harassment is a scourge. It is also our duty as legislator to remedy the gaps in the law as soon as we can; We owe it to all victims and their families. This text gives us the opportunity, our group, as our colleague Emmanuelle Anthoine rightly pointed out, has taken on its responsibilities. We measure the consequences of school harassment on children who are subject to it, sometimes for the duration of their lives. Sanctions must live up to the tragedies in our schools and in our homes. In the same way, prevention has its full place in the system – and that is, Minister, the first element of the triptych that you have mentioned. In this regard, I would like to recall the responsibility of parents for the education they provide to their children. National education may not bear its name, as the school of the Republic must first and foremost educate. On this subject, we have a difference of substance with our colleagues on the other side of the House, who have as their slogan "no culprit and all responsible". I refuse to adopt this vision of things, which we know where it leads. As with any law, the effectiveness of this text will nevertheless lie in its application. We will therefore be attentive when the time comes for evaluation. [[Applause on the benches of the LR group, on several benches of the LaREM group and on some benches of the Dem group]] Finally, some questions remain unanswered. I am thinking, for example, of the remark made by our colleague Annie Genevard on the exclusion of the harasser from the establishment, rather than the harasser, or of the question of the effectiveness of the obligation for the platforms to moderate their content. As has been said, the text is still perfectable and I hope that we can work together. In the context of the digital revolution we know, in which children are increasingly vulnerable to screens and their effects, this text allows us: let us seize this opportunity. Mr rapporteur, Mr Minister, you know me, I do not always agree with you; But today, know how to count us by your side.
ParlaMint-FR_2021-12-01-O1080.u59	Mr Bruno Fuchs has the floor.
ParlaMint-FR_2021-12-01-O1080.u60	I would like to pay tribute to the collective work – in which Mr Balanant has taken a large part – which has led us today to examine a text against school harassment. The awareness of national representation on the subject is old, but the tragedies that have affected some of our children and their families in recent months have reminded us of the urgent need to act and improve the response of the public authorities to situations of harassment. I recall that little Dinah, whom we talked about earlier, died a few kilometres from my permanence. It is becoming necessary to legislate – we have all understood it and affirmed it – with a view, in particular, to strengthening the provisions of the Education Code that protect against harassment and to offer justice a suitable tool through the creation of the offence of school harassment. However, nothing can be settled by law. We have seen the major role played by the Ministry of National Education, Youth and Sports; the proposed law, in particular its Article 1, tends to prolong its efforts. Some of the establishments I have visited in my constituency are already very advanced in this area, whether it is the application of the PHARE programme or other initiatives. Having listened to all the actors, I can testify to the fact that the results obtained are convincing; We must therefore continue in this direction. But not everything can be regulated by schools alone: under the impetus of national education, all the actors of society – parents, associations, local authorities, experts, therapists – must mobilize.
ParlaMint-FR_2021-12-01-O1080.u61	Mrs Emmanuelle Ménard has the floor.
ParlaMint-FR_2021-12-01-O1080.u62	A new offence of school harassment to combat a scourge that poisons the lives of students and, by ricochet, that of whole families: this is the main novelty of this bill. Nearly one in ten students would be affected each year and some are unfortunately pushed to the point of considering ending their lives. While the phenomenon is not entirely new, it cannot be denied that it has clearly worsened in recent years with the development of new technologies and social networks. Unfortunately, many of the tools to combat harassment and protect our children are too often overlooked or insufficiently used by school principals, teachers, but also and especially by families. Early detection of harassment is vital; It is also systematically and rapidly treated. Above all, everyone must be convinced that not a single act or act of harassment will go unpunished. This is the sine qua non for the effectiveness of such a bill. The creation of a specific crime is therefore a good thing, but it will not be enough if our children are not in confidence. To that end, the word is indispensable: it is the end of the omerta that will allow our children to raise their heads and put an end to a scourge that can be devastating for them.
ParlaMint-FR_2021-12-01-O1080.u63	You have the floor, Mrs Ménard, to support Amendment No 23.
ParlaMint-FR_2021-12-01-O1080.u64	The definition of the new offence of school harassment should make it possible to denounce facts: violations of dignity, physical and mental health or learning conditions. It seems to me that there should be no question of the victim's behaviour or speech, otherwise we would risk clearing the perpetrator. There is no justification for school harassment. Even though I know that this is not your intention, rapporteur, we cannot therefore suggest that school harassment would have the origin of the victim's behaviour or remarks.
ParlaMint-FR_2021-12-01-O1080.u65	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u66	[["Oh!" on the benches of the LR group]] This is not the first time that there have been problems of understanding between us, Mrs Ménard, but here the problem is purely lexical. Your amendment is based on a misconception, because the words and behaviour referred to in the third paragraph, which are the elements of harassment, are obviously not those of the victim but those of the perpetrators. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u67	The rapporteur's amendment No 45 is drafting.
ParlaMint-FR_2021-12-01-O1080.u68	Mrs Geraldine Bannier has the floor to support Amendment No. 20.
ParlaMint-FR_2021-12-01-O1080.u69	I propose the addition of the adjective "repeated" to qualify words and behaviours. Article 1 may relate to acts of school harassment between peers, that is true, but also to acts of harassment committed by adults against pupils. With experience in faculty, I am concerned about complaints of harassment that could be brought against teachers as a result of a single fact – a false word or a simple bad score given in the context of continuous monitoring in high school. As is well known, teachers are increasingly confronted, in the exercise of their duties, with complaints – sometimes well-founded, of course, but which may also be out of the question or fanciful.
ParlaMint-FR_2021-12-01-O1080.u70	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u71	I understand your fears, Mrs Bannier, but the instructions that are being carried out make it possible to prevent this from happening; The investigators are doing their job. In addition, the change you are proposing would be problematic. See the definition of harassment in the Criminal Code: repeated acts may be committed by the same author, but also by different authors who would commit them only once each. Adding the word "repeated" could destabilize the scope of the text. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u72	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u73	Same opinion.
ParlaMint-FR_2021-12-01-O1080.u74	Mrs Geraldine Bannier has the floor.
ParlaMint-FR_2021-12-01-O1080.u75	I fear, on the basis of my experience, a multiplication of harassment complaints. Repeated acts are from the victim's point of view: that each of her peers commits a single hostile act against her, she will indeed be harassed. In addition, I repeat, the adoption of this amendment would protect teachers from the proliferation of hasty complaints.
ParlaMint-FR_2021-12-01-O1080.u76	The rapporteur's amendment No 46 is drafting.
ParlaMint-FR_2021-12-01-O1080.u77	I call Mrs Jacqueline Dubois to support Amendment No. 64.
ParlaMint-FR_2021-12-01-O1080.u78	This amendment by Mrs Colboc, who is in isolation, seeks to clarify in paragraph 4 that, like public and private higher education institutions, the network of academic works is taking appropriate measures to combat harassment. During the crisis of the covid-19, the Government decided to create 1,600 positions of student referents in university towns under the regional centres of academic and academic works (CROUS) to support and accompany their isolated or troubled peers. These referents, renewed for the current academic year, could see their mission reoriented towards the identification and accompaniment of students who are victims of harassment. If we want to combat this phenomenon effectively, it is important to involve all those involved in organizing student life in its prevention, detection and treatment.
ParlaMint-FR_2021-12-01-O1080.u79	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u80	I am sensitive to this proposal: it is in line with what we want, that is, the training of staff. Favourable opinion.
ParlaMint-FR_2021-12-01-O1080.u81	Amendment No 27 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2021-12-01-O1080.u82	Mrs Isabelle Valentin has the floor to support Amendment No. 14.
ParlaMint-FR_2021-12-01-O1080.u83	It provides for the strengthening of cooperation between official bodies within the framework of the "harassment" protocols established within institutions. The extension of consultation to the parents of pupils and their representatives would make it possible to provide specific solutions adapted to the complexity of the context.
ParlaMint-FR_2021-12-01-O1080.u84	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u85	You are right, but the amendment is satisfied: paragraph 4 refers to the "educational community", which includes the parents of students associated with the school board. Consequently, the opinion was unfavourable.
ParlaMint-FR_2021-12-01-O1080.u86	I call Mrs Michèle Victory to support Amendment No. 62.
ParlaMint-FR_2021-12-01-O1080.u87	I would like to take this opportunity to return to the question of the existence of the crime. On the "Harassment and school violence – Provocation to suicide" page of the service-public.fr website, there is the following text: "A minor is a victim of school harassment when a student repeatedly has aggressive statements or behaviour towards him or her. The victim can alert the school's management, complain on his own and ask for help from associations. They may also ask the court to criminally convict the harasser and to make reparation for their harm. The law punishes school harassment, but also school violence and incitement to suicide. I therefore find it difficult to understand the rapporteur's answer. As for the amendment, we have already discussed it in committee: we ask that the text explicitly mention gender-based and sexual violence, the frequency of which is beginning to be revealed. For the victims, both girls and boys, the resulting difficulties are enormous.
ParlaMint-FR_2021-12-01-O1080.u88	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u89	On the first point, Mrs Victory, I propose to reply to you when we look at Article 4, which will promote clarity of debate. The second point has already been discussed in committee. You know my sensitivity to gender-based and sexual violence; But you don't have to mix everything. As Mr. Labille said, with additions and clarifications, we would eventually forget about the elements. However, it appears from the government mission report I have devoted to the subject that school harassment is a protein phenomenon and the multiple causes. To establish a list is to be sure that it will not be exhaustive and that harassers will escape the law. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u90	On Article 1, I am seized by the Group of the Democratic and Republican Left of the United Kingdom of Great Britain and Northern Ireland of a request for a public vote. The vote is announced in the National Assembly. I call Mrs Emmanuelle Ménard to support Amendment No. 24.
ParlaMint-FR_2021-12-01-O1080.u91	This is a clarification amendment to supplement the second sentence of paragraph 4 with the words "in particular to law enforcement or justice". The message sent to the harassers, who do not always measure the scope of their actions, must be very clear: such acts are absolutely illegal and can be punished, including by the justice of our country.
ParlaMint-FR_2021-12-01-O1080.u92	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u93	The amendment is satisfactory, Mrs Ménard, because the services outside the institution to which the victims are directed obviously include those you mention: the contrary interpretation would be a serious problem. This is why magistrates and law enforcement officials are among the professionals whose article 3 provides that they will be trained to better listen to and respond to the requests of parents. I request the withdrawal of your amendment; Failing that, adverse notice.
ParlaMint-FR_2021-12-01-O1080.u94	Mr Raphaël Gérard has the floor to support Amendment No. 3.
ParlaMint-FR_2021-12-01-O1080.u95	It is intended to clarify that both victims and perpetrators of school harassment may be referred by the institution's staff to associations that can adequately accompany them. Associations specializing in combating discrimination or harassment in schools complement that of the State services and have the necessary expertise to receive the words of those concerned, to provide the right answers, when the educational community finds itself deprived. This is particularly the case with regard to the fight against LGBTphobias in schools: the weight of taboo, shame, the fear of exposure to a form of outing, sometimes prevent the students concerned from confining themselves to teachers or administrative staff, who are sometimes uncomfortable to address issues related to sexuality and gender identity. I would like to welcome the mobilization of associations working in schools to prevent and defuse harassment situations – for example, in my constituency, the National Association for Assistance, Homosexual Defence, for Equal Sexual Orientation (ADHEOS). Their resources should be increased, within the framework of multi-annual agreements of objectives, to ensure that their action is sustainable and that they are able to take more action each year.
ParlaMint-FR_2021-12-01-O1080.u96	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u97	On the substance, I fully agree, but this amendment would put us in the same situation as Mrs Ménard's No 24. Once again, we must avoid lists. However, perhaps the word "services" is awkward, and we could have written "to appropriate services and associations". In view of the legal concerns raised by the drafting of your amendment, Mr Gérard, I am obliged to express an unfavorable opinion. However, the text is only at first reading: in our negotiations with the Senate, I will ensure that your proposal is acted upon, because it is legitimate. I would also like to take this opportunity to thank the many associations that, at the local or national level, are remarkably accompanying the victims and perpetrators of school harassment and their families.
ParlaMint-FR_2021-12-01-O1080.u98	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u99	Same opinion.
ParlaMint-FR_2021-12-01-O1080.u100	Mr Raphaël Gérard has the floor.
ParlaMint-FR_2021-12-01-O1080.u101	Since we agree on the substance and this is indeed the first reading of the text, let us adopt the amendment: the legislative correction will take place during the shuttle.
ParlaMint-FR_2021-12-01-O1080.u102	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2021-12-01-O1080.u103	I would like to take this amendment to point out that Article 1 remains very vague in terms of the characterisation of school harassment. Every term is ready to say again. First of all, harassment can be done not only by peers, comrades, but also by adults belonging to the educational community: in the latter case, mechanisms already exist. Secondly, it can take place within the educational institution, but also outside: what happens on the margins of the school is rather the consequence of what is happening in the school. Finally, it is up to the institutions to take the appropriate measures: in a way, the State is clearing customs,...
ParlaMint-FR_2021-12-01-O1080.u104	No, no, no, no, no, no, no,
ParlaMint-FR_2021-12-01-O1080.u105	...because they need a lot of means to do that. This wave justifies the fact that amendments are intended to clarify the wording of the article, which I hope will be reworked for second reading.
ParlaMint-FR_2021-12-01-O1080.u106	Mrs Frédérique Tuffnell has the floor.
ParlaMint-FR_2021-12-01-O1080.u107	Let us not forget that there are sentinel students in the schools, who are doing a remarkable job. Last week, in Rochefort, in my constituency, a meeting on school harassment allowed me to find that they were actually helped to detect victims – a very difficult task when they did not report – by the specialized gendarmes of the House of Trust and Family Protection (MCPF). Thanks to this framework, it is possible to go much further, to leave the institution, since harassers are often victims of domestic violence themselves. So let's not add it to the text: we already have very effective tools and structures.
ParlaMint-FR_2021-12-01-O1080.u108	Mrs Zivka Park has the floor.
ParlaMint-FR_2021-12-01-O1080.u109	[[Applause on a few benches of the LaREM and Dem groups]] I understand the rapporteur's arguments regarding his willingness not to include in the law a whole list of people involved – we have already had this discussion in committee. In this case, the case mentioned in this amendment is a little different. Article 1 refers to appropriate services; to mention associations, which are real actors in the field of school harassment, would go in the right direction. That is why we are proposing, Mr rapporteur, to adopt this amendment, even if we then think about better drafting within the framework of the shuttle system; In this way we could at least take a stand with this amendment, which the Group of the European People's Party will vote for.
ParlaMint-FR_2021-12-01-O1080.u110	The rapporteur has the floor.
ParlaMint-FR_2021-12-01-O1080.u111	I am in favour of mentioning associations and we will be able to reformulate the terms of the bill at a later stage. I already imagine the usual criticisms of senators, who will say that MPs do not write the law properly. It won't be the first time, and it's not a big deal. On the other hand, Mrs Rubin, you find the wording of Article 1 vague, imprecise and incomplete.
ParlaMint-FR_2021-12-01-O1080.u112	It's Mrs. Rubin who's fuzzy!
ParlaMint-FR_2021-12-01-O1080.u113	This writing is the result of the work of jurists and administrators of the National Assembly who write laws rather well usually – it is not the product of my work alone. I regret that you did not come to committee to make proposals: we could have debated them on a concrete basis. But, in this case, we're talking so that we don't say anything.
ParlaMint-FR_2021-12-01-O1080.u114	All right!
ParlaMint-FR_2021-12-01-O1080.u115	Mr Raphaël Gérard has the floor to support Amendment No. 2.
ParlaMint-FR_2021-12-01-O1080.u116	It should be recalled that meningation or refusal to use a pupil's first name of use are acts of school violence.
ParlaMint-FR_2021-12-01-O1080.u117	We're not going that far!
ParlaMint-FR_2021-12-01-O1080.u118	When exercised repeatedly by educational staff or other students, they constitute school harassment. On the other hand, it should be borne in mind that such violence kills. Recent research on the academic experience of young transgenderers in France has helped to target the risks of overexposure to harassment: 67% of the young people involved thus acknowledge that they had suicidal thoughts. In this context, it is essential that the school of the Republic, in accordance with the principles set out in articles L. 111-1 and L. 111-2 of the Education Code, guarantee unconditionally respect for the gender identity of pupils. It is therefore important that schools identify this specific issue in the context of the protocols to combat school harassment that they will have to develop.
ParlaMint-FR_2021-12-01-O1080.u119	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u120	You know my support for the fight you're leading on these subjects. But we made a mistake by introducing this concept into this article, which aims to change the education code on the issue of school harassment. This may suggest that this is one of the only causes of school harassment, whereas this one, as I said earlier, is protein-forming: sometimes it is exercised because you are too big or too small, because you actually have a particular gender identity, because your hair color does not like it, because you are a good student or, on the contrary, a bad student. We would risk disturbing the message by adding items to the list. I agree with you that the issue of gender must be addressed within the school and, during this term of office, we have already made good progress on this subject, in particular through your vigilance and your work. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u121	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u122	Same opinion.
ParlaMint-FR_2021-12-01-O1080.u123	Mr Guillaume Chiche has the floor.
ParlaMint-FR_2021-12-01-O1080.u124	I support Mr Raphaël Gérard's amendment. As he explained very well, gender identity is very often the cause of very violent harassment in schools, as well as sexual orientation. That is why it would be useful to introduce the concept of gender identity into the education code, since this situation also responds to current events. As you know, Minister, the issue of gender identity, which creates victims in schools, also refers to the issue of non-binarity. The recent pseudo-polemics aroused around the "iel" pronoun that was entering a dictionary and the numerous mobilizations and communications condemning it, can lead to a form of harassment in the school environment. For this reason, because this is a topical issue, it seems to me very important to include in this text the singular case of gender identity.
ParlaMint-FR_2021-12-01-O1080.u125	Mr Raphaël Gérard has the floor.
ParlaMint-FR_2021-12-01-O1080.u126	I hear your arguments perfectly, Mr rapporteur, and I know your commitment to respect for the gender identity of students, since you yourself have defended amendments to this effect in other texts. I also welcome the circular for better consideration of gender identity issues in schools issued by the Minister at the end of September, although only a part of the road has been covered, unfortunately. It met an expectation, but the question of the self-determination of transgender minors remains, since it remains a desire to hide behind parental authority. We all know that the distinction between the verbs "can" and "must" in the drafting of a text makes all the difference, even if it is regulatory. Just writing that a head of a school can report and bring back worrying information in the event of parents obstructing the development of their child who would like to assume his/her gender identity in the open is, in my view, a refusal of assistance. Yesterday, when we examined the bill presented by our colleague Albane Gaillot, we were told that the regulatory path – it was about the life of an unborn child – was not legally stable enough not to give rise to redundancy in the law on certain particular cases. Today we are talking about the lives of children or adolescents who are likely to act and commit suicide, because at no time will they have met with their families or during their school journey with attentive ears to accompany them. It is possible that the option that I propose is not the right one because it refers to a list, but this subject needs to be seriously addressed once and for all. However, I withdraw my amendment.
ParlaMint-FR_2021-12-01-O1080.u127	Mrs Geraldine Bannier has the floor to support Amendment No. 17.
ParlaMint-FR_2021-12-01-O1080.u128	The aim is to move an amendment adopted in committee to provide information on the risks of school harassment and cyber-harassment to the parents of students each year.
ParlaMint-FR_2021-12-01-O1080.u129	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u130	That's a very good idea. This paragraph had been inserted in Article 3 whereas it was not in its place; You will also subsequently defend an amendment to delete this paragraph in Article 3. Favourable opinion.
ParlaMint-FR_2021-12-01-O1080.u131	I call Mr Guillaume Chiche to support Amendment No. 9.
ParlaMint-FR_2021-12-01-O1080.u132	It aims to establish an anti-harassment focal point in public and private schools and universities.
ParlaMint-FR_2021-12-01-O1080.u133	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u134	Your amendment is satisfied for several reasons. On the substance, I think that one reference per institution is not the solution, especially since it would be a heavy responsibility to bear for a single reference. The solution is to mobilize a team. The minister will no doubt complement my point, but it is precisely the philosophy of the programs put in place, which include multidisciplinary teams of educational staff, teaching staff, or even maintenance staff – the more people will be able to listen to the children and free the word, the better. This is what we are deploying today, from a regulatory point of view, through the PHARE programme and the various decisions of the Minister of Education on this subject.
ParlaMint-FR_2021-12-01-O1080.u135	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u136	To take up what the rapporteur has just said, the logic of this amendment is quite consistent with that which we are following: to have people in each institution responsible for these matters. The objective of establishing a referent is accompanied by the concept of a team. I have explained earlier that, thanks to the PHARE programme, there will be not only a reference, but also a team of at least five teachers trained in each institution, not to mention the training of pupils. In addition, each rectorate will have a team, either already existing or in the process of being set up, to intervene. As the rapporteur pointed out, the concept of a team is fundamental. It is not contradictory to that of referent, since it will be a team of referents. The amendment is therefore, in my view, largely satisfactory.
ParlaMint-FR_2021-12-01-O1080.u137	I put Article 1 to the vote.
ParlaMint-FR_2021-12-01-O1080.u138	The result of the vote is as follows: Number of voters 89 Number of votes cast 87 Absolute majority 44 For adoption 87 Against 0
ParlaMint-FR_2021-12-01-O1080.u139	I call Mr Grégory Labille to support Amendments Nos 83 and 84, on the additional rule after Rule 1. They may be presented in a consolidated format.
ParlaMint-FR_2021-12-01-O1080.u140	Proposal No. 19 of the report submitted to the Government in 2020 by the rapporteur to understand and combat school harassment calls for the provision of additional means for school heads, including in primary education, to commission surveys on the school climate and psychosocial risks within their schools. The aim of Amendment No 83 is relatively similar, since it obliges school principals to submit to the school board a report on school harassment in their school and the means used to combat this scourge. Amendment No 84 is intended to oblige them to submit the same report to their board of directors. While the President of the Republic has stressed that shame must change sides, it is necessary that institutions fully open their eyes to situations of harassment that occur within them. The Board of Directors, which brings together many educational actors, pupils and parents of pupils, as well as representatives of local and regional authorities or the administration, would make it possible to establish a coherent and effective policy to combat harassment in line with the educational project of the school.
ParlaMint-FR_2021-12-01-O1080.u141	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u142	On the substance, I am in favour of the proposals put forward in these two amendments. But they are in the regulatory field. Let the regulations and decrees make this kind of provision so as not to complicate the law. I am not sure, I repeat, that they fall within our sphere of competence. Unfavorable opinion.
ParlaMint-FR_2021-12-01-O1080.u143	I call Mr Grégory Labille to support Amendment No. 82, which is the subject of a sub-amendment No. 134 by the rapporteur.
ParlaMint-FR_2021-12-01-O1080.u144	It intends to include in the tasks of the Health, Citizenship and Environment Education Committee the fight against and prevention of school harassment.
ParlaMint-FR_2021-12-01-O1080.u145	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u146	I am in favour of this amendment, subject to the adoption of the drafting sub-amendment I have tabled.
ParlaMint-FR_2021-12-01-O1080.u147	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u148	Same opinion.
ParlaMint-FR_2021-12-01-O1080.u149	Mrs Agnès Firmin Le Bodo has the floor to support Amendment No. 112.
ParlaMint-FR_2021-12-01-O1080.u150	School harassment is a real scourge, which we must fight tirelessly. Various measures have been taken to this end: creation of the 2030 hotline, online publication of the site "No to Harassment", designation of harassment references in each academy, deployment of the PHARE programme throughout the country, organisation in 2020 by UNESCO and the Ministry of National Education, Youth and Sports, of an international conference on combating harassment among pupils. The aim of this amendment is to further advance this fight by making it a major national cause by 2022. This label would give priority to combating the scourge of school harassment in our public policies. It would give greater visibility to the actions of actors on the ground – it would be an opportunity to pay tribute to associations fighting harassment – and would encourage them to develop new ones to eradicate this phenomenon, which still causes too many young people to suffer.
ParlaMint-FR_2021-12-01-O1080.u151	What is the opinion of the committee?
ParlaMint-FR_2021-12-01-O1080.u152	I am in favour of your idea, Madam Member, but it raises a number of difficulties. First of all, the choice of major national causes is not our responsibility, but it is the responsibility of the executive. Then, our bill is likely to be passed in early 2022: the year will therefore begin, and the period devoted to this national cause will be reduced accordingly. It should also be noted that the Assembly has just voted on a resolution calling on the Government to make the protection of bees a major national cause by 2022. For all these reasons, my opinion is unfavorable. However, your proposal may be relevant for 2023, because the sooner we make the fight against school harassment a major national cause, the faster our fight will move forward. Once again, the decision is taken by the executive.
ParlaMint-FR_2021-12-01-O1080.u153	What is the Government's opinion?
ParlaMint-FR_2021-12-01-O1080.u154	As the rapporteur has explained, the main national causes are not within the legislative power. On the substance, however, I can only agree with your proposal. In recent years, especially since the National Day to Combat Harassment at School was held in November, we have been apprehensive of this topic as a major national cause – and it was in this fight that the first lady decided to engage. In a way, combating harassment is already a major multi-year national cause; If a year were to be specifically devoted to it, we should ensure that the soufflé does not fall back on the expiry of the label. In substance, I am in favour of your idea of setting school harassment as a major national cause in future times – your amendment has the merit of taking a date to that effect. Without having this official label yet, I repeat, we are already treating the fight against school harassment as a major national cause, which must be a priority for the French ministry and society as a whole, on a daily basis. Our discussions, as well as the unanimity with which we voted on section 1 of the bill, testify to our commitment. If a subject deserves communication, it's that one. Our speeches, our actions and the consensus we have are decisive, as speech and psychology are important in this regard. Although your proposal is in the right direction, I would ask you to withdraw your amendment, for the reasons expressed by the rapporteur. Otherwise, my opinion will be unfavorable.
ParlaMint-FR_2021-12-01-O1080.u155	Mrs Michèle Victory has the floor.
ParlaMint-FR_2021-12-01-O1080.u156	For once, I fully agree with you, Minister. The fight against school harassment must be a major national cause on a daily basis, at every moment. Two mechanisms now coexist: Sentinels and References on the one hand, and PHARE on the other. It would be a shame if the academies that have favoured the former – which proves to be very powerful – could not continue to deploy it, on the pretext that national education develops the latter. All available and proven means must contribute to the fight against school harassment every moment.
ParlaMint-FR_2021-12-01-O1080.u157	Mrs Agnes Chill has the floor.
ParlaMint-FR_2021-12-01-O1080.u158	Two elements are missing from the bill, beginning with a relaxation of the school card. A harassed student must be able to be educated in the school that his or her family chooses. He's got to be protected. A harassed student must be able to continue to learn, to awaken, to flourish and to grow; But if he remains surrounded by his harassers and those who have done nothing or said nothing, the task will be impossible. A harassed student must feel protected by his or her parents and by the institution: the institution must allow his or her departure, exceptionally facilitate derogations from the school card, and, of course, allow family education. You will not prevent any father or mother, concerned about the well-being of his child, from removing him from an environment that aggravates him, to protect him – even to protect him from school, if that is where scratches occur. It is not conceivable that only the school should decide where a child who has been harassed should be educated. [[Mr. Grégory Labille applauds]] Nor is it conceivable that only the school institution should decide on the existence of harassment because, as you know, every institution is driven by body solidarity: this is the second failure of the text. In practice, children who complain – especially if they do so frequently – are sometimes kindly sent back to the land of their loneliness, without a ulterior thought. It is then too late: the child knows that in school, his suffering is neither understood nor heard. Sometimes he is only listened to by a loved one, a friend, a psychologist, neighbours, his parents or a treating doctor to whom he speaks in confidence. To the question: "Why don't you eat at school? "Because I'm being called fat," he says, among other examples. That is why the attending physician or a person outside the school institution must be able to decide on the existence of harassment.
ParlaMint-FR_2021-12-01-O1080.u159	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2021-12-01-O1080.u160	Article 3 is full of good intentions, but we wonder how they will be realized. I am thinking in particular of training in the prevention of harassment – an essential subject – which this article states should be followed by "all medical and paramedical personnel, social workers, magistrates, law enforcement officials, national education personnel and sports, cultural and leisure entertainment personnel". I am particularly concerned about national education staff. I recalled the figures during the general discussion: there is one school doctor for 12,500 students. You are not responsible, minister, for this deficiency has persisted for ten years or more. On the other hand, you didn't do anything to stop the trend. In institutions, who is involved in the fight against harassment, when staff is lacking? The situation is equally serious for school nurses, not to mention school life services. A SCE gave me the following testimony: "When you are the only SCE for 700 students, it is impossible to see everything. We can't cover all our missions. In particular, he mentioned the fundamental mission of combating harassment, which he did not have time to carry out. The bill enjoins the training of national education staff – very well! But is the staff that should be trained at least on the job? How to provide these trainings? The text does not answer: it has good intentions, but remains purely incantatory.
ParlaMint-FR_2021-12-01-O1080.u161	Mrs Jacqueline Dubois has the floor.
ParlaMint-FR_2021-12-01-O1080.u162	This bill is welcome, even if we have not waited for it to denounce and combat the scourge of school harassment. The right to education without harassment was included in the law in 2019 for a school of trust. Since then, we have welcomed the many initiatives of associations and national education in this regard, but more needs to be done. Article 3 addresses a central theme: the prevention of school harassment, its identification and the care of its victims and perpetrators. It provides for professionals to be trained in these three aspects in their initial curriculum and in continuing training. It also provides for the inclusion in school and establishment projects of guidelines and procedures to prevent and deal with incidents of school harassment. [[Applause on a few benches of the LaREM group]] More than others, some students find it difficult to express their suffering: harassment particularly affects students with disabilities, regardless of their age and learning environment. Unfortunately, the bill does not take this aspect into consideration. The vulnerability of these students and the extent of harassment against them were, however, the subject of an international meeting within the framework of the UNESCO Global Forum against Harassment. Our majority must act to protect the most fragile. Article 3 is certainly a milestone, but I would like us to go even further.
ParlaMint-FR_2021-12-01-O1080.u163	Mrs Nathalie Porte has the floor.
ParlaMint-FR_2021-12-01-O1080.u164	Article 3 is fundamental, as it highlights the continuing lack of training and awareness among staff who are likely to encounter, in the professional setting, young people suffering from harassment. The bill advocates an effort to train, but forgets a group of staff that is ubiquitous in schools: local government officials responsible for school catering, building maintenance and even building supervision. Harassment occurs not only during school hours, but also during the free time students spend in the school. It is therefore necessary to include these officers in the training effort, and to provide the communities that employ them with the means to bear the cost. I'm sure you've all, or almost all, already received parents or grandparents of children who have been harassed in your homes. We must take into account their anger or disarray, to prevent and protect future generations of students.
ParlaMint-FR_2021-12-01-O1080.u165	All right!
ParlaMint-FR_2021-12-01-O1080.u166	Mr Hubert Wulfranc has the floor.
ParlaMint-FR_2021-12-01-O1080.u167	As it deals with the prevention and protection of the physical and moral integrity of children, article 3 refers to the capacity of doctors and school psychologists to act. As Sabine Rubin pointed out, the bill has a laudable but incantatory intention, as school medicine and psychology are lacking in schools. In addition to being incantatory – acknowledge this, rapporteur – the text is dilatory: in a few weeks, indeed, in the context of the examination of the bill said 3DS we will decide on the transfer of responsibility of school medicine from national education to the departments. The current shortage of doctors and school psychologists will therefore be compounded by differential treatment between departments, which will not all apply the same policy. We found the same phenomenon, at the time, concerning specialized prevention: the departments carried out widely differentiated policies, undermining the need for single treatment. My colleague Elsa Faucillon has drawn your attention to this major risk, and we would like a clear answer.
