ParlaMint-BG_2015-11-26.u1	I'm opening the meeting. Mr. Hristov's procedure.
ParlaMint-BG_2015-11-26.u41	Colleagues, speeches referred to in paragraphs 17 and 18 in the version of the Commission and the two supported import texts which become § 19 and § 20 respectively in the report, are there? I won't. Anblok, we vote paragraphs 17 to 20 inclusive. They voted 102 MPs: 94, against 3, abstention 5. The motion is accepted.
ParlaMint-BG_2015-11-26.u42	According to § 18 the proposal from the National Representative Ivan Valkov. The Commission supports the proposal. Proposal by the National Representative Grozdan Karadzhov under art. 80. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 18, which shall become § 21: .................................................................. Article 41g is amended as follows: "Way to pay" Art. 41g. (1) Public sector information shall be provided for reuse free of charge or after payment of a fee which may not exceed the material costs of reproduction and the provision of information. (2) The principle of determining the fee referred to in para. 1 shall not apply to fees collected: 1. from public sector organisations which under the public task award act are obliged to realise revenue to cover a significant part of the costs associated with the performance of the public task; the obligation to realise revenue shall be determined in advance and published electronically; 2. for the reuse of information in respect of which the public sector organisation is required to make sufficient revenue in order to cover a significant part of the costs associated with the collection, production, reproduction and dissemination of information, under a law or established administrative practice; the obligation shall be determined in advance and published by electronic means; 3. libraries, including libraries of higher schools, museums and archives. (3) In the cases under para. 2, p. 1 and 2 public sector bodies shall calculate the total fees depending on the categories and amount of data provided for reuse in accordance with objective, transparent and verifiable criteria established by a methodology adopted by the Council of Ministers. The total revenue of the public organisation from the delivery and authorisation of the reuse of the information for the accounting period concerned shall not exceed the costs of collection, production, reproduction and dissemination together with a reasonable return on investment calculated in accordance with the accounting principles applicable to the public organisation. (4) In the cases under para. 2, p. 3 The total revenue from the delivery and authorisation of the reuse of the information for the accounting period concerned shall not exceed the costs of collection, production, reproduction, distribution, storage and acquisition of rights to use the information together with a reasonable return on investment calculated in accordance with the accounting principles applicable by the public organisation. (5) The amount of fees shall be determined: 1. for fees charged by the state authority with a tariff accepted by the Council of Ministers; 2. for fees charged by another public sector organisation by the head of the organisation; 3. for the fees charged by the municipalities by the municipal council, and the determined fees cannot exceed the fees under point 3. 1. (6) The amount of fees on which they are calculated, the factors taken into account in the calculation, and any additional conditions, if any, shall be published, including by electronic means in the presence of a website. On request, the way in which these charges have been calculated shall also be indicated in relation to the specific request for reuse. (7) The amounts of fees for re-use of information shall be entered under the budget of the public sector organisation concerned. (8) The Council of Ministers shall review every three years the methodology under para. 3 based on the report under art. 16a, para. 1. (9) If a public sector organisation does not determine the amount of the fees under para. 5, t. 2 and 3, the organisation shall provide this information for reuse free of charge or after payment of a fee determined by the tariff under para. 5, t. OJ L 347, 20.12.2013, p.
ParlaMint-BG_2015-11-26.u43	Statements? I won't. We vote § 21. Vote 98 MPs: 93 against 1, abstention 4. The motion is accepted.
ParlaMint-BG_2015-11-26.u44	According to § 19 there is a proposal received by the National Representative Ivan Valkov. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 19, which shall become § 22: ssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss In Article 4 (1) (b), point (c) is replaced by the following: 41z para. 1 is amended as The Head of the Public Sector Organisation or a person designated by him shall examine the request under art. 41f within 14 days of its entry and decide to provide or refuse to provide information on re-use, which shall be communicated to the applicant. Under paragraphs 20, 21 and 22, no proposals have been received by Members of the National Assembly. The Commission shall support the text of the importer and shall be renumbered accordingly.
ParlaMint-BG_2015-11-26.u45	Statements, colleagues, on the reported paragraphs? I won't. We are voting for paragraphs 22 in the version of the Commission, up to 25, the rest being by importer, supported by the Commission, with a new numbering. We vote. 110 MPs voted: 99, against 1, abstention 10. The motion is accepted.
ParlaMint-BG_2015-11-26.u46	Under § 23 a proposal has been made by the MP Ivan Valkov. The Commission supports the proposal. Proposal of the MPs Martin Dimitrov and Petar Slavov. The Commission supports the proposal on this. 1 and does not support it under points 2 and 3: "2." In § 1, t. 4 a new letter shall be created with the following text: (d) has 50 or more per cent state or municipal capital participation as well as its subsidiaries controlled by it companies and companies in which it has 50 or more per cent capital participation.
ParlaMint-BG_2015-11-26.u47	We're withdrawing the motion on t. 3.
ParlaMint-BG_2015-11-26.u48	Point 3 is withdrawn, we get it.
ParlaMint-BG_2015-11-26.u49	In that case, I read the Commission's version: The Commission shall, in principle, support the text of the importer and propose the following version of § 23, which shall become § 26: sssssssssssssssssssssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssssshssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss Paragraph 1 of the Additional provision makes the following amendments and additions: 1. point 1 is amended as follows: "1." "Material carrier" is any paper, technical, magnetic, electronic or other medium regardless of the type of text recorded, plan, map, photography, audio, visual or audio-visual image, file and the like. 2. In point (a), point (a) (a) the words "Public law' shall be a legal entity which, regardless of its commercial or production nature, is created for the purpose of satisfying public interests and for which any of the following conditions are met and shall be replaced by the words "Public law' shall be a legal entity for which any of the following conditions is met: (b) A third sentence is created: The Public Legal Organization is also a library of higher schools, a public library within the meaning of the Public Libraries, Museum or Archive Act, which is financed by state budget funds or municipal budgets. 3. They're creating a t. 7-15: "7." "Machinochim format" is an electronic data format that is structured in such a way that, without being converted into another format, it allows software applications to identify, identify and extract specific data, including individual facts and their internal structure. 8. "Open format' is an electronic data format that does not require the use of a specific platform or specific software for the reuse of content and is made available to the public without restrictions that would prevent the reuse of information. 9. The Open Data Portal is a single, central, public web-based information system that ensures the publication and management of information for re-use in an open, machine-readable format together with the corresponding metadata. The portal is built in a way that allows the complete extraction of the published information or parts thereof. 10. "Open standard' is a standard that is established in writing and describes the requirements specifications for how to ensure software interoperability. 11. The higher school is a school within the meaning of art. 17 of the Law on Higher Education. 12. The data describing the structure of the information shall be the subject of re-use. 13. "Internet address" is a useful resource identifier or a unified resource locator. 14. The platform for access to public information is a single, central, public web-based information system that ensures the application of access and publication of public information. 15. "Archives" are the central state archives and regional state archives regarding the state archives held by them by the National Archive Fund under art. 6, para. 1, t. 1 of the National Archive Fund Act, as well as public institutions under art. 6, para. 1, t. 2 and 3 of the National Archive Fund Act in relation to the archives and archive collections held by them under art. 33, para. 1, t. 1, 6 "8" and para. 2 of the National Archive Fund Act.
ParlaMint-BG_2015-11-26.u50	Statements? Here you go, Mr. Slavov.
ParlaMint-BG_2015-11-26.u51	Thank you, Mr. Chairman. Just a little bit. As we have already said, my colleague Dimitrov and I withdrew the proposal on this point. 3. We thank the Commission and our fellow Members who supported us on this. 1. I'm gonna have to ask you to put it to the vote, and so on. 2, which is not supported by the Commission, and I will very briefly protect the meaning of these proposals. What the Commission has supported is actually enabling public information to be required of such important structures, such as the Bulgarian Energy Holding. You know, it's a state-owned company. So far, as the text in the Law was written, some other guides of this holding have given the opportunity to claim that it was not designed to meet socially useful objectives. They had at least such an interpretation and very often refused public information and, again, I stress, it is a 100% state-owned company. What the Commission has supported on this point. 1, it will now give no doubt to accept that this company was created for precisely this purpose and that it is obliged to provide public information under this Law. ) (a.k.a. 2 However, where we are not supported, we would like companies that are subsidiaries of such structures, i.e. the subsidiaries of the Bulgarian Energy Holding also to be subject to control under the Public Information Access Act, i.e. not to be able to claim that they are outside the scope of the Law and to refuse information. You know, there are companies in which the Bulgarian Energy Holding owns 50 percent or more and, unfortunately, precedents do not lack to deny such information. In order for you to understand me better, I will end with the following thing we did before in the Law on the Court of Auditors. It was said that such an audit could be commissioned by the National Assembly of the Court of Auditors to carry out in respect of a company in which the State has more than 50% participation. We did it 50% or more than 50%. You can see the difference right away. Here, our motives are similar to that of becoming 50 or more per cent state or municipal participation, that is, there is no doubt where, for example, the percentage is 51, that it could possibly be claimed that it is subject or not subject to control under the Public Information Access Act. Colleagues, I'm asking you to back us up on this. 2. I think this is a useful proposal, which in any case is in the public interest and will satisfy these needs for information. Thank you.
ParlaMint-BG_2015-11-26.u52	Thank you, Mr. Slavov. - What's the line? I won't. Any other speeches? I don't see anyone who wants to. First, honourable Members, we are voting on the unsupported proposal by the gentlemen Martin Dimitrov and Petar Slavov for this. Two, which was just argued. They voted 102 MPs: 20, against 8, abstention 74. The offer is not accepted. Now, honourable Members, we are voting on the text of the importer edited by the Commission for § 23, which has a new numbering § 26. We are voting in a text edited and supported by the Commission. They voted 93 MPs: 83 against 1, abstention 9. The motion is accepted.
ParlaMint-BG_2015-11-26.u53	"Additional provision'. The Commission shall support the text of the importer on the name of the subdivision. The Commission shall support the text of the importer for § 24, which shall become § 27.
ParlaMint-BG_2015-11-26.u54	Statements? I can't see. We are voting on Anblok, honourable Members, the name of the section "Additional provision" and § 27 supported by the Commission. Vote 91 MPs: for 86, against 1, abstention 4. The proposals have been accepted.
ParlaMint-BG_2015-11-26.u55	"Transitional and final provisions." The Commission shall support the text of the importer on the name of the subdivision. The Commission shall support the text of the importer for § 25, which shall become § 28.
ParlaMint-BG_2015-11-26.u56	Statements? I won't. We are voting, honourable Members, the name of the section of the "Transitional and Final Provisions" and the text of the importer for § 25, which becomes § 28. Vote 89 MPs: 84 against 1, abstention 4. The proposals have been accepted.
ParlaMint-BG_2015-11-26.u57	Paragraph 26 "A proposal from the National Representative Ivan Valkov." The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 26, which shall become § 29: ........................ 29...................................................... The Council of Ministers shall: 1. Within six months of the promulgation of this law, the Official Journal of the European Union shall adopt the regulation under art. 15d, para. 3 and the tariff under art. 41g, para. 5, t. 1. 2. By 1 June 2017, the platform for access to public information shall be established and shall enable applications to be submitted through it.
ParlaMint-BG_2015-11-26.u58	Statements? I won't. We vote edited by the Commission by the importer for § 26, which becomes § 29. Vote 92 MPs: 84 against 1, abstention 7. The motion is accepted.
ParlaMint-BG_2015-11-26.u59	The Commission shall support the text of the importer for § 27, which shall become § 30. The Commission shall support the text of the importer for § 28, which shall become § 31.
ParlaMint-BG_2015-11-26.u60	Statements? I won't. We are voting in favour of the Commission texts of the importer for § 30 and § 31. They voted 86 MPs: 77, against 1, abstention 8. The proposals have been accepted.
ParlaMint-BG_2015-11-26.u61	Under § 29, there is a proposal from the National Representative Ivan Valkov, which the Commission supports. The Commission shall, in principle, support the text of the importer and propose the following version of § 29, which shall become § 32: ssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.sssssssssssssssssssssssssssssssssssssssssssssssssssss (1) The executive bodies shall publish within three months of the entry into force of this Act: 1. information under art. 15, para. 1 and para. 4 subject to the requirements of art. 15a, para. 2, except for information on fees under art. 41g, which shall be published within one month of the promulgation of the tariff under art. 41g, para. 5, t. 1 or the publication of the tariff under art. 41g, para. 5, t. 3; 2. the list referred to in art. 15a, para. 3. (2) Public sector organisations which are not executive bodies shall publish the information under art. 15, para. 4 and the tariff under art. 41g, para. 5, t. 2 within six months of the entry into force of this law. (3) The obliged entities under art. 3, para. 1 from 1 June 2017 provide the opportunity to submit applications for access to public information through the public information access platform under art. 15c.
ParlaMint-BG_2015-11-26.u62	Are there any statements under § 29? I can't see. We vote on the text of the importer edited by the Commission for § 29, which becomes § 32. They voted 93 MPs: 85 against 1, abstention 7. The motion is accepted.
ParlaMint-BG_2015-11-26.u63	The Commission proposes to reject § 30 as it is reflected in its systematic position in § 2 and § 8.
ParlaMint-BG_2015-11-26.u64	Statements? I won't. We are voting on the Commission's proposal to reject § 30. 86 MPs voted: 80, none, abstention 6. The motion is accepted.
ParlaMint-BG_2015-11-26.u65	Proposal by the National Representative Snezana Dukova on the grounds of art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal to create a new § 33: ................................................ The provision of § 1, t. 2 concerning Art. 2, para. 4 shall apply to the information established after 1 April 2016
ParlaMint-BG_2015-11-26.u66	Statements? I won't. We are voting on the Commission's proposal to create § 33. Vote 91 MPs: 84 against 1, abstention 6. The motion is accepted.
ParlaMint-BG_2015-11-26.u67	Under § 31, there is a proposal from the National Representative Ivan Valkov, which the Commission supports. The Commission shall, in principle, support the text of the importer and propose the following version of § 31, which shall become § 34: ................. The law shall enter into force one month after its promulgation in the Official Journal of the European Union with the exception of: 1. paragraph 6 concerning art. 15d, para. 2, which shall enter into force nine months after the promulgation of this law in the Official Journal of the European Union, and 2 paragraph 6 concerning Art. 15c and § 9 on the words "or through the public information access platform', which shall enter into force on 1 June 2017
ParlaMint-BG_2015-11-26.u68	Statements? I won't. We vote on the text edited by the Commission for § 31, which is proposed to become § 34. Vote 91 MPs: 84 against 4, abstention 6. The proposal was adopted by which the Law amending and supplementing the Law on Access to Public Information was adopted in the second vote. Thank you, Mrs. Marinska. Please come in for a procedure, Mrs. Saveklieva.
ParlaMint-BG_2015-11-26.u69	Mr. President, honourable Members, I am making a procedure for changing the agenda of the sitting. I propose that the next item for today's meeting be point ten "A bill for ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency."
ParlaMint-BG_2015-11-26.u70	A counteroffer? I can't see. We are voting on the motion made by the Member State to make point eight of the programme voted. Vote 89 MPs: 78, against 5, abstention 6. The motion is accepted. Moving on to the next point: LAW FOR THE RATIFICING OF THE AGREEMENT FOR A EUROPEAN COMPANY BETWEEN THE GOVERNMENT OF THE REPUBLIC OF BULGARIA AND THE EUROPEAN COSMICAL AGENCY. Importer is the Council of Ministers of 5 October 2015. The bill is assigned to four committees. The Committee on Economic Policy and Tourism is the lead. Mrs. Saveklieva, please submit the report to the Commission.
ParlaMint-BG_2015-11-26.u71	♪ I can't believe on a bill for ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency, No 502-02-31, submitted by the Council of Ministers on 5 October 2015. At its regular meeting held on 28 October 2015, the Committee on Economic Policy and Tourism examined the Draft Law on ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency. According to the importer, ratification of the Agreement would contribute to progressive development and implementation of the common European space policy, as well as to exploration and absorption of the cosmos for peaceful purposes. The ratification of the Agreement will enable Bulgarian companies (including small and medium-sized enterprises) and academic and research organisations to participate in projects on the implementation of space-related activities, which will extend the boundaries of space-related scientific knowledge and research. After presenting and discussing the bill, a vote was held which ended with the following results: On the basis of the above and on the basis of art. 85, para. 1, t. 4, 5 and 7 of the Constitution of the Republic of Bulgaria, the Committee on Economic Policy and Tourism proposes to the National Assembly to adopt the Draft for ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency, No 502-02-31, submitted by the Council of Ministers on 5 October 2015.
ParlaMint-BG_2015-11-26.u72	Thank you, Mrs. Saveklieva. The Foreign Policy Committee report will present the public representative Boris Stanimirov.
ParlaMint-BG_2015-11-26.u73	Mr President, honourable Members, I will read: ♪ I can't believe on a bill for ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency, No 502-02-31, submitted by the Council of Ministers on 5 October 2015. At a meeting held on 4 November 2015, the Foreign Policy Committee examined the Draft Law on ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency, signed on 8 April 2015 in Sofia. The reasons for the bill were presented by Deputy Minister of Economy Daniela Vezeva. The Agreement will establish the desire expressed by the Government of the Republic of Bulgaria to implement the European Space Policy and to strengthen cooperation with the European Space Agency within the framework of the adopted cooperation approach of the European Cooperation Countries, which will contribute to progressive development and implementation of the common European Space Policy and to explore and absorb space exclusively for peaceful purposes. The possibility of access of Bulgarian companies including small and medium-sized enterprises and academic and research organisations to participation in projects on the implementation of activities related to space is provided. This will extend the boundaries of space-related scientific knowledge and research to support innovation and competitiveness. With the adoption of the status of a co-operative country, wide opportunities are open to our country to conduct an active policy of cooperation with the other member states of the European Space Agency. Opportunities for maximum utilisation of capacity and expertise shall be found and contribute to strengthening the trend towards autonomous construction and exploitation of space infrastructures and systems. Annexes I and II of the Agreement lay down, respectively, the Plan for European Cooperation States, the objectives, rules and procedures, as well as the mandate and rules of procedure of the Committee of the European Cooperation Plan. The minimum financial contribution necessary for each European cooperative country to participate in the European cooperative country plan for a period of 5 years shall be 5 million. Euros. These funds will be restored by providing Bulgaria with specific programmes and projects. The Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency of ratification by the National Assembly by Law on the grounds of art. 85, para 1, p. 4, 5 and 7 of the Constitution of the Republic of Bulgaria. On the basis of the discussion held and the subsequent vote, the Committee on Foreign Policy with 14 votes for the European Parliament and the European Space Agency, No 502-02-31, submitted by the Council of Ministers on 5 October 2015.
ParlaMint-BG_2015-11-26.u74	Thank you, Mr. Stanimirov. Following is a report from the Committee on Legal Affairs. Mrs. Dessislava Atanasova.
ParlaMint-BG_2015-11-26.u75	Thank you, Mr. Chairman. ♪ I can't believe on the discussion of the Draft Law on the ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency, No 502-02-31, submitted by the Council of Ministers on 5 October 2015. At its meeting held on 28 October 2015, the Committee on Legal Affairs examined the Draft Law on ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency. The meeting was attended by Mr. Philip Kirev, Head of the Political Office of the Minister of Economy and Mrs. Elisaveta Nenkova, Chief Expert at the Directorate, Economic Policies for Promotion at the Ministry of Economy. The adoption of the Bill aims to strengthen cooperation with the European Space Agency, which will contribute to the implementation and development of the common European space policy and to explore and absorb space exclusively for peaceful purposes. The instrument of ratification allows the Bulgarian companies and academic and research organisations access to the participation in projects on the implementation of activities related to space. With the acquisition of the status of a co-operative country for Bulgaria there are wide opportunities for conducting an active policy of cooperation with the member states of the European Space Agency. As a result of the vote, the Committee on Legal Affairs with 11 votes in favour of abstention and non-restraint proposed to the National Assembly to adopt a Draft for ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency, No 502-02-31, submitted by the Council of Ministers on 5 October 2015.
ParlaMint-BG_2015-11-26.u76	Thank you, Mrs. Atanasova. Following is a report from the Committee on Education and Science. Are there any colleagues from this Commission to present the report? Assoc. Great, you've got the honor.
ParlaMint-BG_2015-11-26.u77	Dear Mr. Chairman! At its regular meeting held on 4 November 2015, the Education and Science Commission examined the Draft Law for ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency, No 502-02-31, submitted by the Council of Ministers on 5 October 2015. The meeting was attended by Deputy Minister Daniela Vezeva and Zhelyaz Enev, Director of the Economic Policy Directorate for Promotion by the Ministry of Economy; Nikolay Denkov "Deputy Minister of Education and Science; Member of correspondent Petar Getzov " Director of the Institute for Economic Research and Technology and Acad. Vanyo Mitev. On behalf of the importers, the bill was presented by Deputy Minister Daniela Vezeva. This act of ratification allows Bulgarian companies and academics and research organisations to participate in European Space Agency projects and in scientific missions. The Ministry of Education and Science supported the Agreement on the grounds that it would be useful for Bulgarian scientists, which is also shared by the Committee on Education and Science. After a vote with a result of 12 votes, the Education and Science Committee proposed to the National Assembly to adopt the Law on the ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency in the first vote.
ParlaMint-BG_2015-11-26.u78	Thank you, Assoc. Gorgeous. My fellow Members, I'm opening the debate on the bill. Anyone who wants to make a statement? Mr. Vigenin, you have the floor.
ParlaMint-BG_2015-11-26.u79	Thank you, Mr. Chairman. My fellow Members, I assume that the debate will not be particularly active because, as we can see from the votes in the committees, there is a broad agreement that the Agreement on Bulgaria as a European cooperative country must be ratified. BSP left Bulgaria will support ratification and we just want to make two clarifications. First of all, it is the responsibility of the Ministry of Economy to ensure that this Programme has competitive access to the funds of all small and medium-sized enterprises that are interested, i.e. to ensure that there is transparency, sufficient information and access, for all those who are interested in the development of the project under this Programme. In the same way, it must be approached with regard to academic and research organisations, so that Bulgaria, which is now starting active cooperation with the European Space Agency, creates a good attitude and an idea of its work and activities in or together with the Agency. I would like to draw attention to the fact that working on this Agreement and on Bulgaria's cooperation with the European Space Agency, the first steps have actually started as early as 2013. It is very important to gain sufficient experience within these five years, which are yet to come, so that we can then practically take the next step towards Bulgaria's full participation as a member of the European Space Agency, which should be the ultimate goal of the project, which we are starting now with the ratification of this Agreement. Thank you.
ParlaMint-BG_2015-11-26.u80	Thank you, Mr. Vigenin. - What's the line? I won't. Any other speeches? I won't. I'm closing the debate. Honourable Members, we are about to vote on the bill. If there are any MPs in the towers, please come in. The Secretaries of the Parliamentary Groups shall invite the Members to attend the Chamber. Honourable Members, we are voting at first reading on a bill for ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency. They voted 101 MPs: for 101, against and abstention there is no. The motion has been adopted unanimously. Ms. Saveklieva procedure
ParlaMint-BG_2015-11-26.u81	Mr President, honourable Members, I propose that the newly adopted First Voting Bill be subject to a second vote.
ParlaMint-BG_2015-11-26.u82	A reverse opinion? I won't. I shall put to the vote the procedural proposal made to examine the Second Voting Bill. They voted 102 MPs: for 101, against none, abstention 1. The motion is accepted. Report the bill to the second vote.
ParlaMint-BG_2015-11-26.u83	THE LAW OF THE ratifying the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency A single member. He ratified the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency, signed on 8 April 2015 in Sofia.
ParlaMint-BG_2015-11-26.u84	Thank you. Statements? I won't. We are voting for the Law on ratification of the Agreement on a European Cooperation State between the Government of the Republic of Bulgaria and the European Space Agency. Vote 104 MPs: for 103, there is no abstention 1. The proposal is adopted, with which the Law at second reading. Moving on to the next item on the agenda: THE FIRST VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW FOR HIGH MOVEMENT. Exporters: Milena Damyanova and a group of MPs from the People's Republic of Bulgaria.. 29 April 2015; the Council of Ministers 1 June 2015, Petar Slavov and a group of MPs from the People's Republic of Bulgaria.. 24 July 2015, Borislav Borisov 15 September 2015, Borislav Velikov and Milen Mihov 15 September 2015, and Rumen Gechev and a group of MPs from the People's Republic of Bulgaria? 16 September 2015. We have reports from several committees. First is the committee-leading report from the Committee on Education and Science on the proposed five bills. Mrs. Damyanova, report.
