ParlaMint-FR_2019-02-15-O1151.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-15-O1151.u91	First of all, some elements of a response that will reassure you, Mr. Le Fur. The reform of the baccalaureate will clearly be a step forward for the regional languages and I am pleased to tell you that the reality will not be what you fear: the student will always be able to choose two foreign and one regional languages, namely three modern languages, LVA, LVB and LVC. I know that the opposite is often claimed in press articles, but that is not correct. Similarly, Mr Acquaviva, I do not really disagree with you: it is well known that the policy of the French language under the Third Republic has sometimes rejected regional languages outside the school. But if we make a historical analysis of what happened, we find that it was a little more subtle, that the teachers were able to use the regional language – which they themselves had mastered – to bring the students to French, and not necessarily in a logic of opposition between them. Of course, there have been all the cases and this is a very interesting point of history. I don't need to say again that we're all in the same boat. My only point of divergence with you is that I think it is never in our interest, on this and other issues, to defend a cause from the perspective of victimization. Actually, it's not good for her. Today, there is clearly progress in the recognition of the Corsican language. To say the opposite does not serve his cause, first because it is not in conformity with the truth, and also because it causes pessimism. You have to be optimistic! Regional languages have vitality and we must strengthen them, paying attention to the counterproductive effects that exist, including political ones, when in this case it is a fundamental cultural issue. Together, we must show responsible optimism, that is, reasonable optimism, because there must be rules and a principle of proportionality. Thus, on your amendments and on others, we must pay close attention to the fact that wanting to be a force for proposals should not lead to obliging the actors, be it students or teachers, to an apprenticeship which they do not want. We need to be in a position that is both optimistic and balanced. It is, in any case, the one that guides all of my approaches. With regard to your amendments, I agree with the rapporteur. Article 2 of the Constitution provides that French is the language of the Republic. French cannot therefore be put on the same level as regional languages. But it is important to remember that the first paragraph of article L. 121-3 already provides that pupils must master the French language as well as two other languages. One of them may be a regional language. As for the second provision you are proposing, it is redundant, since the article already provides that exceptions may be justified by the needs of teaching regional or foreign languages and cultures. That is what is happening on the ground. Finally, the last paragraph of your amendments would introduce a teaching in the regional language beyond the hourly parity with French, according to the so-called method of linguistic immersion. This provision would disregard the decisions of the Constitutional Council and the Council of State, which recalled that teaching and practicing school life mainly in the regional language is contrary to article 2 of the Constitution. I am familiar with this issue of language immersion. I have already proposed that this issue, particularly with the general inspections, be deepened in order to see what educational results can be made of the experiences already carried out. I am prepared to move forward on this issue, with respect, of course, to the constitutional provisions, but we must be very careful that methods of immersion do not contravene the law or a solid acquisition of the French language. It is therefore a subject on which to show great pedagogical finesse. For all these reasons I express an unfavorable opinion, even if I believe that we agree on the objectives.
ParlaMint-FR_2019-02-15-O1151.u92	Ladies and gentlemen, as Mr Le Fur pointed out at the beginning of the sitting, there are some 60 amendments on this subject. I remind you of the rule, so that we can move forward in this debate: everyone will obviously have the right and the opportunity to express his or her sensitivity, but I will only accept two speakers after the opinions of the committee and the Government, as is our practice.
ParlaMint-FR_2019-02-15-O1151.u93	You don't have to.
ParlaMint-FR_2019-02-15-O1151.u94	Thank you for that clarification, Mr. Le Fur. Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-15-O1151.u95	The question of regional languages has several aspects that deserve special attention. Your remarks, Mr.Minister, are a kind of advance, but one point remains for debate, and I will return to it. [[Claims on several banks of the LaREM Group]] First of all, you mentioned the Third Republic. I am thinking in particular of Alsace, where repression against the regional language continued during the Fourth Republic and even under the Fifth. I can personally testify to this because we were banned from the practice of Alsatian in primary school, and we were even trying to extend this ban to the family circle.
ParlaMint-FR_2019-02-15-O1151.u96	Yes!
ParlaMint-FR_2019-02-15-O1151.u97	If, ladies and gentlemen, this has existed, we must know!
ParlaMint-FR_2019-02-15-O1151.u98	It's a historical reality!
ParlaMint-FR_2019-02-15-O1151.u99	This does not in any way call into question the school of the Republic, but it is a fact. [[Paul Molac and Jean-Félix Acquaviva applaud]] [[Mr. Marc Le Fur applauds]] With regard to hourly parity, you said, Minister, that you were prepared to evolve, in accordance with the Constitution. I agree with you, but it should not be interpreted restrictively. What do we mean by hourly parity? The real challenge is to get the student to master the French language at the end of a school course. And we all know that immersion devices make it possible to do better, faster and to go further in acquiring a language. However, it must be recognized that part of the General Inspectorate of Education has a very dogmatic view on the subject, systematically taking refuge behind a restrictive interpretation of the Constitution. Our fight here in the National Assembly is to make it evolve. We must seek to get closer on this point, and our group is waiting for you to take a step in this direction too, saying that you will pay kind attention to this issue of hourly parity. Otherwise, you will automatically hinder the development of regional languages.
ParlaMint-FR_2019-02-15-O1151.u100	Mrs Sophie Mette has the floor.
ParlaMint-FR_2019-02-15-O1151.u101	We talk a lot about Basque, Corsican and Breton, but there is also Occitanie and I am also here to defend it. It is true that there are concerns among Occitan teachers. You reassured me a little, minister, when you said that there would be equal treatment between the options at the bachelor's degree, because that's a big concern for them. I hope I understand that a student who has taken an Occitan course since the elementary school will be able to value it as an option in the baccalaureate, with the same rating coefficient. Do I understand correctly?
ParlaMint-FR_2019-02-15-O1151.u102	You get it.
ParlaMint-FR_2019-02-15-O1151.u103	I call Mr Le Fur to support Amendment No. 247.
ParlaMint-FR_2019-02-15-O1151.u104	Thank you for your answer, Minister: candidates for the baccalaureate will be able to take two foreign languages and one regional language. That will reassure the people who have alerted us about this, and I am grateful to you. Put it in writing, let it be even clearer! On the other hand, I'm worried about your comments on immersion. Immersion education is being practiced today. You seem to say that you have to take stock, see if there are any positive effects... But these positive effects exist, they are recognized!
ParlaMint-FR_2019-02-15-O1151.u105	Of course!
ParlaMint-FR_2019-02-15-O1151.u106	Students in the immersive fields all get the baccalaureate, 100%! This debate should not lead to any setbacks. However, for me, the words you have just said about immersion are a step backwards. Don't worry as soon as you can. I come to my amendment. Not all municipalities will be able to have schools offering bilingual education. As a result, some families will send their children to a nearby municipality. The question arises therefore of their financial support: in order for them not to be responsible for the municipality where they will be attending school, it is legitimate for the municipality from which they come to participate financially in their schooling in the school which will host them – public school, private school or associative school such as Calendreta or Diwan. We therefore hope that the current situation will evolve. This development is in perspective, since the Prime Minister came to Brittany – he was in Finistère yesterday, in Rennes last Friday – to sign a commitment document in order to go towards taking into account what is called the package. What is the Government proposing to ensure that children are treated in the same way, regardless of the school where they go in relation to their municipality of residence?
ParlaMint-FR_2019-02-15-O1151.u107	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1151.u108	A special scheme, introduced by the NOTRE Act, already provides that the mayor of the municipality of residence may not object to the schooling of a pupil in another municipality offering regional language instruction. I am therefore against this amendment, which would be tantamount to subjecting the financial contribution of the municipality of residence to two different schemes.
ParlaMint-FR_2019-02-15-O1151.u109	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u110	We must take the time to consider these important issues. However, today's agenda is busy.
ParlaMint-FR_2019-02-15-O1151.u111	[[Exclaims on the banks of the LaREM Group]] For regional languages, this is never the time!
ParlaMint-FR_2019-02-15-O1151.u112	I just said the opposite, Mr. Member.
ParlaMint-FR_2019-02-15-O1151.u113	Mr. President Le Fur! When you preside, you are attached to the quietness of the sessions.
ParlaMint-FR_2019-02-15-O1151.u114	[[Laughs]] Everyone is in their role, Mr. President!
ParlaMint-FR_2019-02-15-O1151.u115	And the minister is in his by answering you.
ParlaMint-FR_2019-02-15-O1151.u116	Mr President, I was saying that I was going to take the time to answer you. We all need to be careful to focus on our remarks in order to avoid repeating ourselves, but your amendment opens up a specific subject. That is why I want to reply to you, following on from what the rapporteur has said. [[Smile. - Mr. Marc Le Fur applauds]] I have already referred to points of law, particularly on hourly parity, which Mr Hetzel also referred to. In this connection, I pay tribute to the school of the Republic which has enabled Mr. Hetzel to acquire the ability to argue in French that he is known to him. I think he wasn't very much a victim of what he denounced! With regard to immersion, I would say that in essence what matters is the interest of the student, of course, who must achieve a solid acquisition of French, but also the development of regional languages. Therefore, we need to know how to do educational reviews. I do not identify, Mr. Hetzel, any prejudice on the part of the General Inspectorate, but only a form of objectivation. For it is a subject on which many things are said: it is good to look at concretely what is happening, in a spirit of experimentation. Several schools have been conducting educational experiments on regional languages for many years, and it is now time to take stock. We must also pay attention to the principle of equality. I said earlier that we should avoid victimization. In fact, the processes initiated in recent years have very often resulted in the placement of schools, some of which are private, in privileged situations, in terms of supervision rates and, in particular, of resources. We are not going to open this discussion, but we must bear in mind the principle of equality. If tomorrow we make regional languages an additional criterion for a family that has chosen to attend school in another municipality to be entitled ipso facto to the package paid by the municipality, we will open a large breach. That would be contrary to what had been put forward in the discussion of Article 2 of that text. Let us not cherish the causes of the evils we regret. You plead very often for rural school in France, Mr Le Fur, as I do myself. Let us keep in mind the situations in which we can find ourselves, when the primary school in village X closes because, in village Y, we have had such a policy towards regional languages.
ParlaMint-FR_2019-02-15-O1151.u117	It will soon be the fault of the regional languages!
ParlaMint-FR_2019-02-15-O1151.u118	This in no way prevents parents residing in village X from putting their children in the school of village Y, as the Prime Minister has said, but we always go back to the distinction between possibility and obligation: we have already talked about it for the student and the teacher, it is also true for the local authorities. We must open the field to proactive policies without putting some into situations of obligation, whose perverse effects we would then deplore. I understand your intention, and I share it. Support will be given to these public policies, in line with the statement made by the President of the Republic and the Prime Minister. However, because we have to pay attention to the issues of balance, my opinion on the amendment is unfavourable.
ParlaMint-FR_2019-02-15-O1151.u119	Mr Marc Le Fur has the floor.
ParlaMint-FR_2019-02-15-O1151.u120	Minister, you're really very strong! To listen to you, the regional languages will soon be responsible for the worries of our small rural schools! Bravo, I didn't think about it. You practice the art of sophism with an expert science. That said, that the immersion school is being examined and evaluated does not bother me, on the contrary. However, care must be taken to avoid a priori: children who choose this type of education have very good results. I come to my amendment. An agreement has been signed – I am speaking under the control of my elected colleagues from the Breton departments. This is not just a statement by the Prime Minister, it is an agreement that we are going to move, through a law, towards taking the package into account. Thus, if you do not have bilingual education in your municipality and you are obliged to go to another, the package plays – in other words, the municipality of origin pays. This will be negotiated and explained to the communes, of course, but it will still be an obligation, unless the commune of origin offers bilingual education of the same nature to the public, the private or the association. So what we are asking for is very consistent, very simple. It's not a revolution, it's a small evolution. Your majority beat the drum by welcoming this agreement reached last Friday in Rennes. I was present at the signing.
ParlaMint-FR_2019-02-15-O1151.u121	Me too!
ParlaMint-FR_2019-02-15-O1151.u122	What will be the concrete translation? I am proposing this amendment, recognizing that the next one, moreover, is rather better drafted. In any event, Minister, I would like you to tell us how this commitment will be fulfilled. It is not a word between two doors, it is a commitment of the Prime Minister!
ParlaMint-FR_2019-02-15-O1151.u123	Mr Alexis Corbière has the floor.
ParlaMint-FR_2019-02-15-O1151.u124	I would like to give my personal opinion, because this subject is still under discussion, including in my group. First of all, for those who know a little about the current of thought that I represent, I recognize that it has evolved. I make it clear to this microphone that I am in favour of the possibility of teaching regional languages within the framework of the public service. Measures had already been taken to that end, and an increase in the number of teaching posts should genuinely guarantee that right. But I find it shocking that this debate is an opportunity to say everything and anything. I am speaking in particular to my colleagues on the right of the Chamber. The work of the Third Republic is an immense work, which has made it possible for every citizen to speak the same language throughout the national territory. This is important, because we are a political people. The legend of saying that we used repression on people, especially children...
ParlaMint-FR_2019-02-15-O1151.u125	It's a reality!
ParlaMint-FR_2019-02-15-O1151.u126	No, it's not a reality! And what teacher would accept today that his students speak a language he does not understand? Of course, it has been demanded that children do not speak regional languages at school, in the same way as in 2019, in my territory, in Seine-Saint-Denis,...
ParlaMint-FR_2019-02-15-O1151.u127	That's not the point!
ParlaMint-FR_2019-02-15-O1151.u128	... when children, whether French or foreign, use the language of their families that is not French, the teacher recalls that a foreign language is not spoken at school. Perhaps families have once lived through the situations you refer to. But it was at a time when regional languages were particularly alive, especially in the family setting.
ParlaMint-FR_2019-02-15-O1151.u129	It was a political instrument!
ParlaMint-FR_2019-02-15-O1151.u130	[[Exclaims on various benches]] It was not forbidden to speak regional languages with the family! Friends, I said that we are a political people: we do not all have the same spiritual convictions, we are not all born of the same languages, but we have decided to have a common destiny, which goes through the fact that we can all understand each other. We disagree, but I continue to be on the side of these teachers. On the other hand, for our Corsican friends, the question does not arise, but as far as Breton is concerned, what Breton should have been used? There were several, it was only then unified!
ParlaMint-FR_2019-02-15-O1151.u131	Thank you, Mr. Corbière...
ParlaMint-FR_2019-02-15-O1151.u132	I'm finishing, Mr. President.
ParlaMint-FR_2019-02-15-O1151.u133	Mr Corbière, you have already exceeded your speaking time. You will take the floor a little later. Conclude, in a few words, please.
ParlaMint-FR_2019-02-15-O1151.u134	This debate should not lead to even more private schools being financed with public money. In particular, I say to Mr Le Fur: yes to regional languages in the context of public service, no to public funding of private schools. That is a principled position.
ParlaMint-FR_2019-02-15-O1151.u135	I have before me a number of amendments, Nos 218, 423, 609, 789, 985 and 248, which can be discussed jointly. Amendments Nos 218, 423 and 609 are identical, as are Amendments Nos 789 and 985. On identical amendments Nos 218, 423 and 609 I have a request from the Group of the European People's Party and the Freedom and Territory Group for a public vote. The vote is announced in the National Assembly. I call Mr Molac to support Amendment No. 218.
ParlaMint-FR_2019-02-15-O1151.u136	I would just like to inform Mr Corbière that in France, the teaching of regional languages is not a right but a possibility: a family that would bring a complaint to the administrative court because its child does not have access to a regional language would therefore be dismissed. The right to a regional language is not recognized; it is a possibility that the administration offers if it can. On the other hand, it is not a legend: yes, unfortunately, a number of children were beaten because they spoke in class, and even in the schoolyard, the language they should not have used. Then we had to pass "the cow", or the hoof... French was also used as a means of social sorting: those who were the best in French had access to administration, to the right positions, and not the others. This has led to lasting persuading people of their inferiority, which is very damaging.
ParlaMint-FR_2019-02-15-O1151.u137	Of course!
ParlaMint-FR_2019-02-15-O1151.u138	My amendment amends Article L. 212-8 of the Education Code, providing for a fourth case of derogation: in the event that there is no proposal to teach the regional language in the school of the municipality, it would become possible to be educated in the school of the municipality next door without the municipality, whose mayor has made the effort to have a bilingual class, being obliged to pay for the children next door. If the mayor of the commune of origin no longer wants to have to pay, let him create a bilingual class, it is not very complicated! But I would point out that this possibility would only be open for public schools.
ParlaMint-FR_2019-02-15-O1151.u139	I call Mr Le Fur to support Amendment No. 423.
ParlaMint-FR_2019-02-15-O1151.u140	[[Mr Acquaviva applauds]] Mr. Corbière has the merit of being very coherent: he has a classical jacobine attitude, very clear, very identified. But yes, a number of representatives of the public school under the Third Republic had a colonial attitude! That's what it's called. In fact, the ministers of public education and the ministers of the colonies were often the same. I am thinking in particular of Jules Ferry, for those who know a little about history. Jules Ferry is best known for his work in public education,...
ParlaMint-FR_2019-02-15-O1151.u141	[[Smile]] A little bit.
ParlaMint-FR_2019-02-15-O1151.u142	... but he was also minister of the colonies. It was then a matter of spreading the lights of our beautiful country, but sometimes violently. There have been victims, and a number of regions, it is true, have kept a burning memory of them. The aim of these amendments is, as Mr Molac has explained perfectly, to enable children to receive education in the regional language. We are realistic: there is no question of obliging all municipalities to offer bilingual education. But once we accept this realism, we must allow families to send their children to the neighbouring communes that propose it. They must therefore be able to be financed in one way or another for this purpose, i.e. that the commune of origin, which will not bear the costs of schooling for these children, must be obliged in some way to finance their education,...
ParlaMint-FR_2019-02-15-O1151.u143	May I be obliged?
ParlaMint-FR_2019-02-15-O1151.u144	... whether it takes place in the public, in Catholic education – which is engaged in training in the regional language – or in associative education. I am thinking in particular of Diwan, who was an extremely pioneer: if this network had not developed from the 1980s to the 1990s, it is to be feared that the school education of Breton has not experienced the development that was his. Minister, we expect answers from you: how will the Prime Minister's position be translated? It's not clear, and it demands to go through a law. We don't have this law. Without a perfect text, we must in any case make explicit proposals from the Government.
ParlaMint-FR_2019-02-15-O1151.u145	I call Mr Reiss to support Amendment No. 609.
ParlaMint-FR_2019-02-15-O1151.u146	To begin with, I would like to pay tribute to the school of the Republic, since I am part of the generation that attended it without first knowing a word of French. Things then worked out well, and not just for me. For my part, I remember it as a very pleasant time. I am also delighted today to see young people, sometimes of Maghreb origin, attending bilingual schools. I assure you that attending performances of plays in Alsatian where young people play whose family does not practice this language at all is a real happiness.
ParlaMint-FR_2019-02-15-O1151.u147	That's absolutely true.
ParlaMint-FR_2019-02-15-O1151.u148	[[MM. The Fur and Hetzel applaud]] This means that these schools are open to everyone. With regard to this amendment, as a former mayor, I remember all the questions we had about bilingual classes: those who had bilingual classes, those who did not have bilingual classes... They were always difficult negotiations, especially within the mayors' amical, in order to agree on funding. The NOTRE law in 2015 was a real step forward, I fully agree. However, the two municipalities, the receiving municipality and the municipality of residence, must always find an agreement. With this amendment, we would simply like to create a derogation for this obligation of financial participation.
ParlaMint-FR_2019-02-15-O1151.u149	In the joint debate, I have two identical amendments, Nos 789 and 985. I call Mrs Mette to support Amendment No. 789.
ParlaMint-FR_2019-02-15-O1151.u150	Currently, enrolment in a public school offering education in the regional language does not constitute a derogation justifying the compulsory payment of a financial contribution from the municipality of residence to the receiving municipality. Article 212-8 of the Education Code provides, since the Act NOTRE of 2015, that "The financial contribution to the schooling of the children concerned shall be the subject of an agreement between the receiving municipality and the municipality of residence. In the absence of agreement, the State representative in the department brings together the mayors of these communes in order to resolve the dispute over financial participation, in the interest of the schooling of the children concerned. » If this arrangement allows the municipality of residence to participate financially in the schooling of a pupil in a bilingual class in another municipality, it does not oblige the mayors to pay the said fee. The financial contribution from the municipality of residence is therefore not effective. In practice, the mayors of the receiving communes are regularly forced to refuse enrolment in bilingual classes because of the non-payment of the school pass by the municipality of residence. [[Ms. Nadia Essayan, Mr. Didier Le Gac and Mr. Marc Le Fur applaud]] We therefore propose by this amendment to strengthen the existing legal framework, by creating a full-fledged derogation involving compulsory take-over of the school package by the municipality of residence.
ParlaMint-FR_2019-02-15-O1151.u151	I call Mr Yannick Kerlogot to support Amendment No. 985.
ParlaMint-FR_2019-02-15-O1151.u152	Colleagues, we are living a unique moment: Article 6 is dedicated to foreign languages and, of course, the issue of regional languages has been incorporated into it. I share your view, minister: we must get out of victimization, but without minimizing the effects of history on these languages, which you have presented very well as the languages of the house, the native languages. So let us not underestimate today the effects of this generalization of the French language, which, while it has made possible the social rise, has done so to the detriment of the regional languages. This amendment is very pragmatic. I would remind you that we must now plead for foreign languages, for regional languages, and of course for the French language. Let us stop opposing the stakes: I feel a form of exasperation in some of our colleagues when we speak regional languages. But we simply plead for an acceleration of the support provided to them, because the number of speakers is falling! You are indeed right, minister: it has become the language of the school. If there are now mechanisms that encourage their development, this does not go fast enough. This amendment refers to a reality: a first agreement, which I am not going to detail because our colleagues have already done so, invites the mayor of the municipality of residence to pay a school pass to the mayor of the municipality of reception. But in the event of disagreement, it is the services of the State that are forced to try to reach an agreement. In fact, they do not manage to do so quite often: some mayors of municipalities with a bilingual school attest to the fact that the school pass due from the other municipalities is not paid to them. [[Ms Sandrine Mörch, Mr Jean-Félix Acquaviva and Mr Marc Le Fur applaud]] This amendment, therefore, aims, through the fourth derogation, simply to recognise as compulsory this payment of the school fee, in the idea of promoting and defending the regional language and above all to increase the number of speakers in school: there is an urgent need!
ParlaMint-FR_2019-02-15-O1151.u153	I call Mr Le Fur to support Amendment No. 248.
ParlaMint-FR_2019-02-15-O1151.u154	I won't be very long, because he has the same object. The real concern is the minister's answer. There is a commitment from the Prime Minister: we must go towards the package. It will go in the direction of justice. I take a very concrete example: the excellent Stéphane Roudaut, mayor of Gouesnou, does not have a school of this nature. So he's financing Plabennec's school right next door. All right. Simply, other municipalities close to Plabennec, and sending their children there, do not make this effort. There is therefore a question of justice between the municipalities. The expectations of parents must also be met. One child is worth another: it is therefore quite logical that the school pass does not penalize families who choose to teach in the regional language.
ParlaMint-FR_2019-02-15-O1151.u155	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1151.u156	It is unfavorable on all the amendments under discussion.
ParlaMint-FR_2019-02-15-O1151.u157	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u158	I have already replied in large part to these amendments. I won't repeat everything I said. President Le Fur, having asked me about the specific question of what the Prime Minister has said and of a possible contradiction with my remarks, I shall return to this point. In fact, what the Prime Minister said was that there would be a consultation with the mayors of Brittany. This is indeed Brittany. Each intervention in this debate is by definition tinged with the particularities of the territory concerned, but let us pay attention to the consistency of our positions for all the regions of France. As far as Brittany is concerned, the Prime Minister's commitment, which we will, of course, respect, concerns a consultation with the mayors of Brittany in order to determine whether they wish to move towards the kind of solution that you are advocating. We will see what will emerge, because we know that there is no unanimity on these issues either, because of the possible perverse effects that I mentioned earlier. Other sectors of private education, either under contract or even out of contract, can, as we all know, view things a little differently. So these are not binary subjects: we must consider all the consequences of our remarks. In short, there is benevolence with regard to regional languages, as the Prime Minister has repeated, and as evidenced by the support given to Diwan and to various initiatives and also the support we give to regional languages in public education. Mr Corbière was right to recall certain elements in this regard. We must continue to encourage regional languages in public education, and the reform of the baccalaureate goes in this direction, as I showed earlier. The reality therefore goes in the direction you want, but it is necessary to proceed step by step. This bill does not deal with regional languages: you have incorporated these elements. It is interesting and probably a good thing, but the temporality, which has been set by the Prime Minister, is the one I have just indicated. For all these reasons, the Government is opposed to all of these amendments.
ParlaMint-FR_2019-02-15-O1151.u159	Mr Alexis Corbière has the floor.
ParlaMint-FR_2019-02-15-O1151.u160	It's a nice debate. First of all, for Paul Molac, I am in favour of teaching regional languages as part of the public service. And if, especially in the Rennes Academy, there are not enough posts, we must create them. There's definitely something wrong with that. You will always have our support so that parents and children can benefit during their schooling, if they so request, from a Breton education. Secondly, I want to put the Corsican question clearly aside, because it seems to me to be a different issue that I do not have time to develop. There is a Corsican people.
ParlaMint-FR_2019-02-15-O1151.u161	And a Breton people.
ParlaMint-FR_2019-02-15-O1151.u162	And an Alsatian people.
ParlaMint-FR_2019-02-15-O1151.u163	Because of its island character, it has a different relationship to this question. This is a very interesting debate. [[Mr François-Michel Lambert sesclaffe]] Finally, I would like to say to Marc le Fur that the possible bullying in the school of the Third Republic, which is regrettable, was probably due to the pedagogy of the time, which, on this and on the other hand, was rather brutal and would shock us today. Yes, we put on taloches, we pulled our ears and we put around, for these and other reasons. The school of the Third Republic, despite its virtues, would undoubtedly shock us today. But of grace, even though I may have been a bit caricatural, I cannot let it be said in this Chamber that Britain has been colonized, that the Jacobins, that Jacobinism would have colonized it! After all, the original name of the Jacobin club was the Breton Club! That is to say how this colonization, by Republicans and Breton Jacobins themselves, was done on the basis of political rights. That's what we need to remember. Let's not go too far in the argument. Let us all try to fight for equal rights and public service. Let us avoid this sensitive discussion being an opportunity sometimes to unblock our achievements, and to focus on private schools. Let's get back to the public service, especially in order to bring back families who have chosen private education for linguistic reasons. [[Applause on the benches of the FI group]] We need public service in everything, because that's where we'll have the last word, and that's how our republican values will always be better shared.
ParlaMint-FR_2019-02-15-O1151.u164	Bravo!
ParlaMint-FR_2019-02-15-O1151.u165	Mrs Anne-France Brunet has the floor.
ParlaMint-FR_2019-02-15-O1151.u166	I support these amendments. I am all the more sensitive because there is indeed a historical link between my territory, the Loire-Atlantique, and that of my colleagues, Brittany. The Loire-Atlantique has a number of Diwan schools, and some pupils do not necessarily live in the communes where they are located. [[MM. the Fur and Lurton applaud]] In my view, this amendment has two main objectives: firstly, that the student's municipality of residence must be able to participate in the school package, and secondly, that, in my view, there must be a calming of relations between the municipalities and that legal consolidation can take place. In conclusion, I am in favour of amending the Education Code so that the teaching of Breton is a derogatory condition. In my view, this would be the application of the principle of equality to all students wishing to learn Breton.
ParlaMint-FR_2019-02-15-O1151.u167	All right!
ParlaMint-FR_2019-02-15-O1151.u168	Mr Marc Le Fur has the floor.
ParlaMint-FR_2019-02-15-O1151.u169	[[Rires on the benches of the FI group]] Mr Corbière, I did not speak of the colonization of Brittany, I spoke of colonial methods. They were applied in particular by a number of overly zealous people, who certainly wanted to do well, because they saw it as the condition for the promotion of their students. But that actually led to the denial of a culture, and thus a people. Because people exist, in Corsica, Alsace, Brittany and elsewhere! It's an objective reality. Minister, what worries me is your answer. I want us to start all the consultations we want, but at some point we have to decide whether or not we are going to go to the obligation. And if we don't, what will change with regard to the current situation? A municipality can already give financial means to a neighbouring municipality that schooles its children, so if you stick to this, nothing changes. The question is whether or not there is a kind of right for the child and his or her family to portability of the aid paid by the commune of origin. I repeat: consultation is very good, but at some point it is necessary to act. However, I do not see any willingness in your remarks, Minister, to do so. I find that what you say is far below what was signed by the Prime Minister. However, I can tell you that the regional advisers, of whom I am, like other colleagues, including among the most illustrious – I am thinking of the President of the Assembly – welcomed this very positive development. I hope that this new uncertainty will not overwhelm them.
ParlaMint-FR_2019-02-15-O1151.u170	Mrs Anne Brugnera has the floor.
ParlaMint-FR_2019-02-15-O1151.u171	If we hear the many colleagues defending their territories,...
ParlaMint-FR_2019-02-15-O1151.u172	No, we're defending cultures!
ParlaMint-FR_2019-02-15-O1151.u173	... I would like to say that the moving Republic Group will follow the minister in the majority. I would like to recall our discussions yesterday on Article 4, the financing of private schools and our relations with mayors in the territories. I think we need to trust the mayors,...
ParlaMint-FR_2019-02-15-O1151.u174	It's about time!
ParlaMint-FR_2019-02-15-O1151.u175	... whether they are from Brittany or elsewhere, to work in the general interest of their citizens and to find the solutions that need to be found. We will therefore vote against these amendments.
ParlaMint-FR_2019-02-15-O1151.u176	I put to the vote identical amendments Nos 218, 423 and 609.
ParlaMint-FR_2019-02-15-O1151.u177	The result of the vote is as follows: Number of voters 57 Number of votes cast 52 Absolute majority 27 For adoption 21 Against 31
ParlaMint-FR_2019-02-15-O1151.u178	I have before me two identical amendments, Nos 82 and 930. I call Mr Le Fur to support Amendment No. 82.
ParlaMint-FR_2019-02-15-O1151.u179	This is the same subject. I repeat: I am worried, minister. What will happen is that at the end of this debate on regional languages, we will not have made any progress.
ParlaMint-FR_2019-02-15-O1151.u180	In fact, we are not progressing very fast...
ParlaMint-FR_2019-02-15-O1151.u181	In some respects, we may even have regressed because of your comments on immersive teaching.
ParlaMint-FR_2019-02-15-O1151.u182	Yes!
ParlaMint-FR_2019-02-15-O1151.u183	[[Mrs Cécile Rilhac exclaimed]] I invite each other to pay close attention to these issues. We propose only "soft" evolutions that follow the natural slope of things. In this case, we propose that the municipalities should be obliged to pay the lump sum when their children are attending school in another municipality, provided that they themselves do not give the opportunity to learn Breton, whether in the public network, in the private network or in the voluntary network. Indeed, Mr Corbière, if the public network develops – and that is a good thing – thanks to the action of activists, there is also an associative network and a private network. Moreover, in all objectivity, if these had not existed, we would not at least be witnessing a healthy emulation between the various networks at the moment in Brittany.
ParlaMint-FR_2019-02-15-O1151.u184	Mr Jean-Félix Acquaviva has the floor to support Amendment No. 930.
ParlaMint-FR_2019-02-15-O1151.u185	The purpose of this amendment is to introduce a paragraph in Article L. 212-8 of the Education Code which reads as follows: "The first three paragraphs of this Article shall apply where a child whose parents wish to attend school in the regional language cannot find such a faculty in his municipality of residence, whereas it is available in other municipalities". The aim is to facilitate the schooling of children in the regional language, provided that the parents so wish and that children cannot benefit from such education in their municipality of residence. It is therefore very different from an obligation.
ParlaMint-FR_2019-02-15-O1151.u186	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2019-02-15-O1151.u187	Unfavorable.
ParlaMint-FR_2019-02-15-O1151.u188	What is the Government's opinion?
