ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u1	The sitting is open (9.31 a.m.). The Minutes shall be read.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u29	He's enlisted to speak Senator Dal Mas. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u30	Mr President, representatives of the Government, today this House is debating an epochal reform, evidently in the interest of the 5 Star Movement and apparently also of the League Party (formerly the North League), which preached many other reforms in the past: it was born with the aim of so-called federalism, it has abandoned these ideas and today it is chasing the 5 Star Movement, its government partner, in a fight against those who say more about the proximity - I say it in a very synthetic way - to the belly of the people, to the immediate instincts, someone would say more Belluini that is more feral, but that is not so. There is a conviction: the reason why the Movimento 5 Stars was born is to open Parliament up like a tuna box, to bring out all the rottenness there is, to reduce the number of Members, to remove the vitality. This question is called constitutional reform, but it is only because it touches and crosses 3 articles of the Constitution and the process of constitutional revision referred to in Article 138 of the Charter, but it does not have the rank of constitutional reform because there is no constitutional reasoning, there is no reasoning that goes back to the thought of our constituent Fathers when in 1947 and then in January 1948 the Italian Constitution saw the light. In fact, what you are proposing today is a pure and simple linear cut, nothing more: do not affect the real powers, leave them unchanged, rather try to go hand in hand with the real powers. We have seen what is going on with the judiciary these days and you are silent, indeed accomplices of this system, because you probably think of starting the so-called Third Republic through the linear cut of parliamentarians, you do not realize that this is the time when you have to build the second Republic of Judges, because this has not yet been there. On the contrary, you are proposing reforms such as those on justice (the corrupt sweep) that affect the fundamental freedoms of citizens; I am thinking of the prescription, which will give us endless trials from 2020. This is the level of your reforms, dear friends of the Movimento 5 Stars and dear friends accomplices of the League. If we were to reason, we have been talking about revising the Constitution for more than fifteen years. We tried it in 2005, as Senator Malan used to remember. Then a referendum stopped that revision of the Constitution, which made sense: indication of the Premier and Federal Senate of the Regions, because that then wanted the League. The same attempt made by Renzi, although clumsy in form, contained in the substance elements against which the country was placed in a position to reflect around a plant that was certainly not as modest in itself as this present, where the cut is purely horizontal and there is nothing more. You also change the representation for the small regions, as Senator Leonardo said, who preceded me; remove the right to stand. I come from a Region, Friuli-Venezia Giulia, which is an autonomous Region with a special Statute and which currently expresses seven senators. As a result of the cut, it will reach four senators, but in fact it will be three plus one, because a senator will be an expression of the Slovenian linguistic minority. So it is not true that the cut is 38 percent; it is actually 50 percent. This means, from the numerical point of view of representation, that if, to date, in my small region of 1,20,000 inhabitants, the proportion between inhabitants and elected is 200,000 inhabitants for each elected person, as a result of this reform we will reach one representative for every 400,000 inhabitants. In such a college, the function of the Member of Parliament is in fact mortified. But you do not need Members, because Parliament will be closed in the political perspective outlined by the combined arrangement of this constitutional reform and the introduction of the proposed referendum. With the proposed referendum it is clear that the Rousseau platform will tell us how we will have to make the laws; it will show what are the issues to be dealt with and consequently the parliamentary function fails. We are in a democratic republic based on perfect bicameralism. I would have thought and expected an awakening of enthusiasm and energy from two political forces. One, which at this time is the oldest, is the party of the North League; the other, which says to represent the new and the change to the Government, reduces the fundamental rights drastically. We have seen it and I repeat it, because for me this is a very serious fact in the matter of justice: you will give Italian citizens endless trials (the end of trial never). Well, this reform is about the linear cut and it has nothing to do with the rank of constitutional reform, because there is no reasoning, except the pure and simple expression of reduction and cutting. Then there will be the cut of vitality, of course; this is a refrain and a mantra that comes out every day. In essence look around, dear friends of the Movimento 5 Stars: what did you deliver after a year to the country? You have handed over the citizenship debt; that is what you have done. This will remain in the annals of the history of your governmental experience, but unfortunately, I must say, the friends of the League, who once had good ideas and today have lost them around a government project. In fact, dear friends of the League, let us not deceive ourselves, beyond having placed in a clear, clear and clear way the problem of irregular immigration, there is not a problem that you have solved, and of trust we have given you so much of Forza Italia, and of attention we give you every day and together with you we govern many important Regions of this Country. I would like to add a final remark: I have just been reminded that there is an important reform on the so-called differentiated autonomy which involves about 20 million inhabitants - the rich regions of the North - and a Governor, the Governor of Veneto, who claims that all the matters listed in Article 117, third paragraph, of the Constitution automatically become of regional competence. Well, the reduction of parliamentarians, the powerful strengthening, through these mechanisms, of regional powers within a regional state, poses not only a problem of keeping up with Article 5 of the Constitution but also a problem of balancing powers. Compared to this, you are complicit in a system that leads to the collapse of this country. [[Applause from the FI-BP Group. Congratulations.]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u31	He's enlisted to speak Senator Aimi. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u32	Mr President, representative of the Government, ladies and gentlemen, I confess that this Constitutional Charter has never made me fall in love for a very simple reason, because it is born as a result of a compromise between the forces that had participated in the civil war in Italy, especially the Christian Democracy and the Communist Party. We must recognise, however, that the work has led to an important document, which has maintained our legislative system and given a fundamental direction. Personally, I would be pleased if we could achieve a genuine and organic reform of the Constitution, and therefore also a third Republic, but I imagine that third Republic as a presidential Republic, a Republic that also has within it the defence of autonomy and the strengthening of powers, and also - I mean with great force - an autonomous push in a state guarantee balance. This is the real reform. Today, on the other hand, we are having to discuss - let me say this - our Constitutional Charter, and we are having to talk about it, and we are having to talk about it, we are having to talk about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are talking about it, we are going to talk about it, we are going to talk about it, we are going to talk about it, we are going to talk about it, let We - I mean - were initially illusory when, at first reading in the Senate, we had taken the floor and given an opening of credit, believing that such a reform could still be improved. We were deluded, that is, that the reduction in the number of Members of Parliament, who we had strongly supported and voted for, giving - I mean - also a sudden opening of credit to all the political forces that we thought were genuinely innovative, could give rise to and start a dialogue in order to achieve an organic reform of our constitutional system. This was not the case and the work carried out in the Commission, at least because of what we have been able to see and that the members of Forza Italia who were present, are there to demonstrate the tension and conflict experienced at those moments, especially when asked to enlarge, to make a different reform that was not limited exclusively to the amendment of Articles 56, 57 and 59 of the Constitution. However, I would like to stress that Forza Italia has been, not since today but always, in favour of reducing the number of Members of Parliament. But an account is to indicate a number that can guarantee the actual and effective functioning of the work, in particular those carried out in the Commission; another account is to give an excessive cut which does not take account of this and which at this point we consider to be the fruit exclusively of the demagogy that infected the democratic system. We ask ourselves, in essence, how can a number - I think of the Senate - of 200 senators support a difficult workload that must be absolutely acquitted, especially in the Commissions. Today this is also possible for the majority forces, but will it be possible tomorrow? I don't think so, and that's the reason why we're going through so much trouble. The constitutional system, however perfect, represents a unique body. It is difficult to think of reforms that can have the ambition to be such, in short, their dignity, if they are torn apart and bitten. The constituent Fathers, however, had a very precise, balanced idea of state; in particular, the problem of achieving an effective balance between the powers of the State: executive, legislative and judicial. The number of 630 Members and 315 senators, although perfectable as we said, had a sense and a proportion, especially from the point of view of representation. Moreover - and I make the ventriloquist of monsieur de La Palice - in 1948 the number of Italians was infinitely smaller than the about 60 million Italians there today, so we have a vulnus evident also in terms of representation. I was talking about balance and balance between powers: that well-known tripartition that Montesquieu brought within the institutions, which then came to fertilize all the European Constitutions. The impression, indeed the perception and - I might say - the idea that I have made myself is that we are in the presence of an unprecedented attack on democratic institutions, in particular on Parliament. First, the elimination of parliamentary immunity and now such a drastic reduction of parliamentarians and elected representatives that it puts legislative power in an imbalance with the executive, and even more so with respect to the judiciary. A further attack on the parliamentary institution, therefore, which risks paralysing the work, reducing its quality and bringing our institution into a condition of unacceptable subordination to the executive and judicial powers. I mean, a useless Parliament. All this to support, I fear, an attitude of anti-politics through this measure which, to all intents and purposes - it has already been said by someone but let me repeat it - is simply a commercial measure in our view. At the time of the university, when in class we listened intrigued and attentive to the lessons of constitutional law, those like me, perhaps more critical - as I said at the beginning - of the Constitutional Charter itself, when they started discussions had an idea of an alternative state. We were talking about the presidential Republic, about a more authoritative, decision-making state, but within a genuinely federal framework. That was the dream, of a probably then minority part, of a generation, of my generation, but they are truths that have come to the point that the idea of a presidential Republic is still accepted and wanted by most Italians today. That is why looking at this reform, at this miserable attempt to change something seems to me very little time not only for the Senate Chamber, but also for that of the House, to which it will pass, because we have the perception that a reform or it is done organically or reform is not. Mr President, I have never personally participated in any roundabouts, or in demonstrations with the people of Europe to defend this Constitutional Charter, because I do not consider it a totem, but I am saddened by being here to discuss this reform. This is the way I want to convey it: it saddens me to think that a constitutional reform can start and come simply from the modification of three articles of the Constitutional Charter. Those who wanted to open Parliament up like a can of tuna have taken another step forward in these hours. The absence of an overall organic reform which would have been appropriate - certainly even if I had a balanced reduction in the number of Members - gives me great concern, unfortunately based on what the real aims of this majority are. We had given an opening of credit, we feel betrayed, but not just us: the true betrayal is that of democracy. We were hoping for a change of heart that wasn't there. At this point we fear that the damage can be irreversible, simply because it is a reform that does not bring real savings, not even from the economic point of view. Today's, in the next few hours, is a dark page of our Republic. [[Applause from the FI-BP Group]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u33	He's enlisted to speak Senator Caliendo. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u34	Mr President, I am uncomfortable because in these years of belonging to the Senate I have had some battles in defense of the Constitution: with President Roberto Calderoli, with Senator Bottici, with those with whom, then, in the squares, we defended the Constitution with respect to an improper amendment. I tried to figure out what the reason for this change was. Maybe we've been wrong the times we've seen and we'll see what the ratio is. Someone tells me that there is a better chance of working better and having a faster legislative process. You are all witnesses, with me, that in this legislature there is never debate in the Commissions, there is only one order of stables, there is a way of working that has no relevance to the formation of laws. [[Applause from the FI-BP Group]] Someone else says there's a cost cut. Shame! No constituent has ever thought that constitutional guarantees or procedural guarantees for the defence of rights could be conditioned by costs. Never! [[Applause from the FI-BP Group]] It is only intellectual misery, the lack of competence that can lead to such a heresy. This morning I really felt a heresy, Minister, I hoped that you would intervene. I hear that there is a sense of representative democracy and that democracy must return to the hands of citizens, in particular with direct democracy integrated with technological systems (i.e. integrated with the Rousseau platform). To vote on these rules? Excuse me, but it's really something ridiculous. [[Applause from the FI-BP Group]] I will never agree, because I want to defend the weakest in this country. I can never agree with anyone who leans for a democracy of the few. In fact, direct democracy with control systems is a false idea. This would mean - no more, no less - that oppressive democracy that was carried out in countries such as China or Russia of the past. You want to bring that system. There's nothing new under the sun. As Mao said, there is great confusion under the sky. And that was the logic of legitimizing a democracy, with orders of stables on how to behave. And you, with nonchalance, want to introduce something like this into our country. Minister, there is a need for a debate and a hearing on the part of the Ministers as well. Why is listening necessary? What happens? Every day, when I come to the Senate, on some issues I go to re-read the collection of minutes of the meetings of the constituent assembly. Why? They are educational and I advise you to read them. What is the ratio of the forecast of 315 senators? The Fathers of the Homeland discussed for a long time the need for a balance between the number of citizens and the representativeness within the Houses, because if there is not that balance... FARAONE (PD). We have a new minister! PRESIDENT. - The debate is closed. Please. Please, Senator Caliendo, don't stop. CALIENDO (FI-BP). I was saying that there is that balance that, altered, leads to a preponderance of the executive power over the legislative one. I applauded Mrs Nugnes, who - probably one who has read, like me - has grasped the need for a balance, which is necessary. I am a lover of true representative democracy and I must have the opportunity to speak freely in this House. I spoke when I was told that if Renzi's constitutional reform had failed, we would immediately have the early elections. I didn't give a damn, and with many of you, the 5 Star Movement and the League, we turned the streets to defend that Constitution. And should I be worried today, or should I feel guaranteed by Vice President Di Maio, who this morning, in the newspapers, tells us that if the reform is approved we will have a guarantee of the legislature? Do not believe it, because it is truly the promise of a sailor, of the one who, at the time of the local and political elections in our South, dear Senator Secretary, guaranteed great things. [[Applause from the FI-BP Group]] He guarantees us the legislature, but the two of us know that it is enough to have a small debate on strong issues, such as what was about to happen yesterday, to blow up the legislature. So don't fall into these pitfalls. Why do you promise these things? It's a shameful thing. This is not consistent with what we have to do. I must defend the Constitution, absolutely, even by going against it, if the case were to take place as in the past legislature. At that time, when my Group decided to vote in favour of one of the passages in constitutional reform, I withdrew an amendment that was contrary to that reform for a new composition of the Senate, saying, however, that if the text was not changed, I would vote against and campaign for election. And so I say today. It may be that I will no longer be in this House, it may be that we will no longer have the opportunity to confront each other, but in the squares and with the citizens there will always be the opportunity to confront each other and to say that you have a huge responsibility, that of establishing a system that is no longer balanced, that of creeping tyrannies that are identified in some countries. Would I be against the reduction of Members of Parliament? No, I am against a reduction in Members in this way. And I am surprised that Senator Calderoli, who is a Father in this matter, who has written with me a thousand texts on this subject and who is a defender of the Constitution, can say that today only the reform of the number of parliamentarians can be a fair solution. Senator Calderoli, this is not a fair solution, because you know better than I that we had said yes to the reform of the number of parliamentarians but, at that point, to avoid an excessive force of the executive towards the legislative we had thought either of the direct election of the President of the Republic or of a semi-presidency. That was the logic, otherwise, the implant doesn't stand. Why are you taking us, then, to such a solution? It probably bothers you, too, with a minimal form of opposition, in debates in the Commission or in this House, with the desire to govern according to a model of conformity of all to the wishes of the chief. [[Applause from the FI-BP Group]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u35	Senator De Falco is enlisted to speak. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u36	Mr President, I did not actually sign up to speak, but I take the opportunity to make a brief speech. I would just like to say that I agree with what has been said, in the sense that we are in a constitutional parliamentary republic, which is a very delicate mechanism, which acts through weights and counterweights. The mechanism works, and it will only work as long as Parliament and the Government remain at least a possibility of dialectic. In this way, by intervening only on one of the elements, it is clear that the balance of a mechanism that cannot remain democratic and representative is altered. In this way, as has been said, the protection of the Constitutional Charter, which has also been implemented by the Movimento 5 Stars and those who are currently opposed, and the defence of the Constitution with respect to the reform proposed by the Renzi Government and other previous projects, is still being frustrated. What's the point of the Movement today? I believe - indeed, I am sure - that in one's heart each of the 5 Star Movimento colleagues is fully aware that this reform is a serious act against democracy. I ask him, then, once again, as I did on the Diciotti case, to have for once the courage to be yourself and at least to stay home tomorrow. [[Applause from the Mixed Groups and FI-BP]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u37	She's registered to speak Senator Minuto. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u38	Mr President, after the very right speech by Senator Caliendo, I will have a great deal of difficulty in expressing my thoughts, even if I say very quickly that in the future the potentates will probably be re-elected and will find themselves here; instead, the real problem will be the new ones that will certainly not be there. I tried to analyze the bill at our examination from my point of view, that of a woman who has always worked and lived among people, who is now an expression of the territories in which she lives and represents them in the Senate; she now represents them, as a senator, listening to their problems and solicitations. And living among people I understand that reducing the number of parliamentarians is certainly a very, very popular thing today. I live it every day, I listen to people and therefore I know that it is very popular and, in short, finds a lot of consensus among ordinary people. The fight against the so-called caste has been going on for years now. First with the reduction of salaries, then the so-called vitality, now with the reduction of the number of Members. A war has been going on against the parliamentarians for years that has led to the growth of some political forces that have ridden this battle. After this reform, even in my region, Puglia, the number of senators and senators will decrease. Where there are barely three now, there will be two, because that's the proportion. This is the number you decide today to insert into the Constitution, 200 instead of 315; this is the number you have decided. In the House there will be a speculative reduction. In a few years, however, we will notice that the savings will not be those expected, because however the buildings and structures will all remain standing, even with less parliamentarians; indeed a new selection of staff has just started through new competitions. So what will be done when we realize that the reduction in the number of Members has not solved the problems of our economy? The real problems will have to be tackled, which are those of a state that has poor administrations, but that cost a great deal, that allocates badly its own spending, that does not have efficient organisational models, that does not facilitate those who invest and those who do business. And so those who do not have the job will not find it just because you have reduced the number of Members. People will continue to be unemployed. Those who fail to carry out their activities will no longer be billed because the number of Members has decreased. Those who do not have infrastructure, those who are not connected with the railway or with airports will not reach their destination better because the number of Members decreases. These are - alas - the real problems of the country that, even after this reduction, will all remain the same. And this reduction, which many of the people with whom I speak every day are judged to be just, is not even included in a harmonious redesign of the rules that are the basis of our laws, the Constitution and our coexistence. In the 14th legislature, the Berlusconi government promoted a reduction in the number of MPs, which later became a shared point of the centre-right program. But now there is a risk that this reform will only become an instrument for further impoverishment of Parliament's capacity to represent the pivot of democracy or to incite the contrast between citizens and institutions. Let's not yell at the people's belly for mere election ads. The mood of the people is like the whale when they want to eat: that whale is always hungry and is not satisfied in this way. The cut of parliamentarians, which seems fair today, does not guarantee the improvement of the ruling class, nor the effectiveness of the institutional machinery. The reduction in the number of Members of Parliament must be accompanied by reliable institutional reforms and parliamentary regulations. We must ask ourselves: what real benefit would the cut in the number of Members of Parliament lead to? Is it capable of improving the quality and efficiency of the debate in Parliament and of the process of passing laws? The savings that would result from a hypothetical cut in the number of Members would not be substantial and is therefore not efficient. This cost would not justify such a serious intervention on the democratic representation of our country. Moreover, reducing the number of parliamentarians without overcoming the bicameralism of equality will not improve the efficiency of the legislative process and the functioning of the Chambers. It should also be remembered, as other senators have said, that our parliamentarians also have the power to elect the President of the Republic and the constitutional judges. In short, there is a risk of decreasing the number of representatives and thus adversely affecting the parliamentary regulations and the work of the Commissions. Another consequence of the reform is the adjustment of the electoral colleges which are already fairly extensive, as provided for in the current electoral law, the Rosatellum. There is a risk of extending the distance between voters and candidates and therefore the elected ones. The small Provinces, entire territories and populations would risk being less and less represented in Parliament even more than they are today: as far as I am concerned, in addition to their complaints, I also carry out their requests in the Senate, as far as I can. By reducing the number of MEPs abroad, we will then find ourselves with an elected body representing a college of several continents. I think this is absurd. Let us make a careful reflection before committing lightness that would compromise democracy and our Constitution, generated by our constituent Fathers and now more than ever necessary. In times of crisis, talking about cuts and therefore reducing the costs of Members always has a certain appeal to voters, but here we must be whole and really look at the consequences of these decisions. I would like to make another point: the reduction of Members of Parliament would naturally have the effect of reducing to virtually zero the possibility for the new generations of access to a parliamentary seat with the automatic consequence of the creation of real political powers in the territories. It will not escape that this Parliament, as repeatedly rightly emphasized by authoritative members of the same majority of government, has distinguished itself for being perhaps the "newest" in the history of the country. Here we are for 60 percent new people: I say this as a woman and as a person of the territory (I have been conducting political battles on this point in my college for about thirty years) which would probably have been denied this possibility. Think. [[Applause from the FI-BP Group]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u39	He's enlisted to speak Senator Urso. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u40	Mr President, I considered it absolutely necessary to speak in this sitting, because the decision that the Senate of the Republic is preparing to take is crucial. The position in our Group and the Fratelli d'Italia party will be expressed in a complete manner shortly in a press conference by President Giorgia Meloni. It is not up to me to anticipate it, even if it is clear to everyone, because our behavior has always been clear, transparent and linear on all occasions. All the more so when we talk about the Constitution, our institutions and therefore our democracy, our position will be consistent with what we have previously expressed and with the position of the Italian political right, which has always been absolutely convinced of the need for the reform of the Italian institutions and - together with this - the reduction in the number of parliamentarians. It is true that unfortunately we start here with the left foot, with the wrong foot; in Italian history and culture starting from the left side means always starting from the wrong side. It is not by chance that we are talking about left hand or left destiny: whatever is emanation of the left seems negative with respect to the right hand, that is, the right hand, or the right foot, the right hand. However, we start and achieve a goal that we tried to achieve, together with others, in a reform accomplished, in 2005, as President La Russa and the many who were then protagonists of it, then rejected by the electoral body. That was a reform, or almost a reform, because in that text, in addition to reducing the number of Members, the functions of the two branches of Parliament were also changed. That's not even what you do here. The current bicameralism - it is a reflection that I want to submit to you - apparently perfect, when it began in the post-war era it was perfect in functions but different in legitimacy. In fact, then, the Senate was elected in uninomial colleges tending to be majoritarian and relied on the person, while the House was elected in proportional colleges, widely understood. Today there is no difference in legitimacy and electoral body, because Chamber and Senate are elected in the same way in proportional colleges and uninomial colleges. Today, then, there would be more need than yesterday to change the functions of the House and Senate, which you did not want to do in this reform. However, there is a reduction in the number of Members. The goal of increasing the number of MPs in this country to 400 was only successful in the 1920s, when the President of the Council was Benito Mussolini; he managed to reduce the number of MPs - not of the Kingdom Senate, of course, but of the Chamber of Deputies, which was the representative chamber - from 538 (because it had grown over time) to 400, exactly the number to which they will be reduced with this parliamentary reform. There is therefore a comparison, a historical comparison (only historical, obviously not political). Mr Verducci (PD). History is political, Senator. Mr Urso (FdI). Even then the number of Italian voters was far lower and those 400 represented a far smaller electoral body than the present. Mr Verducci (PD). What is it, Mussolini's reform? Mr Urso (FdI). And even then the terminology used in that debate, very present in Italy and not only, was precisely what the colleague of the 5 Stars reported in this House: a senescence of representative democracy. Exactly the same: senescence of representative democracy and the need to represent society. In fact, then a Chamber of Guilds was created that represented society. It is a purely historical comparison to tell you that this problem of representative democracy goes far back in time, but it must be addressed today more than ever. Colleagues, the problem must be tackled more fully today than ever - and we hope that this will be an incentive to do so as soon as possible - because representative democracy is born with national states. Then there is the talk of globalization and the creation of continental realities, of continental empires, to which you often refer, such as the Chinese Empire (the Undersecretary for Foreign Trade speaks of it as the best democracy in the world today), the Russian Empire, the same American Empire and perhaps also the neighbouring Empire that the Turkish Erdogan tries to achieve. These institutional forms, which are present because they derive from the effect of globalisation and from the emptying of national feeling and sovereignty, are reassembled in continental reality, as could the European Union itself, which tends to become or to be, in some ways, a neo-Soviet empire. These forms of representation should be discussed in a serious and in-depth way, all the more so in Italy where the State is recent but the Nation is ancient, in a European context in which, not by chance, national states are born with representative democracy. The European problem is precisely this: the crisis of the national state brings with it the crisis of representative democracy. We must ask ourselves whether this is not a vulnus that affects the rights of individuals, people and communities, as configured within the national states because, outside of them - and therefore of representative democracy - there is not even the legal culture of the rights of the person, the community and the freedoms in the different religious, civil and political manifestations. The reference, as I said, is always strictly within the national states and in fact, not by chance, we are talking about the rights of the Jewish-Christian civilization in Europe. It is absolutely necessary and we hope that this is a left foot that forces us to take the right step and to build a constitutional reform that affects above all the understanding of what is now national sovereignty and how it is implemented. Without national sovereignty, in fact, there is no democracy, as evidenced by the continental realities in which democracy is cancelled or considered outdated, and I am referring not only to the Asian ones, but also to the continental ones of Europe and the Mediterranean ones and even, in some respects, to the American ones, which, however, have very strong counterweights. In the context of this speech, the solution increasingly accredited is that of the presidential republic, when it is possible to combine the need for representative democracy to give a form to the government with the possibility that the government can affect in real times, even with a tweet, without having to witness what is happening unfortunately in Italy, where it is never decided and everything is postponed from day to day, always with a tweet. As Brothers of Italy we then think that this must be - as it was, even in a left-hand way - the necessary step to force Parliament to do everything else. Otherwise it would be really dangerous to reduce the number of parliamentarians who contract the power of minorities, without a complete constitutional reform that changes the current bicameralism - now really perfect because, unlike forty years ago, perfect and equal is the same source of legitimacy - and that certainly and all the more the problem of creating a presidential system, in which there is what is lacking today, namely the Premier. In this regard, it is particularly emblematic in the current Government, the result of the contract, the vulnus of the ability to govern in Italy, in which it decides more a Vice Premier - we do not know if vicar, but it is said that "vicar" counts little - that the Premier himself. We have reached the point of the fall of the Italian political and institutional crisis and you represent it. I would like to thank you for intervening in this House about a month ago at the end of the sitting, which, among other things, raised a reaction which appeared to me unconsulted, highlighting the vulnus of democracy and the prerogatives of Parliament that arose from the trial and gratuitousness of the Sub-secretaries and Ministers put in place by the 5 Star Movement. It was June 12th. Until then, all the newspapers were talking about the trial of the Undersecretaries and Ministers outside Parliament's classrooms in forms that violated parliamentary prerogatives. We made that speech; there was an unconsulted reaction in this House and the trial of the Undersecretaries disappeared from the next day. After a month, there has been no more news of it, which means that talking sometimes serves to make people understand. I hope that with this brief speech we will be able to understand the need that the country has, today more than ever, for a true and complete constitutional reform and a true and complete modern reflection on what national sovereignty is today. [[Applause from the FdI Group]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u41	He's enlisted to speak Senator Cangini. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u42	Mr President, anyone who has studied the parliamentary chronicles knows that in republican history there has been only one party among the most representative who has thought of introducing a reform similar to this, that is, a horizontal cut in the number of parliamentarians without this being linked to a more general reform and without it being justified by the functional needs of the institutions and the legislative power. That party was the Italian Communist Party and did so for reasons of political controversy. These were the times when Bettino Craxi, acting as an anti-communist, was agitating the abolition of the secret vote in the parliamentary classrooms. The secret vote was evidently an instrument available to oppositions to bring out contradictions within the majority of government. They were rather articulate and quite precarious majorities. To this the PCI responded by threatening the cut in the number of parliamentarians. Aldo Tortorella was in charge of this dialectic: the more Craxi insisted, the more Tortorella lowered the level of parliamentary representation, so much so that at some point Berlinguer summoned him and said: Dear Aldo, let's get this over with, otherwise we will be left alone in this great Chamber. It is not the best way to treat the Constitution, the institutions and to honor the state. It is clear that the only ratio of this reform is that whichever; it is the way to show off the scalpeo of the political class, to which you belong yourself. The argument that you use of cost reductions is miserable, let me say it: you cannot put the quality of democracy and the functionality of the institutions in terms of costs. Even if this were the plan, the reduction is not miserable, but miserable: overall the House and the Senate cost about 1.5 billion every year and the savings would be in the order of 50 million euros. There are more effective arguments to justify such a reform, which would have high costs in terms of the quality of the democratic process. We live in a time when we rightly complain a lot about the fact that the palace is far from the country, that the representatives are far from the representatives, that the parties are far from the territories. It is clear that such a reform would further remove the parliamentary political class from the territories of which they are expressed with paradoxical cases: all Molise would express a single senator, which would of course be a majority and, therefore, the oppositions in Molise would not be able to be represented in Parliament. How can this meet the need to bring politics closer to the citizens frankly, I ask myself, and I ask you to do so. A barrier threshold, not formalized but real, of 20% would in fact be introduced in many districts. We would lose the sense of political representation, and I think that would be sufficient reason not to vote on this law (in the first parliamentary passage I disagreed with my political group). What worries the most, however, is the context in which this purely qualunquist constitutional bill is inserted; the context of a government that daily crushes the prerogatives of Parliament by abusing the decree of urgency and the question of trust, giving the parliamentary committees and the Assembly of the Chamber and Senate very narrow times, often null, to assess the merit of the measures that the Government imposes on Parliament and even writing instead of the parliamentary groups the amendments to its own decrees-laws then collected in maximendamenti. It is not a good practice and even worse is the prospect that Minister Fraccaro, a very authoritative source, obviously ties in with this reform, that is, the proposed referendum. If the cut in the number of parliamentarians is a reform which is qualunquist, demagogic and ends in itself, which loosens the quality of political representation, with the other really (and I never dramatize, I am not among those who see democracy in danger at every turn) the source of legislative power from Parliament is shifted to some digital platforms. 500,000 clicks will be enough on any platform in favor of any bill to cancel the will of millions of voters: millions of voters against 500,000 clicks, votes against clicks. It is a service to lobbying evidently, a huge, gigantic service to lobbying that, with little effort and little expense, will campaign on Facebook getting whatever results they want. I understand that it is in the logic of the parties that support this Government, parties that believe - probably with good reason - that they owe much of their consent to the wise - or unscrupulous - use of new technologies and social media in a particular way; it is not a service to the quality of the debate, to the quality of democracy. Parliament makes sense because it is the place of confrontation, of mediation, it is the place of deepening. Times in the approval of laws also serve to give the legislator a way to know, to repent, to develop the effects of a law, which in his spirit may be the best possible but in his articulation very often (sometimes it happens despite everything) achieves effects contrary to those desired or produces damages not assessed by the legislator. That is why there are cycles of hearings in the Commissions; that is why there is a comparison in the Commission and in the House between majorities and oppositions, often even within the same majorities; for this reason there are weights and counterweights, which sometimes bother the majority and the government but they make sense and their absence would be even more damaging to the quality of our democracy. I am thinking of the Parliamentary Budget Office, the Budget Commission, the General Accounting Office of the State: all institutions that guarantee the quality of the legislative process, all mechanisms that would have no reason to be if the proposed referendum that is dear to this majority were approved. I am not surprised that political parties that have hypocritically exalted the myth of the Constitution (I remember the 5 Star Members who brandished the booklet the Constitution as if it were Mao's red booklet) today make it a mess; I am not surprised that some parties vote on the measure in question pretending to believe that it is the first step towards who knows what radiant future. I am not surprised because I know that hypocrisy is an element of politics, but when hypocrisy is applied to the Constitution, to the system of rules that govern and oversee political play, when hypocrisy comes to affect the lives of our institutions and threaten the sense of the state, I say that we cannot bend to this game. What is at stake is a bill that dishonors politics and weakens the state. Anyone who cares about politics, anyone who considers it a serious matter and not just some tweets or Facebook posts, anyone who has any sense of the state, this law cannot vote for it. [[Applause from the FI-BP Group. Congratulations.]]
