ParlaMint-NO_2010-04-21.ana.ud1911e26	The representative, Rigmor Andersen Eide, will present a proposal for a representative.
ParlaMint-NO_2010-04-21.ana.ud1911e402	I thank you for your answer. I also thank you for confirming that the Central Party is behind the policy that has led to the closure of six local hospitals and that further evaluation is under way. I've been told that the prime minister has driven the country from the United States. He's also tried to control the Center Party, I guess, from the United States. That's what he's done with an innovation called iPad. It is not entirely without envy that I have registered that the Prime Minister has it. I see that there is no ‘app’ that can be added, which allows you to control the Center Party, but it is probably not the big market share to get at it, either. But now that he has steered the nation and Norwegian health policy from the United States with an iPad, and he has five years of experience in governing the country and health policy together with the Center Party, I want to ask the question: What has given the Prime Minister the greatest challenges – governing the country and health policy, or governing the Center Party?
ParlaMint-NO_2010-04-21.ana.ud1911e411	I run the country well with the Center Party. It gives me challenges and experiences every day. I appreciate that. Politics has an incredibly fascinating trait: it's all about working with a contentious reality, where there are different positions, different experiences, and finding good solutions – whether it's different parties, different districts, different environments and different people. But just being able to make compromises and get solutions that balance different interests is one of the best and most important features of the policy. Those who do it have power and influence and can shape the Norway of the future. Those who don't do it, and who just ride the kelpher, have little influence, sit outside, and don't shape the Norway of the future. So I'm proud that I also use new technology to find good and balanced solutions. I'm going to keep doing that.
ParlaMint-NO_2010-04-21.ana.ud1911e416	There will be three follow-up questions – first Kari Kjönnaas Kjos.
ParlaMint-NO_2010-04-21.ana.ud1911e419	Navarre seats have been skin-stained over the past few weeks and not least the Centre Party’s own board members in healthcare companies for their management of the local hospitals. She does so despite the fact that closures come as a consequence of the Government's framework and mission documents adopted by the Centre Party, the Workers' Party and SV in this Chamber. In its alternative state budget, the Progress Party proposed an increase in the regional health business framework of DKK 3 billion. Would it have been easier for the Government if the Center Party had taken the consequences of its performance and voted for the Health Policy of the Advance Party in the future?
ParlaMint-NO_2010-04-21.ana.ud1911e426	The answer to that is no. After all, the Progress Party is proposing a comprehensive privatisation and commercialisation of Norwegian health. It's not good for the patients. This leads to increased social inequalities in the provision of health and, in particular, the release of market forces at the Norwegian health service will result in significantly greater geographical inequalities in health services. So it's like we're united behind the formulations of our government platform, the Soria Moria statement, where we say that local hospitals should not be closed down, but we stress that we need to look at the work division between hospitals. This process is ongoing and can be demanding and difficult, but important for the quality of hospitals. We're saying that we want to look at the kind of solution we've found in Eastfold, where you're going to have to lay down some hospitals to build a big, new and great area that covers the same area. If it's possible to do the equivalent elsewhere, we'll get back to it.
ParlaMint-NO_2010-04-21.ana.ud1911e434	Bent Höie – for follow-up questions.
ParlaMint-NO_2010-04-21.ana.ud1911e437	I fully agree with the Prime Minister that when assessing the content of hospitals and the worksharing between hospitals, quality and what is best for the patient – not what is best for the Centre Party. But if you start with what's best for the patient, it'll also be a good idea for the patient to know what's best. Today, the government is holding back information about the quality of our hospitals. For example, in the Health West, 34 gastric cancer operations were carried out in five hospitals in 2007. One of the hospitals performed one gastric cancer operation – we know that the critical limit is at 13, so it's 13 times less than the critical limit by performing these types of operations. Patients are not told which hospitals perform only one gastric cancer operation or only one liver cancer operation. Will the Workers' Party and the Government support the Right's proposal that the patient be informed of these quality figures, so that they can make conscious choices and themselves know what is best for them?
ParlaMint-NO_2010-04-21.ana.ud1911e446	I do not know the details of what the Right Concrete has proposed – I like to get into it – but at least I agree with what is the intention of the representative Höie now says, namely that we need more, better and more accessible information about the quality of hospitals. So the first thing we need is that we actually make a statement, that we get good numbers. We've had too little of that. When the Government has now started work on new health registers in a good number of areas, one of the aims is to get good numbers. That's actually how little we know about the quality of the Norwegian health care system, and we need systematic figures about it. I am concerned that it can be used, so that patients can also access this information. I am concerned that we should have free hospital choice. I am concerned that we should also take the consequences, because it is clear that in some places there are too few operations carried out, and thus the quality and the environment are too poor. So it's not about the closure of local hospitals, but it's about work sharing and specialization so that the quality gets good, and we get good information.
ParlaMint-NO_2010-04-21.ana.ud1911e453	Dagfinn Højbråten – for follow-up questions.
ParlaMint-NO_2010-04-21.ana.ud1911e456	We have now received a study on how to talk about the facts. If you define a hospital like Health South-East does, which is a collection of buildings in which specialist health services are provided, you can empty these buildings for the most part and still call it a hospital. Then you can make it look like the Prime Minister now makes it look like the government has not closed down a local hospital and is not going to shut down a local hospital. But the truth is something completely different. I don't think we're getting any closer to this questioning than the author Karsten Alnæs in a very readable article in the Evening Post has called 'Stoltenberg's mischief speech'. I think that the government should take responsibility for the local hospitals that have closed down during the period of government, and take responsibility for the fact that local and regional health companies are actually working on plans to empty local hospitals for emergency and food functions to such an extent that they can hardly be called hospitals.
ParlaMint-NO_2010-04-21.ana.ud1911e463	I maintain that what we, for example, are doing. do in Østfold, where we have plans to build a new hospital, not in Fredrikstad, but in the neighbouring municipality of Sarpsborg, and some may claim that it is to shut down a local hospital, is right to do so in order to provide a better offer to the population of Sarpsborg, Fredrikstad and in other parts of Eastfold. So you could say that it's shutting down a local hospital. I disagree. I believe that even if we put it in another municipality, it will be a better offer for the people of Fredrikstad. Secondly, the Stortinget has asked us – and I fully agree with the Stortinget – to review the food supply in order to ensure quality. Because there is a problem in some places that there are too few births so that the quality of the offer is too poor. It's not about shutting down local hospitals, it's not primarily about saving money, but it's about ensuring good quality in the food supply. If it's serious, whether it's heart problems or a difficult birth, it's not always the case that you're going to the nearest hospital, you're going to the best hospital. That's what we're dedicated to ensuring across the country.
ParlaMint-NO_2010-04-21.ana.ud1911e473	Let's move on to the next and last main question.
ParlaMint-NO_2010-04-21.ana.ud1911e476	As we have just heard, many debates are currently raging. Most take place in and between government parties, and in particular the Center Party acts like an unpredictable ash cloud – one day here, the other day there. The new offensive from the Central Party after over four years in the government office is to attack the Oslo power. Yesterday, Liv Signe Navarsette wrote in the U.G.: 'More than four years around the King's table, I've given myself insight into some of these stalls. Looking at the tip, many of those who have power and influence in Oslo don't understand and know geography and industrial structure in Norway. Neither do they understand the strength and strength of the land. The government has outlined in Soria Moria II what it wants to do. For example: the establishment of new state establishments shall be considered to be located outside Oslo and, for example, to be located outside Oslo. shall carry out an external review in order to promote concrete proposals for measures to ensure the spread of skills and new state jobs across the country. To me, it seems a little unclear whether the Council of Ministers of Navarsete's counter-power is in the hands of the Center Party or the Government. On the Ministry of Local Affairs website, the tour was duly presented, while Navarsete said yesterday in Political Quarter that this was an action directed by the Center Party. In any case, the tour business obviously takes time, for the municipal minister has only presented the Stortinget for two minor issues since the new government came into place in October. So the will to beat the Oslo power has so far given itself few concrete results. But who's the Navarset attacking? Yes, it is really its own government, a government led by Jens Stoltenberg. In their own words, Navarsete therefore believes that they have gained insight into some of the attitudes that prevail — that those who have power and influence do not understand and know the geography and industrial structure of Norway. It's a crushing sentence on the government's policy. When Navarsette feels so dismayed at arrogant Oslo people, it is nearby to ask: does the Prime Minister feel himself taken by the Navarsete campaign?
ParlaMint-NO_2010-04-21.ana.ud1911e495	I believe it is important that we have a debate on power and the distribution of power. Power is not evenly distributed across countries and between different groups. There are major social differences associated with who has power, and who exercises power. There are large differences related to, for example: education, but there are also differences related to geography. I think it's good and important that there's attention to all of this. But as the councillor Navarsete himself has stressed, it can be far to power, whether in the Grorud valley or in the Gudbrand valley. The crucial thing is that for many people there is a long distance from power, and attention and discussion around it is important. This is not about weakening Oslo as a place where you live and work – this government has provided a capital message, which just underlines the important function of the capital – but it is about developing environments and competences outside Oslo as well. The government is behind the desire to develop skills jobs across the country. It will be good for the districts, and I also believe that it will be good for Oslo and the whole country. So it's 'By and land, hand in hand', which is a good old slogan from the 1930s when we made the peasant deal, which is now continuing in this government. And we want more of that, in dialogue with the whole country.
ParlaMint-NO_2010-04-21.ana.ud1911e502	It is good that it is ‘city and land, hand in hand’ and not ‘city and land, man against man’. One of the areas where at least the Right – and I think the Center Party – is very busy spreading power, is: giving municipalities, giving landowners greater power over their own land, their own property. It's true that not all power is in Oslo. The Directorate for Nature Management is in Trondheim, and the Director has, according to Trønder-Avisa, stated on 28 November 2008 that local government is not functioning, that municipalities are governed by the rules to the extent that it is contrary to national policies, and that many municipalities have had an agenda to circumvent Norwegian laws and regulations. Does the Prime Minister agree with the Director of the Directorate for Nature Management in this description of our many thousands of people elected in the municipalities?
ParlaMint-NO_2010-04-21.ana.ud1911e509	I don't think I'm going to start commenting on what individual directors say, when I don't know the context and what they're actually aiming for. What I'm concerned about is that we're going to have local government, that the municipalities are going to have power. At the same time, like all other parties here on Stortinget, I believe that we need to have national guidelines, national frameworks for it, and we have Directorates that manage and ensure that they are followed up. Among the things that are important in a discussion of power, important in a discussion of counterpower, are just to see whether directorates have too much power, and whether we have good enough control with the directorates. So it just emphasizes the importance of having an ongoing debate on power, the exercise of power and the distribution of power.
ParlaMint-NO_2010-04-21.ana.ud1911e515	Two additional questions will be raised – first Anders B. Werp.
ParlaMint-NO_2010-04-21.ana.ud1911e518	The Prime Minister stresses the importance of local autonomy. Then it is important that the municipalities have a view, or at least a clear overview, of the local value creation so that it can be returned to the community, and that the municipalities have the right to have their own land. But this government has removed the municipal corporation tax. And in addition, they have introduced a new planning and building law that transfers the right to dispose of the areas up in the administration. In what ways is local self-government strengthened when the government thus deprives municipalities of both wealth creation and land?
ParlaMint-NO_2010-04-21.ana.ud1911e523	Firstly, the main contribution to local self-government in recent years has been a substantial increase in the financial framework for municipalities, so that they can actually make choices and do what they want, namely to invest, to restore well-being. It has contributed to increased local freedom of action in relation to the time when the tight financial framework forced the municipalities to cut down and there was too little money in the municipal sector. The other important thing about local self-government is that we actually have municipalities that have power and authority. What we've wanted to do is give them greater freedom within an enlarged framework. One of the most important things we're doing now, the biggest conversion from eartaged to free resources, is incorporating the nursery allowance. I think that's 25-26 billion kroner, at least a very large amount, the biggest thing that's ever included, and that makes the municipalities really get more power. So it's in many different areas that we're going to help the municipalities gain power, but we're going to keep national governance with the most important frameworks.
ParlaMint-NO_2010-04-21.ana.ud1911e530	I did not fully understand the Prime Minister's reply in the first round on whether the Central Party's travel campaign when it came to the Oslo power was anchored in the Government, or whether it was the Central Party's own arrangement and tour. So I would like the Prime Minister to be more specific. And I would also like to challenge the Prime Minister whether this – if it is so that it is anchored in the Government – is almost a recognition that this government has been depriving the districts of power for four years. One thing is to transfer money to the municipalities, but now you use planning and building laws and land management and tighten in all these areas of conservation, protection, etc. and strengthen the county council in relation to the primary municipality – the county is given more stringent instructions to tighten up the autonomy of the municipalities. Is there a result of this when the Central Party is now going out and speaking with two tongues in relation to the government's failed district policy?
ParlaMint-NO_2010-04-21.ana.ud1911e535	It is the municipal minister who has had these meetings, they are organized under the direction of the Ministry of Local Affairs. All that the Minister of State does, she does, of course, on behalf of the Government. It's for all government councils, it's perfectly obvious. Then, of course, it may be that the Center Party and each party can have their own opinions – but when the Government draws conclusions, when the Government thinks something, there is a unified government that draws those conclusions and makes the various proposals. So this government has transferred power. For example, the reform we carried out in the previous period was when we transferred a good deal of power from state to county authority – for example. in the case of other national roads — a significant transfer, both of money, of funds and of responsibility for an important part of the transport sector. Innovation policy, industrial development policy, the municipalities, elected bodies, have gained far greater influence over than in the past. I also mentioned a few other examples, for example. the nursery sector is now integrated into the free resources. But we are living in an eternal dilemma between the desire for national governance of the main lines of politics and local government, and that dilemma we will never finally solve.
ParlaMint-NO_2010-04-21.ana.ud1911e542	The oral question procedure is now changing, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2010-04-21.ana.ud1911e548	There will be a number of changes in the list of questions drawn up, and the President will refer in this context to the overview distributed at the premises of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Questions 1 and 3 and questions 2 and 4 from the representatives of Svein Harberg and Elisabeth Aspaker, respectively, to the Minister of Knowledge, are moved and answered in response to question 18, i.e. at the request of the Council of State. at the end of the Questionnaire. Question 5, from the representative Torbjørn Røe Isaksen to the Minister for Foreign Affairs, has been transferred to the Minister for Justice who is directing him. At the request of the Minister of Justice, the question is moved and answered before question 12, to be answered by the same Council of State. Question 8, from the representative Arne Sortevik to the Minister for Transport, lapses because the questioner is not present.
ParlaMint-NO_2010-04-21.ana.ud1911e561	We're going to go right to question 6.
ParlaMint-NO_2010-04-21.ana.ud1911e567	I would like to ask the Minister of Finance the following questions: ‘The financial supervision came in March with guidelines for the financing of housing purchases. Loans shall not exceed 90 pst. the value of the dwelling. 70 pst. of which less than 35 years are borrowing more than 80 pst. of the housing value, 25 pst. more than 100 pst. The requirements may result in the exclusion of many young people from the establishment of owner-occupied dwellings. The BSU is highly sensitive to youth and housing. The Minister of Finance likes ‘money on book’, he will improve the BSU so that the scheme allows young people to save enough ‘money on book’ to meet the equity requirement?’
ParlaMint-NO_2010-04-21.ana.ud1911e576	The Government wants to facilitate the purchase of owner-occupied dwellings by young people, and the Government’s policy for stable economic development, which ensures high employment and avoids undue interest, will have positive effects on young people’s ability to settle with owner-occupied housing. In addition, the government relies on various loan and grant schemes, through the Husbank and the municipalities. Following a proposal from the Government, the BSU scheme was extended in 2009. The maximum annual savings amount was extended from NOK 15 000 to NOK 20 000, while the maximum total savings amount was increased from NOK 100000 to NOK 150000. The tax deduction rate is 20 pst. If the BSU is to be extended further, it is a budgetary question to which we must return in the context of the usual budgetary process.
ParlaMint-NO_2010-04-21.ana.ud1911e586	I thank you for the answer, although it did not contain so many signals. I believe the Council of State and I very much agree that it makes sense with an equity requirement when buying a dwelling, it will stabilise the housing market and create a much healthier market. After the improvements made by the Council of State, the Right has proposed further improvements by proposing that the ceiling be raised in the previous State budget. It was in March that the Financial Supervisory Authority came up with these guidelines. It is then important to get out some signals to young people about how to make it possible for most people to save a large enough amount for a reasonable first-time dwelling. There we have – as the Minister of Finance was also involved – annual savings, the maximum amount and, if necessary, the age that you can go in and look at. I am perfectly aware that these are budgetary issues, but I had hoped for signals that you would come up with these kinds of questions.
ParlaMint-NO_2010-04-21.ana.ud1911e595	We had an extensive discussion two days ago about saving, in an interpellation by the representative Sanner. I share the views of the representative, Gundersen; that it is important that young people should be able to save for owner-occupied housing, and that it is important to have equity at the bottom when buying housing. To borrow 100 pst. too many may be a risk sport – to use that expression. But as I said, giving concrete signals about what you're thinking about the system, we're going to have to wait until the beginning of October.
ParlaMint-NO_2010-04-21.ana.ud1911e600	Now it's going to be revised before that, so there's possibilities to give some signals there. But the debate we had in the Storting two days ago was quite revealing, for it showed a considerable contrast in the Government: the Labour Party representative was skeptical to the BSU, while the Central Party representative was very positive. I hope that the Minister of Finance puts a little weight behind the term ‘money on book’ and makes the entire Government understand that not shutting young people out of the housing market is quite important. Investing in housing is the most important way for the Nordics to save – and in particular important for the establishment of the wealth we all have. Thus, it is now extremely important to focus on the ability of the first-time start-ups to save the necessary equity.
ParlaMint-NO_2010-04-21.ana.ud1911e605	Yes, having a ‘money on book’ makes sense – whether you have a BSU or not. It is probably a broad perception in the Government that the BSU scheme is a good one, and it is far from the fact that one year ago, i.e. from 2009, proposed to improve the scheme as it is today. Then the future will show if there will be further improvements.
ParlaMint-NO_2010-04-21.ana.ud1911e613	Then I will have another question addressed to the Minister of Finance: ‘The source tax is a very hot theme of many of those affected. The complaint storm has been strong and persistent. Many foreign pensioners have faced a very difficult life situation due to double taxation and difficulties in obtaining evidence. For many, there are health reasons for the move and not tax evasion. Nevertheless, a few impressions may be that they are treated as tax refugees. What is the reason why the Council of State does not do anything when it has clearly prepared the withholding tax too poorly?’
ParlaMint-NO_2010-04-21.ana.ud1911e622	I probably don't share the whole assumption for the question. There have been regular enquiries about the introduction of withholding taxes, but they have partly linked to different things: information needs, disagreements in the case itself, and problems some have had in obtaining evidence to achieve withholdings or exemptions. I would like to stress that the pensioners in question are not treated as tax refugees. The rationale for introducing withholding taxes was three-thirds. One was to secure the tax foundation against unreasonably eroding. The second was to ensure equal treatment for residents and non-resident pensioners in Norway. The third was to ensure the link between the financing of pensions and the taxation of pensions. Once a rule has been adopted, that means that, of course, the individual must document his fiscal position. Source taxes apply only to those who have emigrated from Norway under the Tax Act. Those who have lived abroad but who are still tax resident in Norway under the tax law are taxed here under any tax restriction rules that we have today. Complaints that we have received about that system have nothing to do with the introduction of the withholding tax. Then it is that the rules on withholding taxes on pensions have been thoroughly prepared, investigated and consulted, and have been regularly mentioned in the media. The case has been mentioned since 2004, and the proposal was at a wide consultation in the context of a 2007 consultation note. A large number of organisations participating in the consultation were actually positive in introducing withholding taxes. So it's been a long preparation before the decision itself was made in Stortinget. For information purposes, in addition to this media review, comprehensive individual and general information from the Tax Directorate and the Ministry of Finance has been provided on the websites of the person concerned, in letters to the beneficiaries and in response to enquiries. My opinion is that you have done quite a lot of work in relation to both informing about and contributing to a good and smooth introduction of the withholding tax. With regard to the tax liability's capacity to deal with the individual case, I have now taken steps to streamline the treatment, and one has collected it at one tax office, in the North Tax Office. The concrete progress made by taxpayers at the turn of the year 2009–2010 has meant that the procedure has taken a little longer, but I trust that this problem will now go over, that it is a temporary problem. It must be taken into account that a person considered residing in another country is in contact with the tax authorities of that country so that he can obtain the relevant documentation. At this point, many contacts have been made by the Ministry. As a result, among others: in relation to Spain, the Ministry took the initiative to meet with the Spanish tax authorities. It appeared that in most cases the necessary evidence was easy to obtain for those who have acted as tax residents, for example. in Spain. Failure to provide evidence to those who have not fulfilled their tax obligations to Spain is precisely the purpose of such a requirement. That there is a dissatisfaction with the introduction of a new tax is enough something we have to live with. Some people think that the tax is unfair, while others, of course, believe that the tax is fair and fair. Otherwise, as I said earlier in my answer, I believe that the introduction of the source tax itself is well prepared, and there is good information on the matter.
ParlaMint-NO_2010-04-21.ana.ud1911e643	I thank you for your answer. It's not surprising about the description, it wasn't during the treatment either. Then a general opposition said that the matter was to be sent back because of poor preparation, and the organisations that can do something about it were also clear about it. In the Tax Directorate's own internal journal, it says that the correspondence of one of the case handlers broke down quite quickly after the matter came, and they said that they had expected more clarification before it broke loose. So I think you have to be quite humble. Everyone can do a bad job, but it'll be a little bad when you can't admit it. This actually goes beyond a good deal of weak people who have moved abroad for health reasons, certainly not for tax purposes. In part, they save Norway for quite considerable expenditure. The fact that most people give up gradually doesn't justify the fact that you don't look at the special results that the introduction here has given.
ParlaMint-NO_2010-04-21.ana.ud1911e652	I think one has to separate two things in this case. One is, of course, the general dissatisfaction that many will have that there is actually such a tax in place, it will always be. Then it may well be that you have not had a healthy enough procedure. It is in my answer, too, that someone now has concentrated the treatment of such matters to one tax office, and that it may have been spent for a period of time on too few resources. But all in all, I believe that this is a matter that has been well informed about. And the fact that people have contacted the tax authority in Spain, in particular, shows that they are concerned about the smooth introduction of this tax. One should always be open to do things better, and it may well be that there are things we can learn from this matter in relation to information and other things. But that the withholding tax has come to be, I think is a fact that lies there, unless another majority of the Storting should think of abolishing it.
ParlaMint-NO_2010-04-21.ana.ud1911e659	It is not a theme either; no one has discussed it. The point is to get a proper treatment of those affected by this, and that there are good opportunities for documentation. The councils themselves were involved in the current documentation. I have one example, from one who has moved to an entirely different country than the most famous, but a country with which we have a tax agreement. He will not pay taxes under the tax agreement with the country in which he lives, nor will he receive the documentation he should have. The reaction from the tax office is that he has to get a certificate that he does not get a certificate. It is not easy to speak in a language that you cannot, and where the case handler probably does not know English either. So once again, this case is too poorly prepared, it's been introduced very quickly. Many have significant problems, and for some it is so bad that you don't have the necessary money to live off. That should be taken seriously by the Council of State.
ParlaMint-NO_2010-04-21.ana.ud1911e668	It is not possible for me to comment on the individual case raised by the representative Gundersen, but it is clear that if there are many cases of this type, he should contact the Norwegian tax authorities. I then assume that he will receive the help needed to obtain that kind of documentation. Because it is an important part of the source tax itself that if you have evidence that you are not supposed to pay taxes, then the tax liability goes away. One should take this up with the Tax Directorate, so that they are obscene if there are such cases, and so that one can get the help that one is entitled to, and people may feel that they are being treated well by Norwegian tax authorities.
ParlaMint-NO_2010-04-21.ana.ud1911e684	This question lapses, as the questioner is not present.
ParlaMint-NO_2010-04-21.ana.ud1911e690	I would like to ask the Minister of Health the following questions: ‘I refer to the answer to written question No. 846 on 19 March 2010 concerning the non-predictability of private rehabilitation institutions such as Godthaab. In the answer, the Council of State writes: ‘It is important that private healthcare providers experience the greatest possible predictability and long-termity of the relationship with the regional health business.’ Nevertheless, the Council of State is still silent and looks at months in the new year without a new agreement. What will the Council of State do to avoid similar situations affecting patients and employees?’
ParlaMint-NO_2010-04-21.ana.ud1911e699	As referred to in the answer to question No. 846 in writing, Godthaab Health and Rehabilitation had two agreements with Health South-East – one ordinary agreement within the field of rehabilitation and one agreement within the scheme Faster back. Similarly, there are many private training and rehabilitation institutions. When the representative Jan Tore Sanner refers to ‘the month ends in the new year without a new agreement’, the agreement under the Raskere arrangement applies. The ordinary agreement, which is the largest, has not been negotiated at this time. The agreement with Godthaab Health and Rehabilitation in the Rackere scheme was concluded in 2007. An additional agreement was concluded in 2008, which also applies to 2009. Health South-East has stated that the current agreements did not give rise to any further extension. The funds under this scheme are granted back more rapidly every year. The allocation of appropriations between the Ministry of Labour and the Ministry of Health and Welfare is assessed in cooperation with the social partners. The allocation of funds to individual regional health enterprises for 2010 was provided in the mission paper in 2010. Health South-East has informed that the acquisition process is being carried out as quickly as possible. The current institutions, including Godthaab Health and Rehabilitation, have been offered. New agreements will be concluded for 2010, with an extension of up to two years. As Minister of Health and Welfare, I cannot intervene in the contractual process between regional health companies and institutions, but I believe it is important that regional health companies contribute as much predictability as possible to these institutions. The issue raised relates to the scheme Faster Back and additional agreements under this scheme that do not give rise to any further extension. I want to follow closely the development of the system Faster back.
ParlaMint-NO_2010-04-21.ana.ud1911e710	I am a little surprised at the answer, because the Minister of Health and Health in the letter of reply to me stressed that she was concerned with predictability and long-termity for the private institutions. These institutions experience anything but predictability. They experience short periods of time as regards review procedures. They experience an offer of things they have not applied for, and no response to what they have applied for, while at the same time there is a great difference in the relationship between regional health companies and private institutions in the case of Racists. It is true that Health South-East has chosen a tender. Health West has projected the 2009 agreement. Health Mid-Norway has submitted a tender, and Health Nord has prolonged the contract. This whole system is mature for review, and I would ask the Minister of Health to consider the proposal that has been put forward in the past, namely that it is HELFO who is responsible for ordering such agreements with private individuals.
ParlaMint-NO_2010-04-21.ana.ud1911e719	I can understand very well that it can be felt very unpredictable with the system accelerating back. There has been a system that has been in place from year to year and which has been based on new tenders, because there has been a time-limited agreement. However, the general agreement between the health business and the rehabilitation institution is predictable because it goes over several years; an agreement will be concluded for several years. We're going to go through the system faster back, and there's going to be an evaluation here in the course of the May month. And then we'll see if there's such a difference between the different health companies. We are committed to rehabilitation and to predictability for the institutions that offer it.
ParlaMint-NO_2010-04-21.ana.ud1911e726	In this answer, I think I'm experiencing a slightly greater response. Now there is also a general dissatisfaction among many of the private institutions – one has experienced a tightening under the sitting government. I record that the Council of State says that she can understand that the faster return management is perceived as unpredictable. Then I assume that there is a new and more predictable regime in place before we go into a new year. Because that's how we deal with and adopt the budget for the autumn. In that case, it should not be two or three months before the institutions are made aware of this. When the institutions still experience only a few days' notice of appeal, it is anything but predictable. But let me repeat the question that concerns HELFO. In the past, during the Right Government period, we had a good system, which was perceived as both predictable and good by the institutions, namely that HELFO orders, and that the institutions carry out. Will this be assessed by the Council of State?
ParlaMint-NO_2010-04-21.ana.ud1911e735	It is not planned to change the fact that regional health establishments are responsible for the agreements with each institution. That's how it has been, and that's how it will be. We have to separate the two arrangements. These are the main framework agreement for rehabilitation institutions, training institutions, and for treatment there, which goes back over several years, and Faster, which is an agreement between the Ministry of Health and Welfare and the Ministry of Labour, and which is also negotiated by the social partners in a way other than the general agreement, which applies over several years. I might experience that it's a mix of the two.
ParlaMint-NO_2010-04-21.ana.ud1911e745	‘14. In April, the Health Directorate presented the report ‘A safe supply of food — Proposals for quality requirements for food institutions’. At the same time, there is a process in several regional health enterprises to make changes in food supply. The media have found that some of the changes are not acceptable to the Government and that these signals have to affect health business decisions. Who does the Council of State consider to be responsible for the professional soundness of the offer and for liability in the event of damage?’
ParlaMint-NO_2010-04-21.ana.ud1911e752	For the treatment of St.meld. No 12 for 2008-2009 A joyous event concluded with the Government's proposal that regional health businesses prepare comprehensive and multi-annual regional plans for the supply of food, in cooperation with the relevant municipalities. The plans shall form the basis for the future birth offer. I have suspended the deadline for the regional health companies until 1 October to ensure local anchoring and that the plans are consistent with the government's policy. Local processes must have broad participation from users, employees’ representatives and local policy authorities together with the municipalities concerned. The size has been made aware several times that no changes in the food structure will be made until these plans are in place. A working group has drawn up proposals for quality requirements for food establishments, and the Health Directorate sent the report to the hearing last week, with a deadline for consultation only in June. The professional content and consultation input will form the basis for drawing up national guidelines on the area of birth. The report proposes the closure of three reinforced feeding rooms. These are maternity wards run by midwives with surgeons or gynecologist in readiness for emergency Caesarean cuts. I have not taken a decision on these proposals. It is for the regional health establishments concerned to assess these proposals when drawing up the regional plans. The individual health undertaking, which consists of one or more hospitals, has a statutory responsibility for the carrying out of the activity and for providing good and equivalent specialist health services. Health enterprises are themselves legal entities and are both professionally and financially responsible for their own activities. Health establishments are responsible for organising activities in such a way as to ensure that the health services provided are sound. Norwegian patient compensation is liable for patient injury. If the damage is not caused by a systemic defect but health professionals have not carried out their work in accordance with the requirements of the Health Care Professional Act, individual health professionals may also be liable. Regional health establishments have overall responsibility for planning and facilitating specialist health services. It is therefore important that the plans now being developed by regional health businesses focus on geography, communication opportunities, structure of local midwife services and accompanying services.
ParlaMint-NO_2010-04-21.ana.ud1911e767	Does that mean that if one of the regional health companies in connection with these plans proposes to lay down one of these reinforced feeding rooms because they believe it is the most professionally sound, then it is not appropriate for this health minister and this government to intervene in it, as long as it is well justified on a professional basis?
ParlaMint-NO_2010-04-21.ana.ud1911e772	The process now taking place in some health regions is based on the communication addressed by the Stortinget last year. What's very clear there is that there must be work that takes place with good anchoring in local authorities, that there must be good processes for it. When these finally go into the regional health companies, and I get them on my table, I will make a total assessment of what might be available. But it's not like there's only one answer here. There may be questions of strengthening somewhere, or there may be questions of changing the organisation of the offer.
ParlaMint-NO_2010-04-21.ana.ud1911e779	In 2007, the National Council for Paternity Care reduced its work in protest against the then Minister of Health of the Workers' Party, Sylvia Brustad, because the then government, on the initiative of the state council that has now engaged in the matter, stopped the closure of a food supply that the National Council for Paternity Care considered irresponsible. If this Council of State in the current process, e.g. has a case been brought on the table by one of the health establishments which involves the closure of such an offer examined that proposal, the Council of State considers that it is the Council of State or the health undertaking which has the professional responsibility for the offer?
ParlaMint-NO_2010-04-21.ana.ud1911e784	There should be no doubt that we have to listen to professional advice. That's why this whole work is going on. The size has also joined the Government’s proposal to develop regional plans for the provision of food, given that there was a discussion about whether the quality was good enough around. Then it's important that we go through it, and that we also assess from place to place whether it's right to have this organized as today. So it's also that I'm very concerned about the quality of the offer to the natives and to other patient groups. We need to set up healthcare to ensure quality throughout the country.
ParlaMint-NO_2010-04-21.ana.ud1911e794	I would like to ask the Minister of Health: ‘Patients with atrial fibrillation are currently experiencing two to three years waiting time for ablation treatment in all health regions. The feiring clinic can offer such treatment, which Health South-East has rejected on behalf of health regions. However, the health economy administration has agreed to purchase 100 treatment sites for the arrhythmia patients in a private hospital in Denmark. Does the Council of State consider it reasonable that arrhythmia patients should wait for years for treatment and then be sent to Denmark, rather than receiving prompt treatment at the Feiringklinikken?’
