ParlaMint-NL_2015-01-20-tweedekamer-7.u1	I propose that we also vote this afternoon on the motion for a resolution Dik-Faber (31793, No. 72)................................................................................................................................................................................... At the request of the applicant, I propose that the 30-member debate on the letter on the consequences of the rejection of the Market Organisation Bill by the First Chamber be removed from the list. I also propose, at the request of the applicant, that the debate on the report that UWV is sending job seekers into the arms of crooks and the debate on the report that child allowances should not be reduced abroad be removed from the list. At the request of Mr Dik-Faber and Mr Geurts, I propose their motion (34000-XIII, No. 79), as last amended by Directive 79/7/EEC. This means that the two-month period provided for in Rule 69 (2) of the Rules of Procedure for this motion is to run again. I propose to add to the agenda: the VAO Future-oriented foundation education held on 15 January following a general consultation, with Mr Van Meenen of D66 as the first speaker; VAO Culture in the picture and BIS following a general consultation held on 15 January, with Mr Jasper van Dijk as the first speaker.
ParlaMint-NL_2015-01-20-tweedekamer-7.u128	Mrs Dik, you do not have the support of a majority in favour of holding a debate. However, there is a need for a letter. The Members of Parliament are not entirely in agreement on this. Some Members want a letter today so that they can take the answer tomorrow in the AA on the Agriculture and Fisheries Council. Mrs Thieme has just asked for an inventory of a lot of questions; I conclude that not all of them can be answered the same day. Perhaps we could ask the Cabinet for two letters. Firstly, we will ask the cabinet for a letter which briefly identifies exactly what is going on in the province of Friesland. Secondly, I will ask the committee clerk to make an inventory of the questions which relate a little more to the whole breadth of this problem. I will then pass on the stenogram of this part of the meeting to the cabinet.
ParlaMint-NL_2015-01-20-tweedekamer-7.u129	I very much welcome the proposal to list in writing what questions there are within the committee, because my group also has many questions. A report on this problem was published yesterday. I would also like a response from the Secretary of State. You don't have to do that today. I understand that we first take stock of the questions through the committee and that the Secretary of State will then come up with a careful answer. I would like to have that in the short term, but I understand that this is not possible today. I have looked around for a moment and I think I have some support for a 30-member debate. I would like to add that to the list, because I fear that tomorrow we will not have sufficient insight into the whole of the problem and the necessary solutions in the debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u130	Mrs. Lodders, you've already said something. A short afterburner!
ParlaMint-NL_2015-01-20-tweedekamer-7.u131	Yeah, it's about the letter. Anything the Secretary of State can deliver at the end of the day is very welcome for tomorrow's debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u132	That was also my conclusion on the inventory of the Chamber. Thank you for agreeing. I would like to thank Mrs Dik for her contribution. I will add the debate to the list, with three minutes' speaking time per group. I give the floor to Mrs Kooiman of the SP.
ParlaMint-NL_2015-01-20-tweedekamer-7.u133	Mr. Chairman. I would like to recall the written questions I asked the Secretary of State for Security and Justice about the difficulties in implementing the arrangements for substantially burdensome functions (SBF). A solution has now been found for the huge pension gap of prison staff, but we already have a general discussion on Thursday. That's why I'm standing here, asking for answers now.
ParlaMint-NL_2015-01-20-tweedekamer-7.u134	That is why I am giving you the opportunity to do so now. I will pass on the stenogram of this part of the meeting to the cabinet. I hope you get the answers to your questions soon.
ParlaMint-NL_2015-01-20-tweedekamer-7.u135	Mr. Chairman. The Amsterdam mayor Van der Laan states that this city is the easiest city to get heavy firearms like kalashnikovs. He blames this on the open borders and I agree with him. These weapons come into the hands of jihadists and serious criminals; civilians and policemen are in grave danger. I would like a letter and a debate on this.
ParlaMint-NL_2015-01-20-tweedekamer-7.u136	You want support for holding a debate, preceded by a letter on the easy acquisition of firearms due to open borders.
ParlaMint-NL_2015-01-20-tweedekamer-7.u137	The recent capture of very heavy weapons by an arms importer in Croatia intended for the Netherlands indicates that it is a very serious problem. I'd like a letter, but no reason for a debate. We can take that much faster in a general discussion.
ParlaMint-NL_2015-01-20-tweedekamer-7.u138	This is a serious problem and we hope for a letter of substance from the Minister. My group is proposing that this be dealt with by the JHA Council, so that the Minister can immediately discuss the conclusions drawn by the House of Representatives in Europe.
ParlaMint-NL_2015-01-20-tweedekamer-7.u139	You want that at the next JHA Council, which is when?
ParlaMint-NL_2015-01-20-tweedekamer-7.u140	The Minister knows all these things by heart!
ParlaMint-NL_2015-01-20-tweedekamer-7.u141	I'm asking because it's gonna be in the stenogram. The letter must be available for the next JHA Council.
ParlaMint-NL_2015-01-20-tweedekamer-7.u142	Next Wednesday, I hear.
ParlaMint-NL_2015-01-20-tweedekamer-7.u143	Then that letter should be there by noon on Tuesday.
ParlaMint-NL_2015-01-20-tweedekamer-7.u144	It is a major problem and I agree with what my colleague Mr Schouw van D66 said.
ParlaMint-NL_2015-01-20-tweedekamer-7.u145	Support for the letter and its insertion at the next general consultation.
ParlaMint-NL_2015-01-20-tweedekamer-7.u146	Support for the letter to the JHA Council.
ParlaMint-NL_2015-01-20-tweedekamer-7.u147	The mayor of Amsterdam has a point. This is the kind of weapons we need to deal with internationally, so support for a letter. There is no debate at the moment, but that can always be done in response to the letter.
ParlaMint-NL_2015-01-20-tweedekamer-7.u148	Support for the letter and also for the debate, as soon as possible. So that's the JHA Council.
ParlaMint-NL_2015-01-20-tweedekamer-7.u149	Mr Bontes, you have wide support from the entire Chamber for a letter to be received before 12 noon on Tuesday, so that it can be involved in the consultations on the JHA Council that will be held the following day. At the moment, there is no support in the Chamber for holding a debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u150	I'm sorry about that. The JHA Council is about the European context, but we also have problems with it in the Netherlands itself. How are we gonna track them all down? I am not happy with it: a debate on field mice, but no debate on the smuggling of kalashnikovs. I'm sorry to hear that.
ParlaMint-NL_2015-01-20-tweedekamer-7.u151	I will pass on the stenogram of this part of the meeting to the cabinet. I give the floor to Mrs Keijzer of the CDA.
ParlaMint-NL_2015-01-20-tweedekamer-7.u152	Mr. Chairman. Haste rush is rarely good, as it turns out. In the meantime, an emergency scenario has been launched at the Social Insurance Bank, so that budget holders can pay their care providers their salary. We received a letter from the Secretary of State at 12.20 p.m. trying to remove the unrest, but it has only become more unclear. What will happen to people who have wrongly received a budget because there was no clarity? I would like a further letter from the Secretary of State and a debate on this. There's room in this week's agenda. The figures differ, but some 160,000 budget holders in the Netherlands are in great uncertainty.
ParlaMint-NL_2015-01-20-tweedekamer-7.u153	I see your request as follows: to hold a debate this week on the emergency scenarios for pgb holders and their consequences, preceded by a letter explaining them.
ParlaMint-NL_2015-01-20-tweedekamer-7.u154	The emergency scenario has not come into force for nothing, so it has become very urgent to talk about this. Thursday is room for this in your calendar.
ParlaMint-NL_2015-01-20-tweedekamer-7.u155	Without going over your agenda, Mr President, I support Mrs Keijzer's request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u156	The Secretary of State has promised us before Christmas that it would all go well. We do not have enough vision of this at the moment, so I think it is right that we should speak quickly about it. I do not need a further letter, we can simply debate it.
ParlaMint-NL_2015-01-20-tweedekamer-7.u157	Support for a letter and for the debate. In the letter I would also like to see something about the inaccessibility and chaos at the Social Insurance Bank.
ParlaMint-NL_2015-01-20-tweedekamer-7.u158	The Secretary of State said that the pgb-holders would not be affected by the transition to the Social Insurance Bank. This has already been experienced; a lot of stress has already been caused by the pgb-holders. There is still uncertainty about a structural solution, apart from this emergency solution. I very much need a letter and a debate, so I support the request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u159	Last night I was in Gouda and I talked to a lot of people who depend on pgb for their care. Despite all the efforts and good intentions, there still seem to be a lot of questions and uncertainty. Nor does everything seem to go as we have meant with each other. I therefore support the request for this debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u160	The problems that now exist with the pgb must also be solved now. The Secretary of State will do the same. He sent a letter to the Chamber about that a few hours ago. In addition, Mrs Bergkamp and I tabled a motion at the end of last year on tackling the regulatory burden of the pgb in a broad sense. Through the procedural meeting, Mrs Bergkamp and I asked for a response from the Secretary of State. I'd like to receive it before we debate it. The Secretary of State has to take care of it now, and he does. My group does not support Mrs Keijzer's request for a debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u161	We have just received a letter today stating that a solution is being worked out, which will give people the certainty they need in the short term. At the moment, therefore, I do not need a debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u162	Mrs Keijzer, you do not currently have the support of the majority of the Chamber for holding a debate this week. You do have support from at least 30 Members, so sufficient support to put a 30-member debate on the list.
ParlaMint-NL_2015-01-20-tweedekamer-7.u163	Well, I guess I'll have to. Moreover, I would like to inform colleagues from the PvdA and the VVD that 220,000 health care contracts are included. That's just as important to give. If there are 160,000 budget holders who each have three or four contracts, it is stuck with the Social Insurance Bank. I am very sorry that the PvdA and the VVD do not want to talk about this. In any case, I would like to have a 30-member debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u164	You have taken the opportunity to talk about this, and that has been in your favor. The 30-member debate will be on the list. A speaking time of three minutes per group shall be used. A further letter has also been requested, in response to the letter that has already been sent. There is also sufficient support for this. I will pass on the stenogram of this part of the meeting to the cabinet. I call Mrs Karabulut.
ParlaMint-NL_2015-01-20-tweedekamer-7.u165	Mr. Chairman. Last week, a survey was conducted by Always Wat and Home Government among employees and managers of social services. This shows what unemployed people have known for a long time, namely that the severe criminal laws of Secretary of State Klijnsma lead to accidents. Half of the employees say that these laws can lead people with psychological problems to despair. Three quarters say that they are getting into further problems, both in terms of their health and financial. That seems important enough to me to debate with Secretary of State Klijnsma of Social Affairs. That's why I'm making that request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u166	A request for support for holding a debate on the rules for assistance.
ParlaMint-NL_2015-01-20-tweedekamer-7.u167	We have an AO Participation Act planned at the end of February. That's pretty soon. The questions could be taken into account. There is therefore no need for a debate at the moment.
ParlaMint-NL_2015-01-20-tweedekamer-7.u168	GroenLinks is also very concerned about the outcome of the survey and would very much like to hear from the Secretary of State what conclusions it draws from it. I therefore support Mrs Karabulut's request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u169	The Labour Party likes to speak with the Secretary of State about the investigation that has taken place. That investigation was carried out before the law for which the Secretary of State is responsible entered into force on 1 January last. Soon there will be a general consultation. We believe that this is a good opportunity to raise this issue.
ParlaMint-NL_2015-01-20-tweedekamer-7.u170	D66 would like to discuss the subject in general consultation, but I do support the request for a letter. I would like the Secretary of State's explicit confirmation that people with mental disabilities, lacking culpability, can never be sanctioned by the welfare law.
ParlaMint-NL_2015-01-20-tweedekamer-7.u171	I believe that this Secretary of State was already responsible before that law entered into force, so I say to Mr Kerstens, but that aside. It is important that this is discussed, including with the new law which offers scope for tailor-made work. I would therefore like to hear a response from the Secretary of State to this report. We can involve that in the AO on the Participation Act.
ParlaMint-NL_2015-01-20-tweedekamer-7.u172	Support for the letter and support for holding a debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u173	I support the request for a letter. We can then discuss them during the general consultation.
ParlaMint-NL_2015-01-20-tweedekamer-7.u174	Mrs Karabulut, you do not have the support of the Chamber to hold a plenary debate. There is broad support for a letter in which the Secretary of State addresses the issue, so that it can be involved in the general consultation that has apparently already been agreed.
ParlaMint-NL_2015-01-20-tweedekamer-7.u175	That's how we're gonna do it. I would also like the Secretary of State to give specific consideration to her promise that psychiatric patients would not suffer under this law and to the question of where she sees this space for customization, because in practice there is no such area.
ParlaMint-NL_2015-01-20-tweedekamer-7.u176	I will pass on the stenogram of this part of the meeting to the cabinet. This has put an end to the regulation of work. I would ask those Members who have not yet done so to sign the attendance list.
