ParlaMint-NL_2015-10-28-tweedekamer-6.u1	I give the floor to Mr Van Meenen. He has indicated that he will speak for fifteen minutes.
ParlaMint-NL_2015-10-28-tweedekamer-6.u34	Mr. Chairman. The education inspection concluded in its 2013-2014 report that our education system is becoming increasingly efficient, but also less flexible. This is due, for example, to additional and rigorous selection, the growth of single school advice and the increase in category bridge classes. The Education Council gives similar signals and explicitly warns about the position of pupils from lower socio-economic environments. International research among OECD countries has already been discussed a number of times today, and it would appear that the Netherlands is lonely at the top of countries in which the education system contributes to a division between people of different social backgrounds. I am sure you will appreciate that, but I find it extremely worrying. I would very much like to receive a response from the rulers to this investigation. With a one-sided focus on efficiency or an "economic approach" to education, you focus on the standard, the average or the greatest common denominator. That's what you focus your education system on, and that's fine. If a student fits seamlessly into the system, there's no dirt in the air. However, if there's something wrong with you or if you're just not covered by that greatest common denominator, then you have a serious problem. That process will continue. I would almost say: despite the signals and the commitment of Mrs Ypma, that continues. We select in the Netherlands at a young age and we are actually going to do so at an even younger age. We're already going to do that on the basis of tests in elementary school's seventh grade. Then you're 10 years old. At the same time, pressure is being exerted not to provide multiple guidance for secondary education and the number of broad bridge classes is decreasing further. Those two things are mutually reinforcing, of course. I would like to know from the Secretary of State whether it is true that schools in primary education and in secondary education in the Utrecht region have agreed to stop giving multiple advice. Does the Secretary of State agree with me that this is contrary to the spirit of the law? A choice that is made for you when you are 10 years old After all, you don't have so much to choose yet Once organized, you will be squeezed through one of our educational columns as efficiently as possible. Let me just say popular. Our once so accessible and transitive education system becomes actually more of a straitjacket. If you're judged a dime at age 10, you won't be a dime anymore. Am I too negative? Let me mention a few examples very quickly. Multiple school advice from primary education is in danger of falling out. The broad bridge classes disappear. In the HAVO, arbitrary additional admission requirements are laid down for pupils with a VMBO diploma, which should give them access to that training. Sometimes in secondary education there is almost a forced choice of school for pupils with an additional care question, because schools have made a hard agreement between themselves about who provides which care and which students take on. There are opaque practices in the MBO, where schools sometimes refuse pupils on unclear grounds. The additional admission requirements for the pabo, which the Chamber wanted, have had a dramatic effect on the number of registrations. It's not going well and it's not the way to do it. In order to be admitted to a master's programme in scientific education, students who have graduated from a certain HBO programme are asked to take an additional course. That course isn't in regular education. You can follow it, but that will cost you €7,000. A master's programme in Rotterdam says: we only hire you if you have a 7. The 7 thus becomes the new 6. Not to mention the binding study advice, the chanceless experiments with the binding study advice in the second year and the hard cut between the bachelor and master phase. It's becoming a hordewalk. The atmosphere, the culture in our educational system seems to gradually become one of schools and training courses which will decide for themselves which pupil they want to take on. This takes the place of the starting point that students, of course, if they are in possession of the right diploma, choose for themselves what training they are going to do. The fundamental question I ask the directors is: do they agree with me that the starting point is, remains and must be protected that pupils, children, individuals themselves choose what they are going to do and that it is not the training courses that choose which students they will adopt? If there are incentives, we believe that they exist throughout the education system, both financial and other incentives, which support that in reverse, I would ask the directors to make an effort to remove these incentives.
ParlaMint-NL_2015-10-28-tweedekamer-6.u35	The fact that all these schools in the continuous learning lines are going to set their own standards has everything to do with the school being punished for draining? That has everything to do with the fact that these schools have no idea who they are bringing in because GroenLinks and D66 no longer want to be tested, that there is selection in education, that there is discrimination in education by competences, by knowledge, by students' skills? Mr Grashoff mentioned the pabos, who were notorious for not being able to spell and calculate the teachers and masters. Then we're gonna do something about that, it's not okay again. What does Mr Grashoff propose? Let everyone go to the pabo and let the decay of education in those areas just go on? Is that his idea of education?
ParlaMint-NL_2015-10-28-tweedekamer-6.u36	I agree with Mr Beertema on one point: the way in which returns are paid in education contributes to this type of practice. We do have to get rid of that. The example of the pabo is interesting. That makes me think, and so does Mr Beertema. Simply setting admission requirements is not the solution. If we believe that students at a certain level have not learned something they should have learned, then this should be incorporated into the curriculum and should not be done with pluses, extra demands and extra tests. There should be no calculation test, but mathematics should be well incorporated into mathematics education, as suggested by the association of mathematics teachers. Then you don't need a math test. Nor did we come up with a language test, because we already had Dutch in secondary education. Then it was fine and adaptable. That is the way in which we have to deal with a system of education that has a great deal of value, but which we are just making a patchwork with each other.
ParlaMint-NL_2015-10-28-tweedekamer-6.u37	I don't see the patchwork. I can only see that there were extremely urgent problems identified by industry, by all secondary education, by higher education. Those parties were faced with enormous problems in that continuous learning line. We said, "If we want to make a quick move, we have to start with the pabos." Mr Grashoff disagrees again. He's just saying, no, that's got to start somewhere else. If you want to make a quick improvement in quality, don't you have to be with those novice masters and girls? They have to be able to calculate and spell. Doesn't that spill over to the kids they have in those classes before that? That's the fastest way, isn't it? What does Mr Grashoff want?
ParlaMint-NL_2015-10-28-tweedekamer-6.u38	I think Mr Beertema agrees with me that we have not solved it. We have only raised an additional threshold and it has led to fewer students on the pabo. In a few years, we won't have any teachers and masters in the classroom at all. If the problem is that they need to learn to calculate better and that they need to be better in language, then we need to teach them that. We should not then raise thresholds and say: you must be able to do so, otherwise you will not be admitted. That's the point. That's another way to deal with this. I do not deny the problem, but try to take it as an example to deal with it in a different way. I'll come back to the big seventh grade. The number of school communities and broad bridge classes is falling year by year. Where originally there was some thought of a two-year bridge period, it was reduced to a year. More and more we find category communities and homogeneous bridge classes. That is a pity, because the wide junior class offers advantages and is partly also a form of compensation for the very early selection. In this way, this strikes the balance of the education system. Children in a broad secondary school make it easier to move to a higher level of education; research has been carried out on this. They also learn to be better with each other. It would also fit perfectly in the objective that is generally embraced, in my opinion also by the rulers, to see how to get to a customized diploma. If that's what you want, you're not good with that very early selection and pushing it into those columns. You then choose a model that does not fit the approach of the customized diploma. The single school advice is part of this. If you only give single school advice, what is easier to put the children in single bridge classes? Those two things are connected. I've already asked a question about it. Is the Secretary of State prepared to draw up an action plan to maintain, strengthen and stimulate the broad secondary class and the accompanying multiple advice? Would he like to look specifically at the possibilities of at least taking the perverse incentives out of funding and building up good incentives? I move on to another topic: the financing of primary education. Pupils are now falling, but slightly increasing numbers are expected from 2019. We are now talking about outflowing teachers and high costs of unemployment benefits, but we are going to run out of teachers again. I would like to ask the Secretary of State whether we should see the years 2016 to 2018 as a bridge and whether we should no longer pass on the falling numbers of pupils in the po into declining funding. Now we're cutting ourselves in. Can this system play a role in the way of windows? Mr Slob has already made a comment on this. Perhaps we can come up with a better system for that transitional period. The education of refugee children puts great pressure on schools. Everyone has the right to education. I would almost say that even Mr Beertema agreed with us on this point. It is very important that we invest on the basis of integration goals and opportunities for people. There have been statements about this, recently in the motion by Mr Klaver, Mr Slob and Mr Pechtold. The Secretary of State has then written a letter in which he elaborates on the subject. There is nothing wrong with that letter, but it does not answer the question of the money. Actually, there's no number in that letter. The Secretary of State does write that he cannot estimate the expected inflow, but that the estimated budget is sufficient. This seems to me to be a case of a calculation test for the Secretary of State, because of course this cannot be right. In the very short term, I would like to receive specific additional information on what is happening with this funding system. What additional amounts are there? What does the Secretary of State mean by customization? What criteria are used for this customization? What deadlines are additional amounts available? How do they relate to the weight control? Mr Van Meenen asked a question about this. Mr. Chairman. I am going a little over my speaking time now, but I take that for granted. I'll take care of this another way. The Secretary of State writes in his letter that asylum seekers often need more than a year of guidance. I would like to get a response to the question of how this is going to work in the funding structure. There is a great deal of uncertainty in the schools and even if the system is well organized, we can still draw the conclusion from the reactions of the field of education that uncertainty is currently frantic. I now move on to the position of the medical students. My colleague, Mr Ganzevoort, has already raised the question of the Commission's proposal in the First Chamber. He was already of the opinion, and I share this, that this is a serious issue. I am not saying this in order to raise the main issue of systems, but because this is a very special and exceptional position. It is the only three-year master's programme that is largely made up of academics. This means that people work in academic hospitals. Unfortunately, I have had the bad luck of having to increase the frequency of the academic hospital in Rotterdam over the last two years and it turned out that the direct tests are almost always carried out by residents. They're just free labour in hospitals. I ask the Minister to look again with her colleague from VWS at a form of internship fees. This does not directly affect the study proposal, because the problem already existed. However, I would like to add that it has not improved for this group with the study advance system. I can see Mr Van Dijk coming out of his chair. I agree that the matter has not become easier. A solution must be found for this. I find the Minister's letter really disappointing. Three quarters of a year after the problem has been announced a letter with "njet" in it cannot.
ParlaMint-NL_2015-10-28-tweedekamer-6.u39	I am certainly standing up from my chair, because Mr Grashoff is one of the authors of the damage. He shouldn't beat around the bush. GroenLinks was in favour of this notorious debt system, together with D66, the PvdA and the VVD. Now he's angry because medical students are being hit. His colleague in the First Chamber raised the matter. Fantastic! However, his colleague in the House of Representatives, his current group chairman, could have known this for a long time. And we have all raised it. So for Mr Grashoff, as for Mr Van Meenen, it is good that you are now aggressing, but we already knew it. Does Mr Grashoff recognize that or not?
ParlaMint-NL_2015-10-28-tweedekamer-6.u40	I acknowledge that for as long as Mr Ganzevoort has. He brought that up. This fits seamlessly in the line set by Mr Klaver. We must continue to look critically at this system. Where undesirable effects could occur, you should indeed dare to adjust. That is different from questioning an entire system. I am going to repeat something: I always find this discussion with the SP to be the most special. In the Dutch situation, it was the most debilitating system we could come up with, because with the basic grant there was a huge income transfer from lower to higher incomes. I never understood that the SP was unable to follow the idea of the advance system.
ParlaMint-NL_2015-10-28-tweedekamer-6.u41	This came out a little angry. But yes, that is because GroenLinks is now a bit concerned that the extremely neoliberal has defended the principle of profit, together with the VVD and the other two parties. That, in turn, disappoints me very much. You should never have gone along with that. Anyway, that was the big discussion. We're going to talk about medicine again. Mr Rog was right to ask: will we make this concrete and finance it out of that loan system that you were so in favour of because the damage came from it? Is that why you're here?
ParlaMint-NL_2015-10-28-tweedekamer-6.u42	Right now, I'm not ruling out forms of cover somehow. But it is not a question of an issue affecting the system. This has to be solved. As far as I am concerned, there is an important responsibility in the VWS corner. I'm not talking about internship fees for nothing. That's what we should be talking about. I can assure you that I would be happy to take a look at a motion from Mr Rog, but I think I would like to make a motion myself. Then we'll make this concrete. Now the appropriate education. I'll be brief, because I can see I'm really out of time right now. We support the principles of appropriate education, but this is becoming a serious problem. The critics aren't gentle. I can only say one thing in the direction of the Secretary of State: solve it quickly. Sitting at home is not acceptable. The current situation in mainstream education is not acceptable. The word "pgb" is compelling. Perhaps the Secretary of State should ask his colleague from VWS what that word means, but this way of implementing appropriate education risks becoming a pgb 2 for this Secretary of State. I wouldn't wish that on him. Pick this up, fix it and make something good out of it.
ParlaMint-NL_2015-10-28-tweedekamer-6.u43	This was taken from my heart. In my own contribution, I proposed the legal anchoring of the right to education, also as a building block to strengthen the position of parents and pupils in the context of appropriate education. How does the Group of the Greens/European Free Alliance view that?
ParlaMint-NL_2015-10-28-tweedekamer-6.u44	I fully agree with that. I equally agree that the right to education is the duty of training to arrange internships. We have already heard this in the interrupting debate with Mrs Jadnansing.
ParlaMint-NL_2015-10-28-tweedekamer-6.u45	Mr. Chairman. I want to talk about four subjects. First of all, I would like to focus on the education system. Then I would like to comment on the provision of information by schools. Next, I am talking about educational disadvantages. Finally, I would like to say a few words about Europe. First, the education system. More room for new schools. That was the government's commitment in 1916. With a proposal to amend the Constitution, financial support for all kinds of education was constitutionally anchored. Whether this proposal met the social needs was not a question. The social discontent over the old system was great. The realization that it was high time to take away this fissure in the people was widely felt. The result was, in the impression of the SGP then and since then, quite successful. The Netherlands definitely did not receive state education and not state schools, but socially organised and socially anchored education. 100 years later, the government put the room for new schools back on the agenda. The government has announced that it will issue a bill in 2016. That sounds wonderful. The objective as such is fine with the SGP. However, the analysis and the impact are a great deal of concern. First of all, the need for the proposal does not seem to be widely and deeply felt. In her letter, the government writes something about hiding and changing circumstances. Is this sufficient and sufficient evidence that parents are in large numbers waiting for an adaptation of the education system? The problems mentioned often focus on a limited number of problematic situations. Fix that, I'd say. The SGP does not have the impression that the country is being torn apart by this issue. Why is there so little social movement about this far-reaching change? Why is this far-reaching proposal, a change in the education system, not being the subject of a social debate? It is a bit similar to the debate on the curriculum Education 2032. The SGP maintains the feeling that this is mainly an administrative project in which parents' needs have not yet been properly investigated. I'd like to hear a response from the regiment. The SGP also wonders whether the proposal is coming at the right time. Let's look at the country of education: big laws such as the appropriate education Act have been implemented, there are large decentralisations towards the municipalities that touch the educational field, there is a challenge to make shrinking more manageable, there is a legislative proposal on a future-proof education offering and today an initiative proposal on the redesign of education monitoring has been reviewed. All these developments have a major impact on parents' freedom of choice. Is it then justified to introduce a major change in the system in parallel with all these developments? Can we master the effects enough when there are so many things at once? As a government, do we not have ample control over the careful implementation of all kinds of changes under way? I refer to a point that several colleagues have already mentioned in detail, namely the tensions surrounding the introduction of appropriate education. How's that gonna work out? Shouldn't we put all the energy into that? The SGP is in favour of starting clear steps, such as lowering foundation standards, before starting with plans as direction-free plans. The government's proposal means that a large number of schools are threatened with abolition. These schools are already aware of that. It is the shadow effect of the announced plan. Aldermen in contact with schools sometimes already indicate that they assume that the school will be closed. Schools are thus already facing negative effects, while plans are far from being implemented and there is a great deal of uncertainty about their impact. How will the Secretary of State guarantee the position of these schools, so long as it is not clear when and how the plans will work? Furthermore, the SGP considers it important for maximum support to exclude the last schools from one direction as far as possible. Does the Secretary of State share that stake? These are schools which otherwise have to be closed after a number of years, while they often function to the full satisfaction of parents. It would be weird if the plans that parents are supposed to help were to stand in the way of parents' needs. The second point is the provision of information to the school. Before we start working on more freedom of choice, it is important that parents have good information about the choices that exist. The government's plan to get schools on the map is excellent. However, the SGP is afraid of confusion or proliferation of initiatives. We had in addition to existing information in the budget and the inspection, already Windows for Accountability/Schools on the map. The government then comes up with a new dashboard, which differs from the design of Windows for Accountability/Schools. How is this compatible with the ambition to develop more unambiguous information? Again, there is the question of whether we are not stacking too much resources on means, on measures. Because of this accumulation, there is no time and peace to implement the policy carefully. There is so much else to be done. We call for clear information development. Let us look at what is going on, and let us standardize it, for all I care. The first requirement of the SGP is not to provide more information. It is about what we do with the available information. In addition to increasing information, according to the SGP, the Action Plan lacks to reduce the administrative burden on schools. Can the Secretary of State guarantee I underline this word 'that the intended dashboard will not entail any additional administrative burden, accountability or whatever you want to call it, for the schools?' How are we going to ensure that schools have to supply information by one way rather than through multiple channels? Then I'm gonna get to the education deficits. More and more children of foreigners will enter Dutch schools in the near future. We just have to take that fact into account. It is right that attention should be paid to this from all sides. For a good education supply, the budget for educational disadvantages is of great importance. It is then strange that this budget is only decreasing, while the challenges for schools are not decreasing. The budget depends on the level of education of parents. A colleague pointed it out, too. However, the establishment of this level appears to be a major bottleneck. Schools run counter to the curious situation that children of parents from the Netherlands vmbo are more likely to receive additional funding than children of parents from developing countries. Why is a distinction made within vocational education in the Netherlands in terms of funding, but not in Poland? Why does a student who has been to school in Nigeria up to the age of 16 not pay for a school, while in the Netherlands they can? The SGP considers it unsatisfactory that the Secretary of State does not specifically address such questions from schools. When reference is made to the independence and expertise of implementing organisations, we can also count on solid support. Can the Government undertake to respond in writing to the problems of determining the level of education of parents? Will the government respond to the study of the Kohnstamm Institute of May of this year, which shows that the level of education of both parents and ethnicity should be added to the assessment? Finally, I come to Europe. Citizens living in Europe and working in the Netherlands can receive study funding for their children. Of course, that's fine when those children study in the Netherlands. This will support freedom of movement. The problem is that the European Court also wants these children to have the right to receive Dutch funding while studying in the country of origin, while life in Poland, for example, is much cheaper. That's the SGP too gritty. It is never meant to be like that in Europe. The Minister mentioned this in Europe; thank you for that. There was a lot of popularity. Of course, that is good, but what is going to happen in concrete terms? Will there also be a proposal to better regulate this and give Member States the opportunity to pursue policies which they are entitled to under their own nationality and sovereignty?
ParlaMint-NL_2015-10-28-tweedekamer-6.u46	Following Mr Bishop's speech, I would like to return to transparency and information. Before I ask my question, I fully agree with Mr Bishop that you should not get all kinds of different information flows. I think that is a very justified point. Does Mr Bishop agree with the point I made in my speech that you should be able to establish the most efficient relationship between the money that has been invested and the final results, especially in the case of additional intensifications for young teachers or extra teacher quality?
ParlaMint-NL_2015-10-28-tweedekamer-6.u47	I thank Mr Duisenberg for this enlightening question. I hope that the answer is also somewhat enlightening. When funds become available, such as the 150 million we were talking about, which is in fact linked to personnel policy, I would be in favour of it being included as the only obligation that the annual report reveals what happened to the amount that went to school in that context. That hardly means an additional burden of accountability, only the auditor gets a moment of control. This way you minimize the administrative pressure and give you a maximum of insight. If you can organize that kind of simple procedure, you should do it. Of course, you need to know what happens to the money when you pump in the 150 million now, or another time two hundred-and-so many million. I know what happens to it when I look around and when I'm on work visits in schools. Then I see that the money has indeed been used mainly to eliminate a lot of late maintenance. That's just what happened. It was stuck on all sides. Schools had to cut back year by year 1, 2 or 3 FTE. I give it to you to do, that really chops it up. A lot of that money has been used to prevent the cuts in staff. The amount has therefore been used for personnel policy, but this has not become apparent. With a small paragraph in an annual report you can make this clear. Then everyone understands that the money didn't evaporate, but was used for what it was meant to be. It has not been used for enlargement, because there was no such possibility, but for maintaining it. That way it can be done.
ParlaMint-NL_2015-10-28-tweedekamer-6.u48	Mr. Chairman. Normally, people could follow this debate at home via the Internet or by cable, if they pay for it. At the moment this is not the case because the transmitter is needed for a press conference. You can only use cable TV if you pay. 50PLUS very much wants people without thresholds and without payment to be able to follow the debates at home. You'll agree with me, won't you, Madam President? My question is therefore the following. Is the cabinet willing to put the transmitter in the standard transmitter package? My group would prefer to see it offered free of charge via Digitenne. I would like to receive a comment on this point with an explanation. 50PLUS is concerned about the education of young refugees who are subject to compulsory education. In particular, the strong growth of refugee flows presents major challenges. Although there is a support programme for teachers and schools, this does not exclude overloading the workplace. Half of teachers in primary education are already experiencing too high a workload. With this in mind, I would like to ask whether the Minister can tell us how many compulsory refugees can handle a regular school without jeopardising the strength of the teacher or the quality of the education and what effect the arrival of compulsory refugees has on class size. How is the relationship in groups measured between compulsory education refugees and pupils with a backpack or appropriate education? The budgetary impact of education for refugees subject to compulsory education is estimated at several millions. According to the minister, they are integrated into the OCW budget. 50PLUS would like to know which post these millions are from. The issue surrounding the Rembrandt paintings continues to concern 50PLUS. On 15 October, an article in the Volkskrant showed that it was not yet clear whether the Netherlands would acquire two or a whole painting. It has always been said that the two paintings would come as one piece of art in Dutch-French possession but there was still a lot of negotiation. And then it got quiet again. We would like to hear from the Minister about the current state of affairs. In addition, 50PLUS would like to know more about co-financing by individuals. The Minister of Finance has indicated that it would be reasonable for the Rijksmuseum to contribute to the purchase, if only with a symbolic amount. Is there any more clarity on this?
ParlaMint-NL_2015-10-28-tweedekamer-6.u49	Let's get to the point of order. I think there is a legislative consultation on Culture and we are here together to talk about Education and Science. I don't know if there's a direct relationship between them, and I don't mind listening to the beautiful story about the Rembrandt paintings again, but somehow it feels a little weird in this debate.
ParlaMint-NL_2015-10-28-tweedekamer-6.u50	I saw such a lovely arrangement. I heard Mr Pechtold argue that when they are in the Netherlands, schools go to all the museums in every capital city of each province to look at these beautiful works of art. So I did find it in place here. In the 55 to 65 age group, more than one in five Dutch people are not sufficiently literate to be self-employed in society. Among immigrants of the first generation, even one in three is low-lettered. For this purpose, the Cabinet has set up the action programme Tel along with Language. We very much welcome that. However, this programme is aimed at people aged between 16 and 65. So far, the Minister has not been sufficiently clear about what is happening to combat low-literacy among 65-plussers. I'd like to get a reaction to this. According to the Central Bureau of Statistics, 80% of the 65 to 75 year olds use the Internet. That is a wonderful percentage, one of the highest percentages in the European Union, but for one in five of these elderly people the Internet is far from their beds. However, they are not even expected to handle all their business with the government over the internet in the long term. Think, for example, of the recent news about the early disappearance of the blue envelope at the Tax Office. How does the Minister feel about that? Does the Minister intend to ensure that these older people do not fall apart? Then there's something else. 50PLUS would like to hear an opinion from the Minister on the transfer of the management of 31 monuments to the National Monument Organisation. One of these monuments is the fortress in Naarden. My 50PLUS colleague in Gooise Meren, which includes Naarden, proposed yesterday to bring the fortress, if it is disposed of by the Empire, under the administration of the municipality, because of the unique character of this monument. I also like to get a reaction to this. Finally, I come to our most important point. The cabinet regularly talks about the importance of education for adults. We are very much in agreement on this. The policy agenda for this budget sets out the fourth objective for the education of this cabinet period: integration into the labour market. As far as 50PLUS is concerned, this education budget is not sufficient. Of all the available educational funds, only a poor small proportion goes to adult education, while having and keeping access to the labour market is increasingly important for all, even at a later age. Greater attention should be paid to adult education due to the increasing age of the AOW and to unemployment, particularly long-term unemployment, which is unabated and disproportionate among over 50 people. Training and retraining is an essential tool for this group to still have a chance on the labour market. Adult education is also needed because of the fact that people in today's society do not work with one and the same boss for years, because they want to continue to develop themselves and because the needs of the labour market change. One of the possibilities is lifelong learning credit, which is intended to facilitate adult education. Why does an age limit apply? That age limit is 55 years in this case. A 55-year-old has to work for another 12 years. Isn't that enough reason to change that age limit? Why was this chosen? Isn't a 55-player worth the investment anymore? I thought it would be much more sensible to adjust this age limit. Now it seems like a missed opportunity. I would like to hear from the Minister whether she sees any possibilities for this. I am considering tabling a motion on this matter in the second term. Shortly and well, there is reason to make more budget available for adult education. I would like to receive a response from the Minister. Does it see any chance of achieving this in the short term? Does she also recognise the need for this?
ParlaMint-NL_2015-10-28-tweedekamer-6.u51	Mr. Chairman. The Dutch education is to be proud of, as international figures show. For a tenth place in reading skills and an eighth place in physics, you certainly don't have to be ashamed of yourself internationally. We're part of the world's leading group. But how do we ensure that we stay with that global leading group? Until 1900 human knowledge doubled every century, after the Second World War, human knowledge doubled every 25 years, and by 2020, as predicted, human knowledge will double every 73 days. Every four years, the total amount of information in our world doubles. And what are the consequences of this, we have to ask ourselves. Two to three million jobs in the Dutch labour market will disappear due to technological developments. What kind of world will our children grow up in? How will Dutch education remain in line with an ever-changing labour market and the world? These are the most important questions we face in education. The changing world requires us to work on forward-looking education. DENK therefore welcomes the Platform Education initiative2032. DENK would like the initiative to be of a lasting nature. For example, the curriculum can be tested continuously according to the requirements of time. The fact that we belong to the global leading group is, of course, mainly the merit of all our teachers involved, but unfortunately we are still far from supporting these people enough. We have to learn to give our teachers air. Particular attention should be paid to the workload and the corresponding size of the classes in education. The classes are too large, according to students and teachers. 90% of teachers need smaller classes. We are clear in this: it must be the motto not to hack it up but to train it. Get rid of the school batteries! In many situations too large classes lead to lack of personal attention for pupils and too high a workload for teachers. DENK therefore wants to call on the cabinet to investigate when smaller classes should be and larger classes can be. The results then provide a measure for the possible introduction of a maximum class size in certain situations. Teachers need to get air again to breathe, not just in a figurative sense. Air quality in many schools in the Netherlands is still not in order. Air quality in schools matters. TNO showed that good ventilation results in 6% fewer errors in language tests and 23% less errors in calculation tests. Good air quality also leads to less illness among pupils. Good air in schools therefore leads to better performance and less absenteeism. Better performance prevents delays and less absenteeism saves us costs. Unfortunately, this potential is not yet fully exploited. 23% of primary schools complain about poor ventilation. Last month it turned out that the air quality of 78% of primary schools in Arnhem was below par. There are also problems in the area of temperature in classrooms. 70% of the premises in the Netherlands are too hot in summer and 40% are too cold in winter. What solutions do we propose? As far as we are concerned, the government must draw the wallet for this, as it did when buying Rembrandt's paintings. Initiatives to improve the indoor environment in schools from the past were a good start. However, there is much more work to be done. DENK will therefore table an amendment to make money available for educational schools. We encourage the use of creative solutions. For example, plant walls in classes could work well. A pilot in Haarlemmermeer shows that, too. One more point about citizenship in education. The Netherlands has the most beautiful Constitution in the world. As the seat of the International Court of Justice, the Netherlands has a tradition of promoting human rights. It is the task of education to convey these key principles properly. In this way, we train tolerant, resilient, involved and democratic citizens. DENK therefore welcomes the high level of attention paid to the formation of citizenship in education. That's what it takes. Unfortunately, the Netherlands is lagging behind internationally in this area. The increase in discrimination incidents makes it clear that the message of tolerance from Article 1 of our Constitution needs to be better conveyed. What are we proposing? That's three things. Firstly, schools should be encouraged to be better evaluated and more coherent. The Education Inspectorate noted that few schools evaluate the results of citizenship education. Similarly, the activities are not sufficiently coordinated and little planning is being carried out. Secondly, we want a more prominent place for human rights in schools in civic education. The knowledge of human rights in the Netherlands is inadequate. So make human rights a key goal in education and add it to the citizenship mission. Thirdly, think also of the impact that common education has on citizenship. Early separation of pupils by level affects citizenship competences. Longer learning together leads to better citizenship skills, according to research. To what extent does the Minister take this into account in the approach to citizenship education? Good foreign language intellect is important to our country. Knowledge of foreign languages contributes to a good economic climate. Unfortunately, we are seeing a bad trend in our country. Knowing and learning more languages is explained differently in different groups. By most people, learning and speaking a foreign language is seen as a development, as something entrepreneurial. You'll be a cosmopolitan helping the international economy. But in people with a migrant background, it is seen as a lack of integration. When learning and speaking a language of migrants you have to use the integration magnifying glass of Minister Asscher. That's the double size we so dislike at DENK. That is why, according to DENK, we must move away from this trend. Learning foreign languages can help to build an economic bridge between the Netherlands and countries of origin. Many countries of origin are also emerging economies. Is the Minister therefore prepared to facilitate education in more languages better, for example by encouraging subclasses between schools? Is the Minister prepared to add more languages than English, German and French to early foreign language education?
ParlaMint-NL_2015-10-28-tweedekamer-6.u52	I think you say it very cumbersomely, but you simply want to enter Turkish as a language. I understand.
ParlaMint-NL_2015-10-28-tweedekamer-6.u53	Let me call that the short-sightedness of the PVV. I am talking not only about Turkish, but also about Chinese, Arabic and other languages, for example. Those countries are also emerging economies. I understand that you want to make the Netherlands an island, but the world is much bigger than just this country. It is good for the trade relations of the Netherlands with other countries that we and our students speak more languages in the future.
ParlaMint-NL_2015-10-28-tweedekamer-6.u54	I understand that you simply want Arabic and Turkish, and Chinese for that very few Chinese pupil from the country of origin, because these are countries of origin. Isn't that what you said? Then I'm talking Arabic and Turkish. That's obvious.
ParlaMint-NL_2015-10-28-tweedekamer-6.u55	It is not just the children who come from the country of origin. It would be very good if Dutch students also learn Chinese, because China is an emerging economy. It would also be very good for Dutch students to learn languages other than English, German and French.
ParlaMint-NL_2015-10-28-tweedekamer-6.u56	I would like to respond to this. Mr Kuzu agrees with me, as far as trading partners are concerned, that mainly German and English are important. Mr Kuzu is very interested in social differences and social backwardness, but it has recently been established in a report by the Education Council that they are related to good literacy, precisely in the Dutch language, which causes this. So, Mr Kuzu, why not come up with a proposal to focus precisely on that rather than come up with a proposal to teach the Turkish language?
ParlaMint-NL_2015-10-28-tweedekamer-6.u57	You keep framing it. I would point out here that it is not just a question of the Turkish language but of several languages. Indeed, you have a point that Dutch is a key goal in education and an important language. As far as we are concerned, that is also the basis. If there are delays in this, I am the first to see that it needs to be helped. That is certainly the case. I am now talking about the heading 'foreign language teaching'. It is important that we are English powerful, that we are German powerful, that we are French powerful, but you know as well as I do that world relations are changing and that countries with which we trade are also changing. In that sense, it would be good if we were more powerful than just those languages. This includes Chinese, Turkish, Arabic and several languages. That has always been the strength of the Netherlands: we are an internationally oriented country, we are trading with many different countries in the world, and it is important that we are powerful in our languages and not just looking to the now, but also to the future, so that we may one day get more pandas from China. According to DENK, education must be a source of development for every Dutchman. Everyone, whatever their origin, social status, sexuality or disability, must feel supported by the fact that education in the Netherlands offers equal opportunities to all. But is it? Recent international research shows that characteristics of the Dutch system of secondary education, i.e. early selection, increase the differences in learning performance between children from different social environments. DENK has already pointed out to the Minister that pupils with a migration background may receive less advice than other pupils. They are paid based on their origins, and we find that unacceptable. I'll finish with the final point. DENK welcomes the creation of a compulsory teacher register for professional education. However, we would like to add a point to that. Trouw reported this year that two out of three teachers see Muslim discrimination in the classroom, and 60% of students who claim to be discriminated against at school indicate that this has been done by a teacher. It can't be. So make sure that actions of discrimination and racism by teachers are included in that register, so that teachers who discriminate can never, but never, ever again stand in front of a class. Education is the lifeblood of our society. Make sure everyone gets equal opportunities. Support our teachers and make our school resilient.
