ParlaMint-NL_2016-03-30-tweedekamer-5.u1	I would like to welcome the spokesmen and, of course, the Secretary of State.
ParlaMint-NL_2016-03-30-tweedekamer-5.u83	The Minister for Infrastructure and the Environment has indicated that the motion will be carried out mainly by not introducing national signs for environmental zones. For the rest, all local environmental zones with all the different provisions may remain in place. I wonder whether the VVD Group, which tabled this motion, which we also supported, is satisfied with the implementation of this motion by the VVD Minister and the VVD Secretary of State?
ParlaMint-NL_2016-03-30-tweedekamer-5.u84	I can confirm to Mr Omtzigt that there are leaders of the VVD, but we have made it quite clear once again that we also have responsibility as a group. We'll take that, too. We simply do not want environmental zones, certainly not the threat of double taxation of the diesel surcharge.
ParlaMint-NL_2016-03-30-tweedekamer-5.u85	That's right, but the MP of the VVD is here asking how the government is carrying out the motion with the VVD. The government has told us how she's doing it, which is hardly anything. Minister Schultz of the VVD said don't make a road sign. Now the VVD member asks whether that is enough. I ask the VVD Group to take a position. Does the VVD Group think that the government has carried out this VVD/SP motion properly, or does it think that this motion has not been properly implemented?
ParlaMint-NL_2016-03-30-tweedekamer-5.u86	I assume that Mr Omtzigt I know him well. He has clearly heard from me that I am not happy with the current situation and that I want more to happen. The motion makes it very clear that environmental zones must be stopped. I drove in Utrecht the other day, because I came from an area where there really was no public transport. I must have put a lot of stuff in my hybrid car, because you are in fact standing still all the time and that causes a lot of CO emissions. I want more to be done to carry out the motion. I don't want double taxation either. Hopefully the Secretary of State will take this concern away soon.
ParlaMint-NL_2016-03-30-tweedekamer-5.u87	There has been a clear answer. Ms Neppérus continued her speech.
ParlaMint-NL_2016-03-30-tweedekamer-5.u88	If you think it's clear, Mr. Chairman.
ParlaMint-NL_2016-03-30-tweedekamer-5.u89	Whether that's enough for you is different, but I wasn't talking about that either.
ParlaMint-NL_2016-03-30-tweedekamer-5.u90	Apparently other colleagues find questions about environmental zones somewhat uncomfortable, but I do not want double counting. I also assume that the Secretary of State will undertake to do so. Looking at the whole thing there is a good Autoletter, which we as a group are happy with, because driving the Netherlands is finally going to pay less. That is essential for us.
ParlaMint-NL_2016-03-30-tweedekamer-5.u91	I hear too often that driving the Netherlands will pay less. This Secretary of State says 90% is progressing. However, this is a very important assumption, namely that CO emissions are decreasing by 3.7% a year. Many manufacturers in the field say that this is impossible for certain economical cars. They're already on such an economical tax; they'll never make it 3.7% a year. Does Mrs Neppérus agree with me that the small, economical cars that do not achieve the 3.7% reduction in this proposal are going to be more expensive and that the large, polluting containers, which still have a lot of room in the technology to achieve this saving, are going to be cheaper? Doesn't Mrs Neppérus think that this bill is counterproductive?
ParlaMint-NL_2016-03-30-tweedekamer-5.u92	The answer is no. I understand from the industry I am a car driver of a hybrid car but not even a car manufacturer that it can have that effect and that CO emissions have fallen enormously in recent years. Let us be clear that all the explorations show that there is much less emissions. I assume that will continue, but I also assume that the Secretary of State will keep us informed about it.
ParlaMint-NL_2016-03-30-tweedekamer-5.u93	That 3.7% is an average. If such an enormous slurper gets 10%, they don't have to continue with CO reduction in those little cars. Does Mrs Neppérus agree with me that we should have an evaluation earlier than we have been announced today, I believe, so that we can avoid that counter-effect that I just outlined and we can adjust it on time?
ParlaMint-NL_2016-03-30-tweedekamer-5.u94	I do not expect that effect, but it seems to me to be a good thing to be regularly informed.
ParlaMint-NL_2016-03-30-tweedekamer-5.u95	Mr. Chairman. I've heard a lot of colleagues here talking about a Porsch Cayenne. I find that very strange, because the brand "Porsch" does not exist; it is called "PorschE." I don't call Mr. Pechtold "Pechtol" either, do I? Let's just keep it on PorschE, please. It's a Porsche Cayenne. Porsche is a German family name and you just pronounce the "e." I am pleased with the draft legislative proposal before us on the preparation of Autoletter II. This is mainly due to the fact that the objectives of the legislative proposal are the simplification of tax legislation and that tax revenues could become more robust. The questions I have left with this proposal are in particular in line with the comments of the Council of State. First of all, I am pleased that 100% of the revenue from the proposal is being redirected to the car driver and owner. Absolutely right! It is quite good that the whole proposal can remain budgetaryly neutral in this way. The three objectives of this bill are to drive climate gains more efficiently, to make tax revenues more robust and to simplify car taxes. Personally, I would have preferred a different order. In my view, the first point on climate gains would have been point three. After all, as an opponent of the instrumental function of taxation, I believe that taxes are not meant to stimulate behaviour but to finance public services. With regard to making tax revenues more robust, the Council of State says that tax incentives are being reduced to make those revenues more robust, while, through a storage in the vehicle tax for older diesels, the tax base remains partly based on the level of emissions. If it becomes apparent that this measure causes behavior which causes older diesels to be exported massively to Africa, the tax revenue will therefore also decrease in the Netherlands. How is this taken into account in the State Secretary's revenue estimates? There is, in fact, a communication keg somewhere between the abolition of exceptions to standard tariffs on the one hand and the inventing of new exceptions on the other. In addition, the Council of State says that the simplification of car taxes, looking at the implementation tests of the Tax Administration itself, is apparently not very well served by this proposal. This has mainly to do with an addition cut in income tax, with the motor vehicle tax storage for older diesels and with the separate tariff table for the maleized plug-in hybrids. More importantly, I think the Council of State's remark that the other measures have no impact on complexity. If you add one and one together, the result is that, on balance, there is no simplification, but perhaps even an increase in complexity on balance. I would like to receive a further explanation from the Secretary of State. How can he defend the view that car taxes as a whole are, on balance, made easier by this proposal? Does simplification also apply to the Tax Administration itself? For example, after the introduction of this proposal, could FTEs be released for other tasks, such as vertical book checks? I come back to LPG, which is not really mentioned anywhere in this proposal. I remember very well that in my early years the LPG tank in the car was on the rise and that it took place mainly in the Netherlands. In recent years, however, I have clearly seen a turnaround. Lpg is somehow "out." According to industry figures, this year alone, the number of cars sold with an LPG installation fell by about three quarters. When you look at the system of car taxes as a whole, the Secretary of State says that LPG still benefits from it compared to petrol or diesel. If that is the case, I would ask the Secretary of State why there is less and less driving on LPG when development is not stopped there either, as witnessed by the new types of plant, such as the G3 and now the R115. I would like to get a response, because I am considering tabling a motion on this point in the second term. Without wishing to stimulate any particular behavioural incentives, i.e. no reduction in a type of fuel such as LPG, there should be a level playing field between the various fuels. Why should the phasing out of the tax facilities for plug-in hybrids go so slowly? Why not simplify and enhance the robustness of the system by aligning this line with new plug-in hybrids as of 1 January 2017? Finally, there is another question about the full electric cars......................................................................................................................................................................................................................................................... At present, the Tesla brand has practically the exclusive right in that market. This favours the Californian producer and owner of this brand through tax facilities in the Netherlands. I think that's completely ridiculous. Does the Secretary of State have an overview of the market development of fully electric cars up to €50,000 in the next few years? Is there really anything to choose with a usable range of action? And if so, will we not be faced with a disappointing tax return again? Mr Omtzigt also said it: you are making a lot of fun in comparison to everything else, so there is a movement to see towards these kinds of cars immediately. In short, I support the main thrust of the proposal before us, but I would like to answer my questions about the simplicity and robustness of the yield, as the Council of State has also pointed out.
ParlaMint-NL_2016-03-30-tweedekamer-5.u96	Mr. Chairman. Thank you to the Secretary of State for the speedy elaboration of the legislative proposal after a long and sometimes emotional debate. It may be clear: the Labour Party supports this new law on car taxes. With this bill, the car tax becomes fairer, simpler and better focused on real environmental gains. The long-term erosion of tax revenues comes to an end and yet driving is cheaper for by far the majority of people. The road tax and the purchase tax are going down, there will be a new tax on polluting diesels and most importantly, as far as we are concerned: we are fully committed to tax incentives for full electric driving.
ParlaMint-NL_2016-03-30-tweedekamer-5.u97	I understand that it was an emotional debate for Mr Groot, because I assume he was getting tears in his eyes when he saw the environmental impact of this bill. 10% dirtier cars, 22% new dirtier cars in the lease. How can Mr Groot say that he is going to support this when we hear from his colleague Jan Vos at the same time that the car is the new cigarette and I do not know what it is? Mr Groot is making that cigarette here today just dirtier and cheaper.
ParlaMint-NL_2016-03-30-tweedekamer-5.u98	We are fully committed to the technique of the future, so full electric driving. That's why we're getting everything out of the closet. We encourage this even more than what, for example, an organisation like Nature & Environment advocated. He wanted a 7% add-on, we wanted a 4% add-on. At the same time, however, we are sensitive to the analyses of, for example, the General Court and the OECD that the cost per avoided tonne of CO increased to €3,000.
ParlaMint-NL_2016-03-30-tweedekamer-5.u99	That's not an answer to my question.
ParlaMint-NL_2016-03-30-tweedekamer-5.u100	So you can continue to make full use of the subsidies for all kinds of cars, but if that means that all these tax subsidies are leaking out abroad, you will not get much of a deal out of it.
ParlaMint-NL_2016-03-30-tweedekamer-5.u101	This was apparently the rehearsed answer, but the essence is that it was not an answer to my question. Is it true or isn't it true that new cars are getting 10% dirtyer? Is it true or isn't it true that new lease cars are getting 22% dirtyer? Is it true or is it not true that the Porsche Cayenne will be cheaper for an individual? And is it true or is it not true that, where there would ever be 200,000 electric cars, there would be 100,000 less as a result of this bill? Four times a clear "yes" is mine.
ParlaMint-NL_2016-03-30-tweedekamer-5.u102	The number of electric cars is developing much faster than even TNO expected, so the penetration of these new cars is going very well. The bpm's going down. This has an understandable cause, because the Secretary of State has convincingly argued that the BPM is increasingly being eroded by semi-illegal imports or exports of cars. So yes, the cars are getting cheaper across the board. The Mercedes 500 will also be cheaper. But in proportion, economical cars become even cheaper.
ParlaMint-NL_2016-03-30-tweedekamer-5.u103	With respect, this was not an answer to my question. Is it true that new cars are getting 10% dirtyer, that new lease cars are getting 22% dirtyer and is it true that there are 100,000 fewer electric cars according to TNO? Mr Groot has a very long answer, but it is about that question. Can I just answer my question?
ParlaMint-NL_2016-03-30-tweedekamer-5.u104	You have made your point, but Mr Groot is talking about his answer. I give the floor to Mrs Van Tongeren.
ParlaMint-NL_2016-03-30-tweedekamer-5.u105	I sympathise with Mr Groot. We find the PvdA on a change of the Netherlands often on our side. We also support, of course, Mr Vos' motion, which has just been mentioned, to seek only emissions-free cars by 2025. Now Mr Groot has to defend this letter here tonight. That must be quite a complicated task. I would nevertheless like to look at the objectives set out in the energy agreement. Like GroenLinks, the PvdA is committed to implementing the energy agreement. If I look at the figures provided by the Secretary of State himself, this cabinet expected, with its original policy, that there would be about 180,000 hybrid and electric cars by 2020. With the Car Letter that's in front of us, this goes down to about 100,000. So that's going very, very wrong. The PvdA agrees with me that if you want to reach 200,000, the cabinet should not set its policy so that it reaches 100,000.
ParlaMint-NL_2016-03-30-tweedekamer-5.u106	If we know one thing about the car market in recent years, it is that financial incentives work very strongly and that surprises all the people who make estimates. We have seen in the note on the report that the number of electric and semi-electric cars in the first quarter is already above 90 000. According to TNO, that level was not foreseen until the end of this year. So we're way ahead of schedule. We are in favour of the very powerful stimulation of fully electric cars. There are many new affordable models on the market. We think this new technology is going to fly and we're going to get these numbers.
ParlaMint-NL_2016-03-30-tweedekamer-5.u107	We will soon hear from the Secretary of State whether he also thinks that the figures he himself gave to the Chamber are incorrect and that they should be raised by 100%. Instead of what he writes, namely that this policy will be 100,000 by 2020, it should be 200,000. When we hear that, I'm very happy. But suppose we don't hear that, do we find the PvdA on the side of the parties that say: then you will have to pull a little more out of the box to achieve that number? If you want to grow to 1,000,000 by 2025, you must have achieved your first goal by 2020. Doesn't the PvdA agree with me?
ParlaMint-NL_2016-03-30-tweedekamer-5.u108	What if... we're not there yet? I can now see that we have opted in this Car Letter for a powerful stimulation of fully electric cars. There are a lot of new models on the market. That market is really going to fly. If you're asking me what the real bottlenecks are, you should look for them in the charging infrastructure, the number of charging posts. I think it's much more important to support that. I tabled a motion on that last year.
ParlaMint-NL_2016-03-30-tweedekamer-5.u109	Mrs. Van Tongeren, one last sentence.
ParlaMint-NL_2016-03-30-tweedekamer-5.u110	Then why did the PvdA vote against my motion to extend the green deal loading posts further, if it is to be sought mainly in the loading pole infrastructure?
ParlaMint-NL_2016-03-30-tweedekamer-5.u111	I don't know this motion specifically. Maybe I should've known that one. I know I filed a motion last year. They also mentioned incentives to purchase plug-in hybrids for private individuals. The emphasis in that motion was in supporting the construction of an electric charging infrastructure. I will continue my speech. It was high time for this new law, because the current car taxes are a classic example of how the road to hell is paved with good intentions. What we have now, no one's happy. Many hundreds of millions of tax subsidies have been leaked to expensive plug-in hybrids, which in practice are often not economical at all because they mostly run on petrol. One car factory alone went to 200 million euros. Because of this tax overstimulation, there are almost as many plug-in hybrids in the Netherlands as in Germany and France together. That tax bonanza is coming to an end now. Another problem was the opaque forest of addition rates, bpm discs and mrb discounts. I've been talking to the car dealership a lot lately. The image that emerged from that is that of a tax lottery. The car that is just below a certain CO limit cannot be towed, while cars that fall just above the line are no longer sold at all. Then you can no longer speak of a healthy market. The treasury is the great loser of this tax lottery, and the environment, why it's all to do, is barely winner. If the cost per avoided tonne of CO goes up to €3,000, then cost-effectiveness is far to be desired. A large part of our tax subsidies leaked abroad, the so-called waterbed effect. Institutes such as TNO, the OECD and the Planning Office for the Environment have rightly criticised this. Instead of tax subsidies leaking abroad, we are opting for an accelerated energy transition in our own country. We choose radically and for a long time to stimulate fully emission-free cars, because that is a real energy transition and the technology of the future. I have a few more questions about this car bill. There will be a new storage in the vehicle tax for old diesels without a soot filter in 2019. Is that really supposed to take that long? Mr Bashir has already asked for this. What problems do previous imports stand in the way? Couldn't that be possible in 2018? Could the cabinet support this, in view of the increasing understanding of the harmfulness of particulate matter to health? In an earlier debate we received a long list of the many exemptions for the MRB and bpm. In a general discussion, I said earlier that it would not seem productive for the Chamber to hold a separate debate on each regulation. I have therefore asked whether the cabinet itself can propose simplification on the basis of a concise cost-benefit analysis per scheme. Is the objective of the tax facility still in place and are the costs proportionate to that objective? That's a promise. What about this and can we expect such a proposal in the 2017 Tax Plan?
ParlaMint-NL_2016-03-30-tweedekamer-5.u112	Mr Van Weyenberg has a question on an earlier point.
ParlaMint-NL_2016-03-30-tweedekamer-5.u113	I get the impression that Mr Groot is thinking: let me make a lot of speed so that this is over quickly, because I am defending a very painful tour. After Mr Vos's fine words, this is a serious blow to Mr Groot; I understand that. He was just very proud of the growth of the number of electric cars, but there was an anticipation effect to see. Because the government would make it less attractive, people have made quick use of the old arrangements. This has nothing to do with the success of the old policy. I have another question. Is it true that there are 100,000 fewer plug-ins and 1,000 more electric cars due to this letter? And is it true that the new emissions of these cars make it 10% dirtyer in the Netherlands? Mr Groot refused to answer that question in an earlier round. He plays the story here that it's all so green, but just let him answer the questions. Is it true that new cars are going to emit 10% more CO with this bill? Just yes or no.
ParlaMint-NL_2016-03-30-tweedekamer-5.u114	Our firm expectation is that the full electric car will break down in the coming years because there will be a lot of manufacturers. Tax policy is designed to accommodate this breakthrough. That is where the great growth will take place. We simplified the rest of the car taxes and made them a little more reasonable. We have also made sure that less subsidy is leaking abroad. That seems to me to be a more rational system, with, in the long term, a uniform addition rate of 22.
ParlaMint-NL_2016-03-30-tweedekamer-5.u115	It's starting to bother me. I know that Mr Groot is talking about his own answers, but I am asking a very specific question. I'm gonna do that for the fourth time, and I don't want to hear that electric cars are doing so well. This letter will add 1,000. That is light years away from the fine words of colleague Jan Vos of the Labour Party. Why is Mr Groot not honest and doesn't he just say: this law has been passed by TNO and new cars become 10% more polluting? That's what's in TNO's wire transfer. Why doesn't Mr Groot want to acknowledge that? I understand it's painful. I understand that the Labour Party apparently simply signed up for this. But at least be honest about it.
ParlaMint-NL_2016-03-30-tweedekamer-5.u116	According to the same TNO bill, we would not reach 90,000 electric cars until the end of this year. We're at that level already. I say to Mr Van Weyenberg: the breakthrough of fully electric cars is imminent. A lot of new models are coming into the market. We will see a huge increase in fully electric cars on the market in the coming years. We are encouraging this very strongly in fiscal terms.
ParlaMint-NL_2016-03-30-tweedekamer-5.u117	Mr Van Weyenberg, of course, has a point. The proposal now before us is going very far on the business side. Especially the more polluting cars get more benefits. We have now put forward an alternative, in which the lease driver gets less tax relief, he still gets less tax relief, but less tax relief, and we use the advantage to give the private market something back. Can the PvdA Group support our proposal?
ParlaMint-NL_2016-03-30-tweedekamer-5.u118	Does Mr Bashir mean the proposal to increase the add-on rate to 23? Firstly, the addition rate is already rising considerably. If you look at what has actually been paid in addition over the past few years, you can see that half of the cars had an addition rate of 14. The industry wanted 20% and it has turned 22%. So we have achieved a significant increase in this. That's reasonable. It was once 25%, as Mr Bashir said. There have been some developments that may give cause to think that percentage is too high. One must remember, then, that cars have become more economical and thus fuel costs have been reduced and cars last longer, reducing depreciation. That justifies a slightly lower add-on rate. The Secretary of State does address this issue in the note on the basis of the report, but I have not yet seen very well whether that percentage of 22% is exactly appropriate and whether there is still room to increase it. I would like to hear that from the Secretary of State when he gives an opinion on Mr Bashir's amendment.
ParlaMint-NL_2016-03-30-tweedekamer-5.u119	We propose not to increase the add-on, but to reduce the add-on and use the revenue for the private market. I would point out, however, that the addition can never be higher than the car costs that the entrepreneur may deduct. The entrepreneur thus always benefits from the lease car, because if the addition is higher than the cost for the lease driver, it will be corrected to the maximum amount of the costs. Also in our proposal, the entrepreneur who drives economically and uses little of the car will not go backwards. I would be pleased if Mr Groot could see the proposals he has just made all being endorsed in the Upper House. That's why he needs us. I would say: look very carefully at our proposal, because with it we are going to really support greening.
ParlaMint-NL_2016-03-30-tweedekamer-5.u120	We will certainly take a good look at that proposal, but I would also like to have some support for that 22-year add-on rate. It seemed reasonable to me at first sight. I would like to stress once again: Mr Bashir says that the addition rate is going down, but it is going up effectively in this letter, because most of the cars that were leased were in an addition rate of 0, 7 and, in many cases, 14. That has already been raised in 2016 and we are now going to increase it to 22%. That is an effective increase and not a decrease.
ParlaMint-NL_2016-03-30-tweedekamer-5.u121	I'm a little annoyed by those fine words about an emission-free transition, which the PvdA is such a supporter of. A motion was even adopted yesterday which states that by 2025 we will have to drive non-emission cars with electric cars. Does Mr Groot know that the electricity from these electric cars comes from a nuclear power station or does he have a magic wand with which he suddenly draws out electricity? Does Mr Groot know that such an energy company uses a lot of fossil fuel? It may not come from the exhaust of the car, but it does come from the fact that 30 additional power plants are needed, it comes from those big pipes near Rotterdam.
ParlaMint-NL_2016-03-30-tweedekamer-5.u122	We are having a debate today on car taxes and we are not having an energy debate. It is clear that there is a way to go when it comes to more environmentally friendly energy generation.
ParlaMint-NL_2016-03-30-tweedekamer-5.u123	There is certainly a way to go, but what matters to me is that the people are being fooled into thinking that an electric car is so green and so fantastic. That energy, however, comes from power plants. I have read several studies today which show that an electric car, if you like a Tesla, is as polluting as a Volvo S60 Diesel. Mr Groot preaches to the people that everyone has to go electric, but he actually says: we all have to drive a Volvo S60 Diesel. That's what he's saying, and that's what he's encouraging with the package of lower addition, exemptions, mrb, etc. That doesn't help the environment, but it does help the CEOs of Mrs Van Tongeren. The environment is not getting any better.
ParlaMint-NL_2016-03-30-tweedekamer-5.u124	I believe that there is a consensus among all the experts that the transition to electric driving will bring significant environmental benefits. This environmental gain will increase as energy generation becomes more sustainable. Comments were made on LPG. Mr Van Vliet also spoke about it. In earlier AO's, I've also drawn attention to it. The number of LPG cars is falling so fast that, if we are not careful, this relatively clean energy will disappear at the pumping stations. I read in the note following the report that the load on LPG per kilometre driven is low, even lower than on electricity. I have the same question as Mr Van Vliet. How does the Secretary of State explain that the number of LPG drivers is falling so quickly? Is that perhaps due to the amount of fuel surcharge that LPG drivers have to pay? Can the Secretary of State say where the turning point for LPG drivers is? From what number of kilometres does it become more attractive to drive LPG? If the turning point is too high, doesn't that give rise to a reduction in the fuel surcharge? I have a question about Volkswagen's scams software. It seems to have also occurred to a small extent in the case of CO emissions. The Secretary of State states in the note following the report that he will have more clarity at the end of this month about the tax advantages that Volkswagen may have wrongly received. Does the Secretary of State know the latest news about this? Finally, the electrical charging infrastructure. The cabinet is fully committed to electric cars, and that is what we think is right. We see that the car industry is responding to this, because new affordable models are coming onto the market. The real big bottleneck is then sufficient loading posts. What is the situation with regard to the implementation of the motion I tabled on this point last year? So much for my questions. However, as far as my group is concerned, this car tax law is a major step forward. Fair, simple and with less resources more environmental benefits, thanks to an unambiguous commitment to zero-emission driving in the future.
ParlaMint-NL_2016-03-30-tweedekamer-5.u125	Yeah, and 10% dirtier new cars. I have a question about something on which great profits have been made. I have here the consequences of this law for the addition. I'm assuming you lease a car for five years. A person who drives a Peugeot 308 gets an addition that is about €150 per year higher. He will therefore pay €750 more thanks to Mr Groot. Someone who leases a Mercedes S500 has a total of €25,000 less addition in that same period. Someone who drives a Porsche Cayenne also has €25,000 less addition. If you think: well, I'll only take an Audi Q5, you'll still get about $12,500 on it. But not in that Peugeot, not in a small car. Then you will pay more Mr Groot will have to explain to me exactly what is social democratic about it.
ParlaMint-NL_2016-03-30-tweedekamer-5.u126	All cars are getting cheaper across the board. Small, economical cars become relatively more attractive. Of course the bpm will be finished. That's a slow process. If you reduce the bpm percentage, expensive cars benefit more from that than small cars.
ParlaMint-NL_2016-03-30-tweedekamer-5.u127	I was talking about the add-on.
ParlaMint-NL_2016-03-30-tweedekamer-5.u128	In addition, a gradual increase to a general rate of 22 was chosen. That is the simplification agenda. All cars tax the road and everyone has to pay for it.
ParlaMint-NL_2016-03-30-tweedekamer-5.u129	It is clear when we complete the question and answer.
ParlaMint-NL_2016-03-30-tweedekamer-5.u130	I thought Mr Groot was ready. Everyone has to pay a bit, but it's clear: if you drive a Porsche Cayenne, you will get €25,000 less tax in a lease period thanks to Mr Groot. If you drive a Peugeot 308, it is €750 more. If those are the principles of the PvdA, they really are in the dirt.
ParlaMint-NL_2016-03-30-tweedekamer-5.u131	Driving is becoming cheaper for 90% of people and I also insist that it is particularly attractive to drive economical and cheap cars.
ParlaMint-NL_2016-03-30-tweedekamer-5.u132	Mr. Chairman. Already in the previous discussion of the cabinet's plans in the Autobrief, my group made no secret that we are not a fan of this letter. I then called it a dirty letter, a polluting letter, a letter that leads to fewer electric cars in total. That is going to be 100,000 less, and Mrs Van Tongeren was right to ask about its impact on the objectives of the energy agreement. The new cars that are being sold are also getting 10% dirtyer when it comes to CO emissions. Mr Groot can claim that this letter is very good at high and low and with tears in his eyes, but the figures in the TNO account do not lie. The number of heavily polluting cars is also increasing, if only because, for example, the Peugeot 308 is being taxed more heavily through the addition and some very expensive cars are being reduced. The result is that, as far as my group is concerned, the Letter of Cars is going crazy and is a step backwards in terms of sustainability and fairer taxation. It is clear that my group wants to pay towards use in the end. From this year on, the cabinet will be involved, although it has no ambition in this area. We've been talking for three months, and I'm curious to hear if anything has come out of that conversation. Every time, the Secretary of State says: "Yes, yes, but we have source policy. We have source policy! It's a waterbed. So what I'm doing here doesn't really matter, because other countries sell a dirtier car when a cleaner one is sold in the Netherlands." If we had used this argument about environmental and climate policy and if the Labour Party had used it, we would never have taken one step there. The question now is how ambitiously we will be able to strengthen these targets in the coming period. The Secretary of State has high expectations and I therefore ask him what the exact Dutch commitment is and how it actually works in Europe. What does the Secretary of State think of the fact that diesel gate showed that cars do not meet the NO emission standard at all? However, the manufacturers of these cars have simply been rewarded by Europe for that bad behaviour, because that famous source policy now simply allows them to keep up with those higher than actual emissions for much longer. Is that supposed to make me trust you? The second point I would like to raise is the very old polluting diesels, which should actually be removed from the road as soon as possible. Those cars are gonna blow out 30 to 100 times more. Now there will be a surcharge on the vehicle tax, but it can only start from 2019. I regret that, and I believe that many colleagues do that to me. The Secretary of State claims that the systems of the Tax Administration really cannot do anything else, and I think it is good that he confirms that again in this Chamber today. If he says that, I believe him, but I regret it very much, I would like to have said it here, because we have to wait a very long time now. Motorists, who are in possession of a very old diesel car that emits a lot of non-clean air, have to pay a surcharge. This surcharge of €5.17 per month is much higher for people with a private car than for people with a business van. Does the Secretary of State agree with me that this is a very limited incentive to replace that dirty diesel van? Wouldn't it be better to bring it more into line with the way people who have such an old diesel car are treated? Is the Secretary of State prepared to show a little more ambition there? I am considering tabling an amendment on this. In addition, of course, D66 wants to promote the transition to zero-emission driving: the sooner, the better. We are still waiting for the great motion to be drawn up on the Formula E team, the only point on which Mr Groot and I can agree in this debate. The purpose of this motion is to ensure that electric driving is also accessible to a private car driver. We would have liked to have seen this in conjunction. Now is always one of the defense lines of the cabinet and of PvdA and VVD: yes, but we are going to do things in that. But what that is, we do not have here at all. So my group cannot judge that either. In particular, my group is concerned about hybrid exports. They are heavily fiscally stimulated at first; that is true. Maybe they're too much of an incentive, too. Steps have been taken back before. Those hybrids are gonna be out of the lease soon. The Secretary of State then says: no, they are not yet exported to other countries; and if they do, well, then it is also good for the European climate. I have two problems with that. Firstly, in addition to CO emissions targets, there are simply clean air targets, the fact that we want to do something about, for example, the dirty air in our cities. In view of this, I would be very happy if those hybrids would continue to drive in the Netherlands. Secondly, the Secretary of State says that exports are not as fast as they are. No, you get the cuckoo, 'cause they're not out of the lease yet. However, this is increasingly happening in the coming years. I have given up hoping to change the mind of the Secretary of State and the coalition with amendments, but I do have a request, and I am considering a motion on this. Is the Secretary of State prepared to monitor every six months from now what happens to the hybrids that come out of the lease? Then we can see very well whether they stay or are exported in the Netherlands. By the way, if it turns out that they are mostly exported, the cabinet should, as far as I am concerned, take a very close look at whether it does not want to remain on the half-rate instead of going to the three-quarter rate from 2019. Is the Secretary of State prepared to increase that monitoring for that purpose? I think it is relevant whether these hybrids are exported. When it comes to the transition to zero-emission driving, of course you should not look at one technique. That is why I too have concerns about the differences in technology between hydrogen cars and electric cars. That is not the philosophy of this Secretary of State. There has been hard lobbying by the car industry towards Tesla, a major competitor. It must be a coincidence that the hydrogen car is being developed by Toyota.
ParlaMint-NL_2016-03-30-tweedekamer-5.u133	Mr Groot has a question for you.
ParlaMint-NL_2016-03-30-tweedekamer-5.u134	I have a question about the plug-in hybrids. Do I understand correctly that Mr Van Weyenberg wants to keep the plug-in hybrids in the Netherlands, which only wants to stimulate through the MRB and that he has abandoned his previous plan to grant purchase subsidies for the private sector?
ParlaMint-NL_2016-03-30-tweedekamer-5.u135	There are more roads that lead to Rome. The purchase subsidy is the expenditure side. If I had proposed something to that effect, Mr Groot would have started to talk about the separation between revenue and expenditure. I'm waiting with great interest. I asked for money to be released to do so, among other things. I hope that will be taken up in the drafting of Mr Groot's motion. I asked for this earlier in the debate.
ParlaMint-NL_2016-03-30-tweedekamer-5.u136	When those plug-in hybrids come out of the lease, they're usually five to six years old. At a normal depreciation rate you are expected to arrive at amounts that many individuals can afford to pay, or does Mr Van Weyenberg disagree with me?
ParlaMint-NL_2016-03-30-tweedekamer-5.u137	Well, that's gonna have to come out. I have concerns about that, especially in view of the cut-off in that disc that the cabinet is planning. In 2019 another piece of that will go off. I'm really worried about the affordability. Of course, you're buying a heavier car. Such a three-quarter rate is not because of the subsidy, but rather a compensation for the fact that these cars are heavier because of the battery alone. So I really think there's something to be said for that. I now refer to a tax measure. I am very curious as to what is going to happen on the expenditure side when Mr Groot's motion is drawn up. I have already mentioned, for example, the guarantee on batteries, also a point which may stand in the way of private individuals, or a purchase subsidy, for which we have already made proposals.
ParlaMint-NL_2016-03-30-tweedekamer-5.u138	In principle, Mr Groot, we are doing the interruptions in two, but you were very short. So I'm admitting a short third.
ParlaMint-NL_2016-03-30-tweedekamer-5.u139	So Mr Van Weyenberg says: there has already been a great deal of subsidy to the plug-ins; then we do a round subsidy over it?
