ParlaMint-NL_2016-05-18-tweedekamer-7.u1	I would like to welcome the Prime Minister and the Foreign Minister. I call Mr Voordewind.
ParlaMint-NL_2016-05-18-tweedekamer-7.u42	Mr Knops now calls the Minister for Foreign Affairs "sustainable." The Foreign Minister responded with exactly the same words as CDA Foreign Minister Maxime Verhagen when a colleague of ours, Geert Wilders, tried to show a film in a European country, in a Member State of the European Union. The only difference was that this Foreign Minister did so within a few hours and that Minister Maxime Verhagen, Mr Knops' party, needed two days to do so, when Mr Geert Wilders had long returned and England was not allowed to enter. That's the difference. If Mr Knops does not want to comment on Mrs Merkel's behaviour and on his own tweets, will he at least reflect on the behaviour of this foreign minister compared to that of his foreign minister?
ParlaMint-NL_2016-05-18-tweedekamer-7.u43	I have already indicated that I believe that the Foreign Minister should be clearer with regard to Turkey. The Foreign Minister knows this; I have said this in previous debates. This is not just about this issue. My reaction must also be seen in that context. It wasn't an incident. I have just indicated that there is a pattern in the events concerning Turkey. I see that flour is spoken in the mouth and that no clear language is used. It is not clear from the first moment that there will be very strong convictions. The ambassador was not summoned. The Foreign Minister said that Erdogan has a ceremonial function and that he is not being called. "A ceremonial function"? Excuse me? Mr Davutoğlu, the person with whom Prime Minister Rutte did call, can now get him out of his phone; he has disappeared from the scene, thanks to that ceremonial president. It's about something. As a parliament, we are entitled to ask how it could not be clarified quickly and that there was no strong condemnation, other than 'we regret it'? I've responded to that.
ParlaMint-NL_2016-05-18-tweedekamer-7.u44	I am sorry as hairs on my head of my first interruption, because if this is a compliment, it is quite a small, lean compliment, to be honest. You complimented me, but then you said that it was actually all wrong, that it didn't make any sense, that the minister did nothing and that the rulers did something too late. They did what they had to do. They made sure that Mrs Umar finally came back to the Netherlands; point. So there is no reason for all these ifs and buts, which you come with endlessly. That's not a compliment, at least not in my view.
ParlaMint-NL_2016-05-18-tweedekamer-7.u45	Mrs. Maij might have expected something else. I have also complimented you, but allow me to be critical of matters which are also related to the Umar case and which are broader. I have also made comments on this. Mrs Maij is now only projecting this on the Umar issue. I said that: congratulations for the result. But there is much more with Turkey, unfortunately.
ParlaMint-NL_2016-05-18-tweedekamer-7.u46	In Mr Knops's questions on 26 April, he indicated that this government should be firm and strong, should call and call people on the mat on Mrs Umar's case. In my view, the rulers have done so in the most effective way. That is not Mr Knops' way of doing this, I think he would not have taken a step forward, but rather the way of silent diplomacy. Mrs Umar has indeed come back with this. For that, a compliment is appropriate; for that, not all the terms and conditions that Mr Knops puts in place do not fit.
ParlaMint-NL_2016-05-18-tweedekamer-7.u47	Perhaps quiet diplomacy also needs a lot of power from Parliament; perhaps it will work even more effectively. Each plays its own role. I understand the coalition is playing its part here, and that's fine. But I play my part here and I do it with conviction. The question is for the Foreign Minister to answer the reasons why Umar was suddenly allowed to leave Turkey. Has the Netherlands made any concessions to Turkey? How'd all that go? The letters that have been sent about this are rather shallow. Perhaps the Minister or the Prime Minister can say more about this. What we are talking about here is that everything is connected. The Prime Minister reacted very agitated when a connection was made with the Turkey deal and the reaction to what is happening in Turkey. If you look at the situation there, by a number of colleagues, that is also said. Erdogan has made statements about democracy and the rule of law, namely that they no longer have any meaning. He mentioned Hitler-Germany as an example of effective governance. Stand on it! I think that when this EU-Turkey deal comes into force, a lot of Turks will come this way. The Secretary of State for Justice has already said something about this this morning. Does the cabinet have any idea what effect it's going to have? After the migration deal Erdogan became increasingly assertive across Turkish borders. Think of the persecution of Bömermann, but also of the click line in the Netherlands. The cabinet mainly expresses its concerns, but we all have those concerns. The question is, however, what is the cabinet going to do next? The Chamber previously called on the cabinet to move to increase the pressure. The opposite happened: the EU and this cabinet were put under pressure by the EU-Turkey deal. I would like to underline one more point made by Mr Van Bommel. In 2014 the Minister for Social Affairs took a firm tone against Turkish organisations in the Netherlands. It is known that many mosques and dome associations are under the direct influence of the Turkish State. The Minister called for greater transparency. What is the situation at the moment, so I ask the Prime Minister? Finally, I come to the problem of double nationality. Ebru Umar has indicated that he intends to withdraw from Turkish nationality. However, Turkish Dutch people who wish to surrender their Turkish passport run into problems. Is the cabinet prepared to urge Turkey to relax the procedure for this?
ParlaMint-NL_2016-05-18-tweedekamer-7.u48	Mr. Chairman. Last week we saw what the Foreign Minister, the Prime Minister and the diplomatic service were fighting for each other. Mrs Umar is back in the Netherlands, thanks to effective, silent diplomacy, as I have just said to Mr Knops. That diplomacy works better than the megaphone diplomacy of calling and shouting, despite the fact that this was requested in the Chamber. It all sounds very good, but the hard work of the diplomats and these rulers has been successful. The PvdA stands for Mrs Umar's freedom to say and find everything, even if we do not always agree with her in substance. Underlying, however, there seems to be a problem with the people who have turned her in and who are apparently threatening her now. I am also looking at my colleague, who is experiencing the same thing. The number of incidents is worrying and brings uncomfortable feelings inside and outside the Turkish community in the Netherlands. We stand for our modern European values. We must build a bridge to the Turkish-Dutch community, but also between the different groups in that community, so that it does not become more divided in our country. There's a need for conversations. Then I come to the situation in Turkey. The arrest of columnist Umar is part of a series of events in Turkey, which further restricts freedom of expression. Many of my colleagues have already referred to this. Recently, there was again the sad example of Cumhuriyet's journalists, including the lead editor, who were sentenced to five years in prison for doing their job. Publicly this is called: because of espionage and overthrow of the government. As has already been mentioned, Turkey is now in the beautiful 151st place of the international index for freedom of the press by Reporters Without Borders. That is an extremely worrying development. How does the government support the freedom of the press in Turkey by the people who like to stand for it? For the talks with Turkey on democratisation and the rule of law, of which freedom of the press and freedom of expression are an integral part, are not taken off the ground. As part of Turkey's status as a candidate for EU membership, it should, of course, be. For this reason, the PvdA continues to advocate the opening of chapters 23 and 24 on democratisation and the rule of law and for the real start of talks with Turkey on these issues. These should be less non-binding. What's the government's position on this? What are the Netherlands and the EU doing to stop and start these negative developments? The PvdA believes that, now that there are problems in Turkey, this should never be a reason not to agree with that country on other issues, such as the urgent refugee issue. There are still millions of refugees in Turkey who need support and protection. We do not leave those people in Turkey who do want progress in the cold. Wherever possible, we must continue to support these positive forces. That will also be more than necessary in the near future. Is that what the government does? And how can the government possibly do that together with the European Union, the European Commission? Finally, I would like to comment on another point. Mr Van Bommel mentioned the situation in south-east Turkey. There are signs that the Turkish army is using violent force there, as is the case with the PKK. The UN High Commissioner for Human Rights wants to investigate whether violations of humanitarian law have taken place. However, access to the region and information are still insufficient. It is clear that tens of thousands and even hundreds of thousands of people in Turkey, in their own country, are fleeing the violence. Does the government know more about the investigation? How can this investigation take shape? Reference has already been made to the attempts to deprive HDP MPs of parliamentary immunity due to alleged acts of terrorism. What is the latest state of play on this matter? What is the Netherlands as EU President aware of the situation in Cizre and developments in the south-east of Turkey? This is all very worrying.
ParlaMint-NL_2016-05-18-tweedekamer-7.u49	I still have a short question. Perhaps I missed it, but I noticed that Mrs Maij had made a very clear statement in the media about the possible extradition of Mrs Umar to Turkey. In this Chamber, however, I have heard no comment from her or a question from the cabinet. Does she still support that remark? Under no circumstances can Ebru Umar be extradited?
ParlaMint-NL_2016-05-18-tweedekamer-7.u50	I believe that I have said that it seems unimaginable to me, and that still seems unimaginable to me. Mr Sjoerdsma has been a diplomat like me. So he knows how exchange treaties work. He also knows what the terms of exchange agreements are. In that context, I think it is impossible for this to happen.
ParlaMint-NL_2016-05-18-tweedekamer-7.u51	Yeah, "unexistent." It's a bit of a judgment. Mrs. Maij wouldn't believe it's happening. I would not believe that either, but my question is what Mrs Maij is asking the cabinet to do. Does she summon the cabinet to never extradite? Or was it just a judgment that she gave in the press but which the cabinet actually doesn't have to do anything with? I would hope that she would now also instruct the cabinet.
ParlaMint-NL_2016-05-18-tweedekamer-7.u52	Perhaps Mr Sjoerdsma will be able to read the article properly again. Then he can read that it contains exactly what I have said now, namely that it is about the exchange agreements and the conditions that apply to them, and that it seems to me impossible to exist. That was the quote.
ParlaMint-NL_2016-05-18-tweedekamer-7.u53	Mr. Chairman. First of all, welcome back, Ebru Umar! I sincerely hope, for her but also for ourselves, that she will quickly get out of the reach of Erdogan's long arm. After all, Ebru Umar is back in the Netherlands, but unfortunately she is not yet at large. She has to stay in a secret place because Erdogan followers are after her. She's under threat. There was a break-in with her, where an uneducated hand scribbled words on the wall. Ordinary burglars don't do that; this burglary was pure harassment. Of course, I don't know who ordered that intimidation. What I do know is that the Turkish state intimidates critics in Turkey, but also abroad. The Turkish consulate in the Netherlands, which called for all critical comments about Erdogan, is an example of this. There is no misunderstanding: the Turkish state is interfering with our freedom of expression and he can do so because the Netherlands and the EU want something from Turkey. Belgian Turks are not surprised at setting a click line. They know that Erdogan abroad is increasingly applying the practices with which he creates fear in his own country among opponents of his policy. In Belgium Internet spies are active that search websites in search of critical reports about the Turkish regime. Critics are listed as enemies of the state and later intimidated. In Belgium there is a black list with hundreds of names of Belgian Turks criticizing Erdogan, the Flemish newspaper De Morgen revealed on 26 April. Those people are not allowed in Turkey anymore. Family visits are therefore no longer possible. During oral Question Time on 26 April, there was already talk about the arrest of Ebru Umar. I then asked the Minister about the existence of a blacklist of Dutch Turks, with Turks who are critical or were critical of Erdogan's policy. That click line of the Turkish consulate can of course be a first step towards a similar blacklist of critical Dutch Turks. Can the Minister clarify that? Why should Turkish spies operate differently in the Netherlands than in Belgium? In a month and a half we find ourselves in the bizarre situation that Turks can travel visa-free to the Netherlands, as long as they do not criticize Erdogan. But Belgian, and perhaps Dutch and German Turks who are critical of Erdogan or his AK party, are no longer allowed in Turkey. Do we want to conclude visa agreements with such a country? I'd like a response. On 26 April the minister was not yet aware of the Belgian blacklist of critics of Erdogan. In the meantime, he has had time to look into this. That is why I have four more questions for the Minister. Firstly, is there a black list of critical Turks in the Netherlands? Secondly, what can and what will the Minister do to ensure that everyone in the Netherlands can express themselves freely, even if that is against Erdogan's sore leg? Thirdly, how is the Minister going to ensure that Mrs Ebru Umar will soon be able to live a normal life in the Netherlands, not intimidated and free to write what she wants? Finally, what consequences does the harassment of Turks in the Netherlands have for cooperation with Turkey? Is the Cabinet prepared to say no to visa-free travel for the time being, as long as this intimidation continues? I'd like a response. I want to end with a quote from George Washington, the first President of the United States: "If freedom of speech disappears, we will remain stupid and silent, and we will be led to the butcher like easy sheep."
ParlaMint-NL_2016-05-18-tweedekamer-7.u54	Mr. Chairman. It is extremely regrettable that the Dutch columnist Ebru Umar was arrested in Turkey. The SGP also congratulated the cabinet on its diplomatic commitment, on the support of Mrs Umar and on her release. This underlines the value of a healthy diplomatic movement between countries, even when relations between them are under pressure. We can make a long nose against countries we do not agree with, but sometimes you also need the long breath of diplomacy to get things done. In a debate like this I always have to overcome a slight inconvenience, in the sense that when we stand up for famous Dutch people, the unknown tourist or businessman who gets into trouble thinks: would there be that attention for me? I believe that it is also part of the values of the Dutch rule of law that everyone has to stand up in difficult circumstances. I do not go into this debate with enthusiasm either because I had such a nice conversation with Mrs Umar for the Dragonelle, which was the case. Everyone must therefore be entitled to the protection of the Dutch government. Nevertheless, the debate is also good for what is more important in Turkey. Colleagues have already mentioned detailed examples of this. It is a symbol of worrying developments in Turkey. That President Erdogan has very long toes, he proves time and time again. Furthermore, I am thinking of taking over critical Turkish newspapers and the arrestering of journalists. I recently read in a law magazine annoying examples of how lawyers are being harassed. I also call it outlawing certain Members of Parliament. All this shows how little the Turkish Government has to do with fundamental rights to protect against a meddling government, which is essential in our view. In this context, we continue to have a great deal of difficulty with and continue to reject the visa liberalisation and candidate membership of the European Union. We believe that this does not fit in with the shared values involved. What I do like, by the way, is that, even with a country like Turkey, even though you have all kinds of objections to it, you are trying very concretely to make agreements on the refugee issue. If you just say "there's a lot wrong with that country, we don't talk about it" you get scenes that you shouldn't want with each other. Turkey's long arm continues to the Netherlands. Mr Voordewind mentioned the main editorial comment of the Reformatorisch Dagblad, which was addressed by the Turkish embassy by letter because of a critical comment on Erdogan. Does the cabinet agree with me that this kind of intensive interference with newspaper comments, cross-border, is inappropriate and that this is something other than when you send a factsheet in your diplomatic relations or show the light of what's going on. These things are causing a great deal of displeasure. How far does the Turkish Government's influence extend? Can Dutch media continue to express their vision independently? How is this potential infringement prevented by Turkey? What is the government doing here? That is also my most important concrete question: to reverse this trend of interference? Freedom of expression is the right to stand on long toes. That is what the SGP stands for, and that is what this debate is about, but I would always like to continue to speak with two words, in the sense that these freedoms are always calling for a responsible use. This means that decency and well-being are not dirty words and that they are also part of a civilisation and there is nothing wrong with wise self-control. What's wrong with it is when people have to watch their words because they're afraid of intimidation or threat. In the case of Mrs Umar, there is this fear of intimidation and threat when we hear about security concerns. I ask the government to stand up for it, but also for all those other people who are threatened by their freedom, and to take all the necessary measures.
ParlaMint-NL_2016-05-18-tweedekamer-7.u55	We have come to the end of the first term of office. There is a need for a half-hour suspension.
ParlaMint-NL_2016-05-18-tweedekamer-7.u56	Mr. Chairman. I myself will be happy to answer questions that are very specific about Ebru Umar. These are questions about what has happened so far, questions about how it is developing and also a number of questions about the financing of security, for example. I also address a number of questions about Turkey's alleged influence in the Netherlands and finally I answer the questions about the agreements with Turkey on how to deal with the refugee problem. The Minister for Foreign Affairs will answer questions that are wider to the issue of human rights and freedom of the press. He will discuss legal assistance for journalists. It will also address questions on visa liberalisation and on the current situation with regard to Kurdish parliamentarians and the situation in South-East Turkey. All these questions will be answered by the Foreign Minister. With regard to the release itself, the possibility for Ebru Umar to return to the Netherlands, I would particularly like to congratulate Bert Koenders, the Foreign Minister. He has done the lion's share of the work, both in front of and behind the scenes, according to the best principles of quiet diplomacy. That also means that anything else I say about this could further weaken the matter, even in the future. I can therefore say very little about this. Our people in Ankara and the people in the Foreign Office have worked very hard. Official support has been provided from General Affairs. It's been worked awfully hard. Of course, no concessions have been made. We're not negotiating. That's what I've said before. This is a matter that affects a core principle of the Netherlands: freedom of expression and freedom of the press. They don't make deals about that. We have been asked how things could proceed now. The fact is that the Turkish prosecutor's office still has to decide whether she will be prosecuted. That investigation is still ongoing. So Turkey has not yet taken a decision on persecution. This also raises the question of possible extradition, of course, prematurely. Nevertheless, we went to see of course. Suppose it would come to that, if Turkey were to prosecute and there would be a question of extradition. We can see that the extradition of Ebru Umar, for legal reasons alone, given the relevant legal framework, will not be possible. If it comes to that, then this extradition, as far as we are concerned, will not be on the agenda. Again, it is not yet that, because the Turks still have to decide whether to prosecute. Then, security. I can only reply to this in general terms, because, of course, no communication is made in concrete situations. I can say in general that measures are taken in such cases in good consultation between the National Coordinator on Terrorism and Security, the Public Prosecutor's Office and the employer. The government has a responsibility, of course. Those measures are also taken to ensure the safety of all Dutch people. I would also like to say that in principle they are responsible for their safety. That can also be with their employer. If there is a threat that citizens cannot defend themselves against, additional measures will also be taken by the government. I can say in general that the security situation is well monitored with regard to Ebru Umar. But again, I cannot comment on the nature and numbers of the measures and/or threats. Mr. Chairman. I see that Mr Bontes wants to ask a question. I assume this is about a previous point, because it's been there for a while.
ParlaMint-NL_2016-05-18-tweedekamer-7.u57	I have also seen Mr Bontes, but I thought you might want to make your introduction first.
ParlaMint-NL_2016-05-18-tweedekamer-7.u58	This was all I wanted to say about Mrs Umar, her return to the Netherlands and the follow-up. I will get to the questions about Turkey's influence in the Netherlands and its consistency with the refugee agreements.
ParlaMint-NL_2016-05-18-tweedekamer-7.u59	I do indeed have a question about the extradition of Mrs Umar. The Prime Minister says it won't be on the agenda. That is a little too non-committal, or rather too non-committal. I would like a guarantee from the Prime Minister that she will not be extradited. I know the Prime Minister's story about guarantees and that they are given on vacuum cleaners, so he doesn't have to deal with them now. I want a guarantee that Mrs Umar will not be extradited to Turkey.
ParlaMint-NL_2016-05-18-tweedekamer-7.u60	We have the separation of powers in the Netherlands and the judge is primarily about that. We are dealing with the legislative framework. Parliament and government have once jointly agreed as co-legislators that if extradition is requested, there should be a prison sentence in both countries that stands for at least one year; if extradition were requested in this case, it would not be as yet, since there has not even been a decision to prosecute. In the case of insulting the President, that threshold has not been met under Dutch law. If the case of Ms Umar were to be prosecuted and sentenced, extradition would not be possible. However, I cannot give a guarantee on behalf of the Dutch judge. I can only say that according to our interpretation of Dutch law, which we have jointly made, this does not seem to be conceivable.
ParlaMint-NL_2016-05-18-tweedekamer-7.u61	As the Prime Minister explains, it becomes very legal. That's really not enough. I will certainly table a motion in the second term in which I will ask for guarantees, because she is entitled to them in this case. In addition, it is important for others with regard to precedent.
ParlaMint-NL_2016-05-18-tweedekamer-7.u62	I think we should keep an eye on the facts here. We have here the separation of powers according to Montesquieu. We are jointly the legislative power and there is a separate judicial power. If the power of justice does anything that deviates from what we want here, we have to change the law. As the law is and as we interpret it, it really seems to be out of the question. Mr Bontes is asking me for a guarantee, but it can only be given by the judge. I can't give you that guarantee. Again, it seems really excluded and I think that should be enough for the moment. I come to a number of questions about Turkey's influence in the Netherlands. First of all, freedom of expression and, in the specific case of Mrs Umar, freedom of the press are also guiding principles for this cabinet. I have just said that we cannot negotiate on this, that we cannot make deals about it and that we cannot make agreements on it. It's black and white; they're on or off. As far as we're concerned, they're always on. This also means that people in this country must always feel free to make their own choices and to vent their own views. As far as the Dutch Government is concerned, it is unacceptable that people should not be able to speak out because of fear of legal repercussions, for example during a holiday in Turkey. I am also pleased that all the groups have said so. That's the first thing I wanted to say about it in an introductory manner. I come to the specific question of rumours about the Turkish consulate's click line. On Thursday 21 April it appeared that the Turkish consulate in Rotterdam had made an appeal to report insults to the Turkish President Erdogan or the Turkish people to the consulate, including the names of those who had expressed the insult. We immediately took action by saying that this is not acceptable, because our Dutch legal system offers sufficient guarantees for this. Our announcement was that we do not need this call and that we do not need any help from Turkey, because we can handle it very well ourselves. The Turkish consulate stated that there was a misunderstanding. We have taken note of this, but the Foreign Minister, Bert Koenders, and I nevertheless felt it necessary for the Netherlands to protest, and that is what the Ambassador did in Ankara. He said that it was not clear to the Dutch Government what the Turkish government might have intended to do with this action, especially since the Dutch legal system already offers guarantees. He has also made it clear that this appeal has fallen extremely badly in the Netherlands, even among the Dutch of Turkish origin who feel intimidated by this action. At that time, the Turkish interlocutor confirmed that the consulate had withdrawn the message and that it had never intended to set up a hotline for reports of insults or to collect names. That is important and we are monitoring this very carefully. I notice that to this day it leads to violent reactions, even to myself. I was very upset when I heard this. People must be free to determine what they find, what they believe and what they say. We cannot accept in any way that Turkey intervenes in this. That is why we have reacted strongly to Turkey. In view of recent history, there is of course the case of Ebru Umar, which occurred the next Saturday. We've had the case around the foster kid Yunus before. I discussed this matter with Prime Minister Erdogan a few years ago, when he was Prime Minister of the House of Cats. This was also a matter of far-reaching interference from Turkey in Dutch national affairs. At that time, we also distanced ourselves sharply from it. This has led to a fairly famous press conference between me and the then Turkish Prime Minister, now President. We did not agree on this point, but as far as I am concerned, it was quite clear where the Netherlands is. It is important that people who are in this territory should be able to express their views freely, supported by all of us, by Chambers and Cabinets. First of all, please don't take long toes. When people feel intimidated, there is always the protection of the law, but we also know that there may be times when intimidation is felt, but that it is not yet the case that the law protects against it. In these situations, we, the Chamber, the Cabinet and all those involved in the social debate, will have to take a firm stand and say: we do not think that this is acceptable. This was about the matter in general and how the cabinet deals with Turkey's influence in the Netherlands. More specifically, it was about the questions that were asked about the reports on what the Turkish consulate would have done.
ParlaMint-NL_2016-05-18-tweedekamer-7.u63	Let me at least say that I don't have long toes. That's convenient.
ParlaMint-NL_2016-05-18-tweedekamer-7.u64	That's because of your height.
ParlaMint-NL_2016-05-18-tweedekamer-7.u65	No, it's got him in something else. The Prime Minister mentioned the rumor of the click line. Was that a slip or did that click line never exist? Is the Prime Minister reassured by the Turkish response that it was a misunderstanding? Or does he have a different picture?
ParlaMint-NL_2016-05-18-tweedekamer-7.u66	The Turks have made it clear that it was a misunderstanding. We must accept that, but we are not naive. We are following this closely. This also applies, of course, to all the contacts we have on this subject. If that click line is there or still is entered, then that will lead to... But well, then we are in a like-dance situation. It is clear that this is totally unacceptable to the Netherlands. I said it earlier: if Dutch people were afraid abroad because they had ever criticized me, which of course would be bizarre, but it could happen and would not dare return to the Netherlands, it would be very quiet here.
ParlaMint-NL_2016-05-18-tweedekamer-7.u67	I agree with the Prime Minister on that last point. My point is about the fact that the Prime Minister has just said quite clearly: if there are intimidation and threats here, that is unacceptable. But often it goes in a very subtle way. I spoke of the week of an entrepreneur who said that he is being approached and is being addressed on his views on the Turkish Government. He's told that if you keep doing that, we'll make sure you don't get any more assignments. The word "we" refers to a number of Turkish Dutch. What is the Cabinet going to do to counter these subtle, subtle threats, so that people won't say what they actually think?
ParlaMint-NL_2016-05-18-tweedekamer-7.u68	The important thing is that when that happens, it comes out. It is very good that this entrepreneur has said this to Mr Knops. Then we can discuss it here, too. It gets very complicated when we don't know. I just said there's a section called "long toes." I heard Mr Van der Staaij say something about the letter from the Turkish embassy to the newspaper. I think that's a matter of long toes. I'm not surprised that the Turkish embassy is sending letters to a newspaper. For our part, letters are also sent to newspapers abroad. Mr Van der Staaij and I disagree on this point. In addition to issues of long toes, there are issues where people are rightly intimidated. Mr Knops's point is a good example of this. Then it's just a question of whether the law was broken at that time. Probably not. Then you're typically in the intermediate area I just mentioned. That is extremely subtle; Mr Knops rightly said so. That is why it is extremely dangerous. People could be tempted to hold back. All we can do then is discuss it with each other and take a sharp distance from it. Let us make it absolutely clear to this entrepreneur that we support him and that there is unacceptable behaviour. This includes making clear to the people from outside the Netherlands who come to the Netherlands what our values are, what we have built up in 200 or 300 years in the areas of freedom of the press, freedom of expression, equality of men and women, freedom of faith, white and black, gay and straight. Fortunately, we have achieved all the naivety in this respect in the last ten years. We say to those people, "You just have to stick to that." We expect you to adapt to that, to realize that, to respect that and in no way intimidate people who act in accordance with these freedoms.
ParlaMint-NL_2016-05-18-tweedekamer-7.u69	The Prime Minister has already referred to the point I raised about the newspaper that was being touched on. If I have understood the Prime Minister correctly, he said that it is possible that such a thing happens and that a country acts in this way. I wonder if there's a difference between spreading facts in newspapers or in general as an embassy of a country, and really going into discussion as an embassy and sending letters saying you don't agree with main editorial comments. Is that as common as the Prime Minister's suggestion?
ParlaMint-NL_2016-05-18-tweedekamer-7.u70	No, it's not common, but I don't think it's harassment. Het Nederlands Dagblad, or the Reformatorisch Dagblad, is a widely read newspaper, which can report this. It will not be intimidated by the threat: we will make you a cup smaller. Nor is it said to that newspaper: we will affect you financially or economically if you do not meet what we expect from you. That's what I think of the long toes department, because that newspaper can just defend itself.
ParlaMint-NL_2016-05-18-tweedekamer-7.u71	I agree. I therefore deliberately did not use the word 'intimidation'. But I did use the word "inappropriate." It now came up on this issue. Apparently, the tendency is not to leave the matter to civil society organisations.All people in the Netherlands can express their views but to interfere intensively and not just to mention facts, but to send a letter immediately if one disagrees with something. Isn't that an overly meddling attitude? Should we not say that we would be pleased if a little more distance was observed?
ParlaMint-NL_2016-05-18-tweedekamer-7.u72	I agree with Van der Staaij. If it's on that scale, I agree with him. But that's the "unusual" department. That's a taste issue. This debate is mainly about where the limit of intimidation lies and where the limit of it is. I know the people of the Reformatorisch Dagblad and the Nederlands Dagblad. They will write more than less critical articles about Turkey if they receive such a letter. That, of course, completely stores like a boomerang in this case the Turkish embassy. However, they have the power of free speech. I think that's a slightly different matter than the example of Knops, who talked about an entrepreneur who says: you don't get contracts anymore. Then you're really dealing with harassment.
ParlaMint-NL_2016-05-18-tweedekamer-7.u73	I totally agree that you should not put this under the term "intimidation." This is covered by "unpleasant forms of intensive interference." This is an example of how this is done with newspapers and how it can affect business people. It is good to know how a country operates and to draw your limits on that point in time.
ParlaMint-NL_2016-05-18-tweedekamer-7.u74	Sure.
ParlaMint-NL_2016-05-18-tweedekamer-7.u75	We are now in the categories 'long toes' and 'unpleasant'. If you add it together, the sum total must also say something. In any case, the urgency must be increased on the part of the Dutch government. In October last year we had the issue of the call for a vote. There was even a vote recommendation to many Turks, in which a letter was distributed by the AK party, including addresses. Where these addresses came from, I do not think that is clear to date. The Dutch Government would check whether this was done in other countries as well. Do we have an answer to that? Do we know anything about that? In the sum total, however, a picture is beginning to emerge that tells me that I want to know more about it. Shouldn't there just be an active investigation into forms of mass influence of the Turkish community in the Netherlands?
ParlaMint-NL_2016-05-18-tweedekamer-7.u76	We, the Minister for Integration, the Minister for Foreign Affairs and myself from General Affairs, are of course extremely keen on the relationship. This, of course, affects the relations in the Netherlands. As I said in my introductory word, you can see that tensions arise within the community. We are talking about hundreds of thousands of people with a Turkish background in the Netherlands. There may be tensions among that group which are extremely undesirable. In my opinion, Mr Ten Broeke pointed out this in his first speech, when he said that we could not talk about creating sectarian tensions in a society. That is absolutely unacceptable. It also includes the use of addresses for voting advice. That's not possible. I do not have the specific answer to the question put by Mr Ten Broeke. I was just checking with Bert Koenders. He told me that at the moment we have no hard leads to this. Perhaps we can look into whether we will have a further answer in the second period to the specific question that was raised at that time. I agree with Ten Broeke that you need to look at the whole thing. I mentioned the Yunus case and a number of other cases, but you also have to look at the whole thing. You can look at what in the eyes of the Turkish consulate was a misunderstanding about that click line. The fact that it was a misunderstanding was also confirmed by Foreign Affairs in Ankara. You have to look at the whole and the image you see does not give rise to joy. Finally, I would add that my conversation with Davutoglu was also about this, the Prime Minister of Turkey, who was twice on that Sunday. That was exactly what it was about, and I brought it out. Bert Koenders also brought it out that day. That is why I found Mr Knops' contribution to be really bizarre on this point. We immediately brought it out on that day and said that this affects freedom of the press and freedom of expression; this is not acceptable. After we made that clear, the path of quiet diplomacy was followed further. Of course, because if you then continue to repeat that every day, then you would never have managed to bring her back. However, it was quite clear where we stood and I said this in my talks with Davutoglu. If Turkey really has the ambition to become a member of the European Union, then that is to say that core values such as freedom of expression and freedom of the press are also respected in Turkey. Otherwise, you can't and you shouldn't have that ambition. Then we can still do business with them. We do business with all kinds of countries that have values that are not ours. We must be pragmatic in this, but do not have the ambition to become a member of the European Union.
ParlaMint-NL_2016-05-18-tweedekamer-7.u77	Of course, I fully agree with the latter. So it can also be a brief discussion when chapter 23 is opened. But apart from the position of the Dutch cabinet vis-à-vis Davutoglu or later his successor, if Erdogan has appointed another gentleman or lady to do it for him: I am talking about the sum sum. You have isolated incidents. Mr Knops mentioned one with an entrepreneur; letters were sent to the editors of Dutch newspapers and we now have the click line, but that turned out to be a mistake, and the voting advice for the AK party. In addition, I don't think we can approach this casually. I think there should be very clear that the Dutch Government is showing urgency here...
ParlaMint-NL_2016-05-18-tweedekamer-7.u78	Yeah, no doubt about that.
ParlaMint-NL_2016-05-18-tweedekamer-7.u79	... that priority should be given to this and that research should also be carried out if necessary.
