ParlaMint-NL_2016-03-24-tweedekamer-4.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-03-24-tweedekamer-4.u29	Mr. Chairman. With the changes in care we want to give people more control over their own care, give employees more space for their profession and what to do about the often suffocating care bureaucracy. And that's not gonna happen from today to tomorrow. That's hard work for all those people who deal with it every day. The PvdA sees beautiful things emerging. I am thinking of the energy currently being invested in improving the quality of life in nursing homes. I am also thinking of the citizens' initiatives in the area of care which are currently falling apart like mushrooms. I'm thinking of the municipalities that come up with unorthodox solutions to help people. However, there is also a need to adjust if things do not go as they were intended. Today, we're dealing with a bill like this. That fixes a number of things that need repairing. That seems very technical, but it still has great meaning for people. I would like to raise four issues. I start with the transitional right to a full package at home with a low care package. If you live at home and arrange your care with a full package at home based on the AWBZ, you should make a choice. If you want to be covered by the Long-Term Care Act, you have to move to an institution. If you want to continue to receive your care at home, you are suddenly covered by the Social Support Act and the Health Insurance Act. The PvdA feels it is undesirable to make that choice. In practice, this means that people have to move unnecessarily to an institution if they choose the Wlz. That's undesirable. These people would like to stay at home. It should therefore be possible to continue the whole package at home. These people are then covered by the Wlz, without having to opt for inpatient care. I have already tabled an amendment to extend the Wlz transitional right for people who are entitled to be admitted to an institution but do not yet want to cash it, and not to link it to an end date. Together with Mr Potters, I have tabled an amendment to make this possible for people who take care of a complete package at home. Does the Secretary of State agree with the PvdA that people should not move unnecessarily? Can the Secretary of State indicate how he is looking at Mr Potters' and myself's amendment? The second issue concerns bridging care. If people are not yet able to go to a care institution or to the institution of their choice, care must be provided. That's the so-called "bridging care." The PvdA is pleased that this bridge care now gets a place in the Wlz. However, I still have a few questions for the Secretary of State. Often people get care before they move into an institution. This care is often provided by a health insurance company and the municipality. Where does the bridge care begin and end? How do we prevent people from being pinged back and forth? How does the Secretary of State ensure that people's interests are paramount? Moreover, if people prefer to keep their trusted care providers during the period of bridging care and do not want to take advantage of the offer contracted by the healthcare office, the PvdA believes that this should be possible. It is a period of thirteen weeks to be considered or possibly a little longer. Changing the weather of caregivers is not pleasant for people. I read that in such a case the health insurance company and the municipality can make arrangements with the health care office about the reimbursement of the bridge care. It is only in the amendment of the law itself that nothing is settled. Why didn't the Secretary of State choose to regulate this also legally, so that the continuity of care for people is always guaranteed? I have tabled an amendment on this subject, which has also been distributed this morning. It is about continuity of care for people in bridging care, only then paid through the health offices. I see that Mr Potters has a question about that.
ParlaMint-NL_2016-03-24-tweedekamer-4.u30	I understand that Mr Van Dijk says that people want to be able to use their trusted aid provider in particular and that it can be a fixed value in a transitional phase in which there is already a great deal of change. In the proposed amendment, it seems that there is a shift from the fiscal burden from the Health Insurance Act and the Wmo to the Long-Term Care Act. After all, Mr Van Dijk is proposing to finance the costs of the transitional period and the aid workers from the Wlz, because people already have a Wlz indication. Does the PvdA really intend to make it a budgetary shift so that this care is previously financed by the Wlz, or is it purely and simply the fact that there is a familiar face and a trusted aid provider and does it not matter so much what law it is funded?
ParlaMint-NL_2016-03-24-tweedekamer-4.u31	It's about the latter. People are entitled to Wlz care, care that must be financed from the Wlz. However, the trusted aid workers who get people on the floor at home, such as the neighborhood nurse or domestic help, are not always contracted by the healthcare office. It seems to me very annoying to people that during that short period of time you suddenly get other people over the floor again. The purpose of the amendment is to ensure that clients receive the same people during the transition period if they choose to do so. The bill for this is not paid by the municipalities and the health insurance companies, as we have done all this time, but by the Health Care Office. Otherwise, the Care Office should have financed it, too.
ParlaMint-NL_2016-03-24-tweedekamer-4.u32	I understand the intention of this amendment. Suppose the update is that there must be a budgetary shift to the Wlz, which actually means that you pay more care from the Wlz than what would have to be taken out of the care obligations of the Health Insurance Act. Would that be a desired side effect? Or does Mr Van Dijk say that this cannot be the intention of the amendment and that the Secretary of State should take a very close look at it?
ParlaMint-NL_2016-03-24-tweedekamer-4.u33	I can't imagine, because people aren't eligible for bridging care if they don't have an indication of admission to an institution. As soon as that indication is available, there is a payment obligation for the Care Office, which is borne by the Wlz. We do not so much regulate a change in funding or a shift in payment flows. The goal is to keep the same aid workers now. The payment obligation, which is already at the Zorgkantoor, is therefore fulfilled by the Zorgkantoor. Mr. Chairman. The third topic concerns the reimbursement of household help, aids and home adjustments for people who receive their care from the Wlz but still live at home and also stay at home. So this is not about bridging care. These people arrange their care via a full package at home, a modular package at home or a personalised budget. During the treatment of the Long-Term Care Act, we discussed this extensively. We thought at that time, I think we all thought that it was useful to arrange these facilities from the Wlz. People only deal with one law. In practice, however, this proves to be quite complicated. Care agencies have to go shopping for domestic help. People have to turn in their trusted tool to the municipalities, after which they are often given the same tool again by the Healthcare Office. It is not simpler; it is only more bureaucratic and actually more expensive. Many of the people I have spoken about this are not really waiting for this change of law. I read that the Secretary of State has postponed the transfer for the time being. The PvdA Group believes that this is wise. You can only ask yourself whether it is not wise in this case to opt not only for postponement, but also for set-off. Does the Secretary of State think it will be possible for these facilities to pass to the Wlz? If that is not the case, why not just maintain the current situation? At least that leads to a lot of fuss less. However, agreements must be made with municipalities. More and more people with a serious care question will stay at home or live in a clustered form of housing. This means an additional task for municipalities. Municipalities will need to offer more domestic help, tools and home adjustments. They are also people whose self-reliance is often less important. That calls for a different treatment. Does the Secretary of State recognise the signals that clients are not waiting for the transfer to the Wlz of resources for people living at home? Does he think it is a good idea to investigate whether this legal provision should be changed? Does he agree with the PvdA Group that the conditions under which this can be done should also be considered? The fourth and last topic is the sleepover shelter. If you want to get out of it yourself or if it's nice for your neighbors to have some rest, sleepover shelter is a very valuable way of staying temporarily in another place. The Secretary of State proposes that the recent requirement for accommodation to be admitted under the Health Care Institutions Act, the WTZi, should be abolished. According to the PvdA Group, that is a good idea. In practice, it appears that in particular small-scale providers of accommodation have difficulty meeting the requirements of the WTZi. However, we must ensure that good quality care is provided. It's about people staying there. Fortunately, in many cases things are going very well. However, we must be careful that wannabe healthcare providers cannot easily take their share of the money from vulnerable people. I read that the Secretary of State is mainly committed to the monitoring of guest providers afterwards, for example by using the inspection. What role can health care agencies have in front of them, to ensure that people are assured of good sleepover care, without, of course, falling into control and bureaucratic hassle? With this bill we fix some things that need to be repaired. We should just do that when we need to. We want to move from systems to people. Then we must also continue to adapt these systems if that is in the interests of people.
ParlaMint-NL_2016-03-24-tweedekamer-4.u34	I would like to know from the PvdA what the consequences might be of this bridging care and the thirteen-week border. What are the conditions for care offices to arrange a place of residence on a reasonable time and at a reasonable distance? Should people, as far as Mr Van Dijk is concerned, be forced to accept that place of residence within thirteen weeks?
ParlaMint-NL_2016-03-24-tweedekamer-4.u35	Mrs Leijten asked very good questions about this in her term. I have the questions she's asking, too. Sometimes people prefer to wait a while for their preference to be set. For that we also have bridge care. This may also be arranged with a vpt and a mpt. There are countless possibilities. But forcing people to live in an institution where they really do not want to live does not seem to me to be the situation we want to go to.
ParlaMint-NL_2016-03-24-tweedekamer-4.u36	I welcome this answer. I don't think that should be the situation we're going to.
ParlaMint-NL_2016-03-24-tweedekamer-4.u37	I would like to raise the question more sharply. Does Mr Van Dijk agree with us that the thirteen-week deadline should be removed?
ParlaMint-NL_2016-03-24-tweedekamer-4.u38	Well, to be honest, I do have sympathy for the two amendments, from D66 and from the CDA. I understand that a hard limit of 13 weeks can be complicated. What if you're just in that period after that? Should customization be possible? I believe that this was also a point made by Mr Van Weyenberg. I think that should be possible. A number of questions have been asked by D66, the SP, the CDA and Mrs Agema. It is a good thing that we use the Secretary of State's term and our second term to see what the best solution is to prevent us from having the situation we just shared in Mrs Leijten's interruption.
ParlaMint-NL_2016-03-24-tweedekamer-4.u39	Mr Van Dijk pretends he hasn't come out yet. We know that from him. Eventually, he'll just vote in favour next week.
ParlaMint-NL_2016-03-24-tweedekamer-4.u40	That'd be great, right?
ParlaMint-NL_2016-03-24-tweedekamer-4.u41	That kind of annoys me a little bit. I was very specific in asking whether Mr Van Dijk agrees with us that the thirteen-week deadline should be removed. To Mrs Leijten he pretended to want to get rid of the thirteen-week deadline, but to me there is a completely different story. I would like a concrete answer: yes or no, delete or not?
ParlaMint-NL_2016-03-24-tweedekamer-4.u42	I think I have indicated to Mrs Leijten that I see the problem and that we need to find a solution to it. You know, I'd be happy to consider whether to delete the thirteen-week deadline, a tailor-made period as suggested by D66 or an extension period as proposed by the CDA. But we have to solve the problem that I do see with each other.
ParlaMint-NL_2016-03-24-tweedekamer-4.u43	Mr. Chairman. Following the entry into force of the Long-Term Care Act, the Wmo 2015 and Youth Act as of 1 January last year, it has been found that these laws still need to be supplemented or improved in a number of respects. These points are further elaborated in the present legislative proposal. Firstly, it is proposed to regulate bridging care in the Long-Term Care Act so that insured persons who are awaiting their stay in an institution do not need the care they need and can receive the necessary care temporarily at home. That is a good thing. Secondly, it is a basis for a temporary limited grant for orthocommunicative treatment of autism. In the meantime, it has been decided to phase out this subsidy. Finally, a basis is provided for settling matters concerning the agreement between the client or young person and the third party providing the provision. Care offices have a duty to contract for people so much accommodation that they can stay in an institution within a reasonable period of time and at a reasonable distance from where they live or intend to live. If the client cannot stay in an appropriate institution within a reasonable period of time, he or she may be provided with bridging care. This is now explicitly regulated by the Long-Term Care Act. Transitional care of thirteen weeks is necessary for those who cannot be provided with the necessary care immediately on the day on which the right of residence is acquired. Bridging care cannot be obtained if the client can go to an institution, but this is not the preferred institution. For the VVD, the proposal for bridging care is of great importance. Clients who need 24-hour care within an institution should also be able to obtain it within a reasonable time and at a reasonable distance. Many questions have now been asked by my colleagues. I would like to join some of them. If, under these conditions, this concern cannot be delivered, the proposal still regulates it and preserves people's right to care. With the legislative proposal, it will be possible to grant a grant to the Healthcare Institute temporarily under conditions for orthocommunicative treatment of autism. That care was previously available from the Wlz, but the positioning of this care was not completed after the start of long-term care reforms on 1 January 2015.
ParlaMint-NL_2016-03-24-tweedekamer-4.u44	I think Mr Potters knows what question I'm going to ask: does the VVD think that someone who has to live in an institution but is assigned an institution from the healthcare office where he doesn't want to live can be forced to live there?
ParlaMint-NL_2016-03-24-tweedekamer-4.u45	In my view, this temporary arrangement is really intended to create a bridging arrangement. Within thirteen weeks it should simply be possible for those who need it and who are entitled to do so to provide good care in an institution, appropriate to the client's wishes at that time. After thirteen weeks, is someone forced to go to an institution that does not have his or her preference at all? I think that's the wrong discussion. If we take too much of an extension, I fear that the question will soon be whether there really is still an incentive for healthcare agencies to ensure that people get to the right place. That is what this bill is about; so do we. This includes a temporary bridging arrangement, which should mainly be temporary. Within a tailor-made appointment, much is possible. It should simply be possible to ensure that good care is provided within 13 weeks.
ParlaMint-NL_2016-03-24-tweedekamer-4.u46	I thought that Mrs Agema showed very nicely how many people are waiting for a place and how few places there are, because that does give us the problem. If, with all its good intentions, you say "we provide for a transitional arrangement, a bridging arrangement," but you do not regulate the underlying problem, namely that there are not enough places and that there are not enough quality places, you may end up in the situation that people are forced to go to a place. You then start with good intentions on an arrangement, but end with an outcome that you don't want at all. I just want a clear answer from the VVD to the question of whether someone should be forced to accept a nursing home where they do not want to live. Does the VVD think that's possible, yes or no?
ParlaMint-NL_2016-03-24-tweedekamer-4.u47	I understand why the SP is asking this question so black and white, but of course it's not that black and white. Clients have desires and a need, but there is also the care that that client really needs. This must be done within a reasonable distance and with a good attitude. There's a balance of interests behind what you can offer at some point. I want this deadline of up to 13 weeks to be as short as possible, because I want the incentive to continue to be that the health offices really take everything out of the closet to organise care or to organise care as well as possible. What I do not want is for us to discuss a bridging arrangement, which means that we will continue to postpone it, because it will remove that incentive. It is a good transitional arrangement, but it must be a temporary one. Words such as obligation and force create the impression that it is a black and white discussion. It is not, because, in my view, care agencies should ensure that the institution provides the best possible care with those involved. And that should be possible within 13 weeks.
ParlaMint-NL_2016-03-24-tweedekamer-4.u48	Mrs. Leijten, we're really doing it in two unless a question hasn't been answered. But I think...
ParlaMint-NL_2016-03-24-tweedekamer-4.u49	Well, the VVD does say I'm going to postpone the discussion. That is not the case, because the outcome of this bridging arrangement may be that someone has to accept the place that the healthcare office has determined within a reasonable time and a reasonable distance. However, "A reasonable period of time and a reasonable distance" is not reflected in the legislative proposal. We see what the health insurance companies are doing with budget policies: travel only 130 kilometers for care that is also offered around the corner. These are matters on which I think we need to be clear. I fully agree that it should be organised as soon as possible and as close as possible. Indeed, we must also ensure that healthcare agencies organise this together with healthcare providers as soon as possible. At your service, but the outcome may also be that after thirteen weeks someone is forced to live somewhere where they do not want to live. That can't be the outcome, the SP says. I would like to know from the VVD what her answer is.
ParlaMint-NL_2016-03-24-tweedekamer-4.u50	Of course we do not want people to be forced to go to an institution they really do not want to go to. Of course not, but it must be reasonable what the person concerned wants and what can be done. In my opinion, the health offices take their duty seriously to get it done within thirteen weeks, within a reasonable distance and within a reasonable period of time. You ask a like-dan question, namely: could it be that someone might be forced to...? That's not the discussion. The discussion should be about how to ensure that the bridging regime is as short as possible. That is what the bill says. No one wants people to be forced to sit somewhere against their will if they really don't want to. The questions that have been asked are certainly legitimate, but I assume that it should be possible to offer appropriate care within thirteen weeks.
ParlaMint-NL_2016-03-24-tweedekamer-4.u51	I think that is a rather risky starting point. I would therefore like to hear what the VVD is basing that on. The VVD thus gives the impression that it takes a very reasonable position, because within thirteen weeks placement should be possible according to the VVD. However, according to the State Secretary's latest figures, there are 13,392 people on a waiting list for a disability institution, for a ggz institution and for a nursing home. My question to Mr Potters of the VVD is: are there so many places available?
ParlaMint-NL_2016-03-24-tweedekamer-4.u52	Of course, there are often more people who want to go to a particular place than there are actually places available there. What matters is that people are helped within a reasonable distance. Thirteen weeks is, as far as I am concerned, a reasonable period of time, which I do not want to prolong because we would then take out the incentive for health offices to take everything out of the closet to put these people in a good place. So I think it's a reasonable time limit. You have asked questions about it and the Secretary of State is perfectly capable of answering them. If it shows that these thirteen weeks are still a little too short and that an extension of a number of weeks is necessary in certain cases, we must accept that. I do not want to prolong that period for days, because then we will get the stimulus out of the system. I do not think that is what Mrs Agema wants either.
ParlaMint-NL_2016-03-24-tweedekamer-4.u53	I do want to, because the PVV is for freedom of choice. The VVD is, under the line, ultimately not for freedom of choice. The question I asked Mr Potters is whether there are places for these 13,392 people on the waiting list. Are there 13,392 spots? If not, Mr Potters can insist that he considers this to be a reasonable period of time, but if those places are not there, he simply cannot keep it up.
ParlaMint-NL_2016-03-24-tweedekamer-4.u54	I think it's about what someone wants in a concrete case in their current situation. For some people it will mean that they will use those thirteen weeks for a while and not go straight to an institution. For some it will mean that they will go straight to a...
ParlaMint-NL_2016-03-24-tweedekamer-4.u55	So he doesn't know.
ParlaMint-NL_2016-03-24-tweedekamer-4.u56	...instincts go. That also means that they may be able to go to another institution. That discussion should simply take place within the balance that the healthcare office makes with those involved. I believe that the thirteen-week deadline is very reasonable to ensure that people do not have to wait unnecessarily long for the place they are entitled to. I was actually already on another subject, um...
ParlaMint-NL_2016-03-24-tweedekamer-4.u57	I'm not yet. I'd like to go on with this. In my view, this is the essence of this part of the bill: what happens after the thirteen-week deadline if no place has been found at a reasonable distance according to the wishes of the person to be included? You can look at this in a financial sense, but sometimes even in a practical sense. I was with Saint Francis in Gilze a while ago. There are empty rooms, and that applies to many more care institutions. If you ask why a room is empty there, the answer is that the healthcare office does not want to buy enough or more places. What if you live in Gilze and your mother has to be admitted? When the thirteen weeks are over, you're just told to go to Breda. Then what happens to this woman according to the VVD?
ParlaMint-NL_2016-03-24-tweedekamer-4.u58	I think we just had that discussion. It is important that the care offices take everything out of the closet to get a place as close as possible, taking into account the wishes of the people themselves. That's their duty of care. In some cases that can be close, but sometimes it can also mean that someone from Gilze-Rijen goes to Breda. It's possible. Mrs Keijzer is now asking whether they should have their procurement policy in order so that they can buy enough, so that care can be organized nearby. My answer to that is yes. Of course, care agencies have to do that! They should not buy too little or not, which means that people need to move to another place at a greater distance than is strictly necessary. That's the duty of the health offices. I think it is reasonable that there should be a transitional period of 13 weeks so that they can arrange this properly, looking at the wishes of the people themselves, but if it turns out that there is too little structural buying or that people have to go to another place that is unnecessarily far away, the Secretary of State must try to resolve this.
ParlaMint-NL_2016-03-24-tweedekamer-4.u59	That's clear. In the first part of the reply, Mr Potters said that this could mean that Mrs Gilze, who wants to go to Saint Francis in Gilze, should go to Breda. I'd like to hear from the Secretary of State if that's the right reading of this bill and what you can do next to prevent it, while there's just rooms left empty. That is a question about the care purchase, but behind that lies a question about possible sanctions for healthcare agencies.
ParlaMint-NL_2016-03-24-tweedekamer-4.u60	Mr Potters, please continue.
ParlaMint-NL_2016-03-24-tweedekamer-4.u61	I was talking about orthocommunicative care for autism. This care is not part of the insured package because the care is not proven effective. The health care institute has previously indicated that the treatment may be eligible for conditional admission to the basic package, provided that there is a sound proposal for this. However, such a proposal was not submitted before 31 December. That is why we think it is logical that there should be a careful phasing-out period. We can therefore wholeheartedly support this section. Together with the PvdA, I have tabled an amendment to this effect, and Mr Van Dijk has already pointed out that the right of transition for people with a complete package at home and with a low care package. In 2015, this group of people had to choose whether they wanted to be admitted to an institution or live at home and pay their own rent, receiving care and support from the Wmo 2015 and the Zvw. In order to prevent people who have converted their healthcare delivery into a complete package from moving home during 2015, it is arranged that they can continue to receive care at home. However, I regularly receive signals that this transition is not properly arranged. That is why an amendment has been tabled. However, I also hear that there is insufficient awareness of the whole package at home. What is the Secretary of State going to do about the latter? How do we ensure that this whole package at home becomes a fully-fledged instrument for the proper regulation of that provision? At the time of the introduction of the Wlz, the right to housing adjustment, tools and domestic assistance was chosen to be the responsibility of the municipality until 1 January 2016 and then transferred to the healthcare offices. The letter of amendment postponed this transfer until further notice in order to examine how a careful transfer is possible. Could the Secretary of State say a little more about this? So much for my contribution, Mr. Chairman.
ParlaMint-NL_2016-03-24-tweedekamer-4.u62	Thank you very much, Mr Potters. This brings us to the end of the first term of office.
ParlaMint-NL_2016-03-24-tweedekamer-4.u63	I had suspended the sitting until 11.45 a.m., but now it appears that there is a need for a longer suspension. I shall therefore suspend the sitting again until 12 noon.
ParlaMint-NL_2016-03-24-tweedekamer-4.u64	Mr. Chairman. I would like to thank Members for their input. We are indeed talking today about a sort of collecting law, which addresses a number of issues related to the discussion we have had over the past year. Sometimes this was on the basis of things that played in practice in which we wanted to make change and sometimes it was technical changes. I think that emphasis has been placed in the debate. There are at least two issues that have been raised by many: bridging care and house adjustments. There are many more, but I shall deal with them when dealing with the questions raised by the individual speakers. As I have said, I shall begin with the bridging care, on which many questions have been asked and comments have been made. How's the bridge care going? From the moment there is an indication that care is needed in the context of the Wlz, that care will be provided in the Wlz. There is a need for bridging care if there is no place at the time or because there is no place in the preferred setting. Then the care office will have to work on the duty of care to ensure that a place for the client is found as soon as possible. As long as this is not the case, bridging care will be provided. In this bill we actually say: if you then arrange this bridge care, you put a number of requirements that you normally impose on the care in the Wlz overboard. I'm referring to the efficiency requirement. The law states that care at home should not be more expensive than care in the institution. In the context of bridging care, you have to drop that requirement. After all, you're waiting for a spot, so you can be a little "soupeeler" with the rules. That's the thought behind it. There is pressure on the care office to ensure that that care is delivered as soon as possible. They then asked about the thirteen weeks. That period has a dual effect: on the one hand, you want to keep the time limit for bridging care as short as possible, in the interests of the client, on the other hand, we want to keep the pressure on the care office to avoid saying: bridge care is arranged, that's fine, then we don't have to look. I'm saying it very simply now, that's not how it works in practice at all. The deadline of 13 weeks allows the NZa to see if sufficient effort is being made to get a place in the preferred setting. But what happens if no delivery is made within 13 weeks? Well, then, of course, care doesn't stop, because it can't. You have an indication for the Wlz, so the duty of care remains intact. So the thirteen-week deadline doesn't mean anything to the client, it means nothing to the care office. If the deadline of thirteen weeks is very often exceeded, then the NZa really has a title to appeal to the healthcare office. I think it's in the client's best interest to keep an eye on a certain period of time within which everything needs to be arranged. If it's not settled within that time frame, it's hard to let the care stop. Of course that is not the case. I would like to make that quite clear.
ParlaMint-NL_2016-03-24-tweedekamer-4.u65	This is the point that everyone has asked for. Is this it, or does the Secretary of State need more text to explain this?
ParlaMint-NL_2016-03-24-tweedekamer-4.u66	I have a little bit of text left on this block over the thirteen weeks. Maybe it's good to finish that block.
ParlaMint-NL_2016-03-24-tweedekamer-4.u67	I think that's very good.
ParlaMint-NL_2016-03-24-tweedekamer-4.u68	How exactly is that going to happen? The conditions have been relaxed and care has to be found within 13 weeks. If that does not work, the deadline must be extended. To this end, consultations will take place between the healthcare office and the client in question on what needs to be done. The practice is not so much that the healthcare office is going to see where the client can go. This may occur if there is a request for mediation, but the practice is that people themselves seek a place in an institution, then develop a preference and indicate whether or not they are willing to wait for a place in the preferred institution. In most cases, the question of whether one wishes to consider going to another institution is not prompted by the health office, but by the fact that it simply no longer exists at home. So you come across a very difficult balance, which is also very sad. The question is whether the care is still at home, with the bridge care at home or with renewed bridge care at home, or whether it is really not going to happen anymore and you still want to go to an institution, even if it is not the setting of your preference. That is a avoidable situation, but it happens sometimes, because the situation becomes so difficult and acute that people choose to go to an institution that does not have their preference. I believe that this will enable this part of the debate to be concluded.
ParlaMint-NL_2016-03-24-tweedekamer-4.u69	The Secretary of State is doing exactly what I expected him to do: he pretends that the bridging care and the thirteen-week period are in the interests of all those waiting. I had already asked my colleagues in the first term for the following. There are 13,392 people on a waiting list for a place in a disabled institution, a ggz institution or a nursing home. My question to the Secretary of State is how many free spaces there are.
ParlaMint-NL_2016-03-24-tweedekamer-4.u70	The free spaces we can count at an institution, you can't just add up. Even if it were theoretically the case that we would have exactly as many free spaces as there is demand, that is still geographically spread. So that doesn't help if you prefer a place in the neighborhood. That's not gonna help. That is why we have a national clear definition of who is waiting and how many there are. That's 13,392, of which 9,778 people now have bridge care. A number of people also have an indication and are also on a waiting list, but then we get into the terminology that we want to avoid together. There are also people who already have an indication and say that they do not need to go to an institution for the time being, because the situation is such that they still want to stay home. So the waiting list information says something about how many people are waiting on a list, but doesn't say anything about the acute situation and doesn't say anything about the number of free places.
ParlaMint-NL_2016-03-24-tweedekamer-4.u71	I had a very specific question. The Secretary of State asks us to vote on this law next Tuesday, with the deadline of 13 weeks. He is asking us to vote on this. I asked him for crucial information, namely whether if there are more than 13,000 people on a waiting list, there are 13,000 places. If there are 13,000 places, you can manage some people somewhere by moving them. However, if there are no such places, if there are 4,000 or 2,000 or 0 places available, the Secretary of State is arranging for his bridging care after thirteen weeks simply to be imposed. That is quite different from the mantra of freedom of choice. The Secretary of State is asking us to vote next Tuesday. I'm gonna ask him again to come up with the information on how many free spaces there are available. It's crucial to know that.
ParlaMint-NL_2016-03-24-tweedekamer-4.u72	Firstly, it was sent to the Chamber in response to Mrs Agema's questions about the waiting lists and the places. Secondly, the number of free places is not a kind of stock photograph. There are no empty spaces waiting for people. Those places in institutions are released when someone dies. The free space is then filled again. So that picture doesn't mean anything. It's about whether people are well-intermediated to a place in the institution and that, if they can't, there's bridging care. I have just indicated that we are managing this bridging care in two ways. The first is that if you receive bridging care, the normal conditions of effectiveness do not apply. The second is that, if there isn't a spot after thirteen weeks, of course you can't be forced to go to an institution you don't want to go to at all. After all, this concern must continue. That's exactly what this bill is about. That thirteen-week period is intended to ensure that there is sufficient effort, including from the healthcare office, to actively search for a place suitable for the person in question.
ParlaMint-NL_2016-03-24-tweedekamer-4.u73	On a point of order, the Secretary of State has just suggested that this information about the free spaces has been sent to the Chamber. That is wrong; I am far from it. I've asked the Secretary of State to come forward with that information, but he doesn't have it. However, he does ask us to vote later, while 13,000 people are on the waiting list and he has no idea how many free spaces there are.
ParlaMint-NL_2016-03-24-tweedekamer-4.u74	This is quite a relevant question. There are also places that are not available for as long as you would like, simply because they cannot be filled in from the healthcare office. A photo through a simple tour of all institutions could provide crucial information, including for the policy of the Secretary of State himself. However, I have another question. That thirteen-week period would encourage care firms to find a good place; that is what the Secretary of State says all the time, but what does it mean at the same time if he says that someone is generally going to find where he likes to live, sign up there and perhaps have to wait? Does this mean that the healthcare office lets that happen and after thirteen weeks says: you haven't been able to find it yourself; now you're going to live there? Or does the office say after 13 weeks that it didn't succeed; you still have 13 weeks of bridging care?
ParlaMint-NL_2016-03-24-tweedekamer-4.u75	I have wanted to point out that sometimes mediation is requested by the healthcare office, because there is no place to find. Then the care office will intercede. In most cases one goes in search of oneself to see if a place in an institution is suitable. If so, they say that they want to go there and whether or not they want to wait until a place is available there. That thirteen-week period is intended to make it clear that the healthcare office has an active duty of care for those people, whether on request or not. Of course, it depends on that: if someone has an indication and says "forget it," that search will not be there, unless the client wants that search. If someone wants a place in an institution, the health office has a duty to look for it within a period of thirteen weeks. If that does not work, the bridge care will indeed be extended.
ParlaMint-NL_2016-03-24-tweedekamer-4.u76	Finally, Mrs Leijten.
ParlaMint-NL_2016-03-24-tweedekamer-4.u77	This is crucial, because it is said here that the thirteen-week deadline is mainly an instrument for improving the functioning of health offices, but the consequences will be for those for whom no place has been found. That means they're being sent somewhere. I just want the Secretary of State's promise that no one will be forced to live somewhere he doesn't want to live, apart from crisis situations. In crisis situations, this has to happen sometimes, but if someone doesn't want to go to the place that the healthcare office found for him, they can never be forced to do so.
ParlaMint-NL_2016-03-24-tweedekamer-4.u78	No, you won't, because if you don't go there, you won't go there. Then the bridging care will be extended and then the regular discussion will take place in line with the Long-Term Care Act: which care is effective and is it justified? Then it's just about the rules in the Wlz. Very specifically, I say that the healthcare office must pay attention. There may be situations where someone says: listen, I am not going to that institution. Then the professional must say: care in the home situation is really no longer responsible, so are you sure? Beyond the efficiency requirements laid down in the law. However, no one can be forced to go to an institution if he does not want to. Then care will have to be taken care of at home, but with the remark that there must always be a professional to see if it is still justified.
ParlaMint-NL_2016-03-24-tweedekamer-4.u79	Mrs. Keijzer.
ParlaMint-NL_2016-03-24-tweedekamer-4.u80	Mr President, I would ask you if I may ask another follow-up question, because I am not yet here.
ParlaMint-NL_2016-03-24-tweedekamer-4.u81	Go ahead.
ParlaMint-NL_2016-03-24-tweedekamer-4.u82	In the discussion, the one who needs care is not the leading party. We'd love to, but it's a decision for that person. Can the next situation arise? After thirteen weeks of bridging care, the person in question says: I do not want to go to the place that the care office has arranged for me. Then comes the debate on efficiency. If it would not be effective at home according to the law, then someone would be given so little concern that a crisis situation would automatically arise, which would force someone to go to that place. We call it "care content," but that is actually organized by undressed care. I see from the Secretary of State that such a situation will not occur.
ParlaMint-NL_2016-03-24-tweedekamer-4.u83	No, the situation will rather be so that you should have so much care at home that it is no longer responsible or effective. These are the discussions that take place in practice. Of course, you can't say after 13 weeks: you won't get any more care. In fact, that is not possible at all, because you have an indication for the Wlz and the institution has a duty of care. If there is no place in the institution then care should be arranged at home. This should then continue until it is really impossible for reasons of substance or efficiency. Then you have that meeting with each other.
ParlaMint-NL_2016-03-24-tweedekamer-4.u84	This is the jumping point. I want to prevent us from standing here in a year's time with some examples of people forced to move. That is why I have the following question. After these thirteen weeks, all the demands of the Wlz are resurrected: it must be effective in the financial sense and it must be justified to give care at home. We are talking about the people who have a heavy need for care. Thirteen weeks go by. No place is found to be satisfactory at a reasonable distance. You're gonna get yourself into a situation where people are forced to go someplace they don't want to go? We're talking about people with such a heavy need for care that they can't actually do it at home. In any case, it is so expensive that it is said on the basis of the WlZ: and now I refuse.
ParlaMint-NL_2016-03-24-tweedekamer-4.u85	There's a Wlz indication, so heavy care is needed. On that basis we say: if that place is still not there after thirteen weeks, then we are going to arrange bridging care, setting aside a number of requirements to at least continue to provide care in the home situation. So if after thirteen weeks that place is still not there, then that situation will continue. It is still said that the person in question must look for a place, but the bridge care is continued. Nowhere has it been arranged that it will fall back to lighter care. The reverse situation may arise, namely that the demand for care will not fall but will increase more as it lasts longer and so people will be faced with the question of how much longer they will last. Then you get a discussion about whether the bridging care should be continued or that it really isn't at home anymore and you have to decide with each other to go to an institution, because you get the care you're entitled to and, most importantly, that you really need. The bridging care will therefore always be a continuation of the care that has been agreed. After that, the trade-off will be rather: are we still holding together?
