ParlaMint-NO_2003-03-19.ana.ud31e28	The representative of Geir-Ketil Hansen will make a private proposal.
ParlaMint-NO_2003-03-19.ana.ud31e483	Then it is a pleasure for me to say that we believe we have fulfilled this agreement between Norway and Sweden. Some measures have been needed in the area of infrastructure on the Norwegian side to facilitate, inter alia, the use of drugs. heeling train. These measures have been implemented – actions of 300 million have been implemented. Just to meet this need. So, of course, it's going to be so that we can do even more, and we can get even more speed on this train traffic. But in the department's opinion, we have fulfilled our part of the agreement. We're still going to bet on the railroad here in the country, and I want to remind you that we have a record high stake on the railway in the current year.
ParlaMint-NO_2003-03-19.ana.ud31e488	I am surprised that the Council of State is satisfied that we have trains on the Eastfold line that do not exceed an average speed of 80 km/h. But leave it. In Sweden, you now invest for every penny you invest on the road, 2 kroner on the railway. In Norway we invest for each kr we invest on the railway, 7 kr on the way. The NSB has lost passengers last year, and it may not be so strange when we see that investment profile. I would like to ask the Council of State: will she take the initiative to turn our investments in Norway into a larger investment in the railways? And is it really that we're satisfied when we can't drive faster than on average 80 km/h on our main railway down to Europe?
ParlaMint-NO_2003-03-19.ana.ud31e493	I am concerned that we will facilitate good rail transport here in the country. Also on the road side we are actually less speedy than 80 km/h on average at times and on some distances, so this is not a unique thing like this. We have a challenge in our country. The map does not look like it does in Norway as it does in Sweden; the settlement is completely different in Norway than in Sweden. We must focus on a transport policy that meets the needs we have – on the rail side and also on other modes of transport. This is important to me, and that is why we have just chosen to prioritise the railway as high as we have done in the current year. I would like to remind you that we have major challenges in other areas as well. What has been most important to us about the railway is maintenance and operation, because it's about safety. And then we have mainland Norway's largest facilities on the railway, Skøyen-Asker.
ParlaMint-NO_2003-03-19.ana.ud31e498	Let's move on to the next main question.
ParlaMint-NO_2003-03-19.ana.ud31e501	My question goes to the Minister for Transport. The SAS Group is in crisis, and its largest airline, Scandinavian Airlines, is about to be slaughtered on both the national and international markets. This is no coincidence, this is the result of something, a result that this government has deliberately decided not to implement a bet to secure SAS as a Norwegian national company, especially then, of course, on the domestic market. Since its accession, this government has done what it can to weaken SAS's role in the market. It has also concluded agreements with Air France, KLM, BA and Finnair on international routes rather than with SAS. This is now having serious consequences for thousands of jobs in the SAS group and could have consequences for thousands of jobs in the districts as a result of reduced transport provision. What will the Council of State do with that?
ParlaMint-NO_2003-03-19.ana.ud31e508	I'm actually a little surprised by the question, because it's not that many months since I was in this room and met with the opposite problem, that competition was too small, that prices were too high and the offer for bad around the country. Then a government policy was requested to help bring prices down, which would allow people to choose between several offers and get lower prices. There we have pursued an active policy. We have removed the air passenger charge, which has helped to reduce flight prices. We have got more players in the market, which has also helped to reduce prices. This is a good thing for the market. Compared to SAS having problems, I would like to remind you that I am not the owner of the Norwegian state – it is the Ministry of Economic Affairs, the Minister of Industry, who has that role. But as the responsible Minister of Transport, I am concerned that we should have a good offer here in the country. Then I'm concerned that yes, we're going to have room for SAS here, and we're going to have room for other companies, so we have a wide and good offer and low prices.
ParlaMint-NO_2003-03-19.ana.ud31e513	I think a Transport Council should also be concerned with jobs, at a time when unemployment is increasing as much as it is now happening in Norway. Let me remind you that this is not an argument against competition, but an argument for keeping a nationally based company. It is no coincidence that Air France dominates the French market. There is no coincidence that Alitalia in Italy or Lufthansa in Germany does the same. It depends on a national policy that facilitates conditions, where competition can work, but where a national company is also maintained. Is this an uninteresting issue for the Council of State?
ParlaMint-NO_2003-03-19.ana.ud31e521	It's probably other national companies that are in even bigger problems than SAS are. So it's that there won't be any more jobs because we don't make it easy for people to travel around the country, with a good offer and at reasonable prices. If we are to provide jobs throughout the country, we must have a good transport offer. Yes, we need SAS, but we also need others who can participate in this market. It's only when we can ensure that people get a good offer, that we keep the jobs, and that it's possible to work around the country and not just in Oslo.
ParlaMint-NO_2003-03-19.ana.ud31e526	Let's move on to the next main question.
ParlaMint-NO_2003-03-19.ana.ud31e529	I have a question for the Minister for Children and Family Affairs. On Saturday we could read in the newspapers that in a mosque in Oslo, mourning rituals consist of self-inflicted pain through pissing. In fact, VG could also show through image documentation that children up to 10 years of age were present and even participated in these rituals. A spokesman for the Shia Muslim mosque could tell that the police have known about these rituals for years, and that children have both participated and been present. I would therefore like to ask the Council of State whether she has been aware that such self-pitching rituals occur in Norway, and whether she has been aware that children have been present in the course of whipping.
ParlaMint-NO_2003-03-19.ana.ud31e536	The answer to that is no. I haven't known and don't know that it's going on that way. I was abroad these days, in Barcelona in Catalonia, and there were some headlines in the papers where we saw little children who were being flogged for blood. It was pretty horrible. But I'm not aware that this is happening in Norway. Fortunately, we have child protection in this country, and to the extent that something like that should happen, I expect child protection to be notified immediately and take action.
ParlaMint-NO_2003-03-19.ana.ud31e541	I thank the Council of State for the answer. It was very reassuring. When we know that the police have known that children have participated in such rituals, but have not intervened, it was very reassuring to hear what the council says now. We're trying to protect our children in Norway. We, as waxing representatives, make laws and regulations for children not to be subject to traumatic experiences. In concrete terms, when we know that this is happening – we know this, it is documented now – I will ask the Council of State: What does the Council of State intend to do to put an end to what can obviously be described as child abuse in the Shiamus milieu?
ParlaMint-NO_2003-03-19.ana.ud31e548	To the extent that this is a problem in Norway and we get to know it, of course we have to take it up in its full width. So far, no enquiries have been made to the Minister for Children and Family Affairs at least that this is a problem. We have laws and rules. We have the Children's Act, and we have the Children's Protection Act. We have very good laws in Norway to protect the child in every possible context when it comes to what we might call abuse. Immediately I don't see that I can go in and do something special, but I promise to keep up with the development. Of course, if there were to be things of this nature on my table, we should investigate and deal immediately.
ParlaMint-NO_2003-03-19.ana.ud31e553	The time for the oral question procedure is now over, and we're going to the ordinary question procedure.
ParlaMint-NO_2003-03-19.ana.ud31e558	There will be a number of changes in the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 3, from the representative of Mr Rudihagen to the Minister for Agriculture, will be answered by the Minister for Justice on behalf of the Minister for Agriculture, who has been removed. Question 11, by the representative of the Minister for Health Asmund Kristoffersen, has been withdrawn. Question 12, from the representative Ranveig Frøiland to the Minister for Oil and Energy, is postponed until the next Question Time, when the Council of State has left. Question 13, from the representative of Øyvind Vaksdal to the Minister for Oil and Energy, will be answered by the Minister for the Environment on behalf of the Minister for Oil and Energy, who has left. At the request of the Minister for the Environment, this question is moved and answered in response to question 29, which is to be answered by the same Council of State. Question 19, from the representative of Karita Bekkemelm Orheim to the Minister for Education and Research, will be taken up by the representative of Asmund Kristoffersen. Question 20, from Rita Tveiten to the Minister for Fisheries, will be taken up by the representative Leif Lund. Questions 21 and 23, from the representatives of Hill-Marta Solberg and Morten Höglund respectively to the Minister for Food and Trade, are postponed to the next Question Time when the Council of State has left. Question 22, from the representative of Gjermund Hagesetter to the Minister for Economic Affairs and Trade, has been transferred to the Minister for Agriculture who is directing him. However, the question will be answered by the Minister for Fisheries on behalf of the Minister for Agriculture, who has left. Question 28, from the representative of Marit Nybakk to the Minister of Defence, has been withdrawn.
ParlaMint-NO_2003-03-19.ana.ud31e587	I would like to ask the Minister for Foreign Affairs the following questions: «Wednesday, March 5th, d.o.b. informed the Minister for Education of South Africa in a briefing in Parliament that South Africa has received requests for unrestricted access for foreign companies in its education sector. This should be the wish of four countries in the WTO service negotiations. One of these countries is Norway. In an interview with newspaper BusinessDay that same week, the minister said that such an opening would be ‘destructive’ for higher education in South Africa. Is it true that Norway has made such a request?’
ParlaMint-NO_2003-03-19.ana.ud31e596	The WTO Service Agreement, GATS, was established to provide a multilateral framework of principles and rules for trade in services. The aim is to extend trade in services under conditions of transparency, non-discrimination and gradual liberalisation, as a means of promoting economic growth for all trading partners and developing countries. The ongoing service negotiations started on 1 January 2000, on the basis of a mandate laid down in the Service Agreement, with the aim of continuing the liberalisation process initiated during the Uruguay Round. Negotiations are now at a stage in which countries are promoting requests for each other. Norway has received a request from 23 countries and has sent a request to 51 countries. Countries shall, on the basis of their requests and bilateral discussions, submit opening offers by 31 March of this year. Norway has sent requests to 17 countries, including eight developing countries, to assume commitments for higher education and adult education. Trade in higher education services is a growing sector internationally. Norway is currently a relatively modest exporter of development services, but the potential for Norwegian exports in some areas, among others. for distance learning, is considered to be significant also in developing countries. In all requests to developing countries, we refer to the objectives of the negotiations given in the mandate of the WTO Ministerial Conference in Doha in 2001 and to the specific provisions of the Service Agreement on how the interests of developing countries should be safeguarded. We will show you, among other things: to Article IV of the GATS, which states that ‘the increasing participation of developing countries in world trade shall be facilitated’, inter alia. by ‘strengthening the capacity of their domestic service sector and its efficiency and competitiveness’; This is an integral part of Norway’s request to developing countries, which therefore contains an important element of cooperation. So we're going to take a different approach from that of the industrialized countries. Norway’s request to South Africa covers eight sectors. We are in a process of bilateral discussions to clarify which areas the parties may have an interest in moving forward. If South Africa in this process signals that they will not include higher education in the negotiations, Norway will not pursue the request further. In this context, it is important to stress that it is entirely up to developing countries themselves whether or not they will accept commitments in service negotiations.
ParlaMint-NO_2003-03-19.ana.ud31e607	I thank you for your answer. I perceive the foreign minister's answer as a yes to my question, that Norway has submitted such a request, and ask him to correct it if it is misunderstood. In this case, it is very interesting, because it is the first time the Stortinget has become familiar with one of the concrete requests that Norway has made to another country. It became known, not through information from the Government to the Norwegian Grand Duchy, but through information in the parliament of another country. This information was provided by the South African Council of States, both in Parliament and in the media. Both the opposition in the United Kingdom and a number of WTO-critical groups have on several occasions asked to be made aware of the countries that have made the demands for liberalisation to Norway in the GATS negotiations, and also of the requirements that Norway has made to which countries. This has been unwilling by the Government, on the grounds that it could damage the relationship with other countries. Does the Minister for Foreign Affairs think that South Africa is damaging the relationship with Norway by publishing such a request?
ParlaMint-NO_2003-03-19.ana.ud31e614	Just in order for there to be no misunderstandings about the matter itself, I must be allowed to stress that the public education institutions are not affected by the requests, because the GATS negotiations do not concern the public service – just so it is quite clear. So we're talking here about those who provide services. It is clear that any country – and I see nothing wrong in that Norway has just addressed such a problem in this area – will benefit from as good an offer as possible in terms of education. And distance learning is an important thing, which certainly the Light Bin and I agree on where significant contributions can be made. When it comes to his question, the answer to that is no. However, it is also on the side of the issue that Norway needs to take into account. When we're negotiating with other countries, it's like a ta-and-gi situation. It is not that Norway is the country that can give in the first place. There are many other countries that also require things. If Norway is going out in front alone, Norway must take the full burden of that debate. It will relieve others in-country, and I assume that the Light Hill and I are not particularly concerned about, some of us.
ParlaMint-NO_2003-03-19.ana.ud31e624	I thank you again for the answer. As the Minister for Foreign Affairs knows, SV and other parties have repeatedly asked for information on the requirements Norway has received from other countries in the GATS negotiations. But we have still received feedback that this is not desirable, or even impossible, as was the version of the Ministry of Foreign Affairs at one point in the autumn. Later it has been clarified that it is lawful in relation to the WTO Regulation to publish that type of information, but the Government has maintained that it is not desirable. Then I am very interested to know why South Africa can tell about who is behind the demands South Africa has received, when Norway cannot. The logical consequence of the rhetoric that the government has had in the past should be that Norway should feel that South Africa should not publish this information. Are we serious? And if we don't mean it, why can't Norway itself publish the demands we've received from other countries?
ParlaMint-NO_2003-03-19.ana.ud31e631	I have to admit that I am not quite sure if I fully got hold of the Light Tray's reasoning right now. So the point is that in every debate there is a question of taking and giving. When the best-condition clause applies here, it means that if all other countries that are required to move towards another country assume that Norway is the first to go ahead, and that consequently also has to give something to achieve, only Norway will have to give something, and then others in and on its own will be free of charge passengers in that process. And that has nothing to do with the relationship with South Africa. So there's no contradiction here. But in order not to make this more dramatic than most necessary, I would also remind you of what I said in my answer, namely that if South Africa in this process signals that they will not include higher education in the negotiations, we will not follow that request further. So I have to admit that I am not quite sure if I have completely got the point of the Lyssbakken question series today.
ParlaMint-NO_2003-03-19.ana.ud31e636	You have to clear it out in another arena.
ParlaMint-NO_2003-03-19.ana.ud31e643	‘Between 5000 and 10000 deaf people use sign language daily. Norway has undertaken to recognise that any person belonging to a linguistic minority has the right to use its minority language freely and freely. Sign language is such a minority language, but the sign language has no such rights. Will the Council of State contribute to Norway’s own Sign Language Act, thereby giving deaf people the right to sign language throughout their lives?’
ParlaMint-NO_2003-03-19.ana.ud31e650	In recent years, the Norwegian Dove Association has been in contact with the Ministry of Culture and the Church on several occasions on the issue of legislating Norwegian sign languages as an official language in Norway. Legislation, as they see it, will ensure better access to information and thus full participation and equality for the deaf in society. I'm busy being able to receive information and participate in the social debate at the same time as listening. However, there is some uncertainty about the legalisation of the character language in which official language is the best way to achieve this, and a closer assessment of this issue will be necessary. The Ministry will address this and other issues in this area — which are covered by the law on sign languages, the need for full linguistic rights, the protection of such rights in existing legislation and other issues related to this. The Ministry has asked the State Centre for Archives, Libraries and Museums to handle the distribution. The distribution will be carried out in close cooperation with deaf organisations. I hope that the distribution will continue this year. I am also aware that there is a proposal from the Nordic Council to carry out a survey of what is needed to integrate sign language into the Nordic Language Convention.
ParlaMint-NO_2003-03-19.ana.ud31e661	I thank the Council of State for the answer. I'm, like, like the Council of State, concerned that deaf people should be able to get in line with others. But now it's not like everyone deaf gets it. In particular, we experience that many deaf elderly people are distressed by their meeting with the home and hospital services, where they are often misunderstood. They're isolated and depressed because no one can communicate with them. Will the Minister, until we have our own sign language law, at least help to ensure that staff in the care sector have adequate language skills, and that this happens quickly? Many people feel that they are in a desperate situation.
ParlaMint-NO_2003-03-19.ana.ud31e670	When it comes to the education of those added, it's the responsibility of a government council other than me, and I'm probably not fully up-to-date either on what the situation is like. But I totally agree with the basics of the question. I would also like to remind you that there was a debate on this in the Stortinget in 1991, where, among other things. Grete Knutsen, Jon Lilletun and Hallgrim Berg got involved, and it was also said that there would be some sort of distribution. There have been many government councils since then. Now at least the distributions are starting. We're expecting a report in the course of the year, and we'll follow it up. So the goal is a few things. But what is the best way to achieve the goal? We want to do what we can to be able to achieve the goal, so that those who are poor, or do not belong, can become fully integrated into society and get the same information as they hear. I would also like to point out that we are working on a big message about policies for people with disabilities, and there we have a summary of results and experiences with, among other things. the disability action plan. Here, the Ministry of Education will give an account of the many measures taken to recognise the character language as its own language and follow-up of the legal right to training in sign language.
ParlaMint-NO_2003-03-19.ana.ud31e679	It's true that the question, and what I'm going to ask now, is maybe a little bit on the page, but it's about language. I feel that in the absence of a separate language law for sign language and in the absence of our own rights in this area, we face a number of situations in which language becomes an obstacle, and lack of language becomes a problem for deaf people. I've had several cases with municipalities that don't want to buy places for their deaf elderly people at institutions that are their own institutions for the deaf, or in hospitals where you have your own departments for the deaf. Among other things, there is a matter up to Conrad Svendsen's institution. I know it falls outside the scope of the case, but anyway, it's about language, and in that way I'm going to ask if there's anything the minister can contribute to finding solutions to this.
ParlaMint-NO_2003-03-19.ana.ud31e688	I am a little surprised at the follow-up question, because I have not been able to predict to answer that questioner asks questions about it. It is also an area for which I am not responsible. But to put it like this, I thank you for your commitment to the cause. Hers were invited to do something in 1991. No particular effort was made. Now we've at least started a work. I am also pleased with the commitment of the questioner to the Nordic Council to identify the same. And then we get as I get information, and we get a review of the case, see what we can do from our department. But I'm also overestimated that with the involvement of both the Ministry of Local Affairs, the Ministry of Social Affairs, the Ministry of Education – I think there were several departments involved in the questioning – there is a way for us to raise this group and show clearly the dishes they are going to have. And, as I said, there will also be recordings in relation to primary and secondary schools when it comes to training in sign language, in the big message that comes soon.
ParlaMint-NO_2003-03-19.ana.ud31e695	The President recalls that the Council of State has the full opportunity to reserve the right to reply, if the question is not relevant.
ParlaMint-NO_2003-03-19.ana.ud31e698	I want to remind the President that he can also reject questions.
ParlaMint-NO_2003-03-19.ana.ud31e707	This question, from the representative of Torstein Rudihagen to the Minister of Agriculture, will be answered by the Minister of Justice on behalf of the Minister of Agriculture.
ParlaMint-NO_2003-03-19.ana.ud31e710	‘On 26 February d.o.b. a small user was thrown out of his childhood home, the housekeeper's place Hakkloa. He and his parents have been tenants since 1919. The conditions for the state expropriation of the user according to Section 14 of the Law on Soil appear to be fulfilled here. He has promoted the matter of expropriation. The Ministry of Agriculture has not complied with this. In Dagbladet 27 February d.o.b. Professor of Law Carl August Fleischer states that he is clearly entitled to take over the property. What will the Council of State do to correct this injustice?’
ParlaMint-NO_2003-03-19.ana.ud31e717	In February 1998, Jo Arne Ødegård applied for the expropriation of the Hakkloa Vestre farm under rubble. 67 bn 1 in Oslo, where Carl Otto Løvenskiold owns. Following a thorough preparation of the case with several inspections and meetings in which the parties and the Ministry of Agriculture were present, the Ministry of Agriculture of the former Minister of Agriculture, Bjarne Håkon Hanssen, decided on 18 July 2001 not to expropriate the property for the benefit of the Land. The applicant complained to the King, but the complaint stayed at kgl. failure to comply with the Resolution of 5 February 2002. In all expropriation cases, an attempt shall be made to find an amicable arrangement to safeguard the interests of the parties and the purpose of the expropriation provision. It was therefore essential for the outcome of the expropriation case that Carl Otto Løvenskiold had offered to sell the property to Ødegård during the case. The Ministry of Agriculture found that this was a satisfactory offer in the light of the purpose of the law, and that the advantage of expropriating did not satisfy the mandatory requirement of the law that the expropriation intervention should undoubtedly be more beneficial than damage. The added advantage was, as the department saw, that desertion might be free to sell the site to other than its own life heirs, adoptive children, spouse or registered partner. The decision not to expropriate was conditional on Løvenskiold’s being offered, and therefore Ødegård was given a specified deadline to notify the Ministry of Agriculture if he wished to take over the place as offered by Løvenskiold. The Ministry of Agriculture received no such notification within the time limit. After the deadline had expired, the waste yard came back and asked for it to be extended. The Ministry could not extend the period without the consent of Løvenskiold. In that case, such extension would be contrary to the rules applicable to the conversion of decisions to the detriment of one party. Løvenskiold did not accept any extension of the time limit, and the Ministry therefore informed that the case was to be considered as finished. Jo Arne Ødegård has subsequently filed an action against the State claiming that the appeal decision is invalid. Oslo District Court has not yet taken a decision on the question. Jo Arne Ødegård has also applied for further expropriation. The application was submitted to Løvenskiold, who considers that there is no basis for considering a new application. It's per. at present no position has been taken as to whether the new application to Ødegård should be dealt with at present, or whether one should await the examination and the decision of the new application to Ødegård until Oslo District Court has taken a decision as to whether the present decisions are valid. The Ministry of Agriculture aims to clarify this issue with the first.
ParlaMint-NO_2003-03-19.ana.ud31e732	As I see it, the kiss here is very clear when it comes to the 1995 soil law, which says that the department can expropriate 'to the tenant, children or grandchildren'. This is the express will of the Greatness. According to Dagbladet on 27 February, Carl August Fleischer says that this has actually been the right thing to do until 1928. The question here is simply whether it is Regeningen's intention that the last housekeeper in Nordmarka should not take over the housekeeper's property, which has been run by his family for generations, with a necessary operating basis. What's the reasonableness of this? I'm aware of the offer from Løvenskiold to which the Council of State refers. To put it correctly, it was a draft of an agreement, which was later withdrawn, a draft containing a good number of clauses. One should not be allowed to drive sheep, and not with goats, and one should not transfer ownership to others other than their children – not even to any adoption children. My question is, why would they accept this, when it is the will of the Storting to give the right to take over the property, on an operating basis?
ParlaMint-NO_2003-03-19.ana.ud31e741	I have prepared a procedure in an area that is not mine, but the asker chose me, which is not a specialist council, for an answer. Then, of course, the answer must be scarce and not as kind as the questioner probably wanted. There was a procedure under the former government in 2001. That procedure did not come to an end in favour of expropriation. Then there has been a round that has led to a result that is well known. What the Ministry of Agriculture is currently doing is assessing whether to address the new initiative on expropriation or whether to await Oslo district court treatment. I cannot say more about it, because it is the status the matter now has. I am convinced that the Minister of Agriculture, when he is back from his journey, will address this question.
ParlaMint-NO_2003-03-19.ana.ud31e750	Thank you for that, because I think that's a little promising. The case is, as the Council of State refers to, a new treatment because the offer from Løvenskiold has been withdrawn again, the presidents have changed and there is a new application for expropriation. As Fleischer also says in a legal question, there is no basis for treating the applicant and West Hakkloa in any way other than that which is generally applicable to the liquidation of housekeepers' and tenants' relationships and the like. The last case was dealt with by both local and regional agrarian authorities. And that's right, as the council says, it's taking out the mood, it's due to legal proceedings. The best thing would have been to avoid it. I'll talk to the lawyer for the next one as late as last night. He says that he has asked for legal proceedings to be pending until one has dealt with the new application. I sincerely hope that the new application currently in the department will be dealt with in an ordinary way. There are case-law on this. There are many similar cases, regardless of a possible offer from Løvenskiold in this case.
ParlaMint-NO_2003-03-19.ana.ud31e759	Anyone who has been a little near the problem in Nordmarka has different feelings about it and also knows that there are different legal issues to consider. I am absolutely convinced that the Minister of Agriculture will go into it, and that he will balance all the facts that exist – including new facts in the matter. Of course, I see it as my duty to pass on to me the arguments that have been put forward. So that's going to happen.
ParlaMint-NO_2003-03-19.ana.ud31e767	‘The Nordlys newspaper of 25 February 2003 found that among the criminal offences in Tromsø, five–six per day commit crimes committed by other criminals. If they are caught, they will release again after a brief questioning and can in the next moment commit new crimes without a criminal response. What will the Council of State do to put an end to this type of crime, carried out by unpredictable persons?’
ParlaMint-NO_2003-03-19.ana.ud31e774	On the basis of the newspaper article referred to, let me first point out that anyone who asks unsuspecting persons to commit crimes could, as a general rule, be punished for participation. So you can't escape punishment by encouraging unpredictable people to commit the act. Responsibility for participation is independent and not conditional on the principal being punished. The Criminal Procedures Act also opens the way for the co-pilot to be apprehended and, where appropriate, to be jailed, if it is assumed to be necessary to prevent the person from re-participating in a criminal offence which could result in a higher sentence than prison for six months. So for reactions to unpredictable lawbreakers. On 11 June 2001, the Grand Duchy of Luxembourg adopted the following decisions: ‘The Government is asking the Government to assess a change in the penal code, in order to make it possible for unpredictable offenders who commit clearly socially harmful crimes to be judged more than at present to be subject to mandatory mental health protection or to mandatory care.’ In the Stortinget Question Time on 13 March 2002, the representative asked me Gjul questions as Minister of Justice about how I would follow up the decision. Among other things, I replied: this: ‘Which are more stringent than before, but I would like to stress that society can still protect itself against those who are dangerous. However, unpredictable offenders who are not dangerous but annoying cannot be subjected to a special reaction. Such safeguards were practised are not very different from the previous ones.I want to follow-up on the Storting decision in several ways. Firstly, I would like to take an initiative with the Minister of Health in a short time. Furthermore, I would like to discuss the matter with the national lawyer at the next contact meeting. In parallel, I will follow developments closely to see how the provisions on special reactions for unpredictable work in practice. I think there might be reason to consider this issue before the general back-up after about three years.’ On 16 April 2002, the Ministry of Justice of the Ministry of Health asked the Ministry of Justice to assess whether changes can be made to the Mental Health Act to ensure that psychotic offenders who commit clearly socially harmful crimes can be dealt with by mental health protection. The Ministry of Health then replied that nothing can be done in this department's legislation. This group of criminals represents a problem area that concerns both health services and criminal justice. Dialogue with the health side should therefore continue, and for the police, it is a priority task to carry out prevention work aimed at this target group. However, the experience so far suggests that it would be appropriate – as I see it – to go through the special reaction rules before the regular back-testing in order to reconsider whether the rules of use for custody and compulsory care should be extended. In other words, I think it is relevant to carry out what I said last year when I replied that I would consider doing.
ParlaMint-NO_2003-03-19.ana.ud31e800	I thank the Council of State for the answer. To be honest, I'm a little disappointed in the answer. Here the Minister of Justice still talks a lot, but very little action. So it's been a year since the last time this question was raised in Stortinget, and it still hasn't happened anything. It's a problem that increases in strength. Other criminals, too, see the possibility of using the criminal law outlaws to commit crime. I'm sorry about that. Police officer Truls Fyhn in Tromsø has also addressed this several times and warns against the growing problem. When will the Council of State come up with concrete measures to get these criminals out of society, to say that, so that you can get law and order back in Tromsø?
ParlaMint-NO_2003-03-19.ana.ud31e809	First, I have the impression that law and order apply in Tromsø. For the group we're talking about here, which is so-called harmless and falls between different laws, it's a system that's not satisfactory. The representative is quite right about that. It is also the case that what the Storting asked for in its time was that you should look at what you could do under health law. There it's clear that there's little to do. Then I intend to carry out what I said, namely a post-control check in connection with specific criminal-law reactions before the post-control period, in order to be able to respond precisely. So I went on to say in my first answer, which I think must be important, that whoever contributes to someone who is unreliable, in this way commits a criminal act, can be affected by the participation rule. And the participation provision in Norwegian legislation is strict. It should also be able to be used actively by the police. But I see no need to wait with the back check, among other things. For the reasons the representative addresses in his question, and because I follow up on the answer I gave last year, in the way I have done in the first answer to the representative.
ParlaMint-NO_2003-03-19.ana.ud31e818	I thank the Council of State for the answer. The most important thing here is to get rid of the criminally unpredictable, because then it has also been eliminated that other criminals can use them as a tool to commit crime. I understood the Council of State right, that there is a lack of responsibility between what is involved in justice and what is involved in health, at least I ask the Council of State to intervene in it immediately. I would also like to know if the Government is going to take this into account in the revised state budget, because it also has an economic side that needs to be followed up. It does not help to adopt laws if it is not followed up in practice by financial means. I would like an answer to that question.
ParlaMint-NO_2003-03-19.ana.ud31e827	What is presented in the revised national budget will appear there. In any case, there will be something related to this, with which the Storting has previously been known, namely that it is able to transfer someone who has been sentenced to custody, and it is not this group, which will then be able to be treated and helped locally. It shall be transferred from the Ministry of Social Affairs to the Ministry of Justice, as has been mentioned earlier in the budget of the Grand Duchy. That means we're getting stronger into this field. I think that's right. As far as this field is concerned, I have had a dialogue with the health authorities. We have found that they believe that the legislation no longer extends. Then it is my duty to drill in this interface, so I should be sure that this interface does not become a grey zone. That's why I already answered it in my first answer. In terms of participation, involvement in crime is serious. It's already punishable. There is every reason to take those who contribute to participation, whether in relation to criminal offences or children. That's what Stortinget has marked in a number of contexts, and so have I as Minister of Justice. But the representative and I have a common opinion: we should not have grey zones, and that is why we should go into it. That's what I intend to do by implementing post-controls.
ParlaMint-NO_2003-03-19.ana.ud31e839	I would like to ask the Minister of Justice the following questions: ‘In recent media projections, it has been shown that there is a significant shortage of shopping sites around the country. It is claimed that desperate police lawyers have to release revenants because there are no available custody cells. Another important element in this is the negative signal that gives people the most, and that the criminal does not get an immediate response. What will the Council of State do to improve what appears to be a nationwide problem?’
ParlaMint-NO_2003-03-19.ana.ud31e848	As Minister of Justice, I look very seriously at the issues raised by Mr Ellingen. I have therefore taken the initiative of several measures to improve the situation of care. These are measures in addition to the extension of the set-aside capacity launched from the autumn of 2002 to the present day. During the first six months of this year, several actions have already been implemented or planned: 15 closed custody sites at Ullersmo prison were put into service from 1 March this year.At least six new doubles will be put into service at Bergen prison from 1 April this year.40 cells in Oslo prison, which the Oslo police have lent, will be released in the month-end of March/April. This represents a total of 78 prison sites within the first six months. In January and February of this year, a total of 26 doubles were carried out each month at various prisons to remedy the situation, and then we talk about doubles in addition to the multi-person rooms that we have in open institutions, and the multi-cells that we have, among other things. has a prison in Åna in Rogaland. The central administration of criminal justice cooperates closely with the Police Directorate in order to ensure the optimum functioning of communication and procedures between the police and the criminal justice system and to avoid situations involving the release of serial criminals. It may seem that the measures now taken have already begun to work. The prison directors reported at 9 a.m. on 9 March. 24.00. there was no breach of the so-called self-imposed 24-hour rule. The difficult situation of care has led to the fact that several people have been under police arrest for too long in relation to this rule. The positive feedback in this field is a good indication that the care situation has improved. Any further action to increase the number of prison sites will be assessed in the context of the current budgetary process.
ParlaMint-NO_2003-03-19.ana.ud31e879	I thank you for the answer so far. That sounds very positive. That means, if I'm going to draw this further, we don't have to expect any more negative headlines in the media about the lack of custody places, with the handle that the minister here refers to. If that's true, we're very happy with that. For one of the most important things about not having enough capacity is that the criminals do not immediately get a response that is required, and – perhaps most importantly – that they do not give a signal to the victims of crime that their situation is being properly and properly handled. That is my main concern in relation to this matter. The next thing I'm going to ask the Minister in the course of this extension is whether the Minister is satisfied with today's situation in relation to the care problem.
ParlaMint-NO_2003-03-19.ana.ud31e888	One can never be satisfied as long as one has a set queue and lacks a set-aside capacity. But what is known is that the priority of reconciliation is: 1st care, 2nd serious crime, among other things. gang crime, and the third crime of violence. But when we run the prisons by 95 pst. capacity, as we have done in 2001 and 2002, situations may arise in relation to preventing this, and of course it may also lead to long-distance transport of prisoners in this country. I have then taken the initiative to ensure that the police and the criminal services have such close contact that they know each other, so that the situation of priority group 1, taken care of, comes out with the situation that the representative mentions. It's going to be unacceptable that you can't insert anyone that's to be inserted. That's why, in a number of situations, we also have a violation of the 24-hour rule that we have imposed ourselves. And I see that we have fewer fractures, as an indication that we also have capacity. But I'm going to follow it carefully. There will always be a pressure on this as long as we have too little reconciliation capacity. But I'm going to follow it closely, because it's unacceptable that we can't put them in the custody that's going there.
