ParlaMint-NO_2003-01-29.ana.ud1382e28	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2003-01-29.ana.ud1382e564	This question has been withdrawn.
ParlaMint-NO_2003-01-29.ana.ud1382e571	This question, from the representative Olav Gunnar Ballo to the Prime Minister, will be answered by the Minister of Culture and the Church.
ParlaMint-NO_2003-01-29.ana.ud1382e574	I will ask the Minister of Culture the following questions, even if it was originally addressed to the Prime Minister: ‘The Minister of State, in talks with the President of Russia, called for cooperation on concrete projects across the Norwegian-Russian border. As is known, there are plans for the construction of Kautokeino, which was in 1852, where the timber is to be delivered from Russia, and Russian carpenters are responsible for the construction of Kautokeino 1852. The project will also meet the Equalisation Communication, as a business project in Finland. The matter is discussed in the Innst. S. No 196 for 2001-2002. Does the Prime Minister take the glove?»
ParlaMint-NO_2003-01-29.ana.ud1382e583	I want to show that this question was discussed by the Stortinget as late as June 2002. A majority in Stortinget went against this construction project and indicated that the investment plan for national cultural buildings did not allow for new construction projects until early 2006. The representative, Mr Ballo, asked a similar question in the February 2002 Question Time. He then received the same answer from Minister for Children and Family Laila Davøy, who replied on my behalf. I can't see that things would be different today, despite the fact that the project has maintained cooperation across the Norwegian-Russian border. Since then, both the Ministry of Culture and the Church, the Ministry of Local and Regional Affairs and the Ministry of Industry and Trade have assessed applications for support for the project. So far, none of the departments have found the basis to give way to the project.
ParlaMint-NO_2003-01-29.ana.ud1382e592	It is clear that the Minister of Culture chooses his quotations with care in relation to the Storting's handling of the matter. I would like to emphasise a comment in the position taken by the Culture Committee when the matter was discussed, where it says: ‘This majority will point to the possibility and see this project as an industrial project targeting internal Finnmark, cf. St.meld. [[1998 - 1999]] No 50 The Smoothing Message, and asks the Government to return with an appropriate assessment as soon as possible.’ I want to demand the government's assessment, which was to take place as soon as possible.
ParlaMint-NO_2003-01-29.ana.ud1382e602	As I said in my answer, the Ministry of Economic Affairs and Trade has assessed this matter and found that it cannot be supported. I'm going to make sure that the assessment that's being requested comes back to Stortinget.
ParlaMint-NO_2003-01-29.ana.ud1382e607	I think it's interesting to read the conversation between the Prime Minister and Putin, where you discuss current projects, and where cultural projects are drawn out in particular. A declaration between Prime Minister Bondevik and Putin describes closer contact and more frequent mutual visits between artists and cultural institutions in the two countries. It is agreed to cover areas such as music, dance, theater, film, visual arts and literature. And you have a relatively vivid description of how this is going to happen. But what you can ask is what are the concrete projects that you're thinking of. So here you get a concrete project served on a silver barrel and duly no thanks.
ParlaMint-NO_2003-01-29.ana.ud1382e614	You can ask questions about whether it is served on a silver barrel or what it is, at least it has to be paid. When it comes to cultural means or means of cultural construction, the representative knows that we have a code there, and that we do not have the opportunity to find funds until 2006 for this project. It was also repeatedly underlined when we had the debate in the United Kingdom in 2002. For me, it is also important to stress that the Ministry of Industry and Trade has seen this project as a nutritional project, and they have not found that this is what Finnmark needs. When it comes to other interactions between Russia and Norway in the cultural sector, we have many possibilities. But I didn't think giving support to this construction project is the best in that way. It's resource-requiring, and we don't know how much cultural life will benefit from it either. In all the other areas mentioned by the representative, there will be good cooperation between Norway and Russia, but I think this building project is not the best project to facilitate such cooperation. I actually mean that one will bind up very large resources in some buildings. There are enough timber from Russia, but I think there are other forms of cooperation in mind.
ParlaMint-NO_2003-01-29.ana.ud1382e626	I am delighted to ask the Minister for Foreign Affairs the following questions: ‘Libya is a dictatorship country that has been known for many years to support international terrorism. A representative of this terrorist state has now been elected as head of the UN Commission on Human Rights. What confidence does the Minister for Foreign Affairs believe that we can subsequently have in the UN Commission on Human Rights and the UN system in general?’
ParlaMint-NO_2003-01-29.ana.ud1382e635	On the Norwegian side, we strongly regret the election of Libya as chairman of the 59th session of the UN Commission on Human Rights. The Commission is the main forum for addressing human rights issues in the United Nations. It is therefore important to be led by a representative of a country that has a credible profile on human rights issues. This is not least important in relation to the Commission’s external face and the overall level of confidence of the Commission. On the other hand, the importance of the President should not be exaggerated, even if the signal power cannot be depreciated in this case. The 53 members of the Commission make all important decisions jointly. The President’s role is to chair a board composed of one representative of each of the three UN regional groups. This work rotates between the different regional groups, which also nominate their candidates to the board. Next year, it's the turn of the West Group to take over the leadership. We have made our view of the Libyan Presidency known both to the African countries and to the international environment in Geneva, where the Commission meets. In the election of the government, which took place on January 20, the United States went this year to the unusual step of asking for a vote on the Libyan candidate. Norway is not a member of the Commission and therefore did not vote. Recent efforts have been made in Geneva to reduce potential adverse effects in this situation. All regional groups now seem to be prepared to put this behind them and concentrate on the important work the Commission is facing. I therefore hope that the Libyan leader will now feel a special responsibility to lead the Commission's work towards constructive solutions. At the time Libya is the President of the Commission, there will also be a special focus on the internal situation in the country. We hope that this too can work positive. In other words, I assume that the Commission will carry out its important work in a constructive and professional manner. However, I hope that the different regional groups will think more carefully before nominating their candidates for future elections.
ParlaMint-NO_2003-01-29.ana.ud1382e648	I am, of course, satisfied with the Norwegian position on the presidential election. But I wonder if the Minister for Foreign Affairs has come up with some ideas about the majority who can vote on such a representative to the head of a Human Rights Commission, and what this tells of the UN's ability and inability to secure peace, freedom and democracy in the world. This is not the first time the UN has scandalized itself. We remember the UN's indirect involvement in the Serb massacre of the civilian population in Srebrenica. The question is whether NATO and the United States have proved to be a better instrument to ensure peace, freedom and democracy than the United Nations is, among other things. on the basis of such scandals.
ParlaMint-NO_2003-01-29.ana.ud1382e655	I agree with Jan Simonsen that this election is giving completely wrong signals, and that it is raising debates that shouldn't be raised, because you should focus on other things. But I understand that there will be debates, because this signal is completely wrong. That means that even if you're going to try to get the maximum positive out of this session, I focus on what I said at the end of my answer, that it's important that we in dialogue with other groups now really draw experience of what's happened, and make sure that nothing similar happens later. I don't think at all that in our dialogue with African countries we should make it clear how successful their choice has been this time.
ParlaMint-NO_2003-01-29.ana.ud1382e660	I don't have any further questions. I am pleased with the answer and just hope that the Foreign Minister will take these thoughts about what has happened, with him in the further debate on the Iraq issue.
ParlaMint-NO_2003-01-29.ana.ud1382e665	Yeah, well, it was just a shipment to go on. But I want to say that the Iraq issue lies within the UN Security Council, and I have full confidence in the 15 members of the UN Security Council.
ParlaMint-NO_2003-01-29.ana.ud1382e673	I will ask the Minister for Foreign Affairs the following questions: ‘For the first time since 1998, UN weapons inspectors have been inside Iraq. They do a very important job, which they must be given the opportunity to complete. How does the Minister of Foreign Affairs assess the report of 27 January, what does it mean for the Government's assessment of a possible military attack on Iraq, and how does the Minister of Foreign Affairs assess the likelihood of a war in Iraq?’
ParlaMint-NO_2003-01-29.ana.ud1382e682	UNMOVIC and IAEA weapons inspectors carry out work of the utmost importance. When we sat in the Security Council, we ourselves were involved in designing the terms of reference and duties of the inspectors and what requirements the regime in Baghdad had to meet. The arms inspectors' report of 27 January confirms that Saddam Hussein does not cooperate adequately with the inspectors. That is not enough from the Iraqi side to help establish whether there are weapons of mass destruction in Iraq. We note that the inspection report indicates that inspectors need more time for their work. We cannot yet confirm or cancel the presence of weapons of mass destruction or prohibited missiles. The report also refers to a number of serious points to which the inspectors have not received satisfactory or only incomplete answers. Among other things, 6500 bombs with chemical warheads have not been adequately accounted for or have provided satisfactory evidence of the destruction of 8500 litres of anthrax produced. There are signs that Iraq has produced more anthrax than mentioned, and that it has tested rockets with a range beyond the permitted 150 kilometers. Our view has always been that inspectors must be given the opportunity to carry out their work in accordance with the mandate given in Security Council Resolution 1441. We are therefore pleased that the United States and the United Kingdom now seem to be willing to give inspectors more time. World society and the UN must set clear limits on what is possible from the Iraqi regime. But an armed conflict is not inevitable. We are now awaiting re-examination by the Security Council of the inspectors' reports, starting in New York later today. The way in which the world society acts must be anchored in decisions of the Council. That will be the basis on which the Government bases its position.
ParlaMint-NO_2003-01-29.ana.ud1382e695	I thank you for your answer. The Minister for Foreign Affairs notes that the United States is committed to giving the weapons inspectors more time. But if we listened to President Bush's speech last night in Norwegian time, it was not possible to interpret it in any other way than that the time that would be given was very limited. I would also think that it is relatively impossible for the United States to have the forces standing in the Gulf for a very long time. In the previous round, weapons inspectors spent a very long time in Iraq before they were unfortunately thrown out in 1998. Now we've given the weapons inspectors only weeks to work. My question is: with the knowledge the Foreign Minister has in this field, does he believe that a few weeks more for the weapons inspectors is sufficient to do the job they are supposed to do in accordance with Resolution 1441?
ParlaMint-NO_2003-01-29.ana.ud1382e704	I think that's reason to stress two important things first. Firstly, it was Iraq that threw out the weapons inspectors in 1998, and at that time there were a number of unresolved issues that Resolution 1441 called for Iraq to clarify. They could do that. The problem with the report that came on Monday is that Iraq has not given the clarification of the unanswered questions that have been there. It is surprising that Iraq has not used the opportunity to answer these questions. The second is that when the inspectors came in this time, it was precisely because of the pressure in Resolution 1441. I think you have to admit that the total construction of 1441 is exactly why we now have inspectors in there. So ask Åslaug Haga how long the inspectors need. It's hard for me to judge. I have noticed that the inspectors themselves have had some views on it. But I think it has to be said that this is what the Council now has to sit down and discuss, so that they have the opportunity to decide on a time frame that is satisfactory. Norway has been clearly both public and in communication with related allies that it is important that inspectors have time to do the job they are going to do. But it is important to stress that the inspectors' work is more than just looking. It is also to assess the answers they get, and at that point Saddam Hussein could already have provided reasonable and correct answers to these questions. He hasn't.
ParlaMint-NO_2003-01-29.ana.ud1382e713	I am pleased that the government has been ready on the question of whether the weapons inspectors need more time. Then it will be interesting to follow the process in the Security Council in the future. In relation to a military attack, a sailor must also consider how acute the danger is that Saddam Hussein, if he is to have weapons of mass destruction, will actually use them. That's my follow-up question to the Minister of Foreign Affairs. How acute does the Minister for Foreign Affairs perceive the danger of Saddam Hussein using weapons of mass destruction?
ParlaMint-NO_2003-01-29.ana.ud1382e720	I think it's impossible to give an answer with absolute precision to that question. We must remember that this is a very unpredictable dictator in a very closed country who has previously shown that he is capable of both attacking neighbouring countries and using weapons of mass destruction. And if there's something really scary, it's just chemical and biological weapons, because they're not least easy to hide and easy to produce. But I would like to remind you that what has been the United Nations' demands all along has been that this type of weapon should go away. The area must be demolished. That's what both the truce agreement and a lot of UN resolutions are all about. That's why it's the demand towards Saddam Hussein that you have to deal with. Now the outside world's pressure on Saddam Hussein has to be put there. Something else can create very dangerous situations.
ParlaMint-NO_2003-01-29.ana.ud1382e731	‘A war against Iraq could create a very dangerous international situation. Norway is no longer a member of the UN Security Council and therefore has to use other channels to influence decisions relating to international peace and security. How has the Government recently worked to contribute to a peaceful settlement of the Iraq conflict, and what concrete initiatives has Norway taken?’
ParlaMint-NO_2003-01-29.ana.ud1382e738	The government believes that it is by helping to shape and support active, determined and credible treatment in the UN that Norway can best contribute to a peaceful solution. We did that as a member of the Security Council, and we do that now. In fact, according to Chapter VII of the United Nations Charter, a global society has decided that it is none other than the Security Council to decide how the world community is to face threats to international peace and security. The uncertainty as to whether Iraq still has weapons of mass destruction and means of delivery is such a threat. Although we are no longer a member of the Security Council, we still have the opportunity to influence the decisions taken in the Council. With this in mind, we have taken a number of initiatives towards the Member States of the Council to communicate our views and give a clear message. Contact with the United States and other related countries has been particularly important. The message we give is that the UN track must be followed. Inspectors must be given the time they need to carry out their duties. Countries with information that may be useful to inspectors must share such information with the UN. We've clearly expressed this to the United States as well. It is up to the Government to remove Iraq's weapons of mass destruction without the use of force. UN Security Council Resolution 1441 has drawn up the framework for how we can achieve this. But we know from experience that Iraq only cooperates under pressure. There can be no doubt that if Iraq again breaks the binding demands of the Security Council, Saddam Hussein and his people are exposed to the most serious consequences. It is therefore important to maintain the pressure on the regime in Iraq.
ParlaMint-NO_2003-01-29.ana.ud1382e753	The debate in the past has shown and made visible that the Government has a very passive attitude towards the UN Security Council, which is strange in view of the fact that Norway has just left the Security Council, and is strongly in charge of the somewhat unclear resolution 1441. The United States will press for support for a war. Germany and France are against a war. Which side are Petersen and the Government on, and which side will Norway support in the run-up to the new treatment in the Security Council?
ParlaMint-NO_2003-01-29.ana.ud1382e760	It is not right that the debate earlier today has shown that the Government has a passive attitude. On the contrary, the debate earlier today has shown that the Government is following the UN track. As I also explained in my answer, it's the right way forward. It provides a roadmap for how this case is to be handled, so that Saddam Hussein is demolished without the use of military resources. It's just following this map that's the wise attitude. In fact, I believe that if someone should review the debate from earlier today, it is not least SV. For now it is important not to send guarantees to Iraq about what will not happen if he continues to refuse to cooperate. Now the pressure must be put on Saddam Hussein. It's a responsibility that's also on SV.
ParlaMint-NO_2003-01-29.ana.ud1382e767	There is now a massive build-up in the Gulf, and the war is being prepared by countries like the United States, the United Kingdom, Australia and many others. Red Cross has pointed out that Norway should contribute to humanitarian work in Iraq, where one can make a great effort rather than make military contributions. If it becomes a war, the humanitarian situation in Iraq will go from evil to disaster. It is a paradox if it is to be such that the strong military forces are preparing for war, while countries that are good for humanitarian action are not preparing for war. The question is therefore: has Norway begun to prepare for a humanitarian response in the event of a war in Iraq?
ParlaMint-NO_2003-01-29.ana.ud1382e774	I am pleased that the questioner did not follow up on his previous question. To this question, I would say that I think it is very important that we now do not anticipate that this conflict will be resolved by military means. I think it's very important that we make sure to send that signal that we are now avoiding using military instruments if we get a solution in peace. However, if the worst happens, the questioner can be sure that Norway will also contribute, but we must now ensure that this conflict is resolved without the use of military instruments. That's why I also appealed to SV about how to deal with this in the public debate. It is also a very significant responsibility that lies there.
ParlaMint-NO_2003-01-29.ana.ud1382e787	This question, from the representative Siri Hall Arnøy to the Minister for Foreign Affairs, will be raised by the representative Jørund Leknes.
ParlaMint-NO_2003-01-29.ana.ud1382e790	I will ask the Minister for Foreign Affairs the following questions: ‘Any war against Iraq could have a ring-fenced effect on the whole Middle East and could affect the already very tense conflict between Israel and the Palestinian authorities. International initiatives are now urgently needed to find ways of peace in the Middle East and to move on with the establishment of a Palestinian State. What role does the Minister for Foreign Affairs see that Norway can now play in the Middle East?’
ParlaMint-NO_2003-01-29.ana.ud1382e799	The government will continue to do what it can to contribute to a peaceful development in the Middle East. In order for such a development to take place, we must do our utmost to find lasting solutions both to the Iraq conflict and to the conflict between Israel and the Palestinians. It is tragic that the violence and suffering in the conflict between Israel and the Palestinians continue, and that the attitude of the parties has made the effort to arrive at political solutions largely on the ground rest for over two years. In this difficult situation, the Government has done what it has been able to contribute to a lasting peace settlement. We have been and are active along several lines: we are participating in the international working group on Palestinian reform. We lead the donor country group AHLC and local committees. Norway has called for a rapid AHLC meeting to discuss how to deal with the growing humanitarian and economic crisis on the Palestinian side. We are also in constant contact with the so-called Quartet, consisting of the United States, the EU, the United Nations and Russia, which is leading the international efforts for peace in the Middle East. We hope that the Quartet will decide as soon as possible and start implementing its comprehensive road map for peace, where the goal is two states living in peace alongside. As I said, there is unfortunately little or no progress to track. But despite that and many other challenges, it is important that the international community continues to focus on the Israeli-Palestinian conflict.
ParlaMint-NO_2003-01-29.ana.ud1382e812	I would like to draw the Foreign Minister's attention to the fact that any war against Iraq will undoubtedly lead to an even greater distinction between Western and non-Western countries. That distinction is also very clear between Israel and the Palestinians. If Norway becomes an active party in any war against Iraq, this will lead to even more distance from the Palestinians. For this reason, it would be right for Norway today to adopt a more critical attitude towards the occupying power of Israel. In fact, Ariel Sharon recently said that he was not interested in negotiating with anyone other than the United States about peace in the Middle East, and therefore it will be nearby to ask the Foreign Minister if he is satisfied with the American Middle East policy.
ParlaMint-NO_2003-01-29.ana.ud1382e822	Let me first say that I am fully sharing Leknes' perception that there may be serious ringing effects of a war in the Middle East. That's why the government has such a pressure to try to resolve that conflict without the use of military instruments, and that's why I hope everyone can now join in and put a pressure on Saddam Hussein. There's some of the key here, and it puts a pressure on all the parties. When it comes to how to proceed in the Middle East, there has been a lot of calm about the elections. The election has now been held, and we have to deal in time with a new government in Israel. It's quite clear that we've said many times before, and probably also have to repeat, that we encourage the United States to put a clearer and clearer pressure on Israel. I want to take this opportunity to repeat what I have said on previous occasions, that it has been continuous on our part. With regard to what Norway is going to do, I would remind you that one of the reasons Norway has had a useful role in the conflict also for the Palestinians is that we have managed to deal with our situation so that we are in dialogue with all parties. I believe in many ways that that role is important to keep in the future. Otherwise you will lose the opportunity to contribute to a peaceful solution, which I think is something we all want, and not least to the two-state solution, which I am absolutely sure we agree on.
ParlaMint-NO_2003-01-29.ana.ud1382e833	I'll follow up. Last night, Ariel Sharon and his Likud party won the parliamentary elections in Israel, and we can count on Sharon continuing as President. On Sunday morning, twelve Palestinians were killed and 51 injured in a large Israeli attack on Gaza. Israel is the state of the world that has broken most UN resolutions, and Israel is still an occupation pact. There is therefore no reason to treat Israel and Palestine equally. We must press Israel harder if we want to be a peaceful solution to the conflict. My question to the Council of State is therefore: is it not time for economic or diplomatic sanctions against the State of Israel?
ParlaMint-NO_2003-01-29.ana.ud1382e842	What's the goal here, and that shows how difficult this conflict is here, is that the outside world has to make two peoples live side by side in security. So the goal is two states. So there might probably be different opinions about the way forward there, but I have to say that I believe the path that is paved by several governments before this, also should be led by this government. This does not mean that we are not clear in some of the matters where we need to be clear and say clearly. The questioner just mentioned the episode that happened this weekend. He has probably seen that I have made a clear statement on this matter, and I also expect the questioner to appreciate it.
ParlaMint-NO_2003-01-29.ana.ud1382e849	Then we go to question 16.
ParlaMint-NO_2003-01-29.ana.ud1382e855	We switch themes quite strongly, but equally full of a conflict that is more local. The question to the Minister for Education and Research is: «The Ministry of Education and Research has recently let the Municipality of Oslo take over the teaching responsibility of the students at Minerva secondary school in Oslo. In practice, it means that the UFD has also transferred the employer’s responsibility to teachers who previously taught at Minerva. UFD has confirmed that students who have gone to Minerva in the autumn of 2002 are considered eligible. In view of this, will the Council of State ensure that the outstanding salary of teachers, who have taught approved pupils in the autumn of 2002, is paid?’
ParlaMint-NO_2003-01-29.ana.ud1382e864	Minerva high school reported on 7 November 2002 that the school would leave teachers and administration as of 13 November 2002. In order to prevent the students from being completely unskilled during the last weeks before the exam, the department of Oslo asked the municipality to take over responsibility for the teaching of the students at Minerva. I would like to stress that neither the Ministry nor the Municipality of Oslo were legally obliged to do so. For the sake of order, I would also like to make it clear that far from all the students who attended Minerva in the autumn of 2002, Minerva was entitled to state aid. The reporting of students on courses that were not eligible was one of the reasons why the Ministry withdrew the approval of Minerva secondary school. The fact that the Ministry and the Municipality of Oslo took responsibility for the students does not imply, as the question states, that ‘the UFD has also transferred the employer’s responsibility for teachers who had previously taught at Minerva’. The Ministry has asked the Municipality of Oslo to take over the implementation of the teaching of the students for their sakes. However, neither the Ministry nor the Municipality of Oslo has taken over Minerva AS. Former teachers at Minerva, who were temporarily engaged by the Municipality of Oslo after the permit, are in a new and independent employment relationship with the municipality. The wage demands that Minerva's teachers had to have against the school from the time before the leave, will be a matter between the teachers and Minerva AS.
ParlaMint-NO_2003-01-29.ana.ud1382e873	I thank you for the answer, which I am not satisfied with. The background to the problem is not that the school leaves on its own initiative and by its own initiative, but that there is a disagreement related to the number of students and documentation on the number of students following a school curriculum. The consequences of having a discussion with the Department on counting students and documentation of students are that both students and teachers are hit as innocent third parties. In any case, students have been partially taken care of as they have completed their education in another way. The aim of the teachers is not met when the school is standing without the expected support for initial education, support to finance salaries for teachers for completion of education. So they stand back unremunerated because of a discussion about counting students and documentation of students who have followed the teaching. It is a dramatic measure, and if the answer is that the school, through forced desire for bankruptcy, triggers guarantees from the wage guarantee fund, the question of whether the Council of State considers this to be an acceptable procedure.
ParlaMint-NO_2003-01-29.ana.ud1382e882	It is true that the representative of Sortevik stated that the department had withdrawn the school's approval in two letters and demanded a refund of 21,5 million. kr in State aid. Both cases are brought before the Court, and they are dealt with in the Department. Of course, we aim to deal quickly with these complaints. However, I do not find it appropriate to comment on the content of the two cases until they have been processed. It has to be seen a little isolated from the school going to the lay-off, and the education stopped. At that time, the Ministry was not legally obliged to provide the students with another offer, but we took the initiative that they could receive such an offer from the Municipality of Oslo. This does not mean, however, that employers' responsibility for teachers has been assumed, unless an independent agreement has been reached. I do not find any question of bankruptcy to comment on. I'm not familiar with Minerva AS being bankrupt.
ParlaMint-NO_2003-01-29.ana.ud1382e889	I repeat that, fortunately, it belongs to the rare units that the department uses so powerful and dramatic instruments against a private school that it withdraws approval, stops the transfer of funds that form the basis of planned education that students have been invited to do, and actually requires reimbursement of previously transferred funds. I assume that the Council of State has been thoroughly involved in the matter. I will make sure that she believes that the measures taken by the Ministry are in line with the provisions of the Private School Act, that they are in line with the principles of Norwegian administrative law, that they comply with the rules of good practice and that they are in line with good sense in the service.
ParlaMint-NO_2003-01-29.ana.ud1382e896	I agree with the representative of Sortevik that we should be very happy that such matters are rare. On the other hand, when aid is received from the State, it is usually, and especially in this case, accompanied by legislation and certain criteria to be met in order to receive aid. Then, when these criteria have not been met, we cannot provide support either. It is necessary, as in this case, for private schools receiving substantial public support to maintain legitimacy. I'm sure we'll agree on that. I have, of course, been very careful to ensure that all procedural rules, administrative rules, etc. have been followed to the point and the point. After my assessment, the Ministry has carried out a very thorough examination of the matter, which we will also have of the complaints mentioned. This never prevents such a case from being disputed and brought forward, for example. to the legal entity. It'll always be like that.
ParlaMint-NO_2003-01-29.ana.ud1382e903	We're going back to question 7.
ParlaMint-NO_2003-01-29.ana.ud1382e916	This question has been raised.
ParlaMint-NO_2003-01-29.ana.ud1382e923	I would like to ask the Minister for Agriculture a question: ‘The production of apple is an important industry for many districts. In particular, this part of fruit cultivation is important for Hardanger, Sogn and parts of Telemark. In a normal crop year, 8000 to 9000 tonnes of Class 1 apple are translated. The results of the EU/EEA events in Christmas 2002 show that the EU will have an increase in the duty-free quota of 2 000 tonnes from 1 May to 30 July. This will result in a strong pressure on Norwegian production. What will the Council of States do to prevent any adverse effects on Norwegian fruit production resulting from this Agreement?’
ParlaMint-NO_2003-01-29.ana.ud1382e932	Just before Christmas last year, Norway and the European Commission agreed on an agreement under Article 19 of the EEA Agreement on extended trade in agricultural products. The agreement has not yet been formally approved by the parties, but would, if adopted, mean that the EU will have a duty-free import quota of 2000 tonnes of apples in the period from 1 May to 31. July. From the outset, Norway has a global duty-free import quota of 7 000 tonnes of apples in that period. The duty-free quota has been granted for a period outside the Norwegian apple production season and the Norwegian apple market is covered by imports. In the period up to 1 August, the import of apples has been higher than the sum of the previous allowances and the new EU quota. The agreement with the EU thus confers an advantage on the EU over other countries for the export of apples to the Norwegian market until 1 August. However, EU imports will not be replaced by Norwegian production coming on the market later in the autumn. I registered with pleasure that the Norwegian apple harvest was unusually good last year, with large crops and first-class quality fruit. Sales statistics for 2002 also show a significant increase in consumption of Norwegian apples for final consumption compared to the previous year. This, of course, is related to natural conditions, but also shows that Norwegian fruit growers currently work well. This applies not only to quality work but also to the development of new products based on Norwegian fruit. In the Ministry of Agriculture, we are also trying to stimulate such developments, including: through the Value Creation Programme for Food Production, where several projects have been launched for both further processing and marketing of fruit.
ParlaMint-NO_2003-01-29.ana.ud1382e941	I thank the Council of State for your answer. But I'm probably not quite happy. It is true that this comes at a time when Norwegian production has come no further than the earliest phase, but I think this will frame the hall of Norwegian early lay. We know that these early stages have the best price and are a success factor for the apple industry. Unfortunately, I believe that this will be an agreement that will affect the fruit districts, and this is districts that predominately are the framework of pessimism and deportation. The follow-up question is: does the Council of State specifically consider that one can strengthen these vulnerable districts in special ways?
ParlaMint-NO_2003-01-29.ana.ud1382e950	That answer could catch a lot of areas, but if we were to stick to the fruit area, I was in my first answer. We are concerned about how we can strengthen the market situation also for Norwegian fruit. We work, among other things: through the Value Creation Programme to find new markets and opportunities. Just look at the success of fresh Hardangerjuice through the dairy companies. It has become a tremendous success. It's only sold in the season. That means it ended a few days ago, and it has become an exciting new product from the same type of fruit in Hardanger. However, I would like to stress that I believe it is based on incorrect reasoning when it is said that this will have major consequences. We have imports up to 1 August of about 10,000 tonnes. 7000 tonnes are free of import duties. Then there are 3,000 tons of what is there today, on which there have been administrative tariff reductions. It is the 3,000 tonnes already in place, which are replaced by a much simpler way of importing through this agreement with the EU. It does not represent new import apples that will be in competition with Norwegian apples that are on the market a few weeks later.
ParlaMint-NO_2003-01-29.ana.ud1382e959	I feel the answer is a trivialization of a problem. Then my final replication becomes more a challenge than a question. When I deal specifically with this industry and these districts, it's because I see them as particularly vulnerable. These districts were on the agenda for not so many days since here in Stortinget – then I think of internal Hardanger. It's so vulnerable, there's so little margins here. I think that it's going to be very little until you create more pessimism and there's going to be more impact in other areas in these districts. I think we should be particularly attentive to this industry and these districts now in these times.
ParlaMint-NO_2003-01-29.ana.ud1382e966	I don't know what problem I was going to minimize. I feel obliged to help Norwegian consumers access apples during the season when Norwegian fruit growers cannot produce apples. Norwegian consumers are entitled to this. It is not open to new volumes to the Norwegian market through what has been done here, but an easier way to take apples into a period where there are no Norwegian apples. Then there's always a certain transition, because apples can be stored a few weeks. But we can rejoice that we have a season behind us where there is a lot of Norwegian apples sold, and where Norwegian apple producers, not least from Hardanger, have managed to produce a great quality. Then I don't think one should use every opportunity to complain that this is bad and difficult, it goes wrong, and everything is just like that in this sector. On the contrary, there is a basis for a lot of optimism, there are good manufacturers that produce top quality. More and more Norwegians should get their eyes up because Norwegian apples are the best in the world. It might also be a message from Stortinget's Question Time.
ParlaMint-NO_2003-01-29.ana.ud1382e976	I allow myself to ask the following questions to the Minister of Justice: ‘An important principle of legal certainty is that the defendant should have his cases dealt with promptly before the courts. More rapid criminal proceedings have been adopted, for example: in the case of a rapid court or of a time limit in cases involving persons under 18 years of age. We experience that matters are postponed due to the absence of the defenders and/or the actorate. What will the Council of State do to speed up proceedings in the judiciary, in particular to introduce clear deadlines from court proceedings to appeals in higher courts?’
ParlaMint-NO_2003-01-29.ana.ud1382e985	The work on ensuring a faster criminal procedure has been a priority task for several years. In view of the work of two working groups, set up in 1999, a number of changes have been made to the law, instructions and procedures. The amendment of the law of 28 June 2002, which entered into force on 1 October 2002, sets deadlines for the main negotiation and appeal proceedings in cases involving young offenders and in cases where the person in question is the custodian of custody. The main proceedings in such cases shall now, as a general rule, be initiated within six weeks of the case being brought before the tribunal, and within eight weeks of the appeal to the Lawyers' Court being referred to the appeal proceedings. The time-limits are not absolute, so that the main proceedings may be opened later if special circumstances prevent proceedings from taking place within the time-limit. In several cases, the defender wants the case suspended due to his own close review programme. The time limits laid down in the law may therefore lead to the appointment of a new defender, who may take the case within the time limit. Even in cases where such a deadline has not been set, a change of defence may be necessary in order to avoid a material delay in the case. The time-limits also provide for the organisation of State Advocates in such a way that there is at all times a State Advocate available to deal with or act on matters within the time-limit and that the courts must be more flexible in their deliberations. The law also allows police lawyers to act on matters of law, even in the most serious cases. In some cases it may be necessary to avoid a postponement of the case. On the basis of a request from the Stortinget, the Ministry of Justice recently sent a proposal for an extension of the law enforcement powers to police lawyers. The Ministry proposes, inter alia: providing police with increased prosecution powers in criminal matters. This way you will be able to save time, for example. on expeditions between the police and the state attorney, and the prosecutors will have fewer cases to settle. The proposed changes will facilitate more effective criminal proceedings. However, in my view, we should look at the impact of the legislative changes that came into force in the autumn of 2002 and of the increased appropriations for the courts, and consider the proposals for enhanced law enforcement powers for police lawyers before we consider the adoption of new rules on time-limits. The courts, the prosecution authority and the defenders are all responsible for ensuring that criminal proceedings are not unduly exposed. I'm going to follow the situation closely and initiate better cooperation between the court administration, the state attorney, the police directorate and the law firm to ensure a greater pace of criminal proceedings. If this fails, further tightening of the law may be necessary.
ParlaMint-NO_2003-01-29.ana.ud1382e1000	I thank the Council of State for the answer, and would like to say about legal certainty that we feel that we have a little loose framework in Norway in terms of deadlines. I share the minister's views on that. But both for defendants and for people's common sense of law, it is very important to get a quick trial at the courts. Then it is also very important that the police deliver matters quickly. If you compare Norway with Sweden in relation to two cases — one was the Fadime case in Sweden, and the other was the Azarnia case in Norway — it took 44 days in Sweden before the charges were brought after the criminal offence was committed, while in Norway it took 180 days. This was after the law mentioned by the Minister of Justice had entered into force. In Sweden, it takes eight weeks from the first instance to deal with the case, until the second instance is done if there is an appeal. However, in Norway, this case was started at a second instance after 370 days, i.e. over one year afterwards. This, I think, is bad legal certainty. Will the Minister of Justice ensure that more stringent deadlines are in place in the future?
