ParlaMint-NO_2009-01-21.ana.ud580e22	The representative, Elisabeth Røbekk Nørve, will present a proposal for a representative.
ParlaMint-NO_2009-01-21.ana.ud580e403	I have a question for the Minister of Research. I believe that most people in this Chamber agree that the climate crisis is a serious crisis. And we have it there, even if we have a financial crisis. I think most people once again believe that we should do something about that. In this context, the Left is concerned that research is very essential for us to be able to do something about the climate crisis – that we can prevent just what we are going to prevent, create a low-carbon society, ensure that we find solutions through food and technology development. We know that it is through targeted research and development that we are able to bring about the transition from today's society to the low-carbon society. Politically, with this hindrance, it happened a year ago that the Right, Left and Christian People's Party came together – not surprising to me, who has been sitting in such a government. And what is very special in a European context is that a centre-right coalition presses a centre-left coalition to become more ambitious. But the final result was a clear end result. In that final result, which has a number of points about how we can do something about the climate, the Government committed itself – almost exactly a year ago – to presenting a stepping-up plan for climate research during 2008. It hasn't happened. So my question to the Minister of Research is, how does the Minister of Research feel about living with such a breach of contract?
ParlaMint-NO_2009-01-21.ana.ud580e412	The roadmap was presented in December 2008, and there is a group that we call Climate21, led by Siri Hatlen, who will have his first meeting now on Friday. This group shall make the concrete proposals for the implementation of the escalation plan. The plan's there. I am very pleased that the climate agreement gave us the opportunity to invest in climate research. We have already started work on getting Environmental Energy Research Centres (FMEs), which, in cooperation with the Research Council, are both established and will be established, as well as the efforts on climate research already made by the Research Council. So the climate agreement's research money is very well spent both on these centers and on what they can do, because here we have to make sure that the quality is good. And I fully agree with the representative that there is a certain transformation in some of these environments to think alternatively and to think about energy-friendly solutions and renewable solutions. It's a big device going on. As I said, the escalation plan was presented in December 2008. Work is in progress. And I would be very pleased to be able to present the concrete initiative that the Klima21 Group will have to make in a reasonably short time. They shall operationalise what is in the escalating plan.
ParlaMint-NO_2009-01-21.ana.ud580e421	I thank you for your answer. But the plans that Stortinget deals with treat Stortinget because Stortinget has been presented to them – that is the level of precision I had in my question. Of course, that's what we're going to do, because then we know that we're moving forward on purpose. Even if it's done a pre-work, it's the Stortinge that's going to have it. And I have to say that when the Stortinget doesn't now have it, it becomes extra sad, considering that the Council of State's party trap Aid and Environmental Protection Minister Erik Solheim in quite precise and I would say strong laws of order have been green-painting the Government's crisis policy, not to mention the crisis package that is coming. He has expressed himself sharply, clearly and clearly about it – praiseworthy, I would say, on the basis of the ideals I stand for. So that's why my question is: can we now expect this concrete plan, which the Stortinge can discuss and deal with in order to step up climate research in the context of the crisis package that is coming, and that the Stortinge can be actively allowed to continue the climate reconciliation?
ParlaMint-NO_2009-01-21.ana.ud580e428	Of course, the Storting must be able to expect it. I will refer to the budget proposal from the Ministry of Knowledge for the year we are in now. There this is mentioned, and I ask the representative to study again what it says. I fully agree with my party-wide minister for environmental protection that everything that is done now, not least about the crisis package, must have a very green profile. What's important is that we can get to what's going to be in the shorter term. But of course, it is also an important part of the green stamp that we are able to put in place good processes in climate research and energy research. I can assure you that this is in safe hands. There is a process that is in progress and progress. I myself am very pleased that we have started so many important actors already, who are actually prepared to turn around and think alternatively and think differently, including in research. I am very pleased with Left's support in this matter, and I shall promise... [[The President cut off]]
ParlaMint-NO_2009-01-21.ana.ud580e437	There will be follow-up questions – Åse M. Schmidt.
ParlaMint-NO_2009-01-21.ana.ud580e440	Climate research is part of the overall picture of research. In the four years that have come to pass, the Progress Party has made a very strong commitment to research and innovation. It is one of the most important pillars that we need to get to ensure that Norway is at the forefront of knowledge in the future. We also believe that research needs to be seen in a much wider context, and that quality, long-termity and willingness to use technology should and must become much more focused. The fact that research is an area that has also been treated in a vote during this four-year period is not so much doubt. At the Lerkendal Conference, where I was present, and where also the Council of State was present, it was quite clear that the Council of State wanted a greater pressure from the research communities in order to be able to get help from the government to get more funding for research. Furthermore, I would also like to say that the Council of State made the list high when it comes to creating expectations for the new research report that the Government has notified. What opportunities does the Council of State think she has now had for this in the last six months?
ParlaMint-NO_2009-01-21.ana.ud580e451	We need to have high ambitions in research. Especially when it comes to environmental and climate research, we have been helped by the climate agreement here in Stortinget, which unfortunately the Progress Party was not involved. That's good drag help from the other opposition parties, which makes us get a good foundation for this research as well. If we hadn't had this climate agreement here in Stortinget, we would have had a bigger challenge in bringing the breadth of political Norway into this. So it is very regrettable that the Progress Party is not involved. But I have good hopes of fulfilling the ambitions of important new knowledge that we need through research. We have managed to increase the research budget quite significantly. As I said in a previous answer here, we have increased the funding for the Research Fund by NOK 12 billion. Some of these are earmarked for equipment, which is an important part of the research effort, but also heads — recruitment — are important. Here we try to think completely: better equipment, more people and better themes.
ParlaMint-NO_2009-01-21.ana.ud580e458	Peter Skovholt Gitmark – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e461	The climate problems we face are man-made. That means we're going to have man-made solutions for them as well. It's been a year since the Stortinget adopted a climate settlement that dramatically improved the government's climate policy. Unfortunately, the government is already lagging behind – just one year later – in relation to what the climate agreement said you should do. Research, and especially climate research, will help to find tomorrow's solutions. It shall contribute to lower emissions, not least in the context of carbon capture and storage, and promote products with less environmental impacts. The second is that research creates jobs. Research is helping to safeguard our future well-being and provides a basis for it as well. Why, then, does the Government agree to pull its feet in after a case in research, and now the very last in climate research, when we know how important it is?
ParlaMint-NO_2009-01-21.ana.ud580e468	I do not at all recognize the picture that the representative describes. So we've followed up the climate agreement by granting 300 million. kr in the 2009 budget for research and development in renewable energy and carbon capture and storage. We have set up environmentally friendly energy centres. The Research Council is working on this matter, and it is important to have quality in the research we are going to do. We have allocated money to wide-ranging activities, i.e. strengthening five different programmes that were already in the Research Council, and we have also allocated money to basic research, recruitment and infrastructure – all in order to get climate research in place. It's a very good follow-up, I think, of the climate agreement that also Right – good enough – was on. That's an incredibly good starting point for something. I think we have the right pace, but it's very important that we make sure that the quality of what we do is good.
ParlaMint-NO_2009-01-21.ana.ud580e475	Ola T. Lånk – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e479	I seem to have made two important confessions. One is that there is a much stronger commitment to solving the economic crisis than it is to solve, for example. the technological crisis in environmental research. The second recognition is that a quantum leap in the development of environmental technologies is needed if we are to get some way to solve this environmental crisis. Norway has been given a very central role internationally, not least from the EU, in the context of the updated Roadmap for Infrastructure Development in Environmental Technologies. Two institutions in Norway have been specifically designated. It's NTNU and UNIS, or the Svalbard environment. In the case of NTNU, they need support to expand, among others. research sites for guest researchers. UNIS needs both the recruitment of students and an increase on the research page. And here you're told that you're going to cut, instead of increasing. What does the Council of State have to say to that?
ParlaMint-NO_2009-01-21.ana.ud580e488	The government sees the solutions to the economic crisis as also an important opportunity to resolve the environmental crisis. That is why we think green in the face of a crisis solution, and it is therefore important not to forget that we have an environmental crisis when we are about to set up the measures in the crisis package in the context of the economic crisis. Now let there be an answer to one of the challenges of the representative. Of course, with regard to conditions in special areas, where they are engaged in important technological development and environmental research, we closely follow what is happening at Svalbard, which is a very important research platform for Norway, and what is happening in important university environments. But here the representative can be convinced that we are capable of both strengthening the possibilities for technological development and at the same time strengthening research on the alternative, for both are important. We have to think alternately, and we have to have research environments.
ParlaMint-NO_2009-01-21.ana.ud580e495	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e498	I would like to refer to Today's Business Today, where it is clear that the Council of State Sylvia Brustad has written a letter to the Research Council at the invitation of the Norwegian Industry. In her letter she asked the Research Council to give priority to economic development and to meet the demands of Norwegian Industry. She has not chosen to prioritise more money to the Research Council, but has clearly stated that because business is facing challenges, it is important that the research that this is about is prioritised in front of other research. My question to the Minister for Research is quite simple: when no more money is allocated, but one of her fellow Councillors asks the Research Council to give priority to one area, which area should be given priority? Is that climate research? Is it medical research? What kind of research does the Government think is not so important?
ParlaMint-NO_2009-01-21.ana.ud580e505	The Government's various government councils participate in the Government's Research Committee, where we have regular discussions about the Government's research effort in total. One of our most important tools is the Research Council. Through the Research Council, we are in common to contribute to the development of good programmes not only in business research, which can also have an environmental turnaround, but also in environmental research and welfare research. There will be a presentation of the various thematic efforts in the Research Communication, which we are now working on, but I can assure the representative that the Councils are united on important research efforts, and that although we may initially have different desires for the different sectors, we can manage that cooperation, both in the signals towards the Research Council and in the final distribution of research funds. So here I think we're going to be able to stimulate both industry and business and at the same time bet on, for example. climate research.
ParlaMint-NO_2009-01-21.ana.ud580e512	Then we go to the next main question.
ParlaMint-NO_2009-01-21.ana.ud580e515	My question goes to Councillor Huitfeldt. A short time ago, children and young people with a migrant background went berserk in the streets outside here, with attacks on older people, on other peaceful demonstrators, on the police, etc. You throw bottles, rocks, etc. and went berserk and broken shops. As I have understood in the media, those involved will receive little or no punishment. It's scary. But even more frightening is the fact that when you hear the young people being interviewed on TV and the comment is that they thought it was fun, and that they would like to participate in something like this again. Of course, the parents of these young people have done a bad job, but society has also done a bad job in terms of these groups. I believe this is a result of the labour-party-led geniusist immigration policy, where no demands are made on parents and on young people. Integration measures in Norway are now spending SEK 5.3 billion. Under the current government, this amount has increased by more than 800 million. kr. My question to the Council of State is whether she thinks this use of money is successful – whether it is an example of a successful integration policy that large groups of children and young people have fallen so fundamentally outside our society and do not respect the values that are central to our society – and what the Council of State believes must be done to these groups.
ParlaMint-NO_2009-01-21.ana.ud580e528	Last week I noticed that Siv Jensen supported strong accusations against Kåre Willoch about antisemitism, and said that Willoch was not nuanced enough when it came to separating Jews and Israelis. It is clear that this has not been implemented in the rest of the policy for the Progress Party. Now it's painted with a wide pen: all minority youths are going to be blamed for what's happened in Oslo. With regard to the use of community punishment, I would like to stress that it was the City Council of the Progress Party that said that these young people should get community punishment – to get the sense of making up for themselves. I would say that Norwegian integration policy is successful. I would like to say that the City Council in Oslo, with representatives from both the Right and the Advancement Party, has done a very good job in the last few days and worked very closely with the police, who have also done a thorough job and called these young people together with their families into a worrying conversation. There's no «good» conversation; it's a serious conversation, and the police have very good experience. I would also like to stress that the Progress Party has been in power in this city for quite many years and must therefore take part in the responsibility for the fact that the offer to young people may not be good enough. But now let's think about it in the long term. I think it's very serious when we see young people being dragged into criminal behavior when they're so young. One thing is what punishment they get now, but my concern is also related to what happens to these young people in ten years, in 15 years. - Where are they? I will therefore, in cooperation with the Minister of Justice, make some concrete proposals on this at a press conference later today.
ParlaMint-NO_2009-01-21.ana.ud580e541	I registered that what has been done to these groups has been done by the City Council in Oslo, with representatives from the Progress Party and the Right. Thus, no action has been or will be taken by the Council of State. Nor is there any form of self-criticism regarding the billions spent by the current government on integration actions – which are obviously wrong. So another part of the problem. A Muslim school is planned in Oslo. The Progress Party is a member of the Health Schools, but we are very concerned that it should contribute to a worse integration than is currently the case. In view of these events that we have now had in Oslo – with a lack of integration, with a lack of respect for Western values such as freedom of expression and democracy – does the Council of State believe that establishing a Muslim school in Oslo is recommending in view of the job to be done to children and young people?
ParlaMint-NO_2009-01-21.ana.ud580e550	I record that the Progress Party continues its very unsound description of these riots. One third of these young people were Norwegian. These are our young people, and we have to take responsibility for them. As regards the question of Muslim schools, this must be dealt with under the new Private School Act, which is much more restrictive than the Advance Party wants. They want a free establishment of in-house schools and private schools, without any requirements. With the policies of the Advance Party, we would have far more fresh schools – including those of a Muslim nature – than what we get with a good private school law that opens up religious and pedagogical alternatives.
ParlaMint-NO_2009-01-21.ana.ud580e557	There will be follow-up questions – first Olemic Thommessen.
ParlaMint-NO_2009-01-21.ana.ud580e561	I agree with the Council of State that at least one third of these young people were Norwegian. Actually, they were all Norwegian, if we think about it, because at some point you actually become Norwegian even if you have a parent who comes from another country. I am pleased that there is a cross-political consensus that this should be handled hand in hand. Let's agree on that. But the question is, what do we do? I think what we've seen in Oslo in the last few days is exciting. I also remember in 2002, when there were unfortunate situations in Sweden, that the government took the initiative for a dialogue conference where these questions were raised. On the right, we have had a lot of money in proposals for a government budget targeting weak groups in terms of quotas for non-governmental organisations to bring people with them. What will the Council of State do to improve social communication in our society to address such cases as this?
ParlaMint-NO_2009-01-21.ana.ud580e570	I am recording here the highly nuanced and responsible attitude of the Right towards these problems. I also want to take the opportunity to praise Erling Lae and the efforts he has made in Oslo in the last few days. So to the question of dialogue. There was a dialogue meeting in Oslo on Sunday. It was very successful. I have also understood that some Jewish children in Oslo have not had it so easily in the last few days, and that many children with Muslim background have also felt that they have had to take responsibility for things they are not in any way responsible for. So I want to initiate a meeting with both Jewish and Muslim children with a view to improving dialogue, because I think that's the way to go.
ParlaMint-NO_2009-01-21.ana.ud580e577	Karin S. Woldseth – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e580	I have a follow-up question for the Minister of Culture. In the light of the events of the last weeks, we have experienced aggressive and frustrated youths who have terrorized Oslo, the inhabitants of Oslo and the streets of Oslo. It is obvious that very many of these young people, two thirds of them, have a minority background. They have not adapted and do not feel belonging to Norwegian society. We have set behind us a year of diversity that has cost millions, as well as the Government's desire to continue this in 2009 as well – so successfully the Government realized that this was. But the Council of State has been thinking about how to catch up with this group of young people in years of diversity. two? You can't claim that he has succeeded in capturing these young people in 2008, when we see how aggressive, frustrated and misadapted these young people are?
ParlaMint-NO_2009-01-21.ana.ud580e589	I agree with my colleague Huitfeldt that one should be careful to paint with a broad brush and stigmatize individual groups. I think we should treat people with minority backgrounds in the same way that we treat other people – as individuals who are as different as those who have ethnic Norwegian backgrounds. I have a great deal of faith in cultural life and the role of the voluntary sector in society. Giving good growth conditions, identity and belonging no matter what kind of parents and background you have is a safety issue and a good way to meet society. The more important it is that we continue the efforts we have made, with – as mentioned earlier – NOK 2 billion more to culture. This gives more activity throughout the country, offering many different backgrounds to children and young people. I hope we can continue that, and not get the cuts in this business that the Progress Party's alternative budget would have involved.
ParlaMint-NO_2009-01-21.ana.ud580e596	Last main question – from the Olemic Thommessen.
ParlaMint-NO_2009-01-21.ana.ud580e599	My question goes to the Minister of Culture and relates to the income of non-governmental organisations — because in the wake of changes in gambling policy, there is less money in the register with non-governmental organisations. Now, in connection with previous questions, the government's advice has been on this tipped-off bill, which he often comes back to. But it's not a permanent billion, it's a billion that's a transition to a situation where organizations have to count on less money in cash. That's the same thing with the grass root fraction. We can probably discuss how it's going to work, but a lot more gamblers probably won't do it either. There have been increases in budgets in recent years. We've helped support each of these heads, so that's where we're going to be roughly the same. Equally full, billions are being cut. In that light, we have earlier in this questioning process been on the question of VAT. I'm not going to come back to it now, just point out that of course it's also a very important theme to actually get more money into the system, not just the money that we're discussing the device on. But I also want to look at other types of games – to strengthen and get more money into the system. What we've seen now is a development in online games where 7 billion dollars a year goes straight out of the country on games we don't have any control over how it's designed, and where Norwegian purposes don't get a single penny. The right was long opposed to dealing with online gambling schemes in Norway, but we have come to the conclusion that the same considerations apply there as in the reasoning behind the slot machines – that, after all, it must be better to have control of a system, control the content of the games, bring the money to Norwegian use. We believe that this is a topic that should now be addressed and implemented. Is the Minister of Culture prepared to make sure that this money goes for Norwegian purposes?
ParlaMint-NO_2009-01-21.ana.ud580e610	Let me first say something about the volunteer billion. It's actually two billion. One is a billion that one now uses from the Norwegian Tipping fund in the years 2008-2009 to build a bridge between the old Norwegian Tipping payment of 2.5 billion, to nearly 3.5 billion a year. We have stated that from 2010 this billion will be permanent. Every year, volunteering will receive one billion more. This is due, inter alia, to: the game terminals currently outsourced, which will generate revenues, and which the opposition, inter alia. Right, in many cities have fought very actively. If they had not received that income, the volunteer had not received this money either. The representative Thommessen addresses a very important issue: all the games that are now offered on the Internet from servers abroad that have no social control, which creates the same amount of gambling addiction for those who are affected and who don't give any money to Norwegian volunteering. How are we going to meet this? We have set up a game policy in Norway that has been supported by both the previous government and this, namely that it is Norwegian Typing who will be in charge of the games in Norway, because then we have direct control and can intervene immediately as a game creates social problems. We've seen what legal processes we get into very quickly when we have other actors fighting for their revenues, when game operators run counter to restrictions such as government and big business to ensure social responsibility. A solution to what Thommessen addresses could be that Norsk Tipping – like Svenska Spel in Sweden, which is the equivalent – offers games via the Internet and develops offers there that are socially responsible. We haven't concluded that this is the right preliminary, but it's clear that the Thommess argument that it's better to offer something online that's responsible than to leave everything to foreign actors, who are without limitation, who don't give money to volunteer, is a good reasoning. But for the time being, we have been committed to combating the gambling addiction that the machines entailed, and not expanding the activity of Norwegian Typing online.
ParlaMint-NO_2009-01-21.ana.ud580e619	I thank you for what I experience as a response in many ways, but I would like to stress the importance of getting on with this, as it is currently happening. Turning the device on a market that has been established is not easy. Now the Norwegian audience has made friends to play on international servers, and the longer it goes, the harder it actually gets to get the players back to Norway again. My question to the Council of State is, When will he possibly start such a work? I'm not giving up on it, because I have a few seconds left. We have also proposed opening up Norwegian Tipping Commissions for other types of games, where one could imagine a broader device, where the humanitarian organisations could also have the opportunity to establish new gaming arrangements within this Commission network. Is there any government council considering meeting?
ParlaMint-NO_2009-01-21.ana.ud580e628	I'm not very positive about that idea, because I'm afraid you get a lot of games that spend a lot of advertising money on competing with each other, and with the result maybe a little bit more gambling pressure. I am also afraid that very much of the money that could go to non-governmental organisations, instead goes to marketing and competition between these games. Then it is better that Norsk Tipping develops its gaming portfolio and rather includes volunteering in a better way. It is also often very difficult to say which organisations will be allowed to offer such games. If one organisation is allowed, this organisation gets all the money, instead of going to the edge of Norwegian volunteering. Remember one thing, which I don't think the opposition has fully absorbed: the grassroots ratio means a fantastic democratization of the Norwegian Typing award. Instead of only the specific organisations mentioned in the law, who receive money, in principle all non-governmental organisations will now be able to participate in the profits of Norwegian Typing. It's a fantastic invitation to say that this is our joint gaming company, which is responsible, and which provides money for grassroots.
ParlaMint-NO_2009-01-21.ana.ud580e635	For the sake of time, there will be only one follow-up question – Karin S. Woldseth.
ParlaMint-NO_2009-01-21.ana.ud580e639	We hear that the Council of State is talking about this billion that he's going to give to the voluntary sector, but he forgets and fails to tell us that his party together with the other parties here in the Storting, with the exception of the Advance Party, has removed 5 billion kroner from the volunteer. So I don't think it's very impressive. I don't think it's very impressive either when he now talks about looking at whether Norsk Tipping will also get a monopoly on online games. I think that's an incredibly scary thought. Would it not have been better if a concession had been put in place on the international servers and entered into dialogue with the international gambling companies, so that money had been given for both sport and volunteering? Or can we now expect the Council of State to bring a total ban on online gambling across international servers in Norway?
ParlaMint-NO_2009-01-21.ana.ud580e646	It's not up to us to give a total ban on foreign games. They are on servers in other countries and are governed by the laws of other countries. There are hundreds, if not thousands, of companies around the world offering games on the Internet. It would be completely impossible to imagine that we were going to start licensing out to all of these. We could have licensed some of them, but still all of the others would be able to offer games unlimited to Norway. What we can do is call Norwegian Typing as our socially responsible gaming company, and not let go of all those who have the opportunity to offer anything, without limits to social responsibility. The grassroots percentage is one way to say to the Norwegian people that Norwegian Tipping money strengthens the volunteer in Norway. Volunteering is very concerned about this as well, and strongly against the proposals of the Progress Party to liberalise the gaming market and to release foreign gambling companies. Here, I think the government is on the verge of sport and with the grassroots of culture and the willingness to call about the income they get from Norwegian Typing.
ParlaMint-NO_2009-01-21.ana.ud580e651	The oral question procedure is over, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2009-01-21.ana.ud580e656	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Questions 2 and 3 from Arne Sortevik and Anne Margrethe Larsen, respectively, to the Minister for Transport, are postponed to the next Question Time when the Council of State has left. Question 4, from the representative Jan Tore Sanner to the Minister for Foreign Affairs, will be answered by the Minister for Defence on behalf of the Minister for Foreign Affairs, as the Minister for Foreign Affairs has a disease. Question 12, from the representative Ivar Kristiansen to the Minister for Oil and Energy, is postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2009-01-21.ana.ud580e669	We go to question 1, which this time is not from Svein Flätten to the Minister of Finance, but instead from another right-wing man, Gunnar Gundersen, to the Minister of Finance.
ParlaMint-NO_2009-01-21.ana.ud580e675	I want to ask the Minister of Finance a question: «The Minister of Finance spoke in December warmly and intensely about the need for interest cuts. The banks felt a great pressure to deliver according to the Government's wishes and requirements. Most banks have now cut by about 2 percentage points. In the Financial Newspaper on 7 January we can read that the Treasury loan fund has announced a reduced cut of 0.9 percentage points, and that will only apply from April. Is the State Council satisfied that the State's own bank for students, the State Loan Fund, is making a significantly lower interest rate than that provided by banks?»
ParlaMint-NO_2009-01-21.ana.ud580e684	Nothing is as refreshing as a right-wing man on a Wednesday morning, no matter who it is, and what theme is up. Let me really answer this question, because many customers, both in the State Treasury and in the House Bank, wonder why not the interest on their loans goes down as fast as it does in the market. Most people may have understood the context, but I can take it one more time. Norway’s Bank has reduced the interest rate from 5.75 p.m. to 3 pst. over a period of time. Three months of money market interest rates have fallen by more than 3 percentage points since last autumn, and bank lending rates are falling. This means that the borrowing rate of the State's loan fund will also fall, but they have a different form of interest rate fixing, and the method of calculating the interest rate implies a slightly more gradual decline in interest rates. The method for the calculation of the interest rate in the State Loan Fund for Education was adopted by the Stortinget in the context of the treatment of the State budget for 1998. The floating rate is calculated on the basis of interest rates on short-term sovereign debt with zero to three months remaining maturity. The observation period is three months, and interest observed in one quarter will be used for the interest rates relating to two quarters later. The long observation period contributes to the smoothing of the fluctuations in the borrowing rate. It implies that the effect of a fall in market interest rates only comes after some time. Similarly, it will also take some time for a rise in market interest rates to increase lending rates in the Loan Fund. Over time, the interest rate offer to the customers of the Loan Fund is very favourable. Customers in the State Educational Loan Fund can also guard against fluctuating interest rates by binding interest rates for three, five or ten years. If you want to translate this, that means that the interest rate in the Loan Box has a backlog. We cut top and bottom, because it evens out. A regular customer in the Loan Fund might have a student loan that runs for 20 years. The interest rate will be slightly later, but the interest rate will also be a little bit later, and that means that they have a positive loan in sum. I think the customers in the Loan Bank have noticed that.
ParlaMint-NO_2009-01-21.ana.ud580e699	As a good right-hand man, I have also understood the context before. But this question is based on a look-up in the Financial Newspaper on 7 January, about a female student who had sat down and calculated how much interest should have gone down. She believes it should have dropped another 0.7 pst., based on the calculation models that the Council of State has now explained. I think in a few years' time there's little comfort for those who are now sitting with a big aftertaste, that they can expect to hang after when it goes up again, because there's a part of the picture here. The situation is illustrated by the rapid change in market rates. The interest rate in the private banks is now rapidly moving down to the 4th – perhaps below it. A natural follow-up question to the Council of State is therefore: does the Council not see that the State's loan fund now provides for interest on the basis of an anticipatory method and that a more market-oriented rate of interest should be set for loans in the State's loan fund, in order to follow the movements of the market?
ParlaMint-NO_2009-01-21.ana.ud580e710	The right is, of course, free to wish the State Treasury to make its interest rate determination on the basis of a different and more market-based system. But it is in the case of a case that has to be decided by the Storting, because it is the Storing that has decided that it should be done in this way. The advantage of a consumer perspective is that the top and bottom in terms of the level of interest in the Loan Fund is evened out – you get a share in the fall in interest rates, but it comes a little later. The difference between Norwegian bank customers and bank customers in very many other countries is that far fewer customers have fixed-rate loans. This means that the level of interest rates relative to household income and expenditure is much more related to market fluctuations. That is why we have offered fixed-rate loans to the customers in the State Loan Fund. You could even it out a little bit more. That means you get the same advantage, but just a little bit different. Otherwise, I have to say that the state loan fund is a very important part of the Norwegian education policy. You get a loan without risk being assessed.
ParlaMint-NO_2009-01-21.ana.ud580e719	That's a big deal. With regard to the choice between a short-term and a long-term fixation of interest rates, there was a strong consensus: the Stortinge has adopted the principles for setting interest rates. There was an alternative proposal on the right during the budgetary procedure on 12 December last year, which was then voted down. It becomes a bit paradoxical when the December Council was very eager to point out that it was on the will of the private banks to bring down interest rates, while in the same budget debate, on December 12, the representative of the SV Lena Jensen heard that there was a question of funding to what extent interest rates could be lowered. Then again the question: is the Council of State of the opinion that it is right that interest rates and conditions in state and private banks should be so different?
ParlaMint-NO_2009-01-21.ana.ud580e728	Now I don't think we're just discussing apples and pears here, but a whole fruit basket. There are a lot of elements in this. One is, how do you set the interest rate in the State Treasury? So you're going to do that with a poster, as I explained in the answer. That means that all of the customers get a share in the interest rate decrease, but at a little later. This also means that the interest rate is lower for a longer period of time when the interest rate is rising, so it allows for a lot of hurries in the future when the Norwegian economy may rise again and interest rates rise. So this evens out. Another question is, how do you rate a loan that doesn't evaluate risk? The government's loan fund does not assess risk. All eligible persons under the educational criterion are granted a loan. It's a loan that's cancelled if you die, that you can get a deferral of payment and free of interest if you're out of business. It's a social device. This, of course, makes it impossible to compare a social loan scheme, as is the state loan fund, fully with loans granted on market terms.
ParlaMint-NO_2009-01-21.ana.ud580e755	These questions are postponed to the next Question Time.
ParlaMint-NO_2009-01-21.ana.ud580e761	This question, from the representative Jan Tore Sanner to the Minister for Foreign Affairs, will be answered by the Minister for Defence.
ParlaMint-NO_2009-01-21.ana.ud580e764	‘In the evening post on 13 January, it was possible to read that the Ministry of Foreign Affairs refused to sign the EU’s clear condemnation of the execution of Wo Weihan in China. The EU Council of Ministers issued a strong condemnation both of the execution and of the arrest and conviction of Wo, not in line with international standards. It has been Norwegian practice to join the EU in this type of human rights case. What is the Foreign Minister’s reason for not supporting the EU’s condemnation of the execution of Wo?’
ParlaMint-NO_2009-01-21.ana.ud580e771	This government has already stated in its Declaration of Accession that the fight against the death penalty must be given priority. Norway is and will continue to be a visible opponent of all forms of death penalty. Work needs to be handled both in concrete terms and at a more general political level. We are working against the death penalty both in international bodies and through active cooperation with human rights organisations and like-minded countries. We regularly take up the use of the death penalty on a principle basis with countries where this is practised. It also applies to China. State Secretary Johansen raised the death penalty during the last meeting of the human rights dialogue last October. Norway also responds in individual cases. When we become aware of planned executions in cases involving minors, pregnant women or persons who are not subject to criminal law, or where the execution is carried out in a particularly inhumane manner, we protest to the responsible authorities – alone or with the EU or others. We're doing this to a number of countries. Norway and the EU are in line and believe that such executions are contrary to international law. In 2008, Norway, among others, with more reactions to Iran in cases involving minors. We believe that such protests benefit, and regardless of the outcome in each case, we believe that it is important to maintain a visible pressure. In some cases, we also know that we have helped save lives. In this specific case, Norway was asked, with a few hours' notice, to join an EU declaration condemning the execution of Wo Weihan who was executed for espionage. It was clear that the case was not within the group of individual cases that I mentioned instead, where the EU and we regularly protest. The EU argued that the trial against Wo Weihan was contrary to international legal certainty guarantees and standards. When we are offered to join this type of statement, we want to make an independent assessment. In this case, we did not allow the time to make our own assessment of the trial against Wo Weihan. The EU text also referred directly to the EU's human rights dialogue with China, and was therefore not as natural for Norway as for foreign countries to join.
ParlaMint-NO_2009-01-21.ana.ud580e793	This appears to be a rather strange response – where, on the one hand, the Council of State strongly argues for the importance of visibility in the fight against the death penalty, while clearly having light and light light to find a reason not to join the EU in this case. Let me remind you that Norway has joined all EU declarations on the death penalty, with two exceptions. And this is one of them. The Councils of State show, inter alia: that Secretary of State Raymond Johansen was in China in a so-called human rights dialogue just before the execution. My first question is, Is it so that the State Secretary then addressed the matter to Wo? That, I think, is an important question to clarify. And the second is, when the government has now had some more time to look at this matter, is it self-critical that you did not join the EU declaration? This isn't just about the international law, it's also about the way Wo was arrested, and the way he was accused. This concerns the whole case, which is in the EU's grounds.
ParlaMint-NO_2009-01-21.ana.ud580e802	I'm aware that Secretary of State Johansen had a human rights dialogue in October. Which issues were specifically addressed, I cannot answer here. The Ministry of Foreign Affairs may need to come back to this. As far as general cooperation with the EU is concerned, in a number of cases that have been carried out against people in a way that is completely contrary to international law, Norway and the EU have been in line and protested at the same time. In this case, where there were questions about international legal security guarantees and standards, Norway must also be able to make an independent assessment. And it did not allow the period until the EU had to send its protest. That was also the way I said in my answer, that this had a design based on the human rights dialogue that the EU has with China. It is not part of Norway.
ParlaMint-NO_2009-01-21.ana.ud580e809	This case has caused very strong reactions in human rights circles internationally, but also in Norway. I note that the Secretary-General of Amnesty International in Norway says the government should be ashamed. I agree. China-expert Bøckmann says that the human rights dialogue is not worth much if you don't respond to such issues. It's close to seeing that the Government also shows the infallibility and naivety of its relationship with the human rights violations in Cuba. You can wonder if it's SV's hand that's on this -- not to show clarity and clarity to the last Communist states -- or whether it's that you're afraid to lose some commercial contracts. But let me repeat the question I asked, that now, as the government has had some time, is self-criticism that you did not join the EU's condemnation of the execution and the way in which the case was dealt with?
